,https://roic.ai/company/EXPE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,0.0295,0.1293,0.1041,0.1305,0.1873,0.1570,0.1985,-0.8270,0.1933,0.2186,0.1391,0.1071,0.0767,0.0898,0.0620,0.0526,0.0621,0.0636,0.0748,-0.5230,0.0216
19,Total Other Income Expenses (Gains),- -,- -,11980000,29070000,16819000,33569000,-32085000,-85751000,-113391000,-111347000,-77537000,-81667000,-65367000,-53123000,512396000,-185102000,-208374000,-229000000,-128000000,-432000000,-224000000
20,Income Before Tax,- -,- -,255498000,269543000,413871000,384898000,496984000,-2514704000,458023000,620568000,402072000,350057000,300693000,464641000,925962000,276600000,416764000,485000000,775000000,-3151000000,-38000000
21,Income Before Tax Ratio,- -,- -,0.1092,0.1463,0.1953,0.1720,0.1865,-0.8562,0.1550,0.1853,0.1166,0.0869,0.0630,0.0806,0.1388,0.0315,0.0414,0.0432,0.0642,-0.6061,-0.0044
22,Income Tax expense (Gain),- -,- -,97202000,106371000,185977000,139451000,203114000,5966000,154400000,195008000,75731000,47078000,84335000,91691000,203214000,15315000,45405000,87000000,203000000,-423000000,53000000
23,Net Income,8901000,76713000,111407000,163473000,228730000,244934000,295864000,-2517763000,299526000,421500000,472294000,280171000,232850000,398097000,764465000,281848000,377964000,406000000,565000000,-2612000000,15000000
24,Net Income ratio,0.0166,0.0512,0.0476,0.0887,0.1079,0.1095,0.1110,-0.8573,0.1013,0.1259,0.1369,0.0695,0.0488,0.0691,0.1146,0.0321,0.0376,0.0362,0.0468,-0.5024,0.0017
25,EPS,0.06,0.46,0.66,0.97,1.36,1.44,2.00,-17.60,2.08,2.98,3.48,2.09,1.73,3.09,5.87,1.87,2.49,2.71,3.84,-19.00,0.10
26,EPS Diluted,0.06,0.46,0.66,0.96,1.30,1.40,1.88,-17.60,2.06,2.92,3.41,2.00,1.67,2.99,5.70,1.82,2.42,2.65,3.77,-19.00,0.09
27,Weighted Average Shares Outstanding,167770000,167770000,167770000,167770000,168409500,169023500,148320000,143083500,144107000,141232500,135888000,134203000,134912000,128912000,130159000,150367000,151619000,149961000,147194000,141414000,151019000
28,Weighted Average Shares Outstanding Diluted,170274500,170274500,170274500,170274500,174765000,176090500,157116500,145915000,146070500,144014000,138702000,139929000,139593000,133168000,134018000,154517000,156385000,152889000,149884000,141414000,160460000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1324424/000095012406001626/v17761e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013407004407/v27013e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013408003172/v37150e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013409003282/0000950134-09-003282-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312510028438/0001193125-10-028438-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/0001193125-12-050009-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312513039072/0001193125-13-039072-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312514039090/d648005d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312515035706/d838066d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312516457822/0001193125-16-457822-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442417000006/0001324424-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442418000006/0001324424-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442419000006/0001324424-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442420000009/0001324424-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000015/0001324424-21-000015-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,188639000,154957000,297416000,853274000,617386000,665412000,642544000,714332000,689134000,1293161000,1021033000,1402700000,1676299000,1796811000,2846729000,2443000000,3315000000,3363000000,4111000000
32,Short-Term Investments,- -,- -,693320000,1000000,- -,- -,- -,92762000,45849000,515627000,648819000,644982000,325510000,355780000,33739000,72313000,468508000,28000000,526000000,24000000,200000000
33,Cash and Short-Term Investments,- -,- -,881959000,155957000,297416000,853274000,617386000,758174000,688393000,1229959000,1337953000,1938143000,1346543000,1758480000,1710038000,1869124000,3315237000,2471000000,3841000000,3387000000,4311000000
34,Net Receivables,- -,- -,720471000,2018650000,174019000,211430000,273403000,267270000,307817000,328468000,339427000,461531000,679031000,795495000,1096211000,1362649000,1886628000,2175000000,2594000000,821000000,1264000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,77732000,71250000,118809000,117981000,154866000,173270000,228839000,143200000,597049000,214828000,193713000,370514000,172512000,218478000,337724000,551000000,1300000000,1426000000,2606000000
37,Total Current Assets,- -,- -,1680162000,2245857000,590244000,1182685000,1045655000,1198714000,1225049000,1701627000,2274429000,2614502000,2219287000,2924489000,2978761000,3450251000,5539589000,5197000000,7735000000,5634000000,8181000000
38,PP&E,- -,- -,75618000,81426000,90984000,137144000,179490000,247954000,236820000,277061000,320282000,409373000,480702000,553126000,1064259000,1394904000,1575258000,1877000000,2809000000,2831000000,2587000000
39,Goodwill,- -,- -,5650322000,5790111000,- -,5861292000,6006338000,3538569000,3603994000,3642360000,2877301000,3015670000,3663674000,3955901000,7992941000,7942023000,8228865000,8120000000,8127000000,7380000000,7171000000
40,Intangible Assets,- -,- -,1323026000,1279361000,7036233000,1028774000,970757000,833419000,823031000,797707000,743898000,821419000,1111041000,1290087000,2793954000,2446652000,2308536000,1992000000,1804000000,1515000000,1393000000
41,Intangible Assets,- -,- -,6973348000,7069472000,7036233000,6890066000,6977095000,4371988000,4427025000,4440067000,3621199000,3837089000,4774715000,5245988000,10786895000,10388675000,10537401000,10112000000,9931000000,8895000000,8564000000
42,Investments,- -,- -,26142000,140432000,39000000,59000000,93000000,75593000,48262000,232239000,289348000,224231000,250626000,286882000,658439000,520058000,845450000,778000000,796000000,671000000,1450000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14151000,10053000,15458000,23658000,17930000,69000000,145000000,659000000,766000000
44,Other Non-Current Assets,- -,- -,- -,- -,431000,289000,182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,7075108000,7291330000,7166648000,7086499000,7249767000,4695535000,4712107000,4949367000,4230829000,4470693000,5520194000,6096049000,12525051000,12327295000,12976039000,12836000000,13681000000,13056000000,13367000000
46,Other Assets,- -,3203082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,3203082000,8755270000,9537187000,7756892000,8269184000,8295422000,5894249000,5937156000,6650994000,6505258000,7085195000,7739481000,9020538000,15503812000,15777546000,18515628000,18033000000,21416000000,18690000000,21548000000
48,Accounts Payable,- -,- -,433753000,528405000,642821000,720737000,852277000,775593000,813364000,882495000,951457000,954071000,1044259000,1188483000,1329870000,1509313000,1837936000,1699000000,1921000000,602000000,1333000000
49,Short-Term Debt,- -,- -,- -,- -,230755000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,- -,749000000,- -,735000000
50,Tax Payable,- -,- -,7446000,421000,- -,- -,- -,- -,- -,- -,- -,- -,61874000,59661000,68019000,49739000,33374000,74000000,88000000,50000000,85000000
51,Deferred Revenue,- -,- -,- -,- -,7068000,10317000,11957000,15774000,17204000,684098000,848863000,1154706000,1390065000,1823464000,2572846000,2900308000,3545001000,4691000000,6000000000,3279000000,166000000
52,Other Current Liabilities,- -,- -,391571000,453774000,557581000,669071000,910118000,774801000,1004489000,322827000,753037000,873534000,860057000,1174668000,2023301000,1717577000,1995753000,1670000000,2044000000,1525000000,7216000000
53,Total Current Liabilities,- -,- -,825324000,982179000,1438225000,1400125000,1774352000,1566168000,1835057000,1889420000,2553357000,2982311000,3294381000,4186615000,5926017000,6127198000,7878690000,8060000000,10714000000,5406000000,9450000000
54,Long-Term Debt,- -,- -,- -,- -,- -,500000000,1085000000,1544548000,895086000,1644894000,1249281000,1249345000,1249412000,1746787000,3201277000,3159336000,3749054000,3717000000,4189000000,8216000000,8075000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58000000
56,Deferred Tax Liabilities,- -,- -,372324000,333696000,368880000,369297000,351168000,189541000,223959000,248461000,279962000,323766000,433532000,452958000,473841000,484970000,328602000,69000000,56000000,67000000,58000000
57,Other Non-Current Liabilities,- -,- -,3321000,50248000,144250000,33716000,204886000,212661000,233328000,131516000,117491000,140385000,503171000,740449000,972910000,312939000,430714000,536000000,921000000,975000000,355000000
58,Total Non-Current Liabilities,- -,- -,375645000,383944000,513130000,903013000,1641054000,1946750000,1352373000,2024871000,1646734000,1713496000,2186115000,2940194000,4648028000,3957245000,4508370000,4322000000,5166000000,9258000000,8546000000
59,Other Liabilities,- -,3203082000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,532000000,513000000,- -
61,Total Liabilities,- -,3203082000,1200969000,1366123000,1951355000,2303138000,3415406000,3512918000,3187430000,3914291000,4200091000,4695807000,5480496000,7126809000,10574045000,10084443000,12387060000,12382000000,15880000000,14664000000,17996000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364871000,560073000,658478000,- -,22334000,30000000,15000000,1022000000,- -
63,Common Stock,- -,- -,- -,- -,349000,354000,363000,366000,369000,374000,19000,20000,20000,21000,23000,23000,24000,- -,- -,-10097000000,-10262000000
64,Retained Earnings,- -,- -,- -,- -,64978000,309912000,602204000,-1915559000,-1616033000,-1194533000,-722239000,-442046000,-191021000,-110496000,222772000,-151365000,182145000,297000000,662000000,-1959000000,-1761000000
65,Other Comprehensive Income/Loss,- -,- -,-4027000,33668000,-1598000,11979000,31765000,-4662000,3379000,-8803000,-17350000,22000,18197000,-138774000,-284894000,-280399000,-148933000,-220000000,-217000000,-178000000,-149000000
66,Other Total Stockholders Equity,- -,- -,7554301000,8171064000,5670034000,5582045000,4183749000,4248249000,4294966000,3875506000,2939434000,2722263000,1953397000,1473443000,4268015000,4564042000,4466765000,5574000000,5091000000,13744000000,15724000000
67,Total Stockholders Equity,- -,- -,7554301000,8152629000,5733763000,5904290000,4818081000,2328394000,2682681000,2672544000,2199864000,2280259000,2145464000,1784267000,4864394000,4132301000,4522335000,4104000000,3967000000,2532000000,3552000000
68,Total Liabilities And Stockholders Equity,- -,3203082000,8755270000,9518752000,7685118000,8207428000,8233487000,5841312000,5870111000,6586835000,6399955000,6976066000,7625960000,8911076000,15438439000,14216744000,16909395000,16486000000,19847000000,17196000000,21548000000
69,Minority Interest,- -,- -,- -,18435000,71774000,61756000,61935000,52937000,67045000,64159000,105303000,109129000,113521000,109462000,65373000,1560802000,1606233000,1547000000,1569000000,1494000000,- -
70,Total Liabilities & Equity,- -,3203082000,8755270000,9537187000,7756892000,8269184000,8295422000,5894249000,5937156000,6650994000,6505258000,7085195000,7739481000,9020538000,15503812000,15777546000,18515628000,18033000000,21416000000,18690000000,21548000000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1324424/000095012406001626/v17761e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013407004407/v27013e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013408003172/v37150e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013409003282/0000950134-09-003282-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312510028438/0001193125-10-028438-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/0001193125-12-050009-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312513039072/0001193125-13-039072-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312514039090/d648005d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312515035706/d838066d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312516457822/0001193125-16-457822-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442417000006/0001324424-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442418000006/0001324424-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442419000006/0001324424-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442420000009/0001324424-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000015/0001324424-21-000015-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,111407000,163473000,228730000,244934000,295864000,-2517763000,299526000,421500000,472294000,280171000,232850000,398097000,764465000,281848000,377964000,406000000,565000000,-2612000000,15000000
74,Depreciation and Amortization,- -,- -,241410000,344782000,280834000,249468000,199944000,207527000,202124000,155525000,154934000,195952000,283475000,345432000,500345000,794202000,889544000,1001000000,910000000,1068000000,814000000
75,Deferred Income Tax,- -,- -,774000,-5295000,68198000,-10652000,-1583000,-209042000,-12620000,23581000,9942000,-55120000,-772000,-79031000,-21635000,-14088000,-103308000,-308000000,-91000000,-488000000,-145000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,59690000,63847000,64596000,130173000,85011000,178068000,242417000,149350000,203000000,241000000,205000000,418000000
77,Change in Working Capital,- -,- -,241160000,408840000,-2111659000,630541000,-511257000,361243000,-242554000,422215000,-91135000,-88881000,-707285000,-187032000,-1685130000,270309000,337846000,-523899000,-116000000,3207000000,-1497000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,32208000,-36360000,-35382000,-70012000,-84017000,-127327000,-157957000,-198262000,-276154000,-455668000,-282000000,-368000000,1781000000,-721000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-21043000,106018000,67930000,145542000,492407000,-6482000,382057000,291706000,263600000,572717000,62000000,478000000,-1720000000,777000000
81,Other Working Capital,- -,- -,854838000,1263678000,-847981000,-217440000,-728697000,-367454000,-610008000,-187793000,-278928000,-367809000,-1075094000,-1262126000,-2947256000,-2676947000,-2339101000,-2863000000,-2979000000,228000000,-1269000000
82,Other Non-Cash Items,- -,- -,49272000,-108947000,2383792000,-496851000,729101000,2678723000,429528000,-305028000,420190000,840464000,824759000,804482000,1631932000,-10354000,147758000,1196899000,1258000000,-5214000000,4143000000
83,Cash Provided by Operating Activities,- -,- -,644023000,802853000,849895000,617440000,712069000,520688000,676004000,777483000,1030072000,1237182000,763200000,1366959000,1368045000,1564334000,1799154000,1975000000,2767000000,-3834000000,3748000000
84,CAPEX,- -,- -,-46183000,-53407000,-52315000,-92631000,-86658000,-159827000,-92017000,-155189000,-207837000,-235697000,-308581000,-328387000,-787041000,-749348000,-710330000,-878000000,-1160000000,-797000000,-673000000
85,Acquisitions Net,- -,- -,-704885000,-261390000,- -,-19355000,-59622000,-536815000,-45007000,-50465000,-35221000,-199360000,-541247000,-560668000,-1539767000,66311000,-170639000,-53000000,80000000,- -,- -
86,Purchases of Investments,- -,- -,-1259388000,-67456000,-432000,-1514000,-33226000,-92923000,-45903000,-990429000,-1723350000,-1886473000,-1216591000,-1199691000,-521329000,-98441000,-1811355000,-1803000000,-1346000000,-685000000,-201000000
87,Sales/Maturities of Investments,- -,- -,1339368000,722646000,1000000,- -,- -,1155000,94449000,366036000,1507240000,1955955000,1543426000,1162557000,465149000,60935000,1102739000,2137000000,852000000,1161000000,23000000
88,Other Investing Activites,- -,- -,-78276000,-53492000,-749596000,- -,- -,-230975000,-51358000,-142838000,-212129000,-237947000,-311101000,-326455000,-775313000,-747126000,-703135000,-840000000,-1139000000,-739000000,-753000000
89,Cash Used for Investing Activites,- -,- -,-703181000,340308000,-801343000,-113500000,-179506000,-859558000,-47819000,-817696000,-463460000,-367825000,-525513000,-924257000,-2371260000,-718321000,-1582390000,-559000000,-1553000000,-263000000,-931000000
90,Debt Repayment,- -,- -,- -,-2860000,- -,- -,- -,-675000000,-650000000,- -,- -,- -,- -,- -,- -,-403517000,- -,-500000000,-400000000,-3422000000,-1706000000
91,Common Stock Issued,- -,- -,57358000,- -,29060000,35258000,55038000,- -,- -,- -,- -,- -,25273000,20404000,22575000,- -,- -,31000000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-98492000,- -,-86556000,-295691000,-1397173000,-12865000,-7963000,-501993000,-316512000,-417571000,-522900000,-537861000,-60546000,-455746000,-312089000,-923000000,-743000000,-425000000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-79076000,-76550000,-130423000,-75760000,-84697000,-108527000,-150159000,-175775000,-186000000,-195000000,-123000000,-67000000
94,Other Financing Activites,- -,- -,79109000,-1160215000,164003000,270205000,552156000,1152666000,-2369000,712950000,-4092000,275207000,80871000,650303000,1550697000,318803000,1175378000,89000000,1513000000,8047000000,800000000
95,Cash Used/Provided by Financing Activities,- -,- -,37975000,-1163075000,106507000,9772000,-789979000,464801000,-660332000,131881000,-397154000,-272787000,-492516000,48149000,1404199000,-690619000,687514000,-1489000000,175000000,4077000000,-973000000
96,Effect of Forex Changes on Cash,- -,- -,-3232000,-13768000,689000,42146000,21528000,-77905000,9279000,-19880000,-91582000,15064000,-30936000,-109184000,-127385000,-34882000,145640000,-139000000,3000000,61000000,-177000000
97,Net Change In Cash,- -,- -,-24415000,-33682000,155748000,555858000,-235888000,48026000,-22868000,71788000,67935000,604027000,-272128000,381667000,273599000,120512000,1049918000,-212000000,1392000000,41000000,1667000000
98,Cash at the End of Period,- -,- -,188639000,154957000,297416000,853274000,617386000,665412000,642544000,714332000,689134000,1293161000,1021033000,1402700000,1676299000,1796811000,2846729000,2705000000,4097000000,4138000000,5805000000
99,Cash at the Beginning of Period,- -,- -,213054000,188639000,141668000,297416000,853274000,617386000,665412000,642544000,621199000,689134000,1293161000,1021033000,1402700000,1676299000,1796811000,2917000000,2705000000,4097000000,4138000000
100,Free Cash Flow,- -,- -,597840000,749446000,797580000,524809000,625411000,360861000,583987000,622294000,822235000,1001485000,454619000,1038572000,581004000,814986000,1088824000,1097000000,1607000000,-4631000000,3075000000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1324424/000095012406001626/v17761e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013407004407/v27013e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013408003172/v37150e10vk.htm,https://www.sec.gov/Archives/edgar/data/1324424/000095013409003282/0000950134-09-003282-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312510028438/0001193125-10-028438-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312511030900/d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312512050009/0001193125-12-050009-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312513039072/0001193125-13-039072-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000119312514039090/d648005d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312515035706/d838066d10k.htm,https://www.sec.gov/Archives/edgar/data/1324424/000119312516457822/0001193125-16-457822-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442417000006/0001324424-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442418000006/0001324424-18-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442419000006/0001324424-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442420000009/0001324424-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/1324424/000132442421000015/0001324424-21-000015-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,
