,https://roic.ai/company/DHX,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,-0.1487,0.1125,-0.0342,0.1984,0.2247,0.2250,0.2413,0.2493,0.3067,0.3015,0.1368,0.1775,0.0245,0.0149,0.1100,0.0724,0.1140,-0.2163,-0.0146
19,Total Other Income Expenses (Gains),182000,176000,-1975000,-4554000,-12057000,-10473000,-5160000,-4440000,-1458000,-2058000,-1911000,-3755000,-3314000,-3510000,-3468000,-2090000,-701000,-2829000,721000
20,Income Before Tax,-1346000,3803000,-2556000,12045000,19936000,24410000,21381000,27718000,53489000,56838000,27295000,42849000,3041000,-119000,19397000,9602000,16324000,-32434000,-1031000
21,Income Before Tax Ratio,-0.1310,0.1180,-0.1503,0.1440,0.1400,0.1575,0.1944,0.2149,0.2986,0.2909,0.1279,0.1632,0.0117,-0.0005,0.0933,0.0594,0.1093,-0.2370,-0.0086
22,Income Tax expense (Gain),- -,2162000,-939000,4642000,6692000,9573000,7890000,8819000,19389000,18751000,11049000,15237000,14009000,5279000,3419000,2428000,3773000,-2419000,-629000
23,Net Income,-1330000,1802000,-1722000,6778000,15507000,15356000,13491000,18899000,34100000,38087000,16246000,27612000,-10968000,-5398000,15978000,7174000,12551000,-30015000,-29742000
24,Net Income ratio,-0.1294,0.0559,-0.1013,0.0810,0.1089,0.0991,0.1227,0.1465,0.1904,0.1950,0.0761,0.1051,-0.0422,-0.0238,0.0768,0.0444,0.0840,-0.2193,-0.2481
25,EPS,-66.51,90.13,-18.67,-47.74,-3.26,0.25,0.22,0.30,0.52,0.62,0.29,0.53,-0.21,-0.11,0.33,0.15,0.26,-0.62,-0.64
26,EPS Diluted,-66.51,90.13,-18.67,-47.74,-3.26,0.24,0.20,0.28,0.49,0.59,0.27,0.51,-0.21,-0.11,0.33,0.14,0.24,-0.62,-0.64
27,Weighted Average Shares Outstanding,19997,19993,92200,92208,92200,62194000,62266000,62665000,65809000,61192000,56473000,52328000,51402000,48319000,47908000,48520000,48739000,48278000,46333000
28,Weighted Average Shares Outstanding Diluted,19997,19993,92200,92208,92200,65345000,66074000,67926000,70053000,64604000,59476000,54410000,51402000,48319000,48230000,49605000,51633000,48278000,46333000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393883/000119312508064566/0001193125-08-064566-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000119312509032136/0001193125-09-032136-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000119312510027288/0001193125-10-027288-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000144530511000180/0001445305-11-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388312000011/0001393883-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388313000008/0001393883-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388314000008/0001393883-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388315000008/0001393883-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388316000052/0001393883-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388317000007/0001393883-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388318000008/0001393883-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388319000009/0001393883-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388320000011/0001393883-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388321000011/0001393883-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388322000025/0001393883-22-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,8202000,11945000,3363000,5795000,57525000,55144000,44925000,43030000,55237000,40013000,39351000,26777000,34050000,22987000,12068000,6472000,5381000,7640000,1540000
32,Short-Term Investments,- -,- -,1337000,944000,150000,6497000,4214000,2166000,4983000,2201000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,8202000,11945000,4700000,6739000,57675000,61641000,49139000,45196000,60220000,42214000,39351000,26777000,34050000,22987000,12068000,6472000,5381000,7640000,1540000
34,Net Receivables,- -,- -,5407000,15014000,19112000,12653000,11336000,19940000,20684000,29030000,40159000,53021000,47296000,43879000,41386000,25053000,23511000,21342000,18739000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,3866000,16098000,16527000,3565000,3078000,3350000,2699000,4693000,5138000,8137000,7337000,3312000,5086000,7330000,4180000,4503000,4177000
37,Total Current Assets,- -,- -,13973000,37851000,93314000,77859000,63553000,68486000,83603000,75937000,84648000,87935000,88683000,70178000,58540000,38855000,33072000,33485000,24456000
38,PP&E,- -,- -,3805000,5356000,5768000,5938000,5719000,5674000,8726000,11158000,18612000,16066000,15849000,16610000,16147000,15890000,40064000,40949000,27469000
39,Goodwill,- -,- -,100888000,156440000,159773000,137416000,142638000,176406000,176365000,202944000,230190000,239256000,198598000,171745000,170791000,153974000,156059000,133353000,128100000
40,Intangible Assets,- -,- -,85458000,100186000,78572000,59119000,48536000,66500000,56471000,62755000,84905000,81345000,65292000,49120000,45737000,39000000,39000000,23800000,23800000
41,Intangible Assets,17661000,17567000,186346000,256626000,238345000,196535000,191174000,242906000,232836000,265699000,315095000,320601000,263890000,220865000,216528000,192974000,195059000,157153000,151900000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6769000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,399000,322000,306000,469000,136000,7000,19000,- -
44,Other Non-Current Assets,- -,- -,3694000,2494000,4160000,2837000,2109000,1656000,1213000,1436000,2286000,2246000,1755000,2136000,4034000,10530000,10119000,9381000,10984000
45,Total Non-Current Assets,- -,- -,193845000,264476000,248273000,205310000,199002000,250236000,242775000,278293000,335993000,339312000,281816000,239917000,237178000,219530000,245249000,207502000,197122000
46,Other Assets,39923000,52090000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,39923000,52090000,207818000,302327000,341587000,283169000,262555000,318722000,326378000,354230000,420641000,427247000,370499000,310095000,295718000,258385000,278321000,240987000,221578000
48,Accounts Payable,- -,- -,5946000,12113000,11971000,10306000,10205000,13801000,14599000,16552000,27468000,25714000,23883000,20220000,22196000,25030000,18908000,19426000,15859000
49,Short-Term Debt,- -,- -,- -,- -,2850000,1000000,1000000,4000000,4000000,- -,2500000,2500000,- -,- -,- -,- -,3643000,3410000,2388000
50,Tax Payable,- -,- -,- -,- -,- -,2195000,601000,735000,2929000,3817000,400000,1205000,4006000,3467000,1129000,1168000,984000,123000,- -
51,Deferred Revenue,- -,- -,16983000,34520000,46230000,40758000,33909000,49224000,60887000,69404000,77394000,86444000,83316000,84615000,83646000,54723000,50568000,42426000,45217000
52,Other Current Liabilities,- -,- -,1788000,1482000,5101000,2195000,601000,10879000,4486000,8743000,6274000,5091000,6340000,3467000,1129000,1168000,984000,123000,- -
53,Total Current Liabilities,- -,- -,24717000,48115000,66152000,54259000,45715000,77904000,83972000,94699000,113636000,119749000,113539000,108302000,106971000,80921000,74103000,65385000,63464000
54,Long-Term Debt,- -,- -,49000000,89000000,121550000,80500000,49300000,37000000,11000000,46000000,116500000,108000000,101000000,84760000,41450000,17288000,9435000,19583000,29712000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1363000,1058000,1068000,929000
56,Deferred Tax Liabilities,- -,- -,22471000,29582000,26256000,15998000,10886000,18807000,17167000,14414000,13641000,15478000,10849000,7901000,8245000,10444000,12823000,9936000,9315000
57,Other Non-Current Liabilities,- -,- -,1369000,1295000,7002000,8906000,8034000,6784000,5023000,8479000,9052000,6222000,6498000,5249000,6411000,3014000,19707000,17445000,1796000
58,Total Non-Current Liabilities,- -,- -,72840000,119877000,154808000,105404000,68220000,62591000,33190000,68893000,139193000,129700000,118347000,97910000,56106000,32109000,43023000,48032000,41752000
59,Other Liabilities,6752000,16630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20307000,17114000,9370000
61,Total Liabilities,6752000,16630000,97557000,167992000,220960000,159663000,113935000,140495000,117162000,163592000,252829000,249449000,231886000,206212000,163077000,113030000,117126000,113417000,105216000
62,Preferred Stock,- -,- -,515000,552000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,622000,622000,625000,660000,694000,710000,734000,774000,807000,820000,831000,876000,696000,714000,738000
64,Retained Earnings,- -,- -,-1722000,-6124000,-103347000,-87991000,-74500000,-55601000,-21501000,16586000,32832000,60444000,49476000,44078000,59776000,71435000,83986000,53971000,24229000
65,Other Comprehensive Income/Loss,- -,- -,-6000,1829000,3130000,-15557000,-10013000,-12035000,-12052000,-9294000,-6114000,-13906000,-20468000,-32276000,-27330000,-31236000,-29248000,-28519000,-61000
66,Other Total Stockholders Equity,33171000,35460000,111473000,138077000,220222000,226432000,232508000,245203000,242075000,182636000,140360000,130486000,108798000,91261000,99364000,104280000,105761000,101404000,91456000
67,Total Stockholders Equity,33171000,35460000,110261000,134335000,120627000,123506000,148620000,178227000,209216000,190638000,167812000,177798000,138613000,103883000,132641000,145355000,161195000,127570000,116362000
68,Total Liabilities And Stockholders Equity,39923000,52090000,207818000,302327000,341587000,283169000,262555000,318722000,326378000,354230000,420641000,427247000,370499000,310095000,295718000,258385000,278321000,240987000,221578000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,39923000,52090000,207818000,302327000,341587000,283169000,262555000,318722000,326378000,354230000,420641000,427247000,370499000,310095000,295718000,258385000,278321000,240987000,221578000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1393883/000119312508064566/0001193125-08-064566-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000119312509032136/0001193125-09-032136-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000119312510027288/0001193125-10-027288-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000144530511000180/0001445305-11-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388312000011/0001393883-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388313000008/0001393883-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388314000008/0001393883-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388315000008/0001393883-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388316000052/0001393883-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388317000007/0001393883-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388318000008/0001393883-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388319000009/0001393883-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388320000011/0001393883-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388321000011/0001393883-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388322000025/0001393883-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,-1722000,6778000,15507000,15356000,13491000,18899000,34100000,38087000,16246000,27612000,-10968000,-5398000,15978000,7174000,12551000,-30015000,-29742000
74,Depreciation and Amortization,- -,- -,4653000,15274000,22817000,21163000,17985000,15553000,14801000,12311000,17401000,27201000,23192000,16636000,11890000,9762000,9743000,12019000,17118000
75,Deferred Income Tax,- -,- -,-939000,3127000,2309000,2915000,-4750000,-2026000,-474000,-5773000,-7366000,-2924000,-945000,-4191000,558000,1520000,2600000,-3364000,-725000
76,Stock Based Compensation,- -,- -,- -,- -,- -,5590000,5090000,3589000,4676000,6130000,8131000,7498000,10185000,11145000,8608000,6606000,5704000,6327000,8303000
77,Change in Working Capital,- -,- -,5307000,37426000,-3562000,-5762000,-27256000,9049000,-18393000,-10226000,-2826000,6958000,-13268000,-10307000,6365000,1035000,9131000,-5340000,2746000
78,Accounts Receivable,- -,- -,- -,- -,- -,4443000,1631000,-3904000,-3730000,-3253000,-1438000,-9709000,-2140000,2281000,1976000,11947000,1694000,859000,-1102000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,-10264000,27162000,23600000,17838000,-9418000,-369000,-18762000,-28988000,-31814000,-24856000,-38124000,-48431000,-42066000,-41031000,-31900000,-37240000,6400000
82,Other Non-Cash Items,- -,- -,447000,-21787000,18582000,14914000,18241000,2004000,29784000,14132000,17779000,-10802000,52613000,36691000,-8990000,-11179000,-16806000,39056000,30881000
83,Cash Provided by Operating Activities,- -,- -,7746000,40818000,55653000,54176000,22801000,47068000,64494000,54661000,49365000,55543000,60809000,44576000,34409000,14918000,22923000,18683000,28581000
84,CAPEX,- -,- -,-582000,-2694000,-3521000,-3971000,-2988000,-4626000,-7776000,-5902000,-10555000,-8710000,-9078000,-11699000,-13222000,-10053000,-14188000,-16104000,-14307000
85,Acquisitions Net,- -,- -,-164435000,-64143000,- -,- -,-2690000,-43796000,- -,-30800000,-58603000,-27001000,- -,2429000,12947000,17542000,2683000,200000,- -
86,Purchases of Investments,- -,- -,-648000,-200000,-200000,-49208000,-2838000,-2442000,-4988000,-1744000,-3000,- -,- -,-1500000,-500000,- -,- -,- -,-3000000
87,Sales/Maturities of Investments,- -,- -,901000,596000,999000,42838000,5000000,4436000,2150000,4507000,2194000,- -,- -,- -,- -,- -,- -,- -,1198000
88,Other Investing Activites,- -,- -,- -,- -,-38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3195000
89,Cash Used for Investing Activites,- -,- -,-164764000,-66441000,-2760000,-10341000,-3516000,-46428000,-10614000,-33939000,-66967000,-35711000,-9078000,-10770000,-775000,7489000,-11505000,-15904000,-19304000
90,Debt Repayment,- -,- -,- -,- -,- -,-42900000,-33200000,-78300000,-26000000,-23500000,-30000000,-37500000,-138500000,-42000000,-44000000,-31000000,-28000000,-26444000,-11000000
91,Common Stock Issued,- -,- -,111800000,- -,81356000,- -,- -,11043000,11943000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-354000,- -,- -,-11943000,-68643000,-56915000,-34326000,-40047000,-32440000,-1184000,-2670000,-4423000,-10542000,-18387000
93,Dividends Paid,- -,- -,- -,-11180000,-107898000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,48581000,39144000,25375000,58000,2030000,65488000,-15595000,55314000,103354000,40413000,133885000,30227000,403000,6496000,20000000,36444000,14000000
95,Cash Used/Provided by Financing Activities,- -,- -,160381000,27964000,-1167000,-43196000,-31170000,-1769000,-41595000,-36829000,16439000,-31413000,-44662000,-44213000,-44781000,-27174000,-12423000,-542000,-15387000
96,Effect of Forex Changes on Cash,- -,- -,- -,91000,115000,-3020000,1666000,-766000,-78000,883000,501000,-993000,204000,-656000,228000,-829000,-86000,22000,10000
97,Net Change In Cash,- -,- -,160381000,2432000,51841000,-2381000,-10219000,-1895000,12207000,-15224000,-662000,-12574000,7273000,-11063000,-10919000,-5596000,-1091000,2259000,-6100000
98,Cash at the End of Period,- -,- -,3363000,5795000,57525000,55144000,44925000,43030000,55237000,40013000,39351000,26777000,34050000,22987000,12068000,6472000,5381000,7640000,1540000
99,Cash at the Beginning of Period,- -,- -,- -,3363000,5684000,57525000,55144000,44925000,43030000,55237000,40013000,39351000,26777000,34050000,22987000,12068000,6472000,5381000,7640000
100,Free Cash Flow,- -,- -,7164000,38124000,52132000,50205000,19813000,42442000,56718000,48759000,38810000,46833000,51731000,32877000,21187000,4865000,8735000,2579000,14274000
101,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1393883/000119312508064566/0001193125-08-064566-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000119312509032136/0001193125-09-032136-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000119312510027288/0001193125-10-027288-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000144530511000180/0001445305-11-000180-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388312000011/0001393883-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388313000008/0001393883-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388314000008/0001393883-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388315000008/0001393883-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388316000052/0001393883-16-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388317000007/0001393883-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388318000008/0001393883-18-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388319000009/0001393883-19-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388320000011/0001393883-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388321000011/0001393883-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1393883/000139388322000025/0001393883-22-000025-index.htm
102,false,,,,,,,,,,,,,,,,,,,
