,https://roic.ai/company/FUBO,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1484769/000139843213000255/0001398432-13-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000151116414000203/0001511164-14-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000139843215000152/0001398432-15-000152-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315216015404/0001493152-16-015404-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315217003687/0001493152-17-003687-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315218005302/0001493152-18-005302-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315219008897/0001493152-19-008897-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315220015142/0001493152-20-015142-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315221006813/0001493152-21-006813-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315222005658/0001493152-22-005658-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-311641,-141361,-428664,-2620196,-7577145,-10103000,10474000,-10610000,-114069000,-570333000,-382836000
74,Depreciation and Amortization,642,2463,2624,3139,859,2000,- -,8217000,20965000,44653000,39651000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-2114000,-5272000,-9660000,-2681000
76,Stock Based Compensation,- -,- -,- -,2264240,1940239,319000,- -,- -,1118000,50739000,63796000
77,Change in Working Capital,155926,-91239,-13657,-35283,-5330218,-8631981,11147000,-15412000,-30949000,-21131000,76364000
78,Accounts Receivable,- -,- -,-58345,-11248,11248,-11000,10000,- -,7705000,-12591000,-15058000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,-58345,-67178,5345,88000,67000,183000,5476000,-39141000,9420000
81,Other Working Capital,-152622,-243861,-257518,-292801,-5623019,-14255000,-3108000,-18520000,-49469000,-70600000,25476000
82,Other Non-Cash Items,- -,126434,308328,-74768,10051571,17834981,-22233000,16766000,129938000,356714000,13105000
83,Cash Provided by Operating Activities,-155073,-103703,-131369,-462868,-914694,-579000,-612000,-3153000,1731000,-149018000,-192601000
84,CAPEX,-18202,-840,- -,-1203,- -,- -,-6000,- -,-425000,-211000,-13478000
85,Acquisitions Net,- -,- -,28777,- -,- -,180000,- -,- -,2955000,8754000,-22894000
86,Purchases of Investments,- -,- -,-235000,-50000,- -,- -,- -,- -,-1000000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,655000,- -,- -
88,Other Investing Activites,-12766,- -,- -,- -,-250000,- -,- -,- -,-926000,-10045000,-48224000
89,Cash Used for Investing Activites,-18202,-840,-206223,-51203,-250000,180000,-6000,- -,1509000,-1457000,-76172000
90,Debt Repayment,- -,- -,- -,-165660,-30000,-248000,-40000,-1803000,-805000,-39313000,-24709000
91,Common Stock Issued,170094,48500,422500,197496,348765,- -,175000,3130000,3681000,278883000,140446000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-337000,-883000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,4797,47550,507000,733817,700000,483000,1780000,1814000,40385000,396221000
95,Cash Used/Provided by Financing Activities,170094,53297,470050,538836,1052582,452000,618000,3107000,4353000,279072000,511958000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-3181,-51246,132458,24765,-112112,53000,- -,-46000,7593000,128597000,243185000
98,Cash at the End of Period,54400,3154,135612,160377,48265,101000,77000,31000,7624000,136221000,379406000
99,Cash at the Beginning of Period,57581,54400,3154,135612,160377,48000,77000,77000,31000,7624000,136221000
100,Free Cash Flow,-173275,-104543,-131369,-464071,-914694,-579000,-618000,-3153000,1306000,-149229000,-206079000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1484769/000139843213000255/0001398432-13-000255-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000151116414000203/0001511164-14-000203-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000139843215000152/0001398432-15-000152-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315216015404/0001493152-16-015404-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315217003687/0001493152-17-003687-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315218005302/0001493152-18-005302-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315219008897/0001493152-19-008897-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315220015142/0001493152-20-015142-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315221006813/0001493152-21-006813-index.htm,https://www.sec.gov/Archives/edgar/data/1484769/000149315222005658/0001493152-22-005658-index.htm
102,false,,,,,,,,,,,
