,https://roic.ai/company/BHB,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,26151987,27500000,28500000,29200000,31952000,35333000,33892000,32352000,30579000,31922000,37195000,46145000,51809000,53594000,54367000,51141000,50860000,50752000,50680000,53428000,54646000,56619000,116069000,127451000,135391000,126104000,110804000
13,Interest Expense (Gain),10624393,11300000,11700000,12000000,13802000,17616000,15751000,12775000,11075000,11545000,15336000,24449000,28906000,26403000,21086000,19432000,16518000,13867000,11663000,9905000,10390000,12113000,23914000,36568000,45581000,26924000,15231000
14,Depreciation and Amortization,588147,- -,1000000,1200000,980000,1291000,1385000,1133000,1403000,2877000,2320000,1629000,1371000,323000,981000,1081000,2816000,1328000,1596000,1721000,1802000,1643000,4365000,4532000,4997000,5796000,940000
15,EBITDA,19707167,20900000,22100000,22900000,24014000,26123000,22308000,20215000,19577000,22277000,26662000,35842000,40452000,37841000,36409000,35307000,34839000,32605000,31633000,32153000,33312000,34565000,70902000,81599000,77407000,74371000,64799000
16,EBITDA ratio,19.5256,0.9858,1.0138,1.0000,1.0004,1.0541,0.8693,0.7778,0.7293,0.8266,0.9430,1.2544,1.4030,1.1254,0.9264,0.9014,0.7922,0.7358,0.6837,0.6287,0.6243,0.6040,0.6002,0.6868,0.6511,0.5232,0.4701
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42132000,9808000
20,Income Before Tax,8494627,9600000,9400000,9700000,9232000,7216000,5172000,6554000,7099000,7855000,9006000,9764000,10175000,11115000,14342000,14794000,15505000,17410000,18374000,20527000,21120000,20809000,42623000,40499000,26829000,41651000,48628000
21,Income Before Tax Ratio,8.4163,0.4528,0.4312,0.4236,0.3846,0.2912,0.2016,0.2522,0.2645,0.2915,0.3185,0.3417,0.3529,0.3306,0.3649,0.3777,0.3526,0.3929,0.3971,0.4014,0.3958,0.3636,0.3608,0.3408,0.2257,0.2930,0.3528
22,Income Tax expense (Gain),2615980,2900000,3000000,3100000,3007000,2419000,1661000,1742000,1892000,2123000,2582000,2885000,3020000,3384000,3992000,4132000,4462000,4944000,5191000,5914000,5967000,5876000,16630000,7562000,4209000,8407000,9329000
23,Net Income,5878647,6700000,6400000,6600000,6225000,4797000,3511000,4565000,5207000,5732000,6424000,6879000,7155000,7731000,10350000,10662000,11043000,12466000,13183000,14613000,15153000,14933000,25993000,32937000,22620000,33244000,39299000
24,Net Income ratio,5.8245,0.3160,0.2936,0.2882,0.2593,0.1936,0.1368,0.1756,0.1940,0.2127,0.2272,0.2408,0.2482,0.2299,0.2633,0.2722,0.2511,0.2813,0.2849,0.2857,0.2840,0.2609,0.2200,0.2772,0.1903,0.2339,0.2851
25,EPS,0.76,0.87,0.83,0.43,0.80,0.64,0.48,0.63,0.74,0.82,0.93,1.00,1.05,1.17,1.42,1.18,1.27,1.42,1.49,1.65,1.69,1.65,1.71,2.13,1.46,2.18,2.58
26,EPS Diluted,0.76,0.87,0.83,0.43,0.80,0.64,0.47,0.62,0.72,0.80,0.90,0.98,1.02,1.14,1.39,1.16,1.27,1.41,1.48,1.63,1.67,1.63,1.70,2.12,1.45,2.18,2.57
27,Weighted Average Shares Outstanding,7710520,7731522,7740234,15495241,7742430,7561732,7377846,7243598,7029517,6972657,6922120,6861998,6833416,6623311,6562446,8511482,8686066,8777515,8847114,8889580,8970367,9068623,15184000,15488000,15541000,15246000,15246000
28,Weighted Average Shares Outstanding Diluted,7710520,7731522,7740234,15495241,7781955,7561732,7450112,7357770,7207209,7220263,7125295,7024106,7003656,6766310,6712715,8614579,8726881,8819480,8892659,8964396,9090385,9142653,15290000,15564000,15587000,15272000,15272000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/743367/000074336796000002/0000743367-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743367/000074336701500012/0000743367-01-500012-index.html,- -,https://www.sec.gov/Archives/edgar/data/743367/000074336703000039/bhbt10k2002.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336704000037/bhbt10k2003.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336705000027/bhb10k2004.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336706000024/bhb10k2005.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336707000027/0000743367-07-000027-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336708000024/bhb10k2007.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336709000035/0000743367-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336710000014/0000743367-10-000014-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336711000097/bhb10k2010.htm,- -,https://www.sec.gov/Archives/edgar/data/743367/000074336713000035/0000743367-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336714000033/bhb201310k2013.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336715000032/bhb201410k.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336716000122/0000743367-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336717000031/0000743367-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336718000047/0000743367-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336719000041/0000743367-19-000041-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336720000072/0000743367-20-000072-index.html,https://www.sec.gov/Archives/edgar/data/743367/000155837021002727/0001558370-21-002727-index.htm,https://www.sec.gov/Archives/edgar/data/743367/000155837022003563/0001558370-22-003563-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12559797,13300000,7500000,11500000,12852000,10580000,17355000,11529000,14199000,9571000,14000000,19547000,7731000,9042000,9832000,12815000,8720000,14992000,9200000,9800000,9720000,8439000,90685000,98754000,56910000,226007000,250389000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418040000,450170000,470525000,504969000,528856000,717242000,725837000,663230000,585046000,618276000
33,Cash and Short-Term Investments,12559797,13300000,7500000,11500000,12852000,10580000,17355000,11529000,14199000,9571000,14000000,19547000,7731000,9042000,9832000,12815000,8720000,433032000,459370000,480325000,514689000,537295000,807927000,824591000,720140000,811053000,868665000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,541914000,569247000,654082000,730787000,802172000,878583000,960088000,1059391000,1101960000,757618000,- -,- -,- -,- -,- -,38105000,35659000,20679000,-783487000,2046700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,553443000,583446000,663653000,744787000,821719000,886314000,969130000,1069223000,1114775000,766338000,433032000,459370000,480325000,514689000,537295000,846032000,860250000,740819000,27566000,2915365000
38,PP&E,6219569,7500000,7700000,8000000,8440000,11996000,12954000,11313000,11410000,11935000,11785000,11368000,10795000,10854000,11927000,13505000,16090000,19255000,20145000,20518000,20674000,23419000,47708000,48804000,51205000,52458000,49382000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3158000,3158000,3158000,4935000,4935000,4935000,4935000,4935000,100085000,100085000,118649000,119477000,119477000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8383000,7459000,8641000,7670000,6733000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,375000,300000,3158000,3158000,3158000,3158000,3158000,3158000,3158000,3158000,4935000,4935000,4935000,4935000,4935000,108468000,107544000,127290000,127147000,126210000
42,Investments,- -,- -,- -,- -,- -,- -,- -,162300000,159297000,176337000,183300000,213252000,264617000,290502000,347026000,357882000,381880000,418040000,450170000,470525000,504969000,528856000,717242000,725837000,663230000,585046000,618276000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,-173613000,-170707000,-188272000,-195085000,-224620000,-275412000,-301356000,-358953000,-371387000,- -,427673000,439273000,483017000,534788000,660844000,1845734000,1866052000,2086584000,-637504000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,375000,300000,3158000,3158000,3158000,3158000,3158000,3158000,3158000,401128000,869903000,914523000,978995000,1065366000,1218054000,2719152000,2748237000,2928309000,127147000,793868000
46,Other Assets,326608699,345100000,342700000,392000000,456809000,466225000,487203000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1568594000,- -,- -,- -,- -,- -,- -,- -,- -,- -,4503101000
47,Total Assets,326608699,345100000,342700000,392000000,456809000,466225000,487203000,553818000,583746000,666811000,747945000,824877000,889472000,972288000,1072381000,1117933000,1167466000,1302935000,1373893000,1459320000,1580055000,1755349000,3565184000,3608487000,3669128000,154713000,3709233000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
49,Short-Term Debt,- -,43900000,39200000,28300000,113035000,12166000,- -,- -,- -,89851000,131338000,175246000,148246000,121672000,91893000,119880000,175813000,203441000,292690000,293800000,313000000,372700000,- -,- -,- -,93455000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675254000,780128000,862007000,889420000,- -,966459000,954810000,1014233000,1107903000,1220909000,3167510000,3194935000,3212801000,- -,- -
53,Total Current Liabilities,- -,43900000,39200000,28300000,113035000,12166000,- -,- -,- -,89851000,131338000,175246000,823500000,901800000,953900000,1009300000,175813000,1169900000,1247500000,1308033000,1420903000,1593609000,3167510000,3194935000,3212801000,93455000,- -
54,Long-Term Debt,32700000,- -,- -,37900000,- -,106986000,120900000,156558000,170506000,117072000,108358000,85466000,130607000,202231000,214736000,180134000,144470000,147490000,96500000,133500000,140882000,142116000,829721000,723796000,531316000,242568000,178524000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-197231000,-209736000,-175134000,- -,-142490000,-91500000,-128500000,-135882000,-137116000,-786688000,-680823000,-471396000,- -,- -
58,Total Non-Current Liabilities,32700000,- -,- -,37900000,- -,106986000,120900000,156558000,170506000,117072000,108358000,85466000,130607000,5000000,5000000,5000000,144470000,5000000,5000000,5000000,5000000,5000000,43033000,42973000,59920000,242568000,178524000
59,Other Liabilities,326065875,263300000,261000000,354700000,294629000,510538000,555565000,656540000,701137000,637990000,668861000,674046000,- -,10043000,- -,10025000,1017873000,- -,10014000,- -,- -,- -,- -,- -,- -,3463534000,3463610000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,293365875,307200000,300200000,345100000,407664000,415718000,434665000,499982000,530631000,610769000,691841000,763826000,823498000,906843000,958867000,1014325000,1049216000,1174889000,1252514000,1313033000,1425903000,1598609000,3210543000,3237908000,3272721000,3314421000,3285086000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18358000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3627210,- -,- -,- -,7287000,7287000,7287000,7287000,7287000,7287000,7287000,7287000,7287000,7287000,8887000,9051000,9051000,9051000,9051000,13577000,13577000,13577000,32857000,32857000,32857000,32857000,- -
64,Retained Earnings,23523626,28200000,32600000,36900000,40611000,42854000,43875000,78994000,48746000,51733000,55181000,59339000,63292000,67908000,75001000,80379000,86198000,93900000,102147000,113149000,122260000,130489000,144977000,166526000,175780000,195607000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,2167000,514000,1118000,-1738000,-953000,1118000,-524000,573000,284000,7024000,7697000,-7940000,6691000,3629000,-4326000,-4554000,-11802000,3911000,11016000,2303000
66,Other Total Stockholders Equity,6091988,9700000,9900000,10000000,1247000,366000,1376000,-34612000,-3432000,-4096000,-4626000,-4622000,-5723000,-9226000,10695000,13894000,15977000,17398000,18121000,12870000,14686000,17000000,181361000,182998000,183859000,171861000,- -
67,Total Stockholders Equity,33242824,37900000,42500000,46900000,49145000,50507000,52538000,53836000,53115000,56042000,56104000,61051000,65974000,65445000,113514000,103608000,118250000,128046000,121379000,146287000,154152000,156740000,354641000,370579000,396407000,411341000,424147000
68,Total Liabilities And Stockholders Equity,326608699,345100000,342700000,392000000,456809000,466225000,487203000,553818000,583746000,666811000,747945000,824877000,889472000,972288000,1072381000,1117933000,1167466000,1302935000,1373893000,1459320000,1580055000,1755349000,3565184000,3608487000,3669128000,3725762000,3709233000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3571049000,- -
70,Total Liabilities & Equity,326608699,345100000,342700000,392000000,456809000,466225000,487203000,553818000,583746000,666811000,747945000,824877000,889472000,972288000,1072381000,1117933000,1167466000,1302935000,1373893000,1459320000,1580055000,1755349000,3565184000,3608487000,3669128000,154713000,3709233000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/743367/000074336796000002/0000743367-96-000002-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/743367/000074336701500012/0000743367-01-500012-index.html,- -,https://www.sec.gov/Archives/edgar/data/743367/000074336703000039/bhbt10k2002.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336704000037/bhbt10k2003.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336705000027/bhb10k2004.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336706000024/bhb10k2005.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336707000027/0000743367-07-000027-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336708000024/bhb10k2007.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336709000035/0000743367-09-000035-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336710000014/0000743367-10-000014-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336711000097/bhb10k2010.htm,- -,https://www.sec.gov/Archives/edgar/data/743367/000074336713000035/0000743367-13-000035-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336714000033/bhb201310k2013.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336715000032/bhb201410k.htm,https://www.sec.gov/Archives/edgar/data/743367/000074336716000122/0000743367-16-000122-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336717000031/0000743367-17-000031-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336718000047/0000743367-18-000047-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336719000041/0000743367-19-000041-index.html,https://www.sec.gov/Archives/edgar/data/743367/000074336720000072/0000743367-20-000072-index.html,https://www.sec.gov/Archives/edgar/data/743367/000155837021002727/0001558370-21-002727-index.htm,https://www.sec.gov/Archives/edgar/data/743367/000155837022003563/0001558370-22-003563-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5878647,6700000,6400000,6600000,6225000,4797000,3511000,4565000,5207000,5732000,6424000,6879000,7155000,7731000,10350000,10662000,11043000,12466000,13183000,14613000,15153000,14933000,25993000,32937000,22620000,33244000,39299000
74,Depreciation and Amortization,588147,- -,1000000,1200000,980000,1291000,1385000,1133000,1403000,2877000,2320000,1629000,1371000,323000,981000,1081000,2816000,1328000,1596000,1721000,1802000,1643000,4365000,4532000,4997000,5796000,- -
75,Deferred Income Tax,- -,- -,- -,200000,-180000,26000,111000,-129000,124000,317000,- -,- -,- -,- -,-1742000,-211000,-477000,-83000,-111000,240000,142000,470000,6886000,-443000,1101000,-38000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,216000,265000,418000,711000,1114000,1274000,1346000,1373000,1570000,- -
77,Change in Working Capital,- -,-43900000,4700000,10900000,-84735000,100869000,12166000,553443000,30003000,-9644000,39647000,33024000,-583659000,4516000,47993000,-9848000,485050000,-1327393000,-51262000,-39578000,-78506000,-150100000,-1265164000,-13207000,-137297000,2406093000,2981254000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-43900000,-39200000,-28300000,-113035000,-12166000,- -,553443000,583446000,573802000,613449000,646473000,62814000,67330000,115323000,105475000,590525000,-736868000,-788130000,-827708000,-906214000,-1056314000,-2321478000,-2334685000,-2471982000,-65889000,2915365000
82,Other Non-Cash Items,1353487,45300000,-3200000,-12400000,84217000,-100381000,-9703000,-552292000,-31026000,9574000,-41011000,-33650000,583307000,-1646000,-50799000,12052000,-482293000,1334557000,57889000,38117000,81029000,148731000,1266778000,12557000,143609000,-2408492000,-3016184000
83,Cash Provided by Operating Activities,7820281,8100000,8900000,6500000,6507000,6602000,7470000,6720000,5711000,8856000,7380000,7882000,8174000,10924000,6783000,13736000,16139000,21091000,21560000,15531000,20331000,16791000,40132000,37722000,36403000,38173000,4369000
84,CAPEX,- -,-2500000,-1100000,-1200000,-1546000,-4953000,-2440000,-312000,-1204000,-1261000,-1244000,-863000,-638000,-1063000,-1987000,-2659000,-3765000,-3894000,-2394000,-2002000,-1866000,-4296000,-3157000,-4793000,-9185000,-6776000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1197000,- -,- -,- -,- -,39537000,- -,-18383000,-340000,- -
86,Purchases of Investments,-35080320,-24400000,-33000000,-88700000,-66057000,-12021000,-38259000,-96918000,-121740000,-116545000,-60970000,-78512000,-155808000,-101862000,-185826000,-158584000,-137215000,-167358000,-172131000,-110239000,-168432000,-210824000,-172116000,-147348000,-129211000,-218317000,- -
87,Sales/Maturities of Investments,- -,18300000,36900000,57400000,34773000,19725000,53449000,71287000,123112000,97747000,49107000,49333000,105215000,70720000,132623000,147860000,122205000,133288000,111616000,111132000,129554000,175960000,123182000,124736000,207649000,305029000,- -
88,Other Investing Activites,6046864,-13300000,-6300000,-14100000,-33896000,-18048000,-31120000,-47632000,-33313000,-50131000,-67814000,-41349000,-25828000,-55776000,-37065000,-32414000,-33050000,-59497000,-40123000,-71043000,-89105000,-142726000,-146452000,-16559000,-135851000,63151000,- -
89,Cash Used for Investing Activites,-29033456,-19400000,-2400000,-45400000,-65180000,-10344000,-15930000,-73263000,-31941000,-68929000,-79677000,-70528000,-76421000,-86918000,-92255000,-45797000,-51825000,-92370000,-100638000,-70150000,-127983000,-181886000,-159006000,-43964000,-84981000,142747000,- -
90,Debt Repayment,-24000000,-28900000,- -,-30500000,-56000000,-98383000,-63632000,-222467000,-803315000,- -,-12888000,-6973000,-90478000,-55953000,-79038000,-50030000,-58052000,-39296000,-44641000,-53990000,-21011000,-11016000,- -,- -,-259719000,-78186000,- -
91,Common Stock Issued,61828,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20412000,1941000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1534000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144000,-19427000,-623000,-181000,-24000,-8000,-24000,-497000,-282000,-324000,-239000,-14188000,- -
93,Dividends Paid,-1473700,-2000000,-2100000,-2300000,-2476000,-2554000,-2490000,-2445000,-2386000,-2478000,-2584000,-2761000,-2899000,-3004000,-3784000,-4093000,-4228000,-4565000,-4915000,-5362000,-6040000,-6577000,-11505000,-12184000,-13366000,-13417000,-14072000
94,Other Financing Activites,49470131,42900000,-8200000,75700000,118490000,102407000,81357000,285629000,834601000,57653000,92198000,77927000,149808000,136262000,148816000,106653000,94494000,121593000,122866000,114579000,134647000,181904000,212907000,26819000,280058000,93968000,- -
95,Cash Used/Provided by Financing Activities,24058259,12000000,-10300000,42900000,60014000,1470000,15235000,60717000,28900000,55175000,76726000,68193000,56431000,77305000,86262000,35044000,31591000,77551000,73286000,55219000,107572000,163814000,201120000,14311000,6734000,-11823000,-12538000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2845084,12000000,-10300000,42900000,1341000,-2272000,6775000,-5826000,2670000,-4898000,4429000,5547000,-11816000,1311000,790000,2983000,-4095000,6272000,-5792000,600000,-80000,-1281000,82246000,8069000,-41844000,169097000,-223435000
98,Cash at the End of Period,12559797,- -,- -,- -,12852000,10580000,17355000,11529000,14199000,9571000,14000000,19547000,7731000,9042000,9832000,12815000,8720000,14992000,9200000,9800000,9720000,8439000,90685000,98754000,56910000,226007000,2572000
99,Cash at the Beginning of Period,9714713,12600000,11300000,7500000,11511000,12852000,10580000,17355000,11529000,14469000,9571000,14000000,19547000,7731000,9042000,9832000,12815000,8720000,14992000,9200000,9800000,9720000,8439000,90685000,98754000,56910000,226007000
100,Free Cash Flow,7820281,5600000,7800000,5300000,4961000,1649000,5030000,6408000,4507000,7595000,6136000,7019000,7536000,9861000,4796000,11077000,12374000,17197000,19166000,13529000,18465000,12495000,36975000,32929000,27218000,31397000,4369000
