,https://roic.ai/company/DAR,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,15102041,16000000,16739130,- -,16363636,15582524,15600813,15585526,44272222,- -,64623077,64567000,72957143,81308929,- -,82157000,82475000,115525000,118089000,119924000,- -,164653846,165020968,166730000,167910000,168378000,- -,167208000
29,SEC Link,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916540/000091654002000004/0000916540-02-000004-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/916540/000091654006000003/ye05k.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654007000011/ye06k.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654008000009/k10ye07.htm,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654009000005/0000916540-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654010000009/0000916540-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654012000006/0000916540-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654013000006/0000916540-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654014000008/dar-2013122810xk.htm,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654015000006/dar-2015010310xk.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654017000005/0000916540-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654018000007/0000916540-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654019000004/0000916540-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654020000007/0000916540-20-000007-index.html,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654021000010/0000916540-21-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5100000,11600000,13000000,- -,3000000,12300000,3500000,3700000,15500000,- -,39628000,36000000,5300000,16300000,- -,50800000,68200000,38936000,103200000,870900000,- -,108784000,114564000,106774000,107262000,72935000,- -,81617000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5100000,11600000,13000000,- -,3000000,12300000,3500000,3700000,15500000,- -,39628000,36000000,5300000,16300000,- -,50800000,68200000,38936000,103200000,870900000,- -,108784000,114564000,106774000,107262000,72935000,- -,81617000
34,Net Receivables,26800000,30200000,36000000,- -,32500000,16600000,21800000,23700000,24100000,- -,26675000,25886000,42400000,59400000,- -,51700000,46200000,112849000,98100000,127400000,- -,431919000,395876000,396356000,392199000,409655000,- -,409270000
35,Inventory,13700000,11600000,12600000,- -,13900000,11700000,8300000,7700000,7000000,- -,6000000,6601000,14600000,22500000,- -,22200000,19100000,50830000,65100000,65100000,- -,401613000,330815000,358183000,341028000,362957000,- -,405922000
36,Other Current Assets,8500000,10700000,8100000,- -,7800000,8600000,12300000,6800000,9700000,- -,8670000,14588000,12400000,16900000,- -,13800000,12900000,17065000,23900000,64100000,- -,66296000,52047000,95132000,57453000,71741000,- -,90185000
37,Total Current Assets,54100000,64100000,69700000,- -,57200000,49200000,45900000,41900000,56300000,- -,80973000,83075000,74700000,115100000,- -,138500000,146400000,219680000,290300000,1127500000,- -,1008612000,893302000,956445000,897942000,917288000,- -,986994000
38,PP&E,145700000,155100000,175800000,- -,170600000,140100000,88200000,74700000,73000000,- -,75398000,85178000,132100000,128700000,- -,143300000,152000000,400222000,453900000,666600000,- -,1574116000,1515575000,1645822000,1687858000,1927137000,- -,2010377000
39,Goodwill,- -,- -,19900000,- -,20900000,5500000,4600000,4400000,4400000,- -,- -,4429000,71900000,71900000,- -,61100000,79100000,381369000,381400000,701600000,- -,1320419000,1225893000,1301093000,1229159000,1223291000,- -,1260240000
40,Intangible Assets,42800000,42900000,59900000,- -,58700000,43000000,32100000,27400000,23100000,- -,4429000,- -,33700000,29000000,- -,36000000,40300000,362914000,337400000,588700000,- -,932413000,711927000,676500000,595862000,526394000,- -,473680000
41,Intangible Assets,42800000,42900000,79800000,- -,79600000,48500000,36700000,31800000,27500000,- -,4429000,4429000,105600000,100900000,- -,97100000,119400000,744283000,718800000,1290300000,- -,2252832000,1937820000,1977593000,1825021000,1749685000,- -,1733920000
42,Investments,- -,- -,2300000,- -,3000000,2400000,1600000,1500000,2300000,- -,- -,- -,- -,- -,- -,- -,- -,21733000,62495000,115114000,- -,202712000,292717000,302038000,410177000,689354000,- -,804682000
43,Tax Assets,- -,- -,29300000,- -,25800000,13600000,2900000,2000000,3700000,- -,- -,- -,- -,4900000,- -,- -,6300000,- -,46600000,138800000,- -,379273000,14990000,266708000,231063000,247931000,- -,16676000
44,Other Non-Current Assets,2900000,4000000,-27300000,- -,-23200000,9400000,-800000,7200000,100000,- -,22009000,18090000,8400000,1700000,- -,15500000,2100000,31112000,-19695000,-94214000,- -,-290998000,43613000,-190381000,-162707000,-186137000,- -,60682000
45,Total Non-Current Assets,191400000,202000000,259900000,- -,255800000,214000000,128600000,117200000,106600000,- -,101836000,107697000,246100000,236200000,- -,255900000,279800000,1197350000,1262100000,2116600000,- -,4117935000,3804715000,4001780000,3991412000,4427970000,- -,4626337000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,245500000,266100000,329600000,- -,313000000,263200000,174500000,159100000,162900000,- -,182809000,190772000,320800000,351300000,- -,394400000,426200000,1417030000,1552400000,3244100000,- -,5126547000,4698017000,4958225000,4889354000,5345258000,- -,5613331000
48,Accounts Payable,19600000,17400000,27700000,- -,22400000,15500000,14300000,11100000,9900000,- -,8144000,12264000,17500000,24900000,- -,16200000,18700000,60402000,54000000,43700000,- -,168518000,180895000,217417000,219479000,239252000,- -,255340000
49,Short-Term Debt,11600000,9100000,- -,- -,- -,- -,- -,- -,8372000,- -,5030000,5026000,5004000,6250000,- -,5000000,5009000,10000,82000,19888000,- -,54401000,23247000,16143000,7492000,128801000,- -,66997000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4363000,4913000,12300000,4043000,8895000,- -,17497000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6921000,8026000,- -,6656000,7216000,- -,12609000,17289000,- -,45001000,- -,14043000,14981000,122109000,- -,14443000
52,Other Current Liabilities,25900000,24700000,50000000,- -,31400000,30600000,138400000,147500000,28928000,- -,28197000,25378000,27375000,41524000,- -,43144000,40375000,66845000,65009000,95923000,- -,215481000,247709000,311880000,298546000,198177000,- -,338525000
53,Total Current Liabilities,57100000,51200000,77700000,- -,53800000,46100000,152700000,158600000,47200000,- -,41371000,42668000,56800000,80700000,- -,71000000,71300000,127257000,131700000,176800000,- -,483401000,451851000,559483000,540498000,688339000,- -,675305000
54,Long-Term Debt,109100000,117100000,138200000,- -,142200000,140600000,- -,- -,68700000,- -,49528000,44502000,78000000,37500000,- -,32500000,27500000,280020000,250100000,866900000,- -,2098039000,1727696000,1698050000,1666940000,1558429000,- -,1480531000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,21900000,27700000,- -,- -,- -,- -,- -,- -,- -,- -,4478000,2550000,- -,- -,- -,- -,- -,31133000,46615000,138759000,- -,422797000,346134000,266708000,231063000,247931000,- -,276208000
57,Other Non-Current Liabilities,17900000,15300000,49700000,- -,47200000,38500000,19100000,10100000,11100000,- -,20197000,27372000,34700000,32200000,- -,54300000,42500000,58245000,61585000,40741000,- -,169320000,96114000,189051000,177805000,284740000,- -,227078000
58,Total Non-Current Liabilities,148900000,160100000,187900000,- -,189400000,179100000,19100000,10100000,79800000,- -,74203000,74424000,112700000,69700000,- -,86800000,70000000,369398000,358300000,1046400000,- -,2690156000,2169944000,2153809000,2075808000,2091100000,- -,1983817000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129229000,- -,149166000
61,Total Liabilities,206000000,211300000,265600000,- -,243200000,225200000,171800000,168700000,127000000,- -,115574000,117092000,169500000,150400000,- -,157800000,141300000,496655000,490000000,1223200000,- -,3173557000,2621795000,2713292000,2616306000,2779439000,- -,2659122000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,100000,- -,200000,200000,200000,200000,600000,- -,639000,644000,800000,800000,- -,800000,800000,1176000,1200000,1700000,- -,1662000,1676000,1679000,1681000,1686000,- -,1699000
64,Retained Earnings,7400000,21700000,29400000,- -,34800000,2700000,-32500000,-44300000,-35400000,- -,-3294000,4447000,12400000,58100000,- -,112600000,154300000,368006000,498800000,607700000,- -,671958000,852802000,981227000,1087505000,1400105000,- -,1696924000
65,Other Comprehensive Income/Loss,-15900000,-34200000,-56000000,- -,-81600000,-100700000,-140900000,-1000000,-3907000,- -,-7331000,-10609000,-11733000,-8598000,- -,-29850000,-23782000,-30904000,-31329000,-29423000,- -,-177060000,-340006000,-209524000,-304539000,-321847000,- -,-252433000
66,Other Total Stockholders Equity,48000000,67300000,90500000,- -,116400000,135700000,175900000,35400000,74621000,- -,- -,79198000,149858000,150682000,- -,153028000,153559000,582097000,593765000,1440975000,- -,1456430000,1458522000,1471551000,1488401000,1485875000,- -,1445719000
67,Total Stockholders Equity,39500000,54800000,64000000,- -,69800000,37900000,2700000,-9700000,35914000,- -,67235000,73680000,151325000,200984000,- -,236578000,284877000,920375000,1062436000,2020952000,- -,1952990000,1972994000,2244933000,2273048000,2565819000,- -,2891909000
68,Total Liabilities And Stockholders Equity,245500000,266100000,329600000,- -,313000000,263100000,174500000,159000000,162914000,- -,182809000,190772000,320825000,351384000,- -,394378000,426177000,1417030000,1552436000,3244152000,- -,5126547000,4594789000,4958225000,4889354000,5345258000,- -,5551031000
69,Minority Interest,- -,- -,- -,- -,- -,100000,- -,100000,-14000,- -,- -,- -,-25000,-84000,- -,22000,23000,- -,-36000,-52000,- -,- -,103228000,- -,- -,- -,- -,62300000
70,Total Liabilities & Equity,245500000,266100000,329600000,- -,313000000,263200000,174500000,159100000,162900000,- -,182809000,190772000,320800000,351300000,- -,394400000,426200000,1417030000,1552400000,3244100000,- -,5126547000,4698017000,4958225000,4889354000,5345258000,- -,5613331000
71,SEC Link,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916540/000091654002000004/0000916540-02-000004-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/916540/000091654006000003/ye05k.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654007000011/ye06k.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654008000009/k10ye07.htm,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654009000005/0000916540-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654010000009/0000916540-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654012000006/0000916540-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654013000006/0000916540-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654014000008/dar-2013122810xk.htm,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654015000006/dar-2015010310xk.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654017000005/0000916540-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654018000007/0000916540-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654019000004/0000916540-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654020000007/0000916540-20-000007-index.html,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654021000010/0000916540-21-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,7400000,14400000,7700000,- -,5400000,-32100000,-19200000,-11800000,9000000,- -,13892000,7741000,5100000,45500000,- -,54600000,41800000,169418000,130800000,109000000,- -,64215000,102313000,128468000,101496000,312600000,- -,296819000
74,Depreciation and Amortization,19900000,22600000,27600000,- -,33700000,32400000,31181000,26634000,16426000,- -,15224000,16388000,20686000,23214000,- -,24433000,25226000,78909000,85371000,98787000,- -,269517000,289908000,302100000,321192000,325510000,- -,350178000
75,Deferred Income Tax,1300000,6300000,-100000,- -,-1300000,-9300000,- -,- -,2187000,- -,779000,-3850000,-3929000,5616000,- -,-12428000,14652000,24702000,10338000,24593000,- -,-21216000,-11532000,-98805000,-16974000,20530000,- -,15814000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,768000,3932000,8904000,9433000,- -,20807000,10330000,17598000,18779000,21007000,- -,23222000
77,Change in Working Capital,- -,15900000,-20900000,- -,11400000,-300000,-101500000,-9900000,125800000,- -,8402000,805000,-22507000,16500000,- -,33100000,7600000,61623000,66177000,792100000,- -,-425489000,-48669000,-44489000,-39518000,-128495000,- -,82740000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5148000,-10086000,-2324000,4424000,- -,982000,-22796000,3482000,-6347000,-26086000,- -,22362000
79,Inventory,-7800000,2200000,3700000,- -,-3200000,700000,2246000,-746000,111000,- -,2606000,-3074000,867000,-7728000,- -,-398000,4286000,-5760000,-15168000,2059000,- -,-11194000,15343000,-15022000,2391000,-39111000,- -,-18666000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,-3000000,12900000,-8000000,- -,3400000,3100000,-106800000,-116700000,9100000,- -,39602000,40407000,17900000,34400000,- -,67500000,75100000,92423000,158600000,950700000,- -,525211000,441451000,396962000,357444000,228949000,- -,311689000
82,Other Non-Cash Items,4000000,-25000000,32100000,- -,-22100000,34800000,105762000,678000,-119281000,- -,-174000,3500000,29482000,-25123000,- -,-7755000,-10860000,-97720000,-52053000,-823192000,- -,367338000,48686000,105715000,13640000,-188531000,- -,-144122000
83,Cash Provided by Operating Activities,32600000,34200000,46400000,- -,27100000,25500000,16243000,5612000,34132000,- -,38123000,24584000,28832000,65707000,- -,91950000,79186000,240864000,249537000,210721000,- -,275172000,391036000,410587000,398615000,362621000,- -,624651000
84,CAPEX,-17800000,-24600000,-28600000,- -,-26600000,-15000000,-7684000,-9142000,-13433000,- -,-13312000,-21406000,-11800000,-15814000,- -,-37615000,-23638000,-60153000,-115550000,-120730000,- -,-240206000,-243546000,-281303000,-325779000,-363149000,- -,-283925000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-80166000,- -,- -,-15876000,-33987000,-25059000,-46424000,-779034000,- -,-2094400000,-8511000,-16894000,-119977000,-3431000,- -,-29793000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82760000,3671000,- -,- -
88,Other Investing Activites,-1000000,-3400000,-2300000,- -,-800000,1800000,3776000,-134000,5357000,- -,161000,768000,739000,217000,- -,1101000,-21725000,-58624000,-107408000,-116391000,- -,-229394000,-234680000,-267159000,-305198000,-338314000,- -,-280835000
89,Cash Used for Investing Activites,-18800000,-28000000,-30900000,- -,-27400000,-13200000,-3908000,-9276000,-8076000,- -,-13151000,-20638000,-91227000,-15597000,- -,-52390000,-55712000,-83683000,-153832000,-895425000,- -,-2323794000,-243191000,-284053000,-342415000,-338074000,- -,-310628000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-561009000,-30032000,-5580000,- -,-685351000,-308456000,-354558000,-1197602000,-1042832000,- -,-713330000
91,Common Stock Issued,- -,800000,600000,- -,300000,100000,- -,- -,- -,- -,152000,54000,29000,517000,- -,303000,11000,293117000,72000,840558000,- -,416000,188000,22000,182000,39000,- -,67000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,- -,- -,-19260000,- -,-55044000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1240000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-14000000,-400000,-14800000,- -,-10100000,-3000000,-10654000,3823000,-14187000,- -,-1438000,-5249000,31647000,-39573000,- -,-5384000,-1117000,130445000,-1432000,622468000,- -,1960504000,129400000,199684000,1149838000,1007168000,- -,461321000
95,Cash Used/Provided by Financing Activities,-14000000,400000,-14200000,- -,-9800000,-2900000,-10654000,3823000,-14187000,- -,-12526000,-5195000,31676000,-39056000,- -,-5081000,-6106000,-137447000,-31392000,1457446000,- -,1275569000,-183868000,-154852000,-47582000,-54885000,- -,-306986000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5134000,- -,10980000,-6297000,20528000,-8165000,-3986000,- -,1638000
97,Net Change In Cash,-14000000,400000,-14200000,- -,-9800000,-2900000,1681000,159000,11869000,- -,12446000,-1249000,-30719000,11054000,- -,34479000,17368000,19734000,64313000,767608000,- -,-762073000,-42320000,-7790000,453000,-34324000,- -,8675000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,3509000,3668000,15537000,- -,37249000,36000000,5281000,16335000,- -,50814000,68182000,38936000,103249000,870857000,- -,108784000,114564000,106774000,107369000,73045000,- -,81720000
99,Cash at the Beginning of Period,5300000,5100000,11600000,- -,13000000,2900000,1828000,3509000,3668000,- -,24803000,37249000,36000000,5281000,- -,16335000,50814000,19202000,38936000,103249000,- -,870857000,156884000,114564000,106916000,107369000,- -,73045000
100,Free Cash Flow,14800000,9600000,17800000,- -,500000,10500000,8559000,-3530000,20699000,- -,24811000,3178000,17032000,49893000,- -,54335000,55548000,180711000,133987000,89991000,- -,34966000,147490000,129284000,72836000,-528000,- -,340726000
101,SEC Link,- -,- -,- -,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916540/000091654002000004/0000916540-02-000004-index.html,- -,undefined,- -,https://www.sec.gov/Archives/edgar/data/916540/000091654006000003/ye05k.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654007000011/ye06k.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654008000009/k10ye07.htm,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654009000005/0000916540-09-000005-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654010000009/0000916540-10-000009-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654012000006/0000916540-12-000006-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654013000006/0000916540-13-000006-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654014000008/dar-2013122810xk.htm,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654015000006/dar-2015010310xk.htm,https://www.sec.gov/Archives/edgar/data/916540/000091654017000005/0000916540-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654018000007/0000916540-18-000007-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654019000004/0000916540-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/916540/000091654020000007/0000916540-20-000007-index.html,undefined,https://www.sec.gov/Archives/edgar/data/916540/000091654021000010/0000916540-21-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,
