,https://roic.ai/company/ES,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72791000,-208180000,-44355000,18916000,-128339000,-54619000,144743000,-91618000,-14126000,-20421000,-22084000,14866000,122567000,-29201000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-256000000,-128800000,-137700000,-249700000,-194900000,-499200000,-1391441000,135214000,216772000,326496000,103819000,401613000,367216000,80106000,-197898000,288442000,79667000,-590210000,-1416395000,-1188602000,-441916000,-371004000,-1160933000,-1101946000,-1820658000,-1191024000,-1784869000,-105052000
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,340300000,270100000,743100000,572200000,730700000,1044900000,1501165000,-1283972000,522744000,462481000,505887000,594128000,169546000,282129000,101282000,-281637000,307020000,746617000,650459000,-392451000,-988675000,-682964000,840750000,-793090000,222922000,-819580000,-344963000,-668339000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,920900000,883300000,815500000,377200000,688700000,614200000,578383000,376738000,612645000,573572000,517067000,441204000,407074000,248435000,649418000,989118000,1093463000,970386000,1161229000,1663539000,1635473000,1424025000,2175052000,638400000,1783978000,2009577000,1682572000,1962600000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-288200000,-249700000,-237400000,-240300000,-234000000,-329600000,-414022000,-442587000,-468842000,-532251000,-643822000,-775355000,-872181000,-1114824000,-1255407000,-908146000,-954472000,-1076730000,-1472272000,-1456787000,-1603744000,-1724139000,-1976867000,-719623000,-2523371000,-2911489000,-2942996000,-3175080000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-260347000,-25823000,- -,- -,- -,- -,1020740000,-16648000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-877652000,- -,-416337000,-239673000,-327385000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142260000,-193917000,-261777000,-262357000,-211243000,-178361000,-151972000,-348629000,-679784000,-491220000,-717114000,-870230000,-3869000,-1113537000,-537258000,-401823000,-414980000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,137099000,193459000,254832000,261047000,208947000,174865000,149441000,317294000,627532000,488789000,799165000,659338000,3934000,1045749000,566592000,434124000,447893000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-33600000,-91400000,-90700000,-89300000,-86700000,480800000,-68028000,-300357000,327026000,-46550000,-26165000,80971000,-31037000,70951000,3360000,7963000,- -,60674000,35683000,67816000,14380000,-17062000,36951000,874035000,200678000,24204000,-978907000,22178000
89,Cash Used for Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321800000,-341100000,-328100000,-329600000,-320700000,151200000,-742397000,-768767000,-141816000,-578801000,-669987000,-699545000,117064000,-1067466000,-1253357000,-902479000,-957968000,-1018587000,-1467924000,-1441223000,-1591795000,-1659150000,-2150808000,-723175000,-2390481000,-3274288000,-4129275000,-3447374000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-492211000,-816945000,-265150000,-438898000,-953569000,-1409024000,-576551000,-458822000,-212453000,-400000000,-1429640000,-475708000,-370446000,-1185710000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,47200000,10600000,6500000,2700000,5300000,4269000,1751000,7458000,13654000,10937000,450827000,9494000,9056000,5524000,389717000,- -,- -,- -,- -,- -,- -,- -,- -,- -,852254000,928992000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7300000,-140700000,-36500000,-25000000,-62200000,-46300000,-126771000,-60768000,- -,-20537000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-262300000,-261000000,-210100000,-62400000,-26400000,-36000000,-71520000,-68172000,-73352000,-78649000,-85736000,-87554000,-112745000,-120988000,-129077000,-167940000,-186101000,-200114000,-382076000,-470423000,-482746000,-537310000,-572005000,-273960000,-647629000,-670758000,-752184000,-812958000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -,-341600000,-191400000,-86200000,-17600000,-289400000,-569400000,302899000,415859000,-416200000,77624000,231336000,-106139000,15242000,464156000,1294415000,445665000,312199000,670377000,1681529000,1654747000,1010958000,1216501000,766518000,757004000,2807206000,1466662000,2788228000,3439500000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-596600000,-545900000,-322200000,-98500000,-375300000,-646400000,108877000,288670000,-482094000,-7908000,156537000,257134000,-88009000,352224000,678651000,-149503000,-139052000,31365000,345884000,-224700000,-48339000,220369000,-17940000,83044000,729937000,1172450000,2594590000,1440832000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,-3700000,165200000,-50800000,-7200000,119000000,-55137000,-103359000,-11265000,-13137000,3617000,-1207000,436129000,-466807000,74712000,-62864000,-3557000,-16836000,39189000,-2384000,-4661000,-14756000,6304000,-1731000,123434000,-92261000,147887000,-43942000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,34600000,30900000,194200000,143400000,136200000,255200000,200017000,96658000,85393000,37196000,46989000,45782000,481911000,15104000,89816000,26952000,23395000,6559000,45748000,43364000,38703000,23947000,30251000,1763000,209324000,117063000,264950000,221008000
99,Cash at the Beginning of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,34600000,29000000,194200000,143400000,136200000,255154000,200017000,96658000,50333000,43372000,46989000,45782000,481911000,15104000,89816000,26952000,23395000,6559000,45748000,43364000,38703000,23947000,3494000,85890000,209324000,117063000,264950000
100,Free Cash Flow,- -,- -,- -,- -,- -,- -,- -,- -,- -,632700000,633600000,578100000,136900000,454700000,284600000,164361000,-65849000,143803000,41321000,-126755000,-334151000,-465107000,-866389000,-605989000,80972000,138991000,-106344000,-311043000,206752000,31729000,-300114000,198185000,-81223000,-739393000,-901912000,-1260424000,-1212480000
101,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/880416/000007274195000017/0000072741-95-000017-index.html,https://www.sec.gov/Archives/edgar/data/72741/000007274196000049/0000072741-96-000049-index.html,https://www.sec.gov/Archives/edgar/data/72741/000007274197000054/0000072741-97-000054-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/106170/000007274101000075/0000072741-01-000075-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274105000042/0000072741-05-000042-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274106000036/0000072741-06-000036-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274107000034/0000072741-07-000034-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274108000107/0000072741-08-000107-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274109000127/0000072741-09-000127-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274110000081/0000072741-10-000081-index.htm,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274112000020/0000072741-12-000020-index.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/72741/000007274116000063/0000072741-16-000063-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274117000007/0000072741-17-000007-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274118000028/0000072741-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274119000017/0000072741-19-000017-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274120000008/0000072741-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274121000005/0000072741-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/72741/000007274122000015/0000072741-22-000015-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
