,https://roic.ai/company/ETN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.1313,0.0850,0.1369,0.1479,0.1434,0.1162,0.0778,0.0251,0.1057,0.1221,0.1280,0.1156,0.1264,0.1232,0.1671,0.1329,0.0996,0.1075,0.1119,0.1203,0.1264,0.1181,0.1185,0.1121,0.0862,0.1151,0.1313,0.1259,0.1424,0.1313,0.1582,0.1664,0.2219,0.1665,0.1734,0.1512,0.2018
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),21000000,-89300000,-47400000,-33100000,-39900000,-43000000,-53000000,-51000000,-55000000,-72000000,-48000000,-49000000,-32000000,3000000,234000000,-97000000,-70000000,-118000000,-82000000,-106000000,-63000000,-64000000,-136000000,-127000000,-141000000,-135000000,-80000000,-279000000,-263000000,-688000000,-197000000,-126000000,869000000,-542000000,-272000000,-78000000,433000000
20,Income Before Tax,386500000,220100000,328300000,367300000,335500000,250000000,82000000,178000000,262000000,488000000,592000000,485000000,668000000,485000000,963000000,552000000,278000000,399000000,508000000,781000000,996000000,989000000,1041000000,1128000000,303000000,1036000000,1553000000,1251000000,1884000000,1761000000,2145000000,2127000000,3368000000,2424000000,2591000000,1746000000,2896000000
21,Income Before Tax Ratio,0.1052,0.0577,0.1046,0.1059,0.0914,0.0687,0.0243,0.0460,0.0595,0.0806,0.0868,0.0697,0.0883,0.0732,0.1146,0.0664,0.0381,0.0553,0.0630,0.0796,0.0896,0.0800,0.0799,0.0734,0.0255,0.0755,0.0968,0.0767,0.0855,0.0781,0.1029,0.1077,0.1651,0.1122,0.1211,0.0978,0.1475
22,Income Tax expense (Gain),155600000,82500000,122100000,139600000,125800000,81000000,20000000,41000000,82000000,155000000,193000000,136000000,204000000,136000000,346000000,189000000,109000000,118000000,122000000,133000000,191000000,77000000,82000000,73000000,-82000000,99000000,201000000,31000000,11000000,-42000000,164000000,202000000,382000000,278000000,378000000,331000000,750000000
23,Net Income,230900000,137600000,201200000,230000000,224900000,179000000,74000000,-128000000,187000000,333000000,399000000,349000000,410000000,349000000,617000000,453000000,169000000,281000000,386000000,648000000,805000000,950000000,994000000,1058000000,383000000,929000000,1350000000,1217000000,1861000000,1793000000,1979000000,1922000000,2985000000,2145000000,2211000000,1410000000,2144000000
24,Net Income ratio,0.0628,0.0361,0.0641,0.0663,0.0613,0.0492,0.0219,-0.0331,0.0425,0.0550,0.0585,0.0501,0.0542,0.0527,0.0734,0.0545,0.0232,0.0390,0.0479,0.0660,0.0724,0.0768,0.0763,0.0688,0.0323,0.0677,0.0841,0.0746,0.0844,0.0795,0.0949,0.0973,0.1463,0.0993,0.1034,0.0790,0.1092
25,EPS,0.58,0.36,0.60,0.77,0.75,0.63,0.28,-0.47,0.62,1.10,1.28,1.13,1.33,1.22,2.13,1.58,0.61,0.99,1.30,2.12,2.68,3.16,3.38,3.30,1.16,2.76,3.98,3.54,3.93,3.78,4.25,4.22,6.71,4.93,5.28,3.51,5.33
26,EPS Diluted,0.56,0.35,0.58,0.77,0.75,0.63,0.28,-0.47,0.61,1.10,1.28,1.13,1.31,1.20,2.09,1.56,0.60,0.98,1.28,2.06,2.62,3.11,3.31,3.26,1.14,2.73,3.93,3.46,3.90,3.76,4.23,4.21,6.68,4.91,5.25,3.49,5.33
27,Weighted Average Shares Outstanding,394700855,384895105,336736402,297734628,298870432,283003953,269090909,275268817,302834008,302400000,311200000,309600000,307116105,290800000,294800000,290400000,282000000,286800000,295800000,306200000,300400000,300400000,294600000,320400000,332800000,335400000,338300000,347800000,473500000,474100000,465500000,455000000,444500000,434300000,419000000,402200000,398900000
28,Weighted Average Shares Outstanding Diluted,412321429,395971223,343931624,297734628,298870432,283003953,269090909,275268817,305306122,302400000,311200000,310000000,312977099,290800000,294800000,290400000,282000000,286800000,301000000,314200000,308000000,305800000,300600000,324600000,335800000,339600000,342800000,350900000,476700000,476800000,467100000,456500000,447000000,436900000,420800000,404000000,402100000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000005/0001551182-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118214000011/etn12312013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/etn12312014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118216000041/0001551182-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118217000014/0001551182-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118218000074/0001551182-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118219000045/0001551182-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118220000050/0001551182-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118221000022/0001551182-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118222000004/0001551182-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,61000000,85000000,110000000,114000000,142000000,188000000,340000000,333000000,385000000,577000000,915000000,781000000,268000000,543000000,561000000,283000000,370000000,438000000,297000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,353000000,804000000,211000000,226000000,671000000,504000000,342000000,433000000,838000000,699000000,527000000,794000000,245000000,177000000,203000000,534000000,157000000,221000000,664000000,271000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,428000000,865000000,296000000,336000000,785000000,646000000,530000000,773000000,1171000000,1084000000,1104000000,1709000000,1026000000,445000000,746000000,1095000000,440000000,591000000,1102000000,568000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1032000000,1190000000,1612000000,1785000000,1928000000,2208000000,2295000000,1899000000,2239000000,2444000000,3510000000,3648000000,3667000000,3479000000,3560000000,3943000000,3858000000,3437000000,2904000000,3297000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,698000000,721000000,966000000,1099000000,1293000000,1483000000,1554000000,1326000000,1564000000,1701000000,2349000000,2382000000,2428000000,2323000000,2254000000,2620000000,2785000000,2805000000,2109000000,2969000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299000000,317000000,308000000,358000000,402000000,430000000,416000000,526000000,532000000,597000000,881000000,992000000,979000000,369000000,381000000,679000000,507000000,1895000000,3063000000,677000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2457000000,3093000000,3182000000,3578000000,4408000000,4767000000,4795000000,4524000000,5506000000,5826000000,7844000000,8731000000,8100000000,6616000000,6941000000,8337000000,7590000000,8728000000,9178000000,7511000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1955000000,2076000000,2147000000,2175000000,2271000000,2333000000,2639000000,2445000000,2477000000,2602000000,3877000000,3833000000,3750000000,3565000000,3443000000,3502000000,3467000000,3932000000,3392000000,3506000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2095000000,- -,- -,3034000000,3982000000,5232000000,5435000000,5454000000,5537000000,14396000000,14495000000,13893000000,13479000000,13201000000,13568000000,13328000000,13456000000,12903000000,14751000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2420000000,541000000,3077000000,3765000000,969000000,1557000000,2518000000,2441000000,2272000000,2192000000,6779000000,7186000000,6556000000,6014000000,5514000000,5265000000,4846000000,4638000000,4175000000,5855000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2420000000,2636000000,3077000000,3765000000,4003000000,5539000000,7750000000,7876000000,7726000000,7729000000,21175000000,21681000000,20449000000,19493000000,18715000000,18833000000,18174000000,18094000000,17078000000,20606000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,418000000,669000000,700000000,735000000,791000000,971000000,973000000,1001000000,1134000000,1254000000,240000000,228000000,362000000,360000000,253000000,293000000,372000000,426000000,392000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,306000000,- -,- -,- -,- -,- -,500000000,464000000,542000000,582000000,1698000000,1006000000,1002000000,995000000,960000000,1698000000,1568000000,1679000000,1750000000,2012000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4681000000,5130000000,5893000000,6640000000,7009000000,8663000000,11860000000,11758000000,11746000000,12047000000,28004000000,26760000000,25429000000,24415000000,23478000000,24286000000,23502000000,24077000000,22646000000,26516000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7138000000,8223000000,9075000000,10218000000,11417000000,13430000000,16655000000,16282000000,17252000000,17873000000,35848000000,35491000000,33529000000,31031000000,30419000000,32623000000,31092000000,32805000000,31824000000,34027000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,488000000,526000000,776000000,810000000,1050000000,1170000000,1121000000,1057000000,1408000000,1491000000,1879000000,1960000000,1940000000,1758000000,1718000000,2166000000,2130000000,2114000000,1987000000,2797000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,201000000,302000000,39000000,634000000,812000000,985000000,1081000000,118000000,76000000,407000000,1071000000,580000000,1010000000,668000000,1566000000,584000000,753000000,503000000,1048000000,1748000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1045000000,1298000000,1447000000,1524000000,1545000000,1504000000,1543000000,1514000000,1749000000,1739000000,2481000000,2374000000,2405000000,2199000000,2201000000,2325000000,2271000000,2515000000,2846000000,2667000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1734000000,2126000000,2262000000,2968000000,3407000000,3659000000,3745000000,2689000000,3233000000,3637000000,5431000000,4914000000,5355000000,4625000000,5485000000,5075000000,5154000000,5132000000,5881000000,7212000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1887000000,1651000000,1734000000,1830000000,1774000000,2432000000,3190000000,3349000000,3382000000,3366000000,9762000000,8969000000,8024000000,7781000000,6711000000,7167000000,6768000000,7819000000,7336000000,7168000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,563000000,693000000,- -,- -,- -,- -,543000000,550000000,487000000,442000000,2024000000,1313000000,901000000,390000000,321000000,538000000,349000000,396000000,277000000,559000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,652000000,636000000,1473000000,1642000000,2130000000,2167000000,2860000000,2876000000,2747000000,2936000000,3503000000,3432000000,3410000000,3004000000,2961000000,2553000000,2679000000,3325000000,3357000000,2637000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3102000000,2980000000,3207000000,3472000000,3904000000,4599000000,6593000000,6775000000,6616000000,6744000000,15289000000,13714000000,12335000000,11175000000,9993000000,10258000000,9796000000,11540000000,10970000000,10364000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331000000,326000000,337000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4836000000,5106000000,5469000000,6440000000,7311000000,8258000000,10338000000,9464000000,9849000000,10381000000,20720000000,18628000000,17690000000,15800000000,15478000000,15333000000,14950000000,16672000000,16851000000,17576000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000000,76000000,77000000,74000000,73000000,73000000,82000000,83000000,170000000,167000000,5000000,5000000,5000000,5000000,5000000,4000000,4000000,4000000,4000000,4000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1603000000,1816000000,2112000000,2376000000,2796000000,3257000000,3917000000,3966000000,4447000000,5097000000,5805000000,6866000000,7078000000,7346000000,7498000000,8669000000,8161000000,8170000000,6794000000,7594000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-749000000,-631000000,-576000000,-685000000,-877000000,-448000000,-1538000000,-1208000000,-1348000000,-1964000000,-1990000000,-1560000000,-2899000000,-3863000000,-4448000000,-3404000000,-4145000000,-4290000000,-4195000000,-3633000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1413000000,1856000000,1993000000,2013000000,2114000000,2290000000,3856000000,3936000000,4093000000,4169000000,11266000000,11480000000,11602000000,11698000000,11842000000,11984000000,12087000000,12198000000,12327000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2302000000,3117000000,3606000000,3778000000,4106000000,5172000000,6317000000,6777000000,7362000000,7469000000,15086000000,16791000000,15786000000,15186000000,14897000000,17253000000,16107000000,16082000000,14930000000,16413000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7138000000,8223000000,9075000000,10218000000,11417000000,13430000000,16655000000,16241000000,17211000000,17850000000,35806000000,35419000000,33476000000,30986000000,30375000000,32586000000,31057000000,32754000000,31781000000,33989000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,41000000,23000000,42000000,72000000,53000000,45000000,44000000,37000000,35000000,51000000,43000000,38000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7138000000,8223000000,9075000000,10218000000,11417000000,13430000000,16655000000,16282000000,17252000000,17873000000,35848000000,35491000000,33529000000,31031000000,30419000000,32623000000,31092000000,32805000000,31824000000,34027000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1551182/000155118213000005/0001551182-13-000005-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118214000011/etn12312013form10-k.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118215000007/etn12312014form10-k.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118216000041/0001551182-16-000041-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118217000014/0001551182-17-000014-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118218000074/0001551182-18-000074-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118219000045/0001551182-19-000045-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118220000050/0001551182-20-000050-index.html,https://www.sec.gov/Archives/edgar/data/1551182/000155118221000022/0001551182-21-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1551182/000155118222000004/0001551182-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,224900000,179000000,74000000,-128000000,187000000,333000000,399000000,349000000,410000000,349000000,617000000,453000000,169000000,281000000,386000000,648000000,805000000,950000000,994000000,1058000000,383000000,929000000,1350000000,1217000000,1861000000,1793000000,1979000000,1922000000,2985000000,2145000000,2211000000,1410000000,2144000000
74,Depreciation and Amortization,- -,- -,- -,- -,175800000,163000000,169000000,184000000,196000000,251000000,281000000,320000000,342000000,331000000,441000000,462000000,449000000,376000000,394000000,400000000,409000000,434000000,469000000,592000000,573000000,551000000,556000000,598000000,997000000,983000000,925000000,929000000,914000000,903000000,884000000,811000000,922000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,-55000000,-65000000,35000000,1000000,-12000000,17000000,94000000,49000000,44000000,72000000,-51000000,-54000000,-133000000,-20000000,37000000,-51000000,-225000000,-191000000,26000000,-113000000,-155000000,-311000000,-382000000,-100000000,-80000000,-206000000,-115000000,-71000000,-86000000,-111000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-35900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000000,244000000,-47000000,-310000000,391000000,107000000,-58000000,785000000,438000000,-84000000,224000000,1404000000,-1072000000,-754000000,-535000000,1806000000,-826000000,1160000000,-299000000,-309000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,128000000,440000000,-305000000,-219000000,108000000,-231000000,-205000000,5000000,-170000000,-231000000,-123000000,200000000,219000000,-271000000
79,Inventory,- -,- -,- -,- -,17600000,33000000,-9000000,8000000,12000000,-115000000,-30000000,36000000,-53000000,-38000000,7000000,-13000000,149000000,13000000,79000000,-102000000,-28000000,-129000000,-79000000,118000000,292000000,-219000000,-113000000,166000000,-92000000,-152000000,-20000000,25000000,-202000000,-242000000,-60000000,371000000,-629000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-208000000,-73000000,322000000,92000000,-220000000,86000000,49000000,-120000000,- -,388000000,23000000,147000000,76000000,832000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,723000000,967000000,920000000,610000000,1001000000,1108000000,1050000000,1835000000,2273000000,2189000000,2413000000,3817000000,2745000000,1991000000,1456000000,3262000000,2436000000,3596000000,3297000000,154000000
82,Other Non-Cash Items,- -,- -,- -,- -,-60700000,176000000,-214000000,362000000,117000000,-97000000,-34000000,36000000,-6000000,-132000000,-425000000,-544000000,75000000,-429000000,-96000000,-30000000,251000000,-381000000,-358000000,49000000,-142000000,-662000000,-461000000,-220000000,-1666000000,556000000,321000000,316000000,-2833000000,551000000,-733000000,1108000000,-483000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,304100000,518000000,29000000,363000000,435000000,522000000,647000000,693000000,763000000,642000000,682000000,415000000,765000000,900000000,874000000,838000000,1135000000,1431000000,1161000000,1416000000,1408000000,1282000000,1248000000,1664000000,2285000000,1878000000,2371000000,2552000000,2666000000,2658000000,3451000000,2944000000,2163000000
