,https://roic.ai/company/AN,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,100000,200000,9800000,12700000,27900000,29000000,13200000,75100000,1637300000,2285400000,3102100000,2434200000,2311500000,2429400000,2258700000,2248700000,2245800000,2256700000,2247800000,2139600000,1917800000,1517100000,1630900000,1732000000,1836900000,2019600000,2167900000,2373000000,2423700000,2515600000,2611300000,2689800000,2627400000,3049800000
11,COGS and Expenses,900000,1000000,27900000,41200000,100000000,94700000,39300000,223700000,2329700000,9926900000,15583000000,19710800000,19888600000,19544800000,18750700000,18667000000,18657800000,18446400000,18192000000,16986700000,13670200000,10346100000,11964400000,13260300000,15019300000,16777300000,18288000000,19973500000,20719500000,20691200000,20626800000,20502500000,19451000000,23941200000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2200000,1100000,1400000,700000,300000,200000,200000,100000,1100000,1000000,1100000,500000,300000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,176800000,78700000,98600000,108700000,132400000,141700000,140000000,149200000,192000000,217200000,249800000,245100000,157500000,118700000
14,Depreciation and Amortization,100000,- -,1600000,2700000,5200000,6700000,4700000,21000000,540500000,1003600000,1051600000,123000000,133800000,154800000,74700000,77000000,89700000,88400000,86600000,96000000,90800000,77500000,76800000,83700000,87300000,95300000,106900000,127400000,143400000,158600000,166200000,180500000,198900000,193300000
15,EBITDA,-1400000,-400000,4800000,6200000,-7200000,-11800000,16100000,57400000,498700000,1558500000,1739200000,409900000,660600000,542900000,692700000,641100000,733500000,812300000,614200000,546000000,-1172800000,471000000,548000000,650900000,735600000,840500000,928100000,998200000,1036500000,1011900000,945500000,1037400000,906300000,2120100000
16,EBITDA ratio,-2.3333,-0.6667,0.1509,0.1202,-0.0655,-0.1149,0.3299,0.2205,0.2108,0.1512,0.1079,0.0204,0.0321,0.0272,0.0356,0.0331,0.0378,0.0422,0.0323,0.0309,-0.0830,0.0438,0.0440,0.0471,0.0469,0.0480,0.0486,0.0478,0.0480,0.0470,0.0442,0.0486,0.0444,0.0820
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,645300000,740300000,820800000,873100000,889500000,843400000,777900000,823600000,563200000,1902800000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0412,0.0423,0.0430,0.0419,0.0412,0.0392,0.0363,0.0386,0.0276,0.0736
19,Total Other Income Expenses (Gains),-500000,100000,-700000,-6900000,-2200000,-24600000,100000,100000,-46000000,-63300000,-12500000,-428500000,-196000000,-43700000,-109800000,-123100000,-160300000,-184100000,-254500000,-245500000,-1884400000,-60700000,-115300000,-110700000,-128500000,-135900000,-138500000,-150400000,-187200000,-206900000,-248500000,-211000000,-13100000,-94400000
20,Income Before Tax,- -,- -,3200000,3500000,7800000,- -,- -,36700000,-10200000,315400000,522700000,-27500000,525000000,400800000,618000000,591000000,606600000,622900000,542100000,459300000,-1422700000,351000000,381300000,461300000,516800000,604400000,682300000,722700000,702300000,636500000,529400000,612600000,550100000,1808400000
21,Income Before Tax Ratio,- -,- -,0.1006,0.0678,0.0709,- -,- -,0.1410,-0.0043,0.0306,0.0324,-0.0014,0.0255,0.0201,0.0317,0.0305,0.0312,0.0324,0.0285,0.0260,-0.1007,0.0326,0.0306,0.0333,0.0330,0.0345,0.0357,0.0346,0.0325,0.0296,0.0247,0.0287,0.0270,0.0700
22,Income Tax expense (Gain),- -,- -,1300000,1400000,1600000,- -,- -,13500000,17700000,115200000,188100000,4000000,196900000,155800000,236400000,84900000,210200000,227400000,210700000,171300000,-197300000,116800000,146000000,177100000,199500000,228600000,262500000,279000000,270600000,201500000,133500000,161800000,168300000,435100000
23,Net Income,-1500000,-400000,1900000,2100000,-14000000,-18500000,11400000,22900000,-59500000,439700000,499500000,282900000,329900000,232300000,381600000,479200000,433600000,496500000,316900000,278700000,-1243100000,198000000,226600000,281400000,316400000,374900000,418700000,442600000,430500000,434600000,396000000,450000000,381600000,1373000000
24,Net Income ratio,-2.5000,-0.6667,0.0597,0.0407,-0.1273,-0.1801,0.2336,0.0880,-0.0252,0.0427,0.0310,0.0141,0.0160,0.0116,0.0196,0.0247,0.0223,0.0258,0.0167,0.0158,-0.0880,0.0184,0.0182,0.0203,0.0202,0.0214,0.0219,0.0212,0.0199,0.0202,0.0185,0.0211,0.0187,0.0531
25,EPS,-0.39,-0.11,0.16,0.07,-0.27,0.07,0.13,0.18,-0.25,1.09,1.10,0.66,0.91,0.70,1.20,1.71,1.63,1.89,1.41,1.41,-6.99,1.15,1.53,2.07,2.62,3.10,3.70,3.99,4.28,4.75,4.34,4.97,4.30,15.48
26,EPS Diluted,-0.39,-0.11,0.16,0.07,-0.27,0.07,0.13,0.17,-0.25,1.02,1.06,0.66,0.91,0.69,1.19,1.67,1.59,1.85,1.38,1.39,-6.99,1.12,1.43,1.91,2.52,3.04,3.52,3.89,4.15,4.43,4.34,4.97,4.30,15.47
27,Weighted Average Shares Outstanding,3846154,3636364,20428000,28000000,51851852,54285714,54000000,123783784,238000000,403394495,454090909,428636364,361300000,333400000,316700000,279500000,266700000,262700000,225200000,198300000,177800000,177600000,148364469,135800000,120856569,120915396,113313240,110804058,100652209,91559851,91300000,90500000,88700000,88700000
28,Weighted Average Shares Outstanding Diluted,3846154,3636364,20428000,28000000,51851852,54285714,54000000,130857143,238000000,431078431,471226415,428636364,361400000,335200000,321500000,287000000,272500000,268000000,229300000,200000000,177800000,177600000,158600000,147300000,125800000,123300000,118900000,113900000,103800000,98200000,91300000,90543260,88744186,88744186
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350698/000095014496001288/0000950144-96-001288-index.html,https://www.sec.gov/Archives/edgar/data/350698/000095014497001873/0000950144-97-001873-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350698/000095016801000660/0000950168-01-000660-index.html,- -,https://www.sec.gov/Archives/edgar/data/350698/000095014403002512/0000950144-03-002512-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014404002190/0000950144-04-002190-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014405001788/0000950144-05-001788-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014406001745/0000950144-06-001745-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014407001673/0000950144-07-001673-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014408001449/0000950144-08-001449-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014409001303/0000950144-09-001303-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000119312510033229/0001193125-10-033229-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000119312511035910/0001193125-11-035910-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069812000016/0000350698-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069813000021/0000350698-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069814000018/0000350698-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069815000045/0000350698-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069816000276/0000350698-16-000276-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069817000028/0000350698-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069818000032/0000350698-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069819000047/0000350698-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069820000042/0000350698-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069821000031/0000350698-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069822000025/0000350698-22-000025-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,200000,1900000,8800000,16000000,5600000,5000000,2700000,159800000,63600000,148000000,773900000,369300000,82200000,128100000,176200000,170800000,107200000,243800000,52200000,32800000,111000000,173700000,95100000,86600000,69700000,69200000,75400000,74100000,64800000,69200000,48600000,42000000,569600000,60400000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,1900000,8800000,16000000,5600000,5000000,2700000,159800000,63600000,148000000,773900000,369300000,82200000,128100000,176200000,170800000,107200000,243800000,52200000,32800000,111000000,173700000,95100000,86600000,69700000,69200000,75400000,74100000,64800000,69200000,48600000,42000000,569600000,60400000
34,Net Receivables,300000,200000,10400000,11400000,24200000,17300000,7400000,32800000,316300000,977300000,1605300000,1151000000,1108800000,802200000,759800000,768300000,773200000,795700000,813700000,714100000,387400000,408800000,462000000,587400000,698400000,740900000,817800000,908200000,1032900000,1111000000,976200000,916700000,845200000,730000000
35,Inventory,- -,- -,- -,- -,- -,1900000,- -,- -,34200000,1094800000,1853500000,2706800000,2769200000,2178500000,2598400000,2919300000,2640500000,2682700000,2361400000,2325700000,1876000000,1408300000,1867000000,1809200000,2396900000,2827200000,2899000000,3612000000,3520100000,3365600000,3650500000,3305800000,2598500000,1847900000
36,Other Current Assets,- -,-100000,1000000,3400000,4600000,3400000,4100000,14200000,2170700000,4605700000,4173600000,73800000,216000000,43700000,94700000,131900000,156800000,158200000,158500000,165800000,179700000,259800000,205000000,193000000,196100000,192700000,207000000,117100000,97000000,251700000,208700000,146600000,139400000,173400000
37,Total Current Assets,500000,2000000,20200000,30800000,34400000,27600000,14200000,206800000,2584800000,6825800000,8406300000,4300900000,4176200000,3152500000,3629100000,3990300000,3677700000,3880400000,3385800000,3238400000,2554100000,2250600000,2629100000,2676200000,3361100000,3830000000,3999200000,4711400000,4714800000,4797500000,4884000000,4411100000,4152700000,2811700000
38,PP&E,100000,100000,36700000,77500000,101200000,101400000,85500000,187500000,846400000,2096900000,2043600000,1360400000,1538100000,1583300000,1678400000,1696700000,1836300000,1832300000,1929600000,1986600000,1937000000,1729200000,1838000000,1950700000,2095100000,2235300000,2422000000,2667400000,2843200000,2962700000,3155300000,3507700000,3447600000,3703500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2799700000,2757400000,1149100000,1125100000,1142100000,1172200000,1237400000,1259600000,1314700000,1394500000,1511300000,1515000000,1513200000,1501900000,1185000000,1235300000
40,Intangible Assets,- -,- -,15900000,38100000,27500000,22900000,11300000,99900000,228400000,1604600000,2473400000,2831000000,2920200000,2865200000,2975800000,2894600000,2976200000,2957100000,317200000,319900000,177700000,174800000,202000000,217800000,291300000,335100000,354700000,439900000,598200000,586800000,595400000,581600000,521500000,743500000
41,Intangible Assets,- -,- -,15900000,38100000,27500000,22900000,11300000,99900000,228400000,1604600000,2473400000,2831000000,2920200000,2865200000,2975800000,2894600000,2976200000,2957100000,3116900000,3077300000,1326800000,1299900000,1344100000,1390000000,1528700000,1594700000,1669400000,1834400000,2109500000,2101800000,2108600000,2083500000,1706500000,1978800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,200000,- -,1000000,2100000,4300000,3600000,21400000,47900000,116500000,- -,1002500000,1121100000,195500000,464400000,301500000,241500000,208700000,154700000,174700000,177300000,196200000,127600000,163000000,181900000,218100000,254100000,309100000,345100000,392500000,409500000,517200000,541000000,580400000,449600000
45,Total Non-Current Assets,300000,100000,53600000,117700000,133000000,127900000,118200000,335300000,1191300000,3701500000,5519500000,5312500000,4653800000,4912900000,4955700000,4832800000,5021200000,4944100000,5221200000,5241200000,3460000000,3156700000,3345100000,3522600000,3841900000,4084100000,4400500000,4846900000,5345200000,5474000000,5781100000,6132200000,5734500000,6131900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,800000,2100000,73800000,148500000,167400000,155500000,132400000,542100000,3776100000,10527300000,13925800000,9613400000,8830000000,8065400000,8584800000,8823100000,8698900000,8824500000,8607000000,8479600000,6014100000,5407300000,5974200000,6198800000,7203000000,7914100000,8399700000,9558300000,10060000000,10271500000,10665100000,10543300000,9887200000,8943600000
48,Accounts Payable,- -,- -,- -,7200000,13000000,7500000,3100000,15000000,177800000,260800000,307400000,163100000,143200000,149700000,163300000,176400000,180700000,214400000,212400000,1933400000,140200000,152300000,1543900000,1564700000,235800000,263000000,264700000,299900000,303700000,309800000,306200000,290300000,335200000,395900000
49,Short-Term Debt,- -,- -,4500000,5600000,8500000,7100000,900000,- -,48200000,532000000,1441800000,2248700000,2423500000,1908600000,2311100000,2825700000,14900000,40600000,2278600000,23900000,33300000,7600000,8100000,12600000,29800000,30100000,25000000,612900000,1109500000,744500000,674300000,592800000,3107500000,1847600000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,700000,100000,17800000,8000000,6400000,9500000,6100000,48900000,2002000000,3469800000,3791200000,752700000,574600000,519800000,506300000,807400000,3215600000,3157100000,539500000,944500000,2282300000,1703500000,847400000,885300000,2936100000,3458700000,3592300000,4256300000,4416000000,4581400000,4677600000,4217100000,723200000,816300000
53,Total Current Liabilities,700000,100000,22300000,20800000,27900000,24100000,10100000,63900000,2228000000,4262600000,5540400000,3164500000,3141300000,2578100000,2980700000,3809500000,3411200000,3412100000,3030500000,2901800000,2455800000,1863400000,2399400000,2462600000,3201700000,3751800000,3882000000,5169100000,5829200000,5635700000,5658100000,5100200000,4165900000,3059800000
54,Long-Term Debt,- -,- -,7900000,14000000,18500000,26200000,14900000,- -,170600000,2333600000,2315600000,836100000,850400000,647300000,642700000,808500000,797700000,484400000,1557900000,1751900000,1225600000,1105000000,1340600000,1634400000,2066300000,1809800000,2103400000,1753700000,1611100000,1959200000,1926200000,1578500000,2079100000,3106300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,5800000,17200000,18600000,18700000,11200000,13400000,- -,- -,227100000,804800000,877200000,853800000,947400000,176400000,156700000,186200000,225400000,220700000,- -,24600000,25900000,62300000,89400000,116500000,137900000,78600000,91500000,71900000,89800000,135100000,95900000,78200000
57,Other Non-Current Liabilities,- -,- -,2400000,4100000,5100000,8900000,8200000,28400000,101300000,446800000,418500000,206800000,118600000,158300000,103800000,79000000,70200000,72300000,80500000,131700000,134600000,111100000,129400000,144900000,157100000,174300000,204300000,207600000,217900000,235400000,275000000,567400000,310600000,322300000
58,Total Non-Current Liabilities,- -,- -,16100000,35300000,42200000,53800000,34300000,41800000,271900000,2780400000,2961200000,1847700000,1846200000,1659400000,1693900000,1063900000,1024600000,742900000,1863800000,2104300000,1360200000,1240700000,1495900000,1841600000,2312800000,2100600000,2445600000,2039900000,1920500000,2266500000,2291000000,2281000000,2485600000,3506800000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,372200000,324900000,297900000
61,Total Liabilities,700000,100000,38400000,56100000,70100000,77900000,44400000,105700000,2499900000,7043000000,8501600000,5012200000,4987500000,4237500000,4674600000,4873400000,4435800000,4155000000,4894300000,5006100000,3816000000,3104100000,3895300000,4304200000,5514500000,5852400000,6327600000,7209000000,7749700000,7902200000,7949100000,7381200000,6651500000,6566600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000,4800000,4800000,3300000,2900000,2700000,2700000,2200000,1900000,1900000,1900000,1600000,1600000,1600000,1600000,1600000,1200000,1200000,1000000,1000000,1000000,1000000,800000
64,Retained Earnings,-9300000,-7400000,1900000,4000000,-7900000,-26800000,-15600000,37100000,-22900000,431900000,930900000,1213800000,649300000,881600000,1263200000,1742400000,2176000000,2672500000,2989400000,3266100000,2023000000,2221000000,2365200000,2646600000,2963000000,3337900000,3756600000,2702800000,3133300000,2832200000,3238300000,3688300000,4069400000,4639900000
65,Other Comprehensive Income/Loss,-2600000,-2700000,-1400000,-3300000,-15400000,-19100000,-12200000,-81900000,-81900000,-645400000,-645400000,-150700000,-167800000,-209600000,4200000,-3200000,-1500000,1800000,-400000,-200000,-700000,- -,-689600000,-756800000,-826800000,-883700000,-930500000,-1009800000,-1093200000,-1211100000,-1332800000,-1481200000,-1652900000,- -
66,Other Total Stockholders Equity,12000000,12100000,34900000,91700000,120600000,123500000,115800000,481200000,1381000000,3697800000,5138700000,3533400000,3356200000,3151100000,2639500000,2207600000,2085900000,1992500000,721500000,205700000,173900000,80300000,401700000,3200000,-449300000,-394100000,-755600000,655100000,269000000,747200000,809500000,954000000,818200000,- -
67,Total Stockholders Equity,100000,2000000,35400000,92400000,97300000,77600000,88000000,436400000,1276200000,3484300000,5424200000,4601200000,3842500000,3827900000,3910200000,3949700000,4263100000,4669500000,3712700000,3473500000,2198100000,2303200000,2078900000,1894600000,1688500000,2061700000,2072100000,2349300000,2310300000,2369300000,2716000000,3162100000,3235700000,2377000000
68,Total Liabilities And Stockholders Equity,800000,2100000,73800000,148500000,167400000,155500000,132400000,542100000,3776100000,10527300000,13925800000,9613400000,8830000000,8065400000,8584800000,8823100000,8698900000,8824500000,8607000000,8479600000,6014100000,5407300000,5974200000,6198800000,7203000000,7914100000,8399700000,9558300000,10060000000,10271500000,10665100000,10543300000,9887200000,8943600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,800000,2100000,73800000,148500000,167400000,155500000,132400000,542100000,3776100000,10527300000,13925800000,9613400000,8830000000,8065400000,8584800000,8823100000,8698900000,8824500000,8607000000,8479600000,6014100000,5407300000,5974200000,6198800000,7203000000,7914100000,8399700000,9558300000,10060000000,10271500000,10665100000,10543300000,9887200000,8943600000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350698/000095014496001288/0000950144-96-001288-index.html,https://www.sec.gov/Archives/edgar/data/350698/000095014497001873/0000950144-97-001873-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/350698/000095016801000660/0000950168-01-000660-index.html,- -,https://www.sec.gov/Archives/edgar/data/350698/000095014403002512/0000950144-03-002512-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014404002190/0000950144-04-002190-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014405001788/0000950144-05-001788-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014406001745/0000950144-06-001745-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014407001673/0000950144-07-001673-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014408001449/0000950144-08-001449-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000095014409001303/0000950144-09-001303-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000119312510033229/0001193125-10-033229-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000119312511035910/0001193125-11-035910-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069812000016/0000350698-12-000016-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069813000021/0000350698-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069814000018/0000350698-14-000018-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069815000045/0000350698-15-000045-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069816000276/0000350698-16-000276-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069817000028/0000350698-17-000028-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069818000032/0000350698-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069819000047/0000350698-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069820000042/0000350698-20-000042-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069821000031/0000350698-21-000031-index.htm,https://www.sec.gov/Archives/edgar/data/350698/000035069822000025/0000350698-22-000025-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2100000,-14000000,-18500000,11400000,22900000,-59500000,439700000,499500000,282900000,329900000,232300000,381600000,479200000,433600000,496500000,316900000,278700000,-1243100000,198000000,226600000,281400000,316400000,374900000,418700000,442600000,430500000,434600000,396000000,450000000,381600000,1373000000
74,Depreciation and Amortization,- -,- -,- -,2700000,5200000,6700000,4700000,21000000,540500000,1003600000,1051600000,123000000,133800000,154800000,74700000,77000000,89700000,88400000,86600000,96000000,90800000,77500000,76800000,83700000,87300000,95300000,106900000,127400000,143400000,158600000,166200000,180500000,198900000,193300000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-127200000,91300000,-46100000,26900000,- -,- -,- -,- -,10600000,-267300000,59200000,12800000,31100000,26800000,9900000,9500000,10000000,3700000,-19000000,14500000,45800000,-38900000,-17400000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,13500000,15900000,18400000,18600000,21300000,26300000,24000000,25100000,20600000,25500000,31100000,30200000,35000000
77,Change in Working Capital,- -,- -,- -,-12000000,-3500000,-3000000,600000,138800000,213900000,2206400000,302700000,-1729500000,-101500000,-460500000,74000000,-467600000,85700000,201800000,-113000000,-18700000,-238300000,288900000,-157500000,-16100000,-54200000,-81200000,39000000,-574900000,-656700000,276200000,64100000,85000000,675900000,78000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,-19200000,-205900000,66500000,-380800000,-37200000,544700000,-379500000,-390400000,211300000,-101400000,268500000,-700000,392600000,350800000,-448600000,70100000,-474700000,-400100000,-27300000,-548800000,259100000,39300000,-319500000,296000000,703600000,800400000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364400000,38400000,439100000,400900000,-19700000,525700000,-202200000,-63900000,244100000,-258200000,-531600000,-1002500000
