,https://roic.ai/company/DOX,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012399010789/0000950123-99-010789-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012301509586/0000950123-01-509586-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012303014173/0000950123-03-014173-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012304015384/0000950123-04-015384-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012307016212/0000950123-07-016212-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012308017141/0000950123-08-017141-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012309068873/0000950123-09-068873-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012310111454/0000950123-10-111454-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012311102503/0000950123-11-102503-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312512498666/0001193125-12-498666-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312513466872/0001193125-13-466872-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312514436532/0001193125-14-436532-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312515400204/0001193125-15-400204-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312516790829/0001193125-16-790829-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312517366393/0001193125-17-366393-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312518346169/0001193125-18-346169-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312519315234/0001193125-19-315234-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,25400000,85200000,402300000,872998000,466655000,847600000,550352000,707552000,607187000,615501000,718850000,728762000,1036195000,831371000,879158000,1014192000,1103269000,1035573000,768660000,649611000,418783000,471632000,983188000,709064000
32,Short-Term Investments,- -,- -,- -,- -,237069000,581164000,443292000,640347000,438011000,372194000,563779000,525528000,444279000,397104000,342099000,239019000,312188000,321196000,318439000,327063000,329997000,100433000,- -,752000,256527000
33,Cash and Short-Term Investments,- -,25400000,85200000,402300000,1110067000,1047819000,1290892000,1190699000,1145563000,979381000,1179280000,1244378000,1173041000,1433299000,1173470000,1118177000,1326380000,1424465000,1354012000,1095723000,979608000,519216000,471632000,983940000,965591000
34,Net Receivables,- -,90000000,159300000,263100000,384851000,312732000,198274000,254779000,304237000,425805000,493418000,573764000,454965000,580000000,565853000,687223000,678219000,715837000,714784000,818531000,865068000,971502000,987858000,861033000,866819000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,26500000,46300000,69506000,76961000,120350000,146770000,142513000,177942000,233520000,216369000,187445000,244552000,238500000,239997000,235670000,277475000,283672000,309366000,186137000,203810000,229999000,216084000,229604000,235089000
37,Total Current Assets,- -,141900000,290800000,734906000,1571879000,1480901000,1635936000,1587991000,1627742000,1638706000,1889067000,2005587000,1872558000,2251799000,1979320000,2041070000,2282074000,2423974000,2378162000,2100391000,2048486000,1720717000,1675574000,2074577000,2067499000
38,PP&E,- -,46400000,84000000,128081000,173695000,160902000,203467000,181121000,181812000,220290000,283839000,317081000,279659000,258273000,258402000,277907000,275544000,288956000,309320000,331728000,355685000,496585000,525314000,903445000,931930000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,1461606000,1489132000,1526371000,1539424000,1637416000,1739732000,1741786000,1818334000,1925225000,2049093000,2211639000,2221209000,2444895000,2462835000,2578645000,- -
40,Intangible Assets,- -,- -,- -,1011053000,788187000,750530000,855975000,854386000,1129258000,347716000,303456000,270551000,227337000,218762000,193422000,141278000,156726000,181227000,252517000,281527000,177326000,265249000,205162000,296334000,- -
41,Intangible Assets,- -,- -,- -,1011053000,788187000,750530000,855975000,854386000,1129258000,1809322000,1792588000,1796922000,1766761000,1856178000,1933154000,1883064000,1975060000,2106452000,2301610000,2493166000,2398535000,2710144000,2667997000,2874979000,2881676000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,55197000,19722000,37582000,105943000,113589000,120217000,133690000,192761000,187173000,137662000,132403000,123171000,127266000,113966000,99274000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,51700000,55200000,5848000,70953000,110179000,76196000,126797000,143439000,160820000,186344000,272300000,271777000,321951000,342525000,315916000,279169000,266621000,335560000,406070000,476674000,420369000,423941000,488620000,630669000
45,Total Non-Current Assets,- -,98100000,139200000,1200179000,1052557000,1059193000,1241581000,1275893000,1574726000,2324122000,2455532000,2573476000,2455859000,2568805000,2657252000,2604153000,2643739000,2761303000,2946490000,3230964000,3230894000,3627098000,3617252000,4267044000,4444275000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,240000000,430000000,1935085000,2624436000,2540094000,2877517000,2863884000,3202468000,3962828000,4344599000,4579063000,4328417000,4820604000,4636572000,4645223000,4925813000,5185277000,5324652000,5331355000,5279380000,5347815000,5292826000,6341621000,6511774000
48,Accounts Payable,- -,47600000,64800000,128249000,166527000,192129000,101116000,104415000,114392000,148398000,192395000,157357000,86189000,168321000,126977000,167630000,132709000,142627000,111974000,136675000,126414000,194738000,176508000,110142000,- -
49,Short-Term Debt,- -,94500000,8100000,28713000,10400000,10347000,429773000,21310000,8480000,1963000,2055000,1660000,- -,200000000,250000000,200000000,200000000,210000000,220000000,200000000,- -,- -,- -,159100000,58714000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38430000,34143000,27843000,28335000,25739000,- -
51,Deferred Revenue,- -,- -,104700000,- -,140033000,149590000,174616000,223122000,216770000,253376000,173775000,197851000,186158000,184481000,151423000,145184000,151112000,156743000,198470000,173331000,113091000,132414000,118182000,126841000,237374000
52,Other Current Liabilities,- -,84100000,77300000,258939000,195016000,190257000,363082000,425596000,519261000,627950000,606502000,473156000,338520000,471345000,482806000,552744000,590435000,691377000,833059000,856004000,933441000,967805000,913240000,820117000,1007777000
53,Total Current Liabilities,- -,226200000,254900000,415901000,511976000,542323000,1068587000,774443000,858903000,1031687000,974727000,830024000,610867000,1024147000,1011206000,1065558000,1074256000,1200747000,1363503000,1366010000,1172946000,1294957000,1207930000,1216200000,1303865000
54,Long-Term Debt,- -,- -,17100000,23417000,524779000,445054000,- -,450272000,450272000,450000000,450000000,450000000,1020000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,644023000,822459000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30988000,22641000,18189000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,11191000,7410000,12363000,44835000,40530000,50571000,129339000,122983000,266548000,273110000,293723000,310045000,301795000,315965000,311134000,305985000,227099000,219417000,224572000,207508000,258487000,- -
57,Other Non-Current Liabilities,- -,35700000,34300000,53804000,68180000,124079000,172495000,154449000,186270000,197637000,196646000,227300000,230367000,273354000,292020000,213680000,238168000,259371000,248322000,284685000,312947000,336244000,334922000,557756000,750266000
58,Total Non-Current Liabilities,- -,35700000,51400000,88412000,600369000,581496000,217330000,645251000,687113000,776976000,769629000,943848000,504497000,567077000,602065000,546463000,576774000,588694000,554307000,511784000,532364000,560816000,542430000,1460266000,1572725000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,289176000,236620000
61,Total Liabilities,- -,261900000,306300000,504313000,1112345000,1123819000,1285917000,1419694000,1546016000,1808663000,1744356000,1773872000,1115364000,1591224000,1613271000,1612021000,1651030000,1789441000,1917810000,1877794000,1705310000,1855773000,1750360000,2676466000,2876590000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,3100000,3200000,3539000,3560000,3572000,3580000,3601000,3644000,3763000,3850000,3900000,3930000,3956000,4013000,4077000,4199000,4284000,4331000,4377000,4410000,4436000,4452000,4483000,- -
64,Retained Earnings,- -,-462100000,-363600000,-357578000,-291192000,-296253000,-127370000,107490000,396126000,714762000,1079699000,1458605000,1786564000,2130470000,2477135000,2847386000,3176125000,3503829000,3847796000,4144827000,4457107000,4673901000,5012799000,5341907000,- -
65,Other Comprehensive Income/Loss,- -,-30800000,-48300000,-82158000,-132171000,-196795000,3715000,-2093000,-11848000,2723000,689000,-14834000,8000000,1952000,-19656000,-25501000,632000,-9972000,-16753000,6095000,18790000,-32731000,-2547000,11662000,- -
66,Other Total Stockholders Equity,- -,467900000,532400000,1866969000,1931894000,1905751000,1711675000,1335192000,1268530000,1432917000,1516005000,1357520000,1414559000,1093002000,561809000,207240000,93827000,-102305000,-428532000,-701738000,-906237000,-1196727000,-1514747000,-1735406000,- -
67,Total Stockholders Equity,- -,-21900000,123700000,1430772000,1512091000,1416275000,1591600000,1444190000,1656452000,2154165000,2600243000,2805191000,3213053000,3229380000,3023301000,3033202000,3274783000,3395836000,3406842000,3453561000,3574070000,3448879000,3499957000,3622646000,3592675000
68,Total Liabilities And Stockholders Equity,- -,240000000,430000000,1935085000,2624436000,2540094000,2877517000,2863884000,3202468000,3962828000,4344599000,4579063000,4328417000,4820604000,4636572000,4645223000,4925813000,5185277000,5324652000,5331355000,5279380000,5304652000,5250317000,6299112000,6469265000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43163000,42509000,42509000,42509000
70,Total Liabilities & Equity,- -,240000000,430000000,1935085000,2624436000,2540094000,2877517000,2863884000,3202468000,3962828000,4344599000,4579063000,4328417000,4820604000,4636572000,4645223000,4925813000,5185277000,5324652000,5331355000,5279380000,5347815000,5292826000,6341621000,6511774000
71,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012399010789/0000950123-99-010789-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012301509586/0000950123-01-509586-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012303014173/0000950123-03-014173-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012304015384/0000950123-04-015384-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012307016212/0000950123-07-016212-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012308017141/0000950123-08-017141-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012309068873/0000950123-09-068873-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012310111454/0000950123-10-111454-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012311102503/0000950123-11-102503-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312512498666/0001193125-12-498666-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312513466872/0001193125-13-466872-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312514436532/0001193125-14-436532-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312515400204/0001193125-15-400204-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312516790829/0001193125-16-790829-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312517366393/0001193125-17-366393-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312518346169/0001193125-18-346169-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312519315234/0001193125-19-315234-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5900000,30100000,98500000,5978000,66386000,-5061000,168883000,234860000,288636000,318636000,364937000,378906000,326176000,343906000,346665000,391371000,412439000,422122000,446163000,409331000,436826000,354396000,479446000,497840000,688374000
74,Depreciation and Amortization,8400000,29100000,30600000,155359000,282625000,309821000,97452000,100877000,93828000,117900000,164994000,192937000,198119000,195940000,181477000,159614000,140776000,162772000,174795000,211791000,214885000,211224000,205772000,198409000,208830000
75,Deferred Income Tax,-11900000,-2000000,-4000000,-1196000,5018000,-1665000,4001000,-11272000,8062000,22811000,-21095000,1111000,16249000,-19137000,1252000,-4857000,12485000,-6510000,-26887000,-2315000,6551000,25098000,-13950000,30239000,-50605000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42911000,44455000,36631000,43429000,40340000,44578000,44560000,42700000,44539000,47476000,38550000,42434000,54249000
77,Change in Working Capital,21700000,10600000,26000000,42846000,-19957000,75969000,102189000,16431000,-13239000,-98067000,-135439000,-152975000,-72382000,97645000,-31741000,-69176000,62604000,89198000,139464000,-34767000,-62032000,-82269000,-54178000,-110930000,249095000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,131527000,-131387000,38062000,-106551000,29999000,5540000,39829000,-70859000,-41075000,-66451000,6589000,134584000,-69051000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60200000,-4104000,73949000,63894000,59982000,72049000,25348000,-60042000,-190354000,122224000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,109000,-13255000,-12940000,-9994000,12099000,-39375000,-55811000,-15078000,-1967000,2434000,-49828000,-50230000,7650000,-37855000,-23065000,203285000
82,Other Non-Cash Items,1800000,-1300000,1200000,84601000,3915000,33212000,9446000,3508000,4464000,67940000,50598000,63642000,8083000,22389000,1208000,-6312000,1903000,-2902000,-5473000,-6506000,-4657000,1324000,737000,144000,-224136000
83,Cash Provided by Operating Activities,25900000,66500000,152300000,287588000,337987000,412276000,381971000,344404000,381751000,429220000,423995000,483621000,519156000,685198000,535492000,514069000,670547000,709258000,772622000,620234000,636112000,557249000,656377000,658136000,925807000
84,CAPEX,-49100000,-26600000,-42200000,-56571000,-91891000,-58562000,-62410000,-54148000,-71374000,-80717000,-166426000,-135823000,-83325000,-86945000,-109779000,-122053000,-106724000,-111569000,-120503000,-130086000,-133392000,-231146000,-128086000,-205510000,-210438000
85,Acquisitions Net,- -,- -,- -,- -,- -,-213180000,-30980000,-10651000,-262253000,-624801000,-90724000,-58772000,-65890000,-200307000,-162964000,- -,-112405000,-180540000,-263193000,-283450000,-18064000,-355142000,-60572000,-249358000,146293000
86,Purchases of Investments,- -,- -,- -,- -,-237069000,-344095000,- -,-1325383000,-747073000,-1216259000,-969198000,-685873000,-963433000,-1449494000,-521999000,-337989000,-386876000,-389800000,-250184000,-370742000,-281983000,-76037000,- -,-753000,-276978000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,137872000,1125538000,948711000,1288261000,781239000,708100000,1045278000,1503231000,591147000,451317000,311677000,379484000,252818000,361960000,278066000,303090000,101287000,- -,18205000
88,Other Investing Activites,- -,900000,500000,53902000,-10229000,-37789000,2532000,4431000,5829000,4274000,3832000,2655000,994000,22009000,-18076000,-130617000,-109525000,-107697000,-119095000,-148619000,-163332000,-3157000,615000,-6104000,-6082000
89,Cash Used for Investing Activites,-49100000,-25700000,-41700000,-2669000,-339189000,-653626000,47014000,-260213000,-126160000,-629242000,-441277000,-169713000,-66376000,-211506000,-221671000,-17289000,-297129000,-298553000,-379654000,-440851000,-185313000,-362392000,-86756000,-461725000,-329000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-900765000,-616000,-200878000,-251059000,-200745000,-200000000,-210000000,-220000000,-400000000,-120000000,- -,-350000000,-100000000
91,Common Stock Issued,91700000,330600000,42500000,21360000,13967000,5161000,2320000,12077000,24024000,106853000,74663000,37577000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-109281000,- -,-407527000,-99976000,- -,-49837000,-247630000,-20014000,-389287000,-624241000,-484608000,-367061000,-372014000,-454020000,-413422000,-340597000,-419228000,-398057000,-360912000,-679996000
93,Dividends Paid,-18000000,-478700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-84008000,-90939000,-100790000,-109304000,-121503000,-134292000,-147616000,-164061000,-177472000
94,Other Financing Activites,-12800000,79000000,-93300000,10847000,457933000,-60873000,-50360000,14011000,-22439000,-7196000,770000,-506000,477911000,223644000,306474000,286674000,413430000,341325000,304146000,296430000,292252000,247835000,28901000,1190118000,86537000
95,Cash Used/Provided by Financing Activities,60900000,-69100000,-50800000,32207000,471900000,-164993000,-48040000,-381439000,-98391000,99657000,25596000,-210559000,-442868000,-166259000,-518645000,-448993000,-238384000,-321628000,-460664000,-446296000,-569848000,-425685000,-516772000,315145000,-870931000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,60900000,-28300000,59800000,317126000,470698000,-406343000,380945000,-297248000,157200000,-100365000,8314000,103349000,9912000,307433000,-204824000,47787000,135034000,89077000,-67696000,-266913000,-119049000,-230828000,52849000,511556000,-274124000
98,Cash at the End of Period,- -,25400000,85200000,402300000,872998000,466655000,847600000,550352000,707552000,607187000,615501000,718850000,728762000,1036195000,831371000,879158000,1014192000,1103269000,1035573000,768660000,649611000,418783000,471632000,983188000,709064000
99,Cash at the Beginning of Period,16100000,53700000,25400000,85174000,402300000,872998000,466655000,847600000,550352000,707552000,607187000,615501000,718850000,728762000,1036195000,831371000,879158000,1014192000,1103269000,1035573000,768660000,649611000,418783000,471632000,983188000
100,Free Cash Flow,-23200000,39900000,110100000,231017000,246096000,353714000,319561000,290256000,310377000,348503000,257569000,347798000,435831000,598253000,425713000,392016000,563823000,597689000,652119000,490148000,502720000,326103000,528291000,452626000,715369000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012399010789/0000950123-99-010789-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012301509586/0000950123-01-509586-index.html,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012303014173/0000950123-03-014173-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012304015384/0000950123-04-015384-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1062579/000095012307016212/0000950123-07-016212-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012308017141/0000950123-08-017141-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012309068873/0000950123-09-068873-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012310111454/0000950123-10-111454-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000095012311102503/0000950123-11-102503-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312512498666/0001193125-12-498666-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312513466872/0001193125-13-466872-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312514436532/0001193125-14-436532-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312515400204/0001193125-15-400204-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312516790829/0001193125-16-790829-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312517366393/0001193125-17-366393-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312518346169/0001193125-18-346169-index.html,https://www.sec.gov/Archives/edgar/data/1062579/000119312519315234/0001193125-19-315234-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
