,https://roic.ai/company/BAX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,791000000,1819000000,1864000000,2084000000,2179000000,2924000000,2609000000,2643000000,3477000000,2726000000,1765000000,1830000000,2146000000,2231000000,2015000000,2169000000,1943000000,2063000000,2349000000,2766000000,2563000000,2896000000,3281000000,3566000000,3648000000,3822000000,4100000000,4480000000,4927000000,5450000000,3697000000,3386000000,3204000000,3134000000,3885000000,3036000000,3412000000
11,COGS and Expenses,2090000000,5060000000,5531000000,6116000000,6565000000,7738000000,7833000000,7426000000,8640000000,8301000000,4234000000,4527000000,5133000000,5480000000,5230000000,5628000000,6170000000,6381000000,7300000000,8360000000,8319000000,8537000000,9025000000,9784000000,9685000000,10707000000,10947000000,11369000000,12591000000,13964000000,9519000000,9439000000,9303000000,9480000000,10486000000,10122000000,11091000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,19000000,28000000,38000000,26000000,27000000,22000000,20000000,23000000,30000000,48000000,40000000,19000000,14000000
13,Interest Expense (Gain),74000000,226000000,- -,242000000,284000000,259000000,222000000,211000000,222000000,237000000,214000000,214000000,- -,193000000,- -,131000000,108000000,71000000,115000000,99000000,118000000,101000000,124000000,148000000,117000000,115000000,92000000,113000000,155000000,167000000,146000000,89000000,85000000,93000000,111000000,153000000,206000000
14,Depreciation and Amortization,134000000,285000000,314000000,335000000,368000000,383000000,427000000,447000000,494000000,524000000,336000000,348000000,398000000,426000000,372000000,405000000,441000000,439000000,545000000,601000000,580000000,575000000,581000000,631000000,638000000,685000000,670000000,712000000,823000000,1005000000,759000000,800000000,761000000,785000000,789000000,823000000,890000000
15,EBITDA,377000000,809000000,760000000,1095000000,1289000000,747000000,1454000000,1291000000,456000000,1562000000,1352000000,1449000000,921000000,1168000000,1442000000,1484000000,1461000000,1652000000,1769000000,1135000000,2140000000,2420000000,2819000000,3230000000,3479000000,2683000000,3539000000,3714000000,3527000000,4162000000,1908000000,5842000000,2056000000,2565000000,1860000000,2260000000,2562000000
16,EBITDA ratio,0.1601,0.1459,0.1221,0.1596,0.1742,0.0922,0.1630,0.1524,0.0514,0.1675,0.2678,0.2665,0.1500,0.1770,0.2260,0.2152,0.1907,0.2037,0.1984,0.1194,0.2173,0.2332,0.2503,0.2616,0.2769,0.2089,0.2547,0.2617,0.2311,0.2497,0.1914,0.5748,0.1947,0.2305,0.1637,0.1936,0.2004
17,Operating Income,265000000,483000000,692000000,745000000,834000000,362000000,1088000000,1045000000,239000000,1023000000,814000000,911000000,1005000000,1119000000,1150000000,1268000000,1213000000,1540000000,1279000000,606000000,1639000000,1841000000,2168000000,2564000000,2877000000,2136000000,2946000000,2821000000,- -,- -,449000000,724000000,1258000000,1599000000,1772000000,1616000000,1710000000
18,Operating Income ratio,0.1125,0.0871,0.1112,0.1086,0.1127,0.0447,0.1220,0.1234,0.0269,0.1097,0.1613,0.1675,0.1637,0.1696,0.1803,0.1839,0.1583,0.1899,0.1434,0.0637,0.1664,0.1774,0.1925,0.2076,0.2290,0.1663,0.2120,0.1988,- -,- -,0.0450,0.0712,0.1191,0.1437,0.1560,0.1384,0.1338
19,Total Other Income Expenses (Gains),-96000000,-223000000,-246000000,-227000000,-197000000,-257000000,-283000000,-292000000,-569000000,-222000000,-290000000,-118000000,-482000000,-570000000,-98000000,-322000000,-249000000,-143000000,-129000000,-176000000,-195000000,-95000000,-54000000,-113000000,-143000000,-246000000,-137000000,68000000,-119000000,-268000000,-21000000,4230000000,-41000000,94000000,-802000000,-324000000,-233000000
20,Income Before Tax,169000000,260000000,446000000,518000000,637000000,105000000,805000000,753000000,-330000000,801000000,524000000,793000000,523000000,549000000,1052000000,946000000,964000000,1397000000,1150000000,430000000,1444000000,1746000000,2114000000,2451000000,2734000000,1890000000,2809000000,2889000000,2549000000,2439000000,428000000,4954000000,1217000000,1693000000,970000000,1292000000,1477000000
21,Income Before Tax Ratio,0.0718,0.0469,0.0717,0.0755,0.0861,0.0130,0.0902,0.0889,-0.0372,0.0859,0.1038,0.1458,0.0852,0.0832,0.1649,0.1372,0.1258,0.1723,0.1290,0.0452,0.1466,0.1682,0.1877,0.1985,0.2176,0.1472,0.2022,0.2036,0.1670,0.1463,0.0429,0.4875,0.1152,0.1522,0.0854,0.1107,0.1155
22,Income Tax expense (Gain),32000000,79000000,123000000,130000000,191000000,65000000,214000000,192000000,-62000000,205000000,153000000,218000000,223000000,234000000,273000000,208000000,300000000,364000000,228000000,47000000,486000000,348000000,407000000,437000000,519000000,463000000,553000000,563000000,537000000,493000000,35000000,-12000000,493000000,63000000,-41000000,182000000,182000000
23,Net Income,137000000,219000000,323000000,388000000,446000000,40000000,591000000,441000000,-198000000,596000000,649000000,669000000,300000000,315000000,797000000,740000000,612000000,778000000,881000000,388000000,956000000,1396000000,1707000000,2014000000,2205000000,1420000000,2224000000,2326000000,2012000000,2497000000,968000000,4965000000,717000000,1624000000,1001000000,1102000000,1284000000
24,Net Income ratio,0.0582,0.0395,0.0519,0.0566,0.0603,0.0049,0.0662,0.0521,-0.0223,0.0639,0.1286,0.1230,0.0489,0.0477,0.1249,0.1073,0.0799,0.0959,0.0988,0.0408,0.0971,0.1345,0.1516,0.1631,0.1755,0.1106,0.1601,0.1639,0.1319,0.1498,0.0971,0.4885,0.0679,0.1460,0.0881,0.0944,0.1004
25,EPS,0.42,0.40,0.55,0.66,0.75,-0.03,1.01,0.78,-0.35,1.06,1.18,1.23,0.54,0.56,1.38,1.26,1.04,1.29,1.47,0.63,1.54,2.15,2.65,3.22,3.63,2.41,3.91,4.22,3.70,4.61,1.78,9.09,1.32,3.04,1.97,2.17,2.52
26,EPS Diluted,0.41,0.40,0.55,0.65,0.74,-0.03,1.00,0.77,-0.35,1.06,1.18,1.23,0.53,0.55,1.35,1.24,1.00,1.26,1.45,0.63,1.52,2.13,2.61,3.16,3.59,2.39,3.88,4.18,3.66,4.56,1.76,9.01,1.29,2.97,1.93,2.13,2.48
27,Weighted Average Shares Outstanding,305882353,498734177,478181818,496183206,512000000,480000000,559605911,558974359,565714286,560000000,554000000,544000000,555555556,568000000,580000000,584000000,590000000,600000000,599000000,614000000,622000000,651000000,644000000,625000000,607000000,590000000,569000000,551000000,543000000,542000000,545000000,546000000,543000000,534000000,509000000,509000000,509000000
28,Weighted Average Shares Outstanding Diluted,313253012,498734177,482568807,500000000,515436242,480000000,568000000,566233766,565714286,560000000,556000000,1088000000,566037736,578000000,590000000,598000000,609000000,618000000,606000000,618000000,629000000,656000000,654000000,637000000,614000000,594000000,573000000,556000000,549000000,547000000,549000000,551000000,555000000,546000000,519000000,517000000,517000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/10456/000095013195000701/0000950131-95-000701-index.html,https://www.sec.gov/Archives/edgar/data/10456/000091205796004966/0000912057-96-004966-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013197001923/0000950131-97-001923-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013198001860/0000950131-98-001860-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013199001586/0000950131-99-001586-index.html,- -,https://www.sec.gov/Archives/edgar/data/10456/000095013101500106/0000950131-01-500106-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013102000882/0000950131-02-000882-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013103001306/0000950131-03-001306-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312504040579/0001193125-04-040579-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312505052405/0001193125-05-052405-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095013706002686/c02804e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013707002905/n12610e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013708002771/c22852e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000095013709001173/0000950137-09-001173-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095012310015380/0000950123-10-015380-index.html,https://www.sec.gov/Archives/edgar/data/10456/000095012311017190/c61460e10vk.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312512075661/0001193125-12-075661-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312513069609/0001193125-13-069609-index.html,https://www.sec.gov/Archives/edgar/data/10456/000119312514061654/d596470d10k.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312515065871/d848964d10k.htm,https://www.sec.gov/Archives/edgar/data/10456/000119312516479471/0001193125-16-479471-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459017002240/0001564590-17-002240-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459018002954/0001564590-18-002954-index.html,https://www.sec.gov/Archives/edgar/data/10456/000156459019003727/0001564590-19-003727-index.html,https://www.sec.gov/Archives/edgar/data/10456/000162828020003693/0001628280-20-003693-index.html,https://www.sec.gov/Archives/edgar/data/10456/000162828021001867/0001628280-21-001867-index.htm,https://www.sec.gov/Archives/edgar/data/10456/000162828022003432/0001628280-22-003432-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,274000000,21000000,51000000,201000000,67000000,40000000,328000000,32000000,479000000,471000000,476000000,761000000,465000000,709000000,606000000,579000000,582000000,1169000000,927000000,1109000000,841000000,2485000000,2539000000,2131000000,2786000000,2685000000,2905000000,3270000000,2733000000,2925000000,2213000000,2801000000,3394000000,1832000000,3335000000,3730000000,2951000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5148000000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,274000000,21000000,51000000,201000000,67000000,40000000,328000000,32000000,479000000,471000000,476000000,761000000,465000000,709000000,606000000,579000000,582000000,1169000000,927000000,1109000000,841000000,2485000000,2539000000,2131000000,2786000000,2685000000,2905000000,3270000000,2733000000,2925000000,7361000000,2801000000,3394000000,1832000000,3335000000,3730000000,2951000000
34,Net Receivables,933000000,1131000000,1279000000,1437000000,1652000000,1585000000,1778000000,1667000000,1676000000,1916000000,1209000000,1485000000,1739000000,1917000000,1652000000,1542000000,1622000000,1838000000,1979000000,2091000000,1766000000,1838000000,2026000000,1980000000,2302000000,2265000000,2420000000,2425000000,2911000000,2803000000,1731000000,1691000000,1793000000,1812000000,1896000000,2077000000,2629000000
35,Inventory,1037000000,1085000000,1279000000,1512000000,1502000000,1532000000,1596000000,1632000000,1772000000,1537000000,906000000,883000000,1208000000,1324000000,1116000000,1159000000,1341000000,1745000000,2101000000,2135000000,1925000000,2066000000,2334000000,2361000000,2557000000,2371000000,2628000000,2803000000,3499000000,3559000000,1604000000,1430000000,1475000000,1653000000,1653000000,1916000000,2453000000
36,Other Current Assets,121000000,107000000,149000000,173000000,203000000,286000000,302000000,258000000,495000000,416000000,320000000,351000000,458000000,701000000,445000000,371000000,432000000,408000000,430000000,684000000,584000000,581000000,656000000,676000000,626000000,668000000,697000000,762000000,861000000,1064000000,1100000000,652000000,601000000,622000000,619000000,688000000,839000000
37,Total Current Assets,2365000000,2344000000,2758000000,3323000000,3424000000,3443000000,4004000000,3589000000,4422000000,4340000000,2911000000,3480000000,3870000000,4651000000,3819000000,3651000000,3977000000,5160000000,5437000000,6019000000,5116000000,6970000000,7555000000,7148000000,8271000000,7989000000,8650000000,9260000000,10004000000,10351000000,11796000000,6574000000,7263000000,5919000000,7503000000,8411000000,8872000000
38,PP&E,1682000000,1634000000,1776000000,2024000000,2103000000,2169000000,2455000000,2647000000,2655000000,2562000000,1749000000,1843000000,2360000000,2673000000,2650000000,2807000000,3306000000,3907000000,4585000000,4369000000,4144000000,4229000000,4487000000,4609000000,5159000000,5260000000,5525000000,6098000000,7832000000,8698000000,4386000000,4289000000,4588000000,4542000000,5120000000,5325000000,5808000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1552000000,1618000000,1690000000,1654000000,1825000000,2015000000,2317000000,2502000000,4205000000,3874000000,2687000000,2595000000,3099000000,2958000000,3030000000,3217000000,9836000000
40,Intangible Assets,2385000000,2758000000,2688000000,2858000000,2629000000,2560000000,2501000000,2488000000,2490000000,2290000000,1098000000,1386000000,1622000000,1817000000,921000000,1239000000,1698000000,2020000000,2259000000,2195000000,494000000,480000000,455000000,390000000,513000000,500000000,826000000,814000000,2294000000,2079000000,1349000000,1111000000,1374000000,1398000000,1471000000,1671000000,7792000000
41,Intangible Assets,2385000000,2758000000,2688000000,2858000000,2629000000,2560000000,2501000000,2488000000,2490000000,2290000000,1098000000,1386000000,1622000000,1817000000,921000000,1239000000,1698000000,2020000000,2259000000,2195000000,2046000000,2098000000,2145000000,2044000000,2338000000,2515000000,3143000000,3316000000,6499000000,5953000000,4036000000,3706000000,4473000000,4356000000,4501000000,4888000000,17628000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76000000,135000000,154000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,936000000,689000000,1132000000,1095000000,1139000000,- -,1156000000,876000000,273000000,354000000,629000000,408000000,461000000,621000000,748000000,376000000
44,Other Non-Current Assets,407000000,332000000,416000000,345000000,347000000,345000000,380000000,431000000,978000000,810000000,3679000000,887000000,855000000,944000000,2254000000,1036000000,1362000000,1391000000,1498000000,1564000000,1421000000,453000000,418000000,472000000,491000000,586000000,1755000000,560000000,658000000,642000000,403000000,348000000,379000000,363000000,372000000,512000000,683000000
45,Total Non-Current Assets,4474000000,4724000000,4880000000,5227000000,5079000000,5074000000,5336000000,5566000000,6123000000,5662000000,6526000000,4116000000,4837000000,5434000000,5825000000,5082000000,6366000000,7318000000,8342000000,8128000000,7611000000,7716000000,7739000000,8257000000,9083000000,9500000000,10423000000,11130000000,15865000000,15566000000,9179000000,8972000000,9848000000,9722000000,10690000000,11608000000,24649000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6839000000,7068000000,7638000000,8550000000,8503000000,8517000000,9340000000,9155000000,10545000000,10002000000,9437000000,7596000000,8707000000,10085000000,9644000000,8733000000,10343000000,12478000000,13779000000,14147000000,12727000000,14686000000,15294000000,15405000000,17354000000,17489000000,19073000000,20390000000,25869000000,25917000000,20975000000,15546000000,17111000000,15641000000,18193000000,20019000000,33521000000
48,Accounts Payable,- -,- -,- -,- -,1204000000,1504000000,1574000000,1479000000,1783000000,701000000,355000000,442000000,1963000000,2181000000,1805000000,1990000000,708000000,3043000000,3105000000,3531000000,3241000000,878000000,920000000,829000000,807000000,745000000,795000000,766000000,1103000000,1264000000,716000000,791000000,920000000,1004000000,892000000,1043000000,1246000000
49,Short-Term Debt,168000000,272000000,432000000,530000000,379000000,432000000,389000000,500000000,822000000,531000000,219000000,346000000,144000000,271000000,255000000,634000000,201000000,220000000,153000000,361000000,924000000,234000000,425000000,394000000,711000000,24000000,446000000,350000000,1040000000,1699000000,2585000000,3000000,3000000,4000000,642000000,517000000,639000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255000000,375000000,346000000,503000000,603000000,539000000,597000000,619000000,269000000,228000000,234000000,198000000,283000000,264000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,738000000,878000000,760000000,9000000,- -,- -,- -,- -,- -,- -,162000000
52,Other Current Liabilities,1052000000,1609000000,1445000000,1356000000,276000000,388000000,394000000,389000000,328000000,1534000000,1580000000,1657000000,450000000,536000000,640000000,748000000,2385000000,588000000,561000000,394000000,- -,2498000000,2467000000,2412000000,2946000000,3272000000,2878000000,2765000000,3003000000,3070000000,2449000000,1950000000,1898000000,1828000000,1696000000,1773000000,2189000000
53,Total Current Liabilities,1220000000,1881000000,1877000000,1886000000,1859000000,2324000000,2357000000,2368000000,2933000000,2766000000,2154000000,2445000000,2557000000,2988000000,2700000000,3372000000,3294000000,3851000000,3819000000,4286000000,4165000000,3610000000,3812000000,3635000000,4464000000,4041000000,4857000000,4759000000,5906000000,6042000000,5750000000,2744000000,2821000000,2836000000,3230000000,3333000000,4236000000
54,Long-Term Debt,2580000000,1568000000,1723000000,2311000000,2048000000,1729000000,2249000000,2433000000,2800000000,2341000000,2372000000,1695000000,2635000000,3096000000,2601000000,1726000000,2486000000,4398000000,4421000000,3933000000,2414000000,2567000000,2664000000,3362000000,3440000000,4363000000,4749000000,5580000000,8126000000,7606000000,3935000000,2779000000,3509000000,3473000000,4809000000,6287000000,17671000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,- -,84000000
56,Deferred Tax Liabilities,76000000,249000000,325000000,377000000,350000000,193000000,238000000,174000000,201000000,167000000,173000000,255000000,316000000,505000000,311000000,160000000,218000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93000000,280000000,205000000,192000000,143000000,962000000
57,Other Non-Current Liabilities,881000000,880000000,880000000,880000000,- -,179000000,123000000,385000000,1426000000,1008000000,1034000000,697000000,580000000,657000000,684000000,816000000,588000000,1290000000,2216000000,2223000000,1849000000,2237000000,1902000000,2179000000,2030000000,2289000000,2639000000,3073000000,3351000000,4113000000,2425000000,1650000000,1385000000,1311000000,1998000000,1530000000,1447000000
58,Total Non-Current Liabilities,3537000000,2697000000,2928000000,3568000000,2398000000,2101000000,2610000000,2992000000,4427000000,3516000000,3579000000,2647000000,3531000000,4258000000,3596000000,2702000000,3292000000,5688000000,6637000000,6156000000,4263000000,4804000000,4566000000,5541000000,5470000000,6652000000,7388000000,8653000000,11477000000,11719000000,6360000000,4522000000,5174000000,4989000000,7051000000,7960000000,20164000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,611000000,612000000,650000000
61,Total Liabilities,4757000000,4578000000,4805000000,5454000000,4257000000,4425000000,4967000000,5360000000,7360000000,6282000000,5733000000,5092000000,6088000000,7246000000,6296000000,6074000000,6586000000,9539000000,10456000000,10442000000,8428000000,8414000000,8378000000,9176000000,9934000000,10693000000,12245000000,13412000000,17383000000,17761000000,12110000000,7266000000,7995000000,7825000000,10281000000,11293000000,24400000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294000000,298000000,609000000,627000000,649000000,648000000,648000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000,683000000
64,Retained Earnings,955000000,1253000000,1451000000,1654000000,1899000000,1723000000,2083000000,1928000000,1452000000,1762000000,2105000000,1022000000,1006000000,990000000,1415000000,853000000,1093000000,1689000000,2194000000,2259000000,2851000000,3271000000,4379000000,5795000000,7343000000,7925000000,9429000000,10888000000,11852000000,13227000000,9683000000,14200000000,14483000000,15626000000,15718000000,16328000000,17065000000
65,Other Comprehensive Income/Loss,-527000000,-628000000,-791000000,-911000000,-1048000000,-1357000000,-1511000000,-1562000000,-1836000000,-1869000000,-1678000000,-1952000000,-2047000000,-2316000000,-2059000000,-2171000000,-2426000000,-1274000000,-1430000000,-1288000000,-1496000000,-1426000000,-940000000,-1885000000,-1777000000,-2139000000,-2591000000,-2810000000,-1976000000,-3650000000,224000000,-4556000000,-4001000000,-4424000000,-3710000000,-3314000000,-3380000000
66,Other Total Stockholders Equity,1654000000,1865000000,2173000000,2353000000,3395000000,3726000000,3801000000,3429000000,3569000000,3827000000,3277000000,3434000000,3660000000,4165000000,3698000000,3679000000,4481000000,1897000000,1910000000,2086000000,2296000000,3744000000,2794000000,1636000000,942000000,98000000,-936000000,-1823000000,-2096000000,-2140000000,-1744000000,-2037000000,-2041000000,-4091000000,-4809000000,-5008000000,- -
67,Total Stockholders Equity,2082000000,2490000000,2833000000,3096000000,4246000000,4092000000,4373000000,3795000000,3185000000,3720000000,3704000000,2504000000,2619000000,2839000000,3348000000,2659000000,3757000000,2939000000,3323000000,3705000000,4299000000,6272000000,6916000000,6229000000,7191000000,6567000000,6585000000,6938000000,8463000000,8120000000,8846000000,8290000000,9124000000,7794000000,7882000000,8689000000,9077000000
68,Total Liabilities And Stockholders Equity,6839000000,7068000000,7638000000,8550000000,8503000000,8517000000,9340000000,9155000000,10545000000,10002000000,9437000000,7596000000,8707000000,10085000000,9644000000,8733000000,10343000000,12478000000,13779000000,14147000000,12727000000,14686000000,15294000000,15405000000,17125000000,17260000000,18830000000,20350000000,25846000000,25881000000,20956000000,15556000000,17119000000,15619000000,18163000000,19982000000,33477000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,229000000,229000000,243000000,40000000,23000000,36000000,19000000,-10000000,-8000000,22000000,30000000,37000000,44000000
70,Total Liabilities & Equity,6839000000,7068000000,7638000000,8550000000,8503000000,8517000000,9340000000,9155000000,10545000000,10002000000,9437000000,7596000000,8707000000,10085000000,9644000000,8733000000,10343000000,12478000000,13779000000,14147000000,12727000000,14686000000,15294000000,15405000000,17354000000,17489000000,19073000000,20390000000,25869000000,25917000000,20975000000,15546000000,17111000000,15641000000,18193000000,20019000000,33521000000
