,https://roic.ai/company/MDT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4605500000,5312700000,7421500000,10376600000,7918000000,7322000000,7460000000,9839000000,9117000000,9515000000,17793000000,21210000000,30844000000,23600000000,24873000000,22980000000,21967000000,22031000000,22548000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1583000000,1708300000,1859300000,1881100000,2062000000,2221000000,2279000000,2421000000,2511000000,2473000000,2490000000,2392000000,4699000000,4841000000,4361000000,4604000000,4675000000,5755000000,5221000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4345600000,4327000000,7519000000,8195000000,8391000000,9537000000,9934000000,10329000000,10593000000,40530000000,41500000000,38515000000,39543000000,39959000000,39841000000,41961000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5216800000,5236200000,5299200000,1592000000,1433000000,2193000000,2477000000,2559000000,2777000000,2647000000,2673000000,2286000000,28101000000,26899000000,23407000000,21723000000,20560000000,19063000000,17740000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5216800000,5236200000,5299200000,5937600000,5760000000,9712000000,10672000000,10950000000,12314000000,12581000000,13002000000,12879000000,68631000000,68399000000,61922000000,61266000000,60519000000,58904000000,59701000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2769000000,4632000000,6120000000,7705000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204000000,103000000,65000000,- -,- -,- -,- -,- -,4700000000,3729000000,2978000000,1423000000,1278000000,1174000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915500000,1853600000,2037400000,1469500000,3568000000,2840000000,416000000,248000000,362000000,809000000,1556000000,1462000000,-2189000000,-925000000,5723000000,1120000000,1255000000,2825000000,5612000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7715300000,8798100000,9195900000,9288200000,11594000000,14876000000,16201000000,18251000000,21307000000,23568000000,17048000000,16733000000,75841000000,76044000000,74984000000,68413000000,67727000000,68658000000,70534000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141069000000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12320800000,14110800000,16617400000,19664800000,19512000000,22198000000,23661000000,28090000000,30424000000,33083000000,34841000000,37943000000,106685000000,99644000000,99857000000,91393000000,89694000000,90689000000,93083000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,269400000,346200000,371800000,318600000,282000000,383000000,382000000,420000000,511000000,565000000,622000000,742000000,1610000000,1709000000,1555000000,1628000000,1953000000,1996000000,2106000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2776000000,11000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,935000000,566000000,633000000,979000000,567000000,502000000,435000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,315000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1543900000,3894400000,3008200000,4087200000,2281000000,3152000000,2765000000,4701000000,4203000000,5292000000,3269000000,4817000000,7563000000,5456000000,12709000000,8456000000,6204000000,5594000000,6392000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1813300000,4240600000,3380000000,4405800000,2563000000,3535000000,3147000000,5121000000,4714000000,5857000000,3891000000,5559000000,9173000000,7165000000,14264000000,10084000000,8472000000,10366000000,8509000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1980300000,1100000,1973200000,5486300000,5578000000,5802000000,6772000000,6944000000,8112000000,7359000000,9408000000,10120000000,33752000000,30109000000,25921000000,23699000000,24486000000,22021000000,26378000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,304300000,408200000,478100000,22100000,- -,- -,475000000,684000000,716000000,1616000000,340000000,386000000,4700000000,3729000000,2978000000,1423000000,1278000000,1174000000,1028000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,316500000,383900000,336600000,368100000,394000000,1325000000,416000000,712000000,914000000,1138000000,2531000000,2435000000,5830000000,6578000000,6486000000,5467000000,5367000000,6391000000,5566000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2601100000,793200000,2787900000,5876500000,5972000000,7127000000,7663000000,8340000000,9742000000,10113000000,12279000000,12941000000,44282000000,40416000000,35385000000,30589000000,31131000000,29586000000,32972000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166000000,139000000,145000000,132000000,28000000,26000000,16000000,50000000,71000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4414400000,5033800000,6167900000,10282300000,8535000000,10662000000,10810000000,13461000000,14456000000,15970000000,16170000000,18500000000,53455000000,47581000000,49649000000,40673000000,39603000000,39952000000,41481000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,121800000,120900000,121000000,115500000,114000000,112000000,112000000,110000000,107000000,104000000,102000000,100000000,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7808400000,8890900000,10178500000,9112200000,10925000000,11710000000,12941000000,14826000000,16085000000,17482000000,19061000000,19940000000,54414000000,21704000000,23270000000,24379000000,26270000000,28132000000,28594000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1289900000,-1496000000,-1769300000,-1913000000,-2247000000,-2522000000,-2608000000,-2937000000,-3306000000,-3323000000,-3662000000,-4047000000,-1184000000,-1868000000,-2613000000,-1786000000,-2711000000,-3560000000,-3485000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1266100000,1561200000,1919300000,2067800000,2185000000,2236000000,2406000000,2630000000,3082000000,2850000000,3170000000,3450000000,- -,32227000000,29551000000,28127000000,26532000000,26165000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7906400000,9077000000,10449500000,9382500000,10977000000,11536000000,12851000000,14629000000,15968000000,17113000000,18671000000,19443000000,53230000000,52063000000,50294000000,50720000000,50091000000,50737000000,51428000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12320800000,14110800000,16617400000,19664800000,19512000000,22198000000,23661000000,28090000000,30424000000,33083000000,34841000000,37943000000,106685000000,99644000000,99943000000,91393000000,89694000000,90689000000,92909000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86000000,- -,- -,- -,174000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12320800000,14110800000,16617400000,19664800000,19512000000,22198000000,23661000000,28090000000,30424000000,33083000000,34841000000,37943000000,106685000000,99644000000,99857000000,91393000000,89694000000,90689000000,93083000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1613103/000161310315000028/0001613103-15-000028-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310316000093/0001613103-16-000093-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310317000018/0001613103-17-000018-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310318000024/0001613103-18-000024-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310319000028/0001613103-19-000028-index.html,https://www.sec.gov/Archives/edgar/data/1613103/000161310320000021/0001613103-20-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1613103/000161310321000027/0001613103-21-000027-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,108700000,133400000,161500000,197200000,232400000,294000000,437800000,530000000,457400000,468400000,1098500000,1046000000,984000000,1599800000,1959300000,1803900000,2546700000,2802000000,2231000000,2169000000,3099000000,3096000000,3617000000,3467000000,3065000000,2675000000,3538000000,4028000000,3104000000,4631000000,4789000000,3606000000
74,Depreciation and Amortization,- -,- -,- -,- -,39400000,46500000,59400000,69600000,78600000,106500000,111800000,116900000,137600000,213100000,243300000,297300000,329800000,408100000,442600000,463300000,543600000,583000000,637000000,699000000,772000000,804000000,833000000,819000000,850000000,1306000000,2820000000,2917000000,2644000000,2659000000,2663000000,2702000000
75,Deferred Income Tax,- -,- -,- -,- -,-2500000,-14500000,-11800000,-11100000,-3200000,700000,-33100000,2000000,21500000,-35900000,71100000,-152200000,50900000,202600000,110500000,-142500000,104700000,-236000000,-49000000,-116000000,144000000,153000000,14000000,-7000000,-207000000,-926000000,-460000000,-459000000,-919000000,-304000000,-1315000000,-422000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,225000000,198000000,161000000,152000000,145000000,439000000,375000000,348000000,344000000,290000000,297000000,344000000
77,Change in Working Capital,- -,- -,- -,- -,-41500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333400000,-389000000,2847800000,-1720100000,2969400000,1929300000,-615800000,-1568000000,526000000,405000000,-315000000,-745000000,10244000000,1749000000,6020000000,-5236000000,-5826000000,2287000000,599000000,-1830000000,-701000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108000000,-271000000,-342000000,-252000000,1000000,-70000000,-413000000,-435000000,-75000000,-275000000,-581000000,1291000000,-761000000
79,Inventory,- -,- -,- -,- -,-6100000,-11300000,-42700000,-14700000,-8100000,7200000,-30600000,-16900000,-59800000,-86700000,-119100000,-44500000,30400000,-91700000,127600000,-51300000,-257100000,-24000000,30000000,-212000000,158000000,-101000000,-185000000,93000000,-39000000,-282000000,-186000000,-227000000,-192000000,-274000000,-577000000,78000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,333400000,-55600000,2792200000,1072100000,4041500000,5970800000,5355000000,3787000000,4313000000,4718000000,4403000000,3658000000,13902000000,15651000000,21671000000,16435000000,10609000000,12896000000,13495000000,11665000000,-549000000
82,Other Non-Cash Items,- -,- -,- -,- -,2700000,-38800000,-57700000,35800000,49100000,-14000000,-16000000,-185300000,-26400000,-190300000,-370900000,307000000,614500000,-2980100000,2053500000,-2274700000,-2916900000,445800000,2238000000,363000000,-514000000,-195000000,590000000,-9792000000,-643000000,-4612000000,4181000000,5872000000,-2776000000,-868000000,2630000000,711000000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,106800000,126600000,151400000,291500000,356900000,387200000,500500000,463600000,590100000,455300000,1042000000,1831500000,1590200000,2078200000,2845800000,2819400000,2207400000,2979000000,3489000000,3878000000,4131000000,3741000000,4470000000,4883000000,4959000000,4902000000,5218000000,6880000000,4684000000,7007000000,7234000000,6240000000
84,CAPEX,- -,- -,- -,- -,-55300000,-65800000,-77200000,-77100000,-60800000,-96900000,-163800000,-190200000,-148200000,-1243800000,-342100000,-439700000,-386400000,-380400000,-424600000,-452000000,-1244200000,-694000000,-606000000,-663000000,-635000000,-548000000,-499000000,-457000000,-396000000,-571000000,-1046000000,-1254000000,-1068000000,-1134000000,-1213000000,-1355000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4057600000,-1900000,-30900000,-107900000,-285200000,-8000000,-4221000000,-1624000000,-350000000,-1332000000,-170000000,-820000000,-385000000,-14884000000,-1213000000,-1324000000,5921000000,-1827000000,-488000000,-994000000
