,https://roic.ai/company/FLWS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
33,Cash and Short-Term Investments,8900000,99200000,111600000,63900000,63399000,61200000,103400000,46600000,24600000,16100000,12100000,29600000,27800000,21400000,28900000,154000,5200000,27940000,27826000,149732000,147240000,172923000,240506000,173573000
34,Net Receivables,8400000,9300000,8400000,8200000,9345000,7800000,9000000,10600000,13200000,17000000,13400000,11300000,13900000,15300000,15000000,14957000,13300000,19170000,19123000,14073000,12935000,12374000,15178000,20831000
35,Inventory,5000000,7500000,10600000,14900000,15647000,20400000,19600000,28700000,53000000,62100000,67300000,45900000,45100000,51300000,55700000,55756000,58500000,93163000,103328000,75862000,88825000,92361000,97760000,153863000
36,Other Current Assets,7700000,5200000,4300000,1800000,2220000,2200000,18000000,15500000,23400000,28800000,16800000,35300000,10900000,12800000,16100000,21782000,14800000,14822000,16382000,17735000,24021000,25580000,25186000,51792000
37,Total Current Assets,30000000,121200000,134900000,88800000,90611000,91600000,150000000,101400000,114200000,124000000,109600000,122100000,97700000,100800000,115700000,92649000,91800000,155095000,166659000,257402000,273021000,303238000,378630000,400059000
38,PP&E,19400000,27500000,40900000,49900000,51002000,46500000,42500000,50500000,59700000,62600000,65700000,54800000,51300000,50400000,48700000,52943000,60100000,170100000,171362000,161381000,163340000,166681000,235835000,301517000
39,Goodwill,- -,- -,38000000,25600000,37772000,37700000,34500000,63200000,131100000,112100000,124200000,41200000,41200000,41500000,47900000,47943000,60200000,77097000,77667000,62590000,62590000,62590000,74711000,208150000
40,Intangible Assets,22700000,21400000,- -,4200000,4074000,3200000,2600000,14200000,29800000,52800000,68800000,42800000,41000000,41800000,41800000,43276000,44600000,82125000,79000000,61090000,59823000,59615000,66273000,139048000
41,Intangible Assets,22700000,21400000,38000000,29800000,41846000,40900000,37100000,77400000,160900000,164900000,193000000,84000000,82200000,83300000,89700000,91219000,104800000,159222000,156667000,123680000,122413000,122205000,140984000,347198000
42,Investments,- -,- -,2900000,17000000,- -,19700000,8300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2300000,- -,2800000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,5500000,- -,- -,- -,- -,2127000,600000,37807000,35517000,33868000,26200000,- -,28632000,- -
44,Other Non-Current Assets,9600000,12300000,7900000,9800000,23698000,16100000,23700000,22700000,11800000,-7200000,-2500000,25200000,24900000,22500000,10700000,11135000,10300000,-25151000,-27264000,-23861000,-16385000,14316000,-12446000,27905000
45,Total Non-Current Assets,51700000,61200000,89700000,106500000,116546000,123200000,111600000,150600000,232400000,228500000,261700000,164000000,158400000,156200000,149100000,157424000,175800000,341978000,336282000,295068000,297868000,303202000,395805000,676620000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,81700000,182400000,224600000,195300000,207157000,214800000,261600000,252000000,346600000,352500000,371300000,286100000,256100000,257000000,264800000,250073000,267600000,497073000,502941000,552470000,570889000,606440000,774435000,1076679000
48,Accounts Payable,20800000,23400000,- -,- -,64156000,- -,- -,- -,- -,- -,- -,- -,- -,- -,17600000,26235000,24400000,35425000,35201000,27781000,41437000,25704000,25306000,57434000
49,Short-Term Debt,- -,- -,- -,- -,3154000,3025000,3022000,2597000,10360000,10132000,12886000,22337000,14801000,16488000,15756000,- -,343000,14543000,19594000,7188000,10063000,5000000,13285000,29992000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19265000,- -,- -,- -,- -,- -,- -,13865000,13524000,17305000,- -,33388000
52,Other Current Liabilities,7200000,12200000,52800000,61400000,- -,61675000,63278000,57103000,62640000,62468000,63214000,56063000,40634000,66512000,52644000,49528000,49557000,73639000,66066000,76341000,59775000,79488000,141741000,145124000
53,Total Current Liabilities,28000000,35600000,52800000,61400000,67310000,64700000,66300000,59700000,73000000,72600000,76100000,78400000,74700000,83000000,86000000,75763000,74300000,123607000,120861000,125175000,124799000,127497000,180332000,265938000
54,Long-Term Debt,22500000,27500000,9400000,12500000,12244000,9100000,6100000,3300000,78100000,68000000,55300000,70500000,45700000,29300000,13500000,- -,- -,117563000,9581000,101377000,92267000,91973000,87559000,240887000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1300000,200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4993000,- -,649000,42680000,35517000,33868000,26200000,28898000,- -,34162000
57,Other Non-Current Liabilities,11500000,10100000,3500000,3500000,3695000,3700000,2800000,2600000,2400000,10900000,8500000,3400000,3100000,3000000,-1393000,5039000,9451000,4774000,94396000,9811000,12719000,15361000,106770000,26622000
58,Total Non-Current Liabilities,35300000,37800000,12900000,16000000,15939000,12800000,8900000,5900000,80500000,78900000,63800000,73900000,48800000,32300000,17100000,5039000,10100000,165017000,139494000,145056000,131186000,136232000,194329000,301671000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70249000,89367000
61,Total Liabilities,63300000,73400000,65700000,77400000,83249000,77500000,75200000,65600000,153500000,151500000,139900000,152300000,123500000,115300000,103100000,80802000,84400000,288624000,260355000,270231000,255985000,263729000,374661000,567609000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,18200000,500000,700000,700000,708000,700000,700000,700000,700000,700000,700000,700000,700000,800000,800000,783000,800000,- -,- -,852000,858000,868000,875000,891000
64,Retained Earnings,1500000,-10500000,-77400000,-118700000,-120189000,-108000000,-67000000,-59200000,-56000000,-38900000,-17800000,-116300000,-120500000,-114800000,-96300000,-83937000,-68600000,- -,- -,32638000,73429000,108525000,167523000,286175000
65,Other Comprehensive Income/Loss,-11000000,-17600000,-1600000,-36600000,-50069000,-64300000,-78100000,-1116000,-114100000,-124000000,-142400000,-135100000,-334000,-158000,-17000,- -,-75000,-371000,-146000,-187000,-200000,-269000,-243000,-318000
66,Other Total Stockholders Equity,9700000,136600000,237200000,272400000,293458000,308888000,330790000,245950000,362583000,363231000,390965000,384483000,252760000,255819000,257265000,252425000,251074000,- -,- -,248936000,240817000,233587000,231619000,222322000
67,Total Stockholders Equity,18400000,109000000,158900000,117800000,123908000,137288000,186390000,186334000,193183000,201031000,231465000,133783000,132626000,141661000,161748000,169271000,183199000,208449000,242586000,282239000,314904000,342711000,399774000,509070000
68,Total Liabilities And Stockholders Equity,81700000,182400000,224600000,195200000,207157000,214788000,261590000,251934000,346683000,352531000,371365000,286083000,256126000,256961000,264848000,250073000,267599000,497073000,502941000,552470000,570889000,606440000,774435000,1076679000
69,Minority Interest,- -,- -,- -,100000,- -,12000,10000,66000,-83000,-31000,-65000,17000,-26000,39000,-48000,- -,1000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,81700000,182400000,224600000,195300000,207157000,214800000,261600000,252000000,346600000,352500000,371300000,286100000,256100000,257000000,264800000,250073000,267600000,497073000,502941000,552470000,570889000,606440000,774435000,1076679000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084869/000089155401505617/0000891554-01-505617-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486902000018/0001084869-02-000018-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486903000089/0001084869-03-000089-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486904000047/0001084869-04-000047-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1084869/000108486907000018/0001084869-07-000018-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486908000020/0001084869-08-000020-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486909000027/0001084869-09-000027-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486910000010/0001084869-10-000010-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000114036111046233/0001140361-11-046233-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000104746912008848/0001047469-12-008848-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000110465913069833/0001104659-13-069833-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774914016921/0001437749-14-016921-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774915017184/0001437749-15-017184-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774916038804/flws20160912_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774917015969/0001437749-17-015969-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774918017027/0001437749-18-017027-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774919018360/flws20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774920019622/0001437749-20-019622-index.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774921021879/0001437749-21-021879-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,5100000,-6800000,-66800000,-41300000,-1511000,12200000,40900000,7800000,3200000,17100000,21100000,-98400000,-4200000,5700000,17600000,12321000,15400000,20287000,36875000,44041000,40791000,34766000,58998000,118652000
74,Depreciation and Amortization,4200000,8600000,16846000,21716000,15061000,15389000,14992000,14489000,15765000,17837000,20363000,21010000,21378000,20715000,19576000,18798000,19848000,29124000,32384000,33376000,32469000,29965000,32513000,42510000
75,Deferred Income Tax,300000,-1000000,1321000,- -,- -,- -,-20776000,4702000,2175000,10325000,8581000,-22249000,-127000,2681000,7790000,-811000,1454000,2471000,-3000000,-1649000,-7668000,2698000,-266000,5530000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3534000,1724000,4643000,3961000,4850000,4283000,4664000,5962000,6343000,6102000,3726000,6310000,8434000,10835000
77,Change in Working Capital,-300000,-3500000,-54700000,-4099000,3599000,56800000,-42000000,-500000,10200000,-17900000,10200000,-20700000,-5200000,11900000,-12814000,614000,13988000,14310000,86429000,15995000,27519000,22557000,-64177000,-23432000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4108000,-1893000,8331000,-4210000,-6220000,70000,-822000,-6947000,-5236000
79,Inventory,- -,- -,-3574000,-1622000,-7000,-4723000,745000,-6345000,-9106000,-9800000,-4410000,-2589000,733000,-5491000,-4041000,-1823000,-2564000,26390000,-10216000,-9277000,-12963000,-3536000,-4371000,-39104000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,85600000,82100000,27400000,23301000,26900000,83700000,41700000,41200000,51400000,33500000,43700000,23000000,17800000,29700000,16886000,17500000,31488000,45798000,132227000,148222000,175741000,198298000,134121000,110689000
82,Other Non-Cash Items,200000,-2600000,68921000,11053000,-5541000,-64870000,49013000,-16062000,-16602000,4979000,-5876000,146803000,23534000,-14232000,3173000,-560000,-12815000,53579000,-101358000,-36855000,-38496000,-18196000,103915000,19195000
83,Cash Provided by Operating Activities,9500000,-5300000,-34412000,-12630000,11608000,19519000,42129000,10429000,14738000,32341000,57902000,28188000,40028000,30725000,40175000,34645000,42539000,125733000,57673000,61010000,58341000,78100000,139417000,173290000
84,CAPEX,-25500000,-12000000,-21901000,-15791000,-11994000,-10269000,-10576000,-13334000,-20491000,-18043000,-19942000,-12265000,-15041000,-17017000,-17304000,-20044000,-22985000,-32572000,-33938000,-33653000,-33306000,-32560000,-34703000,-55219000
85,Acquisitions Net,- -,- -,-25515000,-4892000,-7037000,- -,- -,-50965000,-96874000,-347000,-37386000,-11976000,10468000,-4310000,8487000,-3700000,-9000000,-131994000,- -,111955000,- -,- -,-21676000,-252698000
86,Purchases of Investments,- -,- -,-1000000,-16284000,-22798000,-56412000,-62584000,-93946000,- -,- -,- -,- -,-2192000,-268000,-3945000,-903000,- -,- -,- -,- -,- -,- -,-1176000,- -
87,Sales/Maturities of Investments,3800000,5400000,15000,1194000,6693000,57191000,63384000,118109000,6647000,- -,- -,- -,- -,- -,- -,- -,8000,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-3800000,200000,2710000,76000,495000,390000,217000,192000,2000,1705000,-20329000,-13252000,-14794000,-16917000,-17423000,-19927000,-22496000,-31609000,-33938000,-33653000,-41806000,-32560000,-33527000,-55219000
89,Cash Used for Investing Activites,-25500000,-6400000,-45691000,-35697000,-34641000,-9100000,-9559000,-39944000,-110716000,-16685000,-57715000,-25228000,-6518000,-21495000,-12881000,-24530000,-31488000,-163603000,-33938000,78302000,-41806000,-32560000,-56379000,-307917000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-119996000,-104753000,-81347000,-54790000,-72482000,-91256000,-127052000,-172983000,-192543000,-186451000,-37188000,-37187000,-25000000,-174997000
91,Common Stock Issued,- -,101600000,115899000,375000,2618000,1142000,2126000,1533000,558000,2003000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-100000,-4300000,- -,- -,- -,- -,- -,-9813000,-1324000,-15873000,-1079000,-797000,-878000,-454000,-3277000,-9599000,-8317000,-8360000,-15223000,-10735000,-12176000,-14766000,-10680000,-22369000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,13500000,4700000,-23355000,224000,-2880000,-3083000,-2951000,-3068000,81382000,-10298000,116925000,120028000,46996000,39613000,55877000,62040000,129367000,241950000,183917000,179780000,30337000,32096000,20225000,265060000
95,Cash Used/Provided by Financing Activities,13400000,102000000,92544000,599000,-262000,-1941000,-825000,-11348000,80616000,-24168000,-4150000,14478000,-35229000,-15631000,-19882000,-38815000,-6002000,60607000,-23849000,-17406000,-19027000,-19857000,-15455000,67694000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-2500000,90300000,12441000,-47728000,-23295000,8478000,31745000,-40863000,-15362000,-8512000,-3963000,17438000,-1719000,-6401000,7412000,-28700000,5049000,22737000,-114000,121906000,-2492000,25683000,67583000,-66933000
98,Cash at the End of Period,8900000,99200000,111624000,63896000,40601000,49079000,80824000,39961000,24599000,16087000,12124000,29562000,27843000,21442000,28854000,154000,5203000,27940000,27826000,149732000,147240000,172923000,240506000,173573000
99,Cash at the Beginning of Period,11400000,8900000,99183000,111624000,63896000,40601000,49079000,80824000,39961000,24599000,16087000,12124000,29562000,27843000,21442000,28854000,154000,5203000,27940000,27826000,149732000,147240000,172923000,240506000
100,Free Cash Flow,-16000000,-17300000,-56313000,-28421000,-386000,9250000,31553000,-2905000,-5753000,14298000,37960000,15923000,24987000,13708000,22871000,14601000,19554000,93161000,23735000,27357000,25035000,45540000,104714000,118071000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1084869/000089155401505617/0000891554-01-505617-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486902000018/0001084869-02-000018-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486903000089/0001084869-03-000089-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486904000047/0001084869-04-000047-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1084869/000108486907000018/0001084869-07-000018-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486908000020/0001084869-08-000020-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486909000027/0001084869-09-000027-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000108486910000010/0001084869-10-000010-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000114036111046233/0001140361-11-046233-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000104746912008848/0001047469-12-008848-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000110465913069833/0001104659-13-069833-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774914016921/0001437749-14-016921-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774915017184/0001437749-15-017184-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774916038804/flws20160912_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774917015969/0001437749-17-015969-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774918017027/0001437749-18-017027-index.html,https://www.sec.gov/Archives/edgar/data/1084869/000143774919018360/flws20190630_10k.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774920019622/0001437749-20-019622-index.htm,https://www.sec.gov/Archives/edgar/data/1084869/000143774921021879/0001437749-21-021879-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
