,https://roic.ai/company/BMY,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),161000000,119000000,194000000,135000000,121000000,27000000,168000000,-666000000,-1213000000,60000000,44000000,-853000000,-86000000,-508000000,-3357000000,-1648000000,-253000000,-46000000,565000000,14000000,6000000,1230000000,-136000000,396000000,334000000,-1592000000,-40000000,667000000,347000000,1376000000,1681000000,850000000,-938000000,-8518000000,-16993000000
20,Income Before Tax,1628000000,1889000000,1277000000,2524000000,2887000000,1987000000,2571000000,2555000000,2402000000,4013000000,4482000000,4268000000,5767000000,5478000000,2896000000,2647000000,4694000000,4418000000,4516000000,2635000000,3534000000,5471000000,5602000000,6071000000,6981000000,2340000000,2891000000,2381000000,2077000000,5915000000,5131000000,5968000000,4975000000,-6871000000,8098000000
21,Income Before Tax Ratio,0.2154,0.2207,0.1390,0.2450,0.2587,0.1781,0.2253,0.2132,0.1745,0.2664,0.2684,0.2334,0.2852,0.3007,0.1491,0.1461,0.2247,0.2280,0.2351,0.1471,0.1827,0.2656,0.2979,0.3116,0.3286,0.1328,0.1764,0.1499,0.1254,0.3045,0.2470,0.2645,0.1903,-0.1616,0.1746
22,Income Tax expense (Gain),560000000,635000000,530000000,776000000,831000000,449000000,612000000,713000000,590000000,1163000000,1277000000,1127000000,1600000000,1382000000,459000000,435000000,1215000000,1519000000,932000000,610000000,803000000,1320000000,1182000000,1558000000,1721000000,-161000000,311000000,352000000,446000000,1408000000,4156000000,1021000000,1515000000,2124000000,1084000000
23,Net Income,1068000000,1254000000,747000000,1748000000,2056000000,1962000000,1959000000,1842000000,1812000000,2850000000,3205000000,3141000000,4167000000,4711000000,5245000000,2066000000,3106000000,2388000000,3000000000,1585000000,2165000000,5247000000,10612000000,3102000000,3709000000,1960000000,2563000000,2004000000,1565000000,4457000000,1007000000,4920000000,3439000000,-9015000000,7014000000
24,Net Income ratio,0.1413,0.1465,0.0813,0.1697,0.1842,0.1759,0.1716,0.1537,0.1316,0.1892,0.1919,0.1718,0.2061,0.2586,0.2700,0.1140,0.1487,0.1232,0.1562,0.0885,0.1119,0.2547,0.5642,0.1592,0.1746,0.1112,0.1564,0.1262,0.0945,0.2294,0.0485,0.2181,0.1315,-0.2120,0.1512
25,EPS,0.50,0.60,0.36,0.84,0.99,0.96,0.95,0.91,0.90,1.42,1.61,1.58,2.10,2.40,2.70,1.07,1.60,1.23,1.53,0.81,1.10,2.65,5.35,1.80,2.18,1.17,1.56,1.21,0.97,2.67,0.61,3.03,2.02,-3.99,3.11
26,EPS Diluted,0.50,0.60,0.36,0.84,0.99,0.96,0.95,0.91,0.90,1.42,1.57,1.55,2.06,2.36,2.67,1.07,1.59,1.21,1.52,0.81,1.09,2.63,5.34,1.79,2.16,1.16,1.54,1.20,0.97,2.65,0.61,3.03,2.01,-3.99,3.11
27,Weighted Average Shares Outstanding,2136000000,2090000000,2075000000,2080952381,2076767677,2043750000,2062105263,2036000000,2024000000,2008000000,1992000000,1987000000,1984000000,1965000000,1940000000,1936000000,1937000000,1942000000,1952000000,1960000000,1970000000,1977000000,1974000000,1713000000,1700000000,1670000000,1644000000,1657000000,1667000000,1671000000,1645000000,1633000000,1705000000,2258000000,2258000000
28,Weighted Average Shares Outstanding Diluted,2136000000,2090000000,2075000000,2080952381,2076767677,2043750000,2062105263,2036000000,2028000000,2008000000,2042000000,2031000000,2027000000,1997000000,1965000000,1942000000,1950000000,1976000000,1983000000,1963000000,1980000000,2001000000,1978000000,1727000000,1717000000,1688000000,1662000000,1670000000,1679000000,1680000000,1652000000,1637000000,1712000000,2258000000,2258000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14272/000001427295000004/0000014272-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427296000002/0000014272-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427297000008/0000014272-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427298000002/0000014272-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427299000002/0000014272-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/14272/000001427201500006/0000014272-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/14272/000091205702013034/a2074555z10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/14272/000119312504041353/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312505041808/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312506052456/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312507039915/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312508035566/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312509033538/0001193125-09-033538-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312510035167/0001193125-10-035167-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312511040120/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312512066416/0001193125-12-066416-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312513061678/0001193125-13-061678-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427214000054/bmy-20131231x10xk.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/0000014272-16-000288-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/0000014272-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/0000014272-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2347000000,2512000000,510000000,596000000,1435000000,2137000000,2421000000,1642000000,1645000000,1681000000,1456000000,2244000000,2720000000,3182000000,5500000000,3978000000,2444000000,3680000000,3050000000,2018000000,1801000000,7976000000,7683000000,5033000000,5776000000,1656000000,3586000000,5571000000,2385000000,4237000000,5421000000,6911000000,12346000000,14546000000,13979000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,203000000,154000000,11000000,3013000000,3794000000,2749000000,1995000000,424000000,289000000,831000000,2268000000,2957000000,1173000000,939000000,1864000000,1885000000,2113000000,1391000000,1973000000,3047000000,1904000000,2987000000
33,Cash and Short-Term Investments,2347000000,2512000000,510000000,596000000,1435000000,2137000000,2421000000,1642000000,1645000000,1681000000,1456000000,2244000000,2957000000,3385000000,5654000000,3989000000,5457000000,7474000000,5799000000,4013000000,2225000000,8265000000,8514000000,7301000000,8733000000,2829000000,4525000000,7435000000,4270000000,6350000000,6812000000,8884000000,15393000000,16450000000,16966000000
34,Net Receivables,1349000000,1467000000,1578000000,1776000000,1971000000,1984000000,1859000000,2043000000,2356000000,2651000000,2973000000,3190000000,3272000000,3662000000,3949000000,2968000000,3646000000,4373000000,3378000000,3247000000,4240000000,3710000000,3164000000,3480000000,3743000000,3083000000,3360000000,3390000000,4299000000,5543000000,6300000000,5965000000,7685000000,8501000000,9369000000
35,Inventory,933000000,1044000000,1139000000,1366000000,1451000000,1490000000,1322000000,1397000000,1451000000,1669000000,1799000000,1873000000,2126000000,1831000000,1487000000,1573000000,1601000000,1830000000,2060000000,2079000000,2162000000,1765000000,1413000000,1204000000,1384000000,1657000000,1498000000,1560000000,1221000000,1241000000,1166000000,1195000000,4293000000,2074000000,2095000000
36,Other Current Assets,377000000,399000000,2325000000,1932000000,710000000,1010000000,968000000,1628000000,1566000000,1527000000,1508000000,1475000000,912000000,946000000,1259000000,1445000000,1214000000,1124000000,1046000000,963000000,1721000000,1023000000,867000000,1288000000,1458000000,1952000000,9533000000,2223000000,625000000,570000000,576000000,1116000000,1983000000,3167000000,4832000000
37,Total Current Assets,5006000000,5422000000,5552000000,5670000000,5567000000,6621000000,6570000000,6710000000,7018000000,7528000000,7736000000,8782000000,9267000000,9824000000,12349000000,9975000000,11918000000,14801000000,12283000000,10302000000,10348000000,14763000000,13958000000,13273000000,15318000000,9521000000,18916000000,14608000000,10415000000,13704000000,14854000000,17160000000,29354000000,30192000000,33262000000
38,PP&E,1927000000,2188000000,2350000000,2631000000,2936000000,3141000000,3374000000,3666000000,3760000000,3964000000,4156000000,4429000000,4621000000,4548000000,4879000000,5321000000,5712000000,5765000000,5693000000,5673000000,5650000000,5405000000,5055000000,4664000000,4521000000,5333000000,4579000000,4417000000,4412000000,4980000000,5001000000,5027000000,6252000000,6745000000,6049000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5200000000,4864000000,4836000000,4905000000,4823000000,4829000000,4998000000,4827000000,5218000000,5233000000,5586000000,7635000000,7096000000,7027000000,6881000000,6875000000,6863000000,6538000000,22488000000,20547000000,20502000000
40,Intangible Assets,209000000,228000000,224000000,192000000,170000000,153000000,191000000,939000000,1219000000,1508000000,1625000000,1587000000,1502000000,1436000000,2247000000,1904000000,1732000000,1866000000,1921000000,1852000000,1330000000,1151000000,2865000000,3370000000,3124000000,8778000000,2318000000,1753000000,1419000000,1385000000,1210000000,1091000000,63969000000,53243000000,42527000000
41,Intangible Assets,209000000,228000000,224000000,192000000,170000000,153000000,191000000,939000000,1219000000,1508000000,1625000000,1587000000,1502000000,1436000000,7447000000,6768000000,6568000000,6771000000,6744000000,6681000000,6328000000,5978000000,8083000000,8603000000,8710000000,16413000000,9414000000,8780000000,8300000000,8260000000,8073000000,7629000000,86457000000,73790000000,63029000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188000000,1369000000,2681000000,2909000000,3523000000,3747000000,4408000000,4660000000,2719000000,2480000000,1775000000,767000000,4509000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1234000000,1129000000,1808000000,2577000000,2716000000,2137000000,1636000000,850000000,688000000,203000000,508000000,915000000,2844000000,2996000000,1610000000,1371000000,510000000,1161000000,1439000000
44,Other Non-Current Assets,372000000,435000000,371000000,722000000,743000000,889000000,1966000000,1595000000,1932000000,1685000000,1460000000,1474000000,1724000000,1770000000,2382000000,2810000000,2039000000,1969000000,1610000000,342000000,1130000000,1081000000,907000000,1005000000,824000000,904000000,1428000000,621000000,1117000000,1048000000,1533000000,2024000000,6604000000,2084000000,5535000000
45,Total Non-Current Assets,2508000000,2851000000,2945000000,3545000000,3849000000,4183000000,5531000000,6200000000,6911000000,7157000000,7241000000,7490000000,7847000000,7754000000,14708000000,14899000000,15553000000,15634000000,15855000000,15273000000,15824000000,14789000000,17050000000,17803000000,17652000000,26376000000,19676000000,19141000000,21333000000,20003000000,18697000000,17826000000,100590000000,88289000000,76052000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7514000000,8273000000,8497000000,9215000000,9416000000,10804000000,12101000000,12910000000,13929000000,14685000000,14977000000,16272000000,17114000000,17578000000,27057000000,24874000000,27471000000,30435000000,28138000000,25575000000,26172000000,29552000000,31008000000,31076000000,32970000000,35897000000,38592000000,33749000000,31748000000,33707000000,33551000000,34986000000,129944000000,118481000000,109314000000
48,Accounts Payable,- -,- -,475000000,530000000,537000000,562000000,649000000,693000000,848000000,1064000000,1017000000,1380000000,1657000000,1702000000,1587000000,1553000000,1893000000,2127000000,1579000000,1239000000,1442000000,1535000000,1711000000,1983000000,2603000000,2202000000,2559000000,2487000000,1565000000,1664000000,2248000000,1892000000,2445000000,2713000000,2949000000
49,Short-Term Debt,415000000,679000000,281000000,397000000,553000000,375000000,177000000,725000000,575000000,513000000,543000000,482000000,432000000,162000000,174000000,1379000000,127000000,1883000000,231000000,187000000,1891000000,154000000,231000000,117000000,115000000,826000000,359000000,590000000,139000000,992000000,987000000,1703000000,3479000000,2504000000,4948000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,347000000,175000000,65000000,167000000,193000000,160000000,262000000,572000000,152000000,231000000,398000000,1517000000,647000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,470000000,76000000,32000000,- -,411000000,447000000,277000000,237000000,402000000,337000000,825000000,756000000,1167000000,1003000000,762000000,83000000,172000000,510000000,- -,- -
52,Other Current Liabilities,1714000000,1934000000,1903000000,1894000000,1662000000,2363000000,2239000000,2856000000,3383000000,3473000000,3472000000,3929000000,3448000000,3768000000,7065000000,4818000000,5434000000,5801000000,5080000000,4659000000,4864000000,4744000000,4134000000,4237000000,4725000000,4426000000,8766000000,4217000000,5310000000,5423000000,6245000000,6887000000,11870000000,13863000000,13971000000
53,Total Current Liabilities,2129000000,2613000000,2659000000,2821000000,2752000000,3300000000,3065000000,4274000000,4806000000,5050000000,5032000000,5791000000,5537000000,5632000000,8826000000,8220000000,7530000000,9843000000,6890000000,6496000000,8644000000,6710000000,6313000000,6739000000,7780000000,8279000000,12440000000,8461000000,8017000000,8841000000,9563000000,10654000000,18304000000,19080000000,21868000000
54,Long-Term Debt,279000000,284000000,237000000,231000000,135000000,176000000,588000000,644000000,635000000,966000000,1279000000,1364000000,1342000000,1336000000,6237000000,6261000000,8522000000,8463000000,8364000000,7248000000,4381000000,6585000000,6130000000,5328000000,5376000000,6568000000,7981000000,7242000000,6550000000,5716000000,6975000000,5646000000,43387000000,49169000000,39605000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,791000000,949000000,895000000,866000000,4024000000,769000000,770000000,586000000,547000000,454000000,468000000,424000000,357000000,4501000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000000,- -,- -,751000000,- -,- -,383000000,73000000,- -,- -,- -,- -,- -,- -,5407000000,4501000000
57,Other Non-Current Liabilities,351000000,428000000,517000000,745000000,734000000,1308000000,2508000000,2288000000,2666000000,2099000000,1447000000,1541000000,1590000000,1430000000,1258000000,1426000000,1633000000,1927000000,1676000000,1486000000,2585000000,3225000000,2080000000,2476000000,3081000000,3005000000,2093000000,2293000000,2171000000,2256000000,4712000000,4091000000,16131000000,6586000000,2833000000
58,Total Non-Current Liabilities,630000000,712000000,754000000,976000000,869000000,1484000000,3096000000,2932000000,3301000000,3065000000,2726000000,2905000000,2932000000,2766000000,7495000000,7687000000,10155000000,10390000000,10040000000,9088000000,6966000000,10601000000,9910000000,8699000000,9323000000,13980000000,10916000000,10305000000,9307000000,8519000000,12141000000,10205000000,59942000000,61519000000,51440000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,805000000,997000000,- -
61,Total Liabilities,2759000000,3325000000,3413000000,3797000000,3621000000,4784000000,6161000000,7206000000,8107000000,8115000000,7758000000,8696000000,8469000000,8398000000,16321000000,15907000000,17685000000,20233000000,16930000000,15584000000,15610000000,17311000000,16223000000,15438000000,17103000000,22259000000,23356000000,18766000000,17324000000,17360000000,21704000000,20859000000,78246000000,80599000000,73308000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000000,220000000,220000000,220000000,220000000,220000000,220000000,220000000,220000000,220000000,220000000,220000000,220000000,221000000,221000000,221000000,221000000,221000000,221000000,221000000,292000000,292000000,292000000
64,Retained Earnings,4594000000,5207000000,4796000000,5428000000,6235000000,6769000000,7243000000,7600000000,7917000000,9260000000,10950000000,12540000000,15000000000,17781000000,20686000000,18860000000,19439000000,19651000000,20464000000,19845000000,19762000000,22549000000,30760000000,31636000000,33069000000,32733000000,32952000000,32541000000,31613000000,33513000000,31160000000,34065000000,34474000000,21281000000,23820000000
65,Other Comprehensive Income/Loss,-1023000000,-1158000000,-1454000000,-1640000000,-1782000000,-1891000000,-1862000000,-2170000000,-2504000000,-2682000000,-2845000000,-3079000000,-3220000000,-3378000000,-3132000000,-1102000000,-910000000,-849000000,-836000000,-1645000000,-1558000000,-2719000000,-2541000000,-2371000000,-3045000000,-3202000000,-2141000000,-2425000000,-2468000000,-2503000000,-2289000000,-2762000000,-1520000000,-1839000000,-1268000000
66,Other Total Stockholders Equity,1184000000,899000000,1742000000,1630000000,1342000000,1142000000,559000000,274000000,409000000,- -,- -,- -,- -,- -,- -,-9011000000,-8963000000,-8820000000,-8640000000,-8429000000,-7862000000,-7809000000,-13596000000,-13772000000,-14288000000,-16129000000,-15878000000,-15485000000,-15100000000,-15054000000,-17351000000,-17493000000,18352000000,18088000000,13162000000
67,Total Stockholders Equity,4755000000,4948000000,5084000000,5418000000,5795000000,6020000000,5940000000,5704000000,5822000000,6570000000,7219000000,7576000000,8645000000,9180000000,10736000000,8967000000,9786000000,10202000000,11208000000,9991000000,10562000000,12241000000,14843000000,15713000000,15956000000,13623000000,15154000000,14852000000,14266000000,16177000000,11741000000,14031000000,51598000000,37822000000,36006000000
68,Total Liabilities And Stockholders Equity,7514000000,8273000000,8497000000,9215000000,9416000000,10804000000,12101000000,12910000000,13929000000,14685000000,14977000000,16272000000,17114000000,17578000000,27057000000,24874000000,27471000000,30435000000,28138000000,25575000000,26172000000,29552000000,31066000000,31151000000,33059000000,35882000000,38510000000,33618000000,31590000000,33537000000,33445000000,34890000000,129844000000,118421000000,109314000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-58000000,-75000000,-89000000,15000000,82000000,131000000,158000000,170000000,106000000,96000000,100000000,60000000,- -
70,Total Liabilities & Equity,7514000000,8273000000,8497000000,9215000000,9416000000,10804000000,12101000000,12910000000,13929000000,14685000000,14977000000,16272000000,17114000000,17578000000,27057000000,24874000000,27471000000,30435000000,28138000000,25575000000,26172000000,29552000000,31008000000,31076000000,32970000000,35897000000,38592000000,33749000000,31748000000,33707000000,33551000000,34986000000,129944000000,118481000000,109314000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/14272/000001427295000004/0000014272-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427296000002/0000014272-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427297000008/0000014272-97-000008-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427298000002/0000014272-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427299000002/0000014272-99-000002-index.html,- -,https://www.sec.gov/Archives/edgar/data/14272/000001427201500006/0000014272-01-500006-index.html,https://www.sec.gov/Archives/edgar/data/14272/000091205702013034/a2074555z10-k405.htm,- -,https://www.sec.gov/Archives/edgar/data/14272/000119312504041353/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312505041808/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312506052456/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312507039915/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312508035566/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312509033538/0001193125-09-033538-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312510035167/0001193125-10-035167-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312511040120/d10k.htm,https://www.sec.gov/Archives/edgar/data/14272/000119312512066416/0001193125-12-066416-index.html,https://www.sec.gov/Archives/edgar/data/14272/000119312513061678/0001193125-13-061678-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427214000054/bmy-20131231x10xk.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427215000055/bmy-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427216000288/0000014272-16-000288-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427217000047/0000014272-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427218000055/0000014272-18-000055-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427219000047/0000014272-19-000047-index.html,https://www.sec.gov/Archives/edgar/data/14272/000001427220000082/0000014272-20-000082-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427221000066/0000014272-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/14272/000001427222000051/0000014272-22-000051-index.htm
