,https://roic.ai/company/BLK,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,72300000,21242000,-17885000,45612000,-2665000,25124000,22637000,97443000,385533000,- -,- -,- -,- -,- -,114000000,7000000,-69000000,14000000,51000000,308000000,43000000,- -,- -,342000000
81,Other Working Capital,224600000,230648000,299263000,432280000,587438000,688138000,867424000,1234567000,-7310330000,951937000,1568000000,1627000000,2960000000,3234000000,6061000000,5714000000,7086000000,7400000000,7431000000,8576000000,7853000000,6841000000,11171000000,12886000000
82,Other Non-Cash Items,-1800000,32708000,-67364000,-90639000,-143653000,-95562000,-86606000,-395911000,8912879000,-8952516000,235937000,-2000000,-1666000000,-444000000,-3730000000,511000000,-2212000000,-1260000000,-1785000000,-1848000000,-1065000000,-1569000000,-6342000000,-2956000000
83,Cash Provided by Operating Activities,53700000,116326000,108607000,167373000,172045000,179595000,231358000,254937000,720884000,587449000,1916000000,1399000000,2488000000,2826000000,2240000000,3642000000,3081000000,3004000000,2154000000,3828000000,3075000000,2884000000,3743000000,4944000000
84,CAPEX,-8400000,-18925000,-32761000,-40479000,-42827000,-13453000,-25592000,-55154000,-83993000,-111317000,-77000000,-67000000,-132000000,-247000000,-150000000,-94000000,-66000000,-221000000,-119000000,-155000000,-204000000,-254000000,-194000000,-341000000
85,Acquisitions Net,- -,- -,- -,- -,-1733000,-8930000,-74000,-275218000,-272353000,-591765000,-34000000,-5755000000,-21000000,- -,-267000000,-298000000,- -,-273000000,-30000000,-102000000,-699000000,-1510000000,- -,-1106000000
86,Purchases of Investments,- -,- -,-12899000,-126576000,-52245000,-177775000,-97636000,-51579000,-212629000,-638328000,-420000000,-73000000,-708000000,-204000000,-617000000,-460000000,-492000000,-493000000,-451000000,-528000000,-378000000,-803000000,-430000000,-910000000
87,Sales/Maturities of Investments,3400000,29000,- -,- -,- -,180509000,192254000,169865000,25662000,265561000,122000000,287000000,234000000,247000000,695000000,286000000,654000000,456000000,378000000,166000000,449000000,417000000,187000000,429000000
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-61925000,-7700000,546878000,7017000,15000000,89000000,- -,- -,73000000,83000000,143000000,66000000,34000000,32000000,24000000,136000000,183000000,-9000000
89,Cash Used for Investing Activites,-5000000,-18896000,-45660000,-167055000,-96805000,-19649000,7027000,-219786000,3565000,-1068832000,-394000000,-5519000000,-627000000,-204000000,-266000000,-483000000,239000000,-465000000,-188000000,-587000000,-808000000,-2014000000,-254000000,-1937000000
90,Debt Repayment,-28200000,-168800000,-28200000,- -,- -,-842000,- -,-523680000,- -,- -,-401000000,-7000000,-2310000000,-792000000,-500000000,-1260000000,-488000000,-750000000,- -,-700000000,- -,-1000000000,- -,-750000000
91,Common Stock Issued,34200000,118245000,1229000,1940000,5038000,7538000,15369000,15847000,9332000,76842000,6000000,2804000000,6000000,5000000,7000000,7000000,- -,- -,- -,- -,- -,- -,- -,387000000
92,Common Stock Repurchased,-200000,-550000,-16000,-7407000,-12444000,-83418000,-57607000,-77466000,-30973000,-383310000,-46000000,-46000000,-264000000,-2885000000,-1645000000,-1243000000,-1344000000,-1331000000,-1399000000,-1421000000,-2087000000,-1911000000,-1809000000,-1485000000
93,Dividends Paid,-12300000,- -,- -,- -,- -,-25614000,-63660000,-76606000,-135665000,-353463000,-419000000,-397000000,-776000000,-1014000000,-1060000000,-1168000000,-1338000000,-1476000000,-1545000000,-1662000000,-1968000000,-2096000000,-2260000000,-2547000000
94,Other Financing Activites,2100000,-2646000,-91000,-696000,-766000,- -,6258000,657637000,72405000,1618792000,-27000000,4395000000,174000000,2201000000,2254000000,272000000,1315000000,1493000000,1259000000,1153000000,1290000000,2424000000,4313000000,2108000000
95,Cash Used/Provided by Financing Activities,-4400000,-53751000,-27078000,-6163000,-8172000,-102336000,-99640000,-4268000,-84901000,958861000,-887000000,6749000000,-3170000000,-2485000000,-944000000,-3392000000,-1855000000,-2064000000,-1685000000,-2630000000,-2765000000,-2583000000,244000000,-2287000000
96,Effect of Forex Changes on Cash,- -,- -,-408000,-294000,1715000,3097000,2987000,-4333000,36533000,18418000,-259000000,47000000,-32000000,2000000,70000000,17000000,-132000000,-115000000,-273000000,192000000,-93000000,54000000,102000000,-61000000
97,Net Change In Cash,44400000,43679000,35461000,-6139000,68783000,60707000,141732000,26550000,676081000,495896000,376000000,2676000000,-1341000000,139000000,1100000000,-216000000,1333000000,360000000,8000000,803000000,-591000000,-1659000000,3835000000,659000000
98,Cash at the End of Period,113500000,157129000,192590000,186451000,255234000,315941000,457673000,484223000,1160304000,1656200000,2032000000,4708000000,3367000000,3506000000,4606000000,4390000000,5723000000,6083000000,6091000000,6894000000,6505000000,4846000000,8681000000,9340000000
99,Cash at the Beginning of Period,69100000,113450000,157129000,192590000,186451000,255234000,315941000,457673000,484223000,1160304000,1656000000,2032000000,4708000000,3367000000,3506000000,4606000000,4390000000,5723000000,6083000000,6091000000,7096000000,6505000000,4846000000,8681000000
100,Free Cash Flow,45300000,97401000,75846000,126894000,129218000,166142000,205766000,199783000,636891000,476132000,1839000000,1332000000,2356000000,2579000000,2090000000,3548000000,3015000000,2783000000,2035000000,3673000000,2871000000,2630000000,3549000000,4603000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1364742/000119312507053304/0001193125-07-053304-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312508041884/0001193125-08-041884-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312509041298/0001193125-09-041298-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312510052764/0001193125-10-052764-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312511050218/0001193125-11-050218-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312512085869/0001193125-12-085869-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312513084957/0001193125-13-084957-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312514076587/0001193125-14-076587-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000119312515069955/0001193125-15-069955-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459016013511/0001564590-16-013511-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459017002816/0001564590-17-002816-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459018003744/0001564590-18-003744-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459019005479/0001564590-19-005479-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459020007807/0001564590-20-007807-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459021008796/0001564590-21-008796-index.htm,https://www.sec.gov/Archives/edgar/data/1364742/000156459022007117/0001564590-22-007117-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
