,https://roic.ai/company/AKAM,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1086222/000095013501000445/0000950135-01-000445-index.html,- -,https://www.sec.gov/Archives/edgar/data/1086222/000095013503002051/0000950135-03-002051-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013504001174/0000950135-04-001174-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013505001475/0000950135-05-001475-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013506001650/0000950135-06-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013507001307/0000950135-07-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312508043671/0001193125-08-043671-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312509042423/0001193125-09-042423-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312510044561/0001193125-10-044561-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312511051569/0001193125-11-051569-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000126643212000010/0001266432-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000126643213000021/0001266432-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000154256714000009/0001542567-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622215000066/0001086222-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/0001086222-16-000245-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622217000080/0001086222-17-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622218000052/0001086222-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622219000066/0001086222-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/0001086222-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622221000075/0001086222-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000058/0001086222-22-000058-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6600000,269600000,150130000,78774000,111262000,160074000,35318000,91792000,80595000,145078000,156074000,181305000,231866000,559197000,201989000,333891000,238650000,289473000,324169000,313382000,1036455000,393745000,352917000,536725000
32,Short-Term Investments,200000,- -,159522000,113906000,- -,4910000,35312000,200616000,189246000,401091000,174557000,385436000,375005000,290029000,235592000,340005000,519642000,460088000,512849000,398554000,855650000,1143249000,745156000,541470000
33,Cash and Short-Term Investments,6800000,269600000,309652000,192680000,111262000,164984000,70630000,292408000,269841000,546169000,330631000,566741000,606871000,849226000,437581000,673896000,758292000,749561000,837018000,711936000,1892105000,1536994000,1098073000,1078195000
34,Net Receivables,- -,1600000,22670000,20067000,17574000,20727000,30333000,52162000,86232000,118944000,139612000,154269000,175366000,210936000,218777000,271988000,329578000,380399000,368596000,459127000,479889000,551943000,660052000,675926000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,100000,2500000,23022000,15252000,12847000,16705000,7706000,10428000,18600000,29929000,31666000,40163000,76230000,61858000,72026000,83830000,174685000,123228000,104303000,137809000,163360000,142676000,171406000,166313000
37,Total Current Assets,6900000,273700000,355344000,227999000,141683000,202416000,108669000,354998000,374673000,695042000,501909000,761173000,858467000,1122020000,728384000,1029714000,1262555000,1253188000,1309917000,1308872000,2535354000,2231613000,1929531000,1920434000
38,PP&E,1500000,23900000,143041000,132237000,63159000,23878000,25242000,44885000,86623000,134546000,174483000,182404000,255929000,293043000,345091000,450287000,601591000,753180000,801017000,862535000,910618000,1152153000,2272217000,2350083000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,239580000,361637000,441258000,441347000,452914000,452914000,731325000,757368000,1051294000,1150244000,1228503000,1498688000,1487404000,1600265000,1674371000,2156254000
40,Intangible Assets,500000,400000,2186157000,19351000,7410000,5176000,5128000,136786000,58683000,87500000,92995000,76273000,62456000,45386000,84554000,77429000,132412000,156095000,149463000,201259000,168348000,179431000,234724000,313225000
41,Intangible Assets,500000,400000,2186157000,19351000,7410000,5176000,5128000,136786000,298263000,449137000,534253000,517620000,515370000,498300000,815879000,834797000,1183706000,1306339000,1377966000,1699947000,1655752000,1779696000,1909095000,2469479000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,494743000,636531000,380729000,657659000,573026000,869992000,774674000,779311000,567592000,209066000,835384000,1398802000,1088048000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,328308000,319504000,285463000,223718000,127154000,75226000,43485000,13803000,2325000,1955000,4700000,8982000,51069000,34913000,76528000,106918000,168342000
44,Other Non-Current Assets,- -,2800000,106235000,41891000,17611000,47471000,43704000,26522000,168869000,91859000,446588000,4416000,11153000,7924000,39811000,67536000,81747000,95844000,95953000,112829000,116067000,931512000,147567000,142287000
45,Total Non-Current Assets,2000000,27100000,2435433000,193479000,88180000,76525000,74074000,536501000,873259000,961005000,1379042000,1326337000,1494209000,1223481000,1872243000,1927971000,2738991000,2934737000,3063229000,3293972000,2926416000,4775273000,5834599000,6218239000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8900000,300800000,2790777000,421478000,229863000,278941000,182743000,891499000,1247932000,1656047000,1880951000,2087510000,2352676000,2345501000,2600627000,2957685000,4001546000,4187925000,4373146000,4602844000,5461770000,7006886000,7764130000,8138673000
48,Accounts Payable,700000,9000000,52212000,32076000,16847000,11769000,10349000,16022000,22630000,18540000,21165000,23997000,26375000,38247000,43291000,73710000,77412000,61982000,76120000,80278000,99089000,138946000,118546000,109928000
49,Short-Term Debt,- -,3300000,1080000,405000,1207000,775000,232000,1749000,- -,- -,- -,199755000,- -,- -,- -,- -,- -,- -,- -,- -,686552000,139463000,154801000,175683000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22093000,32503000,40411000,47364000,52959000,47584000,59578000,71241000,86202000,- -
51,Deferred Revenue,- -,- -,4335000,4948000,2361000,3016000,2695000,5656000,6731000,12995000,11506000,34184000,23808000,21344000,26291000,36952000,49679000,54154000,52972000,77705000,69083000,71223000,76600000,86517000
52,Other Current Liabilities,- -,6300000,27321000,53869000,60684000,47100000,33489000,38449000,59903000,56840000,67785000,69357000,94968000,88801000,133362000,152504000,206920000,216304000,245496000,305921000,355985000,343704000,408223000,418213000
53,Total Current Liabilities,700000,18600000,84948000,91298000,81099000,62660000,46765000,61876000,89264000,88375000,100456000,327293000,145151000,148392000,202944000,263166000,334011000,332440000,374588000,463904000,1210709000,693336000,758170000,790341000
54,Long-Term Debt,- -,700000,300000000,300000000,300000000,386000000,256614000,200000000,200000000,199855000,199855000,199755000,- -,- -,- -,- -,604851000,624288000,640087000,662913000,874080000,1839791000,1906707000,2683254000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2677000,3642000,2470000,2565000,3199000,3829000,4163000,3758000,6839000,4557000,4368000,5262000,25342000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4737000,39299000,12888000,11652000,15510000,19624000,29187000,37458000,40974000
57,Other Non-Current Liabilities,- -,100000,1430000,12946000,16854000,5635000,5295000,5409000,3975000,9265000,11870000,-180937000,26278000,38389000,49364000,57152000,74221000,93268000,118691000,142955000,160940000,782246000,805237000,68748000
58,Total Non-Current Liabilities,- -,800000,301430000,312946000,316854000,391635000,261909000,205409000,203975000,209120000,211725000,21495000,29920000,40859000,51929000,65088000,722200000,734607000,774188000,828217000,1059201000,2655592000,2754664000,2818318000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,1006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,831644000,870205000,882770000
61,Total Liabilities,700000,19400000,386378000,404244000,397953000,454295000,308674000,267285000,293239000,297495000,312181000,348788000,175071000,189251000,254873000,328254000,1056211000,1067047000,1148776000,1292121000,2269910000,3348928000,3512834000,3608659000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,200000,900000,1082000,1151000,1177000,1222000,1268000,1529000,1603000,1662000,1694000,1746000,1924000,1959000,2015000,1808000,1783000,1772000,1733000,1699000,1629000,1620000,1627000,- -
64,Retained Earnings,-900000,-58600000,-944366000,-3379878000,-3584315000,-3613596000,-3579232000,-3251234000,-3193833000,-3092866000,-2947728000,-2801815000,-2630595000,-2429691000,-2225702000,-1932215000,-1598267000,-1276861000,-960729000,-742408000,-430890000,47996000,605050000,- -
65,Other Comprehensive Income/Loss,- -,-3400000,-38956000,-113368000,-13386000,-166000,455000,-7066000,1296000,3053000,-24350000,-10682000,-5741000,-1259000,-1640000,-2091000,-17611000,-41453000,-56222000,-21930000,-48912000,-45144000,-20201000,-69105000
66,Other Total Stockholders Equity,8900000,342500000,3386639000,3509329000,3428434000,3437186000,3451578000,3880985000,4145627000,4446703000,4539154000,4549473000,4812017000,4585241000,4571081000,4561929000,4559430000,4437420000,4239588000,4073362000,3670033000,3653486000,3664820000,- -
67,Total Stockholders Equity,8200000,281400000,2404399000,17234000,-168090000,-175354000,-125931000,624214000,954693000,1358552000,1568770000,1738722000,2177605000,2156250000,2345754000,2629431000,2945335000,3120878000,3224370000,3310723000,3191860000,3657958000,4251296000,4530014000
68,Total Liabilities And Stockholders Equity,8900000,300800000,2790777000,421478000,229863000,278941000,182743000,891499000,1247932000,1656047000,1880951000,2087510000,2352676000,2345501000,2600627000,2957685000,4001546000,4187925000,4373146000,4602844000,5461770000,7006886000,7764130000,8138673000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8900000,300800000,2790777000,421478000,229863000,278941000,182743000,891499000,1247932000,1656047000,1880951000,2087510000,2352676000,2345501000,2600627000,2957685000,4001546000,4187925000,4373146000,4602844000,5461770000,7006886000,7764130000,8138673000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1086222/000095013501000445/0000950135-01-000445-index.html,- -,https://www.sec.gov/Archives/edgar/data/1086222/000095013503002051/0000950135-03-002051-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013504001174/0000950135-04-001174-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013505001475/0000950135-05-001475-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013506001650/0000950135-06-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013507001307/0000950135-07-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312508043671/0001193125-08-043671-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312509042423/0001193125-09-042423-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312510044561/0001193125-10-044561-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312511051569/0001193125-11-051569-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000126643212000010/0001266432-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000126643213000021/0001266432-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000154256714000009/0001542567-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622215000066/0001086222-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/0001086222-16-000245-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622217000080/0001086222-17-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622218000052/0001086222-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622219000066/0001086222-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/0001086222-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622221000075/0001086222-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000058/0001086222-22-000058-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-900000,-57600000,-885785000,-2435512000,-204437000,-29281000,34364000,327998000,57401000,100967000,145138000,145913000,171220000,200904000,203989000,293487000,333948000,321406000,316132000,218321000,298373000,478035000,557054000,651642000
74,Depreciation and Amortization,300000,13900000,719591000,336645000,97441000,51166000,20206000,25170000,41426000,72735000,98080000,122494000,143242000,167878000,204163000,184431000,247406000,299563000,334302000,372313000,434520000,440674000,478389000,550632000
75,Deferred Income Tax,- -,- -,- -,- -,- -,351000,408000,-258669000,38510000,65272000,81698000,81706000,- -,53628000,-5819000,27343000,-25880000,4098000,7308000,-869000,2339000,933000,-33821000,-47794000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58797000,76468000,61305000,90585000,95884000,111996000,126677000,144506000,164308000,183813000,187140000,197411000,202759000
77,Change in Working Capital,600000,248900000,15296000,-133695000,-76117000,79172000,-77852000,231218000,-7713000,321258000,-205214000,32427000,279436000,260312000,-448188000,241108000,161996000,-7796000,14581000,-90361000,479677000,213632000,-366916000,-40524000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1159000,-23563000,-37837000,-2108000,-67184000,-58397000,-56247000,3356000,-63825000,-30445000,-64471000,-90381000,-24096000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59653000,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,6200000,255100000,270396000,136701000,60584000,139756000,61904000,293122000,285409000,606667000,401453000,433880000,713316000,973628000,525440000,766548000,928544000,920748000,935329000,844968000,1324645000,1538277000,1171361000,-31581000
82,Other Non-Cash Items,- -,-237500000,28024000,2113280000,117356000,-119409000,74111000,-242919000,2343000,-324843000,223792000,-16925000,-267911000,-291472000,485675000,-278345000,-171396000,20203000,49469000,137271000,-390395000,-262110000,382883000,87848000
83,Cash Provided by Operating Activities,- -,-32300000,-122874000,-119282000,-65757000,-18001000,51237000,82798000,131967000,235389000,343494000,424412000,402455000,452555000,530405000,563908000,658070000,764151000,866298000,800983000,1008327000,1058304000,1215000000,1404563000
84,CAPEX,-1500000,-25700000,-131859000,-64526000,-7247000,-1422000,-12342000,-26947000,-69328000,-100462000,-115386000,-108147000,-192045000,-182862000,-219846000,-260073000,-318627000,-444983000,-316289000,-414778000,-405741000,-562077000,-731872000,-545230000
85,Acquisitions Net,- -,- -,- -,- -,-6500000,- -,- -,- -,-5127000,7875000,-83719000,-5779000,-12668000,-550000,-336680000,-30657000,-386532000,-141147000,-95439000,-369073000,-79000,-201337000,-127999000,-598825000
86,Purchases of Investments,-200000,- -,-491547000,-160076000,-24550000,-38320000,-187674000,-215633000,-395871000,-550614000,-533069000,-790351000,-1146993000,-880110000,-752592000,-494885000,-1225409000,-692879000,-781061000,-326497000,-873697000,-1990148000,-1782849000,-932604000
87,Sales/Maturities of Investments,- -,- -,290135000,263865000,141001000,10639000,211753000,66099000,264308000,415771000,367652000,545336000,1016171000,1234495000,530065000,475135000,746017000,845939000,722577000,652769000,775050000,1085229000,1628001000,1434082000
88,Other Investing Activites,- -,-200000,17207000,289000,-6613000,-7345000,-2654000,-7294000,400000,723000,82000,1443000,-32593000,-42494000,-54192000,-74737000,-105723000,-135801000,-134558000,-162730000,-190198000,-202011000,-245814000,-4322000
89,Cash Used for Investing Activites,-1700000,-25900000,-316064000,39552000,96091000,-36448000,9083000,-183775000,-205618000,-226707000,-364440000,-357498000,-335359000,171123000,-779041000,-313108000,-1178806000,-435564000,-469430000,-459677000,-506533000,-1667934000,-1042974000,-646899000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-17862000,- -,- -,- -,- -,-690000000,-89828000,- -
91,Common Stock Issued,8300000,317200000,322781000,7024000,2807000,10886000,13754000,216530000,27918000,31621000,21966000,21724000,45776000,25252000,- -,- -,- -,- -,- -,- -,- -,- -,59775000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-66497000,-92425000,-324070000,-141468000,-160419000,-268647000,-302606000,-373794000,-361194000,-750000000,-334519000,-193588000,-522255000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,3800000,-2739000,1517000,-1645000,89362000,-145616000,-57432000,32511000,20839000,11176000,2236000,28973000,4730000,32985000,45176000,722536000,34878000,19529000,-3811000,983608000,988842000,- -,-39748000
95,Cash Used/Provided by Financing Activities,8300000,321000000,320042000,8541000,1162000,100248000,-131862000,159098000,60429000,52460000,33142000,-42537000,-17676000,-294088000,-108483000,-115243000,436027000,-267728000,-354265000,-365005000,233608000,-35677000,-223641000,-562003000
96,Effect of Forex Changes on Cash,- -,- -,-528000,-167000,992000,3013000,1208000,-1647000,2025000,3341000,-1200000,854000,1141000,-2259000,-89000,-3655000,-10532000,-10036000,-7907000,12912000,-12844000,2466000,10935000,-11376000
97,Net Change In Cash,- -,262800000,-119424000,-71356000,32488000,48812000,-70334000,56474000,-11197000,64483000,10996000,25231000,50561000,327331000,-357208000,131902000,-95241000,50823000,34696000,-10787000,722558000,-642841000,-40680000,184285000
98,Cash at the End of Period,6600000,269600000,150130000,78774000,111262000,160074000,35318000,91792000,80595000,145078000,156074000,181305000,231866000,559197000,201989000,333891000,238650000,289473000,324169000,313382000,1036987000,394146000,353466000,537751000
99,Cash at the Beginning of Period,- -,6800000,269554000,150130000,78774000,111262000,105652000,35318000,91792000,80595000,145078000,156074000,181305000,231866000,559197000,201989000,333891000,238650000,289473000,324169000,314429000,1036987000,394146000,353466000
100,Free Cash Flow,-1500000,-58000000,-254733000,-183808000,-73004000,-19423000,38895000,55851000,62639000,134927000,228108000,316265000,210410000,269693000,310559000,303835000,339443000,319168000,550009000,386205000,602586000,496227000,483128000,859333000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1086222/000095013501000445/0000950135-01-000445-index.html,- -,https://www.sec.gov/Archives/edgar/data/1086222/000095013503002051/0000950135-03-002051-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013504001174/0000950135-04-001174-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013505001475/0000950135-05-001475-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013506001650/0000950135-06-001650-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000095013507001307/0000950135-07-001307-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312508043671/0001193125-08-043671-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312509042423/0001193125-09-042423-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312510044561/0001193125-10-044561-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000119312511051569/0001193125-11-051569-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000126643212000010/0001266432-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000126643213000021/0001266432-13-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000154256714000009/0001542567-14-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622215000066/0001086222-15-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622216000245/0001086222-16-000245-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622217000080/0001086222-17-000080-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622218000052/0001086222-18-000052-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622219000066/0001086222-19-000066-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622220000045/0001086222-20-000045-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622221000075/0001086222-21-000075-index.htm,https://www.sec.gov/Archives/edgar/data/1086222/000108622222000058/0001086222-22-000058-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
