,https://roic.ai/company/EVOL,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,3943500,6068891,6336316,6762000,6647500,8069500,8153500,9347500,9550000,9788000,9878000,10145000,10815000,11202000,11529000,11756000,11926000,11935000,11961000,11981000,12108000,12157000,12271000,12271000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1052054/000092735699000577/0000927356-99-000577-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000092735600000489/0000927356-00-000489-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000091205701504808/0000912057-01-504808-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000091205702012925/0000912057-02-012925-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746903010805/0001047469-03-010805-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746904008844/0001047469-04-008844-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746905008576/0001047469-05-008576-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746906003982/0001047469-06-003982-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465907019617/0001104659-07-019617-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465908017416/0001104659-08-017416-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465909016472/0001104659-09-016472-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465910012868/0001104659-10-012868-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465911013003/0001104659-11-013003-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465912022857/0001104659-12-022857-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465913019789/0001104659-13-019789-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465914018434/0001104659-14-018434-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465915020488/0001104659-15-020488-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465916105253/0001104659-16-105253-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465917019723/0001104659-17-019723-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465918021862/0001104659-18-021862-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465919019960/0001104659-19-019960-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465920040523/0001104659-20-040523-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000156276221000123/0001562762-21-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465922044364/0001104659-22-044364-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11700000,4300000,4381874,11796015,8601000,17999000,11386000,3883000,5076000,7271000,5783000,5369000,10801000,34290000,8844000,13785000,9781000,8400000,7614000,7562000,6732000,3076000,2763000,39445000
32,Short-Term Investments,- -,18000000,5930784,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,11700000,22300000,10312658,11796015,8601000,17999000,11386000,3883000,5076000,7271000,5783000,5369000,10801000,34290000,8844000,13785000,9781000,8400000,7614000,7562000,6732000,3076000,2763000,39445000
34,Net Receivables,17600000,18000000,29312046,9143877,12727000,9292000,11296000,10766000,9206000,10959000,11484000,11344000,12073000,4897000,9605000,8843000,14177000,11885000,9243000,15974000,11938000,8790000,9316000,- -
35,Inventory,- -,- -,- -,5308306,129000,622000,1323000,1147000,1064000,922000,1910000,1720000,2245000,1361000,4802000,2423000,4995000,4158000,3376000,5823000,- -,- -,- -,- -
36,Other Current Assets,9000000,1500000,1621636,1259971,804000,968000,1932000,1340000,2001000,1335000,1309000,1917000,1328000,1309000,-3616000,-1119000,-3584000,-2699000,-1823000,-3770000,1351000,1594000,1828000,106000
37,Total Current Assets,38300000,41800000,41246340,27508169,22261000,28881000,25937000,17136000,17347000,20487000,20486000,20350000,26447000,41857000,19635000,23932000,25369000,21744000,18410000,25589000,20021000,13460000,13907000,39551000
38,PP&E,7600000,6300000,5140909,4783337,2004000,1579000,2563000,1775000,1349000,1677000,1277000,1196000,999000,369000,211000,342000,659000,560000,546000,258000,303000,1687000,1447000,4000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,26027000,26417000,20811000,22295000,21830000,15782000,16510000,17936000,17010000,23142000,20599000,25216000,6738000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,10841000,57691000,47423000,6155000,4687000,2374000,1864000,1123000,584000,204000,702000,608000,4983000,4200000,5613000,4550000,3665000,2769000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,10841000,57691000,47423000,32182000,31104000,23185000,24159000,22953000,16366000,16714000,18638000,17618000,28125000,24799000,30829000,11288000,3665000,2769000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16448000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000,- -,- -,- -,27000,248000,586000,- -,- -,274000,1140000,1000000,953000,- -
44,Other Non-Current Assets,1600000,1500000,1547007,- -,500000,400000,300000,1064000,460000,459000,407000,132000,52000,2000,6000,24000,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,9200000,7800000,6687916,4783337,2504000,12820000,60554000,50262000,33991000,33240000,24925000,25487000,24004000,33185000,16958000,19252000,18863000,28685000,25345000,31361000,12731000,6352000,5169000,4000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,47500000,49600000,47934256,32291506,24765000,41701000,86491000,67398000,51338000,53727000,45411000,45837000,50451000,75042000,36593000,43184000,44232000,50429000,43755000,56950000,32752000,19812000,19076000,39555000
48,Accounts Payable,3000000,700000,5053637,4145576,4176000,3044000,8357000,6084000,930000,1062000,760000,1008000,3757000,419000,367000,729000,729000,716000,628000,1530000,1276000,889000,4305000,- -
49,Short-Term Debt,1200000,600000,162523,29423,34000,29000,4911000,1034000,2037000,2520000,2021000,357000,27000,8000,4000,8000,5000,10005000,1998000,2805000,3573000,1898000,436000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,848000,308000,459000,1227000,324000,617000,1107000,- -,- -,- -,575000
51,Deferred Revenue,- -,- -,- -,- -,14523000,11972000,13083000,9654000,10079000,10635000,11445000,10688000,10298000,3401000,1596000,5314000,3883000,3330000,3532000,5397000,3911000,3971000,3713000,- -
52,Other Current Liabilities,3100000,11600000,5880343,9709562,- -,- -,2929000,- -,3498000,4875000,4458000,3523000,553000,26357000,3774000,4209000,4958000,4037000,4263000,6863000,3207000,2938000,- -,1827000
53,Total Current Liabilities,7300000,12900000,11096503,13884561,18733000,15045000,29280000,16772000,16544000,19092000,18684000,15576000,14635000,30185000,5741000,10260000,9575000,18088000,10421000,16595000,11967000,9696000,8454000,1827000
54,Long-Term Debt,800000,200000,- -,- -,141000,183000,11974000,14373000,11370000,8686000,4883000,1500000,- -,- -,- -,- -,- -,- -,4000000,5942000,2365000,122000,319000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420000,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,4642000,2777000,1202000,878000,441000,257000,51000,145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,115344,- -,- -,11281000,11352000,12064000,7143000,1461000,35000,8000,- -,16000,189000,185000,179000,- -,- -,- -,876000,613000,- -
58,Total Non-Current Liabilities,800000,200000,- -,115344,141000,183000,27897000,28502000,24636000,16707000,6785000,1792000,59000,145000,16000,189000,605000,179000,4000000,5942000,2365000,998000,932000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,71000,34000,79000,1482000,59000,35000,8000,20000,19000,12000,6000,1000,- -,- -,1197000,907000,- -
61,Total Liabilities,8100000,13100000,11096503,13999905,18874000,15228000,57177000,45274000,41180000,35799000,25469000,17368000,14694000,30330000,5757000,10449000,10180000,18267000,14421000,22537000,14332000,10694000,9386000,1827000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,12951,13293,13000,16000,16000,16000,16000,18000,20000,10000,11000,11000,11000,12000,12000,12000,12000,12000,12000,12000,12000,12000
64,Retained Earnings,-11000000,-15200000,-16200857,-35349036,-47756000,-40885000,-40461000,-43366000,-60149000,-59551000,-56622000,-51798000,-47985000,-39577000,-56582000,-56903000,-56178000,-58016000,-57177000,-54661000,-69448000,-79143000,-78500000,-61055000
65,Other Comprehensive Income/Loss,-15200000,-18200000,-20724450,-22085750,-22462000,-23576000,1994000,-2417000,1466000,2144000,-5270000,-3242000,-3704000,-4531000,-3297000,-3016000,-4534000,-5999000,-9992000,-8202000,-10115000,-10053000,-10345000,- -
66,Other Total Stockholders Equity,65600000,69900000,73750109,75713094,76096000,90918000,67765000,67891000,68825000,75317000,81814000,83499000,87435000,88809000,90704000,92642000,94752000,96165000,96491000,97264000,97971000,98302000,98523000,98771000
67,Total Stockholders Equity,39400000,36500000,36837753,18291601,5891000,26473000,29314000,22124000,10158000,17928000,19942000,28469000,35757000,44712000,30836000,32735000,34052000,32162000,29334000,34413000,18420000,9118000,9690000,37728000
68,Total Liabilities And Stockholders Equity,47500000,49600000,47934256,32291506,24765000,41701000,86491000,67398000,51338000,53727000,45411000,45837000,50451000,75042000,36593000,43184000,44232000,50429000,43755000,56950000,32752000,19812000,19076000,39555000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,47500000,49600000,47934256,32291506,24765000,41701000,86491000,67398000,51338000,53727000,45411000,45837000,50451000,75042000,36593000,43184000,44232000,50429000,43755000,56950000,32752000,19812000,19076000,39555000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1052054/000092735699000577/0000927356-99-000577-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000092735600000489/0000927356-00-000489-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000091205701504808/0000912057-01-504808-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000091205702012925/0000912057-02-012925-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746903010805/0001047469-03-010805-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746904008844/0001047469-04-008844-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746905008576/0001047469-05-008576-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746906003982/0001047469-06-003982-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465907019617/0001104659-07-019617-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465908017416/0001104659-08-017416-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465909016472/0001104659-09-016472-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465910012868/0001104659-10-012868-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465911013003/0001104659-11-013003-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465912022857/0001104659-12-022857-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465913019789/0001104659-13-019789-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465914018434/0001104659-14-018434-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465915020488/0001104659-15-020488-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465916105253/0001104659-16-105253-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465917019723/0001104659-17-019723-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465918021862/0001104659-18-021862-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465919019960/0001104659-19-019960-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465920040523/0001104659-20-040523-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000156276221000123/0001562762-21-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465922044364/0001104659-22-044364-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-11200000,-4100000,-1045082,-19148179,-12407000,6871000,424000,-2800000,-16783000,598000,2929000,4824000,5353000,32309000,5564000,3806000,5608000,3296000,3435000,2516000,-14787000,-9695000,643000,17445
74,Depreciation and Amortization,4800000,3800000,3266724,2519959,1771000,1312000,2828000,6763000,3953000,2699000,2210000,1364000,1280000,902000,668000,366000,341000,580000,1042000,1110000,1091000,1542000,216000,1339
75,Deferred Income Tax,-700000,- -,- -,1547007,- -,- -,- -,- -,-1891000,-279000,-320000,-197000,-197000,-550000,-340000,-257000,-282000,-1123000,-24000,-491000,-946000,330000,-56000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,839000,864000,943000,573000,264000,288000,401000,317000,259000,742000,702000,331000,221000,248
77,Change in Working Capital,-7100000,-2100000,1249837,-16526229,-10095608,10308000,-17179000,3707000,439000,592000,407000,2972000,7038000,-140000,2222000,-222000,2122000,-12138000,4333000,1005000,-940000,-4290000,1689000,32271000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-283000,-874000,855000,-310000,-1514000,-3398000,2202000,643000,-2971000,2473000,858000,1286000,- -
79,Inventory,-700000,- -,- -,8801688,5179000,-493000,583000,219000,192000,153000,-1465000,341000,-568000,176000,-3652000,2444000,-2977000,721000,204000,-1032000,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-191
81,Other Working Capital,31000000,28900000,30149837,13623608,3528000,13836000,-3343000,364000,803000,1395000,1802000,4774000,11812000,11672000,13894000,13672000,15794000,3656000,7989000,8994000,8054000,3764000,5453000,37724000
82,Other Non-Cash Items,-200000,8300000,-13925798,34798550,18237608,-11622000,18269000,-7275000,17648000,1163000,-521000,-6183000,-8693000,-28181000,-8546000,4634000,-8590000,11293000,-2149000,-1424000,17447000,12861000,-1285000,-32288186
83,Cash Provided by Operating Activities,-14400000,5900000,-10454319,3191108,-2494000,6869000,4342000,395000,3366000,4773000,5544000,3644000,5724000,4913000,-168000,8615000,-400000,2225000,6896000,3458000,2567000,1079000,1428000,1846
84,CAPEX,-2300000,-2200000,-2181806,-2114430,-204000,-367000,-1170000,-758000,-477000,-546000,-898000,-524000,-400000,-90000,-79000,-270000,-588000,-198000,-61000,-80000,-185000,-383000,-268000,-387
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-10547000,- -,- -,-24000,- -,- -,- -,37509000,- -,-412000,- -,-9014000,- -,-5936000,- -,- -,- -,35191
86,Purchases of Investments,-6800000,-45900000,-33709198,5930784,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22874000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,34800000,45785451,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6200000,17831000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,100000,33985,1748,24000,358000,6000,-634000,-133000,204000,- -,50000,- -,-672000,- -,53000,24000,- -,- -,- -,- -,- -,2000,- -
89,Cash Used for Investing Activites,-9100000,-13200000,9928432,3818102,-180000,-9000,-11711000,-1392000,-610000,-366000,-898000,-474000,-400000,20073000,17752000,-629000,-564000,-9212000,-61000,-6016000,-185000,-383000,-266000,34804
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8665000,-6571000,-1835000,-10000,-12000,-5000,-8000,-5000,-10005000,-2026000,-3168000,-4243000,-269000,- -
91,Common Stock Issued,48500000,1100000,1289252,564862,7000,2567000,407000,126000,126000,89000,72000,811000,2962000,1997000,630000,494000,300000,300000,67000,33000,5000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-2617000,- -,- -,- -,- -,- -,-1253000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1008000,-2170000,-44841000,-4127000,-4883000,-5143000,-2596000,- -,- -,- -,- -,- -
94,Other Financing Activites,-14500000,-1300000,-647447,-159931,-528000,-29000,71000,-3422000,-2059000,-2162000,4000000,1469000,32000,-2000,1000000,416000,1390000,10797000,5980000,4730000,- -,- -,-782000,-142
95,Cash Used/Provided by Financing Activities,34000000,-200000,641805,404931,-521000,2538000,478000,-5913000,-1933000,-2073000,-4593000,-4291000,151000,-1438000,-43223000,-3222000,-3201000,5949000,-6554000,2737000,-3163000,-4243000,-1051000,-142
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,278000,-593000,370000,-139000,-1541000,707000,-43000,-59000,193000,177000,161000,-343000,-1067000,-231000,-49000,-109000,-424000,174
97,Net Change In Cash,- -,-7400000,115918,7414141,-3195000,9398000,-6613000,-7503000,1193000,2195000,-1488000,-414000,5432000,23489000,-25446000,4941000,-4004000,-1381000,-786000,-52000,-830000,-3656000,-313000,-2723555
98,Cash at the End of Period,- -,4300000,4381874,11796015,8601000,17999000,11386000,3883000,5076000,7271000,5783000,5369000,10801000,34290000,8844000,13785000,9781000,8400000,7614000,7562000,6732000,3076000,2763000,39445
99,Cash at the Beginning of Period,1200000,11700000,4265956,4381874,11796000,8601000,17999000,11386000,3883000,5076000,7271000,5783000,5369000,10801000,34290000,8844000,13785000,9781000,8400000,7614000,7562000,6732000,3076000,2763000
100,Free Cash Flow,-16700000,3700000,-12636125,1076678,-2698000,6502000,3172000,-363000,2889000,4227000,4646000,3120000,5324000,4823000,-247000,8345000,-988000,2027000,6835000,3378000,2382000,696000,1160000,1459
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1052054/000092735699000577/0000927356-99-000577-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000092735600000489/0000927356-00-000489-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000091205701504808/0000912057-01-504808-index.html,https://www.sec.gov/Archives/edgar/data/1052054/000091205702012925/0000912057-02-012925-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746903010805/0001047469-03-010805-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746904008844/0001047469-04-008844-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746905008576/0001047469-05-008576-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000104746906003982/0001047469-06-003982-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465907019617/0001104659-07-019617-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465908017416/0001104659-08-017416-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465909016472/0001104659-09-016472-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465910012868/0001104659-10-012868-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465911013003/0001104659-11-013003-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465912022857/0001104659-12-022857-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465913019789/0001104659-13-019789-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465914018434/0001104659-14-018434-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465915020488/0001104659-15-020488-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465916105253/0001104659-16-105253-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465917019723/0001104659-17-019723-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465918021862/0001104659-18-021862-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465919019960/0001104659-19-019960-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465920040523/0001104659-20-040523-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000156276221000123/0001562762-21-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1052054/000110465922044364/0001104659-22-044364-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
