,https://roic.ai/company/AU,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,92200000,177700000,291400000,326000000,57000000,449000000,450000000,141000000,730000000,885000000,874000000,968000000,933000000,1317000000,591000000,716000000,502000000,289000000,306000000,304000000,268000000,279000000,293000000,250000000,349000000
11,COGS and Expenses,- -,699900000,1880500000,1850100000,1849000000,1356000000,1387000000,1696000000,2163000000,2409000000,2527000000,2908000000,3127000000,3246000000,3973000000,4550000000,4857000000,4648000000,4479000000,3600000000,3567000000,3850000000,3452000000,2919000000,2949000000,3206000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000000,170000000,68000000,72000000,75000000,39000000,24000000,28000000,22000000,15000000,17000000,14000000,27000000,58000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72000000,123000000,151000000,163000000,184000000,250000000,241000000,1000000,22000000,159000000,166000000,129000000,154000000,116000000
14,Depreciation and Amortization,- -,42500000,135500000,196300000,237000000,249000000,333000000,321000000,412000000,593000000,699000000,655000000,- -,627674016,692000000,693941798,- -,799000000,786000000,777000000,809000000,823000000,630000000,583000000,570000000,477000000
15,EBITDA,- -,86200000,579800000,667700000,476000000,605000000,751000000,714000000,453000000,180000000,679000000,-41000000,-469000000,-107325984,1210000000,2986941798,1353000000,-1514000000,1224000000,904000000,1083000000,919000000,1057000000,955000000,2320000000,1527000000
16,EBITDA ratio,- -,0.1070,0.2593,0.3028,0.2156,0.2964,0.4175,0.3463,0.1797,0.0724,0.2501,-0.0125,-0.1283,-0.0284,0.2268,0.4546,0.2130,-0.2754,0.2346,0.2252,0.2651,0.2110,0.2681,0.2709,0.5241,0.3790
17,Operating Income,- -,105500000,355100000,448000000,265000000,458000000,412000000,288000000,233000000,-96000000,169000000,351000000,613000000,718000000,1315000000,2001140251,- -,-2440000000,519000000,337000000,495000000,80000000,327000000,621000000,1459000000,810000000
18,Operating Income ratio,- -,0.1310,0.1588,0.2032,0.1200,0.2244,0.2290,0.1397,0.0924,-0.0386,0.0622,0.1070,0.1677,0.1897,0.2465,0.3046,- -,-0.4439,0.0995,0.0839,0.1212,0.0184,0.0829,0.1762,0.3296,0.2010
19,Total Other Income Expenses (Gains),- -,-61800000,89200000,23400000,-26000000,-102000000,6000000,108000000,-173000000,-267000000,-265000000,-1062000000,-986000000,-1616000000,-934000000,119859749,-285000000,-93000000,-303000000,-80000000,-226000000,-143000000,-49000000,-2000000,130000000,148000000
20,Income Before Tax,- -,43700000,444300000,471400000,239000000,356000000,418000000,396000000,60000000,-363000000,-96000000,-711000000,-373000000,-898000000,381000000,2121000000,1211000000,-2533000000,216000000,257000000,269000000,-63000000,278000000,619000000,1589000000,958000000
21,Income Before Tax Ratio,- -,0.0543,0.1987,0.2138,0.1082,0.1744,0.2324,0.1920,0.0238,-0.1461,-0.0354,-0.2168,-0.1021,-0.2373,0.0714,0.3228,0.1906,-0.4608,0.0414,0.0640,0.0659,-0.0145,0.0705,0.1756,0.3589,0.2378
22,Income Tax expense (Gain),- -,-6200000,126800000,37200000,73000000,111000000,62000000,146000000,-40000000,-121000000,122000000,118000000,22000000,-33000000,255000000,705000000,340000000,-333000000,255000000,211000000,189000000,108000000,128000000,250000000,625000000,312000000
23,Net Income,- -,49900000,317500000,434200000,166000000,245000000,356000000,247000000,81000000,-292000000,-142000000,-814000000,-563000000,-825000000,112000000,1425000000,829000000,-2230000000,-58000000,-85000000,63000000,-171000000,133000000,-7000000,971000000,622000000
24,Net Income ratio,- -,0.0620,0.1420,0.1969,0.0752,0.1200,0.1979,0.1198,0.0321,-0.1175,-0.0523,-0.2482,-0.1540,-0.2180,0.0210,0.2169,0.1305,-0.4057,-0.0111,-0.0212,0.0154,-0.0393,0.0337,-0.0020,0.2193,0.1544
25,EPS,- -,1.16,1.62,2.20,0.78,-1.61,1.60,1.11,0.39,-1.10,-0.52,-2.92,-3.77,-1.04,0.20,3.62,2.15,-5.68,-0.14,-0.20,0.15,-0.46,0.32,-0.03,2.27,1.48
26,EPS Diluted,- -,1.16,1.42,2.04,0.77,-1.61,1.60,1.11,0.38,-1.10,-0.52,-2.92,-3.77,-1.04,0.20,3.14,1.61,-6.31,-0.14,-0.20,0.15,-0.46,0.32,-0.03,2.27,1.48
27,Weighted Average Shares Outstanding,- -,38965517,195987654,196922382,213925974,107139446,221883567,222836574,251352552,264635634,272613263,277337292,317203948,361228295,373440427,385961613,386766345,392625264,407729050,409606858,412585042,415440077,417122155,418349777,419033516,419033516
28,Weighted Average Shares Outstanding Diluted,- -,38965517,223591549,213229356,217159574,107139446,221883567,222836574,251352552,264635634,272637483,277337292,317203948,361228295,373440427,421058243,422131159,405546908,407729050,409606858,414706400,415440077,417379405,418349777,419481450,419481450
29,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067428/000120561303000032/0001205613-03-000032-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067428/000095012311055267/0000950123-11-055267-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312512174757/0001193125-12-174757-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312513175850/0001193125-13-175850-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312514141938/0001193125-14-141938-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312515116866/0001193125-15-116866-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312516525512/0001193125-16-525512-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312517105480/0001193125-17-105480-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000162828018003806/0001628280-18-003806-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000162828019003631/0001628280-19-003631-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1067428/000162828021005759/0001628280-21-005759-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,413000000,505000000,312000000,196000000,471000000,477000000,575000000,1100000000,575000000,1112000000,892000000,648000000,468000000,484000000,215000000,205000000,329000000,456000000,1330000000,1154000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1000000,5000000,7000000,6000000,10000000,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,413000000,505000000,312000000,196000000,471000000,477000000,575000000,1100000000,575000000,1112000000,892000000,649000000,468000000,485000000,220000000,212000000,335000000,466000000,1330000000,1154000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,488000000,602000000,309000000,884000000,160000000,205000000,224000000,206000000,298000000,266000000,408000000,294000000,239000000,159000000,170000000,160000000,167000000,189000000,229000000,260000000
35,Inventory,- -,- -,- -,- -,- -,- -,137000000,202000000,419000000,260000000,354000000,523000000,1047000000,743000000,974000000,1057000000,1293000000,1053000000,888000000,646000000,672000000,683000000,652000000,632000000,733000000,703000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,101000000,491000000,61000000,891000000,908000000,1101000000,762000000,150000000,196000000,197000000,121000000,54000000,60000000,104000000,90000000,73000000,695000000,42000000,26000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,1038000000,1410000000,1531000000,1401000000,1876000000,2113000000,2947000000,2811000000,1997000000,2631000000,2790000000,2117000000,1649000000,1350000000,1166000000,1145000000,1227000000,1982000000,2334000000,2143000000
38,PP&E,- -,- -,- -,- -,- -,- -,2917000000,3491000000,5880000000,6439000000,6266000000,5527000000,5579000000,6285000000,5926000000,6902000000,7983000000,4815000000,4863000000,4058000000,4111000000,3742000000,3381000000,2750000000,3026000000,3635000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,524000000,542000000,569000000,132000000,162000000,180000000,182000000,193000000,154000000,142000000,126000000,126000000,127000000,116000000,116000000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,345000000,410000000,416000000,26000000,24000000,22000000,20000000,18000000,17000000,31000000,112000000,113000000,83000000,35000000,19000000,11000000,7000000,7000000,3564000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,345000000,410000000,416000000,550000000,566000000,591000000,152000000,180000000,197000000,213000000,305000000,267000000,225000000,161000000,145000000,138000000,123000000,123000000,- -,122000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364000000,- -,- -,877000000,1220000000,1458000000,1553000000,1556000000,1573000000,1638000000,1669000000,1657000000,1839000000,1764000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000000,39000000,37000000,51000000,62000000,1000000,14000000,39000000,177000000,127000000,1000000,4000000,4000000,- -,105000000,- -,7000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,245000000,268000000,363000000,682000000,766000000,2113000000,358000000,1324000000,2267000000,548000000,765000000,840000000,717000000,158000000,154000000,552000000,243000000,246000000,473000000,296000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,3507000000,4169000000,6659000000,7712000000,7637000000,8268000000,6504000000,7851000000,8391000000,8554000000,10312000000,7557000000,7485000000,5934000000,5987000000,6074000000,5416000000,4881000000,5338000000,5824000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,4545000000,5579000000,8190000000,9113000000,9513000000,10381000000,9451000000,10662000000,10388000000,11185000000,13102000000,9674000000,9134000000,7284000000,7153000000,7219000000,6643000000,6863000000,7672000000,7967000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,81000000,101000000,470000000,203000000,278000000,396000000,314000000,340000000,404000000,473000000,590000000,487000000,397000000,306000000,381000000,358000000,350000000,363000000,627000000,647000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,84000000,351000000,319000000,160000000,33000000,319000000,1067000000,1292000000,135000000,32000000,859000000,278000000,223000000,100000000,34000000,38000000,139000000,779000000,179000000,112000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28000000,42000000,134000000,108000000,93000000,81000000,66000000,91000000,111000000,53000000,60000000,72000000,153000000,39000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,- -,- -,- -,- -,6000000,3000000,- -,- -,- -,- -,- -,- -,- -,153000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,634000000,750000000,598000000,1511000000,2139000000,3080000000,2064000000,2843000000,465000000,408000000,507000000,471000000,364000000,301000000,345000000,459000000,304000000,295000000,- -,39000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,799000000,1202000000,1387000000,1874000000,2467000000,3795000000,3445000000,4475000000,1004000000,919000000,1959000000,1236000000,984000000,707000000,760000000,855000000,793000000,1437000000,959000000,798000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,842000000,807000000,1286000000,1779000000,1472000000,1564000000,873000000,667000000,2602000000,2473000000,2750000000,3633000000,3498000000,2637000000,2144000000,2230000000,1911000000,1299000000,1789000000,1982000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,561000000,845000000,1347000000,1152000000,1275000000,1345000000,1008000000,1171000000,1200000000,1291000000,1210000000,579000000,567000000,514000000,496000000,363000000,315000000,241000000,- -,313000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,483000000,605000000,883000000,1085000000,930000000,1062000000,719000000,904000000,993000000,977000000,1334000000,1119000000,1214000000,959000000,999000000,1067000000,930000000,1210000000,- -,813000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,1886000000,2257000000,3516000000,4016000000,3677000000,3971000000,2600000000,2742000000,4795000000,4744000000,5295000000,5331000000,5279000000,4110000000,3639000000,3660000000,3156000000,2750000000,1789000000,3108000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4762000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,171000000,153000000,185000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,2685000000,3459000000,4903000000,5890000000,6144000000,7766000000,6045000000,7217000000,5799000000,5663000000,7254000000,6567000000,6263000000,4817000000,4399000000,4515000000,3949000000,4187000000,3932000000,3906000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,9000000,9000000,12000000,10000000,10000000,10000000,12000000,12000000,13000000,13000000,13000000,- -,- -,- -,- -,7134000000,7171000000,7199000000,17000000,7223000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-567000000,-616000000,570000000,-1143000000,-1476000000,-2440000000,-3044000000,-3914000000,-3869000000,-2575000000,-2103000000,- -,- -,- -,- -,- -,- -,-4559000000,-2341000000,-3214000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-1025000000,-740000000,-705000000,-676000000,-765000000,-625000000,-1148000000,-617000000,-348000000,-796000000,-892000000,-3927000000,-4196000000,-4636000000,-4393000000,-4471000000,-4519000000,-4559000000,-3519000000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,3403000000,3415000000,3352000000,4972000000,5539000000,5607000000,7502000000,7836000000,8670000000,8740000000,8808000000,12490000000,12453000000,10476000000,10618000000,- -,- -,4559000000,9538000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,1820000000,2068000000,3229000000,3163000000,3308000000,2552000000,3322000000,3317000000,4466000000,5382000000,5826000000,3079000000,2845000000,2430000000,2715000000,2663000000,2652000000,2640000000,3695000000,4009000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,4505000000,5527000000,8132000000,9053000000,9452000000,10318000000,9367000000,10534000000,10265000000,11045000000,13080000000,9646000000,9108000000,7247000000,7114000000,7178000000,6601000000,6827000000,7627000000,7915000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,40000000,52000000,58000000,60000000,61000000,63000000,84000000,128000000,123000000,140000000,22000000,28000000,26000000,37000000,39000000,41000000,42000000,36000000,45000000,52000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,4545000000,5579000000,8190000000,9113000000,9513000000,10381000000,9451000000,10662000000,10388000000,11185000000,13102000000,9674000000,9134000000,7284000000,7153000000,7219000000,6643000000,6863000000,7672000000,7967000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/1067428/000120561303000032/0001205613-03-000032-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067428/000095012311055267/0000950123-11-055267-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312512174757/0001193125-12-174757-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312513175850/0001193125-13-175850-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312514141938/0001193125-14-141938-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312515116866/0001193125-15-116866-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312516525512/0001193125-16-525512-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312517105480/0001193125-17-105480-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000162828018003806/0001628280-18-003806-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000162828019003631/0001628280-19-003631-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1067428/000162828021005759/0001628280-21-005759-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,49900000,317500000,434200000,166000000,245000000,356000000,247000000,81000000,-292000000,-142000000,-814000000,-563000000,-825000000,112000000,1425000000,829000000,-2230000000,-58000000,-85000000,63000000,-171000000,133000000,-7000000,971000000,622000000
74,Depreciation and Amortization,- -,42500000,135500000,196300000,237000000,249000000,333000000,321000000,412000000,593000000,699000000,655000000,- -,627674016,692000000,693941798,- -,799000000,786000000,777000000,809000000,823000000,630000000,583000000,570000000,477000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-62000000,79000000,- -,-191000000,-34000000,-73000000,-72000000,-199000000,138000000,299000000,-74000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,51000000,2900000,-12100000,-43000000,-17000000,-16000000,-106000000,-85000000,-13000000,-32000000,-170000000,-239000000,-21000000,-314000000,-131000000,-195000000,-250000000,-43000000,89000000,-76000000,-156000000,-131000000,-165000000,-238000000,53000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-142000000,-13000000,-117000000,69000000,52000000,108000000,-131000000,-86000000,-72000000,- -,-163000000,- -
79,Inventory,- -,43200000,51200000,4100000,-35000000,22000000,-54000000,-87000000,-56000000,-58000000,-165000000,-240000000,-131000000,-169000000,-215000000,-244000000,-324000000,-142000000,64000000,99000000,-48000000,-67000000,-9000000,-67000000,- -,58000000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,44000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-17800000,-289800000,-365800000,-247000000,-144000000,-27000000,-88000000,84000000,250000000,279000000,963000000,938000000,860325984,410000000,263058202,1140000000,2927000000,535000000,358000000,390000000,501000000,225000000,636000000,-1303000000,116000000
83,Cash Provided by Operating Activities,- -,125600000,166100000,252600000,113000000,333000000,584000000,453000000,492000000,347000000,770000000,561000000,64000000,443000000,1038000000,2550000000,1700000000,1246000000,1220000000,1139000000,1186000000,997000000,857000000,1047000000,- -,1268000000
84,CAPEX,- -,-82400000,-184600000,-217600000,-304000000,-298000000,-261000000,-363000000,-585000000,-710000000,-811000000,-1055000000,-1194000000,-1019000000,-973000000,-1409000000,-1837000000,-1569000000,-1018000000,-667000000,-711000000,-830000000,-652000000,-703000000,-718000000,-1028000000
85,Acquisitions Net,- -,- -,- -,-468300000,-345000000,-1000000,- -,- -,-171000000,- -,- -,- -,48000000,-354000000,-43000000,-117000000,-684000000,-464000000,40000000,802000000,-1000000,-27000000,-8000000,-11000000,29000000,2000000
86,Purchases of Investments,- -,- -,- -,- -,- -,-3000000,-34000000,-1000000,-20000000,-27000000,-20000000,-27000000,-578000000,-107000000,-1098000000,-147000000,-97000000,-91000000,-79000000,-86000000,-73000000,-91000000,-113000000,-9000000,- -,-4000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,158000000,56000000,- -,1000000,11000000,25000000,88000000,82000000,142000000,91000000,86000000,81000000,73000000,81000000,61000000,78000000,98000000,3000000,- -,- -
88,Other Investing Activites,- -,-26900000,76900000,221000000,16000000,154000000,56000000,1000000,-30000000,112000000,209000000,26000000,43000000,1130000000,85000000,-37000000,-198000000,-1566000000,-977000000,-658000000,-689000000,-822000000,-312000000,-672000000,-474000000,-938000000
89,Cash Used for Investing Activites,- -,-109300000,-107700000,-464900000,-633000000,-148000000,-81000000,-307000000,-806000000,-624000000,-611000000,-1031000000,-1593000000,-268000000,-1887000000,-1603000000,-2651000000,-2040000000,-943000000,139000000,-702000000,-862000000,-335000000,-689000000,-445000000,-940000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-614000000,-2731000000,-2708000000,-268000000,-217000000,-1486000000,-761000000,-1288000000,-1333000000,-767000000,-967000000,-174000000,-131000000,-883000000
91,Common Stock Issued,- -,- -,500000,3500000,2000000,7000000,18000000,10000000,3000000,9000000,512000000,34000000,1722000000,306000000,798000000,10000000,2000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-421000000,- -,-20000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-75000000,- -,- -,- -,- -,-260000000,-314000000,-198000000,-169000000,-132000000,-144000000,-58000000,-45000000,-67000000,-131000000,-215000000,-62000000,-17000000,-5000000,-15000000,-58000000,-39000000,-43000000,- -,-240000000
94,Other Financing Activites,- -,50100000,-37800000,483500000,258000000,-138000000,-114000000,197000000,299000000,360000000,-261000000,572000000,1086000000,2773000000,2227000000,70000000,1166000000,2108000000,357000000,107000000,585000000,677000000,613000000,40000000,-198000000,667000000
95,Cash Used/Provided by Financing Activities,- -,-24900000,-37300000,487000000,260000000,-131000000,-356000000,-107000000,104000000,200000000,119000000,462000000,1715000000,303000000,230000000,-319000000,736000000,560000000,-421000000,-1186000000,-763000000,-148000000,-393000000,-177000000,-329000000,-456000000
96,Effect of Forex Changes on Cash,- -,- -,-36100000,-35800000,-38000000,-58000000,75000000,53000000,17000000,-3000000,-3000000,14000000,-88000000,47000000,105000000,-102000000,-5000000,-30000000,-16000000,-17000000,10000000,3000000,-5000000,- -,25000000,-48000000
97,Net Change In Cash,- -,-24900000,-37300000,238900000,-298000000,-4000000,222000000,92000000,-193000000,-80000000,275000000,6000000,98000000,525000000,-514000000,526000000,-220000000,-264000000,-160000000,16000000,-269000000,-10000000,124000000,127000000,874000000,-176000000
98,Cash at the End of Period,- -,- -,- -,492500000,195000000,191000000,413000000,505000000,312000000,196000000,471000000,477000000,575000000,1100000000,586000000,1112000000,892000000,628000000,468000000,484000000,215000000,205000000,329000000,456000000,- -,1154000000
99,Cash at the Beginning of Period,- -,23600000,239100000,253600000,493000000,195000000,191000000,413000000,505000000,276000000,196000000,471000000,477000000,575000000,1100000000,586000000,1112000000,892000000,628000000,468000000,484000000,215000000,205000000,329000000,- -,1330000000
100,Free Cash Flow,- -,43200000,-18500000,35000000,-191000000,35000000,323000000,90000000,-93000000,-363000000,-41000000,-494000000,-1130000000,-576000000,65000000,1141000000,-137000000,-323000000,202000000,472000000,475000000,167000000,205000000,344000000,- -,240000000
101,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067428/000120561303000032/0001205613-03-000032-index.htm,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1067428/000095012311055267/0000950123-11-055267-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312512174757/0001193125-12-174757-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312513175850/0001193125-13-175850-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312514141938/0001193125-14-141938-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312515116866/0001193125-15-116866-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312516525512/0001193125-16-525512-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000119312517105480/0001193125-17-105480-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000162828018003806/0001628280-18-003806-index.htm,https://www.sec.gov/Archives/edgar/data/1067428/000162828019003631/0001628280-19-003631-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1067428/000162828021005759/0001628280-21-005759-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
