,https://roic.ai/company/SWK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),-13800000,-30700000,-46100000,-46500000,-50100000,-49400000,-49500000,-49900000,-59800000,-64700000,-30000000,-23000000,- -,-17000000,-24000000,-27000000,-25000000,-24000000,- -,-28000000,-86300000,-65000000,-182700000,- -,-73100000,-61000000,-113300000,-133700000,-147200000,- -,-163400000,-171300000,-180800000,-260000000,-230400000,-205100000,- -
20,Income Before Tax,137400000,131200000,165200000,172500000,193900000,172000000,156500000,158100000,148000000,201800000,113000000,174000000,- -,-19000000,215000000,294000000,237000000,273000000,- -,133000000,358200000,367000000,451100000,- -,301000000,283000000,779800000,528000000,587000000,- -,1085000000,1226100000,1527800000,1022100000,1130000000,1267000000,- -
21,Income Before Tax Ratio,0.1137,0.0957,0.0937,0.0904,0.0984,0.0870,0.0798,0.0713,0.0651,0.0804,0.0431,0.0651,- -,-0.0071,0.0788,0.1069,0.0903,0.1053,- -,0.0497,0.1090,0.0913,0.1006,- -,0.0680,0.0757,0.0752,0.0518,0.0534,- -,0.0957,0.1075,0.1178,0.0731,0.0782,0.0872,- -
22,Income Tax expense (Gain),59100000,53300000,68900000,69000000,76200000,65400000,61400000,60000000,55400000,76500000,54000000,77000000,- -,23000000,78000000,99000000,78000000,88000000,- -,36000000,86500000,76000000,114500000,- -,76000000,55000000,88600000,79000000,69000000,- -,227000000,261200000,277300000,216700000,160800000,41400000,- -
23,Net Income,78300000,78800000,86600000,103500000,117700000,106600000,95100000,98100000,84100000,125300000,59000000,97000000,- -,-42000000,138000000,194000000,158000000,185000000,- -,108000000,269600000,290000000,336600000,- -,313000000,224000000,674600000,884000000,490000000,- -,761000000,965300000,1227300000,605200000,955800000,1233800000,- -
24,Net Income ratio,0.0648,0.0575,0.0491,0.0542,0.0597,0.0539,0.0485,0.0442,0.0370,0.0499,0.0225,0.0363,- -,-0.0157,0.0506,0.0706,0.0602,0.0713,- -,0.0403,0.0821,0.0722,0.0751,- -,0.0707,0.0599,0.0650,0.0867,0.0445,- -,0.0671,0.0846,0.0947,0.0433,0.0662,0.0849,- -
25,EPS,0.95,0.93,1.00,1.03,1.35,1.26,1.13,1.07,0.94,1.40,0.67,1.09,- -,-0.47,1.54,2.22,1.85,2.14,- -,1.28,3.23,3.54,4.09,- -,3.97,1.34,4.06,5.41,3.16,- -,4.87,6.61,8.19,4.33,6.44,7.85,- -
26,EPS Diluted,0.95,0.93,1.00,1.03,1.34,1.25,1.12,1.06,0.92,1.40,0.67,1.09,- -,-0.47,1.53,2.22,1.81,2.10,- -,1.27,3.16,3.46,4.00,- -,3.92,1.32,3.97,5.30,3.09,- -,4.76,6.51,8.04,4.26,6.35,7.77,- -
27,Weighted Average Shares Outstanding,82421053,84731183,86600000,100485437,87185185,84603175,84159292,91682243,89468085,89500000,88872180,88899083,- -,89148936,89480519,87567568,85567568,86448598,- -,84296875,83467492,81779661,82298289,- -,78897000,147224000,165832000,163067000,155237000,- -,156090000,146041000,149629000,148919000,148365000,154176000,- -
28,Weighted Average Shares Outstanding Diluted,82421053,84731183,86600000,100485437,87835821,85280000,84910714,92547170,91413043,89620000,88872180,88899083,- -,89148936,90065359,87567568,87458564,88095238,- -,84960630,85316456,83670520,84150000,- -,79874000,150167000,170105000,166701000,158776000,- -,159737000,148207000,152449000,151643000,150558000,155861000,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/93556/000095014695000153/0000950146-95-000153-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/93556/000095013604000768/0000950136-04-000768-index.html,https://www.sec.gov/Archives/edgar/data/93556/000095013606001493/file001.htm,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/93556/000095012309003448/0000950123-09-003448-index.html,https://www.sec.gov/Archives/edgar/data/93556/000095012310014663/0000950123-10-014663-index.html,- -,https://www.sec.gov/Archives/edgar/data/93556/000009355613000004/0000093556-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355614000004/swk_10k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/93556/000009355615000005/swk_10k2014.htm,https://www.sec.gov/Archives/edgar/data/93556/000009355617000006/0000093556-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355618000008/0000093556-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355619000011/0000093556-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355620000006/0000093556-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355621000008/0000093556-21-000008-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,69300000,75000000,84000000,- -,152000000,110000000,94000000,115000000,122000000,- -,204000000,657800000,177000000,240400000,- -,212000000,401000000,906900000,716000000,496000000,- -,497000000,1131800000,637500000,288700000,297700000,1381000000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,69300000,75000000,84000000,- -,152000000,110000000,94000000,115000000,122000000,- -,204000000,657800000,177000000,240400000,- -,212000000,401000000,906900000,716000000,496000000,- -,497000000,1131800000,637500000,288700000,297700000,1381000000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,410300000,439000000,446000000,- -,473000000,517000000,532000000,551000000,548000000,- -,482000000,609600000,750000000,848400000,- -,678000000,532000000,1553200000,1538000000,1633000000,- -,1397000000,1302800000,1628700000,1607800000,1454600000,1512200000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,369200000,349000000,338000000,- -,301000000,381000000,398000000,410000000,415000000,- -,377000000,460700000,599000000,567300000,- -,515000000,366000000,1438600000,1317000000,1485000000,- -,1563000000,1478000000,2018400000,2373500000,2255000000,2737400000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,39700000,52000000,43000000,- -,79000000,78000000,70000000,65000000,105000000,- -,138000000,97500000,113000000,112300000,- -,94000000,113000000,424000000,527000000,355000000,- -,492000000,875900000,274400000,299400000,449300000,405400000,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,888500000,915000000,911000000,- -,1005000000,1086000000,1094000000,1141000000,1190000000,- -,1201000000,1825600000,1639000000,1768400000,- -,1499000000,1412000000,4322700000,4098000000,3969000000,- -,3949000000,4788500000,4559000000,4569400000,4456600000,6036000000,- -
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,559800000,532000000,570000000,- -,513000000,511000000,504000000,494000000,495000000,- -,413000000,467100000,559000000,569300000,- -,580000000,576000000,1250900000,1334000000,1485000000,- -,1454000000,1451200000,1742500000,1915200000,1959500000,2053800000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000000,148000000,- -,151000000,257000000,239000000,304000000,348000000,- -,433000000,- -,1100000000,1537700000,- -,1747000000,1818000000,6920100000,7021000000,7565000000,- -,7276000000,6694000000,8776100000,8956700000,9237500000,10038100000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,164600000,-47000000,-49000000,- -,-47000000,-60000000,-64000000,-68000000,197000000,- -,211000000,1060400000,521000000,714900000,- -,857000000,776000000,3117000000,2935000000,3068000000,- -,2752000000,2299500000,3507400000,3484400000,3622000000,4055800000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,164600000,132000000,99000000,- -,104000000,197000000,175000000,236000000,545000000,- -,644000000,1060400000,1621000000,2252600000,- -,2604000000,2594000000,10037100000,9956000000,10633000000,- -,10028000000,8993500000,12283500000,12441100000,12859500000,14093900000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,- -,- -,120000000,120000000,- -,947000000,914000000,- -,993000000,- -,436100000,705300000,731200000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,88200000,75000000,80000000,- -,137000000,139000000,112000000,185000000,188000000,- -,166000000,192000000,49000000,189600000,- -,76000000,67000000,338300000,-491000000,-466000000,- -,-575000000,401700000,76600000,-223000000,589800000,1383000000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,812600000,755000000,749000000,- -,754000000,847000000,791000000,915000000,1228000000,- -,1223000000,1719500000,2296000000,3011500000,- -,3380000000,3357000000,11626300000,11746000000,12566000000,- -,11900000000,10846400000,14538700000,14838600000,16140000000,17530700000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1701100000,1670000000,1660000000,- -,1759000000,1933000000,1885000000,2056000000,2418000000,- -,2424000000,3545100000,3935000000,4779900000,- -,4879000000,4769000000,15949000000,15844000000,16535000000,- -,15849000000,15634900000,19097700000,19408000000,20596600000,23566700000,- -
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,125300000,113000000,131000000,- -,156000000,172000000,240000000,248000000,260000000,- -,240000000,327700000,445000000,508600000,- -,462000000,410000000,1312600000,1350000000,1576000000,- -,1579000000,1640400000,2021000000,2233200000,2087800000,2446400000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,93700000,77000000,5000000,- -,81000000,208000000,208000000,177000000,149600000,- -,157700000,170200000,320000000,292800000,- -,227700000,298400000,526600000,11500000,402600000,- -,7500000,12100000,988700000,378600000,481700000,140300000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185600000,- -,220000000,365300000,- -,421900000,385600000,481600000,364500000,506300000,565200000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78600000,79700000,- -,84400000,81900000,98900000,98600000,- -,108700000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,202500000,198000000,246000000,- -,386000000,322000000,259000000,401000000,271400000,- -,356300000,377400000,486000000,476100000,- -,507300000,483600000,1429300000,1632900000,1162700000,- -,1161100000,1073100000,1282900000,1291200000,1836200000,1862900000,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,421500000,388000000,382000000,- -,623000000,702000000,707000000,826000000,681000000,- -,754000000,875300000,1251000000,1277500000,- -,1197000000,1192000000,3268500000,3073000000,3221000000,- -,2832000000,2807500000,4391500000,4001600000,4405700000,4558300000,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,387100000,391000000,343000000,- -,284000000,345000000,249000000,197000000,564000000,- -,535000000,895300000,679000000,1212100000,- -,1420000000,1085000000,2925800000,3527000000,3799000000,- -,3840000000,3815300000,2828200000,3819800000,3176400000,4245400000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83400000,- -,81700000,- -,- -,- -,905000000,946900000,914400000,- -,992700000,735400000,434200000,705300000,- -,568000000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,133900000,156000000,155000000,- -,244000000,217000000,192000000,200000000,189000000,- -,276000000,246200000,453000000,480100000,- -,574000000,506000000,1782900000,1630100000,1801600000,- -,1755300000,1903100000,3141600000,3045100000,3878200000,3128200000,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,535400000,547000000,498000000,- -,528000000,562000000,441000000,397000000,753000000,- -,811000000,1224900000,1132000000,1773900000,- -,1994000000,1591000000,5613700000,6104000000,6515000000,- -,6588000000,6453800000,6404000000,7570200000,7054600000,7941600000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141300000,138800000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,956900000,935000000,880000000,- -,1151000000,1264000000,1148000000,1223000000,1434000000,- -,1565000000,2100200000,2383000000,3051400000,- -,3191000000,2783000000,8882200000,9177000000,9736000000,- -,9420000000,9261300000,10795500000,11571800000,11460300000,12499900000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,750000000,750000000,1500000000,1500000000,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000000,231000000,- -,231000000,231000000,231000000,231000000,231000000,- -,238000000,237700000,234000000,233900000,- -,234000000,231000000,440700000,442000000,442000000,- -,442000000,442300000,442300000,442300000,442300000,442300000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,937800000,938000000,919000000,- -,807000000,867000000,1040000000,1185000000,1245000000,- -,1202000000,1657200000,1884000000,2045500000,- -,2270000000,2296000000,2707300000,3300000000,3485000000,- -,3926000000,5127300000,5998700000,6219000000,6772800000,7547600000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-568800000,-142000000,-92000000,- -,-170000000,-170000000,-250000000,-278000000,-304200000,- -,-258000000,-199500000,-182700000,-46100000,- -,-151400000,-76500000,-349200000,-388000000,-499000000,- -,-1270200000,-1921200000,-1585900000,-1814300000,-1884600000,-1713700000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,375200000,- -,- -,- -,- -,- -,- -,- -,-188000000,- -,-323400000,-250500000,-383300000,- -,- -,-664600000,-464400000,4204800000,3313100000,3371200000,- -,3331300000,2718600000,2692000000,2239200000,2305800000,3283400000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,744200000,735000000,780000000,- -,608000000,669000000,737000000,832000000,983800000,- -,858600000,1444900000,1552000000,1728500000,- -,1688000000,1986100000,7003600000,6667100000,6799200000,- -,6429100000,6367000000,8297100000,7836200000,9136300000,11059600000,- -
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1701100000,1670000000,1660000000,- -,1759000000,1933000000,1885000000,2055000000,2417800000,- -,2423600000,3545100000,3935000000,4779900000,- -,4879000000,4769100000,15885800000,15844100000,16535200000,- -,15849100000,15628300000,19092600000,19408000000,20596600000,23559500000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,200000,- -,400000,- -,- -,- -,- -,- -,-100000,63200000,-100000,-200000,- -,-100000,6600000,5100000,- -,- -,7200000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1701100000,1670000000,1660000000,- -,1759000000,1933000000,1885000000,2056000000,2418000000,- -,2424000000,3545100000,3935000000,4779900000,- -,4879000000,4769000000,15949000000,15844000000,16535000000,- -,15849000000,15634900000,19097700000,19408000000,20596600000,23566700000,- -
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/93556/000095014695000153/0000950146-95-000153-index.html,- -,- -,undefined,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/93556/000095013604000768/0000950136-04-000768-index.html,https://www.sec.gov/Archives/edgar/data/93556/000095013606001493/file001.htm,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/93556/000095012309003448/0000950123-09-003448-index.html,https://www.sec.gov/Archives/edgar/data/93556/000095012310014663/0000950123-10-014663-index.html,- -,https://www.sec.gov/Archives/edgar/data/93556/000009355613000004/0000093556-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355614000004/swk_10k2013.htm,undefined,https://www.sec.gov/Archives/edgar/data/93556/000009355615000005/swk_10k2014.htm,https://www.sec.gov/Archives/edgar/data/93556/000009355617000006/0000093556-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355618000008/0000093556-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355619000011/0000093556-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355620000006/0000093556-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/93556/000009355621000008/0000093556-21-000008-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,117700000,106600000,95100000,98100000,84100000,125300000,59000000,97000000,- -,-42000000,138000000,194000000,158000000,185000000,- -,108000000,269600000,290000000,336600000,- -,313000000,224000000,674600000,884000000,490000000,- -,761000000,965300000,1227300000,605200000,955800000,1233800000,- -
74,Depreciation and Amortization,- -,- -,- -,- -,69800000,74300000,74900000,78500000,80700000,81800000,81200000,74700000,- -,72400000,79700000,83300000,82900000,71200000,- -,86500000,96500000,121200000,162200000,- -,183000000,200100000,410100000,445300000,441300000,- -,449800000,408000000,460700000,506500000,560200000,578100000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-73400000,-48600000,-134800000,- -,37100000,-25700000,-103000000,191100000,-17900000,-241700000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20700000,68900000,89700000,66400000,- -,57100000,81200000,78700000,76500000,88800000,109100000,- -
77,Change in Working Capital,- -,- -,- -,- -,-7800000,- -,- -,- -,- -,467000000,60000000,2000000,- -,-147000000,2000000,-11000000,-72000000,194000000,- -,-62000000,397300000,-562300000,102900000,- -,-188900000,-82000000,-1019800000,-29200000,-277000000,- -,369000000,1121500000,-1813500000,400300000,-516900000,1426800000,- -
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129100000,130500000,10100000,-55200000,11300000,- -,81600000,-69400000,-200600000,-48800000,137800000,-39600000,- -
79,Inventory,- -,- -,- -,- -,-9300000,12600000,500000,-6600000,-15500000,-69800000,-4500000,-10500000,- -,8600000,-78000000,-29200000,-14600000,-8400000,- -,24100000,-19300000,-62700000,47400000,- -,26500000,152800000,-90200000,11400000,-101900000,- -,-175900000,-23900000,-303000000,-401600000,137700000,-401500000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32900000,-57300000,214200000,109100000,105000000,- -,71700000,159700000,240400000,211000000,-169100000,310400000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,467000000,527000000,529000000,- -,382000000,384000000,387000000,315000000,509000000,- -,447000000,950300000,388000000,490900000,- -,302000000,220000000,1054200000,1025000000,748000000,- -,1117000000,1981000000,167500000,567800000,50900000,1477700000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,2600000,27100000,10000000,8400000,-18300000,-545600000,-22100000,86200000,- -,357800000,-163500000,-30100000,52700000,-165100000,- -,331800000,-401100000,590200000,-57600000,- -,209500000,176600000,938500000,-375000000,282100000,- -,-378100000,-1065100000,1568400000,-518700000,435700000,-1084000000,- -
83,Cash Provided by Operating Activities,- -,- -,- -,- -,182300000,208000000,180000000,185000000,146500000,128500000,178100000,259900000,- -,241200000,56200000,236200000,221600000,285100000,- -,464300000,362300000,439100000,544100000,- -,516600000,539400000,998900000,966200000,868000000,- -,1295900000,1485200000,1418600000,1260900000,1505700000,2022100000,- -
84,CAPEX,- -,- -,- -,- -,-118200000,-78200000,-115800000,-170900000,-69700000,-66400000,-66500000,-78700000,- -,-73300000,-156800000,-59800000,-55700000,-37200000,- -,-39400000,-53300000,-80500000,-86900000,- -,-140800000,-93400000,-302100000,-386000000,-365600000,- -,-291000000,-347000000,-442400000,-492100000,-424700000,-348100000,- -
