,https://roic.ai/company/LANC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,14600000,14900000,16500000,17800000,18800000,19800000,21200000,21800000,22400000,22700000,24400000,27000000,32600000,35600000,34340000,35528000,35287000,31669000,31267000,33262000,32341000,28766000,24138000,21870000,20533000,- -,- -,20114000,20407000,21111000,24147000,24906000,26896000,31848000,37963000,44509000
15,EBITDA,33400000,48200000,51100000,52900000,46500000,53600000,75100000,96100000,120500000,137500000,147600000,169500000,187900000,189000000,194529000,180415000,184629000,212470000,159731000,181283000,161142000,111772000,88987000,160093000,195671000,161506000,146031000,182097000,147686000,175663000,208780000,200422000,201099000,227390000,217040000,230254000
16,EBITDA ratio,0.0758,0.1122,0.1127,0.1075,0.0921,0.1071,0.1351,0.1524,0.1670,0.1729,0.1725,0.1837,0.1863,0.1807,0.1762,0.1642,0.1634,0.1920,0.1456,0.1602,0.1371,0.1024,0.0907,0.1523,0.1852,0.1482,0.1291,0.1562,0.1419,0.1590,0.1753,0.1668,0.1644,0.1739,0.1627,0.1569
17,Operating Income,26800000,38800000,41200000,42900000,43400000,42000000,59700000,78000000,100700000,116500000,125700000,144300000,155900000,155700000,161949000,147674000,134369000,139943000,124743000,117913000,113455000,100455000,75337000,129648000,174199000,147004000,143287000,161906000,153767000,154861000,184570000,174748000,172107000,190924000,175948000,185852000
18,Operating Income ratio,0.0608,0.0903,0.0909,0.0872,0.0860,0.0839,0.1074,0.1237,0.1395,0.1465,0.1469,0.1564,0.1545,0.1489,0.1467,0.1344,0.1189,0.1264,0.1137,0.1042,0.0965,0.0921,0.0768,0.1233,0.1649,0.1349,0.1267,0.1389,0.1477,0.1402,0.1550,0.1454,0.1407,0.1460,0.1319,0.1267
19,Total Other Income Expenses (Gains),-8000000,-5500000,-6600000,-7800000,-15700000,-8200000,-5800000,-3700000,-2600000,-1700000,-2500000,-1800000,-600000,-2300000,-1760000,-1789000,14973000,40858000,3721000,30108000,15346000,1548000,331000,7358000,939000,14502000,2744000,77000,-488000,-309000,63000,768000,2096000,4618000,3129000,-107000
20,Income Before Tax,18800000,33300000,34600000,35100000,27700000,33800000,53900000,74300000,98100000,114800000,123200000,142500000,155300000,153400000,160189000,145885000,149342000,180801000,128464000,148021000,128801000,102003000,75668000,137006000,175138000,161506000,146031000,161983000,153279000,154552000,184633000,175516000,174203000,195542000,179077000,185745000
21,Income Before Tax Ratio,0.0427,0.0775,0.0763,0.0713,0.0549,0.0675,0.0970,0.1178,0.1359,0.1444,0.1439,0.1544,0.1539,0.1467,0.1451,0.1328,0.1322,0.1634,0.1171,0.1308,0.1096,0.0935,0.0771,0.1303,0.1658,0.1482,0.1291,0.1389,0.1472,0.1399,0.1550,0.1460,0.1424,0.1495,0.1342,0.1266
22,Income Tax expense (Gain),8100000,16100000,12800000,13200000,11600000,12600000,21500000,28100000,38200000,44300000,47100000,53800000,59200000,58300000,60925000,55649000,57402000,68255000,48462000,54933000,45847000,37322000,27229000,47920000,60169000,55142000,50223000,52734000,52293000,52866000,62869000,60202000,38889000,44993000,42094000,43413000
23,Net Income,10700000,17200000,21800000,21900000,16100000,21200000,32400000,46200000,59900000,70500000,76100000,88700000,96100000,95100000,99264000,89238000,91940000,112546000,80002000,93088000,82954000,45684000,37620000,89086000,114969000,106364000,95808000,109249000,74986000,101686000,121764000,115314000,135314000,150549000,136983000,142332000
24,Net Income ratio,0.0243,0.0400,0.0481,0.0445,0.0319,0.0424,0.0583,0.0733,0.0830,0.0887,0.0889,0.0961,0.0953,0.0909,0.0899,0.0812,0.0814,0.1017,0.0729,0.0823,0.0706,0.0419,0.0384,0.0847,0.1088,0.0976,0.0847,0.0937,0.0720,0.0921,0.1022,0.0959,0.1106,0.1151,0.1027,0.0970
25,EPS,0.24,0.33,0.43,0.45,0.34,0.46,0.71,1.01,1.31,1.57,1.71,2.01,2.22,2.28,2.51,2.37,2.49,3.11,2.24,2.67,2.48,1.45,1.28,3.18,4.08,3.84,3.51,4.00,2.75,3.72,4.45,4.21,4.93,5.48,4.98,5.17
26,EPS Diluted,0.24,0.33,0.43,0.45,0.34,0.46,0.71,1.01,1.31,1.57,1.71,2.01,2.22,2.28,2.51,2.37,2.49,3.11,2.24,2.67,2.48,1.45,1.28,3.18,4.07,3.84,3.51,3.99,2.74,3.72,4.44,4.20,4.92,5.46,4.97,5.16
27,Weighted Average Shares Outstanding,44583333,52121212,50697674,48666667,31632653,46086957,45633803,45742574,45476167,45057000,44623500,44107500,43271000,41759000,39498000,37618000,36850000,36184000,35708000,34868000,33471000,31576000,29494000,28033000,28144000,27664000,27233000,27252000,27264000,27300000,27336000,27376000,27403000,27438000,27448000,27475000
28,Weighted Average Shares Outstanding Diluted,44583333,52121212,50697674,48666667,31632653,46086957,45633803,45742574,45476167,45057000,44623500,44315068,43364000,41799000,39554000,37636000,36910000,36243000,35778000,34925000,33502000,31603000,29499000,28051000,28174000,27689000,27265000,27285000,27308000,27327000,27373000,27440000,27459000,27537000,27496000,27518000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015294000970/0000950152-94-000970-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015295002188/0000950152-95-002188-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015296004860/0000950152-96-004860-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015297006812/0000950152-97-006812-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015299007779/0000950152-99-007779-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015200006940/0000950152-00-006940-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015202007195/0000950152-02-007195-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015203008428/0000950152-03-008428-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015205007599/0000950152-05-007599-index.htm,https://www.sec.gov/Archives/edgar/data/57515/000095015206007520/l22170ae10vk.htm,https://www.sec.gov/Archives/edgar/data/57515/000095015207007154/0000950152-07-007154-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015208006856/0000950152-08-006856-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012309038239/0000950123-09-038239-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012310080836/0000950123-10-080836-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012311081026/0000950123-11-081026-index.html,https://www.sec.gov/Archives/edgar/data/57515/000119312512373438/0001193125-12-373438-index.html,https://www.sec.gov/Archives/edgar/data/57515/000119312513352262/0001193125-13-352262-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751514000051/0000057515-14-000051-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751515000021/0000057515-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751516000050/lanc-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751517000021/0000057515-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751518000020/0000057515-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751519000021/lanc-2019630x10k.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751520000024/0000057515-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751521000017/0000057515-21-000017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3500000,2200000,4000000,3200000,700000,5300000,7400000,16500000,30400000,8200000,4700000,32100000,23200000,18900000,2656000,4873000,83378000,142847000,178503000,113265000,6050000,8318000,19417000,38484000,100890000,132266000,191636000,123386000,211539000,182202000,118080000,143104000,205752000,196288000,198273000,188055000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71315000,35765000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3500000,2200000,4000000,3200000,700000,5300000,7400000,16500000,30400000,8200000,4700000,32100000,23200000,18900000,2656000,4873000,83378000,142847000,178503000,184580000,41815000,8318000,19417000,38484000,100890000,132266000,191636000,123386000,211539000,182202000,118080000,143104000,205752000,196288000,198273000,188055000
34,Net Receivables,61100000,60300000,68600000,69300000,68600000,62800000,64800000,68000000,80700000,88400000,105400000,102500000,99900000,123300000,118991000,107895000,109350000,88583000,94623000,100351000,108987000,92635000,59409000,61152000,67766000,63762000,73326000,70398000,57808000,62437000,66006000,69922000,72960000,75691000,86604000,97897000
35,Inventory,97000000,92000000,94500000,98900000,109500000,95000000,92700000,95200000,117600000,141900000,151600000,161300000,175200000,169400000,175480000,184387000,148251000,159412000,155076000,164365000,161949000,149717000,120303000,102523000,121509000,111885000,109704000,109151000,74516000,77899000,76097000,76376000,90861000,86072000,85048000,121875000
36,Other Current Assets,1200000,2600000,1500000,1000000,3900000,5300000,7300000,8500000,9100000,11300000,11600000,12900000,13200000,16800000,18768000,20450000,25121000,23543000,22803000,25109000,26032000,28241000,34545000,20653000,27234000,25283000,17073000,23123000,23428000,20460000,7644000,11744000,9304000,10518000,15687000,15654000
37,Total Current Assets,162800000,157100000,168600000,172400000,182700000,168400000,172200000,188200000,237800000,249800000,273300000,308800000,311500000,328400000,315895000,317605000,366100000,414385000,451005000,474405000,338783000,278911000,233674000,222812000,317399000,333196000,391739000,326058000,367291000,342998000,267827000,301146000,378877000,368569000,385612000,423481000
38,PP&E,93700000,99700000,98300000,97700000,101400000,98100000,99500000,98600000,101600000,113200000,139100000,151300000,170800000,175600000,172384000,173169000,165943000,161111000,159494000,154147000,187272000,208431000,179573000,170900000,166097000,185282000,184130000,189695000,168674000,172311000,169595000,180671000,190813000,247044000,316265000,387077000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73397000,- -,- -,- -,- -,79219000,89590000,89840000,89840000,89840000,89840000,89840000,89840000,89840000,143788000,143788000,168030000,168030000,208371000,208371000,208371000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20700000,19800000,37000000,35800000,34553000,- -,72677000,75647000,84646000,84156000,4416000,13111000,11841000,10678000,9514000,8350000,7267000,6322000,5376000,47771000,44866000,60162000,56176000,70277000,65216000,58766000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20700000,19800000,37000000,35800000,34553000,73397000,72677000,75647000,84646000,84156000,83635000,102701000,101681000,100518000,99354000,98190000,97107000,96162000,95216000,191559000,188654000,228192000,224206000,278648000,273587000,267137000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,6900000,18200000,19400000,19600000,24400000,20500000,18300000,15300000,16000000,16900000,2300000,4500000,10100000,10200000,9012000,7766000,13985000,16573000,17742000,18570000,18331000,8454000,5250000,4251000,3603000,5421000,9659000,8049000,7449000,8076000,8656000,6396000,10595000,11138000,17889000,23590000
45,Total Non-Current Assets,100600000,117900000,117700000,117300000,125800000,118600000,117800000,113900000,117600000,130100000,162100000,175600000,217900000,221600000,215949000,254332000,252605000,253331000,261882000,256873000,289238000,319586000,286504000,275669000,269054000,288893000,290896000,293906000,271339000,371946000,366905000,415259000,425614000,536830000,607741000,677804000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,263400000,275000000,286300000,289700000,308500000,287000000,290000000,302100000,355400000,379900000,435400000,484400000,529400000,550000000,531844000,571937000,618705000,667716000,712887000,731278000,628021000,598497000,520178000,498481000,586453000,622089000,682635000,619964000,638630000,714944000,634732000,716405000,804491000,905399000,993353000,1101285000
48,Accounts Payable,- -,- -,- -,- -,32900000,23900000,26500000,26300000,31100000,26300000,34300000,33200000,41800000,45700000,43690000,41565000,43258000,41983000,47383000,51014000,47684000,48423000,45964000,41180000,41904000,42570000,40708000,41890000,37907000,38823000,39931000,41353000,57978000,76670000,71433000,110338000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1000000,600000,500000,500000,25500000,8785000,6445000,- -,- -,- -,- -,- -,42500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6766000,9378000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1490000,1607000,1597000,1219000,1182000,1266000,1266000,1306000,1219000,1392000,1665000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,81700000,81700000,88900000,93000000,73900000,50900000,48700000,35200000,41900000,33200000,34500000,40000000,34200000,45000000,44000000,44284000,46046000,42940000,45348000,52832000,55816000,50867000,42785000,33399000,36049000,33586000,31963000,35287000,31165000,35821000,33072000,35270000,35789000,43036000,48060000,54207000
53,Total Current Liabilities,81700000,81700000,88900000,93000000,106800000,74800000,75200000,61500000,74300000,60500000,69400000,73700000,76500000,116200000,96475000,92294000,89304000,84923000,92731000,103846000,103500000,141790000,88749000,74579000,77953000,76156000,72671000,77177000,69072000,74644000,73003000,76623000,93767000,119706000,126259000,173923000
54,Long-Term Debt,58000000,52100000,49500000,45300000,60200000,57200000,40000000,34600000,32900000,31800000,31200000,30700000,29100000,3600000,3040000,1095000,- -,- -,- -,- -,- -,- -,55000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17893000,23895000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,8900000,13500000,13800000,13900000,12600000,7700000,6900000,5100000,3300000,2200000,3500000,4100000,5900000,8300000,10046000,11301000,12234000,7317000,11795000,9214000,8366000,1696000,- -,4627000,4454000,14748000,14070000,19186000,19716000,37215000,23032000,26448000,18102000,23824000,35208000,39955000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,- -,7900000,8500000,8900000,8100000,8300000,7700000,7900000,7300000,7000000,6800000,7346000,15890000,27811000,21576000,30492000,21734000,10702000,17211000,16719000,19138000,13646000,31627000,22379000,21245000,22167000,25099000,37357000,40340000,34996000,30693000,20365000
58,Total Non-Current Liabilities,66900000,65600000,63300000,59100000,72800000,72800000,55400000,48600000,44300000,42300000,42400000,42700000,42300000,18900000,19886000,19742000,28124000,35128000,33371000,39706000,30100000,12398000,72211000,21346000,23592000,28394000,45697000,41565000,40961000,59382000,48131000,63805000,58442000,58820000,83794000,84215000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24659000,33273000
61,Total Liabilities,148600000,147300000,152200000,152100000,179600000,147600000,130600000,110100000,118600000,102800000,111800000,116400000,118800000,135100000,116361000,112036000,117428000,120051000,126102000,143552000,133600000,154188000,160960000,95925000,101545000,104550000,118368000,118742000,110033000,134026000,121134000,140428000,152209000,178526000,210053000,258138000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50900000,52115000,55229000,61919000,65864000,69809000,73801000,78017000,81665000,82652000,88962000,94885000,97197000,- -,102622000,104789000,107767000,110677000,115174000,119232000,122844000,125153000,128617000
64,Retained Earnings,88400000,100800000,90600000,104000000,111200000,122300000,144900000,179800000,226400000,280500000,337200000,404800000,477600000,548100000,622660000,686722000,752534000,836928000,885161000,944194000,925388000,937376000,941244000,998476000,1080015000,1150683000,1208027000,1139213000,1167211000,1219119000,1150337000,1206671000,1279343000,1359782000,1421121000,1482220000
65,Other Comprehensive Income/Loss,-82600000,-87200000,-97700000,-109000000,-115600000,-127600000,-139500000,-151200000,-163100000,-169300000,-177800000,-186000000,-203300000,-218400000,-240799000,-263969000,-287728000,-9151000,-5542000,-10905000,-5277000,-5167000,-5775000,-9085000,-9797000,-7043000,-12162000,-8391000,-8061000,-10057000,-11350000,-8936000,-8259000,-10308000,-12070000,-8253000
66,Other Total Stockholders Equity,109000000,114100000,141200000,142600000,133300000,144700000,154000000,163400000,173500000,165900000,164200000,149200000,136300000,34300000,- -,- -,- -,-345976000,-362643000,-419364000,-503707000,-569565000,-658903000,-675797000,-680195000,-723298000,- -,-732222000,-735342000,-735911000,-736066000,-736932000,-738034000,-745445000,-750904000,-759437000
67,Total Stockholders Equity,114800000,127700000,134100000,137600000,128900000,139400000,159400000,192000000,236800000,277100000,323600000,368000000,410600000,414900000,415483000,459901000,501277000,547665000,586785000,587726000,494421000,444309000,359218000,402556000,484908000,517539000,564267000,501222000,528597000,580918000,513598000,575977000,652282000,726873000,783300000,843147000
68,Total Liabilities And Stockholders Equity,263400000,275000000,286300000,289700000,308500000,287000000,290000000,302100000,355400000,379900000,435400000,484400000,529400000,550000000,531844000,571937000,618705000,667716000,712887000,731278000,628021000,598497000,520178000,498481000,586453000,622089000,682635000,619964000,638630000,714944000,634732000,716405000,804491000,905399000,993353000,1101285000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,263400000,275000000,286300000,289700000,308500000,287000000,290000000,302100000,355400000,379900000,435400000,484400000,529400000,550000000,531844000,571937000,618705000,667716000,712887000,731278000,628021000,598497000,520178000,498481000,586453000,622089000,682635000,619964000,638630000,714944000,634732000,716405000,804491000,905399000,993353000,1101285000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015294000970/0000950152-94-000970-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015295002188/0000950152-95-002188-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015296004860/0000950152-96-004860-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015297006812/0000950152-97-006812-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015299007779/0000950152-99-007779-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015200006940/0000950152-00-006940-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015202007195/0000950152-02-007195-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015203008428/0000950152-03-008428-index.html,- -,https://www.sec.gov/Archives/edgar/data/57515/000095015205007599/0000950152-05-007599-index.htm,https://www.sec.gov/Archives/edgar/data/57515/000095015206007520/l22170ae10vk.htm,https://www.sec.gov/Archives/edgar/data/57515/000095015207007154/0000950152-07-007154-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095015208006856/0000950152-08-006856-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012309038239/0000950123-09-038239-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012310080836/0000950123-10-080836-index.html,https://www.sec.gov/Archives/edgar/data/57515/000095012311081026/0000950123-11-081026-index.html,https://www.sec.gov/Archives/edgar/data/57515/000119312512373438/0001193125-12-373438-index.html,https://www.sec.gov/Archives/edgar/data/57515/000119312513352262/0001193125-13-352262-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751514000051/0000057515-14-000051-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751515000021/0000057515-15-000021-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751516000050/lanc-2016630x10k.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751517000021/0000057515-17-000021-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751518000020/0000057515-18-000020-index.html,https://www.sec.gov/Archives/edgar/data/57515/000005751519000021/lanc-2019630x10k.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751520000024/0000057515-20-000024-index.htm,https://www.sec.gov/Archives/edgar/data/57515/000005751521000017/0000057515-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,21900000,16100000,21200000,32400000,46200000,59900000,70500000,76100000,88700000,96100000,95100000,99264000,89238000,91940000,112546000,80002000,93088000,82954000,45684000,37620000,89086000,114969000,106364000,95808000,109249000,74986000,101686000,121764000,115314000,135314000,150549000,136983000,142332000
74,Depreciation and Amortization,- -,- -,- -,17800000,18800000,19800000,21200000,21800000,22400000,22700000,24400000,27000000,32600000,35600000,34340000,35528000,35287000,31669000,31267000,33262000,32341000,28766000,24138000,21870000,20533000,- -,- -,20114000,20407000,21111000,24147000,24906000,26896000,31848000,37963000,44509000
75,Deferred Income Tax,- -,- -,- -,100000,-3500000,900000,-2000000,400000,-400000,-2100000,-200000,-700000,900000,-1200000,-121000,160000,-1754000,2810000,3683000,884000,-1114000,-4207000,4593000,3767000,3415000,10977000,5147000,1278000,2720000,306000,-525000,2347000,-8502000,7336000,11402000,4629000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2922000,2901000,2472000,3040000,3326000,4248000,5039000,5972000,6115000,7126000
77,Change in Working Capital,- -,- -,- -,-6800000,-3500000,17700000,3400000,29700000,36800000,25800000,14600000,31200000,-100000,-22800000,7220000,5891000,51485000,52666000,28812000,12285000,-135276000,-98162000,7804000,3308000,91213000,17594000,62028000,-70187000,49338000,-29865000,-73530000,29699000,60587000,-36247000,10490000,-9795000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,-5000000,-9800000,14600000,3500000,-2500000,-20800000,-23500000,-9000000,-9700000,-12600000,6400000,-6059000,-7232000,36136000,-11161000,5431000,-9352000,-439000,-1345000,-7487000,17780000,-19166000,9624000,2181000,-1321000,1122000,366000,1802000,150000,-14485000,6282000,1024000,-36827000
