,https://roic.ai/company/KEQU,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,19500000,21100000,20100000,17400000,16900000,17400000,15700000,15200000,14600000,12700000,11400000,13000000,14400000,13900000,14397000,12156000,11801000,13476000,13491000,12699000,11291000,11728000,13559000,14289000,15576000,16127000,16443000,16981000,16068000,16540000,18010000,20065000,22934000,23207000,26226000,26462000
11,COGS and Expenses,64400000,70100000,67300000,66300000,73300000,70900000,73900000,70000000,66100000,63200000,56600000,59500000,68700000,72100000,70144000,72531000,81944000,71927000,92502000,73696000,82954000,78083000,83897000,96894000,93266000,96846000,100134000,111844000,105202000,113602000,122928000,132016000,148964000,144438000,150339000,149938000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,700000,- -,- -,600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,280000,157000,199000,445000,362000,373000,325000,306000,292000,299000,367000,493000,389000
14,Depreciation and Amortization,- -,- -,- -,1700000,1700000,1500000,1300000,1600000,1800000,1800000,1600000,1500000,1300000,1600000,1968000,2168000,2173000,2307000,2048000,2048000,2027000,1952000,1981000,2263000,2348000,2487000,2664000,2653000,2549000,2615000,2592000,2702000,2761000,2571000,2654000,2687000
15,EBITDA,-3100000,-10500000,900000,3900000,3000000,1700000,2500000,-1600000,1600000,700000,2000000,3900000,5600000,7200000,6779000,4006000,4866000,1416000,4131000,1413000,2508000,4394000,6848000,9054000,7998000,5400000,4879000,7599000,8800000,8214000,8562000,9635000,12363000,4913000,218000,394000
16,EBITDA ratio,-0.0528,-0.1765,0.0131,0.0566,0.0405,0.0239,0.0334,-0.0239,0.0242,0.0112,0.0347,0.0629,0.0767,0.0929,0.0906,0.0520,0.0573,0.0199,0.0436,0.0192,0.0298,0.0540,0.0765,0.0871,0.0807,0.0540,0.0474,0.0649,0.0792,0.0691,0.0666,0.0695,0.0782,0.0335,0.0015,0.0027
17,Operating Income,-5700000,-10600000,1300000,2600000,700000,200000,1000000,-3000000,- -,-700000,1000000,2500000,4300000,5400000,4654000,2360000,2905000,-764000,2198000,-215000,1117000,3358000,5613000,7084000,5827000,3157000,2713000,5277000,5964000,5226000,5698000,6542000,9086000,2112000,-2345000,-1316000
18,Operating Income ratio,-0.0971,-0.1782,0.0190,0.0377,0.0095,0.0028,0.0134,-0.0448,- -,-0.0112,0.0174,0.0403,0.0589,0.0697,0.0622,0.0306,0.0342,-0.0107,0.0232,-0.0029,0.0133,0.0412,0.0627,0.0681,0.0588,0.0316,0.0264,0.0451,0.0536,0.0440,0.0443,0.0472,0.0575,0.0144,-0.0159,-0.0089
19,Total Other Income Expenses (Gains),2600000,-600000,-400000,-400000,- -,- -,200000,-200000,100000,200000,200000,-100000,- -,200000,157000,-522000,-212000,-127000,18085000,-308000,-420000,-617000,-247000,-308000,-156000,-195000,-174000,-56000,22000,159000,41000,204000,394000,22000,-521000,-1301000
20,Income Before Tax,-3100000,-11200000,900000,2200000,700000,200000,1200000,-3200000,- -,- -,- -,2400000,4300000,5600000,4811000,1838000,2693000,-891000,20283000,-523000,697000,2741000,5366000,6776000,5671000,2962000,2539000,5221000,5986000,5385000,5739000,6746000,9480000,2134000,-2866000,-2617000
21,Income Before Tax Ratio,-0.0528,-0.1882,0.0131,0.0319,0.0095,0.0028,0.0160,-0.0478,- -,- -,- -,0.0387,0.0589,0.0723,0.0643,0.0239,0.0317,-0.0125,0.2142,-0.0071,0.0083,0.0337,0.0599,0.0652,0.0572,0.0296,0.0247,0.0446,0.0538,0.0453,0.0446,0.0487,0.0600,0.0146,-0.0194,-0.0177
22,Income Tax expense (Gain),-2300000,-3500000,400000,500000,200000,100000,400000,-700000,- -,- -,- -,100000,1700000,2200000,1250000,561000,793000,-549000,621000,-488000,288000,902000,1733000,2264000,1921000,864000,739000,1540000,1983000,1745000,1862000,2126000,4115000,446000,1758000,990000
23,Net Income,-800000,-7700000,500000,1700000,500000,100000,800000,-2500000,-200000,-1100000,400000,2300000,2600000,3400000,3561000,1277000,1900000,-342000,1462000,-147000,193000,1540000,3134000,4247000,3572000,1850000,1031000,3044000,3895000,3529000,3802000,4515000,5188000,1529000,-4687000,-3672000
24,Net Income ratio,-0.0136,-0.1294,0.0073,0.0247,0.0068,0.0014,0.0107,-0.0373,-0.0030,-0.0176,0.0069,0.0371,0.0356,0.0439,0.0476,0.0166,0.0224,-0.0048,0.0154,-0.0020,0.0023,0.0189,0.0350,0.0408,0.0360,0.0185,0.0100,0.0260,0.0350,0.0297,0.0296,0.0326,0.0328,0.0104,-0.0318,-0.0249
25,EPS,-0.31,-3.01,0.18,0.66,0.18,0.03,0.33,-1.04,-0.09,-0.46,0.15,0.96,1.07,1.40,1.45,0.52,0.77,-0.14,0.59,-0.06,0.08,0.62,1.24,1.66,1.39,0.72,0.40,1.18,1.49,1.34,1.43,1.67,1.91,0.56,-1.70,-1.33
26,EPS Diluted,-0.31,-3.01,0.18,0.66,0.18,0.03,0.33,-1.04,-0.09,-0.46,0.15,0.96,1.06,1.38,1.44,0.51,0.77,-0.14,0.59,-0.06,0.08,0.62,1.23,1.66,1.39,0.72,0.40,1.17,1.48,1.33,1.42,1.66,1.87,0.55,-1.70,-1.33
27,Weighted Average Shares Outstanding,2580645,2558140,2777778,2575758,2777778,3333333,2424242,2403846,2222222,2367000,2367000,2366000,2386000,2432000,2456000,2467000,2468000,2478000,2486000,2491000,2492000,2493000,2530000,2555000,2564000,2575000,2579000,2587000,2608000,2626000,2667000,2705000,2720000,2742000,2750000,2760000
28,Weighted Average Shares Outstanding Diluted,2580645,2558140,2777778,2575758,2777778,3333333,2424242,2403846,2222222,2367000,2367000,2366000,2423000,2464000,2478000,2490000,2481000,2485000,2497000,2495000,2493000,2495000,2557000,2561000,2575000,2585000,2580000,2600000,2634000,2658000,2687000,2726000,2777000,2794000,2750000,2760000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013196003492/0000950131-96-003492-index.html,https://www.sec.gov/Archives/edgar/data/55529/000095013197004497/0000950131-97-004497-index.html,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013199004506/0000950131-99-004506-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013102002735/0000950131-02-002735-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312503022693/0001193125-03-022693-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312504119649/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312505139689/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312506146277/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312507157322/0001193125-07-157322-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312508153581/0001193125-08-153581-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312509151570/0001193125-09-151570-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312510160114/0001193125-10-160114-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312511189439/0001193125-11-189439-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312512301987/0001193125-12-301987-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312513297072/0001193125-13-297072-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312514272359/0001193125-14-272359-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312515256731/0001193125-15-256731-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312516653120/0001193125-16-653120-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312517232965/0001193125-17-232965-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312518222169/0001193125-18-222169-index.html,https://www.sec.gov/Archives/edgar/data/55529/000005552919000040/0000055529-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/55529/000005552920000010/0000055529-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/55529/000005552921000013/0000055529-21-000013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,20000,10000,1800000,10000,9000,488000,1747000,520000,1167000,225000,929000,2231000,3784000,3559000,1722000,2402000,6188000,5811000,6248000,3044000,5222000,12506000,9716000,10647000,4365000,5206000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,20000,10000,1800000,10000,9000,488000,1747000,520000,1167000,225000,929000,2231000,3784000,3559000,1722000,2402000,6188000,5811000,6248000,3044000,5222000,12506000,9716000,10647000,4365000,5206000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,13200000,12900000,13800000,17200000,17993000,17629000,18979000,16138000,24987000,21683000,23199000,19061000,20087000,24526000,26169000,27346000,23244000,25884000,23473000,29106000,27835000,29889000,32660000,33259000,28062000,35050000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,1200000,1900000,3700000,2900000,3499000,4370000,3309000,5958000,4285000,3542000,5860000,5869000,6984000,7839000,8350000,10466000,11760000,13203000,11938000,12745000,15626000,14935000,17662000,17206000,15330000,16517000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1400000,1180000,1690000,1600000,1690000,1531000,2171000,1391000,2370000,1097000,1330000,1410000,1353000,2327000,1621000,2341000,2165000,2406000,2332000,1694000,3867000,2274000,2482000,3466000,4245000,6474000,3684000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,18400000,15600000,16500000,20900000,21800000,23032000,24658000,25426000,24986000,31536000,26780000,31398000,28514000,33182000,37545000,38582000,42379000,43598000,47230000,43353000,48762000,50957000,59812000,63504000,65357000,54231000,60457000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,11100000,10300000,9800000,10000000,12100000,13506000,12919000,12811000,11791000,11362000,10730000,11163000,11255000,11825000,11369000,13815000,16575000,15346000,15098000,14570000,14523000,14118000,14027000,14661000,16462000,25584000,25261000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4077000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129000,- -,351000,663000,399000,1656000,2241000,1385000,2468000,3392000,3158000,2031000,1829000,336000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000,600000,700000,1000000,2100000,2778000,3292000,3953000,6877000,7563000,8702000,7911000,5342000,5599000,3264000,3561000,3705000,3536000,96000,3409000,3737000,3938000,3919000,4162000,3575000,3778000,3666000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000,10900000,10500000,11000000,14200000,16284000,16211000,16764000,18668000,18925000,19432000,19074000,16726000,17424000,14984000,18039000,20679000,20538000,21512000,19364000,20728000,21448000,21104000,20854000,21866000,29698000,28927000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,26500000,27000000,31900000,36000000,39316000,40869000,42190000,43654000,50461000,46212000,50472000,45240000,50606000,52529000,56621000,63058000,64136000,68742000,62717000,69490000,72405000,80916000,84358000,87223000,83929000,89384000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,5500000,4500000,5100000,6200000,6600000,5412000,5334000,6648000,8338000,6924000,8558000,9074000,8437000,8929000,8812000,9540000,9770000,8848000,10406000,8542000,11232000,11722000,11995000,14754000,15190000,13114000,16780000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400000,2500000,- -,- -,900000,2555000,620000,681000,2097000,8114000,4820000,8476000,3849000,4874000,5940000,4954000,6871000,7052000,7197000,3571000,5376000,4239000,4509000,5052000,10697000,6020000,8197000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1024000,481000,856000,1152000,1261000,535000,1672000,667000,1298000,586000,1108000,1362000,488000,137000,216000,785000,5806000,1884000,1599000,2508000,3123000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3800000,3600000,4400000,5100000,4200000,3593000,2995000,2799000,2037000,2729000,1760000,2288000,2225000,2792000,2613000,3417000,2515000,2978000,4024000,3913000,4231000,4204000,4617000,5872000,5247000,5418000,6081000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,11700000,10600000,9500000,11300000,11700000,11560000,9973000,10609000,13328000,18919000,16399000,20373000,16183000,17262000,18663000,18497000,20264000,20240000,22115000,16163000,21055000,20950000,26927000,27562000,32733000,27060000,34181000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,300000,- -,- -,- -,- -,2377000,1930000,1249000,931000,- -,- -,- -,- -,- -,- -,3667000,3467000,3267000,4192000,3771000,3349000,2431000,1264000,97000,- -,7951000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,1100000,900000,800000,1100000,944000,1063000,925000,1150000,1013000,391000,247000,- -,921000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,401000,307000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,800000,1200000,1677000,1695000,1814000,1989000,2807000,2833000,3488000,3827000,3708000,5607000,6452000,6111000,8771000,9667000,8138000,9465000,9554000,8301000,8011000,6690000,17765000,5458000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4100000,1400000,900000,1600000,2300000,2621000,5135000,4669000,4388000,4751000,3224000,3735000,3827000,4629000,5607000,6452000,9778000,12238000,12934000,12330000,13236000,12903000,10732000,9275000,6787000,18166000,13716000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,307000,583000,476000,153000,421000,201000,119000,36000,- -,- -,- -,- -,- -,- -,149000,9194000,9320000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,12000000,10400000,12900000,14000000,14181000,15108000,15278000,17716000,23670000,19623000,24108000,20010000,21891000,24270000,24949000,30042000,32478000,35049000,28493000,34291000,33853000,37659000,36837000,39520000,45226000,47897000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6550000,6557000,6583000,6720000,6789000,6841000,6875000,6885000,6915000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,9400000,11400000,13600000,16400000,19351000,19938000,21146000,20110000,20876000,20031000,19526000,19947000,22373000,25802000,28398000,29218000,29218000,31191000,32090000,34385000,36826000,39771000,43165000,43552000,37821000,34149000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14100000,-15500000,-16600000,-17000000,-18200000,-19736000,-21825000,-23880000,-9000,36000,54000,113000,-1833000,-2041000,-5521000,-4898000,-4930000,-7176000,-7327000,-6273000,-7880000,-7626000,-6319000,-5900000,-6407000,-9598000,-3577000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,19300000,20600000,21800000,22400000,23800000,18970000,21098000,23096000,-713000,-671000,-646000,-643000,-616000,65000,122000,383000,653000,919000,1262000,1585000,1788000,2322000,2642000,2953000,3080000,3307000,3754000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,14200000,14500000,16600000,19000000,22000000,25135000,25761000,26912000,25938000,26791000,25989000,25546000,24048000,26947000,26953000,30433000,31491000,29511000,31676000,33959000,34876000,38242000,42883000,47059000,47100000,38415000,41241000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,26500000,27000000,31900000,36000000,39316000,40869000,42190000,43654000,50461000,45612000,49654000,44058000,48838000,51223000,55382000,61533000,61989000,66725000,62452000,69167000,72095000,80542000,83896000,86620000,83641000,89138000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,818000,1182000,1768000,1306000,1239000,1525000,2147000,2017000,265000,323000,310000,374000,462000,603000,288000,246000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,30000000,26500000,27000000,31900000,36000000,39316000,40869000,42190000,43654000,50461000,46212000,50472000,45240000,50606000,52529000,56621000,63058000,64136000,68742000,62717000,69490000,72405000,80916000,84358000,87223000,83929000,89384000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013196003492/0000950131-96-003492-index.html,https://www.sec.gov/Archives/edgar/data/55529/000095013197004497/0000950131-97-004497-index.html,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013199004506/0000950131-99-004506-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/55529/000095013102002735/0000950131-02-002735-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312503022693/0001193125-03-022693-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312504119649/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312505139689/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312506146277/d10k.htm,https://www.sec.gov/Archives/edgar/data/55529/000119312507157322/0001193125-07-157322-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312508153581/0001193125-08-153581-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312509151570/0001193125-09-151570-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312510160114/0001193125-10-160114-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312511189439/0001193125-11-189439-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312512301987/0001193125-12-301987-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312513297072/0001193125-13-297072-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312514272359/0001193125-14-272359-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312515256731/0001193125-15-256731-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312516653120/0001193125-16-653120-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312517232965/0001193125-17-232965-index.html,https://www.sec.gov/Archives/edgar/data/55529/000119312518222169/0001193125-18-222169-index.html,https://www.sec.gov/Archives/edgar/data/55529/000005552919000040/0000055529-19-000040-index.html,https://www.sec.gov/Archives/edgar/data/55529/000005552920000010/0000055529-20-000010-index.htm,https://www.sec.gov/Archives/edgar/data/55529/000005552921000013/0000055529-21-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-7700000,- -,1700000,500000,100000,800000,-2500000,-200000,-1100000,400000,2300000,2600000,3400000,3561000,1277000,1900000,-342000,1462000,-147000,193000,1540000,3134000,4247000,3572000,1850000,1031000,3044000,3895000,3529000,3802000,4515000,5188000,1529000,-4687000,-3672000
74,Depreciation and Amortization,- -,- -,- -,1700000,1700000,1500000,1300000,1600000,1800000,1800000,1600000,1500000,1300000,1600000,1968000,2168000,2173000,2307000,2048000,2048000,2027000,1952000,1981000,2263000,2348000,2487000,2664000,2653000,2549000,2615000,2592000,2702000,2761000,2571000,2654000,2687000
75,Deferred Income Tax,- -,- -,- -,500000,200000,- -,-100000,-500000,-300000,-400000,-100000,-600000,300000,500000,-255000,355000,196000,717000,-565000,-561000,-66000,541000,940000,547000,-393000,223000,-1539000,-526000,864000,-513000,-335000,234000,1127000,202000,1895000,1662000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239000,238000,196000,192000,199000,355000,197000,251000,634000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,-1700000,2000000,2600000,500000,1372000,3213000,132000,-3159000,959000,-2236000,644000,1306000,3589000,2962000,1203000,2030000,1243000,1757000,2075000,517000,2300000,2878000,3057000,-3318000,-5453000,-895000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2674000,2295000,-5688000,1197000,-2091000,-3115000,-664000,4833000,-6087000
79,Inventory,- -,- -,- -,600000,100000,1000000,300000,- -,700000,200000,100000,-700000,-1800000,800000,-559000,-871000,1061000,-2649000,1673000,743000,-2318000,-9000,-1115000,-855000,-511000,-2116000,-1294000,-1443000,1265000,-807000,-2881000,691000,-2727000,456000,1876000,-1188000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,6700000,5000000,7000000,9600000,10100000,11472000,14685000,14817000,11658000,12617000,10381000,11025000,12331000,15920000,18882000,20085000,22115000,23358000,25115000,27190000,27707000,30007000,32885000,35942000,32624000,27171000,26276000
82,Other Non-Cash Items,- -,7700000,- -,900000,1400000,700000,-3600000,2400000,600000,-7300000,2900000,-1000000,-3400000,-4700000,-4451000,-4647000,58000,1776000,-6683000,4039000,-3044000,3366000,-6253000,-7919000,-2197000,-5319000,3524000,-3340000,-1552000,-4053000,-1280000,1134000,-9305000,1309000,9501000,496000
83,Cash Provided by Operating Activities,- -,- -,- -,4800000,3800000,2300000,-1600000,1000000,1900000,-300000,3100000,4200000,3400000,1300000,2195000,2366000,4459000,1299000,-2779000,3143000,-246000,8705000,3391000,2100000,4533000,1271000,6923000,3827000,8069000,2291000,7271000,11662000,3183000,2490000,4161000,912000
