,https://roic.ai/company/GIGA,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1204000,3661000,2462000,1764000,2156000,2369000,2149000,1142000,1289000,-681000,1455000,1633000,1331000,1306000,1753000,1665000,1388000,-788000,664000,725000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5157000,5460000,4158000,2839000,3026000,3475000,2798000,3336000,4909000,2704000,2095000,5342000,5602000,4286000,7704000,7018000,7809000,3913000,3372000,2904000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000,89000,77000,58000,165000,114000,62000,21000,- -,690000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433000,341000,237000,111000,- -,- -,429000,358000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10936000,15000,89000,77000,58000,165000,114000,62000,21000,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000,119000,6000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10936000,463000,519000,391000,227000,330000,228000,553000,572000,119000,696000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1062000,369000,379000,310000,222000,293000,171000,121000,67000,- -,- -,1229000,1505000,1040000,848000,564000,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,41000,93000,103000,35000,155000,224000,127000,209000,164000,114000,62000,1561000,1135000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6219000,5829000,4537000,3149000,3248000,3768000,2969000,3457000,4976000,3127000,2543000,6052000,6716000,5099000,8222000,7354000,8300000,4464000,1254000,3600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1997000,2454000,2911000,2911000,2911000,2911000,3613000,4806000,2922000,2922000
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12634000,- -,- -,- -,- -,- -,- -,- -,- -,- -,40000000,15132000,16224000,19975000,24104000,24390000,25200000,25557000,31952000,32306000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14027000,3265000,-3556000,- -,- -,- -,- -,- -,- -,9036000,6747000,-14278000,-18258000,-19931000,-24035000,-25581000,-28682000,-28548000,- -,-30981000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12695000,12752000,9812000,9098000,7393000,7392000,7332000,8943000,14485000,-41997000,- -,- -,- -,- -,- -,- -,- -,-30574000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26661000,15960000,9196000,9812000,9098000,7393000,7392000,7332000,8943000,23521000,6747000,3308000,877000,2955000,2980000,1720000,131000,1815000,4300000,4247000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32880000,21789000,13733000,12961000,12346000,11161000,10361000,10789000,13919000,26648000,9290000,9360000,7593000,8054000,11202000,9074000,8431000,6279000,5554000,7847000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2013000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32880000,21789000,13733000,12961000,12346000,11161000,10361000,10789000,13919000,26648000,9290000,9360000,7593000,8054000,11202000,9074000,8431000,6279000,7567000,7847000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/719274/000095014903001247/0000950149-03-001247-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095014904001146/0000950149-04-001146-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095014905000432/0000950149-05-000432-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095014906000327/0000950149-06-000327-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000095013407013646/0000950134-07-013646-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000071927408000010/0000719274-08-000010-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000071927409000020/0000719274-09-000020-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000071927410000012/0000719274-10-000012-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774911003462/0001437749-11-003462-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774912006228/0001437749-12-006228-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774913008202/0001437749-13-008202-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774914011759/0001437749-14-011759-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774915012040/0001437749-15-012040-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774916033427/0001437749-16-033427-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774917011543/0001437749-17-011543-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774918012069/0001437749-18-012069-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774919011070/0001437749-19-011070-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774920011940/0001437749-20-011940-index.htm,https://www.sec.gov/Archives/edgar/data/719274/000143774921015674/0001437749-21-015674-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,2600000,1500000,1000000,800000,1300000,200000,-1600000,900000,1600000,800000,-1900000,1139000,1901000,-2102000,-10762000,-6821000,612000,-988000,-1867000,-234000,-330000,1300000,14072000,-5852000,-4206000,-3742000,-1673000,-4104000,-1546000,-3101000,-1043000,-687000,-393000
74,Depreciation and Amortization,- -,- -,- -,300000,300000,300000,500000,900000,1300000,1500000,1600000,1500000,1400000,2200000,2111000,2120000,2216000,1954000,1041000,758000,452000,215000,128000,162000,146000,149000,133000,209000,284000,311000,321000,827000,1116000,264000,184000,253000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,200000,- -,-200000,-100000,-300000,-100000,-300000,-100000,-400000,-81000,-205000,-1531000,4295000,- -,- -,- -,- -,- -,- -,- -,-13256000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000,187000,311000,289000,310000,494000,827000,925000,286000,251000,245000,301000,354000
77,Change in Working Capital,- -,- -,- -,-600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23012000,-9390000,-5625000,1340000,-481000,-1576000,-149000,- -,1552000,3779000,-5894000,-3301000,-2294000,2003000,-1199000,-1157000,-1006000,2007000,2066000,-233000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-426000,-1229000,-1454000,4510000,-343000,-180000,-508000,225000,1175000,590000,-204000,-364000,131000
79,Inventory,- -,- -,- -,-1600000,-300000,800000,-1100000,1200000,-2100000,600000,2000000,1100000,200000,-1700000,-1443000,-1072000,3939000,1125000,3324000,663000,1444000,-1028000,833000,-401000,-394000,417000,-863000,140000,1239000,-44000,-2329000,883000,-676000,1172000,-527000,-445000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000,-338000,91000,-359000,175000,642000,-457000,915000,-817000,-111000,-249000,56000,241000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23012000,13622000,7997000,9337000,8856000,7280000,7131000,7131000,8683000,12462000,6568000,3267000,973000,2976000,1777000,620000,-386000,1621000,3687000,3454000
82,Other Non-Cash Items,- -,- -,- -,100000,1000000,100000,-1600000,2600000,-2700000,500000,2800000,700000,-3200000,-2300000,-1104000,-1865000,-17800000,11907000,9079000,-2947000,1773000,1822000,475000,-402000,-1653000,-6558000,10518000,5420000,2723000,-2010000,1012000,1534000,1123000,-2780000,-4223000,378000
83,Cash Provided by Operating Activities,- -,- -,- -,2400000,2500000,1600000,-300000,4600000,-1300000,100000,5200000,3500000,-1100000,-2400000,2065000,1951000,3795000,-1996000,-2326000,-237000,756000,-1406000,220000,-300000,1532000,-1503000,-806000,-1568000,-2535000,-542000,-3045000,-56000,-1617000,-1307000,-2359000,359000
84,CAPEX,- -,- -,- -,-300000,-200000,-800000,-900000,-800000,-700000,-700000,-400000,-600000,-800000,-1000000,-1361000,-1645000,-708000,-160000,-18000,-185000,-115000,-204000,-206000,-69000,-152000,-368000,-214000,-179000,-228000,-16000,-192000,-41000,-688000,- -,-123000,-94000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27600000,-36300000,-2300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26000000,37800000,8000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,-3700000,-4800000,- -,-1300000,- -,-800000,-200000,21000,-463000,616000,80000,110000,216000,-16000,2000,5000,1000,- -,- -,- -,- -,- -,- -,375000,850000,- -,- -,- -,- -
