,https://roic.ai/company/HNNA,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,495864,622582,1804363,4629080,5411000,7966000,7575000,3670000,-32000,1747000,2250000,1878000,9008000,14389000,20080000,24145000,24577000,24851000,16584000,11647000,11113000
16,EBITDA ratio,0.2962,0.2742,0.3769,0.4850,0.4510,0.4704,0.4713,0.3572,-0.0055,0.2262,0.2943,0.2656,0.3706,0.4168,0.4488,0.4697,0.4641,0.4552,0.3882,0.3488,0.3392
17,Operating Income,448289,500174,1783202,4773239,6173000,7952000,7133000,2736000,-190000,1623000,2147000,1782000,8929000,14146000,19814000,23790000,24346000,24475000,16021000,11319000,10879000
18,Operating Income ratio,0.2678,0.2203,0.3725,0.5001,0.5145,0.4696,0.4438,0.2663,-0.0327,0.2102,0.2809,0.2520,0.3673,0.4097,0.4429,0.4628,0.4597,0.4483,0.3751,0.3390,0.3321
19,Total Other Income Expenses (Gains),-248750,-177204,- -,-177433,-941000,-620000,-214000,19000,-49000,-39000,-64000,-50000,-777000,-1084000,-1011000,-1230000,-1097000,-1082000,-746000,-358000,2000
20,Income Before Tax,199539,322970,1783202,4595806,5232000,7332000,6919000,2755000,-239000,1584000,2083000,1732000,8152000,13062000,18803000,22560000,23249000,23393000,15275000,10961000,10881000
21,Income Before Tax Ratio,0.1192,0.1423,0.3725,0.4815,0.4361,0.4330,0.4305,0.2681,-0.0411,0.2051,0.2725,0.2449,0.3354,0.3783,0.4203,0.4388,0.4390,0.4285,0.3576,0.3283,0.3321
22,Income Tax expense (Gain),800,14273,721214,1830800,2093000,2929000,2786000,1144000,-44000,671000,868000,761000,3332000,5395000,7414000,8193000,8307000,2778000,4244000,3120000,2979000
23,Net Income,198739,308697,1061988,2765006,3139000,4403000,4133000,1611000,-195000,913000,1215000,971000,4820000,7667000,11389000,14367000,14942000,20615000,11031000,7841000,7902000
24,Net Income ratio,0.1187,0.1360,0.2218,0.2897,0.2616,0.2600,0.2572,0.1568,-0.0335,0.1182,0.1589,0.1373,0.1983,0.2221,0.2546,0.2795,0.2822,0.3776,0.2582,0.2348,0.2412
25,EPS,0.05,0.05,0.13,0.34,0.38,0.52,0.49,0.19,-0.02,0.11,0.14,0.11,0.55,0.87,1.29,1.89,1.94,2.64,1.42,1.07,1.07
26,EPS Diluted,0.04,0.05,0.13,0.32,0.36,0.49,0.47,0.19,-0.02,0.11,0.14,0.11,0.55,0.87,1.27,1.86,1.92,2.61,1.42,1.06,1.07
27,Weighted Average Shares Outstanding,4192151,6794689,8271253,8234025,8289843,8411235,8454670,8472876,8510442,8552670,8592501,8614396,8715646,8784463,8831094,7600582,7691937,7808421,7757785,7352495,7367948
28,Weighted Average Shares Outstanding Diluted,4791029,6794689,8271253,8587634,8824106,9017901,8889436,8622418,8510442,8575174,8615442,8631504,8715646,8845099,8941033,7717965,7790527,7890758,7771561,7378729,7409112
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1145255/000119312505237571/0001193125-05-237571-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312506248787/0001193125-06-248787-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312507260384/0001193125-07-260384-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312508248938/0001193125-08-248938-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312509247413/0001193125-09-247413-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312510273668/0001193125-10-273668-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312511336242/0001193125-11-336242-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312512493854/0001193125-12-493854-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312513462278/0001193125-13-462278-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312514431028/0001193125-14-431028-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312515390818/0001193125-15-390818-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312516782532/0001193125-16-782532-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312517360245/0001193125-17-360245-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312518336590/0001193125-18-336590-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312519305328/0001193125-19-305328-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312520307086/0001193125-20-307086-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312521340363/0001193125-21-340363-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2802117,4568323,6291000,10360000,13760000,12788000,5747000,8054000,8362000,8730000,8406000,7645000,3086000,3535000,15700000,25395000,24687000,9955000,15836000
32,Short-Term Investments,- -,- -,4372,4582,5000,5000,6000,675000,565000,624000,6000,6000,7000,7000,7000,8000,8000,9000,9000,9000,10000
33,Cash and Short-Term Investments,- -,- -,2806489,4572905,6296000,10365000,13766000,13463000,6312000,8678000,8368000,8736000,8413000,7652000,3093000,3543000,15708000,25404000,24696000,9964000,15846000
34,Net Receivables,- -,- -,562743,831371,1218000,1408000,1165000,- -,- -,- -,548000,643000,2402000,3142000,4052000,4230000,4909000,4672000,3683000,2781000,3072000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,89417,323000,507000,483000,677000,926000,326000,418000,370000,867000,1387000,2267000,2362000,2283000,668000,633000,637000,788000
37,Total Current Assets,- -,- -,- -,5493693,7837000,12280000,15414000,14140000,7238000,9004000,9334000,9749000,11682000,12181000,9412000,10135000,22900000,30744000,29012000,13382000,19706000
38,PP&E,- -,- -,46212,88092,125000,383000,337000,301000,222000,180000,136000,148000,258000,240000,319000,296000,254000,382000,361000,570000,1321000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,1481000,943000,404000,19406000,22220000,22284000,22284000,22557000,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,1481000,943000,404000,19406000,22220000,22284000,22284000,22557000,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,5637943,14142520,19406000,19406000,19406000,417000,366000,364000,323000,404000,- -,- -,- -,- -,- -,- -,- -,9000,- -
43,Tax Assets,- -,- -,51000,126900,145000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,62674,113000,95000,143000,71000,53000,67000,60000,44000,62794000,62894000,63402000,74949000,74773000,78354000,80835000,80825000,80878000
45,Total Non-Current Assets,- -,- -,- -,14420186,21270000,20827000,20290000,20195000,22861000,22895000,22803000,23153000,63052000,63134000,63721000,75245000,75027000,78736000,81196000,81404000,82199000
46,Other Assets,- -,- -,9148863,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,9148863,19913879,29107000,33107000,35704000,34335000,30099000,31899000,32137000,32902000,74734000,75315000,73133000,85380000,97927000,109480000,110208000,94786000,101905000
48,Accounts Payable,- -,- -,633333,1416505,1818000,- -,1951000,1238000,- -,1005000,873000,1087000,- -,- -,- -,- -,- -,- -,- -,3813000,- -
49,Short-Term Debt,- -,- -,- -,1128721,2091000,2091000,2091000,2102000,1973000,623000,625000,625000,1840000,3750000,4375000,4375000,4228000,4228000,4327000,330000,359000
50,Tax Payable,- -,- -,- -,772,- -,- -,68000,- -,- -,18000,- -,48000,44000,- -,1097000,383000,676000,558000,672000,949000,1050000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11516000,- -
52,Other Current Liabilities,- -,- -,- -,772,- -,2248000,137000,- -,1394000,18000,24000,135000,10629000,3680000,5890000,6993000,8231000,7807000,7036000,-10567000,5201000
53,Total Current Liabilities,- -,- -,- -,2545998,3909000,4339000,4179000,3340000,3367000,1646000,1522000,1847000,12469000,7430000,10265000,11368000,12459000,12035000,11363000,5092000,5560000
54,Long-Term Debt,- -,- -,527912,6207967,10690000,8599000,6508000,4417000,- -,2552000,1927000,1302000,15027000,22972000,30625000,26250000,21728000,17500000,13048000,- -,646000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,35000,26000,4000,24000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,151000,452200,829000,1219000,1627000,2029000,2607000,3177000,3848000,4529000,5825000,7499000,9148000,10431000,12210000,8965000,10269000,11516000,12437000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11626000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,678912,6660167,11519000,9818000,8170000,6472000,2611000,5753000,5775000,5831000,32478000,30471000,39773000,36681000,33938000,26465000,23317000,11516000,13083000
59,Other Liabilities,- -,- -,1991157,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,330000,1005000
61,Total Liabilities,- -,- -,1312245,9206165,15428000,14157000,12349000,9812000,5978000,7399000,7297000,7678000,44947000,37901000,50038000,48049000,46397000,38500000,34680000,16608000,18643000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,6788205,6881205,6951000,7551000,7921000,- -,- -,- -,- -,- -,9948000,10852000,11654000,13279000,14943000,16783000,17673000,18705000,19964000
64,Retained Earnings,- -,- -,1024405,3789411,6683000,10747000,14417000,15513000,14801000,15192000,15462000,15748000,19839000,26562000,11441000,24052000,36587000,54197000,57855000,59473000,63298000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-95000,-146000,-148000,-189000,-108000,- -,-554196,-733000,-940000,-922000,-1154000,-1379000,-1618000,- -
66,Other Total Stockholders Equity,- -,- -,24008,37098,45000,652000,1017000,9284000,9686000,9691019,9775000,9836000,- -,554196,733000,940000,922000,1154000,1379000,1618000,- -
67,Total Stockholders Equity,- -,- -,7836618,10707714,13679000,18950000,23355000,24523000,24121000,24500000,24840000,25224000,29787000,37414000,23095000,37331000,51530000,70980000,75528000,78178000,83262000
68,Total Liabilities And Stockholders Equity,- -,- -,9148863,19913879,29107000,33107000,35704000,34335000,30099000,31899000,32137000,32902000,74734000,75315000,73133000,85380000,97927000,109480000,110208000,94786000,101905000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,9148863,19913879,29107000,33107000,35704000,34335000,30099000,31899000,32137000,32902000,74734000,75315000,73133000,85380000,97927000,109480000,110208000,94786000,101905000
71,SEC Link,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1145255/000119312505237571/0001193125-05-237571-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312506248787/0001193125-06-248787-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312507260384/0001193125-07-260384-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312508248938/0001193125-08-248938-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312509247413/0001193125-09-247413-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312510273668/0001193125-10-273668-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312511336242/0001193125-11-336242-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312512493854/0001193125-12-493854-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312513462278/0001193125-13-462278-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312514431028/0001193125-14-431028-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312515390818/0001193125-15-390818-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312516782532/0001193125-16-782532-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312517360245/0001193125-17-360245-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312518336590/0001193125-18-336590-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312519305328/0001193125-19-305328-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312520307086/0001193125-20-307086-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312521340363/0001193125-21-340363-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,198739,308697,1061988,2765006,3139000,4403000,4133000,1611000,-195000,913000,1215000,971000,4820000,7667000,11389000,14367000,14942000,20615000,11031000,7841000,7902000
74,Depreciation and Amortization,296325,299612,21161,33274,179000,634000,656000,527000,120000,128000,102000,95000,188000,242000,265000,353000,219000,231000,225000,239000,232000
75,Deferred Income Tax,- -,- -,119695,238390,367000,275000,364000,480000,562000,693000,626000,678000,1598000,1921000,1486000,1815000,1717000,-2576000,1304000,1247000,921000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-24000,- -,- -,- -,- -,2118000,2413000,2212000,1782000,1438000
77,Change in Working Capital,237438,158505,-161378,2947695,980305,4013000,3294000,-435000,-6929000,3487000,454000,90000,-8689000,5538000,-5604000,-380000,11674000,8268000,-1060000,-9359000,-36000
78,Accounts Receivable,- -,-137114,-318000,-321853,-643000,-112000,247000,- -,- -,- -,- -,- -,-1759000,-740000,-910000,-178000,-95000,66000,968000,888000,-392000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,-27202,474949,783171,401000,430000,-161000,- -,- -,- -,- -,- -,1897000,453000,1161000,1879000,775000,-270000,-1545000,- -,- -
81,Other Working Capital,2873,161378,- -,2947695,3928000,7941000,11235000,10800000,3871000,7358000,7812000,7902000,-787000,4751000,-853000,-1233000,10441000,18709000,17649000,8290000,- -
82,Other Non-Cash Items,1785,-408397,317860,-2485735,-1223305,-3052000,-2626000,33000,7315000,-3184000,-519000,227000,8241000,-5955000,6920000,2032000,-11477000,-7420000,680000,8873000,-71000
83,Cash Provided by Operating Activities,734287,358417,1359326,3498630,3442000,6273000,5821000,2216000,873000,2037000,1878000,2037000,6158000,9413000,14456000,18187000,19193000,21531000,14392000,10623000,10386000
84,CAPEX,-2269,-19978,-25050,-68491,-68000,-370000,-55000,-70000,-2839000,-133000,-52000,-374000,-253000,-140000,-258000,-184000,-176000,-360000,-204000,-172000,-249000
85,Acquisitions Net,- -,- -,-629143,-8504577,- -,- -,- -,-512000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-154,-11444,-629218,-8504657,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,629143,8504577,-6879000,- -,- -,- -,-2814000,-64000,- -,-273000,-20680000,-19152000,-204000,-11678000,-269000,-3535000,-1770000,-710000,- -
89,Cash Used for Investing Activites,-2423,-31422,-654268,-8573148,-6947000,-370000,-55000,-582000,-2839000,-133000,-52000,-374000,-20529000,-19292000,-462000,-11862000,-445000,-3895000,-1974000,-882000,-249000
90,Debt Repayment,-34118,-400,- -,-1092272,-1289000,-2091000,-2091000,-2091000,-4558000,-825000,-573000,-625000,-1585000,-3432000,-26722000,-4375000,-4375000,-4375000,-4375000,-17500000,- -
91,Common Stock Issued,- -,5747220,- -,93000,70000,568000,185000,- -,- -,- -,- -,- -,- -,- -,3000,15000,3000,16000,20000,22000,38000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-2000,- -,- -,- -,- -,- -,- -,- -,-25056000,- -,-1000,-660000,-5148000,-3028000,-322000
93,Dividends Paid,- -,- -,- -,- -,-246000,-318000,-456000,-515000,-517000,-522000,-945000,-685000,-729000,-898000,-1386000,-1500000,-2210000,-2883000,-3539000,-3967000,-3972000
94,Other Financing Activites,-675234,-4004918,- -,7839996,6693000,7000,-2000,- -,- -,1750000,- -,15000,16361000,13448000,34608000,-16000,- -,-39000,-84000,- -,- -
95,Cash Used/Provided by Financing Activities,-709352,1741902,- -,6840724,5228000,-1834000,-2366000,-2606000,-5075000,403000,-1518000,-1295000,14047000,9118000,-18553000,-5876000,-6583000,-7941000,-13126000,-24473000,-4256000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,22512,2068897,705058,1766206,1723000,4069000,3400000,-972000,-7041000,2307000,308000,368000,-324000,-761000,-4559000,449000,12165000,9695000,-708000,-14732000,5881000
98,Cash at the End of Period,28162,2097059,2802117,4568323,6291000,10360000,13760000,12788000,5747000,8054000,8362000,8730000,8406000,7645000,3086000,3535000,15700000,25395000,24687000,9955000,15836000
99,Cash at the Beginning of Period,5650,28162,2097059,2802117,4568000,6291000,10360000,13760000,12788000,5747000,8054000,8362000,8730000,8406000,7645000,3086000,3535000,15700000,25395000,24687000,9955000
100,Free Cash Flow,732018,338439,1334276,3430139,3374000,5903000,5766000,2146000,-1966000,1904000,1826000,1663000,5905000,9273000,14198000,18003000,19017000,21171000,14188000,10451000,10137000
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1145255/000119312505237571/0001193125-05-237571-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312506248787/0001193125-06-248787-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312507260384/0001193125-07-260384-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312508248938/0001193125-08-248938-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312509247413/0001193125-09-247413-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312510273668/0001193125-10-273668-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312511336242/0001193125-11-336242-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312512493854/0001193125-12-493854-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312513462278/0001193125-13-462278-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312514431028/0001193125-14-431028-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312515390818/0001193125-15-390818-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312516782532/0001193125-16-782532-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312517360245/0001193125-17-360245-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312518336590/0001193125-18-336590-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312519305328/0001193125-19-305328-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312520307086/0001193125-20-307086-index.htm,https://www.sec.gov/Archives/edgar/data/1145255/000119312521340363/0001193125-21-340363-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
