,https://roic.ai/company/ISIG,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-1900000,-800000,1100000,800000,-300000,-800000,-500000,-2700000,-3100000,-1200000,-654243,299431,520418,-3959000,-4562000,-3069000,2603000,500000,308000,4276000,1283000,82389000,-1109000,3483000,1686000,3696000,-650000,439000,3050000,-3840000,-4014000,-3570000
16,EBITDA ratio,-2.1111,-0.1212,0.0982,0.0563,-0.0184,-0.0516,-0.0340,-0.2030,-0.3563,-0.1290,-0.0510,0.0150,0.0210,-0.1515,-0.2173,-0.1566,0.1189,0.0205,0.0098,0.1486,0.0428,4.7809,-0.0550,0.1255,0.0641,0.1310,-0.0261,0.0166,0.0918,-0.1749,-0.2272,-0.1830
17,Operating Income,-2300000,-1400000,400000,200000,-900000,-1500000,-1000000,-3200000,-2800000,-1300000,-808976,118769,542518,-4316000,-4867000,-3317000,2314000,81000,-299000,3745000,905000,81632000,-2284000,2397000,467000,2464000,-2076000,-908000,1832000,-5629000,-4601000,-4791000
18,Operating Income ratio,-2.5556,-0.2121,0.0357,0.0141,-0.0552,-0.0968,-0.0680,-0.2406,-0.3218,-0.1398,-0.0631,0.0060,0.0219,-0.1651,-0.2319,-0.1693,0.1057,0.0033,-0.0095,0.1302,0.0302,4.7370,-0.1132,0.0864,0.0178,0.0873,-0.0833,-0.0344,0.0551,-0.2564,-0.2604,-0.2457
19,Total Other Income Expenses (Gains),-100000,100000,200000,200000,- -,- -,100000,-200000,-400000,- -,21853,2061,-200414,-2140000,-1005000,-9000,105000,153000,180000,86000,17000,63000,27000,28000,42000,76000,-24000,-1000,51000,142000,110000,1257000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120830,- -,- -,- -,- -,- -,234000,-119000,3831000,922000,81695000,-2257000,2425000,509000,2540000,-2100000,-909000,1883000,-5487000,-4491000,-3534000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0061,- -,- -,- -,- -,- -,0.0096,-0.0038,0.1332,0.0307,4.7406,-0.1119,0.0874,0.0193,0.0900,-0.0843,-0.0344,0.0567,-0.2499,-0.2542,-0.1812
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2109000,2138000,115000,-6704000,30606000,-633000,1046000,298000,1006000,-814000,-270000,484000,-466000,-191000,- -
23,Net Income,-2200000,-1300000,500000,400000,-900000,-1500000,-1000000,-3400000,-3400000,-1400000,-823569,120830,332698,-4252000,-4858000,-3308000,2396000,2343000,-2257000,3716000,7626000,51089000,-1624000,1379000,211000,1534000,-1286000,-639000,1399000,-5021000,-4300000,-3534000
24,Net Income ratio,-2.4444,-0.1970,0.0446,0.0282,-0.0552,-0.0968,-0.0680,-0.2556,-0.3908,-0.1505,-0.0642,0.0061,0.0134,-0.1627,-0.2314,-0.1688,0.1094,0.0959,-0.0719,0.1292,0.2541,2.9646,-0.0805,0.0497,0.0080,0.0544,-0.0516,-0.0242,0.0421,-0.2287,-0.2434,-0.1812
25,EPS,-6.37,-2.17,0.70,0.49,-1.19,-1.89,-1.26,-3.50,-3.08,-1.12,-0.56,0.07,0.21,-2.45,-2.66,-1.54,1.12,1.05,-1.05,1.75,3.43,23.45,-0.84,0.70,0.14,0.91,-0.77,-0.42,0.84,-2.94,-2.48,-2.01
26,EPS Diluted,-6.37,-2.17,0.70,0.49,-1.19,-1.89,-1.30,-3.50,-3.08,-1.12,-0.56,0.07,0.21,-2.45,-2.66,-1.54,1.05,0.98,-1.05,1.61,3.15,23.03,-0.84,0.70,0.14,0.91,-0.77,-0.42,0.84,-2.94,-2.48,-2.01
27,Weighted Average Shares Outstanding,345369,599078,714285,816326,756302,793650,793650,970068,1102073,1261077,1411362,1495723,1553083,1751283,1812426,2143140,2156140,2201569,2211997,2162712,2226997,2175569,1943569,1903426,1507141,1720569,1661284,1673855,1682284,1705855,1733999,1760000
28,Weighted Average Shares Outstanding Diluted,345369,599078,714285,816326,756302,793650,793650,977443,1102073,1261077,1411362,1648535,1685689,1751283,1812426,2143140,2222283,2312283,2211997,2263712,2417854,2215997,1943569,1917426,1507141,1745141,1661284,1673855,1715283,1705855,1733999,1760000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875355/000089710104000596/0000897101-04-000596-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710105000808/0000897101-05-000808-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710106000677/0000897101-06-000677-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710107000724/0000897101-07-000724-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710108000743/0000897101-08-000743-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710109000653/0000897101-09-000653-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710110000659/0000897101-10-000659-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710111000415/0000897101-11-000415-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710112000402/0000897101-12-000402-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710113000383/0000897101-13-000383-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000110465914016345/0001104659-14-016345-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000110465915016689/0001104659-15-016689-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000110465916106382/0001104659-16-106382-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495417001738/0001654954-17-001738-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495418002587/0001654954-18-002587-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495419002427/0001654954-19-002427-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495420002434/0001654954-20-002434-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495421002616/0001654954-21-002616-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495422002804/0001654954-22-002804-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,400000,- -,- -,100000,1106160,2209448,6471581,5225000,6156000,2711000,3785000,7393000,11052000,8797000,13196000,23202000,20271000,21763000,7237000,8523000,12267000,4695000,10160000,7510000,7128000,3766000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,160000,80000,- -,- -,- -,- -,- -,- -,- -,4400000,500000,- -,- -,- -,9698000,9490000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,400000,- -,- -,1300000,1266160,2289448,6471581,5225000,6156000,2711000,3785000,7393000,11052000,13197000,13696000,23202000,20271000,21763000,16935000,18013000,12267000,4695000,10160000,7510000,7128000,3766000
34,Net Receivables,- -,- -,- -,- -,- -,- -,2600000,2700000,1300000,1300000,2089786,2995527,5263701,3240000,2234000,2294000,2925000,2155000,2767000,2890000,3227000,2663000,4584000,4298000,7779000,8393000,10654000,12224000,8890000,7685000,5869000,5247000
35,Inventory,- -,- -,- -,- -,- -,- -,2000000,1600000,1200000,1200000,1242402,843965,975876,710000,495000,448000,452000,397000,442000,389000,414000,321000,310000,307000,523000,391000,325000,301000,353000,322000,85000,19000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,500000,1000000,1300000,- -,216792,146002,77248,476000,516000,811000,888000,1047000,238000,394000,511000,1670000,994000,495000,767000,492000,689000,415000,306000,375000,711000,1322000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,5500000,5300000,3800000,3800000,4815140,6274942,12788406,9651000,9401000,6264000,8050000,10992000,14499000,16870000,17848000,27856000,26159000,26863000,26004000,27289000,23935000,17635000,19709000,15892000,13793000,10354000
38,PP&E,- -,- -,- -,- -,- -,- -,1000000,500000,300000,200000,250053,355959,892738,732000,520000,409000,477000,375000,1054000,927000,975000,2759000,2149000,1753000,1467000,1584000,2430000,2670000,3268000,726000,112000,296000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3041186,960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3041186,960000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9698000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1967000,- -,- -,6581000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-100000,100000,- -,- -,- -,- -,- -,333000,- -,- -,56000,6000,40000,42000,227000,3979000,3398000,2956000,-6642000,2841000,1863000,1383000,976000,372000,155000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,900000,600000,300000,200000,250053,355959,3933924,2025000,520000,409000,533000,2348000,1094000,969000,7783000,6738000,5547000,4709000,4523000,4425000,4293000,4053000,4244000,1098000,267000,296000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,6400000,5900000,4100000,4000000,5065193,6630901,16722330,11676000,9921000,6673000,8583000,13340000,15593000,17839000,25631000,34594000,31706000,31572000,30527000,31714000,28228000,21688000,23953000,16990000,14060000,10650000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,700000,400000,500000,400000,988707,2140452,3465746,2092000,1929000,1770000,1345000,1369000,2770000,2253000,2335000,2444000,2122000,2636000,3088000,3355000,2530000,3232000,3334000,3036000,3148000,2539000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,800000,500000,100000,900000,602852,511619,- -,- -,228000,132000,427000,266000,202000,219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,212000,520000,76000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,748000,- -,22000,82000,264000,- -,- -,- -,- -,- -,4000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151214,1077002,633000,292000,612000,436000,305000,1158000,1105000,134000,91000,402000,261000,172000,164000,62000,372000,302000,140000,180000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,500000,1000000,900000,700000,861402,588282,921504,1129000,2139000,1158000,825000,1301000,3973000,2577000,2874000,2650000,1844000,1763000,2000000,2473000,9493000,2198000,2722000,1109000,1251000,4023000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,2000000,1900000,1500000,2000000,2452961,3391567,5464252,3854000,4588000,3672000,3033000,3241000,8103000,6154000,5343000,5185000,4368000,4660000,5260000,5992000,12085000,5802000,6358000,4497000,5099000,6638000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,300000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,590000,108000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,326000,413000,284000,222000,199000,205000,245000,504000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,-100000,- -,100000,- -,- -,- -,- -,- -,- -,929000,688000,422000,- -,- -,- -,1224000,430000,458000,486000,803000,829000,800000,771000,699000,677000,-5927000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,200000,200000,200000,- -,- -,- -,- -,- -,- -,929000,688000,422000,219000,- -,- -,1550000,843000,742000,708000,1002000,1034000,1045000,1275000,699000,1267000,-5819000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000,56000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,2200000,2100000,1700000,2000000,2452961,3391567,5464252,3854000,4588000,4601000,3721000,3663000,8322000,6154000,5343000,6735000,5211000,5402000,5968000,6994000,13119000,6847000,7633000,5196000,6366000,819000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,102874,106141,117673,124000,150000,150000,152000,156000,151000,152000,159000,136000,136000,128000,122000,116000,117000,119000,118000,121000,122000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-6000000,-9400000,-13800000,-14200000,-15005254,-14884424,-14551726,-19077000,-23935000,-27243000,-24847000,-22504000,-24761000,-21045000,-13419000,5305000,3681000,5060000,5271000,6805000,- -,-639000,760000,-4261000,-8561000,-13121000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-2400000,-3000000,-3000000,-2700000,-2242887,-2411900,-2281838,-2252000,-2374000,-2330000,-2508000,-2607000,-2323000,-2672000,-2952000,-3050000,-3798000,-3944000,-11000,-11000,- -,-5121000,-5310000,-4955000,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,12600000,16200000,19200000,18800000,19757499,20429517,27973969,29027000,31492000,31495000,32065000,34632000,34204000,35250000,36500000,25468000,26476000,24926000,19177000,17810000,14992000,20482000,20752000,20889000,16133000,16314000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,4200000,3800000,2400000,2000000,2612232,3239334,11258078,7822000,5333000,2072000,4862000,9677000,7271000,11685000,20288000,27859000,26495000,26170000,24559000,24720000,15109000,14841000,16320000,11794000,7694000,3193000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,6400000,5900000,4100000,4000000,5065193,6630901,16722330,11676000,9921000,6673000,8583000,13340000,15593000,17839000,25631000,34594000,31706000,31572000,30527000,31714000,28228000,21688000,23953000,16990000,14060000,4012000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6638000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,6400000,5900000,4100000,4000000,5065193,6630901,16722330,11676000,9921000,6673000,8583000,13340000,15593000,17839000,25631000,34594000,31706000,31572000,30527000,31714000,28228000,21688000,23953000,16990000,14060000,10650000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875355/000089710104000596/0000897101-04-000596-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710105000808/0000897101-05-000808-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710106000677/0000897101-06-000677-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710107000724/0000897101-07-000724-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710108000743/0000897101-08-000743-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710109000653/0000897101-09-000653-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710110000659/0000897101-10-000659-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710111000415/0000897101-11-000415-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710112000402/0000897101-12-000402-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000089710113000383/0000897101-13-000383-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000110465914016345/0001104659-14-016345-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000110465915016689/0001104659-15-016689-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000110465916106382/0001104659-16-106382-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495417001738/0001654954-17-001738-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495418002587/0001654954-18-002587-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495419002427/0001654954-19-002427-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495420002434/0001654954-20-002434-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495421002616/0001654954-21-002616-index.htm,https://www.sec.gov/Archives/edgar/data/875355/000165495422002804/0001654954-22-002804-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2200000,-1300000,500000,400000,-900000,-1500000,-1000000,-3400000,-3400000,-1400000,-823569,120830,332698,-4252000,-4858000,-3308000,2396000,2343000,-2257000,3716000,7626000,51089000,-1624000,1379000,211000,1534000,-1286000,-639000,1399000,-5021000,-4300000,-3534000
74,Depreciation and Amortization,300000,500000,600000,400000,600000,700000,500000,700000,300000,200000,169326,178601,187720,293000,296000,239000,207000,266000,370000,405000,339000,694000,1148000,1058000,1177000,1156000,1450000,1348000,1167000,1647000,477000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2131000,2131000,- -,-6732000,5545000,92000,178000,37000,29000,-35000,40000,259000,-504000,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491000,537000,711000,721000,342000,533000,403000,353000,204000,387000,410000,422000,172000,- -
77,Change in Working Capital,-300000,- -,- -,- -,- -,- -,3500000,-100000,-1100000,-500000,562179,521196,4440779,-1527154,-984000,-2221000,2425000,2734000,-1355000,4320000,1789000,10166000,-880000,412000,-1459000,553000,-9447000,-17000,1518000,-1956000,-2701000,-4978000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-612000,-123000,-337000,564000,-1121000,-503000,-3277000,-890000,-1549000,-2057000,3292000,1161000,2041000,- -
79,Inventory,-300000,-800000,100000,-300000,-500000,-100000,- -,300000,300000,-100000,-13217,398437,-131911,266000,215000,47000,-4000,55000,-45000,53000,-25000,93000,11000,3000,-216000,132000,66000,24000,-52000,31000,135000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1401000,-496000,82000,109000,-322000,514000,452000,-73000,-885000,697000,95000,-224000,115000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,3500000,3400000,2300000,1800000,2362179,2883375,7324154,5797000,4813000,2592000,5017000,7751000,6396000,10716000,12505000,22671000,21791000,22203000,20744000,21297000,11850000,11833000,13351000,11395000,8694000,3716000
82,Other Non-Cash Items,100000,-1000000,-500000,-900000,-100000,-300000,-3800000,300000,3400000,400000,-733733,82421,-4062867,3607154,3964000,2022000,-3667000,512000,6235000,-6514000,-2894000,-9305000,-1789000,419000,-2017000,-407000,5126000,661000,2358000,3101000,4772000,8512000
83,Cash Provided by Operating Activities,-2100000,-1800000,600000,-100000,-400000,-1100000,-800000,-2500000,-800000,-1300000,-825797,903048,898330,-1879000,-1582000,-3268000,1361000,3724000,5615000,2464000,839000,58910000,-2711000,3979000,-1648000,3218000,-3988000,1780000,7111000,-2311000,-1580000,- -
84,CAPEX,-800000,-200000,-500000,-800000,-1000000,-300000,-300000,-200000,-100000,-100000,-184693,-274919,-835640,-132000,-84000,-128000,-275000,-164000,-1049000,-278000,-387000,-6195000,-138000,-265000,-969000,-444000,-1467000,-1159000,-1337000,-398000,-61000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,- -
86,Purchases of Investments,- -,- -,-1000000,-3500000,-100000,-500000,-1100000,-1800000,-1700000,-900000,-160000,- -,- -,- -,- -,- -,- -,- -,- -,-6300000,-3800000,- -,- -,- -,-12474000,-5441000,- -,- -,- -,-4981000,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,2000000,1600000,1000000,1500000,1500000,1000000,900000,240000,80000,80000,- -,- -,- -,- -,- -,- -,1900000,7700000,500000,- -,- -,2765000,5649000,9501000,- -,- -,4981000,- -,- -
88,Other Investing Activites,-100000,- -,-100000,-100000,- -,- -,-100000,- -,100000,-100000,- -,- -,-3056186,-52000,- -,- -,- -,- -,- -,- -,- -,-4000000,- -,15000,-528000,30000,5000,- -,35000,- -,- -,- -
89,Cash Used for Investing Activites,-900000,-200000,-1600000,-2400000,500000,200000,- -,-500000,-700000,-200000,-104693,-194919,-3811826,-184000,-84000,-128000,-275000,-164000,-1049000,-4678000,3513000,-5695000,-138000,-250000,-10664000,-206000,8039000,-1159000,-1302000,-398000,139000,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-267000,-202000,-219000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,4100000,5100000,- -,- -,100000,100000,- -,3000000,2000000,900000,1333694,486392,7687248,816000,2369000,47000,135000,475000,98000,161000,735000,3126000,131000,91000,216000,48000,- -,- -,49000,108000,20000,5000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-738000,- -,-469000,-17369000,-213000,-2328000,-2450000,-1762000,- -,-16000,-298000,- -,- -,16000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31335000,- -,- -,- -,- -,- -,-8177000,-14000,-14000,-14000,- -
94,Other Financing Activites,100000,- -,100000,- -,- -,500000,600000,-400000,-400000,700000,-286135,-91233,-511619,- -,228000,-96000,-147000,-427000,- -,- -,- -,2369000,- -,- -,20000,-12000,-307000,- -,-81000,-35000,1053000,- -
95,Cash Used/Provided by Financing Activities,4200000,5100000,- -,- -,100000,600000,600000,2600000,1600000,1600000,1047559,395159,7175629,816000,2597000,-49000,-12000,48000,-907000,-41000,47000,-43209000,-82000,-2237000,-2214000,-1726000,-307000,-8193000,-344000,59000,1059000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,4200000,5100000,- -,- -,100000,600000,600000,2600000,1600000,1600000,117069,1103288,4262133,-1247000,931000,-3445000,1074000,3608000,3659000,-2255000,4399000,10006000,-2931000,1492000,-14526000,1286000,3744000,-7572000,5465000,-2650000,-382000,- -
