,https://roic.ai/company/BW,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,8788000,-645377000,-134542000,65252000,328046000,259802000,461390000,-52273000,-361883000,-371032000
83,Cash Provided by Operating Activities,58195000,-12323000,-28672000,145205000,2273000,-189833000,-281885000,-176317000,-40806000,-111000000
84,CAPEX,-25074000,-11588000,-17926000,-35397000,-22450000,-14278000,-5473000,-3804000,-8230000,-6000000
85,Acquisitions Net,-6172000,-6884000,-132603000,-7424000,-153041000,-52547000,183780000,7445000,8000000,-55000000
86,Purchases of Investments,-266232000,-11111000,-5532000,-14008000,-45217000,-29252000,-34836000,-8914000,-29068000,-12000000
87,Sales/Maturities of Investments,181210000,3973000,12578000,5266000,29846000,35484000,35220000,11547000,26563000,15000000
88,Other Investing Activites,15121000,11926000,-6808000,5711000,10020000,-1551000,534000,2505000,4954000,25000000
89,Cash Used for Investing Activites,-101147000,-13684000,-149569000,-45852000,-180842000,-62144000,179225000,8779000,2219000,-33000000
90,Debt Repayment,-4644000,-212000,-4539000,-1080000,-216048000,-551819000,-734512000,-299871000,-173600000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,1243000,1392000,- -,160841000
92,Common Stock Repurchased,- -,- -,- -,-25408000,-78410000,-17641000,-805000,-117000,-283000,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9127000
94,Other Financing Activites,-178127000,47987000,216239000,80098000,211028000,775585000,816686000,465614000,217981000,151098000
95,Cash Used/Provided by Financing Activities,-182771000,47775000,211700000,53610000,-83430000,206125000,82612000,167018000,44098000,302812000
96,Effect of Forex Changes on Cash,2813000,-1012000,-12852000,-6407000,-7306000,6632000,-2320000,-2818000,4971000,1217000
97,Net Change In Cash,-222910000,15782000,20607000,146533000,-269305000,-39220000,-9418000,-3338000,10482000,159292000
98,Cash at the End of Period,181268000,191318000,219085000,365192000,95887000,56667000,60279000,56941000,67423000,226715000
99,Cash at the Beginning of Period,404178000,175536000,198478000,218659000,365192000,95887000,69697000,60279000,56941000,67423000
100,Free Cash Flow,33121000,-23911000,-46598000,109808000,-20177000,-204111000,-287358000,-180121000,-49036000,-117000000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1630805/000163080516000016/0001630805-16-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1630805/000163080517000017/0001630805-17-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1630805/000163080518000016/0001630805-18-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1630805/000163080519000020/0001630805-19-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1630805/000163080520000026/0001630805-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1630805/000163080521000004/0001630805-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1630805/000163080522000008/0001630805-22-000008-index.htm
102,false,,,,,,,,,,
