,https://roic.ai/company/OSIS,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1039065/000094420998001696/0000944209-98-001696-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000094420999001528/0000944209-99-001528-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000094420900001537/0000944209-00-001537-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000102140801507509/0001021408-01-507509-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000095016802002855/0000950168-02-002855-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312503055292/0001193125-03-055292-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312504155683/0001193125-04-155683-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312505193607/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000119312506195103/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000119312507200115/0001193125-07-200115-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312508186838/0001193125-08-186838-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312509183269/0001193125-09-183269-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312510198574/0001193125-10-198574-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746911007670/0001047469-11-007670-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746912008174/0001047469-12-008174-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746913008515/0001047469-13-008515-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746914007228/0001047469-14-007228-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000155837015001687/0001558370-15-001687-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746916015059/a2229501z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000104746917005596/0001047469-17-005596-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746918005819/0001047469-18-005819-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746919004853/a2239525z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000110465920097650/0001104659-20-097650-index.htm,https://www.sec.gov/Archives/edgar/data/1039065/000110465921108619/0001104659-21-108619-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,22400000,7200000,10892000,4467000,67604000,94246000,39879000,14623000,13799000,15980000,18232000,25172000,51989000,55619000,91452000,34697000,38831000,47593000,104370000,169650000,84814000,96316000,76102000,80613000
32,Short-Term Investments,- -,1700000,- -,863000,539000,3973000,- -,816000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,22400000,8900000,10892000,5330000,68143000,98219000,39879000,15439000,13899000,15980000,18232000,25172000,51989000,55619000,91452000,34697000,38831000,47593000,104370000,169650000,84814000,96316000,76102000,80613000
34,Net Receivables,26300000,33000000,32267000,30299000,42440000,39641000,93254000,100091000,131664000,146253000,160039000,113403000,135587000,141728000,156867000,206817000,185773000,178519000,141716000,206526000,210744000,238440000,269840000,290653000
35,Inventory,21700000,24500000,30920000,31174000,36512000,42415000,97174000,107441000,120604000,120174000,144807000,150763000,125930000,169634000,195178000,206213000,234138000,230421000,273288000,248510000,313552000,273711000,241226000,294208000
36,Other Current Assets,2200000,2200000,2628000,2291000,3034000,6737000,10582000,14702000,17557000,32232000,33377000,33905000,35695000,38305000,39616000,78972000,120488000,84988000,35944000,28314000,41587000,32432000,30541000,43930000
37,Total Current Assets,72600000,68600000,76707000,69094000,150129000,187012000,240889000,237673000,283724000,314639000,356455000,323243000,349201000,405286000,483113000,526699000,579230000,541521000,555318000,653000000,650697000,640899000,617709000,709404000
38,PP&E,11500000,14500000,14248000,13405000,12901000,14115000,18775000,30974000,42521000,48051000,47191000,42232000,51515000,55017000,111664000,249029000,260479000,225703000,183114000,141539000,115524000,127385000,127936000,118004000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,29066000,50286000,60408000,60195000,63941000,70292000,82149000,83743000,92607000,98167000,122819000,242129000,292213000,307108000,310627000,320304000
40,Intangible Assets,- -,8600000,9052000,7371000,8264000,25491000,68839000,75984000,44046000,28476000,34495000,32451000,31975000,33707000,37742000,36603000,43615000,50413000,56283000,118450000,142001000,132954000,128279000,127608000
41,Intangible Assets,- -,8600000,9052000,7371000,8264000,25491000,68839000,75984000,73112000,78762000,94903000,92646000,95916000,103999000,119891000,120346000,136222000,148580000,179102000,360579000,434214000,440062000,438906000,447912000
42,Investments,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,1726000,3614000,558000,788000,109000,331000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34897000,- -,- -,- -,- -
44,Other Non-Current Assets,2700000,1700000,3016000,800000,450000,2362000,2510000,1380000,3810000,10031000,9092000,16707000,16482000,20614000,35228000,23722000,48255000,63870000,74189000,40072000,55256000,56518000,83990000,109047000
45,Total Non-Current Assets,14200000,24800000,26316000,23302000,25229000,42526000,90912000,109447000,119774000,136844000,151186000,151585000,163913000,179630000,266783000,393097000,444956000,438153000,436405000,577087000,604994000,623965000,650832000,674963000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,86800000,93400000,103023000,92396000,175358000,229538000,331801000,347120000,403498000,451483000,507641000,474828000,513114000,584916000,749896000,919796000,1024186000,979674000,991723000,1230087000,1255691000,1264864000,1268541000,1384367000
48,Accounts Payable,8600000,9100000,12728000,10720000,13379000,14524000,33171000,41123000,54282000,60524000,75320000,54980000,49673000,66462000,56422000,97050000,74460000,61932000,69490000,76121000,106892000,93500000,84940000,141263000
49,Short-Term Debt,800000,9000000,8720000,2725000,2625000,2625000,2521000,16251000,12108000,22519000,25250000,12557000,12743000,221000,- -,60797000,26819000,2801000,127759000,105396000,115262000,88804000,59926000,846000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,6419000,9314000,7548000,7414000,8880000,33023000,41147000,42871000,55563000,99170000,89176000,85386000,37934000,55761000,43227000,28155000,38463000
52,Other Current Liabilities,10800000,9000000,9360000,9335000,18494000,27947000,61799000,49482000,45864000,65307000,53513000,59218000,49155000,53151000,61356000,68003000,109530000,95372000,85200000,126683000,165407000,156477000,157080000,164195000
53,Total Current Liabilities,20200000,27100000,30808000,22780000,34498000,45096000,97491000,113275000,121568000,155898000,161497000,135635000,144594000,160981000,160649000,281413000,309979000,249281000,367835000,346134000,443322000,382008000,330101000,344767000
54,Long-Term Debt,400000,100000,7698000,7003000,4463000,1838000,32000,4852000,5483000,25709000,49091000,39803000,23366000,2756000,2467000,10673000,10436000,8556000,6054000,241750000,248980000,257752000,267072000,276421000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,75000000,50000000,25000000,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,300000,300000,164000,132000,136000,630000,5198000,3547000,7504000,4093000,- -,- -,- -,- -,- -,- -,73161000,65435000,29160000,20681000,15002000,7979000,5846000,7157000
57,Other Non-Current Liabilities,- -,100000,- -,- -,448000,1340000,1529000,1819000,10265000,9756000,17804000,23390000,31444000,36379000,52661000,74259000,48397000,49623000,47828000,52309000,58951000,65398000,93370000,116202000
58,Total Non-Current Liabilities,700000,500000,7862000,7135000,5047000,3808000,6759000,10218000,23252000,39558000,66895000,63193000,54810000,39135000,155128000,159932000,181994000,148614000,83042000,314740000,322933000,331129000,366288000,399780000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,20900000,27600000,38670000,29915000,39545000,48904000,104250000,123493000,144820000,195456000,228392000,198828000,199404000,200116000,315777000,441345000,491973000,397895000,450877000,660874000,766255000,713137000,696389000,744547000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,49200000,47357000,43567000,108141000,135884000,170129000,169406000,- -,- -,- -,- -,244026000,272552000,282756000,285001000,287434000,279212000,219114000,222529000,169475000,168913000,122553000,105724000
64,Retained Earnings,17400000,18200000,18787000,22291000,29212000,45005000,54961000,52566000,50208000,31450000,41972000,53124000,76681000,110103000,155651000,199786000,247680000,312831000,338988000,363872000,334745000,399541000,474793000,548842000
65,Other Comprehensive Income/Loss,-9700000,-12400000,-14329000,-16000000,-18735000,-22502000,-26666000,2000000,5000000,9000000,11000000,-2000000,-7000000,2000000,-4000000,-6000000,-3000000,-10000000,-17000000,-17000000,-15000000,-17000000,-25194000,-14746000
66,Other Total Stockholders Equity,58200000,10800000,12392000,12623000,17116000,22012000,29058000,-345000,193739000,206762000,225049000,224876000,3000,145000,-288000,-336000,99000,-264000,-256000,-188000,216000,273000,- -,- -
67,Total Stockholders Equity,65900000,65800000,64207000,62481000,135734000,180399000,227482000,223627000,248947000,247212000,278021000,276000000,313710000,384800000,434119000,478451000,532213000,581779000,540846000,569213000,489436000,551727000,572152000,639820000
68,Total Liabilities And Stockholders Equity,86800000,93400000,102877000,92396000,175279000,229303000,331732000,347120000,393767000,442668000,506413000,474828000,513114000,584916000,749896000,919796000,1024186000,979674000,991723000,1230087000,1255691000,1264864000,1268541000,1384367000
69,Minority Interest,- -,- -,146000,- -,79000,235000,69000,- -,9731000,8815000,1228000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,86800000,93400000,103023000,92396000,175358000,229538000,331801000,347120000,403498000,451483000,507641000,474828000,513114000,584916000,749896000,919796000,1024186000,979674000,991723000,1230087000,1255691000,1264864000,1268541000,1384367000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1039065/000094420998001696/0000944209-98-001696-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000094420999001528/0000944209-99-001528-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000094420900001537/0000944209-00-001537-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000102140801507509/0001021408-01-507509-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000095016802002855/0000950168-02-002855-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312503055292/0001193125-03-055292-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312504155683/0001193125-04-155683-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312505193607/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000119312506195103/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000119312507200115/0001193125-07-200115-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312508186838/0001193125-08-186838-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312509183269/0001193125-09-183269-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312510198574/0001193125-10-198574-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746911007670/0001047469-11-007670-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746912008174/0001047469-12-008174-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746913008515/0001047469-13-008515-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746914007228/0001047469-14-007228-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000155837015001687/0001558370-15-001687-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746916015059/a2229501z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000104746917005596/0001047469-17-005596-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746918005819/0001047469-18-005819-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746919004853/a2239525z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000110465920097650/0001104659-20-097650-index.htm,https://www.sec.gov/Archives/edgar/data/1039065/000110465921108619/0001104659-21-108619-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,8200000,700000,627000,3504000,6921000,15793000,9956000,-2395000,-2358000,-18758000,13860000,11152000,23557000,33422000,45548000,44135000,47894000,65151000,26157000,21076000,-29127000,64796000,75252000,74049000
74,Depreciation and Amortization,2300000,3700000,4039000,4129000,3930000,4289000,5708000,10636000,14190000,17828000,19342000,17805000,18561000,18529000,20199000,27507000,54239000,58976000,57922000,68235000,69754000,56234000,49758000,43855000
75,Deferred Income Tax,-300000,-1400000,-2187000,2233000,-2693000,607000,-1450000,-3368000,-3704000,-22682000,-4887000,-2259000,3446000,9668000,-941000,3604000,7936000,-5956000,-13224000,-24222000,26113000,-8536000,-431000,432000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5055000,5011000,5789000,8530000,16446000,16983000,22501000,20759000,26132000,23846000,25251000,23817000,26771000
77,Change in Working Capital,-10700000,-10900000,4399000,415000,69317000,26285000,1482000,-19000000,37758000,-3415000,36217000,-7350000,16999000,39698000,78159000,-77178000,23965000,22989000,-104757000,119383000,-99491000,51516000,28717000,77029000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30821000,-23373000,-3066000,-17445000,-53568000,26180000,7358000,36881000,-44462000,11340000,-27206000,-37071000,-28955000
79,Inventory,-4000000,-400000,-7583000,-3950000,-5060000,-4320000,-15112000,-8635000,-13682000,6250000,-25557000,-17607000,19898000,-39700000,-24525000,-12894000,-21026000,249000,-37696000,30808000,-59221000,39447000,30752000,-47768000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15226000,-5375000,14401000,-12925000,40476000,-26143000,-15117000,6831000,2657000,25145000,-16623000,-8893000,55601000
81,Other Working Capital,52400000,41500000,45899000,46314000,115631000,141916000,143398000,124398000,162156000,158741000,194958000,187608000,204607000,244305000,322464000,245286000,269251000,292240000,187483000,306866000,207375000,258891000,287608000,364637000
82,Other Non-Cash Items,100000,8000000,-7780000,-10187000,-71232000,-25418000,-26111000,1268000,-58077000,24750000,-65204000,20097000,-15424000,-66967000,-30932000,44151000,-21847000,-58558000,72361000,-147825000,142014000,-70149000,-47933000,-83070000
83,Cash Provided by Operating Activities,-400000,100000,-902000,94000,6243000,21556000,-10415000,-12859000,-12191000,-2277000,-672000,44500000,52150000,40139000,120563000,58665000,129170000,105103000,59218000,62779000,133109000,119112000,129180000,139066000
84,CAPEX,-8300000,-20600000,-2967000,-3496000,-2101000,-3569000,-5404000,-16821000,-16450000,-18287000,-14655000,-14319000,-21190000,-17701000,-73193000,-161766000,-60494000,-21514000,-23558000,-22243000,-45651000,-30215000,-33747000,-29511000
85,Acquisitions Net,- -,- -,-1309000,-541000,- -,-5373000,-77511000,-11450000,-311000,-23107000,- -,- -,-3241000,-6311000,-7989000,-6087000,-11740000,-13919000,-19921000,-178445000,-103793000,-18271000,-8940000,-3000000
86,Purchases of Investments,- -,-2200000,- -,-1212000,- -,-22990000,- -,- -,-713000,- -,- -,-407000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4892000
87,Sales/Maturities of Investments,- -,- -,2532000,1712000,- -,18271000,5256000,- -,921000,491000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2710000
88,Other Investing Activites,300000,-600000,453000,7321000,-421000,-1228000,2035000,-1346000,231000,10697000,-15186000,-1167000,-3066000,-4303000,-4703000,-4399000,-5896000,-6228000,-5870000,-5147000,-2453000,-2803000,-13359000,-13751000
89,Cash Used for Investing Activites,-8000000,-23400000,-1291000,3784000,-2522000,-14889000,-75624000,-29617000,-16322000,-30206000,-29841000,-12426000,-24394000,-24009000,-81182000,-167853000,-72234000,-35433000,-43479000,-200688000,-149444000,-48486000,-42687000,-34693000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20103000,-15993000,-33312000,-217000,-1274000,-3667000,-3247000,-2917000,-4077000,-2592000,-3122000,-970000,-1057000
91,Common Stock Issued,41800000,100000,385000,96000,5564000,1053000,1450000,2193000,30432000,7657000,7216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-400000,-1820000,-3886000,- -,- -,- -,-3821000,- -,- -,- -,-7388000,- -,-2218000,-6396000,-12011000,-12056000,-30744000,-73368000,-48453000,-62932000,-21029000,-51775000,-37468000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-11200000,7800000,7113000,-6631000,54123000,17901000,29057000,17673000,-3699000,28103000,25754000,2706000,12986000,19640000,4883000,64343000,-38571000,-26035000,118113000,256114000,-2924000,-34163000,-51985000,-65400000
95,Cash Used/Provided by Financing Activities,30600000,7500000,5678000,-10421000,59687000,18954000,30507000,16045000,26733000,35760000,32970000,-24785000,-3007000,-15890000,-1730000,51058000,-54294000,-60026000,41828000,203584000,-68448000,-58314000,-104730000,-103925000
96,Effect of Forex Changes on Cash,-200000,600000,166000,118000,-271000,1021000,1165000,1175000,956000,-1096000,-205000,-349000,2068000,3390000,-1818000,1375000,1492000,-882000,-790000,-395000,-53000,-810000,-1977000,4063000
97,Net Change In Cash,21800000,-15200000,3651000,-6425000,63137000,26642000,-54367000,-25256000,-824000,2181000,2252000,6940000,26817000,3630000,35833000,-56755000,4134000,8762000,56777000,65280000,-84836000,11502000,-20214000,4511000
98,Cash at the End of Period,22400000,7200000,10892000,4467000,67604000,94246000,39879000,14623000,13799000,15980000,18232000,25172000,51989000,55619000,91452000,34697000,38831000,47593000,104370000,169650000,84814000,96316000,76102000,80613000
99,Cash at the Beginning of Period,600000,22400000,7241000,10892000,4467000,67604000,94246000,39879000,14623000,13799000,15980000,18232000,25172000,51989000,55619000,91452000,34697000,38831000,47593000,104370000,169650000,84814000,96316000,76102000
100,Free Cash Flow,-8700000,-20500000,-3869000,-3402000,4142000,17987000,-15819000,-29680000,-28641000,-20564000,-15327000,30181000,30960000,22438000,47370000,-103101000,68676000,83589000,35660000,40536000,87458000,88897000,95433000,109555000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1039065/000094420998001696/0000944209-98-001696-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000094420999001528/0000944209-99-001528-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000094420900001537/0000944209-00-001537-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000102140801507509/0001021408-01-507509-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000095016802002855/0000950168-02-002855-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312503055292/0001193125-03-055292-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312504155683/0001193125-04-155683-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312505193607/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000119312506195103/d10k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000119312507200115/0001193125-07-200115-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312508186838/0001193125-08-186838-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312509183269/0001193125-09-183269-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000119312510198574/0001193125-10-198574-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746911007670/0001047469-11-007670-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746912008174/0001047469-12-008174-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746913008515/0001047469-13-008515-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746914007228/0001047469-14-007228-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000155837015001687/0001558370-15-001687-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746916015059/a2229501z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000104746917005596/0001047469-17-005596-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746918005819/0001047469-18-005819-index.html,https://www.sec.gov/Archives/edgar/data/1039065/000104746919004853/a2239525z10-k.htm,https://www.sec.gov/Archives/edgar/data/1039065/000110465920097650/0001104659-20-097650-index.htm,https://www.sec.gov/Archives/edgar/data/1039065/000110465921108619/0001104659-21-108619-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
