,https://roic.ai/company/MYE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,22700000,2000000,33400000,5300000,45600000,50100000,52600000,58500000,62500000,69000000,77300000,77200000,82100000,103700000,181200000,197135622,158999924,149247798,165566855,188248826,190182115,146623068,189884253,238599956,148296000,140153000,158611000,163425000,173695000,138661000,147417000,138598000,135503000,172666000,133130000,118407000,41302000
11,COGS and Expenses,78800000,82200000,120300000,166300000,174800000,181300000,176100000,206100000,218600000,243400000,272900000,285100000,301300000,342600000,511300000,589390038,562011270,555820581,626370551,752544475,847688392,719061825,872991560,903314719,679235000,713247000,715996000,739332000,781277000,601031000,570677000,532020000,525093000,560108000,477516000,456816000,189065000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,972248,695140,461038,366324,611272,706340,146343,283897,1268600,835000,561000,65000,164000,213000,127000,1317000,1774000,1361000,1221000,808000,209000,- -
13,Interest Expense (Gain),700000,700000,- -,4300000,4200000,3100000,2000000,1500000,1200000,800000,1000000,600000,- -,2400000,- -,23332503,19394282,12270787,10440762,13933022,16290602,15994763,15784166,12776726,9139000,7766000,4787000,4679000,4755000,8662000,10316000,9947000,8653000,6159000,4891000,4497000,1158000
14,Depreciation and Amortization,2100000,2000000,3300000,5300000,5000000,5400000,5700000,6400000,7700000,9500000,10500000,11300000,13200000,17600000,37500000,42827529,43905219,35714090,36554992,39175007,35996773,28212524,37727009,40346417,36268000,33550000,34214000,33007000,37272000,31172000,34979000,34465000,28838000,26123000,23583000,20930000,20885000
15,EBITDA,9100000,9800000,12900000,23500000,25400000,26500000,25500000,29700000,34600000,40300000,38600000,47500000,51200000,68500000,91800000,107069639,90539520,88345705,71642270,91836789,92693882,-8453255,128349951,7862610,46562000,-9705000,72688000,85027000,81418000,36275000,70866000,51939000,32466000,31970000,61775000,74289000,31635000
16,EBITDA ratio,0.1067,0.1094,0.0979,0.1279,0.1304,0.1311,0.1304,0.1295,0.1412,0.1470,0.1284,0.1480,0.1508,0.1747,0.1581,0.1641,0.1489,0.1453,0.1084,0.1144,0.1026,-0.0108,0.1397,0.0091,0.0663,-0.0132,0.0962,0.1075,0.0987,0.0582,0.1178,0.0931,0.0593,0.0564,0.1198,0.1456,0.1585
17,Operating Income,6500000,7400000,11400000,17500000,20000000,20800000,19500000,23200000,26500000,30700000,27800000,35800000,38300000,49400000,69500000,63269862,45939161,52170577,34720953,50525912,55990769,60922563,45801400,-35484434,17137000,-47643000,38409000,51856000,43933000,22618000,30861000,16168000,24888000,6327000,37266000,53550000,49301000
18,Operating Income ratio,0.0762,0.0826,0.0866,0.0952,0.1027,0.1029,0.0997,0.1012,0.1081,0.1120,0.0925,0.1116,0.1128,0.1260,0.1197,0.0969,0.0756,0.0858,0.0525,0.0629,0.0620,0.0781,0.0498,-0.0409,0.0244,-0.0646,0.0508,0.0655,0.0532,0.0363,0.0513,0.0290,0.0455,0.0112,0.0723,0.1049,0.2470
19,Total Other Income Expenses (Gains),-200000,-300000,-1800000,-3600000,-3800000,-2800000,-1700000,-1400000,-1000000,-700000,-700000,-200000,-300000,-900000,-15200000,-22360255,-18699142,-11809749,-10074437,-11797152,-15584262,-15848420,11249731,-11508126,-8304000,-3378000,-4722000,-4515000,-4542000,-8535000,-8999000,-8173000,-9180000,-4938000,-4083000,-4688000,-39709000
20,Income Before Tax,6300000,7100000,9600000,13900000,16200000,18000000,17800000,21800000,25500000,30000000,27100000,35600000,38000000,48500000,54300000,40909607,27240019,40360828,24646516,38728760,40406507,45074143,57051131,-46992560,8833000,-51021000,33687000,47341000,39391000,14083000,21862000,7995000,15708000,1389000,33183000,48862000,9592000
21,Income Before Tax Ratio,0.0739,0.0792,0.0729,0.0756,0.0832,0.0891,0.0910,0.0951,0.1040,0.1094,0.0901,0.1109,0.1119,0.1237,0.0935,0.0627,0.0448,0.0664,0.0373,0.0482,0.0447,0.0578,0.0621,-0.0541,0.0126,-0.0692,0.0446,0.0598,0.0477,0.0226,0.0363,0.0143,0.0287,0.0025,0.0643,0.0957,0.0481
22,Income Tax expense (Gain),2900000,3400000,4400000,5800000,6600000,7200000,7300000,8700000,10100000,12200000,11100000,14600000,15700000,19800000,23100000,16909000,12049000,16401000,8321000,13019000,13851000,16363613,20103000,-767807,1838000,-8187000,9182000,17379000,13389000,5122000,7809000,6470000,4864000,3037000,8968000,12093000,2337000
23,Net Income,3400000,3700000,5200000,8100000,9600000,10800000,10500000,13100000,15600000,17800000,16000000,21000000,22300000,28700000,31200000,24000607,15191019,23959828,16325516,25709760,26555507,-69024155,54735776,-44492726,-683000,-42834000,24505000,29962000,26002000,-8681000,17762000,1057000,-9889000,-3349000,24333000,36769000,7255000
24,Net Income ratio,0.0399,0.0413,0.0395,0.0441,0.0493,0.0534,0.0537,0.0571,0.0636,0.0649,0.0532,0.0654,0.0657,0.0732,0.0537,0.0368,0.0250,0.0394,0.0247,0.0320,0.0294,-0.0885,0.0596,-0.0513,-0.0010,-0.0581,0.0324,0.0379,0.0315,-0.0139,0.0295,0.0019,-0.0181,-0.0059,0.0472,0.0720,0.0364
25,EPS,0.11,0.13,0.17,0.27,0.32,0.36,0.34,0.42,0.47,0.53,0.47,0.62,0.66,0.86,0.93,0.73,0.47,0.73,0.49,0.76,0.76,-1.97,1.56,-1.26,-0.02,-1.21,0.71,0.89,0.77,-0.20,0.56,0.03,-0.33,-0.10,0.68,1.03,0.93
26,EPS Diluted,0.11,0.13,0.17,0.27,0.32,0.36,0.34,0.42,0.47,0.53,0.47,0.62,0.66,0.86,0.93,0.73,0.47,0.73,0.49,0.76,0.76,-1.97,1.55,-1.26,-0.02,-1.21,0.71,0.88,0.76,-0.20,0.55,0.03,-0.33,-0.10,0.68,1.02,0.92
27,Weighted Average Shares Outstanding,31124700,29452736,29751347,30265213,30303891,30420479,30514297,31148352,33210921,33689942,33905474,34093458,33728750,33455151,33489677,32703530,32636955,32969027,33138086,33846511,34724488,35037642,35087036,35211811,35266324,35304817,34584558,33597020,33588720,32232965,30616485,29750378,30222289,33426855,35491958,35785798,36138571
28,Weighted Average Shares Outstanding Diluted,31124700,29452736,29751347,30265213,30303891,30420479,30514297,31148352,33210921,33689942,33905474,34093458,33967146,33455151,33598985,32703530,32636955,32969027,33138086,33846511,34724488,35037642,35313404,35211811,35266324,35304817,34743543,34109232,34043425,32704012,30943693,29967912,30562646,33426855,35653147,35916630,36358969
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69488/000095015201500586/0000950152-01-500586-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095015202002436/0000950152-02-002436-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095015203003475/l99143ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015204001961/l05649ae10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/69488/000095015206002199/l17871ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015207002247/l24270ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015208001976/l30481ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015209002679/0000950152-09-002679-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095012310024042/0000950123-10-024042-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095012311022696/l41894e10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000119312512094294/0001193125-12-094294-index.html,https://www.sec.gov/Archives/edgar/data/69488/000006948813000004/0000069488-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/69488/000006948814000005/mye-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948815000007/mye-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459016014716/0001564590-16-014716-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459017003837/0001564590-17-003837-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459018005141/0001564590-18-005141-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459019007003/0001564590-19-007003-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459020009170/0001564590-20-009170-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459021012511/0001564590-21-012511-index.htm,https://www.sec.gov/Archives/edgar/data/69488/000095017022003355/0000950170-22-003355-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7200000,8500000,1800000,1600000,2500000,2500000,3200000,3400000,1700000,1800000,3400000,5600000,6300000,34800000,1100000,2177983,7074964,1702334,5666997,8018623,19159220,6637389,7558832,10417303,4728000,4705000,6801000,3948000,6539000,4676000,7344000,7888000,2520000,58894000,75527000,28301000,17655000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7200000,8500000,1800000,1600000,2500000,2500000,3200000,3400000,1700000,1800000,3400000,5600000,6300000,34800000,1100000,2177983,7074964,1702334,5666997,8018623,19159220,6637389,7558832,10417303,4728000,4705000,6801000,3948000,6539000,4676000,7344000,7888000,2520000,58894000,75527000,28301000,17655000
34,Net Receivables,13400000,13600000,24900000,29100000,30100000,30700000,30600000,38300000,40400000,51200000,52500000,57600000,54900000,62900000,115800000,125921325,104602982,111207172,114038680,151068463,144950880,98830002,129631910,94780315,86674000,98799000,105830000,115508000,112459000,90664000,77633000,73818000,89604000,77831000,62421000,84750000,100691000
35,Inventory,14100000,15100000,23700000,25200000,26000000,27800000,25100000,30900000,34900000,39400000,41200000,39800000,43100000,53400000,84400000,88804458,81349240,83099995,83853254,120362454,115808312,86796874,125156204,113533245,100201000,96404000,95217000,107502000,106524000,63338000,54738000,46023000,47025000,43596000,44260000,65919000,93551000
36,Other Current Assets,1700000,1000000,1800000,3000000,2900000,2300000,1800000,2300000,1900000,2300000,4000000,3300000,3100000,2600000,5700000,2403487,3591411,5130856,4374210,4622637,4409328,115258989,15462428,13917224,14945000,13939000,10604000,12638000,9388000,126763000,14593000,13422000,10863000,2534000,2834000,4760000,8017000
37,Total Current Assets,36400000,38200000,52200000,58900000,61500000,63300000,60700000,74900000,78900000,94700000,101100000,106300000,107400000,153700000,207000000,219307253,196618597,201140357,207933141,284072177,284327740,307523254,277809374,232648087,206548000,213847000,218452000,239596000,234910000,285441000,154308000,141151000,150012000,182855000,185042000,183730000,219914000
38,PP&E,14000000,13400000,30000000,32800000,34000000,38700000,39300000,50700000,57700000,61400000,69400000,80700000,90600000,109400000,189500000,204197700,190735821,190795027,183844428,210488790,195721782,151300441,213970326,198904621,158418000,151815000,140934000,150483000,149478000,136766000,130773000,111482000,83904000,65460000,60865000,92343000,121334000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187960222,- -,- -,- -,- -,162214948,171462256,109861818,111927000,40892000,44666000,61056000,60642000,66639000,64035000,59219000,59971000,59068000,66774000,79256000,88778000
40,Intangible Assets,- -,- -,15300000,14000000,12600000,11700000,10700000,13700000,13100000,12500000,19900000,17100000,22900000,39600000,199400000,197161300,2834582,206888276,226619886,286152453,275622437,5970381,28335537,22291104,20003000,18667000,17267000,25839000,21115000,72235000,58530000,47994000,39049000,30280000,30754000,41038000,50181000
41,Intangible Assets,- -,- -,15300000,14000000,12600000,11700000,10700000,13700000,13100000,12500000,19900000,17100000,22900000,39600000,199400000,197161300,190794804,206888276,226619886,286152453,275622437,168185329,199797793,132152922,131930000,59559000,61933000,86895000,81757000,138874000,122565000,107213000,99020000,89348000,97528000,120294000,138959000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,840000,216000,120000,5270000,5807000,84000,106000
44,Other Non-Current Assets,1000000,1100000,5900000,4000000,3000000,2700000,2300000,2800000,2700000,3400000,3200000,3000000,3200000,4000000,4500000,4130671,4017156,3658670,3229351,4889142,4335084,34974196,5974876,5194296,13070000,7174000,7438000,7882000,3312000,3752000,21430000,21622000,22886000,5712000,3897000,3564000,4236000
45,Total Non-Current Assets,15000000,14500000,51200000,50800000,49600000,53100000,52300000,67200000,73500000,77300000,92500000,100800000,116700000,153000000,393400000,405489671,385547781,401341973,413693665,501530385,475679303,354459966,419742995,336251839,303418000,218548000,210305000,245260000,234547000,279392000,275608000,240533000,205930000,165790000,168097000,216285000,264635000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,51400000,52700000,103400000,109700000,111100000,116400000,113000000,142100000,152400000,172000000,193600000,207100000,224100000,306700000,600400000,624796924,582166378,602482330,621626806,785602562,760007043,661983220,697552369,568899926,509966000,432395000,428757000,484856000,469457000,564833000,429916000,381684000,355942000,348645000,353139000,400015000,484549000
48,Accounts Payable,- -,- -,- -,- -,10700000,12100000,9300000,16300000,12300000,19800000,11900000,15200000,14400000,15900000,39600000,49964169,44818664,49970910,39731250,72858791,67838604,48111122,78268137,54993115,63916000,64143000,64717000,72417000,98263000,77320000,71310000,48988000,63581000,60849000,46867000,61150000,81690000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,500000,800000,6400000,12500000,15893001,17767688,20690265,4452137,2107090,3240821,3235058,3626077,2020878,65425000,305000,305000,- -,- -,- -,- -,- -,- -,- -,- -,39994000,5841000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2524000,2517000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10194000,10591000,9351000,2688000,3102000,3365000,2618000,2907000,- -
52,Other Current Liabilities,9800000,10600000,28300000,24800000,15700000,14300000,16000000,15400000,12100000,14300000,19500000,21200000,24400000,28900000,50100000,49726014,42312886,46707781,49992110,61286046,70162666,83381039,76580425,39955693,39684000,41883000,45634000,42060000,42126000,65903000,36151000,27636000,31970000,33209000,33140000,38196000,44969000
53,Total Current Liabilities,9800000,10600000,28300000,24800000,26400000,26400000,25300000,31700000,24400000,34100000,32400000,36900000,39600000,51200000,102200000,115583184,104899238,117368956,94175497,136251927,141242091,134727219,158474639,96969686,169025000,106331000,110656000,114477000,150583000,153814000,116812000,79312000,98653000,97423000,82625000,142247000,132500000
54,Long-Term Debt,8600000,6100000,35500000,38400000,29800000,25400000,14600000,24900000,10700000,4200000,13300000,4600000,4300000,48800000,280100000,284273097,247145234,212222615,211002691,275252278,249523633,198274578,167253706,169545667,38890000,83530000,73725000,92814000,44347000,236429000,193006000,189522000,151036000,76790000,77176000,37582000,124197000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29678000,24333000,14281000,- -,- -,- -,1237000,- -,- -,5441000
56,Deferred Tax Liabilities,2400000,2500000,1600000,1700000,1600000,1500000,700000,1500000,2100000,2900000,2700000,3300000,3500000,4000000,10300000,11037935,12595697,17201131,21924269,28094321,29839947,35400520,50540270,43149153,38371000,24793000,23893000,29678000,24333000,14281000,10041000,10582000,4265000,- -,- -,2958000,5441000
57,Other Non-Current Liabilities,-100000,- -,- -,- -,- -,-100000,-100000,100000,-100000,-100000,- -,-100000,- -,- -,100000,- -,- -,- -,- -,- -,1,12922285,4013808,6396651,5682000,5936000,14343000,-11813000,-9646000,-543000,12354000,9235000,8236000,18557000,26656000,28128000,216970000
58,Total Non-Current Liabilities,10900000,8600000,37100000,40100000,31400000,26800000,15200000,26500000,12700000,7000000,16000000,7800000,7800000,52800000,290500000,295311032,259740931,229423746,232926960,303346599,279363581,246597383,221807784,219091471,82943000,114259000,111961000,140357000,83367000,264448000,215401000,209339000,163537000,96584000,103832000,68668000,352049000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10402000,16855000,18114000,- -
61,Total Liabilities,20700000,19200000,65400000,64900000,57800000,53200000,40500000,58200000,37100000,41100000,48400000,44700000,47400000,104000000,392700000,410894216,364640169,346792702,327102457,439598526,420605672,381324602,380282423,316061157,251968000,220590000,222617000,254834000,233950000,418262000,332213000,288651000,262190000,194007000,186457000,210915000,484549000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,13234830,14503828,18301212,18369240,21090960,21188831,- -,- -,- -,- -,- -,- -,20316000,20313000,18855000,17895000,18234000,18547000,21547000,21785000,21939000,- -
64,Retained Earnings,23000000,22000000,26200000,25000000,22600000,21300000,19000000,30700000,17000000,32500000,24200000,42100000,32200000,56900000,45000000,38037751,19839488,37901271,48200438,32566036,52174705,-24023156,12915207,-40029016,-49147000,-101221000,-86466000,-67356000,-53509000,-78990000,-77825000,-93060000,-119507000,-141187000,-135117000,-117918000,- -
65,Other Comprehensive Income/Loss,-13100000,-14900000,-17700000,-22700000,-27000000,-31600000,-37000000,-41300000,-47600000,-55200000,-61500000,-69400000,-79500000,-94300000,-118600000,-145093735,-172699854,-212763143,-258200161,-298565939,-2000000,12000000,9000000,-5000000,7000000,10000000,7000000,11000000,2000000,-12000000,-39000000,-34000000,-15000000,-18000000,-16000000,-15773000,-15401000
66,Other Total Stockholders Equity,20800000,26400000,29500000,42500000,57700000,73500000,90500000,94500000,145900000,153600000,182500000,189700000,224000000,240100000,269000000,307723862,355882747,412250288,486154832,590912979,268037835,292681774,295354739,297867785,300145000,303026000,285606000,266062000,266703000,218706000,196633000,201859000,209712000,292278000,296014000,300852000,209325000
67,Total Stockholders Equity,30700000,33500000,38000000,44800000,53300000,63200000,72500000,83900000,115300000,130900000,145200000,162400000,176700000,202700000,207700000,213902708,217526209,255689628,294524349,346004036,339401371,280658618,317269946,252838769,257998000,211805000,206140000,230022000,235507000,146571000,97703000,93033000,93752000,154638000,166682000,189100000,209325000
68,Total Liabilities And Stockholders Equity,51400000,52700000,103400000,109700000,111100000,116400000,113000000,142100000,152400000,172000000,193600000,207100000,224100000,306700000,600400000,624796924,582166378,602482330,621626806,785602562,760007043,661983220,697552369,568899926,509966000,432395000,428757000,484856000,469457000,564833000,429916000,381684000,355942000,348645000,353139000,400015000,693874000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-209325000
70,Total Liabilities & Equity,51400000,52700000,103400000,109700000,111100000,116400000,113000000,142100000,152400000,172000000,193600000,207100000,224100000,306700000,600400000,624796924,582166378,602482330,621626806,785602562,760007043,661983220,697552369,568899926,509966000,432395000,428757000,484856000,469457000,564833000,429916000,381684000,355942000,348645000,353139000,400015000,484549000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/69488/000095015201500586/0000950152-01-500586-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095015202002436/0000950152-02-002436-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095015203003475/l99143ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015204001961/l05649ae10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/69488/000095015206002199/l17871ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015207002247/l24270ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015208001976/l30481ae10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000095015209002679/0000950152-09-002679-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095012310024042/0000950123-10-024042-index.html,https://www.sec.gov/Archives/edgar/data/69488/000095012311022696/l41894e10vk.htm,https://www.sec.gov/Archives/edgar/data/69488/000119312512094294/0001193125-12-094294-index.html,https://www.sec.gov/Archives/edgar/data/69488/000006948813000004/0000069488-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/69488/000006948814000005/mye-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/69488/000006948815000007/mye-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/69488/000156459016014716/0001564590-16-014716-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459017003837/0001564590-17-003837-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459018005141/0001564590-18-005141-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459019007003/0001564590-19-007003-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459020009170/0001564590-20-009170-index.html,https://www.sec.gov/Archives/edgar/data/69488/000156459021012511/0001564590-21-012511-index.htm,https://www.sec.gov/Archives/edgar/data/69488/000095017022003355/0000950170-22-003355-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3400000,3700000,- -,8100000,9600000,10800000,10500000,13100000,15600000,17800000,16000000,21000000,22300000,28700000,31200000,24000607,15191019,23959828,16325516,25709760,26555507,-69024155,54735776,-44492726,-683000,-42834000,24505000,29962000,26002000,-8681000,17762000,1057000,-9889000,-3349000,24333000,36769000,7255000
74,Depreciation and Amortization,2100000,2000000,- -,5300000,5000000,5400000,5700000,6400000,7700000,9500000,10500000,11300000,13200000,17600000,37500000,42827529,43905219,35714090,36554992,39175007,35996773,28212524,37727009,40346417,36268000,33550000,34214000,33007000,37272000,31172000,34979000,34465000,28838000,26123000,23583000,20930000,20885000
75,Deferred Income Tax,- -,- -,- -,- -,-100000,-200000,-800000,900000,500000,800000,-500000,500000,200000,100000,3500000,964870,1632285,4526372,4415099,-71426,2158202,-101352,-3382644,-5669245,-1405000,-13285000,-184000,1052000,-4323000,-3344000,-353000,-243000,-5663000,-9450000,-922000,8732000,2826000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2660000,2326000,2595000,2708000,2557000,3115000,4934000,3357000,3626000,4257000,1715000,3534000,3196000
77,Change in Working Capital,- -,-3700000,- -,10200000,1000000,1800000,-1500000,7800000,11300000,6100000,8100000,700000,-1600000,34700000,2300000,-1075931,-12004710,-7947958,29986243,34062606,-4734601,29710386,-53461300,16343666,-98155401,69993000,280000,17323000,-40792000,47300000,-94131000,24343000,-10480000,34073000,16985000,-60934000,45931000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7385000,-11449000,-8665000,-2002000,-716000,2710000,3499000,4311000,-6757000,4927000,12479000,-11589000,-15273000
79,Inventory,- -,- -,- -,- -,-800000,-1800000,2600000,-5700000,-4100000,-4400000,400000,1400000,-2800000,-5100000,-7700000,-3079902,6359412,741868,2975650,-24990962,1910184,9212812,13128641,5743125,10872000,4958000,455000,-2780000,-1585000,2377000,5271000,9720000,-1876000,3151000,2222000,-7868000,-24885000
