,https://roic.ai/company/AFG,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,-39800000,-22100000,-17000000,-28500000,-90200000,-60200000,11700000,119900000,-6100000,-340700000,-54200000,172519000,-351603000,-638798000,-601209000,399613000,210330000,-9600000,-202300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-7700000,-33100000,73900000,-16000000,12700000,220900000,-247900000,-212700000,-28000000,597900000,-50600000,-4791000,705464000,958411000,767891000,243605000,200155000,271100000,172000000,- -,- -,- -,155000000,- -,51000000,134000000,-54000000,43000000,109000000,9000000,62000000,13000000,- -
81,Other Working Capital,-1432000000,-1147000000,454200000,1467900000,1242400000,1388000000,1158500000,2605800000,920400000,2998700000,1220600000,- -,-12632000000,-12979000000,-13512000000,-13537000000,-13981000000,-14087000000,-15023000000,-16834000000,-165416742000,-162422473000,-163424008000,3683100000,3779500000,3309500000,4402300000,5236000000,5293000000,- -,-7741000000,-39168000000,-41924000000,-45713000000,-50481000000,-12438000000,-62388000000,34480000000,15821000000
82,Other Non-Cash Items,200000000,-286700000,-1589400000,-909700000,247800000,-199600000,198400000,-1395700000,1814000000,-2218500000,1875300000,1464100000,12705600000,407300000,690353000,180045000,585791000,486112000,1525168000,2359941000,148861570000,-2520677000,1604270000,-166759908000,114600000,1026600000,-896100000,-662700000,75000000,5365000000,7888000000,32053000000,3629000000,4156000000,5990000000,-36700000000,51250000000,-95716000000,18191000000
83,Cash Provided by Operating Activities,354300000,306800000,228300000,311100000,93900000,85100000,195900000,214900000,204200000,240800000,304100000,307600000,312600000,373000000,426003000,385445000,378231000,441465000,721916000,808571000,749500000,1007672000,1022350000,967600000,788500000,972900000,914400000,864000000,667000000,817000000,760000000,1222000000,1357000000,1150000000,1804000000,2083000000,2456000000,2183000000,1714000000
84,CAPEX,-102200000,-133000000,-78800000,-37500000,-30800000,-36000000,-40700000,-57900000,-25700000,-25800000,-17500000,-22100000,-42600000,-38000000,-64917000,-66819000,-74063000,-88371000,-90111000,-53639000,-29699000,-56373000,-79469000,-72400000,-14500000,-46200000,-62500000,-74000000,-86000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-62000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-86213000,134264000,-285971000,30694000,40395000,-48447000,- -,-72058000,- -,- -,- -,-68200000,-28600000,95000000,4000000,288000000,-5000000,811000000,-42000000,- -,- -,-23000000,- -,-425000000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,-1101600000,-1009200000,-875300000,-1113200000,-2379500000,-2139100000,-2605059000,-2248931000,-2130160000,-1681378000,-3844666000,-6215605000,-8161185000,-5807766000,-4466782000,-3427700000,-4639700000,-6415200000,-5009800000,-6212000000,-7281000000,-6588000000,-8577000000,-9009000000,-9301000000,-10736000000,-13477000000,-13841000000,-10891000000,-13138000000,-5000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,904500000,933100000,734300000,885400000,3029900000,1547000000,897786000,1248775000,1068608000,695328000,902820000,1834702000,7156077000,1270482000,3112562000,3377200000,3340400000,5758400000,4268400000,4688000000,4856000000,5188000000,5849000000,4847000000,4873000000,7911000000,10276000000,8527000000,8127000000,12343000000,1329000000
88,Other Investing Activites,177200000,-22300000,74800000,-51800000,-55800000,10700000,-181200000,99600000,20100000,2100000,-7000000,27900000,-52200000,292500000,1538561000,857191000,1411872000,793076000,2421071000,3617582000,-96017000,3918528000,177860000,-239500000,32100000,50700000,49400000,-202000000,68000000,-313000000,-182000000,-268000000,-107000000,-156000000,-91000000,-13000000,-301000000,-344000000,-2393000000
89,Cash Used for Investing Activites,75000000,-155300000,-4000000,-89300000,-86600000,-25300000,-221900000,41700000,-202700000,-99800000,-165500000,-222000000,555600000,-337600000,-319842000,-75520000,-9714000,-250651000,-570491000,-865407000,-1130824000,-747187000,-1255829000,-362400000,-1281700000,-720500000,-783100000,-1705000000,-2439000000,-1425000000,-2915000000,-3619000000,-4577000000,-2981000000,-3292000000,-5350000000,-3065000000,-1564000000,-1131000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-50500000,-51300000,-7000000,-22400000,-135100000,-17500000,-1061200000,-582300000,-230688000,-251837000,-478657000,-141577000,-143840000,-159926000,-454775000,-11621000,-122409000,-209900000,-227900000,-622400000,-785100000,-39000000,-20000000,-365000000,-40000000,-2000000,-192000000,-18000000,-745000000,- -,-150000000,-150000000,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,20300000,15900000,11600000,-24200000,22100000,19100000,211600000,26300000,13845000,10236000,3459000,157295000,2582000,1608000,12148000,91480000,25813000,38700000,18300000,22600000,14900000,32000000,39000000,46000000,54000000,47000000,61000000,35000000,37000000,33000000,36000000,22000000,66000000
92,Common Stock Repurchased,-11100000,-382500000,-2900000,-53800000,-25700000,-17600000,-149200000,-321300000,-142700000,- -,- -,-47700000,- -,-45500000,-341259000,-20651000,-94106000,-2479000,-75000000,- -,-11322000,-188961000,-22611000,- -,-199100000,-47400000,-81000000,-292000000,-315000000,-415000000,-70000000,-191000000,-126000000,-133000000,- -,-6000000,- -,-313000000,-319000000
93,Dividends Paid,-35000000,-25400000,- -,- -,-1900000,-1700000,-27700000,-29200000,-32300000,-36800000,-38200000,-40600000,-27200000,-60400000,-59275000,-60790000,-59532000,-52886000,-66068000,-27834000,-31338000,-35126000,-33103000,-38200000,-41900000,-50700000,-59900000,-63000000,-67000000,-90000000,-160000000,-167000000,-176000000,-185000000,-417000000,-394000000,-444000000,-334000000,-2374000000
94,Other Financing Activites,-154800000,-23600000,-66000000,-104300000,-26100000,-9600000,195600000,147800000,151000000,3300000,500000,5400000,381700000,530400000,320037000,52721000,354228000,-103127000,236404000,569918000,589060000,151933000,-4104000,461400000,430700000,893600000,635300000,1182000000,2360000000,1813000000,2305000000,2414000000,3530000000,3019000000,2844000000,2811000000,1966000000,652000000,670000000
95,Cash Used/Provided by Financing Activities,-200900000,-431500000,-68900000,-158100000,-53700000,-28900000,-11500000,-238100000,-19400000,-80100000,-150700000,-81300000,-495100000,-131500000,-297340000,-270321000,-274608000,-142774000,-45922000,383766000,103773000,7705000,-156414000,252000000,-19900000,195700000,-275800000,820000000,1997000000,989000000,2089000000,2101000000,3097000000,2718000000,1719000000,2444000000,1408000000,-123000000,-1957000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38200000,8300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,228400000,-280000000,155400000,63700000,-46400000,30900000,-11500000,-238100000,-19400000,-80100000,-150700000,-81300000,-495100000,-131500000,-191179000,39604000,93909000,48040000,105503000,326930000,-277551000,268190000,-389893000,857200000,-513100000,448100000,-144500000,-21000000,225000000,381000000,-66000000,-296000000,-123000000,887000000,231000000,-823000000,799000000,496000000,-679000000
98,Cash at the End of Period,228400000,38000000,193400000,256700000,1024600000,53900000,- -,- -,- -,- -,- -,- -,- -,- -,257117000,296721000,390630000,438670000,544173000,871103000,593552000,861742000,471849000,1329000000,815900000,1264000000,1119500000,1099000000,1324000000,1705000000,1639000000,1343000000,1220000000,2107000000,2338000000,1515000000,2314000000,2810000000,2131000000
99,Cash at the Beginning of Period,- -,318000000,38000000,193000000,1071000000,23000000,53600000,16100000,32900000,15000000,36200000,32400000,171300000,544400000,448296000,257117000,296721000,390630000,438670000,544173000,871103000,593552000,861742000,471800000,1329000000,815900000,1264000000,1120000000,1099000000,1324000000,1705000000,1639000000,1343000000,1220000000,2107000000,2338000000,1515000000,2314000000,2810000000
100,Free Cash Flow,252100000,173800000,149500000,273600000,63100000,49100000,155200000,157000000,178500000,215000000,286600000,285500000,270000000,335000000,361086000,318626000,304168000,353094000,631805000,754932000,719801000,951299000,942881000,895200000,774000000,926700000,851900000,790000000,581000000,817000000,760000000,1222000000,1357000000,1150000000,1804000000,2083000000,2456000000,2183000000,1652000000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1042046/000104204604000018/afg10k03.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204605000010/afg10k04.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204606000014/afg10k05.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204607000014/afg10k06.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204608000010/afg10k07.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204609000011/afg10k08.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204610000008/afg10k09.htm,https://www.sec.gov/Archives/edgar/data/1042046/000095012311019459/c10092e10vk.htm,https://www.sec.gov/Archives/edgar/data/1042046/000095012312003679/c25109e10vk.htm,- -,https://www.sec.gov/Archives/edgar/data/1042046/000104204614000014/afg-2013123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204615000015/afg-2014123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204616000074/afg-2015123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204617000014/afg-2016123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204618000014/afg-2017123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204619000014/afg-2018123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204620000013/afg-2019123110k.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204621000011/0001042046-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1042046/000104204622000010/0001042046-22-000010-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
