,https://roic.ai/company/PRU,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1137774/000095013003002060/0000950130-03-002060-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312504038160/0001193125-04-038160-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312505045535/0001193125-05-045535-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312506041378/0001193125-06-041378-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312507042867/0001193125-07-042867-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312508040213/0001193125-08-040213-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312509039316/0001193125-09-039316-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312510043048/0001193125-10-043048-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312511047467/0001193125-11-047467-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312512078116/0001193125-12-078116-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312513071582/0001193125-13-071582-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312514073074/0001193125-14-073074-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312515056366/0001193125-15-056366-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777416000226/0001137774-16-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777417000084/0001137774-17-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777418000063/0001137774-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777419000058/0001137774-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777420000065/0001137774-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777421000049/0001137774-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000038/0001137774-22-000038-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , 
73,Net Income,-154000000,194000000,1264000000,2256000000,3540000000,3428000000,3704000000,-1073000000,3124000000,3195000000,3666000000,469000000,-667000000,1381000000,5642000000,4368000000,7863000000,4074000000,4186000000,-374000000,7724000000
74,Depreciation and Amortization,446000000,559000000,733000000,589000000,501000000,350000000,272000000,656000000,175000000,-104000000,290000000,302000000,411000000,631000000,113000000,318000000,222000000,161000000,460000000,457000000,204000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-1541000000,-260991000000,-27595000000,-75232000000,-17107000000,-31661000000,-29358000000,34813000000,-26502000000,-47982000000,-78088000000,-82350000000,-25857000000,-32903000000,8538000000,-23450000000,-39131000000,10657000000,-65105000000,811878000000,3299000000
78,Accounts Receivable,- -,1596000000,-560000000,1781000000,-931000000,-1245000000,-1649000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,2026000000,2072000000,1110000000,3150000000,2688000000,3136000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-260991000000,-288586000000,-363818000000,-380925000000,-412586000000,-441944000000,-407131000000,-433633000000,-481615000000,-559703000000,-642053000000,-667910000000,-700813000000,-692275000000,-715725000000,-754856000000,-744199000000,-809304000000,2574000000,-4012000000
82,Other Non-Cash Items,1325000000,270219000000,25002000000,79506000000,17108000000,32258000000,31348000000,-23558000000,29043000000,51433000000,86509000000,102488000000,34558000000,50287000000,-398000000,33542000000,44491000000,6772000000,80084000000,-803593000000,-1415000000
83,Cash Provided by Operating Activities,76000000,9981000000,-596000000,7119000000,4042000000,4375000000,5966000000,10838000000,5840000000,6542000000,12377000000,20909000000,8445000000,19396000000,13895000000,14778000000,13445000000,21664000000,19625000000,8368000000,9812000000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,724000000,- -,- -,- -,- -,-2321000000,- -,-488000000,-23000000,- -,-532000000,-64000000,- -,-1755000000,1454000000,132000000
86,Purchases of Investments,-1416000000,-717000000,-56808000000,-108639000000,-1239000000,-128650000000,-135016000000,-161011000000,-46716000000,-101363000000,-107712000000,-102405000000,-158719000000,-155226000000,-148896000000,-151765000000,-143090000000,-144892000000,-122715000000,-144488000000,-133059000000
87,Sales/Maturities of Investments,108471000000,67180000000,53609000000,102374000000,110976000000,117980000000,130219000000,153186000000,45034000000,92633000000,98351000000,88352000000,146820000000,142971000000,144555000000,132784000000,134239000000,126967000000,111683000000,127190000000,127445000000
88,Other Investing Activites,-94591000000,-80515000000,-1220000000,-1158000000,-121010000000,-201000000,-207000000,-2955000000,4111000000,208000000,-1613000000,-1367000000,-3947000000,-4810000000,-3405000000,-2038000000,-3019000000,-3703000000,-4241000000,-366000000,140000000
89,Cash Used for Investing Activites,12464000000,-14052000000,-4419000000,-7423000000,-11273000000,-10147000000,-5004000000,-10780000000,2429000000,-8522000000,-13295000000,-15420000000,-16334000000,-17088000000,-7746000000,-21551000000,-11934000000,-21628000000,-17028000000,-16210000000,-5342000000
90,Debt Repayment,-720000000,-2712000000,-1226000000,-2787000000,-1496000000,-2126000000,-5124000000,-16632000000,-14373000000,-4601000000,-509000000,-3391000000,-3939000000,-7384000000,-4957000000,-2753000000,-1827000000,-1810000000,-2067000000,-2762000000,-1708000000
91,Common Stock Issued,4167000000,1000000,53000000,690000000,- -,166000000,221000000,- -,1391000000,970000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-782000000,-1007000000,-1493000000,-2095000000,-2512000000,-3000000000,-2161000000,- -,- -,-999000000,-650000000,-738000000,-1000000000,-1664000000,-2119000000,-1250000000,-1500000000,-2500000000,-500000000,-2500000000
93,Dividends Paid,- -,-192000000,-275000000,-341000000,-394000000,-440000000,-533000000,-317000000,-347000000,-575000000,-704000000,-768000000,-847000000,-1027000000,-1117000000,-1300000000,-1296000000,-1521000000,-1641000000,-1766000000,-1814000000
94,Other Financing Activites,-5127000000,-882000000,5521000000,4437000000,11123000000,11434000000,9975000000,22923000000,2908000000,5819000000,4311000000,3504000000,7766000000,11040000000,4214000000,9410000000,3115000000,5612000000,4574000000,9911000000,3011000000
95,Cash Used/Provided by Financing Activities,-1680000000,-4567000000,3066000000,506000000,7138000000,6522000000,1539000000,3813000000,-10421000000,1613000000,2099000000,-1305000000,2242000000,1629000000,-3524000000,3238000000,-1258000000,781000000,-1634000000,4883000000,-3011000000
96,Effect of Forex Changes on Cash,- -,- -,- -,-79000000,-180000000,40000000,-30000000,97000000,288000000,118000000,155000000,-335000000,-1014000000,-458000000,69000000,50000000,110000000,142000000,16000000,340000000,-309000000
97,Net Change In Cash,10860000000,-8638000000,-1949000000,123000000,-273000000,790000000,2471000000,3968000000,-1864000000,-249000000,1336000000,3849000000,-6661000000,3479000000,2694000000,-3485000000,363000000,959000000,979000000,-2619000000,-921000000
98,Cash at the End of Period,18536000000,9898000000,7949000000,8072000000,7799000000,8589000000,11060000000,15028000000,13164000000,12915000000,14251000000,18100000000,11439000000,14918000000,17612000000,14127000000,14490000000,15495000000,16474000000,13855000000,12934000000
99,Cash at the Beginning of Period,7676000000,18536000000,9898000000,7949000000,8072000000,7799000000,8589000000,11060000000,15028000000,13164000000,12915000000,14251000000,18100000000,11439000000,14918000000,17612000000,14127000000,14536000000,15495000000,16474000000,13855000000
100,Free Cash Flow,76000000,9981000000,-596000000,7119000000,4042000000,4375000000,5966000000,10838000000,5840000000,6542000000,12377000000,20909000000,8445000000,19396000000,13895000000,14778000000,13445000000,21664000000,19625000000,8368000000,9812000000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1137774/000095013003002060/0000950130-03-002060-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312504038160/0001193125-04-038160-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312505045535/0001193125-05-045535-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312506041378/0001193125-06-041378-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312507042867/0001193125-07-042867-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312508040213/0001193125-08-040213-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312509039316/0001193125-09-039316-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312510043048/0001193125-10-043048-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312511047467/0001193125-11-047467-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312512078116/0001193125-12-078116-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312513071582/0001193125-13-071582-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312514073074/0001193125-14-073074-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000119312515056366/0001193125-15-056366-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777416000226/0001137774-16-000226-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777417000084/0001137774-17-000084-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777418000063/0001137774-18-000063-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777419000058/0001137774-19-000058-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777420000065/0001137774-20-000065-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777421000049/0001137774-21-000049-index.htm,https://www.sec.gov/Archives/edgar/data/1137774/000113777422000038/0001137774-22-000038-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,
