,https://roic.ai/company/SWM,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
31,Cash and Cash Equivalents,5900000,30900000,37200000,6700000,15100000,23600000,50900000,15300000,3700000,4500000,5100000,13700000,4000000,11900000,56900000,87300000,76500000,151200000,272000000,290300000,186500000,107400000,106900000,93800000,103000000,54700000,74700000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59000000,- -
33,Cash and Short-Term Investments,5900000,30900000,37200000,6700000,15100000,23600000,50900000,15300000,3700000,4500000,5100000,13700000,4000000,11900000,56900000,87300000,76500000,151200000,272000000,290300000,186500000,107400000,106900000,93800000,103000000,113700000,74700000
34,Net Receivables,69500000,65100000,57000000,72300000,74300000,77700000,74800000,69400000,91900000,97700000,99800000,88900000,100600000,87000000,109200000,99800000,115200000,95400000,117500000,105400000,119400000,115100000,152800000,166800000,155700000,154700000,238000000
35,Inventory,56000000,49200000,56300000,69400000,62900000,64500000,62700000,74100000,97500000,119600000,123000000,119200000,131200000,118400000,127300000,113800000,113800000,111600000,132800000,108400000,112400000,119400000,155200000,151500000,161400000,179700000,259500000
36,Other Current Assets,6100000,5400000,7100000,7900000,6900000,9400000,5300000,7500000,9200000,9900000,14800000,13800000,11400000,11100000,6300000,11900000,21500000,23800000,14800000,15300000,26500000,22400000,18200000,17100000,7400000,-51700000,22400000
37,Total Current Assets,137500000,150600000,157600000,156300000,159200000,175200000,193700000,166300000,202300000,231700000,242700000,235600000,247200000,228400000,299700000,312800000,327000000,382000000,537100000,519400000,444800000,364300000,433100000,429200000,427500000,396400000,594600000
38,PP&E,166500000,194200000,201100000,283200000,252100000,249500000,287600000,307300000,411500000,453200000,414000000,416800000,456000000,407800000,401100000,440800000,428800000,401400000,393200000,362000000,308100000,307400000,361900000,340300000,351200000,358800000,463900000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2800000,2800000,15600000,- -,5800000,5600000,5700000,118700000,125500000,233300000,229500000,341300000,338100000,337400000,403700000,640800000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,17000000,18600000,- -,3000000,1500000,11800000,87700000,93100000,216400000,181900000,304600000,281100000,263200000,322000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11800000,19800000,34200000,14100000,8800000,7100000,17500000,206400000,218600000,449700000,411400000,645900000,619200000,600600000,725700000,640800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16600000,20500000,38700000,61200000,63100000,67800000,67500000,63800000,68500000,51900000,52400000,59300000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,1300000,2600000,2300000,- -,- -,14400000,15200000,26400000,17300000,11800000,11800000,10500000,- -,- -,100000,3700000,1000000,300000,3700000,2600000,- -
44,Other Non-Current Assets,43000000,35800000,32300000,35200000,25300000,17000000,15300000,15000000,19800000,32200000,34100000,18000000,36800000,31900000,43100000,55700000,31800000,14100000,24600000,18800000,19800000,23100000,32100000,25600000,36300000,36500000,713500000
45,Total Non-Current Assets,209500000,230000000,233400000,318400000,277400000,266500000,304200000,324900000,433600000,485400000,448100000,461000000,527800000,500300000,492200000,537600000,518200000,504700000,687300000,667200000,845200000,809400000,1109400000,1037300000,1044200000,1182900000,1818200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,347000000,380600000,391000000,474700000,436600000,441700000,497900000,491200000,635900000,717100000,690800000,696600000,775000000,728700000,791900000,850400000,845200000,886700000,1224400000,1186600000,1290000000,1173700000,1542500000,1466500000,1471700000,1579300000,2412800000
48,Accounts Payable,44300000,54500000,43400000,58100000,46300000,52700000,44100000,45900000,68800000,71300000,64300000,62500000,84300000,64500000,46700000,66400000,53700000,45600000,47000000,44800000,49000000,50300000,59400000,65700000,66400000,60500000,- -
49,Short-Term Debt,- -,4200000,3000000,15700000,12000000,5600000,46500000,9900000,30700000,50900000,30000000,17100000,13600000,34900000,17700000,8700000,5000000,4200000,4200000,2900000,3300000,3000000,5100000,3300000,1900000,2800000,3200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7400000,4000000,3700000,- -,- -,5300000,5300000,4000000,1600000,2800000,2700000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,6100000,5600000,6000000,7500000,6000000,6000000,6000000,6000000,6000000,6000000,2300000,100000,- -,- -,- -,- -,- -,- -,- -,2000000,- -
52,Other Current Liabilities,49800000,43100000,44100000,50700000,49100000,52100000,48800000,56600000,74100000,76700000,71700000,80900000,111300000,91700000,115500000,105600000,79800000,77000000,92700000,75800000,90800000,82500000,82600000,74500000,89300000,101600000,227900000
53,Total Current Liabilities,94100000,101800000,90500000,124500000,107400000,110400000,145500000,118000000,179600000,206400000,172000000,166500000,215200000,197100000,185900000,186700000,140800000,126900000,143900000,123500000,143100000,135800000,147100000,143500000,157600000,166900000,231100000
54,Long-Term Debt,91600000,86600000,80800000,108400000,100900000,97700000,56400000,37400000,66200000,63000000,83700000,80200000,87300000,144900000,42400000,43100000,141000000,151800000,381200000,437200000,568200000,437400000,679100000,618800000,538000000,590500000,1267100000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,10100000,9500000,11200000,12700000,13100000,14900000,15400000,17000000,26300000,39300000,40200000,29000000,25000000,11000000,14200000,28900000,19800000,28400000,80900000,71400000,45300000,29800000,42300000,48000000,48200000,45100000,87600000
57,Other Non-Current Liabilities,18300000,19700000,21900000,24100000,23900000,32400000,94600000,107900000,104100000,102400000,88200000,101300000,79700000,98300000,60000000,67500000,67700000,67800000,57000000,65500000,65500000,62400000,127300000,98300000,130200000,132800000,144800000
58,Total Non-Current Liabilities,120000000,115800000,113900000,145200000,137900000,145000000,166400000,162300000,196600000,204700000,212100000,210500000,192000000,254200000,123800000,139500000,228500000,248000000,519100000,574100000,679000000,529600000,848700000,765100000,716400000,768400000,1499500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3200000,- -,- -
61,Total Liabilities,214100000,217600000,204400000,269700000,245300000,255400000,311900000,280300000,376200000,411100000,384100000,377000000,407200000,451300000,309700000,326200000,369300000,374900000,663000000,697600000,822100000,665400000,995800000,908600000,874000000,935300000,1730600000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000,1900000,1900000,1900000,3100000,3100000,3000000,3000000,3100000,3100000,3100000,3100000,3100000,- -
64,Retained Earnings,46300000,77800000,113500000,134800000,156700000,175300000,190900000,214600000,244000000,271500000,281800000,271600000,264600000,255900000,281900000,336400000,418900000,483400000,520000000,512700000,552600000,585300000,566700000,608200000,638400000,666200000,- -
65,Other Comprehensive Income/Loss,-155500000,-166800000,-168900000,-196100000,-199800000,-212500000,-221900000,-61600000,-35000000,-21500000,-38700000,-21100000,19900000,-30600000,6700000,1500000,-24500000,-15400000,-5000000,-76500000,-141400000,-139300000,-89400000,-124500000,-122600000,-111900000,-119000000
66,Other Total Stockholders Equity,239100000,245000000,234900000,258300000,225700000,215500000,208900000,42900000,39600000,41000000,48200000,51900000,55700000,50500000,191700000,184400000,79600000,40700000,43300000,49800000,53700000,59200000,66300000,71100000,78800000,92200000,- -
67,Total Stockholders Equity,129900000,156000000,179500000,197000000,184200000,179900000,179500000,197500000,250200000,292600000,292900000,304000000,341800000,277400000,482200000,524200000,475900000,511800000,561400000,489000000,467900000,508300000,546700000,557900000,597700000,649600000,682200000
68,Total Liabilities And Stockholders Equity,344000000,373600000,383900000,466700000,429500000,435300000,491400000,477800000,626400000,703700000,677000000,681000000,749000000,728700000,791900000,850400000,845200000,886700000,1224400000,1186600000,1290000000,1173700000,1542500000,1466500000,1471700000,1584900000,2412800000
69,Minority Interest,3000000,7000000,7100000,8000000,7100000,6400000,6500000,13400000,9500000,13400000,13800000,15600000,26000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5600000,- -
70,Total Liabilities & Equity,347000000,380600000,391000000,474700000,436600000,441700000,497900000,491200000,635900000,717100000,690800000,696600000,775000000,728700000,791900000,850400000,845200000,886700000,1224400000,1186600000,1290000000,1173700000,1542500000,1466500000,1471700000,1579300000,2412800000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1000623/000095014497002659/0000950144-97-002659-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014498002403/0000950144-98-002403-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014499002410/0000950144-99-002410-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014400002914/0000950144-00-002914-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014401003277/0000950144-01-003277-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014402002150/0000950144-02-002150-index.html,https://www.sec.gov/Archives/edgar/data/1000623/000095014403002793/0000950144-03-002793-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000104746904007537/0001047469-04-007537-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000110465905009819/0001104659-05-009819-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000110465906014372/0001104659-06-014372-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000110465907015976/0001104659-07-015976-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000104746908002365/0001047469-08-002365-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000104746909002315/0001047469-09-002315-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000114420410011915/0001144204-10-011915-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000114036111012277/0001140361-11-012277-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062312000056/0001000623-12-000056-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062313000042/0001000623-13-000042-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062314000035/0001000623-14-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062315000028/0001000623-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062316000141/0001000623-16-000141-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062317000036/0001000623-17-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062318000044/0001000623-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062319000048/0001000623-19-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062320000048/0001000623-20-000048-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062321000047/0001000623-21-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1000623/000100062322000016/0001000623-22-000016-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,36800000,38700000,45300000,31000000,31400000,27800000,24500000,32600000,34500000,36400000,19400000,-800000,3400000,700000,35600000,65300000,92600000,79800000,76100000,89700000,89700000,82800000,34500000,94500000,85800000,83800000,88900000
74,Depreciation and Amortization,13400000,13400000,14400000,24800000,22200000,22100000,21400000,21500000,24700000,30800000,32100000,37500000,33200000,41600000,43900000,40000000,43600000,39400000,37300000,45100000,41000000,44500000,59500000,61600000,57700000,72200000,92700000
75,Deferred Income Tax,-100000,8600000,9900000,5000000,10400000,6100000,4600000,4400000,4200000,2100000,1900000,-10600000,-13600000,-22300000,9400000,25400000,-15900000,17500000,17300000,3300000,-6700000,-13500000,38300000,-4500000,6900000,-5700000,-33100000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8200000,7700000,3800000,6900000,3200000,5900000,3500000,5800000,7100000,4800000,7700000,8800000,8500000
77,Change in Working Capital,10400000,5400000,18300000,-35300000,20000000,13000000,-16600000,100000,-25600000,2600000,45400000,-1600000,-37100000,-700000,82500000,12300000,60100000,68900000,138100000,2700000,-94200000,-73200000,57500000,-300000,-15800000,-40400000,-61400000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6100000,-15800000,-25800000,15000000,4400000,13300000,-18000000,3100000,-900000,-18300000,10800000,-5300000,- -
79,Inventory,-7900000,6800000,-7100000,-1400000,6500000,-1600000,1800000,-11400000,-17200000,-20900000,-5500000,11900000,-3800000,5500000,-2000000,9900000,-4500000,-600000,-1000000,14900000,1300000,-6900000,-6400000,-4900000,-11200000,-3500000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20800000,17400000,-4500000,-7800000,-1500000,3100000,6500000,-3700000,4700000,8000000,-2100000,-12700000,- -
81,Other Working Capital,43400000,48800000,67100000,31800000,51800000,64800000,48200000,48300000,22700000,25300000,70700000,69100000,32000000,31300000,113800000,126100000,186200000,255100000,393200000,395900000,301700000,228500000,286000000,285700000,269900000,229500000,- -
82,Other Non-Cash Items,4400000,24300000,-20600000,41600000,-23300000,2700000,72900000,5300000,27000000,-14600000,-60700000,27300000,85400000,14000000,-116200000,-9600000,-102700000,-37900000,-93900000,19200000,111400000,83300000,-65900000,-17000000,18000000,42900000,-37500000
83,Cash Provided by Operating Activities,64900000,90400000,67300000,67100000,60700000,71700000,106800000,63900000,64800000,57300000,38100000,51800000,71300000,33300000,63400000,141100000,81500000,174600000,178100000,165900000,144700000,129700000,131000000,139100000,160300000,161600000,58100000
84,CAPEX,-22500000,-51500000,-35800000,-102100000,-26300000,-29400000,-73800000,-30300000,-92000000,-46700000,-18800000,-13400000,-56600000,-41700000,-20800000,-83000000,-62200000,-28100000,-29600000,-36100000,-25100000,-30600000,-40700000,-29700000,-34100000,-33300000,-38900000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8400000,-11900000,- -,- -,-51300000,- -,- -,-12200000,-21000000,-229700000,-41400000,-280600000,- -,-291700000,- -,- -,-169300000,-630600000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,-12800000,-1900000,- -,- -,-12200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,1100000,-4400000,-12300000,-5300000,-5600000,-1100000,3600000,-3300000,-5500000,-1600000,-6000000,4000000,-3500000,-200000,-20200000,-81200000,-47700000,-30700000,-24000000,-33100000,-33100000,-22400000,-26800000,-27500000,-14800000,-33800000,-5900000
89,Cash Used for Investing Activites,-21400000,-55900000,-48100000,-107400000,-31900000,-30500000,-70200000,-33600000,-97500000,-56700000,-36700000,-12300000,-72900000,-95100000,-20200000,-81200000,-72100000,-51700000,-253700000,-74500000,-313700000,-22400000,-318500000,-27500000,-14800000,-203100000,-636500000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-156000000,-56300000,-128500000,-31800000,-228100000,-170600000,-338700000,-171000000,-208800000,-694000000,-99500000,-165300000,-71300000
91,Common Stock Issued,- -,- -,300000,300000,- -,- -,300000,2200000,1100000,7900000,6900000,2200000,4400000,200000,117400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-3800000,-4300000,-13200000,- -,-500000,-5100000,-8000000,-1000000,- -,-5800000,-6300000,-800000,-19000000,-120900000,-50000000,-1700000,-52500000,-2900000,-700000,-1200000,-3000000,-900000,-1000000,-3400000
93,Dividends Paid,-25700000,-8100000,-14100000,-14900000,-14700000,-13800000,-12300000,-8900000,-19300000,-12700000,-12700000,-9400000,-9400000,-9400000,-9600000,-10800000,-10100000,-14100000,-39500000,-44500000,-46900000,-49400000,-51900000,-53200000,-54400000,-55000000,-55300000
94,Other Financing Activites,-12500000,-1400000,900000,28200000,-1400000,-5700000,2700000,-58700000,44400000,13000000,6000000,-23900000,1900000,85500000,50100000,55300000,241200000,45300000,456600000,228500000,480900000,35400000,441400000,629300000,19000000,212700000,729900000
95,Cash Used/Provided by Financing Activities,-38200000,-9500000,-12900000,9800000,-20400000,-32700000,-9300000,-65900000,21100000,200000,-800000,-31100000,-8900000,70000000,1100000,-30800000,-18300000,-50600000,187300000,-39100000,92400000,-185700000,179500000,-120900000,-135800000,-8600000,599900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000,800000,-300000,700000,1300000,-1900000,2400000,9100000,-34000000,-27200000,-700000,7500000,-3800000,-500000,1800000,-1500000
97,Net Change In Cash,-38200000,25000000,-12900000,9800000,8400000,8500000,27300000,-35600000,-11600000,800000,600000,8600000,-9700000,7900000,45000000,30400000,-10800000,74700000,120800000,18300000,-103800000,-79100000,-500000,-13100000,9200000,-48300000,599900000
98,Cash at the End of Period,- -,30900000,- -,- -,15100000,23600000,50900000,15300000,3700000,4500000,5100000,13700000,4000000,11900000,56900000,87300000,76500000,151200000,272000000,290300000,186500000,107400000,106900000,93800000,103000000,54700000,- -
