,https://roic.ai/company/LYTS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,500000,500000,600000,700000,1200000,1700000,1500000,1700000,1300000,1400000,1700000,1300000,1200000,1400000,1132000,1267000,2422000,- -,1333000,1693000,2065000,2175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,100000,- -,100000,- -,800000,400000,400000,- -,- -,100000,- -,- -,- -,- -,- -,583000,1289000,479000,415000,3584000,3028000,2685000,2163000,2937000,1279000,2187000,2580000,807000,1479000,2707000,1747000,1138000,4167000
58,Total Non-Current Liabilities,2400000,3300000,2900000,9100000,10600000,10000000,10200000,6100000,5100000,9100000,3100000,2500000,2300000,3100000,2630000,24905000,20110000,13999000,13470000,2982000,19115000,2590000,3584000,3028000,3784000,3227000,2937000,1279000,2187000,2580000,807000,51177000,48067000,41288000,11914000,84756000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11391000,14098000
61,Total Liabilities,5400000,7100000,7600000,20900000,25100000,22400000,23000000,18400000,22300000,33100000,24800000,27200000,31600000,34900000,28571000,54566000,50493000,37871000,45869000,34597000,59416000,57551000,35024000,22645000,29627000,24803000,25858000,27489000,31476000,39427000,40040000,96602000,90266000,81163000,46563000,155651000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45600000,47719000,50808000,52497000,52585000,53059000,54405000,- -,- -,- -,- -,- -,- -,- -,102492000,104064000,106353000,113653000,120259000,124104000,125729000,127713000,132526000
64,Retained Earnings,7200000,9400000,12400000,16200000,17400000,16100000,11100000,12500000,16400000,21500000,26700000,33500000,43300000,57200000,70493000,76385000,86852000,72320000,75804000,83635000,86898000,96735000,66851000,47640000,44255000,50274000,47969000,39198000,34348000,36599000,41867000,39819000,15124000,-5808000,-1920000,-1405000
65,Other Comprehensive Income/Loss,-1000000,-1400000,-2300000,-4700000,-3900000,-5700000,-6000000,-7500000,-8600000,-9000000,-11200000,-13500000,-17100000,-20000000,-24625000,-28412000,-32436000,-37053000,-40567000,-45118000,-50121000,-53289000,-57378000,-61237000,-63962000,- -,-71576000,-74553000,-75417000,-78441000,-82299000,-77147000,-77176000,16000,-93000,49000
66,Other Total Stockholders Equity,6800000,7100000,7100000,11100000,10900000,12800000,13100000,14700000,16200000,17000000,39200000,48000000,52500000,20000000,24625000,28412000,32436000,37053000,40567000,45118000,128208000,132615000,139043000,144070000,163925000,- -,172975000,74553000,75417000,78441000,82299000,77147000,77199000,- -,- -,- -
67,Total Stockholders Equity,13000000,15100000,17200000,22600000,24400000,23200000,18200000,19700000,24000000,29500000,54700000,68000000,78700000,102800000,118212000,127193000,139349000,124905000,128863000,138040000,164985000,176061000,148516000,130473000,144218000,151218000,149368000,141690000,138412000,142952000,155520000,160078000,139251000,119937000,125700000,131170000
68,Total Liabilities And Stockholders Equity,18400000,22200000,24800000,43500000,49500000,45600000,41200000,38100000,46300000,62600000,79500000,95200000,110300000,137700000,146783000,181759000,189842000,162776000,174732000,172637000,224401000,233612000,183540000,153118000,173845000,176021000,175226000,169179000,169888000,182379000,195560000,256680000,229517000,201100000,172263000,286821000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18400000,22200000,24800000,43500000,49500000,45600000,41200000,38100000,46300000,62600000,79500000,95200000,110300000,137700000,146783000,181759000,189842000,162776000,174732000,172637000,224401000,233612000,183540000,153118000,173845000,176021000,175226000,169179000,169888000,182379000,195560000,256680000,229517000,201100000,172263000,286821000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/763532/000095015200006907/0000950152-00-006907-index.html,https://www.sec.gov/Archives/edgar/data/763532/000102140801506994/0001021408-01-506994-index.html,https://www.sec.gov/Archives/edgar/data/763532/000102140802012029/0001021408-02-012029-index.html,https://www.sec.gov/Archives/edgar/data/763532/000119312503052503/0001193125-03-052503-index.html,https://www.sec.gov/Archives/edgar/data/763532/000119312504154715/d10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000119312505184005/d10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000119312506187706/d10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000095015207007482/0000950152-07-007482-index.html,https://www.sec.gov/Archives/edgar/data/763532/000095015208007199/0000950152-08-007199-index.html,https://www.sec.gov/Archives/edgar/data/763532/000095012309042751/0000950123-09-042751-index.html,https://www.sec.gov/Archives/edgar/data/763532/000095012310084407/0000950123-10-084407-index.html,- -,https://www.sec.gov/Archives/edgar/data/763532/000143774912009194/0001437749-12-009194-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774913011691/0001437749-13-011691-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774914016818/0001437749-14-016818-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774915016955/0001437749-15-016955-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774916038404/lyts20160630_10k.htm,https://www.sec.gov/Archives/edgar/data/763532/000143774917015804/0001437749-17-015804-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774918016857/0001437749-18-016857-index.html,https://www.sec.gov/Archives/edgar/data/763532/000143774919018000/0001437749-19-018000-index.html,- -,https://www.sec.gov/Archives/edgar/data/763532/000143774921021914/0001437749-21-021914-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,-4800000,1700000,4200000,6200000,6800000,8900000,12600000,17100000,17279000,9878000,14186000,-10748000,8690000,14636000,14443000,20789000,-13722000,-13414000,1424000,10828000,3224000,-123000,930000,5151000,9482000,3000000,-19541000,-16339000,9592000,5868000
