,https://roic.ai/company/VMC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.1270,0.1643,0.1945,0.1958,0.1870,0.1622,0.0730,0.1212,0.1105,0.1164,0.1769,0.1820,0.1790,0.2110,0.1492,0.1253,0.1073,0.0921,0.1077,0.1530,0.1659,0.2105,0.2006,0.0206,-0.0071,-0.0751,-0.0599,-0.0469,-0.0013,0.0998,0.0958,0.1523,0.0929,0.1422,0.1537,0.1531,0.1574
22,Income Tax expense (Gain),43800000,64200000,65100000,70200000,67900000,59000000,20900000,39700000,37000000,47900000,92200000,97000000,91400000,118900000,111900000,92345000,101373000,67247000,87971000,114353000,136402000,225963000,204416000,76724000,-37869000,-89663000,-78483000,-66492000,-24459000,91692000,94943000,124851000,-232075000,105449000,135198000,155803000,200100000
23,Net Income,71300000,93200000,116300000,136000000,129300000,120300000,52600000,94000000,88200000,98000000,166200000,188600000,209100000,255900000,239700000,219893000,222680000,169876000,194952000,287385000,388757000,467534000,450910000,-4115000,30314000,-96490000,-70778000,-52593000,24382000,204923000,221177000,419491000,601185000,515805000,617662000,587995000,670800000
24,Net Income ratio,0.0734,0.0973,0.1260,0.1291,0.1201,0.1088,0.0522,0.0872,0.0778,0.0782,0.1138,0.1202,0.1246,0.1441,0.1017,0.0882,0.0737,0.0607,0.0674,0.1171,0.1343,0.1399,0.1355,-0.0011,0.0113,-0.0377,-0.0276,-0.0205,0.0088,0.0684,0.0646,0.1168,0.1545,0.1177,0.1253,0.1211,0.1208
25,EPS,0.51,0.70,0.91,1.10,1.05,1.04,0.46,0.86,0.80,0.89,1.54,1.79,2.06,2.54,2.38,2.18,2.20,1.67,1.91,2.81,3.80,4.79,4.65,-0.04,0.25,-0.75,-0.55,-0.41,0.19,1.56,1.66,3.15,4.54,3.90,4.67,4.41,5.06
26,EPS Diluted,0.51,0.70,0.91,1.10,1.05,1.03,0.46,0.86,0.80,0.89,1.54,1.79,2.03,2.50,2.35,2.16,2.17,1.66,1.90,2.77,3.73,4.69,4.54,-0.04,0.25,-0.75,-0.55,-0.41,0.19,1.54,1.64,3.09,4.46,3.85,4.63,4.39,5.03
27,Weighted Average Shares Outstanding,139803922,133142857,127802198,123636364,123142857,115673077,114347826,109302326,110250000,110049000,107799000,105519000,101484000,100854000,100895000,101037000,101445000,101709000,101849000,102447000,102179000,97577000,97036000,109774000,118891000,128050000,129381000,129745000,130272000,131461000,133210000,133205000,132513000,132393000,132300000,132578000,132578000
28,Weighted Average Shares Outstanding Diluted,139803922,133142857,127802198,123636364,123142857,116796117,114347826,109302326,110250000,110166667,108672566,105864662,102849000,102177000,102190000,102012000,102497000,102515000,102710000,103664000,104085000,99777000,99403000,109774000,119430000,128050000,129381000,129745000,131467000,132991000,135093000,135790000,134878000,133926000,133385000,133245000,133245000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396009/000095014409001772/0000950144-09-001772-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000095012310018400/0000950123-10-018400-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/g24488e10vk.htm,https://www.sec.gov/Archives/edgar/data/1396009/000119312512089430/0001193125-12-089430-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000119312513084128/0001193125-13-084128-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/vmc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/vmc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000044/0001396009-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000005/0001396009-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600918000011/0001396009-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600919000021/0001396009-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600920000006/0001396009-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600921000009/0001396009-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600922000010/0001396009-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170728000,416689000,271450000,275138000,55230000,34888000,10194000,22265000,47541000,155839000,275478000,193738000,141273000,284060000,258986000,141646000,40037000,271589000,1197068000,235000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4974000,179210000,175140000,- -,- -,36734000,4111000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34301000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170728000,421663000,450660000,450278000,55230000,34888000,46928000,26376000,47541000,155839000,275478000,193738000,141273000,284060000,258986000,141646000,40037000,271589000,1231369000,235000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,332126000,359953000,281613000,476370000,391460000,421861000,356977000,268024000,317798000,314893000,296980000,339621000,373842000,418024000,491821000,588337000,540778000,570116000,- -,833300000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,239586000,219376000,177184000,197752000,243537000,356318000,364311000,325033000,319845000,327657000,335022000,344606000,321804000,347073000,345616000,384338000,429330000,458308000,448585000,521300000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47248000,49250000,508502000,40322000,41152000,344162000,125674000,123856000,86922000,64711000,77492000,73531000,83550000,35434000,40759000,65780000,69000000,79313000,597211000,101500000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,789688000,1050242000,1417959000,1164722000,731379000,1157229000,893890000,743289000,772106000,863100000,984972000,951496000,920469000,1084591000,1137182000,1180101000,1079145000,1379326000,2277165000,1691100000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1976053000,1892648000,1536493000,1603967000,1869114000,3620094000,4155812000,3874671000,3632914000,3418179000,3159185000,3312017000,3071630000,3156290000,3261438000,3918931000,4237307000,4724227000,4425999000,6238200000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620189000,3789091000,3083013000,3093979000,3097016000,3086716000,3086716000,3081521000,3094824000,3094824000,3094824000,3122321000,3165396000,3167061000,3172112000,3696700000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575791000,579817000,600181000,617083000,- -,- -,673792000,682643000,691693000,697502000,692532000,697578000,758243000,766579000,769052000,1063630000,1095378000,1091475000,1123544000,1749000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,575791000,579817000,600181000,617083000,620189000,3789091000,3756805000,3776622000,3788709000,3784218000,3779248000,3779099000,3853067000,3861403000,3863876000,4185951000,4260774000,4258536000,4295656000,5445700000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33283000,37386000,29004000,42081000,42387000,41650000,40558000,39226000,35115000,44615000,60709000,34301000,34100000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106689000,114153000,110500000,203112000,203543000,369956000,107662000,105085000,106776000,134813000,161113000,174144000,175086000,158790000,169753000,184793000,210289000,225995000,-34301000,273500000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2658533000,2586618000,2247174000,2424162000,2692846000,7779141000,8020279000,7789661000,7565785000,7366214000,7141627000,7307647000,7141433000,7217041000,7334293000,8324790000,8752985000,9269467000,8721655000,11991500000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3448221000,3636860000,3665133000,3588884000,3424225000,8936370000,8914169000,8532950000,8337891000,8229314000,8126599000,8259143000,8061902000,8301632000,8471475000,9504891000,9832130000,10648793000,10998820000,13682600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122053000,129361000,95312000,142221000,154215000,219548000,147104000,121324000,102315000,103931000,113337000,139345000,145148000,175729000,145042000,197335000,216473000,265159000,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78939000,278721000,3226000,272067000,199530000,2126681000,1394185000,621893000,290746000,134762000,150602000,170000,150137000,130000,138000,41383000,133023000,25000,515435000,5200000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,706050000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96717000,134870000,328151000,164726000,139942000,181958000,121777000,113478000,172611000,167560000,172472000,159620000,156593000,177620000,227064000,204154000,253054000,270379000,-173602000,764100000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,297709000,542952000,426689000,579014000,493687000,2528187000,1663066000,856695000,565672000,406253000,436411000,299135000,451878000,353479000,372244000,442872000,602550000,535563000,1047883000,769300000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,857757000,607654000,604522000,323392000,322064000,1529828000,2153588000,2116120000,2427516000,2680677000,2526401000,2522243000,1855447000,1980334000,1982751000,2813482000,2779357000,2784315000,515435000,4517300000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,73583000,219743000,213968000,207660000,198388000,191476000,186397000,179880000,- -,167100000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,345181000,338913000,348613000,275065000,287905000,671518000,949036000,887268000,849448000,732528000,657367000,701075000,691137000,681096000,702854000,464081000,567283000,633039000,- -,1005900000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157930000,252518000,271334000,284872000,319458000,446827000,625334000,620845000,530275000,618239000,671775000,578841000,672773000,624875000,642762000,624087000,493640000,894139000,113218000,655300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1360868000,1199085000,1224469000,883329000,929427000,2648173000,3727958000,3624233000,3807239000,4031444000,3929126000,4021902000,3433325000,3493965000,3526755000,4093126000,4026677000,4491373000,628653000,6345600000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5240345000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388042000,399582000,642500000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1658577000,1742037000,1651158000,1462343000,1423114000,5176360000,5391024000,4480928000,4372911000,4437697000,4365537000,4321037000,3885203000,3847444000,3898999000,4535998000,4629227000,5026936000,5659575000,7114900000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,139705000,139705000,139705000,139705000,139705000,108234000,110270000,125912000,128570000,129245000,129721000,130200000,131907000,133172000,132339000,132324000,131762000,132371000,- -,132700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2090319000,2185839000,2366915000,2637427000,2972738000,2083718000,1862913000,1752240000,1512863000,1334476000,1276649000,1295834000,1471845000,1618507000,1771518000,2180448000,2444870000,2895871000,3274107000,3748500000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2438000,2649000,-1309000,-2213000,-4953000,-40217000,-185282000,-194358000,-177339000,-216844000,-225517000,-99631000,-161714000,-120069000,-139376000,-149466000,-172215000,-197738000,-181305000,-152700000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-535476000,-525357000,-491336000,-648378000,-1106379000,1607865000,1734835000,2368228000,2500886000,2544740000,2580209000,2611703000,2734661000,2822578000,2807995000,2805587000,2798486000,2791353000,2934528000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1696986000,1802836000,2013975000,2126541000,2001111000,3759600000,3522736000,4052022000,3964980000,3791617000,3761062000,3938106000,4176699000,4454188000,4572476000,4968893000,5202903000,5621857000,6027330000,6545000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3355563000,3544873000,3665133000,3588884000,3424225000,8935960000,8913760000,8532950000,8337891000,8229314000,8126599000,8259143000,8061902000,8301632000,8471475000,9504891000,9832130000,10648793000,11686905000,13659900000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92658000,91987000,- -,- -,- -,410000,409000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-688085000,22700000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3448221000,3636860000,3665133000,3588884000,3424225000,8936370000,8914169000,8532950000,8337891000,8229314000,8126599000,8259143000,8061902000,8301632000,8471475000,9504891000,9832130000,10648793000,10998820000,13682600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396009/000095014409001772/0000950144-09-001772-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000095012310018400/0000950123-10-018400-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000095012311019699/g24488e10vk.htm,https://www.sec.gov/Archives/edgar/data/1396009/000119312512089430/0001193125-12-089430-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000119312513084128/0001193125-13-084128-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600914000006/vmc-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600915000005/vmc-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600916000044/0001396009-16-000044-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600917000005/0001396009-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600918000011/0001396009-18-000011-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600919000021/0001396009-19-000021-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600920000006/0001396009-20-000006-index.html,https://www.sec.gov/Archives/edgar/data/1396009/000139600921000009/0001396009-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396009/000139600922000010/0001396009-22-000010-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,129300000,120300000,52600000,94000000,88200000,98000000,166200000,188600000,209100000,255900000,239700000,219893000,222680000,169876000,194952000,287385000,388757000,467534000,450910000,-4115000,30314000,-96490000,-70778000,-52593000,24382000,204923000,221177000,419491000,601185000,515805000,617662000,587995000,670800000
74,Depreciation and Amortization,- -,- -,- -,- -,94100000,102700000,109700000,103300000,102800000,106600000,110700000,112600000,120600000,137800000,207100000,232365000,278209000,267676000,277091000,245050000,220956000,224696000,271475000,389060000,- -,- -,- -,313396000,283395000,251155000,245172000,256069000,275208000,- -,- -,396806000,- -
75,Deferred Income Tax,- -,- -,- -,- -,-28900000,-4000000,-15500000,2800000,-500000,6100000,5900000,4100000,3900000,6300000,-28000000,8274000,34909000,44989000,8857000,- -,- -,- -,-8489000,-22385000,-43773000,-51684000,-93739000,-69830000,-35063000,18378000,3069000,33591000,-235697000,64639000,76011000,62018000,66800000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23120000,20637000,18454000,17474000,22093000,23884000,18248000,20670000,26635000,25215000,31843000,32991000,34700000
77,Change in Working Capital,- -,- -,- -,- -,60600000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491979000,15311000,483980000,-405562000,-348016000,-1608650000,601782000,655770000,319840000,250413000,91714000,103800000,-183770000,262521000,33826000,-27709000,-260634000,367168000,385519000,-180300000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17412000,-42260000,-25118000,-42164000,-72763000,-81561000,63230000,-29734000,- -,- -
79,Inventory,- -,- -,- -,- -,-1400000,-5800000,3200000,6600000,3200000,1000000,-11900000,3900000,-3800000,-8800000,-11500000,-8448000,-15628000,-7545000,20609000,5815000,-6210000,-28552000,-29508000,-7630000,39289000,6708000,-6927000,-9028000,-7700000,-5595000,-20925000,1625000,-14121000,-34976000,-28273000,9801000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27091000,15485000,4229000,26491000,30353000,9823000,40181000,21788000,-6942000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491979000,507290000,991270000,585708000,237692000,-1370958000,-769176000,-113406000,206434000,456847000,548561000,652361000,468591000,731112000,764938000,737229000,476595000,843763000,1229282000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,-4900000,-18900000,36500000,1000000,2500000,-2500000,-16300000,40200000,12200000,-37400000,-15800000,-42375000,-25536000,-513018000,22835000,-435800000,269033000,235135000,1602898000,-529157000,-212396000,10403000,64693000,-61686000,-42108000,-54234000,-246809000,-119059000,5056000,487752000,-108562000,-394970000,419900000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,250200000,200100000,183300000,201100000,193000000,208200000,266500000,345500000,345800000,362600000,403000000,418157000,510262000,461502000,519046000,580615000,473184000,579349000,708144000,435185000,453035000,202706000,169043000,238475000,356499000,260336000,503378000,644588000,644678000,832777000,984122000,1070359000,1011900000
