,https://roic.ai/company/CZR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,281000000,322000000,350000000,371000000,- -,295000000,332000000,456000000,624000000,568000000,577000000,689000000,1003000000,1397000000,1270000000,1129000000,1220000000,1310000000,2366000000,3322000000,3597000000,8269000000,-185000000,3223000000,3153000000,81311000,78484000,113980000,201487000,254101000,460250000,659820000,893645000,1660000000,3217000000
11,COGS and Expenses,647000000,730000000,790000000,845000000,- -,733000000,811000000,1070000000,1369000000,1349000000,1406000000,1716000000,2413000000,3047000000,3075000000,3039000000,3289000000,3624000000,5984000000,8179000000,9175000000,13659000000,4550000000,7914000000,7711000000,229749000,224560000,339478000,648270000,793758000,1267156000,1715412000,2079794000,3428000000,7864000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,16000,18000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-20000000,-24000000,-26000000,-119000000,- -,-78000000,-73000000,-78000000,-74000000,-65000000,-30000000,-85000000,-121000000,-265000000,-256000000,-240000000,234419000000,271802000000,481000000,670000000,800000000,2074000000,1892000000,1981000000,2122300000,16069000,15681000,30752000,61558000,50917000,99769000,171732000,286248000,1174000000,2295000000
14,Depreciation and Amortization,- -,65100000,75500000,82100000,- -,63800000,70200000,86600000,95400000,102300000,122400000,159200000,218300000,282100000,327600000,304600000,319700000,347500000,523000000,711400000,905800000,1132200000,872000000,871700000,845900000,17651000,17031000,28643000,56921000,63449000,105891000,157429000,221525000,583000000,1126000000
15,EBITDA,134000000,156100000,204500000,7100000,- -,72800000,142200000,161600000,161400000,203300000,260400000,251200000,434300000,20100000,406600000,473600000,62830700000,81876500000,1013000000,1622400000,1974800000,-1630800000,1941000000,2489700000,1736300000,32729000,51609000,46738000,163082000,152412000,162330000,464783000,632751000,126000000,2119000000
16,EBITDA ratio,0.1679,0.1803,0.2164,0.0071,- -,0.0814,0.1393,0.1207,0.1022,0.1282,0.1608,0.1253,0.1501,0.0060,0.1115,0.1264,15.9105,18.6210,0.1445,0.1677,0.1824,-0.1610,0.2179,0.2911,0.2027,0.1285,0.2088,0.1292,0.2266,0.1707,0.1102,0.2261,0.2503,0.0363,0.2214
17,Operating Income,151000000,136000000,155000000,159000000,- -,161000000,210000000,269000000,209000000,237000000,214000000,288000000,481000000,283000000,573000000,709000000,660000000,773000000,1026000000,1495000000,1650000000,-3532000000,4358000000,640000000,856000000,15841000,22582000,17555000,72516000,89118000,94869000,310103000,409973000,-437000000,1460000000
18,Operating Income ratio,0.1892,0.1570,0.1640,0.1584,- -,0.1801,0.2057,0.2009,0.1324,0.1494,0.1322,0.1437,0.1662,0.0850,0.1571,0.1892,0.1671,0.1758,0.1464,0.1545,0.1524,-0.3488,0.4893,0.0748,0.0999,0.0622,0.0914,0.0485,0.1007,0.0998,0.0644,0.1508,0.1622,-0.1258,0.1526
19,Total Other Income Expenses (Gains),4000000,-7000000,- -,-115000000,- -,-76000000,-71000000,-130000000,-57000000,-65000000,-30000000,-85000000,-121000000,-265000000,-227000000,-238000000,-232000000,-260000000,-472000000,-660000000,-757000000,-2129000000,-1860000000,-1982000000,-2122000000,-16832000,-3685000,-30109000,-27913000,-51072000,-138199000,-174481000,-284995000,-1195000000,-2729000000
20,Income Before Tax,155000000,129000000,155000000,44000000,- -,85000000,139000000,139000000,152000000,172000000,184000000,203000000,360000000,18000000,346000000,471000000,428000000,513000000,554000000,835000000,893000000,-5661000000,2498000000,-1342000000,-1266000000,-991000,18897000,-12554000,44603000,38046000,-43330000,135622000,124978000,-1632000000,-1269000000
21,Income Before Tax Ratio,0.1942,0.1490,0.1640,0.0438,- -,0.0951,0.1361,0.1038,0.0963,0.1084,0.1137,0.1013,0.1244,0.0054,0.0948,0.1257,0.1084,0.1167,0.0790,0.0863,0.0825,-0.5590,0.2805,-0.1569,-0.1478,-0.0039,0.0764,-0.0347,0.0620,0.0426,-0.0294,0.0660,0.0494,-0.4698,-0.1326
22,Income Tax expense (Gain),- -,- -,- -,21000000,- -,35000000,59000000,75000000,61000000,67000000,69000000,75000000,129000000,15000000,126000000,174000000,-172201000000,-190641000000,-227000000,-295000000,-350000000,360000000,-1651000000,468000000,-506900000,- -,- -,1768000,-69580000,13244000,-117270000,40387000,43977000,126000000,-283000000
23,Net Income,154000000,115000000,155000000,23000000,- -,52000000,86000000,78000000,79000000,99000000,99000000,102000000,208000000,-12000000,209000000,235000000,293000000,368000000,236000000,536000000,619000000,-5197000000,828000000,-831000000,-725000000,-991000,18897000,-14425000,114183000,24802000,73940000,95235000,81001000,-1757000000,-1019000000
24,Net Income ratio,0.1930,0.1328,0.1640,0.0229,- -,0.0582,0.0842,0.0583,0.0500,0.0624,0.0611,0.0509,0.0719,-0.0036,0.0573,0.0627,0.0742,0.0837,0.0337,0.0554,0.0572,-0.5132,0.0930,-0.0972,-0.0846,-0.0039,0.0764,-0.0399,0.1586,0.0278,0.0502,0.0463,0.0320,-0.5058,-0.1065
25,EPS,2.00,1.49,2.01,0.29,- -,0.51,0.83,0.76,0.77,0.95,0.98,1.00,1.61,-0.10,1.80,2.06,2.66,3.26,1.57,2.85,3.28,-41.58,6.62,-8.39,-5.80,-0.02,0.41,-0.48,2.45,0.53,1.10,1.23,1.04,-13.50,-4.75
26,EPS Diluted,2.00,1.49,2.01,0.29,- -,0.51,0.83,0.76,0.77,0.95,0.98,1.00,1.61,-0.10,1.80,2.06,2.66,3.26,1.57,2.85,3.28,-41.58,6.62,-8.39,-5.80,-0.02,0.41,-0.48,2.43,0.52,1.09,1.22,1.03,-13.50,-4.75
27,Weighted Average Shares Outstanding,77000000,77000000,77000000,78000000,- -,101000000,103000000,103000000,103000000,104000000,101000000,102000000,129000000,117000000,116000000,114000000,110000000,113000000,150000000,188000000,189000000,125000000,125000000,99000000,125000000,46447432,46447432,29901405,46550042,47033311,67133531,77458902,77677265,130000000,214000000
28,Weighted Average Shares Outstanding Diluted,77000000,77000000,77000000,78000000,- -,101000000,103000000,103000000,103000000,104000000,101000000,102000000,129000000,117000000,116000000,114000000,110000000,113000000,150000000,188000000,189000000,125000000,125000000,99000000,125000000,46447432,46447432,29901405,47008980,47701562,68102814,78282101,78593819,130000000,214000000
29,SEC Link,- -,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858339/000104746904006606/a2129773z10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000104746905005121/a2152383z10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000110465906016242/a06-2584_110k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312507044315/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312508043934/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312509055861/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312510051491/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312511056393/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312512115625/d268435d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833913000013/a201210-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833914000014/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833915000055/a2014q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/1610979/000161097916000033/0001610979-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1610979/000161097917000007/0001610979-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/858339/000085833918000052/a2017q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833919000015/a2018q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833920000023/a2019q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089521000085/0001590895-21-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089522000061/0001590895-22-000061-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,58000000,56000000,40000000,- -,44000000,58000000,85000000,96000000,106000000,116000000,159000000,234000000,299000000,357000000,396000000,398000000,489000000,724000000,800000000,710000000,651000000,918000000,987000000,891000000,1758000000,29813000,87604000,78278000,61029000,134596000,230752000,206317000,1758000000,1070000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17631000,16957000,34634000,2021000000,- -
33,Cash and Short-Term Investments,- -,58000000,56000000,40000000,- -,44000000,58000000,85000000,96000000,106000000,116000000,159000000,234000000,299000000,357000000,396000000,398000000,489000000,724000000,800000000,710000000,651000000,918000000,987000000,891000000,1758000000,29813000,87604000,78278000,61029000,152227000,247709000,240951000,3779000000,1070000000
34,Net Receivables,- -,36000000,45000000,48000000,- -,53000000,32000000,33000000,38000000,41000000,44000000,55000000,154000000,178000000,133000000,134000000,127000000,177000000,505000000,458000000,481000000,394000000,324000000,393000000,488000000,581000000,3670000,7474000,9981000,14694000,46040000,76227000,57705000,338000000,472000000
35,Inventory,- -,9000000,10000000,11000000,- -,11000000,12000000,11000000,12000000,11000000,13000000,15000000,31000000,23000000,28000000,22000000,23000000,26000000,60000000,63000000,70000000,63000000,53000000,50000000,45000000,52000000,3109000,7234000,11742000,11055000,16870000,20595000,18379000,44000000,42000000
36,Other Current Assets,- -,19000000,10000000,11000000,- -,29000000,38000000,43000000,43000000,44000000,39000000,50000000,68000000,83000000,94000000,111000000,124000000,95000000,340000000,310000000,417000000,356000000,304000000,361000000,413000000,1103000000,2837000,15181000,16178000,14975000,35895000,228665000,287608000,2506000000,4380000000
37,Total Current Assets,- -,122000000,121000000,110000000,- -,137000000,140000000,172000000,189000000,202000000,212000000,279000000,487000000,583000000,612000000,663000000,672000000,787000000,1629000000,1631000000,1678000000,1464000000,1599000000,1791000000,1837000000,3494000000,39429000,117493000,116179000,101753000,251032000,573196000,604643000,6667000000,5964000000
38,PP&E,- -,824000000,979000000,1098000000,- -,1248000000,1002000000,1130000000,1205000000,1390000000,1478000000,1870000000,3061000000,3496000000,4028000000,3983000000,3839000000,4745000000,12513000000,14021000000,15572000000,18267000000,17925000000,17767000000,16486000000,15702000000,181248000,473464000,642636000,627467000,1520886000,2900486000,2804704000,14333000000,15263000000
39,Goodwill,- -,60000000,58000000,56000000,- -,- -,- -,- -,- -,- -,43000000,383000000,505000000,685000000,948000000,913000000,701000000,1355000000,3136000000,3689000000,3554000000,4902000000,3457000000,3421000000,3360000000,3160000000,- -,66826000,66826000,66826000,747106000,1008316000,909717000,9723000000,11076000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,210000000,271000000,315000000,861000000,2018000000,2045000000,2040000000,5308000000,4951000000,4712000000,4363000000,3986000000,20574000,491913000,492033000,487498000,996816000,1362006000,1111398000,4253000000,4920000000
41,Intangible Assets,- -,60000000,58000000,56000000,- -,- -,- -,- -,- -,- -,43000000,383000000,505000000,685000000,1158000000,1184000000,1016000000,2216000000,5154000000,5734000000,5594000000,10210000000,8408000000,8133000000,7723000000,7146000000,20574000,558739000,558859000,554324000,1743922000,2370322000,2021115000,13976000000,15996000000
42,Investments,- -,47000000,52000000,44000000,- -,51000000,32000000,117000000,72000000,216000000,152000000,274000000,169000000,87000000,79000000,5000000,7000000,6000000,26000000,26000000,19000000,30000000,94000000,94000000,94000000,100000000,18349000,14009000,1286000,1286000,- -,6694000,140774000,173000000,158000000
43,Tax Assets,- -,- -,- -,58000000,- -,47000000,39000000,7000000,- -,45000000,22000000,75000000,229000000,86000000,261000000,264000000,331000000,413000000,1847000000,1897000000,1980000000,4327000000,5857000000,5624000000,5132000000,4334000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,132000000,119000000,67000000,- -,114000000,315000000,312000000,171000000,121000000,99000000,405000000,316000000,229000000,-9000000,251000000,714000000,419000000,-651000000,-1024000000,-1485000000,-3249000000,-4904000000,-4821000000,-2756000000,-2778000000,10582000,11625000,6048000,9214000,30632000,60764000,69317000,-173000000,650000000
45,Total Non-Current Assets,- -,1063000000,1208000000,1323000000,- -,1460000000,1388000000,1566000000,1448000000,1772000000,1794000000,3007000000,4280000000,4583000000,5517000000,5687000000,5907000000,7799000000,18889000000,20654000000,21680000000,29585000000,27380000000,26797000000,26679000000,24504000000,230753000,1057837000,1208829000,1192291000,3295440000,5338266000,5035910000,28309000000,32067000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1185000000,1329000000,1433000000,- -,1597000000,1528000000,1738000000,1637000000,1974000000,2006000000,3286000000,4767000000,5166000000,6129000000,6350000000,6579000000,8586000000,20518000000,22285000000,23358000000,31049000000,28979000000,28588000000,28516000000,27998000000,270182000,1175330000,1325008000,1294044000,3546472000,5911462000,5640553000,34976000000,38031000000
48,Accounts Payable,- -,59000000,81000000,56000000,- -,51000000,15000000,55000000,51000000,63000000,45000000,58000000,81000000,89000000,122000000,110000000,118000000,175000000,365000000,465000000,442000000,382000000,261000000,251000000,290000000,376000000,6762000,12184000,17005000,21576000,34778000,58524000,61951000,165000000,254000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215000000,31000000,60000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2725000,32000,4524000,4545000,615000,462000,266166000,119000000,119000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147000000,2447000,15713000,19424000,18790000,43383000,99406000,66948000,159000000,183000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61659000000,68323000000,30073000000,219000000,143000000,200000000,157000000,148000000,175000000,170000000,114000000,- -,- -,- -,- -,- -,17639000,13461000,1166000000,- -
52,Other Current Liabilities,- -,82000000,98000000,148000000,- -,106000000,173000000,240000000,151000000,142000000,166000000,175000000,291000000,475000000,412000000,-61217000000,-67858000000,-29494000000,1014000000,1633000000,1162000000,1462000000,1197000000,1157000000,1143000000,2098000000,15660000,79628000,84181000,75919000,183666000,325552000,346868000,1135000000,4924000000
53,Total Current Liabilities,- -,141000000,179000000,204000000,- -,157000000,188000000,295000000,202000000,205000000,211000000,233000000,372000000,779000000,565000000,612000000,583000000,754000000,1598000000,2241000000,1804000000,2001000000,1606000000,1583000000,1603000000,2588000000,25147000,91844000,105710000,102040000,219059000,402177000,688446000,2585000000,5297000000
54,Long-Term Debt,- -,29000000,25000000,904000000,- -,877000000,665000000,727000000,754000000,890000000,924000000,1999000000,2540000000,2836000000,3719000000,3763000000,3672000000,5151000000,11039000000,11639000000,12430000000,23123000000,18869000000,18786000000,19760000000,20532000000,168000000,778827000,861713000,795881000,2189578000,3261273000,2324541000,67000000,26146000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5198100000,4334100000,- -,144439000,78797000,90385000,164130000,200010000,197266000,- -,1111000000
57,Other Non-Current Liabilities,- -,38000000,45000000,112000000,- -,135000000,139000000,93000000,95000000,159000000,135000000,203000000,369000000,281000000,470000000,504000000,585000000,645000000,2216000000,2334000000,2497000000,5046000000,6785000000,6586000000,947900000,955900000,1460000,8598000,8121000,7287000,28579000,1018849000,1313043000,1232000000,936000000
58,Total Non-Current Liabilities,- -,67000000,70000000,1016000000,- -,1012000000,804000000,820000000,849000000,1049000000,1059000000,2202000000,2909000000,3117000000,4189000000,4267000000,4257000000,5796000000,13255000000,13973000000,14927000000,28169000000,25654000000,25372000000,25906000000,25822000000,169460000,931864000,948631000,893553000,2382287000,4480132000,3834850000,1299000000,28193000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30065000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,260000,35000,- -,- -,- -,959835000,1167442000,12792000000,12473000000
61,Total Liabilities,- -,208000000,249000000,1220000000,- -,1169000000,992000000,1115000000,1051000000,1254000000,1270000000,2435000000,3281000000,3896000000,4754000000,4879000000,4840000000,6550000000,14853000000,16214000000,16731000000,30170000000,27260000000,26955000000,27509000000,28410000000,194607000,1023708000,1054341000,995593000,2601346000,4882309000,4523296000,31351000000,33490000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,40000000,- -,102000000,10000000,10000000,10000000,10000000,10000000,10000000,12000000,12000000,11000000,11000000,11000000,11000000,18000000,19000000,19000000,- -,- -,1000000,1000000,1000000,- -,- -,- -,- -,- -,1000,1000,- -,- -
64,Retained Earnings,- -,- -,- -,18000000,- -,101000000,187000000,266000000,205000000,291000000,349000000,451000000,513000000,224000000,248000000,260000000,467000000,638000000,654000000,907000000,1197000000,-5096000000,-4269000000,-5106000000,-5783000000,-7373000000,- -,-14425000,99758000,124560000,198500000,290206000,366463000,-1391000000,-2410000000
65,Other Comprehensive Income/Loss,- -,-224000000,-255000000,-310000000,- -,-435000000,-415000000,-473000000,8000000,32000000,-26000000,-36000000,-52000000,-82000000,-56000000,-50000000,-34000000,-18000000,-32000000,-6000000,30000000,-280000000,-268000000,-338000000,-97000000,42000000,1772000,87000,12000,12000,79000,1000,377000,34000000,36000000
66,Other Total Stockholders Equity,- -,1201000000,1334000000,465000000,- -,660000000,754000000,820000000,363000000,387000000,403000000,426000000,1013000000,1116000000,1171000000,1250000000,1294000000,1404000000,5025000000,5151000000,5381000000,6255000000,6257000000,7076000000,6886000000,6918000000,73575000,449933000,495456000,546751000,1212636000,738945000,750416000,6391000000,- -
67,Total Stockholders Equity,- -,977000000,1079000000,213000000,- -,428000000,536000000,623000000,586000000,720000000,736000000,851000000,1486000000,1270000000,1374000000,1471000000,1738000000,2035000000,5665000000,6071000000,6627000000,879000000,1720000000,1633000000,1007000000,-412000000,75575000,151519000,270667000,298451000,945126000,1029153000,1117257000,5016000000,4480000000
68,Total Liabilities And Stockholders Equity,- -,1185000000,1328000000,1433000000,- -,1597000000,1528000000,1738000000,1637000000,1974000000,2006000000,3286000000,4767000000,5166000000,6128000000,6350000000,6578000000,8585000000,20518000000,22285000000,23358000000,31049000000,28980000000,28588000000,28516000000,27998000000,270182000,1175227000,1325008000,1294044000,3546472000,5911462000,5640553000,36367000000,37970000000
69,Minority Interest,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1000000,1000000,- -,- -,- -,- -,-1000000,- -,- -,- -,- -,103000,- -,- -,- -,- -,- -,-1391000000,61000000
70,Total Liabilities & Equity,- -,1185000000,1329000000,1433000000,- -,1597000000,1528000000,1738000000,1637000000,1974000000,2006000000,3286000000,4767000000,5166000000,6129000000,6350000000,6579000000,8586000000,20518000000,22285000000,23358000000,31049000000,28979000000,28588000000,28516000000,27998000000,270182000,1175330000,1325008000,1294044000,3546472000,5911462000,5640553000,34976000000,38031000000
71,SEC Link,undefined,- -,- -,- -,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/858339/000104746904006606/a2129773z10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000104746905005121/a2152383z10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000110465906016242/a06-2584_110k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312507044315/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312508043934/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312509055861/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312510051491/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312511056393/d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000119312512115625/d268435d10k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833913000013/a201210-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833914000014/a201310-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833915000055/a2014q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/1610979/000161097916000033/0001610979-16-000033-index.html,https://www.sec.gov/Archives/edgar/data/1610979/000161097917000007/0001610979-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/858339/000085833918000052/a2017q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833919000015/a2018q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/858339/000085833920000023/a2019q4cecform10-k.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089521000085/0001590895-21-000085-index.htm,https://www.sec.gov/Archives/edgar/data/1590895/000159089522000061/0001590895-22-000061-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,115000000,155000000,23000000,- -,52000000,86000000,78000000,79000000,99000000,99000000,102000000,208000000,-12000000,209000000,235000000,293000000,368000000,236000000,536000000,619000000,-5197000000,828000000,-831000000,-725000000,-991000,18897000,-14425000,114183000,24802000,73940000,95235000,81001000,-1757000000,-1019000000
74,Depreciation and Amortization,- -,65100000,75500000,82100000,- -,63800000,70200000,86600000,95400000,102300000,122400000,159200000,218300000,282100000,327600000,304600000,319700000,347500000,523000000,711400000,905800000,1132200000,872000000,871700000,845900000,17651000,17031000,28643000,56921000,63449000,105891000,157429000,221525000,583000000,1126000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102500000,89900000,104300000,82400000,-30100000,73700000,-35000000,-485700000,1541200000,-465700000,-501200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-283000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52000000,53000000,- -,16000000,18000000,22200000,- -,- -,- -,1488000,3341000,6322000,13084000,19719000,78000000,82000000
77,Change in Working Capital,- -,-7100000,-39000000,-36000000,- -,100000000,-28000000,-75000000,110000000,10000000,4000000,45000000,69000000,-311000000,243000000,4000000,38000000,-56000000,-2000000,-641000000,484000000,-411000000,530000000,215000000,26000000,672000000,-891718000,11367000,-15180000,-10756000,32260000,139046000,-254822000,4165803000,298000000
78,Accounts Receivable,- -,- -,-9000000,-3000000,- -,-6000000,21000000,-1000000,-5000000,-3000000,-3000000,-11000000,-66000000,-1000000,11000000,20000000,- -,- -,- -,81000000,- -,- -,- -,- -,- -,-213000,-454000,358000,2955000,-4874000,-19110000,6104000,4586000,-70000000,-135000000
79,Inventory,- -,- -,-1000000,-1000000,- -,- -,-1000000,1000000,-1000000,1000000,-2000000,-2000000,-16000000,8000000,-5000000,6000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,-264000,-12000,-71000,687000,105000,596000,- -,- -,- -
80,Accounts Payable,- -,- -,-22000000,25000000,- -,2000000,36000000,-40000000,4000000,-12000000,18000000,-13000000,-23000000,-8000000,-33000000,12000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1473000,400000,1811000,178000,3183000,-18165000,-18667000,30904000,27000000,486000000
