,https://roic.ai/company/NGG,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,2433300000,2664500000,2882000000,2809100000,2979100000,3038300000,3347600000,6302000000,7763800000,- -,18993000000,18394000000,19897000000,22106000000,23077000000,32366000000,37712000000,38488000000,40077000000,41914000000,45129000000,44895000000,49058000000,52622000000,52266000000,52106000000,55017000000,61288000000,57278000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3069500000,3310100000,3190400000,3194900000,3347300000,3422300000,5093900000,8766800000,9982600000,- -,24943000000,23397000000,24711000000,25924000000,28389000000,37822000000,44467000000,43553000000,46400000000,47335000000,54705000000,52384000000,55089000000,58934000000,65840000000,58787000000,62963000000,67089000000,67216000000
48,Accounts Payable,224800000,261900000,295100000,314100000,354500000,357400000,308300000,529500000,648900000,- -,5046000000,1031000000,2337000000,2095000000,1852000000,2439000000,2835000000,1702000000,1720000000,1530000000,2033000000,1942000000,2050000000,2038000000,2135000000,- -,2404000000,2205000000,2165000000
49,Short-Term Debt,300000000,163000000,11500000,219300000,238000000,194800000,590600000,669000000,2213700000,- -,5046000000,4513000000,6148000000,2842000000,1031000000,3882000000,3253000000,2806000000,2952000000,2492000000,3448000000,3511000000,3028000000,3611000000,5496000000,- -,4472000000,4072000000,3737000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,122000000,103000000,419000000,75000000,295000000,383000000,391000000,632000000,490000000,362000000,314000000,380000000,411000000,243000000,- -,320000000,288000000,215000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191981160,- -,- -,- -,244000000,261000000,305000000,- -,224000000,236000000,275000000,298000000,- -,- -,- -,- -
52,Other Current Liabilities,371600000,384200000,380300000,277600000,381200000,545000000,516000000,662600000,-648900000,- -,-5046000000,-1031000000,-2337000000,554018840,477000000,801000000,938000000,1807000000,1893000000,1692000000,1964000000,1654000000,2060000000,1797000000,2582000000,-8697000000,2253000000,2287000000,3466000000
53,Total Current Liabilities,896400000,809100000,686900000,811000000,973700000,1097200000,1414900000,1861100000,2213700000,- -,5046000000,4513000000,6148000000,5683000000,3360000000,7122000000,7026000000,6559000000,6826000000,6019000000,7445000000,7331000000,7374000000,7721000000,10511000000,-8697000000,9129000000,8564000000,9368000000
54,Long-Term Debt,650000000,650000000,350000000,1095800000,804000000,1320500000,1637300000,3006200000,3755500000,- -,14255000000,13464000000,12800000000,10287000000,14686000000,17121000000,23540000000,22318000000,20246000000,20533000000,24647000000,22439000000,22882000000,24733000000,23142000000,- -,24258000000,26722000000,27483000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1566000000,- -,1557000000,1649000000,1605000000,1648000000,1802000000,1032000000,- -,1029000000,1183000000,1172000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,72100000,1172500000,- -,- -,2944000000,3189000000,2161000000,2389000000,3407000000,2661000000,3324000000,3766000000,3738000000,4076000000,4082000000,4297000000,4634000000,4479000000,- -,3965000000,4184000000,4815000000
57,Other Non-Current Liabilities,118600000,154200000,181300000,185900000,180700000,75200000,89200000,883300000,-676700000,- -,4406000000,1213000000,1183000000,4289000000,3807000000,4723000000,7256000000,5575000000,6493000000,6242000000,6655000000,5008000000,6914000000,6479000000,6292000000,-31242000000,5213000000,6852000000,4518000000
58,Total Non-Current Liabilities,768600000,804200000,531300000,1281700000,984700000,1395700000,1726500000,3961600000,4251300000,- -,18661000000,17621000000,17172000000,16737000000,20882000000,25251000000,33457000000,32783000000,30505000000,32070000000,37027000000,33134000000,35741000000,37648000000,34945000000,-31242000000,34465000000,38941000000,37988000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50571000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000000,202000000,207000000,195000000,170000000,203000000,243000000,308000000,- -,270000000,735000000,685000000
61,Total Liabilities,1665000000,1613300000,1218200000,2092700000,1958400000,2492900000,3141400000,5822700000,6465000000,- -,23707000000,22134000000,23320000000,22420000000,24242000000,32442000000,40483000000,39342000000,37331000000,38089000000,44472000000,40465000000,43115000000,45369000000,45456000000,-39939000000,43594000000,47505000000,47356000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,40000000,40100000,40100000,170500000,171600000,173500000,173900000,174700000,174700000,- -,308000000,309000000,309000000,310000000,308000000,294000000,294000000,298000000,416000000,422000000,433000000,439000000,443000000,447000000,449000000,- -,458000000,470000000,474000000
64,Retained Earnings,1364400000,1655100000,1927900000,764000000,1032800000,523200000,1532100000,2459600000,3024200000,- -,4728000000,4755000000,4892000000,6817000000,7635000000,8949000000,7135000000,7316000000,12153000000,12297000000,13132000000,14895000000,14870000000,16305000000,22582000000,21599000000,21814000000,21710000000,23163000000
65,Other Comprehensive Income/Loss,- -,- -,- -,-1418700000,-1500900000,-1549500000,-1664700000,-3134500000,-3275000000,- -,- -,-8927000000,-11160000000,-4377516360,-10124091450,-10874000000,-12849000000,-13514000000,-14169000000,-14756000000,-15862000000,-16371000000,-17921000000,-19211000000,-17170000000,- -,-19163000000,-20470000000,-19009000000
66,Other Total Stockholders Equity,100000,1600000,4200000,1586400000,1685400000,1782200000,1911200000,3409200000,3551900000,- -,-3884000000,5076000000,7318000000,743516360,6306091450,6993000000,9390000000,10099000000,10660000000,11276000000,12525000000,12948000000,14570000000,16014000000,14507000000,- -,16240000000,17852000000,15211000000
67,Total Stockholders Equity,1404500000,1696800000,1972200000,1102200000,1388900000,929400000,1952500000,2909000000,3475800000,- -,1152000000,1213000000,1359000000,3493000000,4125000000,5362000000,3970000000,4199000000,9060000000,9239000000,10228000000,11911000000,11962000000,13555000000,20368000000,18832000000,19349000000,19562000000,19839000000
68,Total Liabilities And Stockholders Equity,3069500000,3310100000,3190400000,3194900000,3347300000,3422300000,5093900000,8731700000,9940800000,- -,24859000000,23347000000,24679000000,25913000000,28367000000,37804000000,44453000000,43541000000,46391000000,47328000000,54700000000,52376000000,55077000000,58924000000,65824000000,-21107000000,62943000000,67067000000,67195000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,35100000,41800000,- -,84000000,50000000,32000000,11000000,22000000,18000000,14000000,12000000,9000000,7000000,5000000,8000000,12000000,10000000,16000000,79894000000,20000000,22000000,21000000
70,Total Liabilities & Equity,3069500000,3310100000,3190400000,3194900000,3347300000,3422300000,5093900000,8766800000,9982600000,- -,24943000000,23397000000,24711000000,25924000000,28389000000,37822000000,44467000000,43553000000,46400000000,47335000000,54705000000,52384000000,55089000000,58934000000,65840000000,58787000000,62963000000,67089000000,67216000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/1004315/000102123103000668/0001021231-03-000668-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000112528204002765/0001125282-04-002765-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000104746905017356/0001047469-05-017356-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012306007886/0000950123-06-007886-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012307008896/0000950123-07-008896-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012308006935/0000950123-08-006935-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012309014200/0000950123-09-014200-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012310052651/0000950123-10-052651-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000095012311058451/0000950123-11-058451-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312512267777/0001193125-12-267777-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312513252366/0001193125-13-252366-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312514226324/0001193125-14-226324-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312515214291/0001193125-15-214291-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312516614641/0001193125-16-614641-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000119312517195204/0001193125-17-195204-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000100431518000038/0001004315-18-000038-index.htm,https://www.sec.gov/Archives/edgar/data/1004315/000100431519000071/0001004315-19-000071-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,381300000,439800000,434800000,422300000,415200000,439100000,1015000000,1148400000,769000000,-493300000,391000000,1099000000,908000000,3850000000,1396000000,3196000000,944000000,1386000000,2159000000,2036000000,2295000000,2476000000,2019000000,2591000000,7795000000,- -,1511000000,1264000000,1640000000
74,Depreciation and Amortization,116300000,129600000,144600000,147400000,161700000,159600000,131500000,149600000,309700000,358500000,1088000000,1117000000,819000000,952000000,871000000,994000000,1122000000,1188000000,1245000000,1282000000,1361000000,1417000000,1494000000,1614000000,1481000000,- -,1588000000,1640000000,1672000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,14000000,15000000,18000000,22000000,25000000,25000000,24000000,20000000,20000000,20000000,22000000,32000000,- -,27000000,19000000,27000000
77,Change in Working Capital,21300000,39200000,82800000,69100000,27000000,-66900000,-100500000,-28600000,94800000,- -,-22000000,-191000000,-150000000,-212000000,18000000,-150000000,54000000,431000000,185000000,-356000000,-876000000,-532000000,-10000000,39000000,-798000000,-8707000000,-193000000,8000000,312000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-1500000,-700000,-300000,100000,-1500000,-3400000,200000,-400000,-7900000,14000000,- -,31000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-212159360,- -,-333000000,- -,- -,- -,-356000000,-876000000,-532000000,-10000000,- -,-798000000,15378000000,- -,- -,- -
82,Other Non-Cash Items,-110500000,-153500000,-155700000,-1591100000,90800000,-1040400000,-894700000,-1119500000,-1090100000,689200000,367000000,-603000000,417000000,-1633000000,658000000,-893000000,1271000000,1486000000,1244000000,1242000000,950000000,638000000,1484000000,1102000000,-3281000000,8742000000,1385000000,1687000000,810000000
83,Cash Provided by Operating Activities,408400000,455100000,506500000,-952300000,694700000,-508600000,151300000,149900000,83400000,554400000,1824000000,1422000000,2006000000,2971000000,2958000000,3165000000,3413000000,4516000000,4858000000,4228000000,3750000000,4019000000,5007000000,5368000000,5229000000,35000000,4318000000,4618000000,4461000000
84,CAPEX,-382300000,-343700000,-377300000,-285300000,-285000000,-291400000,-317800000,-284600000,-483400000,-527800000,-111000000,-146000000,-1262000000,-1766000000,-2218000000,-2877000000,-3185000000,-3111000000,-3134000000,-3350000000,-3389000000,-3123000000,-3283000000,-3628000000,-3519000000,- -,-3941000000,-4900000000,-4788000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-933500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7869000000,- -,- -,- -
86,Purchases of Investments,- -,-12600000,- -,- -,- -,- -,-13100000,-144500000,-337200000,-49700000,-165000000,-26000000,-113000000,-2872799160,-3710688300,-8814000000,-6246000000,-2918000000,-1712000000,-13000000,-3006000000,-4000000,- -,-507000000,-5737000000,- -,-89000000,-108000000,-616000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,959300000,952900000,195900000,36500000,- -,33000000,62000000,2905660800,1999121850,8833000000,6272000000,3637000000,11000000,553000000,183000000,1720000000,1157000000,- -,5454000000,- -,840000000,70000000,291000000
88,Other Investing Activites,-101900000,-63000000,245300000,106500000,-215100000,379800000,-1489100000,-1420900000,360100000,-337600000,-968000000,-1156000000,-889000000,11279233520,-485972500,-210000000,1083000000,-44000000,-115000000,236000000,-93000000,-102000000,-82000000,-121000000,-735000000,1737000000,-150000000,1426000000,-429000000
89,Cash Used for Investing Activites,-484200000,-419300000,-132000000,-178800000,-500100000,88400000,-860700000,-897100000,-264600000,-1812100000,-1244000000,-1295000000,-2446000000,9562095160,-4382538950,-3023000000,-1998000000,-2332000000,-4774000000,-2371000000,-6130000000,-1330000000,-2001000000,-4036000000,-4314000000,4660000000,-3034000000,-3195000000,-5116000000
90,Debt Repayment,- -,-150000000,-450400000,-150000000,-589900000,-209300000,-35500000,-260100000,-934000000,-2972000000,- -,-426000000,-868000000,-2740782120,-7847461150,-650000000,-3251000000,-2465000000,-2878000000,-1914000000,-1210000000,-2192000000,-2839000000,-896000000,-1616000000,- -,-1969000000,-3253000000,-1663000000
91,Common Stock Issued,100000,1600000,2600000,178700000,7000000,5800000,5400000,5500000,7000000,12200000,4000000,38000000,13000000,54000000,16000000,23000000,8000000,18000000,18000000,13000000,19000000,14000000,23000000,16000000,18000000,- -,17000000,16000000,16000000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,-1100000,- -,- -,-97000000,- -,- -,-7000000,-169000000,-1498000000,-627000000,-7000000,-3000000,-4000000,-6000000,-5000000,-345000000,-273000000,-195000000,- -,-2000000,-6000000,-2000000
