,https://roic.ai/company/VRTX,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,-4100000,-5600000,-10000000,1200000,-20700000,-26500000,-29800000,-19200000,-32400000,-39600000,-38682000,-91803000,-119604000,-264527000,-154807000,-149872000,-229038000,-419792000,-462708000,-614012000,-696077000,113820000,2332000,-903448000,-692412000,-466879000,9936000,123243000,635150000,1197566000,2856290000,2782100000
18,Operating Income ratio,-1.7826,-1.7500,-2.6316,0.0430,-1.0561,-1.1991,-2.2406,-0.4384,-0.7297,-0.6429,-0.4951,-0.5481,-0.7425,-3.8259,-1.5071,-0.9315,-1.0586,-2.1094,-2.6365,-6.0263,-4.8551,0.0807,0.0015,-0.7454,-1.1930,-0.4523,0.0058,0.0495,0.2084,0.2877,0.4603,0.3673
19,Total Other Income Expenses (Gains),- -,800000,2000000,900000,3600000,5500000,-9700000,- -,- -,-700000,-14925000,-26087000,-55000,-82822000,-3698000,-23518000,2381000,-7119000,-4324000,-41217000,-58549000,-53375000,-14713000,-72669000,-42463000,-90921000,-77302000,-138932000,-34909000,197353000,260508000,-51700000
20,Income Before Tax,- -,- -,- -,2100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-754626000,60445000,-12381000,-976117000,-734875000,-557800000,-67366000,-15689000,600241000,1394919000,3116798000,2730400000
21,Income Before Tax Ratio,- -,- -,- -,0.0753,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5.2635,0.0428,-0.0081,-0.8054,-1.2661,-0.5403,-0.0396,-0.0063,0.1970,0.3351,0.5022,0.3605
22,Income Tax expense (Gain),- -,- -,- -,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19266000,38754000,-288567000,6958000,30381000,16665000,-107324000,-1486862000,218109000,405151000,388300000
23,Net Income,-4300000,-5100000,-8500000,2000000,-17600000,-21500000,-40000000,-19800000,-33100000,-41000000,-39658000,-66233000,-108621000,-196767000,-166247000,-203417000,-206891000,-391279000,-459851000,-642178000,-754626000,29574000,-107032000,-445028000,-738555000,-556334000,-112052000,263484000,2096896000,1176810000,2711647000,2342100000
24,Net Income ratio,-1.8696,-1.5938,-2.2368,0.0717,-0.8980,-0.9729,-3.0075,-0.4521,-0.7455,-0.6656,-0.5076,-0.3954,-0.6743,-2.8459,-1.6185,-1.2643,-0.9563,-1.9661,-2.6202,-6.3027,-5.2635,0.0210,-0.0701,-0.3672,-1.2725,-0.5389,-0.0658,0.1059,0.6880,0.2827,0.4370,0.3092
25,EPS,-0.33,-0.32,-0.35,0.08,-0.56,-0.63,-1.06,-0.41,-0.66,-0.81,-0.73,-0.89,-1.43,-2.56,-2.12,-2.28,-1.83,-3.03,-3.27,-3.70,-3.77,0.14,-0.50,-1.98,-3.14,-2.31,-0.46,1.06,8.24,4.58,10.44,9.01
26,EPS Diluted,-0.33,-0.32,-0.35,0.08,-0.56,-0.63,-1.06,-0.41,-0.66,-0.81,-0.73,-0.89,-1.43,-2.56,-2.12,-2.28,-1.83,-3.03,-3.27,-3.70,-3.77,0.14,-0.50,-1.98,-3.14,-2.31,-0.46,1.04,8.09,4.51,10.29,8.89
27,Weighted Average Shares Outstanding,13030303,14615385,24285714,25000000,31428571,34126984,37596000,48528000,50598000,51036000,54322000,74464000,75749000,77004000,78571000,89241000,113221000,128986000,140556000,173259000,200402000,204891000,211946000,224906000,235307000,241312000,244685000,248858000,254292000,256728000,259841000,259841000
28,Weighted Average Shares Outstanding Diluted,13030303,14615385,24285714,25000000,31428571,34126984,37596000,48528000,50598000,51036000,54322000,74464000,75749000,77004000,78571000,89241000,113221000,128986000,140556000,173259000,200402000,208807000,211946000,224906000,235307000,241312000,244685000,253225000,259185000,260673000,263396000,263396000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875320/000104746903011252/a2105571z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746904007993/a2129731z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746905006705/a2152583z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746906003585/a2167642z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000110465907015545/a07-3650_110k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746908001101/a2182258z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746909001305/0001047469-09-001305-index.html,https://www.sec.gov/Archives/edgar/data/875320/000104746910001033/0001047469-10-001033-index.html,https://www.sec.gov/Archives/edgar/data/875320/000104746911001025/a2201820z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746912001298/0001047469-12-001298-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532013000009/0000875320-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532014000015/a201310k.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532015000012/a201410k-main.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532016000067/0000875320-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532017000017/0000875320-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532018000009/0000875320-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532019000006/0000875320-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532020000007/0000875320-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532021000006/0000875320-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532022000007/0000875320-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,34900000,71500000,24200000,31500000,322090000,189205000,108098000,98159000,55006000,78045000,213171000,355663000,389115000,446658000,243197000,475320000,489407000,569299000,625259000,714768000,1183945000,1665412000,2650134000,3109322000,5988187000,6795000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66509000,553997000,526886000,485005000,337314000,283112000,491455000,105208000,442986000,838255000,788214000,493602000,831808000,895777000,761847000,327694000,250612000,423254000,518108000,698972000,670710000,729900000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,34900000,71500000,24200000,31500000,388599000,743202000,634984000,583164000,392320000,361157000,704626000,460871000,832101000,1284913000,1031411000,968922000,1321215000,1465076000,1387106000,1042462000,1434557000,2088666000,3168242000,3808294000,6658897000,7524900000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,5900000,12262000,20265000,13200000,7324000,11891000,20595000,62923000,31320000,23489000,9601000,12529000,183135000,143250000,85517000,90057000,189290000,204296000,384503000,476462000,633518000,885352000,1136800000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112430000,30464000,14147000,30848000,57207000,77604000,111830000,124360000,167502000,280777000,353100000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,97300000,210100000,224500000,157800000,2325000,12625000,8388000,3318000,2501000,3303000,3857000,4660000,11991000,12512000,13099000,66767000,94656000,23836000,38500000,118194000,115083000,63964000,74045000,213515000,308353000,545800000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,132200000,281600000,248700000,195200000,403186000,776092000,656572000,593806000,406712000,385055000,771406000,496851000,867581000,1307026000,1057039000,1331254000,1589585000,1588576000,1546511000,1407153000,1831540000,2648963000,3843109000,4822829000,8133379000,9560600000
38,PP&E,- -,- -,- -,- -,- -,- -,8700000,11100000,14500000,24500000,28149000,80377000,95991000,80083000,64225000,54533000,61535000,66509000,68331000,62279000,72333000,133176000,433609000,696911000,715812000,697715000,698362000,789437000,812005000,745080000,958534000,1424400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26102000,26102000,30992000,30992000,30992000,39915000,50384000,50384000,50384000,50384000,1002158000,1002158000,1002200000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,518700000,518700000,663500000,663500000,- -,29000000,284340000,284340000,29000000,- -,400000000,400000000,400000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,544802000,544802000,694492000,694492000,30992000,68915000,334724000,334724000,79384000,50384000,1402158000,1402158000,1402200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20276000,20447000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1499672000,1190815000,- -,934500000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,2600000,2900000,3100000,12700000,341546000,68662000,63157000,50522000,74516000,109410000,88638000,38117000,44567000,41381000,51272000,45358000,41602000,2562000,3441000,59283000,11885000,7783000,40728000,157583000,670710000,110800000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,11300000,14000000,17600000,37200000,369695000,149039000,159148000,130605000,138741000,163943000,150173000,104626000,112898000,648462000,668407000,873026000,1169703000,730465000,788168000,1091722000,1065247000,897051000,2402789000,3495636000,3031402000,3871900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,143500000,295600000,266300000,232400000,772881000,925131000,815720000,724411000,545453000,548998000,921579000,601477000,980479000,1955488000,1725446000,2204280000,2759288000,2319041000,2334679000,2498875000,2896787000,3546014000,6245898000,8318465000,11164781000,13432500000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,1400000,4200000,2800000,3000000,3847000,11628000,16745000,12306000,6660000,6210000,15368000,32750000,51760000,36989000,35851000,74642000,101292000,49327000,71194000,74942000,61451000,73994000,110987000,87610000,155139000,195000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,2900000,2500000,2800000,2400000,2377000,4579000,2195000,4660000,- -,- -,103758000,19997000,- -,32071000,136991000,- -,13707000,16893000,32012000,87023000,319426000,22531000,9817000,30293000,42434000,46900000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12075000,715000,8362000,10038000,30953000,6883000,- -,- -,72293000,104173000,211300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39498000,11888000,7746000,47741000,31449000,33889000,25528000,37678000,74956000,74619000,45037000,27566000,21510000,17468000,16296000,79421000,237570000,- -,- -,- -,171700000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,2800000,7000000,7500000,13100000,32447000,35848000,33769000,114355000,99344000,62584000,97999000,121004000,127126000,140867000,227322000,272669000,290059000,310099000,247580000,328088000,332239000,473165000,999488000,1216924000,1679960000,1728400000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,7100000,13700000,13100000,18500000,38671000,91553000,64597000,139067000,153745000,100243000,251014000,199279000,216564000,284883000,474783000,392348000,432624000,397829000,368254000,506349000,792537000,807260000,1120292000,1334827000,1877533000,2142000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,5600000,5900000,7000000,4700000,347313000,315000000,315000000,315000000,334997000,180097000,19997000,- -,287500000,121765000,400000000,400000000,400000000,- -,280569000,223969000,296998000,- -,- -,- -,- -,887200000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,209796000,263782000,160049000,118095000,96242000,49459000,27808000,9714000,6632000,80157000,82573000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11058000,160278000,160278000,243707000,280367000,- -,15044000,110439000,134063000,6341000,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43227000,57542000,77499000,21270000,29482000,144633000,130903000,16687000,28434000,26363000,84618000,354203000,515348000,546821000,554776000,328366000,609950000,607830000,898394000,108355000,303300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,5600000,5900000,7000000,4700000,347313000,358227000,372542000,392499000,356267000,209579000,164630000,130903000,525041000,574259000,746690000,846420000,1130812000,564807000,870242000,898898000,766059000,696448000,690403000,898394000,108355000,1190500000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1295815000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10944000,25728000,- -,- -,- -,- -,- -,32071000,- -,- -,296908000,506584000,530172000,531079000,540761000,606433000,591367000,653161000,931939000,934100000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,12700000,19600000,20100000,23200000,385984000,449780000,437139000,531566000,510012000,309822000,415644000,330182000,741605000,859142000,1221473000,1238768000,1563436000,962636000,1238496000,1405247000,1558596000,1503708000,1810695000,2233221000,3064993000,3332500000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,300000,596000,751000,764000,780000,807000,1081000,1244000,1312000,1494000,1982000,2016000,2072000,2149000,2320000,2385000,2427000,2450000,2512000,2546000,2589000,2599000,2500000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,-96900000,-116800000,-149900000,-190800000,-230485000,-314532000,-423153000,-619920000,-786167000,-989584000,-1196475000,-1587754000,-2047605000,-2689783000,-3444409000,-3414835000,-3521867000,-3966895000,-4705450000,-5261784000,-5373836000,-5119723000,-2989478000,-1852978000,858669000,3200800000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,-20000000,-23600000,-28100000,-34400000,-42595000,-68899000,6764000,1578000,-13031000,-16281000,-962000,881000,3168000,-640000,-1067000,-1053000,-550000,-306000,917000,1824000,21173000,-11572000,659000,-1973000,-68480000,15900000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,247700000,416400000,424200000,434100000,659381000,858031000,794206000,810407000,833832000,1243960000,1702128000,1856856000,2281817000,3784787000,3947433000,4200659000,4519448000,5321286000,5777154000,6197500000,6506795000,7157362000,7421476000,7937606000,7894027000,6880800000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,130800000,276000000,246200000,209200000,386897000,475351000,378581000,192845000,35441000,239176000,505935000,271295000,238874000,1096346000,503973000,786843000,999180000,1356405000,1075006000,939967000,1156582000,2028579000,4435203000,6085244000,8686815000,10100000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,143500000,295600000,266300000,232400000,772881000,925131000,815720000,724411000,545453000,548998000,921579000,601477000,980479000,1955488000,1725446000,2025611000,2562616000,2319041000,2313502000,2345214000,2715178000,3532287000,6245898000,8318465000,11751808000,13432500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,178669000,196672000,- -,21177000,153661000,181609000,13727000,- -,- -,-587027000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,143500000,295600000,266300000,232400000,772881000,925131000,815720000,724411000,545453000,548998000,921579000,601477000,980479000,1955488000,1725446000,2204280000,2759288000,2319041000,2334679000,2498875000,2896787000,3546014000,6245898000,8318465000,11164781000,13432500000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/875320/000104746903011252/a2105571z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746904007993/a2129731z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746905006705/a2152583z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746906003585/a2167642z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000110465907015545/a07-3650_110k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746908001101/a2182258z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746909001305/0001047469-09-001305-index.html,https://www.sec.gov/Archives/edgar/data/875320/000104746910001033/0001047469-10-001033-index.html,https://www.sec.gov/Archives/edgar/data/875320/000104746911001025/a2201820z10-k.htm,https://www.sec.gov/Archives/edgar/data/875320/000104746912001298/0001047469-12-001298-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532013000009/0000875320-13-000009-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532014000015/a201310k.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532015000012/a201410k-main.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532016000067/0000875320-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532017000017/0000875320-17-000017-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532018000009/0000875320-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532019000006/0000875320-19-000006-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532020000007/0000875320-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/875320/000087532021000006/0000875320-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/875320/000087532022000007/0000875320-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,-5100000,-8500000,2000000,-17600000,-21500000,-40000000,-19800000,-33100000,-41000000,-39658000,-66233000,-108621000,-196767000,-166247000,-203417000,-206891000,-391279000,-459851000,-642178000,-754626000,29574000,-107032000,-445028000,-738555000,-556334000,-112052000,263484000,2096896000,1176810000,2711647000,2342100000
74,Depreciation and Amortization,- -,1800000,2800000,3900000,3500000,3700000,3200000,3600000,4500000,6300000,9095000,17964000,25432000,23438000,29640000,27289000,25868000,27459000,32196000,30107000,30459000,35041000,38191000,48365000,63257000,62343000,61398000,61397000,72420000,106941000,109515000,125600000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7501000,36660000,-285053000,281000,3283000,16961000,-120513000,-1512325000,167387000,277341000,-154600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63012000,86722000,97676000,126751000,114285000,127303000,177542000,231025000,237705000,290736000,325047000,360489000,429461000,441400000
77,Change in Working Capital,- -,800000,- -,- -,125100000,142800000,-142800000,142800000,-32300000,-58900000,187815000,320024000,-92564000,-137236000,-201772000,31845000,235580000,-222820000,353445000,371126000,-439887000,356650000,218055000,33786000,-12490000,-277453000,138199000,802700000,881114000,765185000,2767844000,-105200000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7831000,13900000,-2923000,-170606000,39912000,53363000,7428000,-104847000,-33027000,-71759000,-108152000,-225587000,-223444000,-274700000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-111388000,-29925000,7142000,-16469000,-23146000,-16450000,-44984000,-31965000,-64047000,-132014000,-92800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19010000,-15057000,-1182000,37468000,14892000,-49234000,25048000,-1709000,-11745000,8753000,36554000,-22785000,51276000,31900000
81,Other Working Capital,- -,- -,- -,- -,125100000,267900000,125100000,267900000,235600000,176700000,364515000,684539000,591975000,454739000,252967000,284812000,520392000,297572000,651017000,1022143000,582256000,938906000,1156961000,1190747000,1178257000,900804000,1039003000,1841703000,2722817000,3488002000,6255846000,- -
82,Other Non-Cash Items,- -,- -,400000,2700000,-125700000,-141000000,139300000,-136000000,29800000,61800000,-173896000,-279829000,96214000,142942000,196219000,-27771000,-77032000,334164000,-215284000,-273363000,430936000,-396780000,-32318000,469057000,-3234000,171704000,-106108000,-452862000,-592866000,-1007482000,-3042303000,-5800000
83,Cash Provided by Operating Activities,- -,-2500000,-5300000,8600000,-14700000,-16000000,-40300000,-9400000,-31100000,-31800000,-16644000,-8074000,-79539000,-167623000,-142160000,-172054000,-22475000,-252476000,-226482000,-427586000,-635442000,143735000,267841000,-51570000,-513199000,-365432000,236103000,844942000,1270286000,1569330000,3253505000,2643500000
84,CAPEX,- -,-1200000,-1500000,-1800000,-1900000,-5400000,-4000000,-6000000,-7900000,-16200000,-11913000,-53899000,-41219000,-17351000,-12495000,-16959000,-32417000,-32415000,-32180000,-23496000,-38054000,-94595000,-71140000,-51393000,-51201000,-45302000,-56563000,-259421000,-95524000,-75451000,-259798000,-235000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-87422000,- -,- -,- -,- -,-10000000,-80000000,- -,- -,- -,-1154212000,- -,- -
86,Purchases of Investments,- -,- -,-39700000,-48300000,-83900000,-61900000,-73000000,-303600000,-507500000,-366000000,-1312765000,-1252781000,-702986000,-555842000,-148506000,-236489000,-508085000,-318039000,-755422000,-1186701000,-1234719000,-721545000,-1705829000,-2412418000,-1424172000,-633041000,-629700000,-532581000,-515389000,-576515000,-450723000,-605200000
87,Sales/Maturities of Investments,- -,-23900000,31600000,56800000,72300000,38300000,36200000,191000000,495300000,428900000,1088582000,1176186000,728037000,593998000,292351000,243410000,302438000,755620000,427648000,788263000,1284806000,1016040000,1367927000,2348295000,1557938000,1067443000,757562000,369214000,431576000,570860000,809909000,499300000
88,Other Investing Activites,- -,-100000,200000,- -,-600000,- -,400000,-200000,-300000,-10300000,-233000,-14593000,206000,98780000,-23922000,8306000,29593000,- -,-696000,624000,-4732000,-47488000,-16775000,61386000,1394000,-40244000,33170000,-174893000,-22821000,- -,- -,- -
