,https://roic.ai/company/EQR,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,-72200000,-141900000,-242600000,295759000,447460000,833075000,1081512000,1261308000,1453128000,1303627000,1254621000,1362816000,1442993000,1443291000,975551000,372753000,628793000,696520000,690569000,711330000,1041152000,809809000,830977000,763489000,795973000,839538000,883840000,869137000,894778000
11,COGS and Expenses,-72200000,-141900000,-242600000,295759000,447460000,833075000,1081512000,1261308000,1453128000,1303627000,1254621000,1362816000,1442993000,1443291000,975551000,992187000,1403197000,1508138000,1416131000,1455757000,1875414000,1693373000,1736145000,1569714000,1622242000,1719172000,1792168000,1785522000,1843570000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20176000,33540000,16684000,5469000,7977000,150547000,4656000,4462000,7372000,65773000,6136000,15317000,2817000,5935000,25666000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,495298000,488802000,516622000,470654000,469237000,457666000,586854000,457191000,444069000,482246000,383890000,413360000,390076000,365073000,272473000
14,Depreciation and Amortization,22000000,39300000,76100000,93253000,156644000,301869000,408688000,451344000,471721000,472956000,471569000,496583000,528958000,593478000,623848000,610384000,600375000,673403000,663616000,684992000,1014251000,762083000,769277000,709075000,747577000,790117000,842776000,832443000,851384000
15,EBITDA,28100000,73700000,143800000,194877000,333236000,560075000,802569000,1000795000,945306000,894269000,1015416000,968912000,1390751000,1666322000,2108768000,1524564000,1482078000,1428001000,2027166000,1984916000,3432887000,1851976000,2084383000,5485097000,1735399000,1861890000,2200948000,2112004000,2457622000
16,EBITDA ratio,0.2467,0.3190,0.3486,0.4074,0.4459,0.4188,0.4578,0.4929,0.4355,0.4485,0.5569,0.5128,0.7114,0.8372,1.0347,0.7249,0.7625,0.7156,1.0190,0.9346,1.4377,0.7083,0.7593,2.2611,0.7022,0.7221,0.8148,0.8212,0.9974
17,Operating Income,- -,- -,- -,182626000,299861000,504374000,671606000,769032000,717515000,672142000,567515000,526685000,511944000,513143000,565817000,500112000,529390000,442001000,573332000,667958000,512288000,921375000,1008820000,856086000,847471000,858560000,1356544000,1317990000,1675841000
18,Operating Income ratio,- -,- -,- -,0.3818,0.4012,0.3771,0.3831,0.3788,0.3306,0.3371,0.3113,0.2787,0.2619,0.2578,0.2776,0.2378,0.2724,0.2215,0.2882,0.3145,0.2146,0.3524,0.3675,0.3529,0.3429,0.3330,0.5022,0.5125,0.6801
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,21700000,- -,- -,- -,-13230000,3780000,-2732000,- -,-31210000,7903000,-455262000,-506425000,-487482000,-492823000,-355864000,-679293000,-262880000,-100282000,3625113000,-218612000,-172490000,-349117000,-388871000,-274819000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44850000,22965000,-45481000,80509000,312094000,-167005000,658495000,908538000,4481199000,628859000,686070000,1007427000,929119000,1401022000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0213,0.0118,-0.0228,0.0405,0.1470,-0.0699,0.2518,0.3310,1.8473,0.2545,0.2661,0.3730,0.3613,0.5686
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5286000,2808000,334000,728000,539000,1169000,1394000,917000,1613000,478000,878000,-2281000,852000,915000
23,Net Income,6100000,34400000,67700000,101624000,176592000,258206000,393881000,549451000,473585000,421313000,543847000,472329000,861793000,1072844000,989622000,420092000,362273000,283610000,893585000,841719000,1830613000,631308000,870120000,4292163000,603454000,657535000,970377000,913636000,1332850000
24,Net Income ratio,0.0536,0.1489,0.1641,0.2124,0.2363,0.1931,0.2247,0.2706,0.2182,0.2113,0.2983,0.2500,0.4408,0.5390,0.4856,0.1997,0.1864,0.1421,0.4492,0.3963,0.7667,0.2414,0.3170,1.7694,0.2442,0.2550,0.3593,0.3553,0.5409
25,EPS,0.21,0.67,0.84,0.85,0.90,0.82,1.15,1.69,1.37,1.19,1.57,1.50,2.83,3.56,3.44,1.50,1.27,0.95,2.98,2.73,5.16,1.74,2.37,11.75,1.64,1.78,2.61,2.45,3.58
26,EPS Diluted,0.21,0.67,0.83,0.85,0.88,0.81,1.15,1.67,1.36,1.18,1.55,1.48,2.79,3.50,3.39,1.49,1.27,0.95,2.95,2.70,5.16,1.73,2.36,11.68,1.63,1.77,2.60,2.45,3.58
27,Weighted Average Shares Outstanding,29047619,51343284,68571429,85172000,131458000,200740000,244350000,259014000,267349000,271974000,272337000,279744000,285760000,290019000,279406000,270012000,273609000,282888000,294856000,302701000,354305000,361181000,363498000,365002000,366968000,368052000,370461000,371791000,374308000
28,Weighted Average Shares Outstanding Diluted,29047619,51343284,68982036,85172000,133613636,202808589,245139738,291266000,295552000,297969000,297041000,303871000,310785000,315579000,302235000,290060000,290105000,282888000,312065000,319766000,354305000,377735000,380620000,381992000,382678000,383695000,386333000,385874000,388374000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906107/000095013198001828/0000950131-98-001828-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906107/000110465903004297/j8049_10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465904007155/a04-2963_210k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465905010843/a05-2042_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465906014827/a06-2281_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465907014819/a07-5259_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465908013087/a08-2468_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000119312509038255/0001193125-09-038255-index.html,https://www.sec.gov/Archives/edgar/data/906107/000119312510040142/0001193125-10-040142-index.html,https://www.sec.gov/Archives/edgar/data/906107/000095012311017717/c61474e10vk.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610712000004/eqr-20111231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610713000005/eqr-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610714000006/eqr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610715000007/eqr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610716000029/0000906107-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/906107/000090610717000007/0000906107-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459018002873/0001564590-18-002873-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459019003683/0001564590-19-003683-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459020005562/0001564590-20-005562-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459021006679/0001564590-21-006679-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000156459022005566/0001564590-22-005566-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,147271000,33295000,3965000,29117000,23772000,51603000,29875000,49579000,83505000,88828000,260277000,50831000,890794000,193288000,431408000,383921000,612590000,53534000,40080000,42276000,77207000,50647000,47442000,45753000,42591000,123832000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4448000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,147271000,33295000,3965000,29117000,23772000,51603000,29875000,49579000,83505000,88828000,264725000,50831000,890794000,193288000,431408000,383921000,612590000,53534000,40080000,42276000,77207000,50647000,47442000,45753000,42591000,123832000
34,Net Receivables,- -,- -,- -,1450000,3302000,4758000,1731000,1801000,2400000,2926000,426000,1681000,789000,390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2181135000,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,812140000,12131268000,11748116000,11386888000,12530089000,13979328000,- -,- -,- -,- -,180987000,152237000,259571000,146203000,120388000,112839000,141881000,50115000,68871000,71246000,57137000,236404000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,837713000,12185271000,11780917000,11436893000,12615275000,14068945000,- -,- -,- -,193288000,612395000,536158000,872161000,199737000,160468000,2336250000,219088000,100762000,116313000,116999000,99728000,360236000
38,PP&E,- -,- -,- -,2681998000,6676673000,10253458000,11181344000,11358664000,11323940000,10934246000,10578366000,12252794000,13702230000,14212695000,15163225000,15128939000,14587580000,15365014000,15868363000,- -,- -,- -,- -,- -,- -,- -,512774000,499287000,474713000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,67589000,47291000,30000000,30000000,30000000,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,67589000,47291000,30000000,30000000,30000000,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,509789000,473977000,47261000,42063000,29976000,3547000,5795000,6995000,3167000,12327000,17877000,178526000,105434000,68101000,60141000,58254000,58349000,52238000,52782000,127448000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,-11320877000,-11444035000,-11052343000,-12300055000,-13744293000,- -,- -,- -,629652000,203618000,242455000,16310962000,22456282000,22684712000,20752977000,20424919000,20411583000,20219547000,20490758000,19635094000,20206844000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,11426253000,50354000,30000000,30000000,30000000,30000000,- -,- -,- -,15224227000,15571799000,16123145000,16328839000,22634808000,22790146000,20821078000,20485060000,20469837000,20277896000,21055770000,20187163000,20809005000
46,Other Assets,- -,- -,- -,2986127000,7094631000,10700260000,11715689000,- -,- -,- -,- -,- -,- -,15062219000,15689777000,16535110000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,2986127000,7094631000,10700260000,11715689000,12263966000,12235625000,11810917000,11466893000,12645275000,14098945000,15062219000,15689777000,16535110000,15417515000,16184194000,16659303000,17201000000,22834545000,22950614000,23157328000,20704148000,20570599000,20394209000,21172769000,20286891000,21169241000
48,Accounts Payable,- -,- -,- -,79092000,87970000,119657000,121725000,126681000,250086000,240407000,195658000,229859000,254667000,251987000,250629000,250306000,158803000,39452000,35206000,38372000,118791000,153590000,187124000,147482000,114766000,102471000,94350000,107366000,107013000
49,Short-Term Debt,- -,- -,- -,- -,235000000,290000000,300000000,355462000,- -,- -,- -,150000000,- -,- -,9508733000,10501246000,- -,- -,- -,- -,115000000,333000000,387276000,19998000,299757000,499183000,1017833000,414830000,315030000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,193908000,134030000,279343000,315275000,455857000,828914000,849593000,895342000,733141000,858333000,868013000,-8641362000,-9714552000,433349000,239536000,267200000,336399000,321820000,278106000,294599000,253242000,250863000,269223000,285178000,298158000,303012000
53,Total Current Liabilities,- -,- -,- -,273000000,457000000,689000000,737000000,938000000,1079000000,1090000000,1091000000,1113000000,1113000000,1120000000,1118000000,1037000000,592152000,278988000,302406000,374771000,555611000,764696000,868999000,420722000,665386000,870877000,1397361000,820354000,725055000
54,Long-Term Debt,- -,- -,- -,1254902000,2948323000,4680527000,5473868000,5706152000,5742758000,5523699000,5360489000,6309806000,7591073000,8057656000,- -,- -,9392570000,9948076000,9721061000,8529244000,10651254000,10511861000,10581222000,8967260000,8657534000,8318756000,8019123000,7958556000,8338758000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-902000,-323000,473000,132000,-152000,242000,301000,-489000,150194000,-73000,344000,9509000000,10501000000,258280000,365014000,356575000,769878000,782484000,966281000,1010752000,855182000,773816000,804927000,1211759000,744495000,918220000
58,Total Non-Current Liabilities,- -,- -,- -,1254000000,2948000000,4681000000,5474000000,5706000000,5743000000,5524000000,5360000000,6460000000,7591000000,8058000000,9509000000,10501000000,9650850000,10313090000,10077636000,9299122000,11433738000,11478142000,11591974000,9822442000,9431350000,9123683000,9230882000,8703051000,9256978000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331334000,329130000,312335000
61,Total Liabilities,- -,- -,- -,1376660000,3131236000,4938439000,5753776000,6031801000,6185853000,6002491000,5850523000,7037165000,8281422000,8766538000,10269213000,11219315000,10243002000,10592078000,10380042000,9673893000,11989349000,12242838000,12460973000,10243164000,10096736000,9994560000,10628243000,9523405000,9982033000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,946157000,670913000,636216000,504096000,386574000,209662000,208786000,208773000,200000000,200000000,50000000,50000000,50000000,37280000,37280000,37280000,37280000,37280000,37280000,37280000
63,Common Stock,- -,- -,- -,512000,891000,1182000,1275000,1326000,2716000,2711000,2776000,2851000,2895000,2936000,2696000,2728000,2800000,2902000,2975000,3251000,3605000,3629000,3648000,3659000,3680000,3694000,3717000,3723000,3755000
64,Retained Earnings,- -,- -,- -,-76641000,-133129000,-245538000,-325856000,-300351000,-385320000,-535056000,-588005000,-657462000,-350367000,159528000,599504000,481441000,353659000,203581000,615572000,887355000,2047258000,1950639000,2009091000,1543626000,1403530000,1261763000,1386495000,1399715000,1827063000
65,Other Comprehensive Income/Loss,- -,- -,- -,-301512000,-444762000,-718491000,-1070487000,-1352236000,-1718845000,-43789000,-23401000,-21370000,-14472000,-14010000,-15882000,-35799000,4681000,-57818000,-196718000,-193148000,-155162000,-172152000,-152016000,-113909000,-88612000,-64986000,-77563000,-43666000,-34272000
66,Other Total Stockholders Equity,- -,- -,- -,1987108000,4540395000,6724668000,7356981000,7883426000,8151221000,4827100000,4953158000,5112293000,5253188000,5349194000,4266538000,4340138000,4477426000,4741521000,5047186000,6542355000,8561500000,8536340000,8572365000,8758422000,8886586000,8935453000,8965577000,9128599000,9121122000
67,Total Stockholders Equity,- -,- -,- -,1609467000,3963395000,5761821000,5961913000,6232165000,6049772000,5197123000,5015441000,5072528000,5395340000,5884222000,5062518000,4997294000,5047339000,5090186000,5669015000,7289813000,10507201000,10368456000,10470368000,10229078000,10242464000,10173204000,10315506000,10525651000,10954948000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,2986127000,7094631000,10700260000,11715689000,12263966000,12235625000,11199614000,10865964000,12109693000,13676762000,14650760000,15331731000,16216609000,15290341000,15682264000,16049057000,16963706000,22496550000,22611294000,22931341000,20472242000,20339200000,20167764000,20943749000,20049056000,20936981000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,611303000,600929000,535582000,422183000,411459000,358046000,318501000,127174000,501930000,610246000,237294000,337995000,339320000,225987000,231906000,231399000,226445000,229020000,237835000,232260000
70,Total Liabilities & Equity,- -,- -,- -,2986127000,7094631000,10700260000,11715689000,12263966000,12235625000,11810917000,11466893000,12645275000,14098945000,15062219000,15689777000,16535110000,15417515000,16184194000,16659303000,17201000000,22834545000,22950614000,23157328000,20704148000,20570599000,20394209000,21172769000,20286891000,21169241000
71,SEC Link,undefined,undefined,undefined,- -,https://www.sec.gov/Archives/edgar/data/906107/000095013198001828/0000950131-98-001828-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/906107/000110465903004297/j8049_10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465904007155/a04-2963_210k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465905010843/a05-2042_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465906014827/a06-2281_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465907014819/a07-5259_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000110465908013087/a08-2468_110k.htm,https://www.sec.gov/Archives/edgar/data/906107/000119312509038255/0001193125-09-038255-index.html,https://www.sec.gov/Archives/edgar/data/906107/000119312510040142/0001193125-10-040142-index.html,https://www.sec.gov/Archives/edgar/data/906107/000095012311017717/c61474e10vk.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610712000004/eqr-20111231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610713000005/eqr-20121231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610714000006/eqr-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610715000007/eqr-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/906107/000090610716000029/0000906107-16-000029-index.html,https://www.sec.gov/Archives/edgar/data/906107/000090610717000007/0000906107-17-000007-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459018002873/0001564590-18-002873-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459019003683/0001564590-19-003683-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459020005562/0001564590-20-005562-index.html,https://www.sec.gov/Archives/edgar/data/906107/000156459021006679/0001564590-21-006679-index.htm,https://www.sec.gov/Archives/edgar/data/906107/000156459022005566/0001564590-22-005566-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,6100000,34400000,67700000,101624000,176592000,258206000,393881000,549451000,473585000,421313000,543847000,472329000,861793000,1072844000,989622000,420092000,362273000,283610000,893585000,841719000,1830613000,631308000,870120000,4292163000,603454000,657535000,970377000,913636000,1332850000
74,Depreciation and Amortization,22000000,39300000,76100000,93253000,156644000,301869000,408688000,451344000,471721000,472956000,471569000,496583000,528958000,593478000,623848000,610384000,600375000,673403000,663616000,684992000,1014251000,762083000,769277000,709075000,747577000,790117000,842776000,832443000,851384000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21631000,22311000,17843000,18875000,21177000,24832000,35474000,27543000,34607000,30530000,24997000,27132000,24449000,23174000,27810000
77,Change in Working Capital,-9200000,- -,-273000000,- -,-184000000,-232000000,-48000000,636713000,11206558000,-415354000,-345024000,1156382000,1453670000,-14075945000,2000000,81000000,638136000,732271000,-99655000,263638000,-853264000,-248354000,2071479000,-1668885000,-362990000,-189940000,-525798000,559736000,29726000
78,Accounts Receivable,-1000000,-10400000,-13600000,-1700000,-45200000,-23400000,41300000,-20837000,-47172000,23857000,-12300000,-27006000,-15943000,3200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-3600000,19200000,4300000,18400000,44600000,1900000,35100000,-13228000,5242000,-2091000,-8435000,22486000,4822000,-41418000,- -,- -,- -,- -,- -,-2102000,6229000,17797000,-1667000,-6061000,11532000,-1862000,5116000,470000,15381000
81,Other Working Capital,- -,- -,-273000000,-273000000,-457000000,-689000000,-737000000,-100287000,11106271000,10690917000,10345893000,11502275000,12955945000,-1120000000,-1118000000,-1037000000,-398864000,333407000,233752000,497390000,-355874000,-604228000,1467251000,-201634000,-564624000,-754564000,-1280362000,-720626000,- -
82,Other Non-Cash Items,6700000,20300000,255700000,16053000,181899000,205088000,30650000,-803005000,-11262087000,410023000,77589000,-1407544000,-2130130000,13165089000,-843973000,-378760000,-946165000,-975466000,-680389000,-768930000,-1158158000,151493000,-2388984000,-2251394000,252750000,71451000,145180000,-1063453000,-981586000
83,Cash Provided by Operating Activities,25600000,94000000,126500000,210930000,331135000,533163000,785219000,834503000,889777000,888938000,747981000,717750000,714291000,755466000,793128000,755027000,672462000,732693000,798334000,1046251000,868916000,1324073000,1356499000,1111489000,1265788000,1356295000,1456984000,1265536000,1260184000
84,CAPEX,-400000,-5200000,-100000,-676363000,-50246000,-102020000,-143428000,-145087000,-582521000,-558590000,-809111000,-1170733000,-2675643000,-2296080000,-2420629000,-1081794000,-882376000,-1481374000,-1723010000,-8821000,-4134000,-191243000,-186104000,-177908000,-204113000,-193006000,-183378000,-156079000,-152715000
85,Acquisitions Net,- -,- -,- -,- -,- -,-50139000,-18274000,-242281000,19547000,69720000,20000000,26553000,3194000,-296660000,-191000,68024000,6521000,10901000,-12809000,-5291000,-4067346000,-15768000,-23019000,-5266000,-6034000,-6571000,-9604000,-5775000,-79791000
86,Purchases of Investments,- -,- -,- -,- -,- -,-1016294000,-998025000,-1420661000,-142565000,-105758000,-14038000,-406524000,-1480000,-1072000,- -,-158367000,-77822000,- -,-2021000,-5291000,-66471000,-15768000,-23019000,-5266000,-6034000,-6571000,-269000,-773000,-168291000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,329300000,756397000,655000,49862000,14136000,17084000,4216000,10471000,- -,- -,215753000,25000000,4537000,- -,4878000,57000,2535000,72815000,- -,- -,- -,- -,191398000
88,Other Investing Activites,-106100000,-891300000,-308900000,40708000,-1493078000,121077000,306876000,489979000,762204000,495469000,1119379000,967652000,2061752000,2323869000,2220175000,828334000,841503000,786351000,1529367000,-241646000,4126096000,-607901000,-630977000,5815421000,-580722000,-359187000,-756996000,690234000,-376240000
89,Cash Used for Investing Activites,-106500000,-896500000,-309000000,-635655000,-1543324000,-1047376000,-523551000,-561653000,57320000,-49297000,330366000,-565968000,-607961000,-259472000,-200645000,-343803000,103579000,-646114000,-194828000,-261049000,-6977000,-644666000,-678471000,5871973000,-594296000,-376834000,-771824000,663586000,-434620000
90,Debt Repayment,-342100000,-322200000,-439400000,-411817000,-328046000,-957409000,-1667642000,-1201172000,-1300835000,-1244675000,-751537000,-4375066000,-12639256000,-7283788000,- -,- -,-1038963000,-6167636000,-3022323000,-7216326000,-12662340000,-8299657000,-8316547000,-4645138000,-7633849000,-18991068000,-23270713000,-10842281000,-7864280000
91,Common Stock Issued,378700000,584100000,2700000,493167000,545009000,440540000,38467000,32904000,74402000,38989000,74724000,85896000,63143000,77698000,7165000,6170000,86184000,329452000,173484000,1417040000,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-11498000,-22470000,-107075000,-6877000,-294000,-212723000,-115211000,-400638000,-24000,-125069000,-198382000,-1221855000,-12650000,-1124000,-2764000,- -,-150023000,- -,-1777000,-16206000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-4800000,-59800000,-77100000,-121860000,-267253000,-404519000,-514916000,-564337000,-507951000,-623747000,-614032000,-601785000,-594857000,-595313000,-608228000,-574371000,- -,-394440000,-444852000,-486867000,-685755000,-780804000,-788105000,-4774043000,-742466000,-785985000,-834201000,-887028000,-903558000
94,Other Financing Activites,63000000,606400000,689700000,610576000,1170973000,1513346000,1914452000,1454704000,1027841000,1083275000,632840000,4773123000,13195032000,7675240000,1020989000,1009590000,-519644000,6386929000,2642698000,5879643000,11927100000,8389377000,8445026000,2470650000,7586497000,18813143000,23420440000,9782916000,8202782000
95,Cash Used/Provided by Financing Activities,94800000,808500000,175900000,558568000,1098213000,484883000,-236516000,-278195000,-919266000,-861369000,-1058643000,-117856000,-101007000,-324545000,-801929000,428739000,-1473547000,151541000,-650993000,-556533000,-1420995000,-692861000,-675832000,-6948531000,-789818000,-963910000,-684474000,-1946393000,-565056000
