,https://roic.ai/company/WMT,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,1574900000,2131200000,2765400000,3481500000,4339100000,5498800000,7159700000,8969900000,11181900000,12858000000,14951000000,16788000000,19358000000,22363000000,27040000000,31550000000,36173000000,41043000000,44909000000,51105000000,56733000000,64001000000,70288000000,76651000000,79607000000,81020000000,85265000000,88873000000,91353000000,93418000000,97041000000,101853000000,106510000000,107147000000,108791000000,116288000000,117812000000
11,COGS and Expenses,7846500000,11060800000,14881200000,19324700000,24139700000,30652000000,41470400000,52495400000,63777100000,78444000000,89515000000,100451000000,112796000000,131088000000,156704000000,181805000000,207735000000,232881000000,243656000000,270898000000,297124000000,328153000000,356803000000,382809000000,384264000000,396307000000,420392000000,441361000000,449422000000,458504000000,458025000000,463109000000,479906000000,492448000000,503396000000,536603000000,546812000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138000000,164000000,201000000,248000000,280000000,305000000,284000000,181000000,201000000,162000000,187000000,119000000,113000000,81000000,100000000,152000000,217000000,189000000,121000000,158000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,706000000,888000000,845000000,784000000,797000000,1022000000,1374000000,1326000000,1063000000,996000000,1187000000,1420000000,1809000000,2103000000,2184000000,2065000000,2205000000,2322000000,2251000000,2335000000,2461000000,2548000000,2367000000,2330000000,2346000000,2599000000,2315000000,1994000000
14,Depreciation and Amortization,89700000,123600000,166000000,213600000,269400000,346600000,475400000,649100000,848700000,1070000000,1304000000,1463000000,1634000000,1872000000,2375000000,2868000000,3290000000,3432000000,3852000000,4405000000,4717000000,5459000000,6317000000,6739000000,7157000000,7641000000,8130000000,8501000000,8870000000,9173000000,9454000000,10080000000,10529000000,10678000000,10987000000,11152000000,10658000000
15,EBITDA,693300000,969600000,1234600000,1539000000,1976900000,2389300000,3028600000,3815400000,4540300000,6038000000,6538000000,7158000000,8059000000,9839000000,12310000000,14229000000,15184000000,17021000000,19020000000,21448000000,23171000000,24917000000,28059000000,29468000000,30696000000,33814000000,34095000000,35732000000,35332000000,35982000000,33254000000,32294000000,27321000000,23975000000,33382000000,33835000000,31081000000
16,EBITDA ratio,0.0819,0.0814,0.0774,0.0745,0.0766,0.0733,0.0690,0.0688,0.0674,0.0724,0.0690,0.0674,0.0676,0.0707,0.0738,0.0736,0.0691,0.0690,0.0735,0.0745,0.0734,0.0715,0.0741,0.0727,0.0752,0.0802,0.0763,0.0762,0.0742,0.0741,0.0690,0.0665,0.0546,0.0466,0.0637,0.0605,0.0543
17,Operating Income,618000000,848300000,1078100000,1324300000,1671000000,1949600000,2416500000,2988400000,3567500000,4050000000,4112000000,4408000000,5162000000,6546000000,8309000000,9524000000,12077000000,13644000000,15025000000,17091000000,18530000000,20497000000,21996000000,22798000000,23950000000,25542000000,26558000000,27801000000,26872000000,27147000000,24105000000,22764000000,20437000000,21957000000,20568000000,22548000000,25942000000
18,Operating Income ratio,0.0730,0.0712,0.0676,0.0641,0.0647,0.0598,0.0551,0.0539,0.0530,0.0486,0.0434,0.0415,0.0433,0.0470,0.0498,0.0493,0.0549,0.0553,0.0581,0.0593,0.0587,0.0588,0.0581,0.0562,0.0587,0.0605,0.0594,0.0593,0.0564,0.0559,0.0500,0.0469,0.0408,0.0427,0.0393,0.0403,0.0453
19,Total Other Income Expenses (Gains),-14400000,-2300000,-9500000,1100000,36500000,93100000,136700000,177900000,124100000,212000000,234000000,442000000,557000000,777000000,774000000,592000000,-1326000000,-925000000,-832000000,-986000000,-1172000000,-1529000000,-1798000000,-1900000000,-1884000000,-2004000000,-2160000000,-2064000000,-2216000000,-2348000000,-2467000000,-2267000000,-5314000000,-10497000000,-452000000,-1984000000,-7246000000
20,Income Before Tax,603600000,846000000,1068600000,1325400000,1707500000,2042700000,2553200000,3166300000,3691600000,4262000000,4346000000,4850000000,5719000000,7323000000,9083000000,10116000000,10751000000,12719000000,14193000000,16105000000,17358000000,18968000000,20198000000,20898000000,22066000000,23538000000,24398000000,25737000000,24656000000,24799000000,21638000000,20497000000,15123000000,11460000000,20116000000,20564000000,18696000000
21,Income Before Tax Ratio,0.0713,0.0710,0.0670,0.0642,0.0662,0.0627,0.0582,0.0571,0.0548,0.0511,0.0459,0.0457,0.0479,0.0526,0.0545,0.0523,0.0489,0.0516,0.0549,0.0559,0.0550,0.0544,0.0533,0.0515,0.0541,0.0558,0.0546,0.0549,0.0518,0.0511,0.0449,0.0422,0.0302,0.0223,0.0384,0.0368,0.0326
22,Income Tax expense (Gain),276100000,395900000,441000000,488200000,631600000,751700000,944700000,1171500000,1358300000,1581000000,1606000000,1794000000,2115000000,2740000000,3338000000,3692000000,3897000000,4487000000,5118000000,5589000000,5803000000,6365000000,6908000000,7145000000,7139000000,7579000000,7944000000,7981000000,8105000000,7985000000,6558000000,6204000000,4600000000,4281000000,4915000000,6858000000,4756000000
23,Net Income,327500000,450100000,627600000,837200000,1075900000,1291000000,1608500000,1994800000,2333300000,2681000000,2740000000,3056000000,3526000000,4430000000,5575000000,6295000000,6671000000,8039000000,9054000000,10267000000,11231000000,11284000000,12731000000,13400000000,14335000000,16389000000,15699000000,16999000000,16022000000,16363000000,14694000000,13643000000,9862000000,6670000000,14881000000,13510000000,13673000000
24,Net Income ratio,0.0387,0.0378,0.0393,0.0405,0.0417,0.0396,0.0367,0.0360,0.0346,0.0321,0.0289,0.0288,0.0296,0.0318,0.0334,0.0326,0.0303,0.0326,0.0350,0.0357,0.0356,0.0324,0.0336,0.0330,0.0351,0.0389,0.0351,0.0362,0.0336,0.0337,0.0305,0.0281,0.0197,0.0130,0.0284,0.0242,0.0239
25,EPS,0.08,0.10,0.14,0.19,0.24,0.29,0.35,0.44,0.51,0.58,0.59,0.67,0.78,0.99,1.21,1.41,1.49,1.81,2.08,2.41,2.68,2.71,3.13,3.40,3.71,4.48,4.54,5.04,4.90,5.07,4.58,4.40,3.29,2.28,5.22,4.77,4.90
26,EPS Diluted,0.08,0.10,0.14,0.19,0.24,0.29,0.35,0.44,0.51,0.58,0.59,0.67,0.78,0.99,1.20,1.40,1.49,1.81,2.07,2.41,2.68,2.71,3.13,3.39,3.70,4.47,4.52,5.02,4.88,5.05,4.57,4.38,3.28,2.26,5.19,4.75,4.87
27,Weighted Average Shares Outstanding,4087500000,4498000000,4482857143,4406315789,4482916667,4451724138,4595714286,4533636364,4575098039,4582905983,4605042017,4595488722,4516000000,4464000000,4451000000,4465000000,4465000000,4430000000,4363000000,4259000000,4183000000,4164000000,4066000000,3939000000,3866000000,3656000000,3460000000,3374000000,3269000000,3230000000,3207000000,3101000000,2995000000,2929000000,2850000000,2831000000,2792000000
28,Weighted Average Shares Outstanding Diluted,4087500000,4498000000,4482857143,4406315789,4482916667,4451724138,4595714286,4533636364,4575098039,4582905983,4605042017,4595488722,4534000000,4485000000,4474000000,4484000000,4481000000,4446000000,4373000000,4266000000,4188000000,4168000000,4072000000,3951000000,3877000000,3670000000,3474000000,3389000000,3283000000,3243000000,3217000000,3112000000,3010000000,2945000000,2868000000,2847000000,2805000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104169/000119312506066792/0001193125-06-066792-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312507065603/0001193125-07-065603-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312508071085/0001193125-08-071085-index.htm,- -,https://www.sec.gov/Archives/edgar/data/104169/000119312510071652/0001193125-10-071652-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/0001193125-11-083157-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/0001193125-12-134679-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/0000104169-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/0000104169-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/0000104169-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/0000104169-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/0000104169-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/0000104169-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/0000104169-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/0000104169-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/0000104169-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/0000104169-22-000012-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2758000000,5199000000,5488000000,6414000000,7373000000,5569000000,7275000000,7907000000,7395000000,6550000000,7781000000,7281000000,9135000000,8705000000,6867000000,6756000000,7722000000,9465000000,17741000000,14760000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2758000000,5199000000,5488000000,6414000000,7373000000,5569000000,7275000000,7907000000,7395000000,6550000000,7781000000,7281000000,9135000000,8705000000,6867000000,6756000000,7722000000,9465000000,17741000000,14760000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2108000000,1254000000,1715000000,2662000000,2840000000,3654000000,3905000000,4144000000,5089000000,5937000000,6768000000,6677000000,6778000000,5624000000,5835000000,5614000000,6283000000,6284000000,6516000000,8280000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24891000000,26612000000,29447000000,32191000000,33685000000,35180000000,34511000000,33160000000,36318000000,40714000000,43803000000,44858000000,45141000000,44469000000,43046000000,43783000000,44269000000,44435000000,44949000000,56511000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,726000000,1356000000,1841000000,2557000000,2690000000,3182000000,3258000000,3120000000,3091000000,1774000000,1588000000,2369000000,2224000000,1441000000,1941000000,3511000000,3623000000,1622000000,20861000000,1519000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30483000000,34421000000,38491000000,43824000000,46588000000,47585000000,48949000000,48331000000,51893000000,54975000000,59940000000,61185000000,63278000000,60239000000,57689000000,59664000000,61897000000,61806000000,90067000000,81070000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51904000000,58530000000,68567000000,79290000000,88440000000,97017000000,95653000000,102307000000,107878000000,112324000000,116681000000,117907000000,116655000000,116516000000,114178000000,114818000000,111395000000,127049000000,109848000000,112624000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9521000000,9882000000,10803000000,12188000000,13759000000,16071000000,15260000000,16126000000,16763000000,20651000000,20497000000,19510000000,18102000000,16695000000,17037000000,18242000000,31181000000,31073000000,28983000000,29014000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9521000000,9882000000,10803000000,12188000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9521000000,9882000000,10803000000,12188000000,13759000000,16071000000,15260000000,16126000000,16763000000,20651000000,20497000000,19510000000,18102000000,16695000000,17037000000,18242000000,31181000000,31073000000,28983000000,29014000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2777000000,2079000000,2362000000,2885000000,2406000000,2841000000,3567000000,3942000000,4129000000,5456000000,5987000000,6149000000,5671000000,6131000000,9921000000,11798000000,14822000000,16567000000,23598000000,22152000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64202000000,70491000000,81732000000,94363000000,104605000000,115929000000,114480000000,122375000000,128770000000,138431000000,143165000000,143566000000,140428000000,139342000000,141136000000,144858000000,157398000000,174689000000,162429000000,163790000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94685000000,104912000000,120223000000,138187000000,151193000000,163514000000,163429000000,170706000000,180663000000,193406000000,203105000000,204751000000,203706000000,199581000000,198825000000,204522000000,219295000000,236495000000,252496000000,244860000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17140000000,19332000000,21671000000,25373000000,28090000000,30370000000,28849000000,30451000000,33557000000,36608000000,38080000000,37415000000,38410000000,38487000000,41433000000,46092000000,47060000000,46973000000,49141000000,55261000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5793000000,6367000000,7781000000,8648000000,8283000000,11269000000,7669000000,4919000000,6022000000,6348000000,12719000000,12082000000,6689000000,6004000000,3920000000,9662000000,7830000000,8241000000,5296000000,5207000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,739000000,1377000000,1281000000,1340000000,706000000,1016000000,677000000,1365000000,157000000,1164000000,5062000000,3520000000,3613000000,3065000000,3737000000,3718000000,3407000000,3319000000,3570000000,851000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2017000000,1932000000,1990000000,2310000000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9684000000,11719000000,13436000000,14805000000,15381000000,16815000000,18872000000,20191000000,18905000000,19344000000,21019000000,19848000000,20173000000,20128000000,21575000000,20750000000,20655000000,20586000000,35898000000,26911000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32617000000,37418000000,42888000000,48826000000,51754000000,58454000000,55390000000,55561000000,58484000000,62300000000,71818000000,69345000000,65272000000,64619000000,66928000000,78521000000,77477000000,77790000000,92645000000,87379000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19608000000,20099000000,23669000000,30171000000,30735000000,33402000000,34549000000,36401000000,43842000000,47079000000,41417000000,44559000000,43692000000,44030000000,42018000000,36825000000,50203000000,64192000000,57950000000,52116000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1761000000,2288000000,2947000000,4552000000,4971000000,5111000000,6014000000,5508000000,6682000000,7862000000,7613000000,8017000000,8805000000,7321000000,9344000000,8354000000,11981000000,12961000000,14370000000,13474000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1362000000,1484000000,1323000000,1467000000,2160000000,1939000000,2191000000,307000000,408000000,404000000,519000000,1491000000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22731000000,23871000000,27939000000,36190000000,37866000000,40452000000,42754000000,42216000000,50932000000,55345000000,49549000000,54067000000,52497000000,51351000000,51362000000,45179000000,62184000000,77153000000,72320000000,65590000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3177000000,3193000000,3792000000,4041000000,3798000000,3919000000,3515000000,3516000000,3486000000,3335000000,3350000000,3097000000,2893000000,6367000000,6568000000,7447000000,7412000000,22782000000,18713000000,19246000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55348000000,61289000000,70827000000,85016000000,89620000000,98906000000,98144000000,97777000000,109416000000,117645000000,121367000000,123412000000,117769000000,115970000000,118290000000,123700000000,139661000000,154943000000,164965000000,152969000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,440000000,431000000,423000000,417000000,413000000,397000000,393000000,378000000,352000000,342000000,332000000,323000000,323000000,317000000,305000000,295000000,288000000,284000000,282000000,276000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37924000000,40206000000,43854000000,49105000000,55818000000,57319000000,63660000000,66638000000,63967000000,68691000000,72978000000,76566000000,85777000000,90021000000,89354000000,85107000000,80785000000,83943000000,88763000000,86904000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-509000000,851000000,2694000000,1053000000,2508000000,3864000000,-2688000000,-70000000,646000000,-1410000000,-587000000,-2996000000,-7168000000,-11597000000,-14232000000,-10181000000,-11542000000,-12805000000,-11766000000,-8766000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1482000000,2135000000,2425000000,2596000000,2834000000,3028000000,3920000000,3803000000,3577000000,3692000000,3620000000,2362000000,2462000000,1805000000,2371000000,2648000000,2965000000,3247000000,3646000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39337000000,43623000000,49396000000,53171000000,61573000000,64608000000,65285000000,70749000000,68542000000,71315000000,76343000000,76255000000,81394000000,80546000000,77798000000,77869000000,72496000000,74669000000,80925000000,83253000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94685000000,104912000000,120223000000,138187000000,151193000000,163514000000,163429000000,168526000000,177958000000,188960000000,197710000000,199667000000,199163000000,196516000000,196088000000,201569000000,212157000000,229612000000,245890000000,236222000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2180000000,2705000000,4446000000,5395000000,5084000000,4543000000,3065000000,2737000000,2953000000,7138000000,6883000000,6606000000,8638000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94685000000,104912000000,120223000000,138187000000,151193000000,163514000000,163429000000,170706000000,180663000000,193406000000,203105000000,204751000000,203706000000,199581000000,198825000000,204522000000,219295000000,236495000000,252496000000,244860000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/104169/000119312506066792/0001193125-06-066792-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312507065603/0001193125-07-065603-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312508071085/0001193125-08-071085-index.htm,- -,https://www.sec.gov/Archives/edgar/data/104169/000119312510071652/0001193125-10-071652-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312511083157/0001193125-11-083157-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000119312512134679/0001193125-12-134679-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416913000011/0000104169-13-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416914000019/0000104169-14-000019-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416915000011/0000104169-15-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416916000079/0000104169-16-000079-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416917000021/0000104169-17-000021-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416918000028/0000104169-18-000028-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416919000016/0000104169-19-000016-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416920000011/0000104169-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416921000033/0000104169-21-000033-index.htm,https://www.sec.gov/Archives/edgar/data/104169/000010416922000012/0000104169-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1075900000,1291000000,1608500000,1994800000,2333300000,2681000000,2740000000,3056000000,3526000000,4430000000,5575000000,6295000000,6671000000,8039000000,9054000000,10267000000,11231000000,11284000000,12731000000,13400000000,14335000000,16389000000,15699000000,16999000000,16022000000,16363000000,14694000000,13643000000,9862000000,6670000000,14881000000,13510000000,13673000000
74,Depreciation and Amortization,- -,- -,- -,- -,269400000,346600000,475400000,649100000,848700000,1070000000,1304000000,1463000000,1634000000,1872000000,2375000000,2868000000,3290000000,3432000000,3852000000,4405000000,4717000000,5459000000,6317000000,6739000000,7157000000,7641000000,8130000000,8501000000,8870000000,9173000000,9454000000,10080000000,10529000000,10678000000,10987000000,11152000000,10658000000
75,Deferred Income Tax,- -,- -,- -,- -,22700000,14700000,38500000,34600000,21200000,- -,- -,-180000000,20000000,-640000000,-138000000,342000000,185000000,520000000,177000000,263000000,-129000000,89000000,-8000000,581000000,-504000000,651000000,1050000000,-133000000,-279000000,-503000000,-672000000,761000000,-304000000,-499000000,320000000,1911000000,-755000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,-506200000,- -,- -,- -,- -,- -,-227000000,139000000,97000000,69000000,-217000000,383000000,-2378000000,- -,-863000000,-1400000000,-605000000,-164000000,-5703000000,4428000000,-789000000,639000000,-734000000,-4553000000,3718000000,6166000000,-2386000000,-4859000000,-9618000000,3277000000,-404000000,13406000000,-3731000000
