,https://roic.ai/company/MTEM,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,-2474000,-8185000,24099000,-43804000,-54592000,-29469000,-17296000,-20727000,-23399000,-25128000,-70127000,-26707000,-20477000,44824000,-23939000,-22132000,-28323000,-66941000,110543000,93008000
16,EBITDA ratio,-Infinity,-Infinity,Infinity,-63.4841,-37.3662,-20.5216,-12.0111,-Infinity,-Infinity,-405.2903,-11.9528,-2.1374,-1.3909,0.5828,-Infinity,-6.5190,-2.1320,-3.0059,5.8659,2.4035
17,Operating Income,-2485000,-8309000,23946000,-46536000,-59259000,-32350000,-18734000,-21324000,-23908000,-30036000,-19999000,-26024000,-31251000,26928000,-24362000,-17847000,-30999000,-70449000,-100842000,80074000
18,Operating Income ratio,-Infinity,-Infinity,Infinity,-67.4435,-40.5606,-22.5279,-13.0097,-Infinity,-Infinity,-484.4516,-3.4087,-2.0828,-2.1227,0.3501,-Infinity,-5.2568,-2.3334,-3.1634,-5.3511,2.0693
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,5166000,4358000,-51136000,-2189000,9465000,16894000,268000,-5293000,712000,1028000,205753000,2935000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-71135000,-28213000,-21786000,43822000,-24094000,-23140000,-30287000,-69421000,104911000,83009000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12.1246,-2.2579,-1.4798,0.5697,-Infinity,-6.8159,-2.2798,-3.1172,5.5670,2.1451
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000,-202000,- -,- -,- -,- -,- -,5000,- -
23,Net Income,-2458000,-8303000,-23566000,-44408000,-55686000,-30664000,-18292000,-23648000,-18682000,-25653000,-71135000,-28415000,-21584000,43822000,-24094000,-23140000,-30287000,-69421000,104916000,83009000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-64.3594,-38.1150,-21.3538,-12.7028,-Infinity,-Infinity,-413.7581,-12.1246,-2.2741,-1.4661,0.5697,-Infinity,-6.8159,-2.2798,-3.1172,5.5673,2.1451
25,EPS,-2284.92,-33110.85,-1336.50,-107.58,-100.98,-54.78,-21.67,-13.31,-6.16,-6.16,-14.41,-5.39,-3.96,6.82,-3.74,-2.11,-1.02,-1.86,-2.20,1.69
26,EPS Diluted,-2284.92,-33110.85,-1336.50,-107.58,-100.98,-54.78,-21.67,-13.31,-6.16,-6.16,-14.41,-5.39,-5.39,5.94,-3.74,-2.11,-1.02,-1.86,-2.20,1.69
27,Weighted Average Shares Outstanding,1075,1484,17636,411712,550561,561485,843180,1781270,3059451,4172723,4928995,5257449,5484994,6385629,6502175,11401000,29601692,37770378,47603261,49026499
28,Weighted Average Shares Outstanding Diluted,1075,1484,17636,411712,550561,561485,843180,1781270,3059451,4172723,4928995,5257449,5762357,6680266,6502175,11401000,29601692,37770378,47603261,49026499
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1183765/000119312506065276/0001193125-06-065276-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312507055605/0001193125-07-055605-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312508054250/0001193125-08-054250-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312509053873/0001193125-09-053873-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312510050289/0001193125-10-050289-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312511076573/0001193125-11-076573-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312512117619/0001193125-12-117619-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312513095969/0001193125-13-095969-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312514085581/0001193125-14-085581-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459015001251/0001564590-15-001251-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459016014457/0001564590-16-014457-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459017005351/0001564590-17-005351-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459018007268/0001564590-18-007268-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459019010145/0001564590-19-010145-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459020010667/0001564590-20-010667-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459021014250/0001564590-21-014250-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459022012055/0001564590-22-012055-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6215000,40609000,14339000,74947000,28450000,11404000,15466000,8934000,8691000,5882000,11029000,7279000,8391000,9589000,10551000,58910000,87721000,85451000,25218000,24983000
32,Short-Term Investments,45000,209000,14326000,24707000,24360000,11289000,6871000,28381000,6008000,14408000,59819000,58390000,50209000,39091000,13000000,- -,10234000,39633000,68667000,118061000
33,Cash and Short-Term Investments,6260000,40818000,28665000,99654000,52810000,22693000,22337000,37315000,14699000,20290000,70848000,65669000,58600000,48680000,23551000,58910000,97955000,125084000,93885000,143044000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15635000,18094000,7248000,1891000,- -,- -,240000,7508000,234000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,310000,243000,1689000,563000,547000,516000,518000,10342000,944000,254000,1167000,2246000,832000,2599000,623000,1504000,6668000,7307000,7205000,5171000
37,Total Current Assets,6570000,41061000,30354000,100217000,53357000,23209000,22855000,47657000,15643000,20544000,87650000,86009000,66680000,53170000,24174000,60414000,104863000,139899000,101324000,148215000
38,PP&E,71000,199000,1667000,1667000,3169000,2097000,1168000,505000,271000,543000,812000,686000,557000,333000,109000,1952000,6851000,28117000,22254000,27917000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26623000,26623000,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26623000,26623000,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16364000,- -,- -,- -,- -,- -,1510000,- -,8986000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,85000,10000,192000,217000,508000,508000,508000,523000,290000,1349000,1059000,1059000,1159000,166000,- -,1402000,1821000,4676000,16299000,7244000
45,Total Non-Current Assets,156000,209000,1859000,1884000,3677000,2605000,1676000,1028000,561000,1892000,1871000,18109000,1716000,499000,109000,29977000,35295000,34303000,38553000,44147000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,6726000,41270000,32213000,102101000,57034000,25814000,24531000,48685000,16204000,22436000,89521000,104118000,68396000,53669000,24283000,90391000,140158000,174202000,139877000,192362000
48,Accounts Payable,313000,281000,1550000,1237000,619000,1022000,840000,284000,252000,2389000,908000,1689000,2074000,725000,951000,2517000,780000,1465000,2350000,1612000
49,Short-Term Debt,- -,- -,- -,230000,997000,909000,337000,- -,- -,- -,- -,- -,- -,- -,- -,2400000,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,1437000,1437000,1437000,- -,- -,- -,- -,8536000,14722000,14722000,- -,- -,2765000,26231000,17291000,14014000,32937000
52,Other Current Liabilities,103000,603000,6837000,6658000,6605000,1957000,1386000,12590000,3262000,6202000,8007000,10605000,9178000,10103000,1665000,2760000,5498000,17045000,21189000,12121000
53,Total Current Liabilities,416000,884000,8387000,9562000,9658000,5325000,2563000,12874000,3514000,8591000,17451000,27016000,25974000,10828000,2616000,10442000,32509000,35801000,37553000,46670000
54,Long-Term Debt,- -,242000,382000,151000,1247000,337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1078000,3254000,2940000,14926000,45055000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,554000,489000,- -,- -,53097000,76916000,62194000,- -,- -,- -,2670000,19385000,- -,33350000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,8977000,49839000,49917000,3020000,1890000,565000,- -,12665000,7747000,9362000,32826000,23661000,4204000,1995000,1779000,1582000,819000,13048000,- -,1625000
58,Total Non-Current Liabilities,8977000,50081000,50299000,3171000,3137000,902000,554000,13154000,7747000,9362000,85923000,100577000,66398000,1995000,1779000,2660000,6743000,35373000,14926000,80030000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57910000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11682000,14424000,- -
61,Total Liabilities,9393000,50965000,58686000,12733000,12795000,6227000,3117000,26028000,11261000,17953000,103374000,127593000,92372000,12823000,4395000,13102000,39252000,71174000,80537000,126700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,4000,37000,37000,37000,15000,33000,34000,49000,56000,59000,63000,71000,72000,27000,37000,46000,- -,- -
64,Retained Earnings,-2694000,-10997000,-34563000,-78971000,-134657000,-165321000,-183613000,-207793000,-226475000,-252128000,-323263000,-351678000,-373262000,-329440000,-353534000,-64471000,-94704000,-164125000,- -,-352050000
65,Other Comprehensive Income/Loss,-11000,-101000,-244000,-817000,-1721000,-2802000,-3746000,-4432000,-4774000,-1750000,-1740000,-2023000,-2308000,-2616000,-2054000,-412000,-1333000,-3293000,17000,-48000
66,Other Total Stockholders Equity,38000,1403000,8330000,169119000,180580000,187673000,208758000,234849000,236158000,258312000,311094000,330167000,351531000,372831000,375404000,142145000,196906000,270400000,59323000,417760000
67,Total Stockholders Equity,-2667000,-9695000,-26473000,89368000,44239000,19587000,21414000,22657000,4943000,4483000,-13853000,-23475000,-23976000,40846000,19888000,77289000,100906000,103028000,59340000,65662000
68,Total Liabilities And Stockholders Equity,6726000,41270000,32213000,102101000,57034000,25814000,24531000,48685000,16204000,22436000,89521000,104118000,68396000,53669000,24283000,90391000,140158000,174202000,139877000,192362000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,6726000,41270000,32213000,102101000,57034000,25814000,24531000,48685000,16204000,22436000,89521000,104118000,68396000,53669000,24283000,90391000,140158000,174202000,139877000,192362000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1183765/000119312506065276/0001193125-06-065276-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312507055605/0001193125-07-055605-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312508054250/0001193125-08-054250-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312509053873/0001193125-09-053873-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312510050289/0001193125-10-050289-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312511076573/0001193125-11-076573-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312512117619/0001193125-12-117619-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312513095969/0001193125-13-095969-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312514085581/0001193125-14-085581-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459015001251/0001564590-15-001251-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459016014457/0001564590-16-014457-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459017005351/0001564590-17-005351-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459018007268/0001564590-18-007268-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459019010145/0001564590-19-010145-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459020010667/0001564590-20-010667-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459021014250/0001564590-21-014250-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459022012055/0001564590-22-012055-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-2458000,-8303000,-23566000,-44408000,-55686000,-30664000,-18292000,-23648000,-18682000,-25653000,-71135000,-28415000,-21584000,43822000,-24094000,-23140000,-30287000,-69421000,104916000,83009000
74,Depreciation and Amortization,11000,124000,153000,573000,938000,1040000,935000,597000,509000,525000,1008000,1506000,1309000,1002000,423000,155000,974000,1182000,3917000,6630000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,3252000,2211000,803000,1039000,3010000,4922000,5488000,6801000,3089000,1792000,3992000,5859000,11817000,16631000
77,Change in Working Capital,-49000,34023000,-18210000,68688000,-46956000,-25815000,2408000,14491000,-22654000,-176000,58246000,-11206000,-18287000,1636000,-20784000,28414000,22382000,31744000,-40327000,37774000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-15635000,-2459000,10846000,5357000,- -,- -,-240000,-168000,174000,234000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,-182000,-556000,-32000,2137000,-1481000,781000,385000,-1349000,97000,1209000,-1736000,652000,499000,-757000
81,Other Working Capital,6154000,40177000,21967000,90655000,43699000,17884000,20292000,34783000,12129000,11953000,70199000,58993000,40706000,42342000,21558000,49972000,72354000,104098000,63771000,101545000
82,Other Non-Cash Items,27000,-32503000,30823000,-54732000,55280000,26194000,-4611000,-11436000,17640000,414000,38784000,43344000,5339000,-91264000,16267000,-21485000,-1526000,5392000,-164120000,-174431000
83,Cash Provided by Operating Activities,-2469000,-6659000,-10800000,-29879000,-46424000,-29245000,-16308000,-17785000,-22384000,-23851000,29913000,10151000,-27735000,-38003000,-25099000,-14264000,-4465000,-25244000,-83797000,-30387000
84,CAPEX,-87000,-218000,-1022000,-1162000,-2405000,-42000,-30000,-22000,-108000,-528000,-482000,-158000,-224000,-109000,- -,-1101000,-5722000,-9649000,-7392000,-3996000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11216000,- -,- -,- -,- -
86,Purchases of Investments,-46000,- -,-38199000,-38874000,-42915000,-22083000,-9242000,-34961000,-15223000,-28154000,-93745000,-101968000,-44911000,-56793000,-17448000,- -,-10223000,-90159000,-132809000,-210994000
87,Sales/Maturities of Investments,- -,- -,24023000,28413000,43238000,35228000,13700000,13496000,37454000,19500000,47551000,85833000,68462000,67220000,43350000,- -,- -,60084000,105523000,152550000
88,Other Investing Activites,-115000,- -,-162000,85000,-291000,- -,- -,- -,12000,- -,- -,- -,- -,- -,131000,-400000,- -,- -,15000,- -
89,Cash Used for Investing Activites,-248000,-218000,-15360000,-11538000,-2373000,13103000,4428000,-21487000,22135000,-9182000,-46676000,-16293000,23327000,10318000,26033000,9715000,-15945000,-39724000,-34663000,-62440000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,-909000,-337000,- -,- -,- -,- -,- -,- -,- -,-2443000,-3652000,- -,-5194000,-2000
91,Common Stock Issued,8745000,40863000,872000,102357000,438000,94000,16851000,33077000,140000,30224000,21910000,2392000,5520000,28883000,28000,57648000,48053000,63918000,48372000,71145000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,408000,-982000,-332000,1862000,-998000,- -,- -,-134000,- -,- -,- -,- -,- -,- -,6538000,4820000,1780000,15717000,21449000
95,Cash Used/Provided by Financing Activities,8745000,41271000,-110000,102025000,2300000,-904000,15942000,32740000,6000,30224000,21910000,2392000,5520000,28883000,28000,61743000,49221000,65698000,58895000,92592000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,6028000,34394000,-26270000,60608000,-46497000,-17046000,4062000,-6532000,-243000,-2809000,5147000,-3750000,1112000,1198000,962000,57194000,28811000,730000,-59565000,-235000
98,Cash at the End of Period,6215000,40609000,14339000,74947000,28450000,11404000,15466000,8934000,8691000,5882000,11029000,7279000,8391000,9589000,10551000,58910000,87721000,88451000,28886000,28651000
99,Cash at the Beginning of Period,187000,6215000,40609000,14339000,74947000,28450000,11404000,15466000,8934000,8691000,5882000,11029000,7279000,8391000,9589000,1716000,58910000,87721000,88451000,28886000
100,Free Cash Flow,-2556000,-6877000,-11822000,-31041000,-48829000,-29287000,-16338000,-17807000,-22492000,-24379000,29431000,9993000,-27959000,-38112000,-25099000,-15365000,-10187000,-34893000,-91189000,-34383000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1183765/000119312506065276/0001193125-06-065276-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312507055605/0001193125-07-055605-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312508054250/0001193125-08-054250-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312509053873/0001193125-09-053873-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312510050289/0001193125-10-050289-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312511076573/0001193125-11-076573-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312512117619/0001193125-12-117619-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312513095969/0001193125-13-095969-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000119312514085581/0001193125-14-085581-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459015001251/0001564590-15-001251-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459016014457/0001564590-16-014457-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459017005351/0001564590-17-005351-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459018007268/0001564590-18-007268-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459019010145/0001564590-19-010145-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459020010667/0001564590-20-010667-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459021014250/0001564590-21-014250-index.htm,https://www.sec.gov/Archives/edgar/data/1183765/000156459022012055/0001564590-22-012055-index.htm
102,false,,,,,,,,,,,,,,,,,,,,
