,https://roic.ai/company/DDS,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
10,Operating Expenses,484700000,564100000,672400000,765600000,913500000,1069100000,1188100000,1344000000,1476800000,1583600000,1813600000,1787900000,1885800000,2377900000,2638300000,2650500000,2578700000,2585800000,2452709000,2474900000,2452600000,2452600000,2444700000,2278500000,1966800000,1940500000,1893200000,1967600000,1919700000,1941519000,1946659000,1931769000,1952549000,1951301000,1947408000,1447035000,1536554000
11,COGS and Expenses,1500900000,1743300000,2071200000,2401900000,2839800000,3356200000,3752900000,4386000000,4781900000,5198200000,5707400000,5912700000,6277600000,7596000000,8400700000,8452600000,8086400000,7839900000,7622882000,7492700000,7466600000,7485000000,7231400000,7106269000,6069700000,5916600000,5934800000,6214700000,6143400000,6214124000,6297464000,6098180000,6152267000,6242821000,6183386000,4516098000,5284219000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1658000,1417000,1022000,1234000,1305000,663000,842000,1030000,1259000,505000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-124300000,-120100000,-120600000,- -,-196700000,-236600000,-224300000,-190400000,-182900000,- -,-139100000,-105570000,-87642000,-91556000,- -,-74003000,-73800000,-72200000,-69600000,-64500000,61102000,-60923000,63059000,62580000,52518000,-46227000,47618000,43092000
14,Depreciation and Amortization,39900000,51300000,63400000,73900000,86400000,99500000,113800000,137000000,172800000,191900000,193300000,195200000,201400000,241900000,295874000,306096000,313711000,305545000,297201000,305536000,304376000,303256000,300859000,286184000,264763000,263395000,259467000,261572000,257237000,252334000,252147000,245923000,233683000,225849000,224309000,216315000,- -
15,EBITDA,154800000,183200000,218600000,246400000,314300000,380300000,436000000,512300000,572300000,473700000,342900000,453300000,611400000,264300000,343174000,119896000,240911000,-192255000,313195000,351036000,334606000,481814000,276103000,-95401000,271960000,453645000,588649000,673032000,689837000,824769000,601364000,566702000,509787000,486360000,311973000,110529000,-5284219000
16,EBITDA ratio,0.0967,0.0990,0.0991,0.0963,0.1031,0.1055,0.1080,0.1087,0.1115,0.0827,0.0562,0.0707,0.0922,0.0330,0.0385,0.0136,0.0287,-0.0233,0.0412,0.0449,0.0434,0.0617,0.0375,-0.0137,0.0437,0.0725,0.0920,0.0997,0.1031,0.1216,0.0890,0.0883,0.0794,0.0748,0.0492,0.0249,-Infinity
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5284219000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity
19,Total Other Income Expenses (Gains),14400000,23800000,20100000,16000000,18600000,31500000,38700000,47300000,50800000,-124300000,-120000000,-120600000,55800000,-196700000,-236600000,-224300000,-190400000,-182900000,39942000,-139000000,-105600000,-71300000,-78900000,-262176000,-72500000,-68200000,-68200000,-57100000,-52200000,-55237000,-48297000,-62154000,-57720000,-52566000,-25934000,-70491000,6372582000
20,Income Before Tax,114900000,131900000,155200000,172500000,227900000,280800000,322200000,375300000,399500000,406100000,269700000,378800000,410000000,219100000,283900000,140900000,111600000,211100000,15994000,184600000,135800000,253800000,60500000,-380005000,84500000,268700000,396700000,479800000,496200000,510768000,408784000,257675000,212689000,207962000,133891000,-153404000,1088363000
21,Income Before Tax Ratio,0.0717,0.0712,0.0703,0.0674,0.0747,0.0779,0.0798,0.0796,0.0779,0.0709,0.0442,0.0591,0.0618,0.0273,0.0318,0.0160,0.0133,0.0256,0.0021,0.0236,0.0176,0.0325,0.0082,-0.0544,0.0136,0.0430,0.0620,0.0711,0.0742,0.0753,0.0605,0.0401,0.0331,0.0320,0.0211,-0.0346,Infinity
22,Income Tax expense (Gain),48000000,57400000,64000000,58700000,79800000,98000000,116000000,138900000,158400000,154300000,102500000,140100000,151700000,83800000,120200000,44000000,45800000,74800000,6650000,66900000,14300000,20600000,13000000,-140520000,12700000,84450000,-62518000,145060000,173400000,179480000,140770000,88500000,-7800000,37730000,22810000,-81750000,225890000
23,Net Income,66900000,74500000,91200000,113800000,148100000,182800000,206200000,236400000,241100000,251800000,167200000,238600000,258300000,135300000,163700000,-5900000,71800000,-389700000,9344000,117700000,121500000,245600000,53800000,-241065000,68500000,179600000,463900000,336000000,323700000,331853000,269370000,169220000,221324000,170263000,111081000,-71654000,862473000
24,Net Income ratio,0.0418,0.0402,0.0413,0.0445,0.0486,0.0507,0.0511,0.0501,0.0470,0.0440,0.0274,0.0372,0.0389,0.0169,0.0183,-0.0007,0.0086,-0.0473,0.0012,0.0151,0.0158,0.0314,0.0073,-0.0345,0.0110,0.0287,0.0725,0.0498,0.0484,0.0489,0.0399,0.0264,0.0345,0.0262,0.0175,-0.0162,Infinity
25,EPS,0.76,0.78,0.94,1.18,1.45,1.67,1.84,2.11,2.14,2.23,1.48,2.10,2.32,1.26,1.55,0.15,0.85,-4.71,0.11,1.41,1.49,3.09,0.69,-3.25,0.93,2.68,8.67,6.98,7.10,7.79,6.91,4.93,7.51,6.23,4.38,-3.16,38.00
26,EPS Diluted,0.76,0.78,0.94,1.18,1.45,1.67,1.84,2.11,2.14,2.23,1.48,2.09,2.31,1.26,1.55,0.15,0.85,-4.71,0.11,1.41,1.49,3.05,0.68,-3.25,0.93,2.67,8.52,6.87,7.10,7.79,6.91,4.93,7.50,6.23,4.38,-3.16,38.00
27,Weighted Average Shares Outstanding,88026316,95512821,97021277,96440678,102137931,109461078,112065217,112037915,112663551,112914798,112972973,113619048,111336207,107380952,98778000,85023000,84020000,84513000,84945455,83205000,81504000,79603000,78406000,74278000,73800000,66900000,53500000,48100000,45600000,42600000,39000000,34300000,29500000,27300000,25400000,22700000,22697000
28,Weighted Average Shares Outstanding Diluted,88026316,95512821,97021277,96440678,102137931,109461078,112065217,112037915,112663551,112914798,112972973,114162679,111818182,107380952,98778000,85023000,84487000,85316000,84945455,83205000,81661000,80475000,79103000,74278000,73800000,67200000,54400000,48900000,45600000,42600000,39000000,34300000,29500000,27300000,25400000,22700000,22697000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000002891796000005/0000028917-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891797000003/0000028917-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891798000004/0000028917-98-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000002891702000016/0000028917-02-000016-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000119312506071918/d10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312507074149/0001193125-07-074149-index.html,https://www.sec.gov/Archives/edgar/data/28917/000119312508073400/0001193125-08-073400-index.html,https://www.sec.gov/Archives/edgar/data/28917/000119312509070701/0001193125-09-070701-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746910002784/0001047469-10-002784-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746911002536/a2202861z10-k.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746912003143/0001047469-12-003143-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746913003588/0001047469-13-003588-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891714000049/dds-02012014x10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891715000046/dds-01312015x10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891716000262/0000028917-16-000262-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891717000058/0000028917-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891718000159/0000028917-18-000159-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891719000078/0000028917-19-000078-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891720000041/0000028917-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891721000066/0000028917-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891722000009/0000028917-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,20900000,22700000,24500000,41500000,54100000,38200000,41600000,92600000,51200000,51100000,58400000,64100000,41800000,72400000,198700000,194000000,153000000,142400000,160873000,498200000,299800000,194000000,88900000,96823000,341700000,343300000,224300000,124100000,237100000,403752000,202869000,346985000,187028000,123509000,277077000,360339000,716759000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,20900000,22700000,24500000,41500000,54100000,38200000,41600000,92600000,51200000,51100000,58400000,64100000,41800000,72400000,198700000,194000000,153000000,142400000,160873000,498200000,299800000,194000000,88900000,96823000,341700000,343300000,224300000,124100000,237100000,403752000,202869000,346985000,187028000,123509000,277077000,360339000,716759000
34,Net Receivables,80700000,224600000,171200000,644900000,749500000,920500000,988700000,1090200000,1096500000,1102100000,1103600000,1130500000,1158700000,1192600000,1104900000,979200000,1074900000,1338100000,1191489000,9700000,12500000,10500000,10900000,87998000,63400000,26000000,28700000,31500000,30800000,56510000,47138000,48230000,38437000,49853000,46160000,155132000,39777000
35,Inventory,305800000,385500000,500800000,527900000,716100000,889300000,1052700000,1178600000,1299900000,1362800000,1486000000,1557000000,1784800000,2157000000,2047800000,1616200000,1561900000,1594300000,1632377000,1733000000,1802700000,1772200000,1779300000,1374394000,1300700000,1290100000,1304100000,1294600000,1345300000,1374481000,1374505000,1406403000,1463561000,1528417000,1465007000,1087763000,1080178000
36,Other Current Assets,1500000,3000000,15700000,5800000,6600000,6700000,5600000,5500000,9100000,8800000,10200000,9000000,12800000,15700000,72300000,53500000,24700000,55500000,38952000,52600000,35500000,71100000,66100000,127540000,43700000,42500000,34600000,41800000,47000000,53699000,44371000,36303000,50359000,68753000,59838000,58706000,77937000
37,Total Current Assets,408900000,635800000,712200000,1220100000,1526300000,1854700000,2088600000,2366900000,2456700000,2524800000,2658200000,2760600000,2998100000,3437700000,3423700000,2842900000,2814500000,3130300000,3023691000,2293500000,2150500000,2047800000,1945200000,1686755000,1749500000,1701900000,1591700000,1492000000,1660200000,1888442000,1668883000,1837921000,1739385000,1770532000,1848082000,1661940000,1914651000
38,PP&E,405000000,523400000,713900000,804700000,921800000,1088800000,1338400000,1662200000,1892100000,1984100000,2035500000,2191900000,2501500000,3684600000,3619200000,3508300000,3455700000,3370500000,3197469000,3180800000,3158900000,3157900000,3190400000,2973151000,2780800000,2595500000,2440300000,2287000000,2134200000,2029171000,1939832000,1790267000,1696276000,1586733000,1506100000,1336914000,42941000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,659300000,610200000,585100000,569500000,39200000,- -,35500000,34500000,34500000,31900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36731000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,659300000,610200000,585100000,569500000,39200000,36731000,35500000,34500000,34500000,31900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,203000000,97000000,- -,116000000,102000000,98000000,100000000,- -,15000000,18000000,5200000,5200000,1500000,- -,20000000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,294500000,252500000,261100000,- -,681100000,702500000,638600000,644000000,645000000,- -,509600000,479100000,452900000,436500000,- -,349700000,341700000,314600000,255700000,230200000,- -,258070000,225684000,116831000,13487000,3490000,23453000,28931000
44,Other Non-Current Assets,47700000,54200000,72100000,42700000,48200000,64500000,71500000,78000000,81500000,-225600000,-167700000,-153900000,92200000,-285100000,-437400000,-375600000,-612100000,-606100000,153206000,-443800000,-408100000,-383100000,-365900000,85938000,-288700000,-282900000,-45700000,8800000,24600000,252458000,-22884000,34264000,130211000,60617000,72585000,70208000,1259034000
45,Total Non-Current Assets,452700000,577600000,786000000,847400000,970000000,1153300000,1409900000,1740200000,1973600000,2053000000,2120300000,2299100000,2593700000,4739900000,4494500000,4356400000,4260100000,3545600000,3387406000,3398100000,3366400000,3360200000,3392900000,3059089000,2856800000,2672300000,2714400000,2556700000,2390500000,2281629000,2195018000,2050215000,1943318000,1660837000,1582175000,1430575000,1330906000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,861600000,1213400000,1498200000,2067500000,2496300000,3008000000,3498500000,4107100000,4430300000,4577800000,4778500000,5059700000,5591800000,8177600000,7918200000,7199300000,7074600000,6675900000,6411097000,5691600000,5516900000,5408000000,5338100000,4745844000,4606300000,4374200000,4306100000,4048700000,4050700000,4170071000,3863901000,3888136000,3682703000,3431369000,3430257000,3092515000,3245557000
48,Accounts Payable,- -,- -,- -,273500000,310400000,384500000,437300000,549100000,529500000,350800000,376400000,342200000,530000000,524100000,351700000,399000000,562500000,429100000,679854000,597000000,630700000,581900000,565200000,642940000,494400000,491500000,452400000,469200000,464900000,530809000,494268000,635833000,657586000,743330000,713463000,564501000,- -
49,Short-Term Debt,20200000,23000000,20500000,242700000,171500000,250500000,275200000,114600000,212600000,89900000,125300000,128700000,528000000,- -,- -,- -,- -,140670000,549746000,96555000,204408000,104314000,394059000,227239000,3494000,51350000,79101000,1710000,784000,840000,3284000,90482000,162034000,1214000,15873000,14514000,101312000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59791000,61119000,203432000,175527000,186407000,215402000,115760000,112930000,101897000,58762000,68846000,78163000,23441000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84902000,74995000,36802000,- -,89027000,90581000,135610000,111637000,137191000,- -,258070000,225684000,116831000,72852000,3490000,- -,- -
52,Other Current Liabilities,241500000,266100000,315900000,66200000,51300000,28000000,24800000,25800000,53900000,318300000,368000000,423800000,40900000,569700000,458900000,477700000,365600000,316730000,106487000,351645000,227390000,215891000,188139000,43486000,182079000,197769000,203289000,184553000,175425000,353674000,-4406000,24518000,112784000,116139000,197994000,193862000,864874000
53,Total Current Liabilities,261700000,289100000,336400000,582400000,533200000,663000000,737300000,689500000,796000000,759000000,869700000,894700000,1098900000,1093800000,810600000,876700000,928100000,886500000,1336087000,1045200000,1147400000,977100000,1184200000,913665000,769000000,831200000,870400000,767100000,778300000,885323000,751216000,976517000,1049235000,933535000,930820000,772877000,966186000
54,Long-Term Debt,200700000,314000000,446200000,646100000,772500000,870800000,1038500000,1414100000,1269900000,1200800000,1178000000,1186700000,1377900000,3561200000,3450900000,2928200000,2676600000,2743200000,1855065000,1543000000,1290800000,1184900000,985900000,757689000,970000000,908600000,823900000,822300000,821500000,814785000,820330000,730094000,568309000,567235000,566404000,599241000,352216000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,36900000,53600000,72200000,86800000,95900000,109300000,139300000,171500000,282600000,- -,- -,- -,307100000,- -,- -,- -,- -,- -,617236000,- -,- -,- -,- -,378348000,- -,11383000,9153000,7524000,6759000,194319000,258070000,225684000,116831000,13487000,- -,- -,- -
57,Other Non-Current Liabilities,400000,500000,500000,100000,- -,100000,- -,- -,200000,294400000,252500000,261100000,- -,681000000,823900000,764600000,801500000,782000000,165612000,778700000,738200000,659100000,653900000,245027000,563200000,536217000,550647000,481676000,451941000,256374000,238980000,238424000,240173000,238731000,309774000,279389000,475937000
58,Total Non-Current Liabilities,238000000,368100000,518900000,733000000,868400000,980200000,1177800000,1585600000,1552700000,1495200000,1430500000,1447800000,1685000000,4242200000,4274800000,3692800000,3478100000,3525200000,2637913000,2321700000,2029000000,1844000000,1639800000,1381064000,1533200000,1456200000,1383700000,1311500000,1280200000,1265478000,1317380000,1194202000,925313000,819453000,876178000,878630000,828153000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18600000,17711000,20182000,31806000,28328000,25739000,24116000,24197000,13567000,11465000,9234000,7543000,6759000,10553000,7269000,3987000,2880000,49251000,47906000,- -
61,Total Liabilities,499700000,657200000,855300000,1315400000,1401600000,1643200000,1915100000,2275100000,2348700000,2254200000,2300200000,2342500000,2783900000,5336000000,5085400000,4569500000,4406200000,4411700000,3974000000,3366900000,3176400000,2821100000,2824000000,2294729000,2302200000,2287400000,2254100000,2078600000,2058500000,2150801000,2068596000,2170719000,1974548000,1752988000,1806998000,1651507000,1794339000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1100000,1100000,1100000,- -,1200000,1200000,1200000,1200000,1200000,1169000,1200000,1200000,1200000,1200000,1206000,1200000,1200000,1200000,1200000,1200000,1237000,1238000,1238000,1239000,1239000,1239000,1240000,1240000
64,Retained Earnings,225800000,296500000,383200000,491900000,633800000,809300000,1007300000,1225400000,1457400000,1697900000,1851500000,2074200000,2314700000,2432800000,2579600000,2558900000,2617600000,2205700000,2201623000,2306000000,2414500000,2647400000,2680700000,2427727000,2484400000,2653400000,3107300000,3099600000,3413200000,3734891000,3994211000,4153844000,4365219000,4458006000,4556494000,4471269000,5027922000
65,Other Comprehensive Income/Loss,-143200000,-178700000,-229000000,-297200000,-379900000,-456500000,-558600000,-702700000,-912000000,-1082200000,-1179600000,-1341300000,-1522200000,-1723200000,-1341800000,-1507600000,-1664700000,-4496000,-11281000,-13333000,-14574000,-21229000,-22211000,-16872000,-22298000,-17830000,-39034000,-31275000,-24074000,-31029000,-17118000,-11137000,-15444000,-12809000,-31059000,-34935000,-22798000
66,Other Total Stockholders Equity,279300000,438400000,488700000,557400000,840800000,1012000000,1134700000,1309300000,1536200000,1706800000,1805300000,1983200000,2015400000,2130700000,1593800000,1577300000,1714300000,61792000,45586000,30830000,-60585000,-40418000,-145578000,-160946000,-159199000,-550050000,-1017447000,-1099350000,-1398129000,-1685829000,-2183026000,-2426528000,-2642859000,-2768055000,-2903415000,-2996566000,- -
67,Total Stockholders Equity,361900000,556200000,642900000,752100000,1094700000,1364800000,1583400000,1832000000,2081600000,2323600000,2478300000,2717200000,2807900000,2841500000,2832800000,2629800000,2668400000,2264196000,2237097000,2324697000,2340541000,2586953000,2514111000,2251115000,2304103000,2086720000,2052019000,1970175000,1992197000,2019270000,1795305000,1717417000,1708155000,1678381000,1623259000,1441008000,1451218000
68,Total Liabilities And Stockholders Equity,861600000,1213400000,1498200000,2067500000,2496300000,3008000000,3498500000,4107100000,4430300000,4577800000,4778500000,5059700000,5591800000,8177500000,7918200000,7199300000,7074600000,6675896000,6211097000,5691597000,5516941000,5408053000,5338111000,4545844000,4606303000,4374120000,4306119000,4048775000,4050697000,4170071000,3863901000,3888136000,3682703000,3431369000,3430257000,3092515000,3245557000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,- -,- -,- -,4000,200000000,3000,-41000,-53000,-11000,200000000,-3000,80000,-19000,-75000,3000,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,861600000,1213400000,1498200000,2067500000,2496300000,3008000000,3498500000,4107100000,4430300000,4577800000,4778500000,5059700000,5591800000,8177600000,7918200000,7199300000,7074600000,6675900000,6411097000,5691600000,5516900000,5408000000,5338100000,4745844000,4606300000,4374200000,4306100000,4048700000,4050700000,4170071000,3863901000,3888136000,3682703000,3431369000,3430257000,3092515000,3245557000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000002891796000005/0000028917-96-000005-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891797000003/0000028917-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891798000004/0000028917-98-000004-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000002891702000016/0000028917-02-000016-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/28917/000119312506071918/d10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000119312507074149/0001193125-07-074149-index.html,https://www.sec.gov/Archives/edgar/data/28917/000119312508073400/0001193125-08-073400-index.html,https://www.sec.gov/Archives/edgar/data/28917/000119312509070701/0001193125-09-070701-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746910002784/0001047469-10-002784-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746911002536/a2202861z10-k.htm,https://www.sec.gov/Archives/edgar/data/28917/000104746912003143/0001047469-12-003143-index.html,https://www.sec.gov/Archives/edgar/data/28917/000104746913003588/0001047469-13-003588-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891714000049/dds-02012014x10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891715000046/dds-01312015x10k.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891716000262/0000028917-16-000262-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891717000058/0000028917-17-000058-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891718000159/0000028917-18-000159-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891719000078/0000028917-19-000078-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891720000041/0000028917-20-000041-index.html,https://www.sec.gov/Archives/edgar/data/28917/000002891721000066/0000028917-21-000066-index.htm,https://www.sec.gov/Archives/edgar/data/28917/000002891722000009/0000028917-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,113800000,148100000,182800000,206200000,236400000,241100000,251800000,167200000,238600000,258300000,135300000,163700000,-5900000,71800000,-389700000,9344000,117700000,121500000,245600000,53800000,-241065000,68500000,179600000,463900000,336000000,323700000,331853000,269370000,169220000,221324000,170263000,111081000,-71654000,862473000
74,Depreciation and Amortization,- -,- -,- -,73900000,86400000,99500000,113800000,137000000,172800000,191900000,193300000,195200000,201400000,241900000,295874000,306096000,313711000,305545000,297201000,305536000,304376000,303256000,300859000,286184000,264763000,263395000,259467000,261572000,257237000,252334000,252147000,245923000,233683000,225849000,224309000,216315000,- -
75,Deferred Income Tax,- -,- -,- -,-1800000,-7700000,400000,23900000,31900000,23500000,17800000,-54300000,12600000,53900000,-118600000,-13091000,-6325000,2045000,24882000,13623000,-122036000,-32862000,-32807000,-2399000,-57652000,-35350000,18439000,-9494000,-61093000,-7329000,-30927000,-35975000,-35703000,-102065000,334000,-5415000,-23946000,-7448000
