,https://roic.ai/company/AEHR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,13200000,12247000,10577000,12431000,11644000,10583000,10462000,10217000,9238000,10181000,12862000,14158000,26385000,6859000,9699000,10714000,10083000,9725000,10532000,11299000,11709000,11471000,11877000,10916000,10214000
11,COGS and Expenses,38300000,36606000,22778000,29698000,29567000,17071000,19816000,20309000,21055000,23346000,26300000,33230000,46608000,12430000,17924000,20028000,19795000,19187000,16712000,20655000,23827000,28640000,25331000,24836000,20782000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,142000,5000,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,49000,26000,130000,605000,678000,399000,252000,- -,- -
14,Depreciation and Amortization,600000,479000,453000,703000,651000,662000,582000,384000,323000,340000,323000,474000,644000,690000,573000,491000,322000,141000,135000,203000,271000,417000,431000,384000,310000
15,EBITDA,3200000,5218000,-2554000,-3018000,1556000,-3364000,-4036000,-3499000,-4411000,1129000,2826000,6445000,-24412000,70000,-2849000,-2909000,-3018000,574000,-6348000,-5967000,-4679000,1271000,-4525000,-2382000,-1894000
16,EBITDA ratio,0.0762,0.1279,-0.1407,-0.1232,0.0501,-0.2677,-0.2674,-0.2215,-0.2743,0.0474,0.1033,0.1651,-1.1404,0.0060,-0.2074,-0.1874,-0.1830,0.0292,-0.6337,-0.4115,-0.2476,0.0430,-0.2149,-0.1069,-0.1141
17,Operating Income,3700000,4199000,-4632000,-5193000,1472000,-4503000,-4724000,-4509000,-4975000,455000,1051000,5811000,-25475000,-756000,-4187000,-4507000,-3307000,497000,-6694000,-6154000,-4929000,915000,-5000000,-2765000,-4182000
18,Operating Income ratio,0.0881,0.1029,-0.2553,-0.2119,0.0474,-0.3583,-0.3130,-0.2854,-0.3094,0.0191,0.0384,0.1488,-1.1900,-0.0648,-0.3048,-0.2904,-0.2006,0.0252,-0.6682,-0.4244,-0.2608,0.0310,-0.2375,-0.1240,-0.2519
19,Total Other Income Expenses (Gains),-1100000,540000,1625000,1472000,1062000,477000,106000,626000,241000,334000,1452000,160000,419000,136000,765000,1103000,-82000,-90000,81000,-621000,-699000,-460000,-208000,-1000,1978000
20,Income Before Tax,2600000,4739000,-3007000,-3721000,2534000,-4026000,-4618000,-3883000,-4734000,789000,2503000,5971000,-25056000,-620000,-3422000,-3404000,-3389000,407000,-6613000,-6775000,-5628000,455000,-5208000,-2766000,-2204000
21,Income Before Tax Ratio,0.0619,0.1161,-0.1657,-0.1518,0.0816,-0.3203,-0.3060,-0.2458,-0.2944,0.0331,0.0915,0.1529,-1.1705,-0.0531,-0.2491,-0.2193,-0.2055,0.0207,-0.6601,-0.4672,-0.2978,0.0154,-0.2473,-0.1241,-0.1328
22,Income Tax expense (Gain),-700000,2334000,-677000,-1116000,1046000,1241000,-74000,76000,136000,-21000,75000,-4602000,4915000,-139000,-49000,-15000,30000,-15000,34000,10000,25000,-73000,27000,36000,-177000
23,Net Income,3300000,2405000,-2330000,-2605000,-141000,-5267000,-4544000,-3959000,-4870000,810000,2428000,10573000,-29971000,-481000,-3373000,-3389000,-3419000,422000,-6647000,-6785000,-5653000,528000,-5235000,-2802000,-2027000
24,Net Income ratio,0.0786,0.0589,-0.1284,-0.1063,-0.0045,-0.4191,-0.3011,-0.2506,-0.3029,0.0340,0.0888,0.2708,-1.4001,-0.0412,-0.2455,-0.2183,-0.2074,0.0214,-0.6635,-0.4679,-0.2991,0.0179,-0.2486,-0.1257,-0.1221
25,EPS,0.77,0.38,-0.34,-0.38,-0.02,-0.74,-0.63,-0.55,-0.66,0.11,0.31,1.32,-3.55,-0.06,-0.38,-0.38,-0.36,0.04,-0.55,-0.52,-0.35,0.02,-0.23,-0.12,-0.09
26,EPS Diluted,0.74,0.36,-0.34,-0.38,-0.02,-0.74,-0.63,-0.55,-0.66,0.11,0.30,1.24,-3.55,-0.06,-0.38,-0.38,-0.36,0.04,-0.55,-0.52,-0.35,0.02,-0.23,-0.12,-0.09
27,Weighted Average Shares Outstanding,6829000,6327000,6854000,6813000,7074000,7151000,7161000,7248000,7420000,7515000,7751000,8013000,8436000,8563000,8776000,9016000,9549000,10877000,12047000,13091000,16267000,21732000,22387000,22882000,23457000
28,Weighted Average Shares Outstanding Diluted,6829000,6761000,6854000,6813000,7179000,7151000,7161000,7248000,7420000,7605000,8225000,8508000,8436000,8563000,8776000,9016000,9549000,11889000,12047000,13091000,16267000,22782000,22387000,22882000,23457000
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047098000015/0001040470-98-000015-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047099000016/0001040470-99-000016-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047000000011/0001040470-00-000011-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047001500004/0001040470-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047002000010/0001040470-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047003000014/0001040470-03-000014-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047004000034/0001040470-04-000034-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047005000040/0001040470-05-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047007000031/0001040470-07-000031-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047008000086/0001040470-08-000086-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047010000031/0001040470-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047011000044/0001040470-11-000044-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000135448812004623/0001354488-12-004623-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448813004932/0001354488-13-004932-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448814004435/0001354488-14-004435-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448815004120/0001354488-15-004120-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495416001861/0001654954-16-001861-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1040470/000165495418009628/0001654954-18-009628-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495419010095/0001654954-19-010095-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495420009618/0001654954-20-009618-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495421009505/0001654954-21-009505-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1200000,6748000,5336000,8323000,10391000,7485000,8362000,4641000,4952000,9405000,6564000,15648000,4360000,7766000,4020000,2073000,2324000,1809000,5527000,939000,17803000,16848000,5428000,5433000,4582000
32,Short-Term Investments,- -,16579000,14847000,7365000,3764000,8003000,2429000,5892000,3813000,1600000,2987000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1200000,23327000,20183000,15688000,14155000,15488000,10791000,10533000,8765000,11005000,9551000,15648000,4360000,7766000,4020000,2073000,2324000,1809000,5527000,939000,17803000,16848000,5428000,5433000,4582000
34,Net Receivables,7500000,7182000,3533000,6294000,5751000,3132000,2889000,4205000,2537000,4531000,6614000,10927000,931000,596000,1432000,2588000,2632000,3390000,1383000,522000,4010000,2856000,4859000,3717000,5202000
35,Inventory,10500000,11942000,9221000,11183000,10125000,8633000,9247000,7989000,7140000,7242000,9701000,10209000,4472000,3635000,4958000,6070000,5369000,6148000,7123000,7033000,6604000,9049000,9061000,7989000,8849000
36,Other Current Assets,2700000,1407000,2197000,3277000,3321000,2373000,1640000,492000,585000,357000,326000,3439000,879000,445000,161000,197000,197000,326000,262000,254000,961000,703000,686000,512000,551000
37,Total Current Assets,21900000,43858000,35134000,36442000,33352000,29626000,24567000,23219000,19027000,23135000,26192000,40223000,10642000,12442000,10571000,10928000,10522000,11673000,14295000,8748000,29378000,29456000,20034000,17651000,19184000
38,PP&E,1700000,1541000,1936000,2613000,2103000,2356000,1515000,1289000,1232000,959000,1689000,2278000,2741000,1504000,954000,510000,301000,474000,478000,1204000,1419000,1203000,1045000,2770000,2283000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,274000,274000,274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,274000,274000,274000,274000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,800000,1706000,4117000,1674000,4137000,1836000,2165000,2304000,936000,525000,520000,524000,528000,528000,558000,175000,152000,78000,95000,94000,95000,296000,228000,153000,198000
45,Total Non-Current Assets,2500000,3247000,6053000,4287000,6240000,4192000,3680000,3593000,2442000,1758000,2483000,4976000,3269000,2032000,1512000,685000,453000,552000,573000,1298000,1514000,1499000,1273000,2923000,2481000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24400000,47105000,41187000,40729000,39592000,33818000,28247000,26812000,21469000,24893000,28675000,45199000,13911000,14474000,12083000,11613000,10975000,12225000,14868000,10046000,30892000,30955000,21307000,20574000,21665000
48,Accounts Payable,4500000,2084000,1005000,2989000,1213000,874000,748000,1838000,1050000,1130000,2517000,2981000,995000,703000,885000,1507000,1188000,1892000,724000,1413000,2808000,1762000,1933000,945000,2893000
49,Short-Term Debt,4800000,86000,152000,143000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1408000,1101000,777000,- -,- -,- -,6110000,- -,1311000,3816000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,74000,78000,68000,101000,63000,69000,34000,29000,30000,5000
51,Deferred Revenue,- -,311000,521000,37000,51000,540000,106000,337000,692000,2335000,378000,186000,241000,286000,221000,555000,1972000,1058000,4750000,1714000,3467000,1630000,1545000,170000,189000
52,Other Current Liabilities,4700000,4492000,2440000,2873000,3336000,2260000,1739000,2100000,1943000,2347000,2927000,3694000,2107000,1626000,1434000,1385000,1440000,1390000,1045000,1553000,1609000,1646000,2034000,1439000,2163000
53,Total Current Liabilities,14000000,6973000,4118000,6042000,4600000,3674000,2593000,4275000,3685000,5812000,5822000,6861000,3343000,2615000,2540000,4855000,5701000,5117000,6519000,4680000,7884000,11148000,5512000,3865000,9061000
54,Long-Term Debt,100000,113000,391000,297000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3791000,5962000,6110000,- -,- -,2631000,1007000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,68000,- -,- -,127000,104000,459000,189000,22000,99000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,200000,55000,- -,85000,185000,259000,309000,333000,332000,264000,185000,566000,605000,578000,442000,304000,212000,79000,8000,- -,- -,63000,153000,- -,49000
58,Total Non-Current Liabilities,300000,168000,391000,382000,185000,259000,309000,333000,332000,264000,185000,566000,605000,578000,442000,304000,280000,79000,3799000,6089000,6214000,522000,342000,2653000,1155000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2263000,1744000
61,Total Liabilities,14300000,7141000,4509000,6424000,4785000,3933000,2902000,4608000,4017000,6076000,6007000,7427000,3948000,3193000,2982000,5159000,5981000,5196000,10318000,10769000,14098000,11670000,5854000,6518000,10216000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,69000,68000,69000,71000,72000,72000,74000,75000,76000,78000,84000,85000,87000,89000,91000,106000,112000,129000,132000,213000,221000,227000,231000,237000
64,Retained Earnings,-100000,2275000,-55000,-2660000,-2801000,-8068000,-12612000,-16571000,-21441000,-20631000,-18203000,-7503000,-37474000,-37955000,-41328000,-44717000,-48114000,-47692000,-54339000,-61124000,-66777000,-66249000,-71484000,-74286000,-76313000
65,Other Comprehensive Income/Loss,-7900000,-6361000,-7026000,-7571000,-7794000,-6531000,1521000,1379000,1250000,1291000,1241000,2395000,2800000,2690000,2593000,2458000,2442000,2488000,2231000,2237000,2249000,2292000,2230000,2234000,-28000
66,Other Total Stockholders Equity,18100000,43981000,43691000,44467000,45331000,44412000,36364000,37322000,37568000,38081000,39552000,42796000,44552000,46459000,47747000,48622000,50580000,52142000,56547000,58052000,- -,83041000,84499000,85898000,87553000
67,Total Stockholders Equity,10100000,39964000,36678000,34305000,34807000,29885000,25345000,22204000,17452000,18817000,22668000,37772000,9963000,11281000,9101000,6454000,5014000,7050000,4568000,-703000,16813000,19305000,15472000,14077000,11449000
68,Total Liabilities And Stockholders Equity,24400000,47105000,41187000,40729000,39592000,33818000,28247000,26812000,21469000,24893000,28675000,45199000,13911000,14474000,12083000,11613000,10995000,12246000,14886000,10066000,30911000,30975000,21326000,20595000,21665000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000,-21000,-18000,-20000,-19000,-20000,-19000,-21000,- -
70,Total Liabilities & Equity,24400000,47105000,41187000,40729000,39592000,33818000,28247000,26812000,21469000,24893000,28675000,45199000,13911000,14474000,12083000,11613000,10975000,12225000,14868000,10046000,30892000,30955000,21307000,20574000,21665000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047098000015/0001040470-98-000015-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047099000016/0001040470-99-000016-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047000000011/0001040470-00-000011-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047001500004/0001040470-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047002000010/0001040470-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047003000014/0001040470-03-000014-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047004000034/0001040470-04-000034-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047005000040/0001040470-05-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047007000031/0001040470-07-000031-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047008000086/0001040470-08-000086-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047010000031/0001040470-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047011000044/0001040470-11-000044-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000135448812004623/0001354488-12-004623-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448813004932/0001354488-13-004932-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448814004435/0001354488-14-004435-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448815004120/0001354488-15-004120-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495416001861/0001654954-16-001861-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1040470/000165495418009628/0001654954-18-009628-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495419010095/0001654954-19-010095-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495420009618/0001654954-20-009618-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495421009505/0001654954-21-009505-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3300000,2405000,-2330000,-2605000,-141000,-5267000,-4544000,-3959000,-4870000,810000,2428000,10573000,-29971000,-481000,-3373000,-3389000,-3419000,422000,-6647000,-6785000,-5653000,528000,-5235000,-2802000,-2027000
74,Depreciation and Amortization,600000,479000,453000,703000,651000,662000,582000,384000,323000,340000,323000,474000,644000,690000,573000,491000,322000,141000,135000,203000,271000,417000,431000,384000,310000
75,Deferred Income Tax,-1000000,-102000,-456000,- -,- -,1613000,- -,- -,- -,- -,- -,-4943000,4943000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-215000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1270000,1733000,947000,709000,601000,829000,997000,1016000,999000,996000,905000,910000,1101000
77,Change in Working Capital,- -,-3588000,2815000,-4087000,-1139000,2751000,-233000,2615000,1778000,277000,-4618000,-3470000,-1857000,945000,-2305000,-1713000,2186000,-1973000,3258000,-881000,-313000,-3234000,-1735000,-561000,316000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3612000,267000,-501000,-1285000,-206000,-720000,1774000,887000,-3507000,1260000,-2043000,1161000,-1373000
79,Inventory,-2900000,-1627000,2740000,-1891000,1090000,1497000,-64000,1278000,849000,-37000,-2454000,-492000,5721000,837000,-1322000,-1114000,702000,-740000,-1008000,70000,430000,-2073000,-112000,1164000,-972000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1986000,-446000,-353000,570000,243000,707000,-850000,564000,1686000,-1095000,210000,-1024000,1877000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-74000,9000,37000,-26000,-42000,-59000,1401000,-1079000,3694000,-2909000,1730000,-1419000,-265000,-1542000,96000
82,Other Non-Cash Items,100000,142000,-140000,33000,1640000,15000,380000,160000,226000,74000,758000,990000,13935000,360000,16000,-973000,- -,-26000,1000,166000,201000,-58000,-3000,45000,-2186000
83,Cash Provided by Operating Activities,3000000,-664000,342000,-5956000,1011000,-226000,-3815000,-800000,-2543000,1501000,-1109000,3624000,-11036000,3247000,-4142000,-4875000,-310000,-607000,-2256000,-6281000,-4495000,-1351000,-5637000,-2024000,-2701000
84,CAPEX,-600000,-315000,-755000,-1357000,-122000,-954000,-261000,-159000,-296000,-149000,-1103000,-1056000,-1113000,-69000,-15000,-45000,-127000,-339000,-118000,-919000,-477000,-572000,-173000,-163000,-227000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,-16227000,-2392000,- -,-1655000,-4239000,-607000,-4164000,-17286000,-11900000,-14206000,-500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,1732000,10185000,3601000,2250000,5574000,- -,20850000,14532000,12820000,3488000,- -,- -,- -,1375000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,400000,-213000,9000,-274000,-787000,-19000,-87000,416000,-5000,-4000,-5000,- -,- -,- -,- -,- -,- -,50000,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,-200000,-16755000,-1406000,8554000,1037000,-2962000,4619000,-3907000,3263000,2479000,-2494000,1932000,-1113000,-69000,-15000,1330000,-127000,-289000,-118000,-919000,-477000,-572000,-173000,-163000,-227000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-307000,-324000,-777000,-6000,- -,- -,-6110000,- -,- -
91,Common Stock Issued,- -,27409000,483000,662000,1272000,395000,159000,960000,247000,514000,766000,2343000,503000,176000,343000,168000,1138000,715000,2574000,512000,21131000,925000,559000,- -,- -
92,Common Stock Repurchased,- -,-1000,-1145000,-136000,-468000,-141000,-182000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10000,-20000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-2100000,-4550000,306000,-170000,-503000,84000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1408000,234000,- -,4615000,2000000,704000,- -,- -,2182000,1980000
95,Cash Used/Provided by Financing Activities,-2100000,22858000,-356000,356000,301000,338000,-23000,960000,247000,514000,766000,2343000,503000,176000,343000,1576000,1065000,391000,6412000,2506000,21835000,925000,-5551000,2172000,1960000
96,Effect of Forex Changes on Cash,- -,133000,8000,33000,-281000,-56000,96000,26000,-56000,-41000,-4000,1185000,358000,52000,68000,22000,-377000,-10000,-320000,106000,1000,43000,-59000,20000,117000
97,Net Change In Cash,-2100000,5572000,-1412000,2987000,2068000,-2906000,877000,-3721000,911000,4453000,-2841000,9084000,-11288000,3406000,-3746000,-1947000,251000,-515000,3718000,-4588000,16864000,-955000,-11420000,5000,-851000
98,Cash at the End of Period,- -,6748000,5336000,8323000,10391000,7485000,8362000,4641000,4952000,9405000,6564000,15648000,4360000,7766000,4020000,2073000,2324000,1809000,5527000,939000,17803000,16848000,5428000,5513000,4662000
99,Cash at the Beginning of Period,500000,1176000,6748000,5336000,8323000,10391000,7485000,8362000,4041000,4952000,9405000,6564000,15648000,4360000,7766000,4020000,2073000,2324000,1809000,5527000,939000,17803000,16848000,5508000,5513000
100,Free Cash Flow,2400000,-979000,-413000,-7313000,889000,-1180000,-4076000,-959000,-2839000,1352000,-2212000,2568000,-12149000,3178000,-4157000,-4920000,-437000,-946000,-2374000,-7200000,-4972000,-1923000,-5810000,-2187000,-2928000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047098000015/0001040470-98-000015-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047099000016/0001040470-99-000016-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047000000011/0001040470-00-000011-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047001500004/0001040470-01-500004-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047002000010/0001040470-02-000010-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047003000014/0001040470-03-000014-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047004000034/0001040470-04-000034-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047005000040/0001040470-05-000040-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047007000031/0001040470-07-000031-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047008000086/0001040470-08-000086-index.html,- -,https://www.sec.gov/Archives/edgar/data/1040470/000104047010000031/0001040470-10-000031-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000104047011000044/0001040470-11-000044-index.html,https://www.sec.gov/Archives/edgar/data/1040470/000135448812004623/0001354488-12-004623-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448813004932/0001354488-13-004932-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448814004435/0001354488-14-004435-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000135448815004120/0001354488-15-004120-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495416001861/0001654954-16-001861-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1040470/000165495418009628/0001654954-18-009628-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495419010095/0001654954-19-010095-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495420009618/0001654954-20-009618-index.htm,https://www.sec.gov/Archives/edgar/data/1040470/000165495421009505/0001654954-21-009505-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,
