,https://roic.ai/company/CPIX,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),-1184000,-2696516,2424261,2543951,2024192,2851420,4080204,3244776,-1523051,1380744,575829,-330924,4174889,16636,-79316,55902,-1959431
23,Net Income,1954319,4404451,4044386,4766249,3091415,2456680,5657856,5842492,-2104614,2423723,731351,-944683,-7978633,-6963068,-3537759,-3339408,-3602799
24,Net Income ratio,0.1828,0.2472,0.1441,0.1359,0.0710,0.0536,0.1106,0.1196,-0.0657,0.0657,0.0218,-0.0286,-0.1939,-0.1709,-0.0744,-0.0892,-0.1001
25,EPS,0.20,0.45,0.40,0.47,0.22,0.12,0.28,0.30,-0.11,0.14,0.04,-0.06,-0.50,-0.45,-0.23,-0.22,-0.24
26,EPS Diluted,0.12,0.28,0.24,0.29,0.17,0.12,0.28,0.30,-0.11,0.14,0.04,-0.06,-0.50,-0.45,-0.23,-0.22,-0.24
27,Weighted Average Shares Outstanding,9495732,9797190,10032083,10142807,14199479,20333932,20342913,19564625,18332997,17617765,16715970,16236525,15911577,15614052,15396098,15162184,14904834
28,Weighted Average Shares Outstanding Diluted,16090090,16032852,16581902,16539662,18234171,21058577,20572132,19787537,18332997,17899632,17094754,16236525,15911577,15614052,15396098,15162184,14904834
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087294/000095012310026333/0000950123-10-026333-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000095012311024871/g26446e10vk.htm,https://www.sec.gov/Archives/edgar/data/1087294/000119312512101478/0001193125-12-101478-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000144530513000573/0001445305-13-000573-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000108729414000010/cpix2013-10k.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828015001629/a2014-10k.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828016012682/0001628280-16-012682-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828017002485/0001628280-17-002485-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828018003034/0001628280-18-003034-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828019002785/0001628280-19-002785-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828020003880/0001628280-20-003880-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828021004654/0001628280-21-004654-index.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828022005942/0001628280-22-005942-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5535985,6255398,10814518,11829551,78701682,65893970,70599146,54349381,40869457,39866037,38203059,34510330,45412868,27938960,28212635,24753796,27040816
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,16686136,14019761,14841418,14564115,15622111,4672476,8290679,- -,- -,- -
33,Cash and Short-Term Investments,5535985,6255398,10814518,11829551,78701682,65893970,70599146,71035517,54889218,54707455,52767174,50132441,50085344,36229639,28212635,24753796,27040816
34,Net Receivables,2414813,5120462,2373537,3129347,6176585,5145494,7082890,6017201,4530424,5504728,6077120,7330127,8395112,7844249,9781463,12377713,6877346
35,Inventory,546382,671098,949109,1762776,4822873,7683842,5774694,6218355,5722882,5600319,4270143,5371729,6737848,12078343,9411521,10638157,8429882
36,Other Current Assets,93717,596364,651416,988524,3472455,2315536,3851337,3961169,3537191,5002469,3997637,2710967,3466541,2963806,2757456,2199926,3339969
37,Total Current Assets,8590897,12643322,14788580,17710198,93173595,81038842,87308067,87232242,68679715,70814971,67112074,65545264,68684845,59116037,50163075,49969592,45688013
38,PP&E,373944,365774,459843,432413,918412,1220010,1119339,1188914,880647,651030,536450,464454,528882,771213,3708365,2602317,1466835
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784000,882000,882000,- -
40,Intangible Assets,36975,9834270,9153751,8528732,7956009,7427223,7023064,9476798,15498819,21568541,21168596,22154176,21444545,33655099,30920324,28118316,23954475
41,Intangible Assets,36975,9834270,9153751,8528732,7956009,7427223,7023064,9476798,15498819,21568541,21168596,22154176,21444545,34439099,31802324,29000316,23954475
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,1171508,3611861,1827982,1000031,1306514,2265192,- -,50411,1208891,578592,1210786,3119930,87210,87210,21802,- -,- -
44,Other Non-Current Assets,- -,25897,2688511,3447813,369790,102787,67846,645366,1345666,1791980,1891053,2120742,2486830,18280309,18853717,14891080,13350475
45,Total Non-Current Assets,1582427,13837802,14130087,13408989,10550725,11015212,8210249,11361489,18934023,24590143,24806885,27859302,24547467,53577831,54386208,46493713,38771785
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10173324,26481124,28918667,31119187,103724320,92054054,95518316,98593731,87613738,95405114,91918959,93404566,93232312,112693868,104549283,96463305,84459798
48,Accounts Payable,990123,3372936,1921101,3257164,5632796,2124654,1513548,2790554,2035853,3242713,2877479,8036611,8979929,11093297,11912446,13396286,9640980
49,Short-Term Debt,281209,1833332,3159283,1250000,9206801,2666668,- -,- -,- -,- -,- -,- -,- -,- -,920431,3203919,1939354
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1679383,3491886,3038876,3098770,3784777,4436298,5086400,5264806,5509917,10506769,9534268,6755652,8714814,16710927,11317358,9067241,7698626
53,Total Current Liabilities,2950715,8698154,8119260,7605934,18624374,9227620,6599948,8055360,7545770,13749482,12411747,14792263,17694743,27804224,24150235,25667446,19278960
54,Long-Term Debt,- -,3575951,916664,5575951,10763978,4492616,4859951,4359951,- -,- -,1700000,4100000,9800000,20000000,18500000,15000000,15090016
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,645029,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,988961,3081359,3136574,382487,2114632,618343,578119,611933,776125,902841,987429,1391484,1815968,9319143,10813795,8922465,7488844
58,Total Non-Current Liabilities,988961,6657310,4053238,5958438,12878610,5110959,6083099,4971884,776125,902841,2687429,5491484,11615968,29319143,29313795,23922465,22578860
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,329460,- -,578119,611933,- -,- -,- -,- -,- -,- -,2996903,2076472,- -
61,Total Liabilities,3939676,15355464,12172498,13564372,31502984,14338579,12683047,13027244,8321895,14652323,15099176,20283747,29310711,57123367,53464030,49589911,41857820
62,Preferred Stock,2742994,2742994,2742994,2604070,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,67197167,63073941,61942410,57338294,54643268,52410941,51098613,49914478,49121523,48452906
64,Retained Earnings,-11764375,-7359924,-3315538,1450711,4542126,6998806,12656662,18499154,16394540,18818263,19549614,18604931,11709222,4746154,1208395,-2131013,-5638600
65,Other Comprehensive Income/Loss,-139783,-207667,-276498,-334526,-459131,-725890,-1084063,-1440972,-1846652,-2239527,-2497072,-2699940,-2911472,-3124710,-3394329,- -,- -
66,Other Total Stockholders Equity,18137806,18693251,20338205,16438630,68138341,71442559,71262670,1440972,1846652,2239527,2497072,2699940,2911472,3124710,3394329,- -,- -
67,Total Stockholders Equity,6233648,11125660,16746169,17554815,72253872,77777680,82928817,85696321,79468481,80760673,76887908,73248199,64120163,55844767,51122873,46990510,42601978
68,Total Liabilities And Stockholders Equity,10173324,26481124,28918667,31119187,103756856,92116259,95611864,98723565,87790376,95412996,91987084,93531946,93430874,112968134,104586903,96580421,84459798
69,Minority Interest,- -,- -,- -,- -,-32536,-62205,-93548,-129834,-176638,-7882,-68125,-127380,-198562,-274266,-37620,-117116,- -
70,Total Liabilities & Equity,10173324,26481124,28918667,31119187,103724320,92054054,95518316,98593731,87613738,95405114,91918959,93404566,93232312,112693868,104549283,96463305,84459798
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087294/000095012310026333/0000950123-10-026333-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000095012311024871/g26446e10vk.htm,https://www.sec.gov/Archives/edgar/data/1087294/000119312512101478/0001193125-12-101478-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000144530513000573/0001445305-13-000573-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000108729414000010/cpix2013-10k.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828015001629/a2014-10k.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828016012682/0001628280-16-012682-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828017002485/0001628280-17-002485-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828018003034/0001628280-18-003034-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828019002785/0001628280-19-002785-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828020003880/0001628280-20-003880-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828021004654/0001628280-21-004654-index.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828022005942/0001628280-22-005942-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,1954319,4404451,4044386,4766249,3091415,2456680,5657856,5842492,-2104614,2423723,731351,-944683,-7978633,-6963068,-3537759,-3339408,-3602799
74,Depreciation and Amortization,53537,587742,762222,786597,816499,978398,1040407,901649,1301835,1989564,2246809,2396908,2647753,2982703,4404175,4748565,4606366
75,Deferred Income Tax,-1184000,-2833304,2230596,683914,-525467,-332349,1665110,-829846,-1579918,-309330,490227,619580,4206753,81886,65408,21802,- -
76,Stock Based Compensation,- -,104085,299212,397500,606395,768630,779305,636528,674955,761663,622503,852102,1487563,1364698,1485898,1046516,741867
77,Change in Working Capital,1117236,-1695014,2724152,3434944,64444957,-2737999,8896897,-1531237,-18042937,-4068456,-2365162,-3947326,237101,-19678289,-5298973,-1710694,2106907
78,Accounts Receivable,584603,-2705649,2746925,-755810,-3047238,1031091,-1937396,1065689,1486777,-974304,-572392,-1253007,-1064985,550863,-1937214,-4518707,5500367
79,Inventory,254492,-124716,-278011,-813667,-3060097,-2860969,1909148,-443661,495473,1532563,1330176,-1101586,-1366118,460505,2860830,2131347,4816450
80,Accounts Payable,-518922,3308017,-811107,1652911,- -,- -,- -,4373276,- -,- -,1475964,191901,2307617,4308706,1824024,6569002,-757591
81,Other Working Capital,5640182,3945168,6669320,10104264,74549221,71811222,80708119,79176882,61133945,57065489,54700327,50753001,50990102,31311813,26012840,24302146,26409053
82,Other Non-Cash Items,474915,1595295,-1433686,-3672252,-68028829,-786698,-9317428,2115596,20496805,5896267,4151137,1592897,-1158251,25324807,5937607,4648280,495780
83,Cash Provided by Operating Activities,2416007,2163255,8626882,6396952,404970,346662,8722147,7135182,746126,6693431,5876865,569478,-557714,3112737,3056356,5415061,4348121
84,CAPEX,-318499,-6552930,-163489,-134148,-712343,-768642,-437771,-2536819,-7559492,-3264823,-2699430,-2131098,-1489070,-4275055,-1019146,-2113927,-103532
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2000000,- -,- -,- -,-20000000,-5000000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-21860802,-4371508,-4207262,-7528713,-5473092,-2379414,-20112995,-11745138,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,5220480,6859061,3437645,7883171,4489111,13381061,16663232,20062132,- -,- -
88,Other Investing Activites,-16591,-6493216,-11069,-66576,-110541,-191483,-180269,-2071926,-7462080,-3101565,-2556465,-2000226,-1213110,-3819486,-772944,-1616972,-398361
89,Cash Used for Investing Activites,-318499,-6552930,-163489,-134148,-712343,-768642,-437771,-19177141,-5071939,-6034440,-2344972,-3115079,9512577,-27724818,2297848,-1757789,-501893
90,Debt Repayment,-871839,-982401,-1833336,-1862827,-5189660,-12776667,-5350970,-500000,-4359951,- -,- -,- -,-18800000,-45800000,-77500000,-62500000,- -
91,Common Stock Issued,1789364,- -,- -,- -,85000000,- -,- -,- -,- -,- -,- -,- -,- -,200909,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-4999995,-34774819,-4846791,-4247440,-8086594,-4800908,-4315444,-5338967,-2520715,-3724375,-2879426,-3494921,-1851526,-1386849000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2004948,6091489,-2070937,1615051,22143983,5237726,6019210,4378788,6748,2653033,144096,1373587,24472050,55616690,75914392,57235415,-2166681000
95,Cash Used/Provided by Financing Activities,2922473,5109088,-3904273,-5247771,67179504,-12385732,-3579200,-4207806,-9154111,-1662411,-5194871,-1147128,1947675,7138173,-5080529,-7116111,-3553530000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,5019981,719413,4559120,1015033,66872131,-12807712,4705176,-16249765,-13479924,-1003420,-1662978,-3692729,10902538,-17473908,273675,-3458839,27016062204
98,Cash at the End of Period,5535985,6255398,10814518,11829551,78701682,65893970,70599146,54349381,40869457,39866037,38203059,34510330,45412868,27938960,28212635,24753796,27040816000
99,Cash at the Beginning of Period,516004,5535985,6255398,10814518,11829551,78701682,65893970,70599146,54349381,40869457,39866037,38203059,34510330,45412868,27938960,28212635,24753796
100,Free Cash Flow,2097508,-4389675,8463393,6262804,-307373,-421980,8284376,4598363,-6813366,3428608,3177435,-1561620,-2046784,-1162318,2037210,3301134,4244589
101,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1087294/000095012310026333/0000950123-10-026333-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000095012311024871/g26446e10vk.htm,https://www.sec.gov/Archives/edgar/data/1087294/000119312512101478/0001193125-12-101478-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000144530513000573/0001445305-13-000573-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000108729414000010/cpix2013-10k.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828015001629/a2014-10k.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828016012682/0001628280-16-012682-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828017002485/0001628280-17-002485-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828018003034/0001628280-18-003034-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828019002785/0001628280-19-002785-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828020003880/0001628280-20-003880-index.html,https://www.sec.gov/Archives/edgar/data/1087294/000162828021004654/0001628280-21-004654-index.htm,https://www.sec.gov/Archives/edgar/data/1087294/000162828022005942/0001628280-22-005942-index.htm
102,false,,,,,,,,,,,,,,,,,
