,https://roic.ai/company/SRDX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
45,Total Non-Current Assets,17700000,23900000,29663000,40600000,56372000,80049000,80212000,82621000,81306000,123436000,144519000,148548000,132801000,108890000,63120000,66144000,49609000,30921000,74336000,75710000,82608000,78445000,82155000,124337000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,24300000,32000000,50749000,60583000,77248000,97808000,109781000,124225000,157402000,171331000,191028000,185562000,170279000,162654000,103075000,101923000,104889000,98710000,132894000,136593000,164135000,159865000,168763000,194592000
48,Accounts Payable,300000,700000,379000,553000,877000,1118000,683000,1163000,963000,2541000,3466000,3468000,3341000,2421000,1657000,954000,1028000,781000,1622000,2396000,2546000,2085000,1515000,1783000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10518000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,303000,281000,1039000,528000,414000,2236000,5586000,4335000,905000,562000,- -,- -,43000,52000,48000,180000,62000,9646000,5553000,5200000,4647000
52,Other Current Liabilities,1200000,1500000,2017000,1672000,3899000,7870000,10578000,3546000,5790000,11725000,4725000,3611000,3744000,8619000,5242000,4979000,2987000,3871000,8333000,7345000,22941000,12571000,12177000,12867000
53,Total Current Liabilities,1500000,2200000,2396000,2528000,5057000,10027000,11789000,5123000,8989000,19852000,12526000,7984000,7647000,11040000,6899000,5976000,4067000,4700000,10135000,9803000,35133000,20209000,18892000,29815000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3188000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,623000,3598000,3594000,185000,160000,226000,217000,188000,- -,11247000,11628000,10796000,10301000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,27000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2742000
57,Other Non-Current Liabilities,100000,100000,50000,2355000,2196000,1640000,3488000,3521000,3210000,20557000,36696000,4583000,4675000,2684000,2247000,1970000,1845000,1920000,15738000,15233000,9145000,5512000,8020000,8461000
58,Total Non-Current Liabilities,100000,100000,50000,2355000,2196000,1667000,3488000,3521000,3210000,20557000,36696000,5206000,8273000,6278000,2432000,2130000,2071000,2137000,15926000,15233000,20392000,17140000,18816000,24692000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,436000,3706000
61,Total Liabilities,1600000,2300000,2446000,4883000,7253000,11694000,15277000,8644000,12199000,40409000,49222000,13190000,15920000,17318000,9331000,8106000,6138000,6837000,26061000,25036000,55525000,37349000,37708000,54507000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,400000,828000,838000,864000,872000,877000,927000,942000,909000,901000,874000,871000,877000,733000,695000,680000,647000,660000,655000,670000,675000,684000,695000
64,Retained Earnings,-6500000,-2200000,2077000,7186000,14982000,28918000,36354000,27914000,48273000,51620000,66439000,103989000,82900000,70122000,74625000,91036000,93881000,88161000,98146000,102072000,97615000,110705000,111828000,116065000
65,Other Comprehensive Income/Loss,-3400000,-4100000,-5138000,-6660000,-8435000,-10956000,-13861000,-13848000,-14044000,2000000,-17391000,2000000,1000000,-29301000,-22673000,-24353000,2000000,-25417000,1000000,3000000,3000000,-37989000,3000000,1727000
66,Other Total Stockholders Equity,32600000,35600000,50536000,54336000,62584000,67280000,71134000,100588000,110032000,76393000,91857000,65509000,69588000,103638000,41059000,26439000,2190000,28482000,7027000,5830000,7325000,49125000,15543000,21598000
67,Total Stockholders Equity,22700000,29700000,48303000,55700000,69995000,86114000,94504000,115581000,145203000,130922000,141806000,172372000,154359000,145336000,93744000,93817000,98751000,91873000,106833000,111557000,108610000,122516000,131055000,140085000
68,Total Liabilities And Stockholders Equity,24300000,32000000,50749000,60583000,77248000,97808000,109781000,124225000,157402000,171331000,191028000,185562000,170279000,162654000,103075000,101923000,104889000,98710000,132894000,136593000,164135000,159865000,168763000,194592000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,24300000,32000000,50749000,60583000,77248000,97808000,109781000,124225000,157402000,171331000,191028000,185562000,170279000,162654000,103075000,101923000,104889000,98710000,132894000,136593000,164135000,159865000,168763000,194592000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/924717/000091419000000350/0000914190-00-000350-index.html,https://www.sec.gov/Archives/edgar/data/924717/000095013701505324/0000950137-01-505324-index.html,- -,https://www.sec.gov/Archives/edgar/data/924717/000095013403016954/0000950134-03-016954-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095013404019245/0000950134-04-019245-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000120677405002012/0001206774-05-002012-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000120677406002591/0001206774-06-002591-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000120677407002881/0001206774-07-002881-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095015208010240/0000950152-08-010240-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095012309070269/0000950123-09-070269-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095012310113522/0000950123-10-113522-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312511341075/0001193125-11-341075-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312512503216/0001193125-12-503216-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312513469798/0001193125-13-469798-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312514434817/0001193125-14-434817-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459015011278/0001564590-15-011278-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459016029755/0001564590-16-029755-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459017024465/0001564590-17-024465-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459018030336/0001564590-18-030336-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459019045173/0001564590-19-045173-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459020055870/0001564590-20-055870-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459021058206/0001564590-21-058206-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,1600000,4400000,4240000,5109000,7796000,13936000,7436000,-8246000,20334000,3346000,14739000,37550000,-21089000,-12778000,10231000,15167000,12031000,11947000,9985000,3926000,-4457000,7592000,1123000,4237000
74,Depreciation and Amortization,700000,800000,1222000,1658000,2001000,2739000,3337000,3733000,2176000,2826000,6071000,5912000,7818000,7145000,2929000,2886000,2715000,2805000,4873000,5555000,6431000,7312000,7263000,8017000
75,Deferred Income Tax,- -,-800000,1553000,-31000,-214000,839000,-5640000,5143000,-2134000,-9434000,-3428000,8229000,446000,-5892000,-728000,-492000,-352000,93000,261000,1000000,-2277000,-1088000,-1139000,1651000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6853000,5875000,4252000,2671000,2552000,3337000,2381000,3844000,3472000,4807000,5077000,5453000,5863000
77,Change in Working Capital,-100000,800000,12790000,-1235000,-1636000,-8087000,10048000,18701000,30626000,-39064000,5940000,-4953000,801000,12893000,-9668000,-3253000,21410000,11876000,-14666000,2657000,-4686000,14817000,6505000,-4857000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3269000,2333000,1293000,-685000,-263000,581000,-2727000,911000,-528000,-1773000,-1630000,3461000,- -
79,Inventory,-100000,-100000,-41000,-224000,-22000,-117000,-177000,-51000,139000,-850000,-154000,-679000,284000,-1103000,-343000,196000,511000,-162000,-143000,97000,-513000,-543000,-1377000,-818000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,238000,-738000,373000,3710000,368000,5241000,-765000,-483000,264000
81,Other Working Capital,5100000,5900000,18690000,17455000,15819000,7732000,17780000,36481000,67107000,28043000,33983000,29030000,29831000,42724000,33056000,29803000,51213000,63089000,48423000,51080000,46394000,61211000,67716000,-838000
82,Other Non-Cash Items,-100000,-800000,-12428000,2310000,6366000,9831000,4311000,6619000,-15723000,93040000,16500000,-22270000,28157000,14335000,10677000,805000,-20958000,-14081000,20869000,-2557000,34234000,-25672000,-5195000,478000
83,Cash Provided by Operating Activities,2100000,4400000,7377000,7811000,14313000,19258000,19492000,25950000,35279000,50714000,39822000,31321000,22008000,19955000,16112000,17665000,18183000,15021000,25166000,14053000,34052000,8038000,14010000,15389000
84,CAPEX,-800000,-4700000,-2994000,-2053000,-13004000,-17690000,-1402000,-2109000,-7449000,-4981000,-26318000,-29995000,-9889000,-3459000,-763000,-1919000,-2278000,-1877000,-8192000,-6432000,-14092000,-6748000,-3671000,-6279000
85,Acquisitions Net,- -,- -,- -,-81907000,- -,- -,- -,- -,- -,-49112000,-3218000,-8585000,-750000,-5650000,- -,- -,- -,-270000,-25859000,- -,- -,- -,- -,-39553000
86,Purchases of Investments,-33600000,-24400000,-52862000,- -,-39513000,-74300000,-62575000,-98716000,-193966000,-136498000,-29342000,-36255000,-34919000,-50926000,-43840000,-45053000,-138363000,-3376000,-24517000,-73671000,-81536000,-44973000,-59917000,-22723000
87,Sales/Maturities of Investments,17500000,24000000,34725000,85708000,40683000,67289000,43317000,88955000,161778000,185075000,29258000,55263000,25986000,51364000,46556000,47089000,163382000,22220000,3011000,63914000,72128000,61465000,54522000,43317000
88,Other Investing Activites,- -,- -,51000,-2482000,-3499000,-935000,-828000,-15552000,678000,-5447000,3111000,-631000,-710000,- -,57482000,-39000,-354000,-3000,89000,- -,-5000000,-740000,- -,-1000000
89,Cash Used for Investing Activites,-16900000,-5100000,-21080000,-734000,-15333000,-25636000,-21488000,-27422000,-38959000,-10963000,-26509000,-19572000,-20072000,-8671000,59435000,78000,22387000,16694000,-55468000,-16189000,-23500000,9754000,-9066000,-25238000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-236000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,15600000,1300000,13238000,457000,1183000,1178000,698000,2684000,3261000,4873000,3037000,679000,892000,574000,344000,419000,512000,710000,494000,444000,2089000,723000,1615000,3128000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,-35030000,-13971000,-15566000,-2577000,-40000,-55227000,-17846000,-13656000,-20825000,-388000,-6858000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,249000,466000,-815000,-366000,-496000,8000,-28341000,-361000,590000,477000,-305000,-96000,-5482000,-11752000,-6263000,7099000
95,Cash Used/Provided by Financing Activities,15600000,1300000,13238000,457000,1183000,1178000,698000,2684000,3510000,-29691000,-11749000,-15489000,-2181000,542000,-83224000,-17788000,-12554000,-19638000,-199000,-6510000,-3393000,-11029000,-4648000,10227000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,193000,-25000,-70000,128000,-10000
97,Net Change In Cash,15600000,700000,-465000,7534000,163000,-5200000,-1298000,1212000,-170000,10061000,1564000,-3740000,-245000,11826000,-7677000,-45000,28016000,12077000,-30601000,-8453000,7134000,6693000,424000,368000
98,Cash at the End of Period,- -,2000000,1510000,9044000,9207000,4007000,2709000,3921000,3751000,13812000,15376000,11636000,11391000,23217000,15540000,15495000,43511000,55588000,24987000,16534000,23668000,30361000,30785000,31153000
99,Cash at the Beginning of Period,500000,1300000,1975000,1510000,9044000,9207000,4007000,2709000,3921000,3751000,13812000,15376000,11636000,11391000,23217000,15540000,15495000,43511000,55588000,24987000,16534000,23668000,30361000,30785000
100,Free Cash Flow,1300000,-300000,4383000,5758000,1309000,1568000,18090000,23841000,27830000,45733000,13504000,1326000,12119000,16496000,15349000,15746000,15905000,13144000,16974000,7621000,19960000,1290000,10339000,9110000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/924717/000091419000000350/0000914190-00-000350-index.html,https://www.sec.gov/Archives/edgar/data/924717/000095013701505324/0000950137-01-505324-index.html,- -,https://www.sec.gov/Archives/edgar/data/924717/000095013403016954/0000950134-03-016954-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095013404019245/0000950134-04-019245-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000120677405002012/0001206774-05-002012-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000120677406002591/0001206774-06-002591-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000120677407002881/0001206774-07-002881-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095015208010240/0000950152-08-010240-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095012309070269/0000950123-09-070269-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000095012310113522/0000950123-10-113522-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312511341075/0001193125-11-341075-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312512503216/0001193125-12-503216-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312513469798/0001193125-13-469798-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000119312514434817/0001193125-14-434817-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459015011278/0001564590-15-011278-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459016029755/0001564590-16-029755-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459017024465/0001564590-17-024465-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459018030336/0001564590-18-030336-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459019045173/0001564590-19-045173-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459020055870/0001564590-20-055870-index.htm,https://www.sec.gov/Archives/edgar/data/924717/000156459021058206/0001564590-21-058206-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
