,https://roic.ai/company/ERIE,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33854000,35938000,36917000,34935000
52,Other Current Liabilities,- -,- -,- -,706965514,728958880,760747096,699792000,776540000,911645000,1195800000,1377803000,1460691000,1602828000,1701200000,1649470000,1546459000,1523049000,7753000000,7908000000,8285000000,8103000000,400155000,203631000,170888000,177249000,158479000,151875000,- -,- -
53,Total Current Liabilities,- -,- -,- -,713000000,746000000,781000000,808000000,894000000,1057000000,1358000000,1563000000,1689000000,1816000000,1869000000,1813000000,1724000000,1707000000,7753000000,7908000000,8285000000,8103000000,400155000,445699000,469600000,509906000,547067000,587712000,451992000,446096000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24766000,74728000,97860000,95842000,93833000,91734000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17873000,18435000,18878000,17686000
56,Deferred Tax Liabilities,- -,- -,- -,2035054,7101371,17121777,11805000,7161000,12945000,12618000,27515000,24122000,6538000,8343000,14598000,- -,- -,283000000,147000000,365000000,450000000,490000000,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-35054,-101371,-121777,195000,839000,55000,-618000,-515000,-122000,462000,657000,-598000,98000000,58000000,5396000000,5512000000,6149000000,7389000000,-274091000,192094000,237679000,223881000,141855000,180998000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,2000000,7000000,17000000,12000000,8000000,13000000,12000000,27000000,24000000,7000000,9000000,14000000,98000000,58000000,5679000000,5659000000,6514000000,7839000000,215909000,192094000,262445000,298609000,257588000,295275000,112711000,109420000
59,Other Liabilities,- -,- -,- -,- -,14160629,34208785,24268000,- -,26311000,24304000,54437000,- -,- -,- -,28344000,- -,- -,- -,- -,- -,- -,9590754000,- -,- -,- -,- -,- -,589793000,562903000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,714880514,753160629,798208785,820268000,901584000,1070311000,1370304000,1590437000,1712863000,1822659000,1877513000,1827344000,1821511000,1764540000,8010000000,8055000000,8650000000,9126000000,9775000000,637793000,732045000,808515000,804655000,882987000,929074000,899579000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2170000,2000000,2000000,2000000,2000000,2000000,2170000,2170000,2170000,2170000,2170000,2170000,2170000
64,Retained Earnings,- -,- -,- -,408268200,500358579,605044635,715348000,831552000,913406000,1040547000,1189628000,1354181000,1501798000,1618656000,1740174000,1728690000,1742717000,1827000000,1894000000,1852000000,1902000000,1949000000,1993976000,2065911000,2140853000,2231417000,2377558000,2393624000,2495190000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,38685000,66402000,58611000,21681000,5422000,10048000,-135854000,-43330000,-53000000,-105000000,-133000000,-59000000,-118000000,-96864000,-121381000,-156059000,-130284000,-116868000,-78143000,-25288000
66,Other Total Stockholders Equity,- -,- -,- -,25320491,36854573,48008626,- -,- -,- -,-94030000,-94030000,-148081000,-247047000,-464400000,-701113000,-803131000,-799580000,-864000000,-1010000000,-1079000000,-1111000000,-1130000000,-1129779000,-1129790000,-1129620000,-1129631000,-1129607000,-1129603000,- -
67,Total Stockholders Equity,- -,- -,- -,435758691,539383152,655223261,697599000,779015000,865255000,987372000,1164170000,1266881000,1278602000,1161848000,1051279000,791875000,901977000,912000000,781000000,642000000,734000000,703000000,769503000,816910000,857344000,973672000,1133253000,1188048000,1342478000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,1150639205,1292543781,1453432046,1517867000,1680599000,1935566000,2357676000,2754607000,2979744000,3101261000,3039361000,2878623000,2613386000,2666517000,8922000000,8836000000,9292000000,9860000000,10478000000,1407296000,1548955000,1665859000,1778327000,2016240000,2117122000,2242057000
69,Minority Interest,- -,- -,- -,- -,- -,-432046,- -,- -,- -,- -,- -,- -,-261000,-361000,- -,-386000,- -,5422000000,5512000000,6149000000,6816000000,-9158802000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,1150639205,1292543781,1453000000,1517867000,1680599000,1935566000,2357676000,2754607000,2979744000,3101000000,3039000000,2878623000,2613000000,2666517000,14344000000,14348000000,15441000000,16676000000,1319198000,1407296000,1548955000,1665859000,1778327000,2016240000,2117122000,2242057000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/922621/000095012803000435/j9926901e10vk.htm,https://www.sec.gov/Archives/edgar/data/922621/000095012804000224/j0499101e10vk.htm,https://www.sec.gov/Archives/edgar/data/922621/000095015205001462/j1220601e10vk.htm,https://www.sec.gov/Archives/edgar/data/922621/000095015206001383/j1821601e10vk.htm,https://www.sec.gov/Archives/edgar/data/922621/000095012807000016/l24094ae10vk.htm,https://www.sec.gov/Archives/edgar/data/922621/000095015208001475/l29838ae10vk.htm,https://www.sec.gov/Archives/edgar/data/922621/000095015209001857/0000950152-09-001857-index.html,https://www.sec.gov/Archives/edgar/data/922621/000095012310017102/0000950123-10-017102-index.html,https://www.sec.gov/Archives/edgar/data/922621/000095012311017950/l41756e10vk.htm,https://www.sec.gov/Archives/edgar/data/922621/000110465912013263/0001104659-12-013263-index.html,https://www.sec.gov/Archives/edgar/data/922621/000144530513000346/0001445305-13-000346-index.html,https://www.sec.gov/Archives/edgar/data/922621/000092262114000008/erie10-k12312013.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262115000008/erie10-k12312014.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262116000067/0000922621-16-000067-index.html,https://www.sec.gov/Archives/edgar/data/922621/000092262117000008/0000922621-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/922621/000092262118000016/0000922621-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/922621/000092262119000008/0000922621-19-000008-index.html,https://www.sec.gov/Archives/edgar/data/922621/000092262120000009/0000922621-20-000009-index.html,https://www.sec.gov/Archives/edgar/data/922621/000092262121000010/0000922621-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/922621/000092262122000013/0000922621-22-000013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,60400000,71700000,93600000,105132359,118581190,134551494,143106000,152393000,122261000,172126000,199725000,226413000,231104000,204025000,212945000,69238000,108490000,162000000,169000000,160000000,163000000,168000000,174678000,210366000,196999000,288224000,316821000,293304000,297860000
74,Depreciation and Amortization,900000,700000,800000,1428376,1888660,2000816,1766000,2745000,2350000,3986000,4293000,38981000,36855000,36051000,31363000,36933000,37989000,12000000,4000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,700000,-300000,- -,1255163,440871,4677456,-1311000,-2112000,1013000,-124000,949000,866000,-922000,9033000,3092000,-23111000,-7810000,342000000,-105000000,- -,198000000,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000,7000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,110400000,- -,- -,-108000000,21000000,-32000000,-50000000,6000000,35000000,-23000000,-21000000,-31000000,-107000000,-38000000,-1000000,46000000,39000000,-5916000000,-401000000,-74000000,-996000000,7784096000,56351000,6469000,96060000,329903000,-318187000,-303692000,- -
78,Accounts Receivable,55500000,31000000,-33400000,-35000000,-26900000,-12700000,-13200000,-77179000,-152673000,-139312000,-195037000,-168710000,-76263000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-300000,-4300000,60800000,-2200926,-2864021,6646018,3343000,8068000,16362000,-5848000,211117000,150974000,10310000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,-108000000,-87000000,-119000000,-169000000,-163000000,-128000000,-151000000,-172000000,-203000000,-310000000,-348000000,-349000000,-303000000,-264000000,-6180000000,-6581000000,-6655000000,-7651000000,133096000,189447000,195916000,291976000,621879000,303692000,- -,- -
82,Other Non-Cash Items,-57800000,26000000,17400000,103614551,-23005067,41268729,44048000,-23679000,-12017000,34597000,41384000,-14680000,86580000,59332000,2061000,21785000,2571000,6114000000,693000000,-86000000,1538000000,-7952096000,-231029000,-216835000,-293059000,-618127000,1366000,10388000,-297860000
83,Cash Provided by Operating Activities,114600000,98100000,111800000,103430449,118905654,150498495,137609000,135347000,148607000,187585000,225351000,220580000,246617000,270441000,248461000,150845000,180165000,721000000,360000000,- -,903000000,- -,- -,- -,- -,- -,- -,- -,- -
84,CAPEX,-2200000,-400000,-100000,-3027977,-2177354,-4259236,-4638000,-1340000,-3127000,-3730000,-2658000,-2689000,-2003000,-4938000,- -,-8279000,-16246000,-33000000,-11000000,-33000000,-42000000,-52000000,-12556000,-25208000,-28927000,-56297000,-102039000,-55528000,-148800000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-28380000,-45635000,-36659000,-1791000,-69115000,-95005000,-77508000,-34839000,-35129000,-23000000,-46000000,101000000,110000000,77000000,25807000,15535000,10358000,3144000,3674000,- -,- -
86,Purchases of Investments,-114800000,-59500000,-123000000,-207191013,-146394800,-235568211,-255780000,-52789000,-303403000,-442638000,-536719000,-498618000,-528120000,-342739000,-324655000,-266638000,-196328000,-3434000000,-3662000000,-4091000000,-4354000000,-4005000000,-228308000,-369811000,-391181000,-396982000,-1024610000,-476674000,-439854000
87,Sales/Maturities of Investments,25700000,14100000,51900000,93128407,90251164,119569376,180699000,1719000,287962000,310870000,434166000,387414000,443715000,505622000,461004000,386454000,181220000,3082000000,3346000000,3937000000,3525000000,3383000000,214991000,240954000,339297000,373881000,1007254000,291588000,400167000
88,Other Investing Activites,-4400000,1500000,-18300000,-2877697,-2127171,-4651839,-5071000,-2813000,-6367000,-6161000,-10317000,-32856000,1942000,-1364000,-8705000,-3220000,-2158000,3000000,-2000000,1000000,2000000,1000000,688000,1586000,-4210000,-5144000,-8913000,-2611000,2997000
89,Cash Used for Investing Activites,-95700000,-44300000,-89500000,-119070264,-58829631,-121045167,-80596000,-54191000,-52202000,-186737000,-149850000,-148540000,-153581000,61576000,50136000,73478000,-68641000,-405000000,-375000000,-85000000,-759000000,-596000000,622000,-136944000,-74663000,-81398000,-124634000,-243225000,-185490000
90,Debt Repayment,-1300000,-2400000,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,-30831000,-8046000,-7585000,-87216000,-18155000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1920000,-1967000,-2041000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-54330000,-31389000,-7654000,-8487000,- -,-54051000,-98966000,-217353000,-236713000,-102018000,-3141000,-57000000,-155000000,-70000000,-32000000,-20000000,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-11100000,-13900000,-17500000,-22497544,-25647152,-29021780,-32049000,-35203000,-39316000,-43666000,-49021000,-55120000,-81929000,-86089000,-91055000,-92302000,-92951000,-98000000,-102000000,-229000000,-84000000,-119000000,-126858000,-135985000,-145765000,-156474000,-167651000,-272902000,-192801000
94,Other Financing Activites,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45831000,8046000,7585000,87216000,18155000,35000000,27000000,22000000,24000000,18000000,- -,24776000,49951000,24983000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-12400000,-16400000,-17500000,-22497544,-25647152,-29021780,-86379000,-66592000,-46970000,-52153000,-74021000,-109171000,-165895000,-303442000,-327768000,-194320000,-96092000,-120000000,-230000000,-277000000,-92000000,-121000000,-126858000,-111209000,-95814000,-131491000,-169571000,-274869000,-194842000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,-12400000,-16400000,-17500000,-38137359,34428871,431548,-29366000,14564000,49435000,-51305000,1480000,-37131000,-18395000,28575000,-29171000,30003000,15432000,196000000,-245000000,215000000,52000000,62000000,91142000,6183000,26649000,50696000,70322000,-175499000,22462000
98,Cash at the End of Period,- -,- -,- -,18719624,53148495,53580043,24214000,38778000,88213000,85712000,87192000,50061000,31666000,60241000,31070000,61073000,76505000,430000000,185000000,400000000,452000000,514000000,182889000,189072000,215721000,266417000,336739000,161240000,183702000
99,Cash at the Beginning of Period,8100000,14700000,52100000,56856983,18719624,53148495,53580000,24214000,38778000,137017000,85712000,87192000,50061000,31666000,60241000,31070000,61073000,234000000,430000000,185000000,400000000,452000000,91747000,182889000,189072000,215721000,266417000,336739000,161240000
100,Free Cash Flow,112400000,97700000,111700000,100402472,116728300,146239259,132971000,134007000,145480000,183855000,222693000,217891000,299078000,265503000,248461000,142566000,163919000,688000000,349000000,544000000,861000000,727000000,204822000,229128000,168199000,207288000,262488000,287067000,253994000
