,https://roic.ai/company/DAC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.4096,0.4524,0.7183,0.6573,1.0770,0.6893,0.4241,0.0609,0.3733,0.2140,0.4525,0.3860,0.5620,-0.3094,0.6324,0.3499,0.6704,0.6685,1.8051
17,Operating Income,- -,125105000,143679000,147987000,128694000,148960000,136096000,86159000,205203000,152963000,272466000,192405000,244377000,-212643000,187497000,-12122000,201074000,199480000,358259000
18,Operating Income ratio,- -,0.6007,0.5952,0.6026,0.4972,0.4984,0.4260,0.2395,0.4384,0.2597,0.4633,0.3485,0.4303,-0.4267,0.4151,-0.0264,0.4496,0.4322,0.5196
19,Total Other Income Expenses (Gains),- -,7513000,-3759000,-21270000,11964000,1337000,-63937000,-213760000,-137946000,-258167000,-234943000,-196325000,-127361000,-153552000,-103592000,-20814000,-69821000,-45930000,700472000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105204000,37523000,-3920000,117016000,-366195000,83905000,-32936000,131253000,153550000,1058731000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1786,0.0638,-0.0071,0.2060,-0.7348,0.1857,-0.0718,0.2935,0.3327,1.5355
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5890000
23,Net Income,59854000,116459000,122850000,101082000,215264000,115238000,36089000,-102341000,13437000,-105204000,37523000,-3920000,117016000,-366195000,83905000,-32936000,131253000,153550000,1052841000
24,Net Income ratio,0.4096,0.5592,0.5089,0.4116,0.8316,0.3855,0.1130,-0.2845,0.0287,-0.1786,0.0638,-0.0071,0.2060,-0.7348,0.1857,-0.0718,0.2935,0.3327,1.5270
25,EPS,18.90,36.82,38.78,30.24,55.30,29.54,9.24,-19.04,1.68,-13.44,4.76,-0.56,14.98,-46.76,10.64,-3.08,8.29,6.51,66.49
26,EPS Diluted,18.90,36.82,38.78,30.24,55.30,29.54,9.24,-19.04,1.68,-13.44,4.76,-0.56,14.98,-46.76,10.64,-3.08,8.09,6.45,66.49
27,Weighted Average Shares Outstanding,3164876,3164876,3164876,3339352,3896987,3896961,3896437,5388297,7789008,7829528,7832489,7834051,7841867,7843017,7844641,10622902,15834913,23588994,15834913
28,Weighted Average Shares Outstanding Diluted,3164876,3164876,3164876,3339352,3896987,3896961,3896437,5388297,7789008,7829528,7832489,7834051,7841867,7843017,7844641,10622902,16220697,23805251,15834913
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1369241/000110465907044138/a07-15311_120f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746908004158/a2184489z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746909006734/a2193570z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746910006020/a2199165z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746911003412/a2203115z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746912003699/0001047469-12-003699-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746913002051/0001047469-13-002051-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746914001551/a2218451z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746915001897/a2223241z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746916011187/0001047469-16-011187-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746917001295/0001047469-17-001295-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746918001368/0001047469-18-001368-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746919000915/0001047469-19-000915-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746920001086/0001047469-20-001086-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,97008000,38000000,43075000,63495000,120720000,122050000,229835000,51362000,55628000,68153000,57730000,72253000,73717000,66895000,77275000,139170000,65663000,129410000
32,Short-Term Investments,- -,3694000,860000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,423024000
33,Cash and Short-Term Investments,- -,100702000,38860000,43075000,63495000,120720000,122050000,229835000,51362000,55628000,68153000,57730000,72253000,73717000,66895000,77275000,139170000,65663000,552434000
34,Net Receivables,- -,2574000,14107000,2170000,8916000,8237000,12379000,15218000,13304000,16405000,22497000,26357000,30613000,40631000,40509000,27195000,27657000,27982000,37912000
35,Inventory,- -,2747000,2591000,3772000,5761000,8070000,7653000,9918000,16187000,17731000,14496000,11665000,11040000,11395000,8841000,8884000,8494000,9619000,12579000
36,Other Current Assets,102543000,23517000,8454000,10683000,54816000,113167000,158422000,11859000,12438000,8909000,21720000,7321000,13664000,10211000,9754000,6396000,15065000,15184000,29567000
37,Total Current Assets,102543000,129540000,64012000,59700000,132988000,250194000,300504000,266830000,93291000,98673000,126866000,103073000,127570000,135954000,125999000,119750000,190386000,118448000,632492000
38,PP&E,- -,809248000,654222000,1016608000,1182505000,1339645000,2767847000,3177904000,3766237000,3986138000,3842617000,3624338000,3446323000,2906721000,2795971000,2480329000,2389874000,2479937000,2941093000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,1067825000,- -,- -,- -,- -,- -,28693000,39982000,30684000,40600000,36254000,40420000,78235000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,734474000,67193000,227524000,220882000,756298000,170800000,74360000,44396000,128576000,127234000,97069000,95088000,83228000,53705000,23826000,43509000,62339000,37760000,53540000
45,Total Non-Current Assets,734474000,876441000,881746000,1237490000,1938803000,2578270000,2842207000,3222300000,3894813000,4113372000,3939686000,3748119000,3569533000,2991110000,2860397000,2560092000,2492633000,2595932000,2994633000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,837017000,1005981000,945758000,1297190000,2071791000,2828464000,3142711000,3489130000,3988104000,4212045000,4066552000,3851192000,3697103000,3127064000,2986396000,2679842000,2683019000,2714380000,3627125000
48,Accounts Payable,- -,5564000,6065000,9652000,11571000,13902000,49542000,14748000,15144000,8995000,9265000,8613000,12971000,11156000,11371000,10477000,11168000,10613000,18925000
49,Short-Term Debt,- -,61338000,57521000,22760000,25619000,42219000,2331678000,21619000,41959000,182464000,203850000,224646000,269979000,2504932000,2329601000,113777000,136015000,180177000,181565000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,4606000,3993000,6743000,6705000,- -,5626000,9681000,6993000,5447000,7305000,13719000,9853000,27724000,22853000,19753000,17960000,19476000,83180000
52,Other Current Liabilities,60983000,6094000,2905000,6559000,7218000,66094000,131161000,200449000,167597000,168346000,149468000,81104000,19342000,22469000,16014000,78694000,57937000,29419000,35637000
53,Total Current Liabilities,60983000,77602000,70484000,45714000,51113000,122215000,2518007000,246497000,231693000,365252000,369888000,328082000,312145000,2566281000,2379839000,222701000,223080000,239685000,319307000
54,Long-Term Debt,- -,540062000,609217000,639556000,1330927000,2065459000,- -,2543907000,2960288000,3219226000,3030008000,2790841000,2505399000,- -,- -,1508108000,1270663000,1187345000,1154429000
55,Deferred Revenue,- -,- -,- -,10514000,8310000,- -,3914000,1716000,- -,- -,- -,30412000,24426000,70589000,56159000,41730000,28528000,19574000,37977000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,487368000,3849000,3332000,35554000,56537000,421756000,215199000,304598000,353588000,187263000,68180000,13708000,13219000,2481000,1693000,216450000,279058000,232199000,27389000
58,Total Non-Current Liabilities,487368000,543911000,612549000,685624000,1395774000,2487215000,219113000,2850221000,3313876000,3406489000,3098188000,2834961000,2543044000,73070000,57852000,1766288000,1578249000,1439118000,1219795000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138214000,120100000,222328000
61,Total Liabilities,548351000,621513000,683033000,731338000,1446887000,2609430000,2737120000,3096718000,3545569000,3771741000,3468076000,3163043000,2855189000,2639351000,2437691000,1988989000,1801329000,1678803000,1539102000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,443000,443000,443000,546000,546000,546000,546000,1086000,1096000,1096000,1097000,1097000,1098000,1098000,1098000,2133000,248000,204000,207000
64,Retained Earnings,- -,293496000,171753000,272835000,390714000,404475000,440564000,338223000,351660000,246456000,283979000,280059000,397075000,30880000,114785000,81849000,213102000,366652000,1388595000
65,Other Comprehensive Income/Loss,- -,-141403000,-168517000,3941000,-54886000,-474514000,-324093000,-436566000,-456105000,-353271000,-232697000,-139742000,-103081000,-91163000,-114076000,-118710000,-116934000,-86669000,-71455000
66,Other Total Stockholders Equity,288223000,231932000,259046000,288530000,288530000,288527000,288574000,489669000,545884000,546023000,546097000,546735000,546822000,546898000,546898000,725581000,785274000,755390000,770676000
67,Total Stockholders Equity,288666000,384468000,262725000,565852000,624904000,219034000,405591000,392412000,442535000,440304000,598476000,688149000,841914000,487713000,548705000,690853000,881690000,1035577000,2088023000
68,Total Liabilities And Stockholders Equity,837017000,1005981000,945758000,1297190000,2071791000,2828464000,3142711000,3489130000,3988104000,4212045000,4066552000,3851192000,3697103000,3127064000,2986396000,2679842000,2683019000,2714380000,3627125000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,837017000,1005981000,945758000,1297190000,2071791000,2828464000,3142711000,3489130000,3988104000,4212045000,4066552000,3851192000,3697103000,3127064000,2986396000,2679842000,2683019000,2714380000,3627125000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1369241/000110465907044138/a07-15311_120f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746908004158/a2184489z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746909006734/a2193570z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746910006020/a2199165z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746911003412/a2203115z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746912003699/0001047469-12-003699-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746913002051/0001047469-13-002051-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746914001551/a2218451z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746915001897/a2223241z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746916011187/0001047469-16-011187-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746917001295/0001047469-17-001295-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746918001368/0001047469-18-001368-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746919000915/0001047469-19-000915-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746920001086/0001047469-20-001086-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , 
73,Net Income,59854000,116459000,122850000,101082000,215264000,115238000,36089000,-102341000,13437000,-105204000,37523000,-3920000,117016000,-366195000,83905000,-32936000,131253000,153550000,1052841000
74,Depreciation and Amortization,- -,-33790000,27114000,31111000,41093000,51025000,60906000,77045000,106178000,143938000,137414000,137061000,131783000,129045000,115228000,107757000,96505000,101531000,116917000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,85000,47000,1685000,2182000,139000,75000,638000,88000,76000,- -,1006000,4241000,1199000,15278000
77,Change in Working Capital,- -,-9641000,14692000,30302000,-9340000,4169000,588000,15707000,-34150000,-12181000,-11729000,-7081000,-27145000,-10225000,-36705000,-23643000,-36514000,-2820000,-31962000
78,Accounts Receivable,- -,-2773000,4676000,-3034000,-2151000,3202000,-2613000,-380000,-64000,435000,-4297000,134000,-2748000,-13210000,-2544000,-2723000,2080000,-411000,786000
79,Inventory,- -,-1092000,156000,-1181000,-1989000,-2309000,417000,-2265000,-6269000,-1544000,3235000,2831000,625000,-355000,2554000,-43000,390000,-1125000,-2068000
80,Accounts Payable,- -,-1012000,501000,3587000,1919000,2331000,-4059000,4905000,396000,-1162000,-858000,-614000,-971000,-383000,215000,-894000,114000,-181000,4518000
81,Other Working Capital,- -,6537000,3157000,24481000,-7285000,3158000,8429000,1857000,-4404000,-1546000,1858000,-2306000,-9852000,26501000,-19301000,-17529000,-14995000,-7438000,-832000
82,Other Non-Cash Items,25364000,56028000,-2421000,-10917000,-88747000,-35028000,-4464000,86696000,-28155000,139866000,25742000,65483000,49934000,509266000,18645000,112502000,24393000,12219000,-724963000
83,Cash Provided by Operating Activities,85218000,129056000,162235000,151578000,158270000,135489000,93166000,78792000,59492000,166558000,189025000,192181000,271676000,261967000,181073000,164686000,219878000,265679000,428111000
84,CAPEX,- -,-170128000,-40538000,-356897000,-963360000,-595018000,-375220000,-589512000,-644593000,-375424000,-46839000,-39165000,-1112000,-4561000,-4478000,-8250000,-21360000,-170661000,-355720000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13230000,-9996000,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-75000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6236000,- -,- -,- -,- -
88,Other Investing Activites,-226435000,15381000,- -,26798000,275768000,83032000,2012000,1764000,- -,5635000,52926000,50602000,1050000,5178000,- -,- -,- -,- -,212572000
89,Cash Used for Investing Activites,-226435000,-154747000,-40538000,-330099000,-687592000,-511986000,-372909000,-587748000,-644593000,-369789000,6087000,11437000,-13292000,-9379000,1758000,-8250000,-21360000,-170736000,-143148000
90,Debt Repayment,- -,-82754000,-339937000,-447765000,-322437000,-59919000,-38657000,-208751000,-45369000,-58981000,-171021000,-221542000,-243175000,-251130000,-189653000,-440990000,-270881000,-300651000,-1397524000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-88000,-384000,-50000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-31127000,- -
93,Dividends Paid,- -,-20657000,-244593000,- -,-97385000,-101477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-30887000
94,Other Financing Activites,187332000,148544000,403825000,631361000,969564000,595206000,320114000,825542000,451997000,266478000,-11566000,7501000,-686000,6000,- -,292122000,134258000,163328000,1207541000
95,Cash Used/Provided by Financing Activities,187332000,45133000,-180705000,183596000,549742000,433722000,281073000,616741000,406628000,207497000,-182587000,-214041000,-243861000,-251124000,-189653000,-148868000,-136623000,-168450000,-220870000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,187332000,19442000,-59008000,5075000,20420000,57225000,1330000,107785000,-178473000,4266000,12525000,-10423000,14523000,1464000,-6822000,7568000,61895000,-73507000,64093000
98,Cash at the End of Period,- -,97008000,38000000,43075000,63495000,120720000,122050000,229835000,51362000,55628000,68153000,57730000,72253000,73717000,66895000,77275000,139170000,65663000,129756000
99,Cash at the Beginning of Period,- -,77566000,97008000,38000000,43075000,63495000,120720000,122050000,229835000,51362000,55628000,68153000,57730000,72253000,73717000,69707000,77275000,139170000,65663000
100,Free Cash Flow,85218000,-41072000,121697000,-205319000,-805090000,-459529000,-282054000,-510720000,-585101000,-208866000,142186000,153016000,270564000,257406000,176595000,156436000,198518000,95018000,72391000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1369241/000110465907044138/a07-15311_120f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746908004158/a2184489z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746909006734/a2193570z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746910006020/a2199165z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746911003412/a2203115z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746912003699/0001047469-12-003699-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746913002051/0001047469-13-002051-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746914001551/a2218451z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746915001897/a2223241z20-f.htm,https://www.sec.gov/Archives/edgar/data/1369241/000104746916011187/0001047469-16-011187-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746917001295/0001047469-17-001295-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746918001368/0001047469-18-001368-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746919000915/0001047469-19-000915-index.html,https://www.sec.gov/Archives/edgar/data/1369241/000104746920001086/0001047469-20-001086-index.html,- -,- -
102,false,,,,,,,,,,,,,,,,,,,
