,https://roic.ai/company/RGR,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,10700000,14300000,14100000,15300000,17800000,18600000,20900000,18400000,20800000,22000000,23900000,26800000,27100000,29500000,28000000,28658000,20865000,23973000,21016000,22875000,25025000,24518000,29041000,29216000,43701000,40589000,49342000,67914000,83764000,112837000,77728000,85150000,77628000,67359000,60119000,72345000,76548000
11,COGS and Expenses,77600000,75700000,79800000,92200000,105600000,113400000,113200000,120100000,139800000,142200000,151900000,169400000,164000000,176200000,189900000,164410000,155314000,149349000,134205000,139466000,153368000,167900000,146227000,167946000,227081000,211813000,266400000,380785000,513435000,488137000,456662000,529924000,445876000,428636000,371077000,449772000,527727000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405000,118000,48000,29000,34000,4000,2000,5000,14000,27000,211000,2594000,1126000,49000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,158000,143000,110000,95000,135000,152000,156000,186000,152000,330000,192000,191000,164000
14,Depreciation and Amortization,2600000,2800000,3400000,3400000,4200000,4300000,4700000,4100000,4400000,5300000,6900000,7600000,9200000,10300000,8700000,8751000,8151000,7490000,5923000,5827000,5440000,3852000,4372000,5365000,7300000,9207000,12148000,14888000,20362000,36706000,36235000,35355000,34264000,31972000,29331000,27576000,26152000
15,EBITDA,21700000,15200000,19100000,24700000,33700000,26600000,29000000,41300000,60000000,62200000,50800000,64500000,55900000,49600000,64100000,53225000,30350000,21625000,26564000,13012000,6882000,5695000,21031000,19343000,51818000,53499000,75774000,127092000,195729000,94098000,132491000,171462000,112062000,101016000,72550000,148748000,232910000
16,EBITDA ratio,0.2309,0.1747,0.2025,0.2199,0.2521,0.1963,0.2120,0.2646,0.3090,0.3167,0.2639,0.2888,0.2670,0.2344,0.2652,0.2626,0.1741,0.1338,0.1796,0.0894,0.0445,0.0340,0.1344,0.1066,0.1912,0.2096,0.2304,0.2584,0.2844,0.1728,0.2404,0.2581,0.2146,0.2038,0.1767,0.2615,0.3187
17,Operating Income,16400000,11300000,14500000,20100000,28100000,22100000,23600000,36000000,54400000,54200000,40600000,53900000,45400000,35400000,51800000,38244000,19016000,12238000,13712000,6158000,1354000,-280000,9115000,13537000,43904000,43393000,62416000,111066000,174906000,56338000,94545000,134409000,76349000,67009000,39375000,119148000,203136000
18,Operating Income ratio,0.1745,0.1299,0.1538,0.1790,0.2102,0.1631,0.1725,0.2306,0.2801,0.2760,0.2109,0.2414,0.2168,0.1673,0.2143,0.1887,0.1091,0.0757,0.0927,0.0423,0.0088,-0.0017,0.0582,0.0746,0.1620,0.1700,0.1898,0.2258,0.2541,0.1035,0.1716,0.2023,0.1462,0.1352,0.0959,0.2094,0.2780
19,Total Other Income Expenses (Gains),2700000,1100000,1200000,1200000,1400000,200000,700000,1200000,1600000,2700000,3300000,3000000,1300000,3900000,3600000,6230000,3183000,1897000,6929000,1027000,88000,2123000,7544000,441000,456000,756000,1100000,1043000,326000,902000,1555000,1512000,1297000,1705000,3652000,1833000,3458000
20,Income Before Tax,19100000,12400000,15700000,21300000,29500000,22300000,24300000,37200000,56000000,56900000,43900000,56900000,46700000,39300000,55400000,44474000,22199000,14135000,20641000,7185000,1442000,1843000,16659000,13978000,44360000,44149000,63516000,112109000,175232000,57240000,96100000,135921000,77646000,68714000,43027000,120981000,206594000
21,Income Before Tax Ratio,0.2032,0.1425,0.1665,0.1897,0.2206,0.1646,0.1776,0.2383,0.2884,0.2897,0.2281,0.2548,0.2230,0.1857,0.2292,0.2195,0.1273,0.0875,0.1395,0.0493,0.0093,0.0110,0.1065,0.0770,0.1637,0.1730,0.1932,0.2279,0.2546,0.1051,0.1744,0.2046,0.1487,0.1386,0.1048,0.2127,0.2827
22,Income Tax expense (Gain),9500000,6400000,7100000,8600000,11400000,8800000,9700000,15000000,22800000,22900000,17700000,22500000,18900000,15900000,21700000,17434000,8702000,5668000,8277000,2881000,578000,739000,6330000,5312000,16857000,15894000,23501000,41480000,63960000,18612000,33974000,48449000,25504000,17781000,10736000,30583000,50695000
23,Net Income,9600000,6000000,8600000,12700000,18100000,13500000,14600000,22200000,32800000,34000000,26200000,34400000,27800000,23400000,33700000,27040000,13497000,8467000,12364000,4304000,864000,1104000,10329000,8666000,27503000,28255000,40015000,70629000,111272000,38628000,62126000,87472000,52142000,50933000,32291000,90398000,155899000
24,Net Income ratio,0.1021,0.0690,0.0912,0.1131,0.1354,0.0996,0.1067,0.1422,0.1689,0.1731,0.1361,0.1541,0.1328,0.1106,0.1394,0.1334,0.0774,0.0524,0.0836,0.0296,0.0056,0.0066,0.0660,0.0478,0.1015,0.1107,0.1217,0.1436,0.1617,0.0709,0.1127,0.1317,0.0998,0.1028,0.0787,0.1589,0.2133
25,EPS,0.37,0.23,0.32,0.48,0.68,0.51,0.55,0.83,1.20,1.27,0.97,1.28,1.03,0.87,1.25,1.00,0.50,0.31,0.46,0.16,0.03,0.04,0.46,0.43,1.44,1.48,2.12,3.69,5.76,1.99,3.32,4.62,2.94,2.92,1.85,5.17,8.86
26,EPS Diluted,0.37,0.23,0.32,0.48,0.68,0.51,0.55,0.83,1.20,1.27,0.97,1.28,1.03,0.87,1.25,1.00,0.50,0.31,0.46,0.16,0.03,0.04,0.46,0.43,1.42,1.46,2.09,3.60,5.58,1.95,3.21,4.59,2.91,2.88,1.82,5.09,8.77
27,Weighted Average Shares Outstanding,25945946,26086957,26875000,26458333,26617647,26470588,26545455,26746988,27333333,26771654,26871795,26875000,26990291,26896552,26960000,27040000,26994000,27312903,26878261,26900000,28800000,27600000,22454348,20069200,19061321,19032557,18875000,19160849,19318056,19367928,18712651,18931415,17725494,17442808,17454595,17485106,17596588
28,Weighted Average Shares Outstanding Diluted,25945946,26086957,26875000,26458333,26617647,26470588,26545455,26746988,27333333,26771654,26871795,33411765,26990291,26896552,26960000,27040000,26994000,27312903,26914000,26940000,28800000,27600000,22454348,20084600,19321056,19299193,19145933,19635241,19941219,19837408,19353894,19049515,17939090,17685069,17742308,17759921,17778177
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95029/000095012306005431/0000950123-06-005431-index.htm,- -,https://www.sec.gov/Archives/edgar/data/95029/000095012307003217/y31428e10vk.htm,https://www.sec.gov/Archives/edgar/data/95029/000119380508000685/e603412_10k-sturm.htm,https://www.sec.gov/Archives/edgar/data/95029/000119380509000482/0001193805-09-000482-index.html,https://www.sec.gov/Archives/edgar/data/95029/000119380510000561/0001193805-10-000561-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494711000076/d27924.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494712000070/0001174947-12-000070-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494713000078/0001174947-13-000078-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494714000046/rgr121310k.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494715000283/form10k-13005_rgr.htm,- -,https://www.sec.gov/Archives/edgar/data/95029/000117494717000224/0001174947-17-000224-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494718000243/0001174947-18-000243-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494719000236/0001174947-19-000236-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494720000190/0001174947-20-000190-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494721000168/0001174947-21-000168-index.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494722000269/0001174947-22-000269-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,33700000,29200000,29800000,12100000,2600000,800000,5600000,2300000,7700000,7700000,3600000,2700000,4500000,4700000,8200000,4073000,3838000,3598000,3446000,4841000,4057000,7316000,5106000,9688000,5008000,5132000,81056000,30978000,55064000,8901000,69225000,87126000,63487000,38492000,35420000,20147000,21044000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70600000,65875000,63957000,49776000,50026000,28430000,21926000,22026000,30504000,18558000,50741000,52493000,- -,- -,- -,- -,- -,- -,- -,114326000,129488000,121007000,199971000
33,Cash and Short-Term Investments,33700000,29200000,29800000,12100000,2600000,800000,5600000,2300000,7700000,7700000,3600000,2700000,4500000,4700000,78800000,69948000,67795000,53374000,53472000,33271000,25983000,29342000,35610000,28246000,55749000,57625000,81056000,30978000,55064000,8901000,69225000,87126000,63487000,152818000,164908000,141154000,221015000
34,Net Receivables,9600000,12400000,11600000,12700000,13200000,14100000,15200000,17300000,19300000,17900000,19900000,21100000,21100000,23000000,20300000,14354000,15121000,14026000,13284000,16082000,15777000,18007000,15636000,25809000,25049000,31565000,42225000,43018000,67384000,49735000,71721000,69442000,60082000,45031000,52640000,57876000,57036000
35,Inventory,24600000,25700000,21800000,28700000,29300000,37300000,32900000,29500000,21300000,27100000,42300000,55100000,45500000,47600000,38000000,51364000,49793000,51628000,48529000,49519000,48726000,24406000,13297000,11939000,9658000,9827000,10217000,16009000,23261000,44689000,37099000,54535000,39714000,31420000,28301000,29077000,43850000
36,Other Current Assets,2300000,2600000,2900000,4200000,17400000,14200000,23300000,36400000,57800000,65900000,51700000,40300000,54100000,52300000,9800000,12789000,9488000,11521000,9269000,10828000,11460000,10030000,8969000,9774000,7955000,6207000,12744000,6916000,11917000,14849000,11227000,12519000,3501000,2920000,3467000,6266000,6832000
37,Total Current Assets,70200000,69900000,66100000,57700000,62500000,66400000,77000000,85500000,106100000,118600000,117500000,119200000,125200000,127600000,146900000,148455000,142197000,130549000,124554000,109700000,101946000,81785000,73512000,75768000,98411000,105224000,146242000,96921000,157626000,118174000,189272000,223622000,166784000,232189000,249316000,234373000,328733000
38,PP&E,18100000,18000000,19500000,21300000,24800000,27600000,25900000,25200000,28100000,35300000,44100000,44200000,55700000,51100000,46900000,43325000,38779000,29194000,27164000,27574000,23366000,22961000,22078000,26219000,32733000,42921000,52947000,65993000,101028000,110661000,103820000,104241000,103795000,82711000,76524000,72857000,73631000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3754000,3414000,3425000,2958000,2610000,2612000,2464000,2401000,12588000,12464000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3754000,3414000,3425000,2958000,2610000,2612000,2464000,2401000,12588000,12464000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1331000,259000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3567000,9594000,8248000,1178000,3200000,3630000,3626000,7743000,6190000,5443000,32000,2004000,- -,- -,- -,- -,- -,2969000,5393000,1530000,536000
44,Other Non-Current Assets,4500000,12700000,11700000,11200000,13000000,13000000,13100000,13500000,15900000,15600000,17000000,26500000,18900000,18000000,17800000,19321000,19835000,14621000,10047000,8489000,11127000,8690000,2666000,3030000,4345000,4173000,7289000,4483000,14791000,22122000,19833000,24931000,11127000,15199000,15327000,26910000,26979000
45,Total Non-Current Assets,22600000,30700000,31200000,32500000,37800000,40600000,39000000,38700000,44000000,50900000,61100000,70700000,74600000,69100000,64700000,62646000,62181000,53409000,45459000,37241000,37693000,35281000,28370000,36992000,43268000,52537000,60268000,77565000,119492000,136208000,126611000,131782000,117534000,103343000,99645000,113885000,113610000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,92800000,100600000,97300000,90200000,100300000,107000000,116000000,124200000,150100000,169500000,178600000,189900000,199800000,196700000,211600000,211101000,204378000,183958000,170013000,146941000,139639000,117066000,101882000,112760000,141679000,157761000,206510000,174486000,277118000,254382000,315883000,355404000,284318000,335532000,348961000,348258000,442343000
48,Accounts Payable,- -,- -,- -,- -,1500000,1700000,2300000,2500000,2900000,4800000,3300000,4600000,4600000,3900000,5600000,5431000,6893000,5080000,4386000,5281000,3619000,6342000,8102000,10235000,6812000,6597000,12263000,13387000,15871000,11796000,13073000,16973000,8758000,11675000,8339000,12796000,12209000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18907000,- -,- -,- -,- -,14332000,15734000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7477000,9623000,84000,- -
52,Other Current Liabilities,9600000,14900000,10800000,12700000,10800000,12200000,13700000,16000000,21700000,19900000,22300000,19300000,23100000,21300000,22700000,20004000,20029000,22353000,17453000,13991000,14805000,14921000,12146000,18283000,26222000,26742000,37333000,46104000,72295000,48586000,68920000,63920000,43919000,52039000,43282000,68881000,64900000
53,Total Current Liabilities,9600000,14900000,10800000,12700000,12300000,13900000,16000000,18500000,24600000,24700000,25600000,23900000,27700000,25200000,28300000,25435000,26922000,27433000,21839000,19272000,18424000,21263000,20248000,29518000,33034000,33339000,49596000,59491000,88166000,60382000,81993000,80893000,52677000,71191000,61244000,81761000,77109000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1724000,1476000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4654000,5886000,7140000,- -,- -,- -,- -,- -,- -,- -,- -,- -,9601000,8334000,6050000,8525000,1402000,- -,- -,- -,- -
57,Other Non-Current Liabilities,9700000,12100000,10300000,13900000,16400000,15100000,15600000,16000000,17100000,18500000,19300000,19300000,19200000,16900000,16500000,13308000,8462000,12656000,7394000,7501000,9637000,8477000,5565000,17639000,13129000,9942000,19523000,19963000,265000,204000,102000,86000,90000,99000,2259000,74000,97000
58,Total Non-Current Liabilities,9700000,12100000,10300000,13900000,16400000,15100000,15600000,16000000,17100000,18500000,19300000,19300000,19200000,16900000,16500000,13308000,13116000,18542000,14534000,7501000,9637000,8477000,5565000,17639000,13129000,9942000,19523000,19963000,9866000,8538000,6152000,8611000,1492000,99000,2259000,1798000,1573000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2176000,1724000,1476000
61,Total Liabilities,19300000,27000000,21100000,26600000,28700000,29000000,31600000,34500000,41700000,43200000,44900000,43200000,46900000,42100000,44800000,38743000,40038000,45975000,36373000,26773000,28061000,29740000,25813000,47157000,46163000,43281000,69119000,79454000,98032000,68920000,88145000,89504000,54169000,71290000,63503000,83559000,78682000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26900000,26911000,26911000,26911000,26911000,26911000,26911000,22639000,22788000,22799000,22827000,23003000,23383000,23563000,23647000,23717000,23776000,24034000,24092000,24123000,24160000,24206000,24306000
64,Retained Earnings,70200000,69600000,71500000,58100000,62800000,68900000,75400000,80700000,92700000,110600000,117900000,117300000,123500000,125400000,137600000,143125000,135093000,116649000,112866000,101024000,94334000,74505000,84834000,93500000,115187000,137125000,168981000,123442000,192088000,198159000,239098000,293400000,321323000,350423000,368205000,342615000,438098000
65,Other Comprehensive Income/Loss,-24000000,-26700000,-30100000,-33500000,-37600000,-42000000,-46600000,-50800000,-55100000,-59900000,-66700000,-74300000,-83500000,-93800000,-102600000,-108206000,-114535000,-124538000,-128525000,-132860000,-12000000,-12000000,-13000000,-23000000,-20000000,-20000000,-28000000,-30000000,-19000000,-177575000,- -,-227398000,-261218000,-276045000,-298568000,-323110000,- -
66,Other Total Stockholders Equity,27300000,30700000,34800000,39000000,46400000,51100000,55600000,59800000,70800000,75600000,82500000,103700000,112900000,123000000,104900000,110528000,116871000,118961000,122388000,125093000,2333000,2182000,-18553000,-27696000,-22498000,-25648000,-26973000,-21973000,-17649000,141161000,- -,175864000,145952000,165741000,191661000,220988000,- -
67,Total Stockholders Equity,73500000,73600000,76200000,63600000,71600000,78000000,84400000,89700000,108400000,126300000,133700000,146700000,152900000,154600000,166800000,172358000,164340000,137983000,133640000,120168000,111578000,87326000,76069000,65603000,95516000,114480000,137391000,95032000,179086000,185462000,227738000,265900000,230149000,264242000,285458000,264699000,363661000
68,Total Liabilities And Stockholders Equity,92800000,100600000,97300000,90200000,100300000,107000000,116000000,124200000,150100000,169500000,178600000,189900000,199800000,196700000,211600000,211101000,204378000,183958000,170013000,146941000,139639000,117066000,101882000,112760000,141679000,157761000,206510000,174486000,277118000,254382000,315883000,355404000,284318000,335532000,348961000,348258000,442343000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,92800000,100600000,97300000,90200000,100300000,107000000,116000000,124200000,150100000,169500000,178600000,189900000,199800000,196700000,211600000,211101000,204378000,183958000,170013000,146941000,139639000,117066000,101882000,112760000,141679000,157761000,206510000,174486000,277118000,254382000,315883000,355404000,284318000,335532000,348961000,348258000,442343000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/95029/000095012306005431/0000950123-06-005431-index.htm,- -,https://www.sec.gov/Archives/edgar/data/95029/000095012307003217/y31428e10vk.htm,https://www.sec.gov/Archives/edgar/data/95029/000119380508000685/e603412_10k-sturm.htm,https://www.sec.gov/Archives/edgar/data/95029/000119380509000482/0001193805-09-000482-index.html,https://www.sec.gov/Archives/edgar/data/95029/000119380510000561/0001193805-10-000561-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494711000076/d27924.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494712000070/0001174947-12-000070-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494713000078/0001174947-13-000078-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494714000046/rgr121310k.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494715000283/form10k-13005_rgr.htm,- -,https://www.sec.gov/Archives/edgar/data/95029/000117494717000224/0001174947-17-000224-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494718000243/0001174947-18-000243-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494719000236/0001174947-19-000236-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494720000190/0001174947-20-000190-index.html,https://www.sec.gov/Archives/edgar/data/95029/000117494721000168/0001174947-21-000168-index.htm,https://www.sec.gov/Archives/edgar/data/95029/000117494722000269/0001174947-22-000269-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,18100000,13500000,14600000,22200000,32800000,34000000,26200000,34400000,27800000,23400000,33700000,27040000,13497000,8467000,12364000,4304000,864000,1104000,10329000,8666000,27503000,28255000,40015000,70629000,111272000,38628000,62126000,87472000,52142000,50933000,32291000,90398000,155899000
74,Depreciation and Amortization,- -,- -,- -,- -,4200000,4300000,4700000,4100000,4400000,5300000,6900000,7600000,9200000,10300000,8700000,8751000,8151000,7490000,5923000,5827000,5440000,3852000,4372000,5365000,7300000,9207000,12148000,14888000,20362000,36706000,36235000,35355000,34264000,31972000,29331000,27576000,26152000
75,Deferred Income Tax,- -,- -,- -,- -,-1900000,- -,-200000,-700000,-700000,-1000000,-1000000,-1100000,700000,500000,-300000,3542000,1302000,1533000,2674000,1855000,-328000,-2759000,2473000,-4639000,2060000,493000,8205000,-1480000,5736000,-12015000,-3257000,1836000,1736000,-4371000,-2424000,3863000,994000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4205000,2589000,2953000,4718000,5288000,5647000,4530000,3054000,3659000,5809000,6330000,6128000,8280000
77,Change in Working Capital,- -,- -,- -,- -,-3300000,8500000,6000000,14500000,12400000,-2000000,3400000,2200000,4900000,16200000,4420000,-7745000,-12159000,-401000,-12287000,-6906000,-23000000,-7258000,-7014000,19127000,6508000,24761000,-59216000,32030000,-11668000,49487000,35450000,-28622000,46891000,27074000,-35460000,75860000,-19812000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10173000,760000,-6516000,-10660000,-793000,-24366000,17649000,-21986000,2279000,9360000,15051000,-7609000,-5236000,840000
79,Inventory,- -,- -,- -,- -,-600000,-8000000,4400000,3400000,8100000,-5800000,-15200000,-12800000,9500000,-2000000,9600000,-13761000,1571000,-1835000,3099000,-990000,1659000,24320000,11109000,1358000,2042000,888000,-156000,-6553000,-7945000,-22775000,9058000,-17958000,14463000,8479000,2073000,10624000,-15726000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5134000,- -,- -,- -,9908000,9231000,-11047000,6808000,5602000,-16060000,939000,-3646000,7954000,-392000
81,Other Working Capital,- -,- -,- -,- -,52500000,61000000,67000000,81500000,93900000,91900000,95300000,97500000,102400000,118600000,123020000,115275000,103116000,102715000,90428000,83522000,60522000,53264000,46250000,65377000,71885000,96646000,37430000,69460000,57792000,107279000,142729000,114107000,160998000,188072000,152612000,228472000,-4300000
82,Other Non-Cash Items,- -,- -,- -,- -,3400000,-17500000,-600000,-10700000,600000,-900000,-18600000,-18700000,6500000,-25800000,10180000,-14223000,12190000,-7149000,6040000,-3769000,22269000,35280000,9160000,-17337000,-887000,-32814000,53304000,-33600000,-11321000,-62902000,-22515000,5705000,-37501000,8395000,19519000,-60019000,826000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,20500000,8800000,24500000,29400000,49500000,35400000,16900000,24400000,49100000,24600000,56700000,17365000,22981000,9940000,14714000,1311000,5245000,30219000,19320000,11182000,46689000,32491000,57409000,87185000,119669000,55551000,112569000,104800000,101191000,119812000,49587000,143806000,172339000
