,https://roic.ai/company/TSN,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,770000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,33100000,37000000,24000000,47000000,30000000,43000000,70000000,51000000,25000000,33000000,40000000,798000000,42000000,250000000,1004000000,978000000,716000000,1071000000,1145000000,438000000,688000000,349000000,318000000,270000000,484000000,1420000000,2507000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,444000000,494700000,547000000,618000000,631000000,603000000,520000000,1199000000,1101000000,1280000000,1240000000,1214000000,1183000000,1246000000,1271000000,1100000000,1198000000,1321000000,1378000000,1497000000,1684000000,1620000000,1542000000,1675000000,1723000000,2173000000,1952000000,2400000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,754000000,949400000,1027000000,886000000,984000000,989000000,965000000,1911000000,1885000000,1994000000,2063000000,2062000000,2057000000,2238000000,2538000000,2009000000,2274000000,2587000000,2809000000,2817000000,3274000000,2878000000,2732000000,3239000000,3513000000,4108000000,4144000000,4382000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,36000000,42600000,199000000,45000000,103000000,105000000,48000000,110000000,107000000,72000000,196000000,169000000,149000000,70000000,302000000,262000000,168000000,156000000,145000000,145000000,825000000,195000000,265000000,1026000000,182000000,404000000,367000000,533000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1261000000,1519800000,1810000000,1573000000,1765000000,1727000000,1576000000,3290000000,3144000000,3371000000,3532000000,3485000000,4187000000,3596000000,4361000000,4375000000,4618000000,4780000000,5403000000,5604000000,6221000000,5381000000,4888000000,6258000000,5688000000,7169000000,7883000000,9822000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,1610000000,2013500000,1869000000,1925000000,2257000000,2185000000,2141000000,4085000000,4038000000,4039000000,3964000000,4007000000,3945000000,3693000000,3519000000,3576000000,3674000000,3823000000,4022000000,4053000000,5130000000,5176000000,5170000000,5568000000,6169000000,7282000000,7596000000,7837000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,742000000,- -,732000000,731000000,1036000000,963000000,- -,2756000000,2633000000,2652000000,- -,- -,2512000000,2485000000,2511000000,1917000000,1893000000,1892000000,1891000000,1902000000,6706000000,6667000000,6669000000,9324000000,9739000000,10844000000,10899000000,10549000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,808100000,- -,- -,- -,- -,937000000,- -,190000000,182000000,2707000000,2644000000,136000000,126000000,128000000,187000000,166000000,149000000,129000000,138000000,5276000000,5168000000,5084000000,6243000000,6759000000,7037000000,6774000000,6519000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,742000000,808100000,732000000,731000000,1036000000,963000000,937000000,2756000000,2823000000,2834000000,2707000000,2644000000,2648000000,2611000000,2639000000,2104000000,2059000000,2041000000,2020000000,2040000000,11982000000,11835000000,11753000000,15567000000,16498000000,17881000000,17673000000,17068000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,441000000,- -,496000000,506000000,434000000,398000000,- -,609000000,643000000,722000000,- -,- -,- -,367000000,291000000,280000000,321000000,424000000,558000000,479000000,2450000000,2449000000,2545000000,- -,2107000000,2356000000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,-386000000,102900000,-363000000,-324000000,-249000000,-190000000,200000000,-108000000,-276000000,-480000000,261000000,368000000,341000000,-40000000,40000000,260000000,80000000,3000000,-107000000,1000000,-1827000000,-1837000000,-1983000000,673000000,-1353000000,-1591000000,1589000000,1582000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2407000000,2924500000,2734000000,2838000000,3478000000,3356000000,3278000000,7342000000,7228000000,7115000000,6932000000,7019000000,6934000000,6631000000,6489000000,6220000000,6134000000,6291000000,6493000000,6573000000,17735000000,17623000000,17485000000,21808000000,23421000000,25928000000,26858000000,26487000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3668000000,4444300000,4544000000,4411000000,5243000000,5083000000,4854000000,10632000000,10372000000,10486000000,10464000000,10504000000,11121000000,10227000000,10850000000,10595000000,10752000000,11071000000,11896000000,12177000000,23956000000,23004000000,22373000000,28066000000,29109000000,33097000000,34741000000,36309000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,259000000,274700000,270000000,290000000,331000000,352000000,346000000,813000000,755000000,838000000,945000000,961000000,942000000,1050000000,1217000000,1013000000,1110000000,1264000000,1372000000,1359000000,1806000000,1662000000,1511000000,1698000000,1694000000,1926000000,1876000000,2225000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,49000000,364200000,40000000,37000000,85000000,66000000,185000000,18000000,254000000,490000000,338000000,126000000,992000000,137000000,8000000,219000000,401000000,70000000,515000000,513000000,643000000,715000000,79000000,906000000,1911000000,2102000000,548000000,1067000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,729000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,609000000,643000000,722000000,- -,- -,- -,367000000,291000000,280000000,321000000,424000000,558000000,479000000,2450000000,2449000000,2545000000,- -,2107000000,2356000000,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,232000000,226900000,376000000,394000000,415000000,569000000,355000000,976000000,441000000,425000000,1010000000,1070000000,912000000,561000000,587000000,481000000,713000000,616000000,385000000,659000000,-1102000000,-1291000000,-1373000000,1428000000,-681000000,-871000000,1810000000,3033000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,540000000,865800000,686000000,721000000,831000000,987000000,886000000,2416000000,2093000000,2475000000,2293000000,2157000000,2846000000,2115000000,2103000000,1993000000,2545000000,2374000000,2830000000,3010000000,3797000000,3535000000,2762000000,4032000000,5031000000,5513000000,4234000000,6325000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1381000000,1620500000,1806000000,1558000000,1967000000,1515000000,1357000000,4016000000,3733000000,3114000000,3024000000,2869000000,2987000000,2642000000,2888000000,3333000000,2135000000,2112000000,1917000000,1895000000,7535000000,6010000000,6200000000,9297000000,7962000000,9830000000,10791000000,8281000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,479700000,- -,- -,- -,- -,385000000,- -,- -,- -,695000000,657000000,495000000,- -,- -,- -,- -,424000000,558000000,479000000,2450000000,2449000000,2545000000,2979000000,2107000000,2356000000,2391000000,2195000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,458000000,10600000,510000000,511000000,474000000,453000000,51000000,846000000,884000000,943000000,160000000,169000000,353000000,739000000,845000000,917000000,906000000,504000000,579000000,592000000,1284000000,1319000000,1258000000,1199000000,1206000000,1316000000,1728000000,1654000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1839000000,2110800000,2316000000,2069000000,2441000000,1968000000,1793000000,4862000000,4617000000,4057000000,3879000000,3695000000,3835000000,3381000000,3733000000,4250000000,3041000000,3040000000,3054000000,2966000000,11269000000,9778000000,10003000000,13475000000,11275000000,13502000000,14910000000,12130000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,2379000000,2976600000,3002000000,2790000000,3272000000,2955000000,2679000000,7278000000,6710000000,6532000000,6172000000,5852000000,6681000000,5496000000,5836000000,6243000000,5586000000,5414000000,5884000000,5976000000,15066000000,13313000000,12765000000,17507000000,16306000000,19015000000,19144000000,18455000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,- -,15000000,22000000,24000000,24000000,24000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,39000000,39000000,39000000,39000000,39000000,39000000,42000000,42000000,43000000,45000000,45000000,45000000,45000000,45000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,954000000,1162300000,1232000000,1391000000,1394000000,1599000000,1715000000,1770000000,2097000000,2380000000,2728000000,3013000000,2781000000,2993000000,3006000000,2409000000,3113000000,3801000000,4327000000,4999000000,5748000000,6813000000,8348000000,9776000000,12329000000,13787000000,15311000000,17502000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4000000,-1033100000,-12000000,-10000000,-6000000,-6000000,-1421000000,-80000000,-172000000,-72000000,-58000000,-27000000,17000000,50000000,41000000,-34000000,- -,-79000000,-63000000,-108000000,-147000000,-90000000,-45000000,16000000,-15000000,-117000000,-179000000,-172000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,324000000,1338500000,307000000,219000000,558000000,511000000,1857000000,1627000000,1700000000,1609000000,- -,- -,- -,1651000000,1928000000,1938000000,2014000000,1896000000,1709000000,1271000000,3247000000,2926000000,1262000000,704000000,444000000,367000000,288000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1289000000,1467700000,1542000000,1622000000,1970000000,2128000000,2175000000,3354000000,3662000000,3954000000,4292000000,4652000000,4440000000,4731000000,5014000000,4352000000,5166000000,5657000000,6012000000,6201000000,8890000000,9691000000,9608000000,10541000000,12803000000,14082000000,15465000000,17723000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3668000000,4444300000,4544000000,4412000000,5242000000,5083000000,4854000000,10632000000,10372000000,10486000000,10464000000,10504000000,11121000000,10227000000,10850000000,10595000000,10752000000,11071000000,11896000000,12177000000,23956000000,23004000000,22373000000,28048000000,29109000000,33097000000,34609000000,36178000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18000000,- -,- -,132000000,131000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,3668000000,4444300000,4544000000,4411000000,5243000000,5083000000,4854000000,10632000000,10372000000,10486000000,10464000000,10504000000,11121000000,10227000000,10850000000,10595000000,10752000000,11071000000,11896000000,12177000000,23956000000,23004000000,22373000000,28066000000,29109000000,33097000000,34741000000,36309000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/100493/000010049394000026/0000100493-94-000026-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100493/000010049398000013/0000100493-98-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/100493/000010049300000012/0000100493-00-000012-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049301500040/0000100493-01-500040-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049302000026/0000100493-02-000026-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049303000064/0000100493-03-000064-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/100493/000010049307000102/0000100493-07-000102-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049308000060/0000100493-08-000060-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049309000067/0000100493-09-000067-index.html,https://www.sec.gov/Archives/edgar/data/100493/000119312510265708/0001193125-10-265708-index.html,https://www.sec.gov/Archives/edgar/data/100493/000119312511317791/0001193125-11-317791-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049312000065/0000100493-12-000065-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049313000079/0000100493-13-000079-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049314000220/0000100493-14-000220-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049315000109/0000100493-15-000109-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049316000281/0000100493-16-000281-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049317000133/0000100493-17-000133-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049318000108/0000100493-18-000108-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049319000118/0000100493-19-000118-index.html,https://www.sec.gov/Archives/edgar/data/100493/000010049320000132/0000100493-20-000132-index.htm,https://www.sec.gov/Archives/edgar/data/100493/000010049321000122/0000100493-21-000122-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,100600000,120000000,145500000,160500000,180300000,-2000000,219200000,87000000,186000000,25000000,230000000,151000000,88000000,383000000,337000000,403000000,353000000,-196000000,268000000,86000000,-537000000,780000000,750000000,583000000,778000000,864000000,1220000000,1768000000,1774000000,3024000000,2022000000,2140000000,3047000000
74,Depreciation and Amortization,- -,- -,- -,- -,84800000,123400000,135800000,148900000,176500000,188300000,204900000,239300000,230400000,276400000,291100000,294000000,329300000,467000000,458000000,490000000,501000000,517000000,514000000,493000000,496000000,497000000,506000000,499000000,519000000,530000000,711000000,705000000,761000000,943000000,1098000000,1192000000,1214000000
75,Deferred Income Tax,- -,- -,- -,- -,1600000,14800000,3800000,17900000,5400000,-2400000,10900000,15900000,10500000,-144500000,-13500000,47000000,-47000000,22000000,113000000,8000000,-74000000,-130000000,5000000,35000000,-26000000,18000000,86000000,140000000,-12000000,-105000000,38000000,84000000,-39000000,-865000000,92000000,45000000,-125000000
