,https://roic.ai/company/CMS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,755000000,798000000,821000000,862000000,912000000,1149000000,5322000000,6440000000,5053000000,3682000000,3744000000,5617000000,2788000000,2450000000,1823000000,1937000000,1936000000,1988000000,827000000,862000000,937000000,1012000000,1092000000,1165000000,1236000000,1325000000,1407000000,6183000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,3115000000,3287000000,3656000000,4041000000,4403000000,5191000000,8271000000,9296000000,8588000000,5082000000,4881000000,6683000000,6936000000,6552000000,6035000000,5507000000,5454000000,5500000000,5251000000,5424000000,6027000000,5293000000,5102000000,5245000000,5711000000,5606000000,5318000000,6918000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24000000,19000000,9000000,5000000,3000000,5000000,12000000,6000000,12000000,11000000,7000000,11000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,435000000,431000000,415000000,389000000,398000000,407000000,396000000,435000000,438000000,458000000,519000000,561000000,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000000,576000000,546000000,598000000,628000000,685000000,750000000,811000000,881000000,933000000,992000000,1048000000,1114000000
15,EBITDA,-269800000,177800000,186900000,271600000,312100000,-494000000,-262000000,-297000000,155000000,283000000,334000000,379000000,385000000,385000000,341000000,96000000,-618000000,-607000000,14000000,116000000,-252000000,-237000000,-410000000,442000000,1349000000,1571000000,1567000000,1614000000,1780000000,1819000000,1940000000,2070000000,2203000000,2163000000,2338000000,2497000000,2539000000
16,EBITDA ratio,-0.0818,0.0572,0.0667,0.0923,0.1054,-0.1659,-0.0891,-0.0966,0.0445,0.0782,0.0859,0.0875,0.0804,0.0749,0.0559,0.0107,-0.0644,-0.0699,0.0025,0.0212,-0.0401,-0.0348,-0.0634,0.0648,0.2174,0.2442,0.2410,0.2581,0.2711,0.2534,0.3005,0.3235,0.3346,0.3147,0.3416,0.3738,0.3464
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,504000000,603000000,677000000,746000000,738000000,912000000,727000000,301000000,99000000,431000000,591000000,-395000000,-126000000,-88000000,786000000,696000000,978000000,1003000000,1003000000,1142000000,1152000000,1163000000,1297000000,1338000000,1162000000,1239000000,1362000000,1146000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1393,0.1550,0.1562,0.1558,0.1436,0.1494,0.0808,0.0314,0.0114,0.0782,0.1080,-0.0628,-0.0185,-0.0136,0.1152,0.1122,0.1521,0.1542,0.1604,0.1739,0.1605,0.1801,0.2027,0.2033,0.1691,0.1810,0.2039,0.1564
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-221000000,-269000000,-298000000,-361000000,-396000000,-571000000,-626000000,-705000000,-502000000,-416000000,-469000000,129000000,-117000000,-233000000,-344000000,-361000000,-388000000,-397000000,-381000000,-386000000,-423000000,-367000000,-471000000,-452000000,-388000000,-410000000,-477000000,-323000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,334000000,379000000,385000000,342000000,341000000,101000000,-404000000,-403000000,15000000,122000000,-266000000,-243000000,-321000000,442000000,335000000,590000000,606000000,622000000,756000000,729000000,796000000,826000000,886000000,774000000,829000000,885000000,823000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0782,0.0859,0.0875,0.0804,0.0665,0.0559,0.0112,-0.0421,-0.0464,0.0027,0.0223,-0.0423,-0.0357,-0.0497,0.0648,0.0540,0.0917,0.0932,0.0995,0.1151,0.1015,0.1233,0.1291,0.1346,0.1126,0.1211,0.1325,0.1123
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,104000000,130000000,139000000,117000000,100000000,64000000,60000000,-73000000,13000000,58000000,-5000000,-168000000,-158000000,-195000000,142000000,115000000,224000000,191000000,245000000,302000000,250000000,271000000,273000000,424000000,115000000,147000000,133000000,95000000
23,Net Income,-269800000,177800000,186900000,271600000,312100000,-494000000,-262000000,-297000000,155000000,179000000,204000000,240000000,268000000,285000000,277000000,36000000,-545000000,-620000000,-44000000,121000000,-84000000,-79000000,-215000000,300000000,229000000,340000000,415000000,382000000,452000000,477000000,523000000,551000000,460000000,657000000,680000000,755000000,1330000000
24,Net Income ratio,-0.0818,0.0572,0.0667,0.0923,0.1054,-0.1659,-0.0891,-0.0966,0.0445,0.0495,0.0524,0.0554,0.0560,0.0554,0.0454,0.0040,-0.0568,-0.0714,-0.0080,0.0221,-0.0134,-0.0116,-0.0333,0.0440,0.0369,0.0529,0.0638,0.0611,0.0688,0.0664,0.0810,0.0861,0.0699,0.0956,0.0993,0.1130,0.1815
25,EPS,-4.42,0.74,2.19,3.31,3.80,-6.07,-3.26,-3.72,1.90,2.09,2.27,2.45,2.63,2.65,2.18,0.32,-4.17,-4.46,-0.30,0.65,-0.44,-0.41,-1.02,1.29,0.96,1.40,1.66,1.46,1.71,1.76,1.90,1.99,1.64,2.33,2.40,2.65,4.60
26,EPS Diluted,-4.42,0.74,2.19,3.31,3.80,-6.07,-3.26,-3.72,1.90,2.08,2.26,2.45,2.61,2.62,2.17,0.32,-4.17,-4.46,-0.30,0.64,-0.44,-0.41,-1.02,1.23,0.91,1.28,1.58,1.42,1.66,1.74,1.89,1.98,1.64,2.32,2.39,2.64,4.59
27,Weighted Average Shares Outstanding,88144796,87837838,85342466,82054381,82131579,81383855,80368098,79838710,81578947,85645933,89867841,92000000,101901141,107547170,127064220,112500000,130695444,139013453,146666667,169230769,213636364,219512195,222549020,224031008,227200000,231500000,250800000,260700000,265000000,271000000,276000000,278000000,280000000,282200000,283000000,285000000,289100000
28,Weighted Average Shares Outstanding Diluted,88144796,87837838,85342466,82054381,82131579,81383855,80368098,79838710,81578947,86057692,90265487,97512438,102681992,108778626,127649770,112500000,130695444,139013453,146666667,171875000,213636364,219512195,222549020,234959350,237900000,252900000,263400000,268600000,272000000,275000000,276000000,279000000,280800000,282900000,284300000,286300000,289600000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811156/000020153395000029/0000201533-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/811156/000020153396000043/0000201533-96-000043-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811156/000095012405001425/k91832e10vk.txt,https://www.sec.gov/Archives/edgar/data/811156/000095012406000851/k02628e10vk.txt,- -,https://www.sec.gov/Archives/edgar/data/811156/000095012408000749/k23633e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095015209001765/k47328e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095012310018474/k48861e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095012311017966/k50057e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000119312512074276/d287367d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/a14-1343_210k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/a15-1932_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465916095725/a15-23273_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/a17-1055_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/a18-1030_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000081115619000003/consumersenergy10k12312018.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/0000811156-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/811156/000081115621000016/0000811156-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/811156/000081115622000048/0000811156-22-000048-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,56000000,56000000,67000000,101000000,132000000,182000000,189000000,377000000,532000000,669000000,847000000,351000000,382000000,213000000,90000000,247000000,161000000,93000000,172000000,207000000,266000000,235000000,182000000,153000000,140000000,168000000,452000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,79000000,56000000,56000000,67000000,101000000,132000000,182000000,189000000,377000000,532000000,669000000,847000000,351000000,382000000,213000000,90000000,247000000,161000000,93000000,172000000,207000000,266000000,235000000,182000000,153000000,140000000,168000000,452000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,154000000,296000000,373000000,476000000,720000000,959000000,1440000000,1364000000,757000000,476000000,581000000,878000000,875000000,839000000,851000000,1077000000,1061000000,928000000,938000000,987000000,1017000000,913000000,1013000000,1242000000,1227000000,1126000000,1157000000,905000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,347000000,304000000,302000000,317000000,361000000,430000000,467000000,813000000,617000000,892000000,1030000000,1275000000,1357000000,1334000000,1405000000,1319000000,229000000,1187000000,1084000000,881000000,918000000,778000000,626000000,672000000,650000000,605000000,576000000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,250000000,254000000,283000000,278000000,225000000,296000000,360000000,667000000,997000000,594000000,719000000,899000000,560000000,329000000,358000000,256000000,1222000000,289000000,307000000,486000000,455000000,363000000,406000000,379000000,438000000,460000000,503000000,1270000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,830000000,910000000,1014000000,1138000000,1407000000,1817000000,2449000000,3033000000,2748000000,2494000000,2999000000,3899000000,3143000000,2884000000,2827000000,2742000000,2759000000,2565000000,2422000000,2526000000,2597000000,2320000000,2280000000,2475000000,2468000000,2331000000,2404000000,2627000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,4826000000,5074000000,5280000000,5435000000,6040000000,8121000000,7835000000,8362000000,5234000000,6944000000,8636000000,7845000000,7976000000,8728000000,9190000000,9682000000,10069000000,10633000000,11551000000,12246000000,13412000000,14705000000,15715000000,16761000000,18126000000,18926000000,21039000000,22352000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,891000000,811000000,- -,25000000,23000000,27000000,26000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725000000,566000000,11000000,11000000,9000000,49000000,50000000,57000000,59000000,61000000,64000000,65000000,64000000,69000000,71000000,70000000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,356000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1728000000,2159000000,2321000000,3220000000,3863000000,5524000000,4676000000,4896000000,5933000000,4375000000,4214000000,3524000000,3660000000,2573000000,2873000000,2592000000,2739000000,3204000000,3101000000,2585000000,3115000000,3251000000,3562000000,3750000000,3866000000,5509000000,6153000000,3418000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6554000000,7233000000,7601000000,8655000000,9903000000,13645000000,13402000000,14069000000,11167000000,11344000000,12873000000,12121000000,12228000000,11312000000,12074000000,12514000000,12857000000,13887000000,14709000000,14890000000,16588000000,18020000000,19342000000,20575000000,22061000000,24506000000,27262000000,26126000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7384000000,8143000000,8615000000,9793000000,11310000000,15462000000,15851000000,17102000000,13915000000,13838000000,15872000000,16020000000,15371000000,14196000000,14901000000,15256000000,15616000000,16452000000,17131000000,17416000000,19185000000,20340000000,21622000000,23050000000,24529000000,26837000000,29666000000,28753000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000000,357000000,411000000,478000000,580000000,775000000,1024000000,1183000000,535000000,357000000,392000000,512000000,566000000,433000000,466000000,509000000,501000000,575000000,521000000,595000000,688000000,642000000,610000000,725000000,733000000,635000000,678000000,835000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,403000000,548000000,742000000,1025000000,621000000,782000000,1110000000,1397000000,1098000000,519000000,476000000,445000000,566000000,723000000,514000000,734000000,750000000,1057000000,651000000,732000000,600000000,955000000,1284000000,1273000000,1093000000,1220000000,1506000000,198000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,283000000,302000000,282000000,279000000,297000000,316000000,349000000,348000000,360000000,398000000,437000000,457000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000000,605000000,570000000,572000000,609000000,950000000,1068000000,1230000000,1265000000,774000000,887000000,1156000000,1024000000,1321000000,883000000,711000000,770000000,706000000,625000000,618000000,726000000,705000000,761000000,786000000,798000000,849000000,890000000,789000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1221000000,1510000000,1723000000,2075000000,1810000000,2507000000,3202000000,3810000000,2898000000,1650000000,1755000000,2113000000,2156000000,2477000000,1863000000,1954000000,2021000000,2338000000,1797000000,1945000000,2014000000,2302000000,2655000000,2784000000,2624000000,2704000000,3074000000,1822000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2817000000,3012000000,3045000000,3347000000,4831000000,7075000000,6824000000,6983000000,5356000000,6704000000,6948000000,6978000000,6380000000,5563000000,6037000000,5895000000,6448000000,6040000000,6863000000,7101000000,8016000000,8441000000,8640000000,9123000000,10615000000,11951000000,13690000000,8050000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2340000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,763000000,811000000,859000000,894000000,784000000,828000000,859000000,875000000,505000000,700000000,750000000,364000000,182000000,58000000,100000000,51000000,487000000,1081000000,1058000000,1656000000,1719000000,2073000000,2360000000,1356000000,1586000000,1775000000,1978000000,2340000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1120000000,985000000,830000000,869000000,1038000000,1909000000,2168000000,3107000000,3616000000,2894000000,4042000000,3938000000,4114000000,3674000000,4151000000,4418000000,3823000000,3921000000,4175000000,3223000000,3729000000,3549000000,3677000000,5309000000,4912000000,5352000000,4847000000,-5461000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4700000000,4808000000,4734000000,5110000000,6653000000,9812000000,9851000000,10965000000,9477000000,10298000000,11740000000,11280000000,10676000000,9295000000,10288000000,10364000000,10758000000,11042000000,12096000000,11980000000,13464000000,14063000000,14677000000,15788000000,17113000000,19078000000,20515000000,7269000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,9756000000,9972000000,9924000000,10851000000,13937000000,20311000000,20051000000,22281000000,19340000000,20828000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23308000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116000000,58000000,315000000,308000000,42000000,225000000,206000000,197000000,188000000,167000000,153000000,138000000,123000000,118000000,110000000,91000000,69000000,76000000,56000000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,6277000000,6674000000,6913000000,7816000000,9094000000,13006000000,13402000000,15126000000,12761000000,12180000000,12806000000,13104000000,12785000000,11763000000,12143000000,12318000000,12779000000,13380000000,13893000000,13925000000,15478000000,16365000000,17332000000,18572000000,19737000000,21782000000,23589000000,17861000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,261000000,261000000,261000000,250000000,243000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,1000000,1000000,1000000,1000000,1000000,1000000,1000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,2000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,6407000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,-595000000,- -,-338000000,-189000000,-234000000,-189000000,-320000000,-1055000000,-1720000000,-1844000000,-1734000000,-1828000000,-1918000000,-2208000000,-2007000000,-1927000000,-1757000000,-1553000000,-1423000000,-1242000000,-1058000000,-855000000,-616000000,-531000000,-271000000,-25000000,214000000,1834000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4299000000,-4627000000,-4867000000,-5270000000,-5213000000,-6157000000,-6252000000,-6833000000,-753000000,-419000000,-336000000,-288000000,-318000000,-144000000,-28000000,-33000000,-40000000,-49000000,-55000000,-22000000,-49000000,-47000000,-50000000,-50000000,-65000000,-73000000,-86000000,-32000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000000,6096000000,6906000000,7435000000,7662000000,8801000000,9020000000,9863000000,3605000000,3846000000,4140000000,4436000000,4468000000,4480000000,4496000000,4799000000,4588000000,4627000000,- -,4715000000,4774000000,4837000000,4916000000,5019000000,5088000000,5113000000,5365000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1107000000,1469000000,1702000000,1977000000,2216000000,2456000000,2449000000,1976000000,1133000000,1585000000,2333000000,2583000000,2495000000,2380000000,2706000000,2841000000,2793000000,3028000000,3194000000,3454000000,3670000000,3938000000,4253000000,4441000000,4755000000,5018000000,5496000000,9279000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,7384000000,8143000000,8615000000,9793000000,11310000000,15462000000,15851000000,17102000000,13894000000,13765000000,15139000000,15687000000,15280000000,14143000000,14849000000,15159000000,15572000000,16408000000,17087000000,17379000000,19148000000,20303000000,21585000000,23013000000,24492000000,26800000000,29085000000,27140000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21000000,73000000,733000000,333000000,91000000,53000000,52000000,97000000,44000000,44000000,44000000,37000000,37000000,37000000,37000000,37000000,37000000,37000000,581000000,1613000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,7384000000,8143000000,8615000000,9793000000,11310000000,15462000000,15851000000,17102000000,13915000000,13838000000,15872000000,16020000000,15371000000,14196000000,14901000000,15256000000,15616000000,16452000000,17131000000,17416000000,19185000000,20340000000,21622000000,23050000000,24529000000,26837000000,29666000000,28753000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/811156/000020153395000029/0000201533-95-000029-index.html,https://www.sec.gov/Archives/edgar/data/811156/000020153396000043/0000201533-96-000043-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811156/000095012405001425/k91832e10vk.txt,https://www.sec.gov/Archives/edgar/data/811156/000095012406000851/k02628e10vk.txt,- -,https://www.sec.gov/Archives/edgar/data/811156/000095012408000749/k23633e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095015209001765/k47328e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095012310018474/k48861e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000095012311017966/k50057e10vk.htm,https://www.sec.gov/Archives/edgar/data/811156/000119312512074276/d287367d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/811156/000110465914006974/a14-1343_210k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465915006843/a15-1932_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465916095725/a15-23273_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465917006823/a17-1055_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000110465918009493/a18-1030_110k.htm,https://www.sec.gov/Archives/edgar/data/811156/000081115619000003/consumersenergy10k12312018.htm,https://www.sec.gov/Archives/edgar/data/201533/000081115620000004/0000811156-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/811156/000081115621000016/0000811156-21-000016-index.htm,https://www.sec.gov/Archives/edgar/data/811156/000081115622000048/0000811156-22-000048-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,179000000,204000000,240000000,268000000,285000000,277000000,36000000,-545000000,-620000000,-44000000,121000000,-84000000,-79000000,-215000000,300000000,229000000,340000000,415000000,382000000,452000000,477000000,523000000,551000000,460000000,657000000,680000000,755000000,1330000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,570000000,576000000,546000000,598000000,628000000,685000000,750000000,811000000,881000000,933000000,992000000,1048000000,1114000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,75000000,46000000,33000000,54000000,10000000,8000000,- -,- -,- -,- -,- -,-271000000,-221000000,129000000,122000000,227000000,167000000,227000000,268000000,227000000,247000000,264000000,417000000,182000000,150000000,170000000,249000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000000,-209000000,-109000000,-228000000,534000000,-287000000,-63000000,-24000000,627000000,994000000,400000000,542000000,-799000000,-580000000,557000000,-176000000,-50000000,-511000000,398000000,-44000000,2000000,-565000000,-393000000,66000000,153000000,-217000000,-297000000,1475000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-103000000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54000000,-353000000,140000000,-288000000,-109000000,-245000000,-105000000,-10000000,-36000000,86000000,133000000,-14000000,104000000,202000000,-36000000,147000000,146000000,-46000000,14000000,44000000,28000000,-93000000
