,https://roic.ai/company/SON,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
17,Operating Income,97400000,105700000,138300000,187400000,187500000,115000000,175400000,196900000,212200000,244400000,309900000,329400000,342300000,288100000,333200000,331948000,277522000,263687000,208600000,258387000,295984000,346088000,344075000,349634000,252786000,338177000,322480000,379917000,386333000,414303000,433181000,431425000,405718000,437629000,467082000,357804000,486853000
18,Operating Income ratio,0.1120,0.1097,0.1054,0.1171,0.1132,0.0689,0.1034,0.1071,0.1090,0.1063,0.1145,0.1181,0.1202,0.1126,0.1308,0.1224,0.1065,0.0938,0.0756,0.0819,0.0839,0.0946,0.0852,0.0848,0.0703,0.0820,0.0717,0.0794,0.0797,0.0826,0.0873,0.0902,0.0806,0.0812,0.0869,0.0683,0.0871
19,Total Other Income Expenses (Gains),-6100000,-6600000,-28100000,-24100000,-23000000,-20700000,-17000000,-63700000,-18200000,-32100000,-38800000,-51100000,-279600000,57900000,-36800000,-53651000,-101741000,-65194000,-100267000,-61045000,-64858000,-71280000,-88449000,-147258000,-38565000,-83723000,-38074000,-92843000,-81764000,-75183000,-105235000,9852000,-91164000,-59098000,-86316000,-102212000,-647835000
20,Income Before Tax,91300000,99100000,110200000,163300000,164500000,94300000,158400000,133200000,194000000,212300000,271100000,278300000,62700000,346000000,296400000,278297000,175781000,198493000,108333000,197342000,231126000,274808000,255626000,202376000,214221000,254454000,284406000,287074000,304569000,339120000,327946000,441277000,314554000,378531000,380766000,255592000,-160982000
21,Income Before Tax Ratio,0.1050,0.1028,0.0840,0.1021,0.0993,0.0565,0.0933,0.0725,0.0996,0.0923,0.1002,0.0998,0.0220,0.1353,0.1164,0.1026,0.0674,0.0706,0.0393,0.0625,0.0655,0.0751,0.0633,0.0491,0.0595,0.0617,0.0632,0.0600,0.0628,0.0676,0.0661,0.0923,0.0625,0.0702,0.0709,0.0488,-0.0288
22,Income Tax expense (Gain),41900000,44400000,48700000,67000000,60900000,43900000,63600000,51900000,75200000,82500000,106600000,107400000,60100000,154000000,108600000,111999000,82958000,70614000,37698000,58858000,84174000,93329000,55186000,54797000,66818000,64485000,78423000,103759000,96203000,108922000,87738000,164631000,146589000,75008000,93269000,53030000,-67430000
23,Net Income,49400000,54700000,61500000,96300000,103600000,50400000,94800000,43400000,118800000,129800000,164500000,170900000,2600000,180200000,187800000,166298000,91609000,135316000,138949000,151229000,161877000,195081000,214156000,164608000,151482000,201053000,217517000,196010000,219113000,239165000,250136000,286434000,175345000,313560000,291785000,207463000,-85477000
24,Net Income ratio,0.0568,0.0568,0.0469,0.0602,0.0626,0.0302,0.0559,0.0236,0.0610,0.0564,0.0608,0.0613,0.0009,0.0704,0.0737,0.0613,0.0351,0.0481,0.0504,0.0479,0.0459,0.0533,0.0530,0.0399,0.0421,0.0488,0.0483,0.0410,0.0452,0.0477,0.0504,0.0599,0.0348,0.0582,0.0543,0.0396,-0.0153
25,EPS,0.52,0.57,0.64,1.00,1.07,0.53,1.00,0.45,1.16,1.21,1.56,1.65,0.03,1.76,1.84,1.67,0.96,1.40,1.44,1.54,1.63,1.95,2.13,1.65,1.51,2.00,2.17,1.94,2.14,2.38,2.48,2.89,1.76,3.14,2.91,2.07,-0.87
26,EPS Diluted,0.52,0.57,0.64,1.00,1.07,0.53,1.00,0.45,1.15,1.21,1.49,1.57,0.03,1.73,1.83,1.66,0.96,1.39,1.43,1.53,1.61,1.92,2.10,1.63,1.50,1.96,2.13,1.91,2.12,2.32,2.44,2.81,1.74,3.10,2.88,2.05,-0.87
27,Weighted Average Shares Outstanding,95000000,95964912,96093750,96300000,96822430,95094340,94800000,96444444,101293103,100588950,100252900,99564300,91801000,102632000,101886000,99725000,95370000,96373000,96819000,98018000,99336000,100073000,100632000,100262000,100717000,100510000,100211000,100847000,102577000,100603000,100944000,99193000,99414000,99829000,100198000,100447000,98326308
28,Weighted Average Shares Outstanding Diluted,95000000,95964912,96093750,96300000,96822430,95094340,94800000,96444444,102173913,100588950,110424600,108517200,97591000,104275000,102780000,99900000,95807000,97178000,97129000,98947000,100418000,101534000,101875000,100986000,101029000,102543000,102173000,102573000,103248000,103172000,102392000,101782000,100852000,101016000,101176000,101209000,99608000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91767/000095014495000871/0000950144-95-000871-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91767/000095014403002818/g80911e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014404001875/g87423e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014405001972/g93476ke10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014406001529/g99753e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014407001705/g05676e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312508041845/d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312509040463/0001193125-09-040463-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312510042088/0001193125-10-042088-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312511048615/d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312512088468/0001193125-12-088468-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312513086675/0001193125-13-086675-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312514079079/d668302d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312515072931/d847921d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312516485573/0001193125-16-485573-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312517064495/0001193125-17-064495-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312518063468/0001193125-18-063468-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176719000015/0000091767-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176720000033/0000091767-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176721000011/0000091767-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/91767/000009176722000014/0000091767-22-000014-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,28400000,61600000,71300000,53600000,57200000,36500000,35219000,36130000,31405000,84854000,117725000,59608000,86498000,70758000,101655000,185245000,158249000,175523000,373084000,217567000,161168000,182434000,257226000,254912000,120389000,145283000,564848000,170978000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,28400000,61600000,71300000,53600000,57200000,36500000,35219000,36130000,31405000,84854000,117725000,59608000,86498000,70758000,101655000,185245000,158249000,175523000,373084000,217567000,161168000,182434000,257226000,254912000,120389000,145283000,564848000,170978000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,290600000,331300000,368200000,302500000,352100000,375600000,356342000,320151000,347153000,353742000,427481000,458434000,492309000,522737000,438998000,463762000,540061000,649413000,656072000,653048000,713121000,674763000,668964000,789812000,849335000,811903000,762444000,851552000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,207600000,231500000,260400000,210100000,217300000,248300000,267604000,261721000,244554000,252196000,315011000,318316000,303848000,343084000,314169000,288528000,369427000,395822000,383272000,410787000,420276000,385483000,372814000,474063000,493764000,503808000,450691000,562114000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,44100000,37400000,37700000,306800000,34800000,62700000,36628000,47167000,40155000,64473000,61895000,49142000,60143000,91100000,75168000,59038000,89779000,92033000,87468000,97072000,95718000,64698000,49764000,44849000,55784000,60202000,52564000,74034000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,570700000,661800000,737600000,873000000,661400000,723100000,695793000,665169000,663267000,755265000,922112000,885500000,942798000,1027679000,929990000,996573000,1157516000,1312791000,1499896000,1378474000,1390283000,1307378000,1348768000,1563636000,1519272000,1521196000,1830547000,1658678000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,763100000,865600000,995400000,939500000,1013800000,1032500000,973470000,1008944000,975368000,923569000,1007295000,943951000,1019594000,1105342000,973442000,926829000,944136000,1020291000,995119000,981660000,1108059000,1070884000,1018576000,1127713000,1191959000,1542897000,1244110000,1297500000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359713000,359418000,- -,- -,573903000,667288000,828348000,782983000,813530000,839748000,1103684000,1110505000,1099207000,1182936000,1140461000,1092215000,1241875000,1309167000,1429346000,1389255000,1324501000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,359000000,411300000,455600000,144100000,170400000,254600000,236733000,- -,- -,383954000,659298000,73037000,95885000,139436000,120540000,115044000,130400000,299700000,276809000,243920000,280935000,245095000,224958000,331295000,352037000,388292000,321934000,278143000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,359000000,411300000,455600000,144100000,170400000,254600000,236733000,359713000,359418000,383954000,659298000,646940000,763173000,967784000,903523000,928574000,970148000,1403384000,1387314000,1343127000,1463871000,1385556000,1317173000,1573170000,1661204000,1817638000,1711189000,1602644000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,132536000,57105000,42100000,78869000,90936000,67364000,40059000,52626000,42130000,62053000,47297000,46502000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,142300000,176700000,198900000,220300000,237400000,286800000,306615000,318371000,392041000,457845000,452614000,505349000,191113000,239438000,146975000,153499000,167114000,170835000,202800000,208666000,207724000,203825000,196556000,231149000,163733000,198056000,491413000,514414000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1264400000,1453600000,1649900000,1303900000,1421600000,1573900000,1516818000,1687028000,1726827000,1765368000,2119207000,2096240000,1973880000,2312564000,2156476000,2066007000,2123498000,2673379000,2676169000,2600817000,2819713000,2712891000,2574435000,2994085000,3064193000,3605093000,3446712000,3414558000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1835100000,2115400000,2387500000,2176900000,2083000000,2297000000,2212611000,2352197000,2390094000,2520633000,3041319000,2981740000,2916678000,3340243000,3086466000,3062580000,3281014000,3986170000,4176065000,3979291000,4209996000,4020269000,3923203000,4557721000,4583465000,5126289000,5277259000,5073235000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,158100000,149500000,205700000,161100000,174200000,192900000,227408000,211452000,248640000,239300000,274224000,265219000,357856000,426138000,353846000,375365000,436785000,436732000,426786000,491809000,511630000,508057000,477831000,548309000,556011000,537764000,1048428000,1102662000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,59400000,94900000,102100000,99700000,96800000,84600000,45556000,35849000,134500000,201367000,93754000,124530000,51903000,45199000,32978000,118053000,16949000,53666000,273608000,35201000,52280000,113097000,32045000,159327000,195445000,488234000,455784000,411557000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11544000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42479000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,131100000,188100000,167300000,173300000,165100000,139100000,164116000,212969000,216887000,238927000,271908000,230737000,250065000,286744000,311372000,312221000,326915000,346085000,343841000,340215000,341535000,301362000,292740000,292334000,331474000,378494000,-35064000,11544000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,348600000,432500000,475100000,434100000,436100000,416600000,437080000,460270000,600027000,679594000,639886000,620486000,659824000,758081000,698196000,805639000,780649000,836483000,1044235000,867225000,905445000,922516000,802616000,999970000,1082930000,1404492000,1511627000,1525763000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,488000000,591900000,791000000,696700000,686800000,819500000,812085000,885961000,699346000,473220000,813207000,657075000,712089000,804339000,656847000,462743000,603941000,1232966000,1099454000,946257000,1200885000,1021854000,1020698000,1288002000,1189717000,1193135000,1244440000,1199106000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,62100000,68400000,93500000,97100000,94800000,123400000,134364000,169613000,189896000,216165000,168776000,146981000,52809000,84977000,50450000,30571000,24583000,16794000,15649000,128006000,95062000,72933000,59753000,74073000,64273000,76206000,439146000,340561000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,104200000,103900000,107200000,100200000,43700000,36300000,27611000,32231000,33400000,137494000,266571000,293884000,272888000,251309000,517998000,382997000,364148000,474519000,513513000,312478000,485829000,470093000,485431000,465616000,474267000,636751000,171518000,158265000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,654300000,764200000,991700000,894000000,825300000,979200000,974060000,1087805000,922642000,826879000,1248554000,1097940000,1037786000,1140625000,1225295000,876311000,992672000,1724279000,1628616000,1386741000,1781776000,1564880000,1565882000,1827691000,1728257000,1906092000,1855104000,1697932000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,253992000,262048000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1002900000,1196700000,1466800000,1328100000,1261400000,1395800000,1411140000,1548075000,1522669000,1506473000,1888440000,1718426000,1697610000,1898706000,1923491000,1681950000,1773321000,2560762000,2672851000,2253966000,2687221000,2487396000,2368498000,2827661000,2811187000,3310584000,3366731000,3223695000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7200000,7175000,7175000,7175000,7175000,7175000,7175000,- -,- -,- -,- -,- -,- -,7175000,7175000,7175000,7175000,7175000,7175000,7175000,7175000,- -,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,697300000,694700000,799900000,734800000,478100000,589500000,677042000,692571000,748119000,805940000,872109000,943860000,1044196000,1150108000,1205540000,1248043000,1336155000,1437435000,1512145000,1604892000,1714067000,1803827000,1942513000,2036006000,2188115000,2301532000,2335216000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-648400000,-743600000,-857400000,-819600000,-942800000,-1053400000,-1123546000,-1221801000,-1335902000,-1367980000,-1535283000,-106000000,-262000000,-107000000,-455000000,-310000000,-293000000,-460000000,-476000000,-370000000,-609000000,-703000000,-738000000,-666000000,-741000000,-817000000,-756842000,-359425000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,783300000,967600000,978200000,933600000,1286300000,1357900000,1240800000,1326177000,1448033000,1569025000,1808878000,418279000,436872000,398429000,412435000,428338000,448636000,434360000,445666000,468670000,394881000,404927000,320670000,329885000,304796000,310975000,332154000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,832200000,918700000,920700000,848800000,821600000,901200000,801471000,804122000,867425000,1014160000,1152879000,1263314000,1219068000,1441537000,1162975000,1366381000,1491791000,1411795000,1488986000,1710737000,1507123000,1512929000,1532358000,1707066000,1759086000,1802682000,1899605000,1849540000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1835100000,2115400000,2387500000,2176900000,2083000000,2297000000,2212611000,2352197000,2390094000,2520633000,3041319000,2981740000,2916678000,3340243000,3086466000,3048331000,3265112000,3972557000,4161837000,3964703000,4194344000,4000325000,3900856000,4534727000,4570273000,5113266000,5266336000,5073235000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14249000,15902000,13613000,14228000,14588000,15652000,19944000,22347000,22994000,13192000,13023000,10923000,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,1835100000,2115400000,2387500000,2176900000,2083000000,2297000000,2212611000,2352197000,2390094000,2520633000,3041319000,2981740000,2916678000,3340243000,3086466000,3062580000,3281014000,3986170000,4176065000,3979291000,4209996000,4020269000,3923203000,4557721000,4583465000,5126289000,5277259000,5073235000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/91767/000095014495000871/0000950144-95-000871-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/91767/000095014403002818/g80911e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014404001875/g87423e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014405001972/g93476ke10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014406001529/g99753e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000095014407001705/g05676e10vk.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312508041845/d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312509040463/0001193125-09-040463-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312510042088/0001193125-10-042088-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312511048615/d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312512088468/0001193125-12-088468-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312513086675/0001193125-13-086675-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312514079079/d668302d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312515072931/d847921d10k.htm,https://www.sec.gov/Archives/edgar/data/91767/000119312516485573/0001193125-16-485573-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312517064495/0001193125-17-064495-index.html,https://www.sec.gov/Archives/edgar/data/91767/000119312518063468/0001193125-18-063468-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176719000015/0000091767-19-000015-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176720000033/0000091767-20-000033-index.html,https://www.sec.gov/Archives/edgar/data/91767/000009176721000011/0000091767-21-000011-index.htm,https://www.sec.gov/Archives/edgar/data/91767/000009176722000014/0000091767-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,103600000,50400000,94800000,43400000,118800000,129800000,164500000,170900000,2600000,180200000,187800000,166298000,91609000,135316000,138949000,151229000,161877000,195081000,214156000,164608000,151482000,201053000,217517000,196010000,219113000,239165000,250136000,286434000,175345000,313560000,291785000,207463000,-85477000
74,Depreciation and Amortization,- -,- -,- -,- -,67300000,72200000,76600000,83300000,95700000,112800000,125800000,142900000,153500000,145700000,145800000,150816000,158574000,159256000,163234000,163928000,163074000,164863000,181339000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255359000,- -
75,Deferred Income Tax,- -,- -,- -,- -,9800000,-15100000,-300000,-13600000,22400000,5700000,-5300000,10000000,-48400000,71600000,18100000,20182000,22005000,27956000,11175000,5310000,-24722000,-15265000,-31940000,-18844000,21689000,12498000,5965000,24687000,48664000,42114000,-136000,5245000,-20553000,-9420000,16958000,573000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4177000,8616000,15804000,12102000,8851000,11472000,17099000,9257000,19289000,13488000,10730000,14334000,10607000,- -
77,Change in Working Capital,- -,- -,- -,- -,-11700000,- -,- -,- -,- -,222100000,7200000,33200000,176400000,-213600000,81200000,-47787000,-53814000,-141659000,12431000,206555000,-17212000,17960000,-13376000,-37804000,-40860000,185933000,99441000,-20647000,55588000,-26411000,-99976000,161290000,17514000,-127324000,-319638000,202216000,-308484000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58627000,-16057000,-66410000,-52484000,1190000,162000,-52332000,-15398000,-44672000,-43773000,38193000,59615000,17853000,- -
