,https://roic.ai/company/AUDC,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,- -,- -,0.0761,0.3530,0.3777,-0.3714,-0.5097,- -,0.0638,0.1229,0.0486,-0.0166,-0.4478,-0.0233,0.0689,0.0493,-0.0257,0.0207,0.0218,0.0225,0.0522,0.0615,0.0941,-0.0565,0.1660,0.1593
22,Income Tax expense (Gain),- -,- -,100000,355000,438000,- -,- -,- -,273000,799000,289000,1265000,505000,290000,-1885000,238000,541000,-1404000,3391000,2782000,-8644000,5610000,3094000,-15292000,9399000,5896000
23,Net Income,- -,- -,600000,10660000,26679000,-13273000,-13857000,-8434000,5006000,13436000,6877000,-3885000,-81340000,-2822000,12126000,7164000,-4177000,4218000,-86000,366000,16238000,4030000,13493000,3977000,27248000,33751000
24,Net Income ratio,- -,- -,0.0652,0.3416,0.3716,-0.3714,-0.5097,-0.1907,0.0605,0.1160,0.0467,-0.0246,-0.4655,-0.0224,0.0808,0.0460,-0.0328,0.0307,-0.0006,0.0026,0.1115,0.0257,0.0766,0.0199,0.1234,0.1356
25,EPS,- -,- -,0.03,0.35,0.68,-0.34,-0.36,-0.22,0.13,0.33,0.16,-0.09,-1.97,-0.05,0.30,0.17,-0.11,0.11,-0.00,0.01,0.46,0.13,0.47,0.14,0.87,1.07
26,EPS Diluted,- -,- -,0.03,0.30,0.62,-0.34,-0.36,-0.22,0.12,0.31,0.16,-0.09,-1.97,-0.05,0.30,0.17,-0.11,0.11,-0.00,0.01,0.45,0.13,0.45,0.13,0.83,1.03
27,Weighted Average Shares Outstanding,- -,- -,15308000,30397752,39273000,30398000,38491667,37509000,38507692,40715152,42981250,43166667,41200523,40208000,40560000,41438000,39125000,38241000,42286000,40178000,35174000,31104000,28928000,29252000,31440000,31440000
28,Weighted Average Shares Outstanding Diluted,- -,- -,15308000,36162754,43051000,36163000,38491667,37509000,41716667,43341935,42981250,43166667,41200523,40208000,40961000,41935000,39125000,39097000,42286000,40565000,35779000,32168000,30220000,30800000,32916000,32916000
29,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1086434/000117891306001199/0001178913-06-001199-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1086434/000118811208001951/0001188112-08-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000118811209001542/t65872_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420410035483/v189373_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420411013912/0001144204-11-013912-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420412022632/0001144204-12-022632-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420413021199/v335547_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420414017745/v370112_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420415018121/v403733_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420416090745/0001144204-16-090745-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420417015642/0001144204-17-015642-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420418016871/0001144204-18-016871-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420419014779/0001144204-19-014779-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000110465920024465/0001104659-20-024465-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000110465921007398/0001104659-21-007398-index.htm,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,2600000,60500000,9575000,50086000,47799000,48898000,166832000,70957000,25171000,75063000,36779000,38969000,50311000,42265000,15219000,30763000,14797000,18908000,24344000,24235000,31503000,64773000,40934000,79423000
32,Short-Term Investments,- -,- -,1400000,- -,- -,- -,- -,- -,- -,71792000,58080000,35309000,16481000,- -,13825000,15971000,7966000,15706000,543000,2480000,6778000,7087000,19602000,- -,449000,669000
33,Cash and Short-Term Investments,- -,- -,4000000,60500000,9575000,50086000,47799000,48898000,166832000,142749000,83251000,110372000,53260000,38969000,64136000,58236000,23185000,46469000,15340000,21388000,31122000,31322000,51105000,64773000,41383000,80092000
34,Net Receivables,- -,- -,2400000,6510000,13312000,4584000,6402000,10689000,19078000,22881000,33810000,32196000,32937000,21276000,29527000,35745000,30066000,30353000,37300000,30027000,28825000,26752000,28164000,33127000,43149000,58153000
35,Inventory,- -,- -,1200000,3565000,10714000,6536000,4677000,4667000,10059000,11562000,16093000,18736000,20623000,13516000,18043000,20415000,16797000,13811000,14736000,16778000,16333000,16563000,22620000,28275000,29193000,23988000
36,Other Current Assets,- -,- -,- -,57052000,135598000,79984000,63074000,- -,- -,- -,1282000,1001000,62842000,14955000,2287000,-13371000,11951000,11378000,10950000,5661000,3401000,2739000,12381000,6416000,89917000,5320000
37,Total Current Assets,- -,- -,7600000,127627000,169199000,141190000,121952000,64254000,195969000,177192000,134436000,162305000,169662000,88716000,113993000,101025000,81999000,102011000,78326000,73854000,79681000,77376000,114270000,132591000,203642000,167553000
38,PP&E,- -,- -,800000,1269000,3329000,5004000,5067000,4564000,6694000,6494000,7847000,7094000,6844000,4956000,3703000,3368000,3619000,3191000,3856000,4090000,3867000,3835000,3865000,34080000,30023000,20851000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,108853000,111212000,32095000,32095000,32095000,32095000,32095000,33749000,33749000,36222000,36222000,36222000,36222000,36222000,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,5333000,14262000,21958000,21853000,19007000,9084000,6847000,5310000,3985000,2857000,4252000,2996000,4024000,2832000,2000000,1253000,901000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,5333000,14262000,21958000,130706000,130219000,41179000,38942000,37405000,36080000,34952000,38001000,36745000,40246000,39054000,38222000,37475000,37123000,36791000,39930000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1245000,1510000,1317000,25074000,16846000,- -,58684000,50294000,29540000,20475000,- -,- -,54895000,89307000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2489000,2460000,1057000,1255000,1174000,2261000,2600000,3565000,4855000,872000,2216000,11607000,6685000,4350000,20466000,12081000,8812000
44,Other Non-Current Assets,- -,- -,300000,626000,1801000,2222000,3095000,54379000,55220000,84090000,61607000,43812000,10297000,12235000,15039000,24530000,25023000,26246000,21901000,19120000,23227000,24345000,19412000,20064000,20691000,22818000
45,Total Non-Current Assets,- -,- -,1100000,1895000,5130000,7226000,8162000,64276000,76176000,115031000,202620000,182182000,60820000,58817000,59725000,91652000,84005000,72293000,122058000,115966000,107295000,93562000,65102000,111733000,154481000,181718000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,8700000,129522000,174329000,148416000,130114000,128530000,272145000,292223000,337056000,344487000,230482000,147533000,173718000,192677000,166004000,174304000,200384000,189820000,186976000,170938000,179372000,244324000,358123000,349271000
48,Accounts Payable,- -,- -,1100000,1669000,7923000,1634000,2402000,4197000,6541000,7774000,7522000,8849000,11661000,8609000,13519000,12362000,6817000,7215000,10111000,7304000,7710000,5639000,6188000,6628000,6984000,7863000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77374000,6000000,6000000,10243000,8436000,5039000,4686000,5338000,3451000,2519000,2487000,11052000,10378000,8139000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1430000,300000,1753000,1594000,- -,- -,3769000,5235000,5086000,6940000,10233000,12885000,14951000,16417000,23727000,33538000,37182000,41591000
52,Other Current Liabilities,- -,- -,2000000,6586000,15157000,13314000,11180000,13825000,16551000,18320000,27707000,27186000,24189000,19550000,24168000,18102000,15062000,17958000,15758000,17951000,18618000,20786000,22541000,35442000,40215000,38350000
53,Total Current Liabilities,- -,- -,3100000,8255000,23080000,14948000,13582000,18022000,24522000,26394000,36982000,37629000,113224000,34159000,47456000,45942000,35401000,37152000,40788000,43478000,44730000,45361000,54943000,86660000,94759000,95943000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,120660000,120836000,121015000,121198000,21750000,16153000,10103000,23265000,14830000,9791000,5105000,6032000,8493000,6237000,3687000,1200000,- -,11391000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000,1345000,1192000,2707000,2862000,6480000,6153000,5731000,7466000,9831000,12243000,13544000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6459000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,500000,942000,1529000,2213000,2848000,3990000,4978000,5887000,7915000,11168000,12174000,13336000,16859000,16106000,16284000,19845000,17908000,16377000,18941000,21228000,18728000,54159000,41266000,22895000
58,Total Non-Current Liabilities,- -,- -,500000,942000,1529000,2213000,2848000,3990000,125638000,126723000,135389000,132366000,33924000,29489000,27082000,40716000,32306000,32343000,25875000,28889000,33587000,33196000,29881000,65190000,53509000,47830000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31676000,28614000,19530000
61,Total Liabilities,- -,- -,3600000,9197000,24609000,17161000,16430000,22012000,150160000,153117000,172371000,169995000,147148000,63648000,74538000,86658000,67707000,69495000,66663000,72367000,78317000,78557000,84824000,151850000,148268000,143773000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,58000,118000,120000,120000,121000,126000,128000,131000,133000,125000,125000,128000,119000,112000,114000,125000,112000,101000,93000,92000,94000,- -,- -
64,Retained Earnings,- -,- -,-200000,10413000,37092000,23819000,9962000,1228000,6234000,19670000,26547000,22662000,-58678000,-80116000,-67990000,-60826000,-65003000,-60785000,-60871000,-60505000,-44398000,-40368000,-32456000,-35199000,- -,- -
65,Other Comprehensive Income/Loss,- -,- -,-500000,-891000,-1799000,-3371000,72000,-29000,245000,12000,122000,1047000,-912000,98000,822000,-240000,1303000,- -,-261000,-137000,-203000,-44000,-276000,- -,1772000,- -
66,Other Total Stockholders Equity,- -,- -,5800000,110745000,114309000,110687000,103530000,105198000,115380000,119296000,137885000,150650000,142799000,164022000,166220000,166966000,161885000,165480000,194728000,177983000,153159000,132700000,127188000,127579000,209855000,- -
67,Total Stockholders Equity,- -,- -,5100000,120325000,149720000,131255000,113684000,106518000,121985000,139106000,164685000,174492000,83334000,84129000,99180000,106019000,98297000,104809000,133721000,117453000,108659000,92381000,94548000,92474000,209855000,205498000
68,Total Liabilities And Stockholders Equity,- -,- -,8700000,129522000,174329000,148416000,130114000,128530000,272145000,292223000,337056000,344487000,230482000,147777000,173718000,192677000,166004000,174304000,200384000,189820000,186976000,170938000,179372000,244324000,358123000,349271000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-244000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,8700000,129522000,174329000,148416000,130114000,128530000,272145000,292223000,337056000,344487000,230482000,147533000,173718000,192677000,166004000,174304000,200384000,189820000,186976000,170938000,179372000,244324000,358123000,349271000
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1086434/000117891306001199/0001178913-06-001199-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1086434/000118811208001951/0001188112-08-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000118811209001542/t65872_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420410035483/v189373_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420411013912/0001144204-11-013912-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420412022632/0001144204-12-022632-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420413021199/v335547_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420414017745/v370112_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420415018121/v403733_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420416090745/0001144204-16-090745-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420417015642/0001144204-17-015642-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420418016871/0001144204-18-016871-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420419014779/0001144204-19-014779-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000110465920024465/0001104659-20-024465-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000110465921007398/0001104659-21-007398-index.htm,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,600000,10660000,26679000,-13273000,-13857000,-8434000,5006000,13436000,6877000,-3885000,-81340000,-2822000,12126000,7164000,-4177000,4218000,-86000,366000,16238000,4030000,13493000,3977000,27248000,33751000
74,Depreciation and Amortization,- -,- -,300000,403000,1117000,1935000,2234000,3090000,3073000,3746000,5967000,8031000,7553000,5221000,4359000,3239000,2883000,3207000,3230000,2963000,2892000,2438000,2309000,2044000,2268000,2432000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1001000,2390000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4341000,1991000,1370000,2323000,1529000,1701000,2546000,2373000,2414000,2307000,3287000,5292000,8771000,14164000
77,Change in Working Capital,- -,- -,-600000,-1221000,878000,5233000,52000,-1534000,-5285000,-4559000,-14851000,-2695000,-1882000,14050000,-1555000,-14704000,1971000,4519000,-705000,10698000,-4289000,8017000,6170000,11637000,17000,-4592000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4602000,6510000,-2254000,-4625000,5575000,174000,3389000,-220000,-5222000,-7017000,-14438000
79,Inventory,- -,- -,-1000000,-2326000,-7149000,4178000,1859000,10000,-3712000,-1503000,-1954000,-2643000,-1840000,7107000,-4527000,-4136000,3618000,2986000,-925000,-2013000,445000,-230000,-6309000,-5925000,-1525000,4504000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2728000,-3052000,4910000,-1157000,-5545000,403000,2896000,-2987000,406000,-2071000,549000,440000,356000,879000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,98000,-12000,- -,356000,-169000,-776000,-319000,1796000,315000,697000,6312000,5952000,-5450000,6531000,11725000,3237000,22438000,8886000
82,Other Non-Cash Items,- -,- -,200000,524000,12000,863000,-89000,449000,659000,693000,9638000,8545000,87739000,2534000,102000,693000,790000,443000,972000,1163000,1087000,973000,321000,219000,172000,1589000
83,Cash Provided by Operating Activities,- -,- -,500000,10366000,28686000,-5242000,-11660000,-6429000,3453000,13316000,6630000,12386000,16411000,20974000,16402000,-1285000,2996000,14088000,5957000,17563000,18342000,17765000,25580000,23169000,38476000,47344000
84,CAPEX,- -,- -,-500000,-905000,-3036000,-3247000,-2136000,-1997000,-4251000,-2393000,-3067000,-2629000,-3158000,-1271000,-1569000,-1579000,-2006000,-1586000,-2639000,-1976000,-1477000,-1574000,-1340000,-1949000,-1530000,-1174000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-4373000,-11184000,-10000000,-96356000,-4897000,-5000000,- -,- -,- -,- -,-1211000,- -,-1960000,- -,- -,- -,- -,- -,-2804000
86,Purchases of Investments,- -,- -,-2100000,-11000,- -,- -,- -,- -,- -,-113029000,-23453000,-29065000,-118989000,-49659000,-57879000,-24613000,- -,- -,-60286000,- -,-2367000,- -,-9636000,-10025000,-138977000,-43808000
87,Sales/Maturities of Investments,- -,- -,3700000,376000,- -,- -,- -,- -,- -,13969000,61279000,60300000,17000000,16000000,- -,- -,- -,10223000,18075000,6300000,15644000,9316000,9884000,29412000,1199000,90408000
88,Other Investing Activites,- -,- -,- -,-55982000,-79100000,54555000,15456000,12453000,-512000,-1572000,- -,8997000,90142000,95203000,57956000,-9303000,3364000,1229000,1471000,1969000,2260000,662000,- -,12162000,- -,- -
89,Cash Used for Investing Activites,- -,- -,1100000,-56522000,-82136000,51308000,13320000,6083000,-15947000,-113025000,-61597000,32706000,-20005000,60273000,-1492000,-35495000,1358000,8655000,-43379000,4333000,14060000,8404000,-1092000,29600000,-139308000,42622000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-52490000,-6000000,-6000000,-6600000,-10242000,-8436000,-5024000,-4685000,-5353000,-3504000,-2508000,-2470000,-2497000,-1200000
91,Common Stock Issued,- -,- -,- -,104075000,2525000,846000,757000,1660000,10187000,3918000,9181000,4800000,1547000,90000,- -,- -,- -,- -,29744000,- -,- -,- -,- -,- -,85426000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-6401000,-4704000,-215000,- -,- -,- -,- -,-13747000,- -,- -,-3812000,-6917000,- -,-5267000,-19523000,-29394000,-25563000,-14321000,-8002000,- -,-41849000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5761000,-6720000,-8442000,-10865000
94,Other Financing Activites,- -,- -,- -,- -,- -,- -,- -,- -,120241000,-84000,- -,- -,30000000,-73147000,2432000,25138000,-233000,1237000,2003000,6423000,7781000,2789000,5370000,2693000,2606000,2437000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,104075000,2525000,-5555000,-3947000,1445000,130428000,3834000,9181000,4800000,-34690000,-79057000,-3568000,14726000,-17392000,-7199000,21456000,-17785000,-26966000,-26278000,-17220000,-14499000,77093000,-51477000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,1600000,57919000,-50925000,40511000,-2287000,1099000,117934000,-95875000,-45786000,49892000,-38284000,2190000,11342000,-22054000,-13038000,15544000,-15966000,4111000,5436000,-109000,7268000,38270000,-23739000,38489000
98,Cash at the End of Period,- -,- -,2600000,60500000,9575000,50086000,47799000,48898000,166832000,70957000,25171000,75063000,36779000,38969000,50311000,28257000,15219000,30763000,14797000,18908000,24344000,24235000,31503000,69773000,46034000,84523000
99,Cash at the Beginning of Period,- -,- -,1000000,2581000,60500000,9575000,50086000,47799000,48898000,166832000,70957000,25171000,75063000,36779000,38969000,50311000,28257000,15219000,30763000,14797000,18908000,24344000,24235000,31503000,69773000,46034000
100,Free Cash Flow,- -,- -,- -,9461000,25650000,-8489000,-13796000,-8426000,-798000,10923000,3563000,9757000,13253000,19703000,14833000,-2864000,990000,12502000,3318000,15587000,16865000,16191000,24240000,21220000,36946000,46170000
101,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1086434/000117891306001199/0001178913-06-001199-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1086434/000118811208001951/0001188112-08-001951-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000118811209001542/t65872_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420410035483/v189373_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420411013912/0001144204-11-013912-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420412022632/0001144204-12-022632-index.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420413021199/v335547_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420414017745/v370112_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420415018121/v403733_20f.htm,https://www.sec.gov/Archives/edgar/data/1086434/000114420416090745/0001144204-16-090745-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420417015642/0001144204-17-015642-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420418016871/0001144204-18-016871-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000114420419014779/0001144204-19-014779-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000110465920024465/0001104659-20-024465-index.html,https://www.sec.gov/Archives/edgar/data/1086434/000110465921007398/0001104659-21-007398-index.htm,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
