,https://roic.ai/company/PKI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,15100000,16400000,21200000,24600000,25500000,29900000,33700000,36300000,37800000,- -,39400000,40900000,44600000,- -,50400000,87715000,84259000,96111000,89781000,- -,84340000,69476000,80832000,88307000,- -,91843000,89163000,126865000,128471000,116736000,- -,112007000,105000000,180588000,214025000,- -,246507000
15,EBITDA,103700000,88700000,102200000,122000000,125300000,137100000,154000000,157400000,139200000,- -,139200000,127000000,101700000,- -,206400000,236657000,153538000,-60204000,139910000,- -,177469000,221471000,229987000,235923000,- -,232532000,515016000,224698000,331003000,319243000,- -,393756000,581401000,505699000,514599000,- -,1202372000
16,EBITDA ratio,0.0898,0.0775,0.0827,0.0868,0.0759,0.0554,0.0573,0.0564,0.0516,- -,0.0981,0.0890,0.0696,- -,0.1466,0.1396,0.1154,-0.0400,0.0911,- -,0.1052,0.1432,0.1287,0.1218,- -,0.1283,0.3022,0.1062,0.1528,0.1427,- -,0.1871,0.2576,0.1820,0.1785,- -,0.3179
17,Operating Income,82000000,60200000,79300000,98100000,98400000,107700000,125200000,123200000,120800000,- -,82700000,87700000,87800000,- -,93900000,184029000,37329000,24318000,137271000,- -,177070000,153402000,168166000,192970000,- -,147613000,153601000,98543000,217442000,210742000,- -,286134000,304803000,323884000,361973000,- -,978581000
18,Operating Income ratio,0.0710,0.0526,0.0642,0.0698,0.0596,0.0435,0.0466,0.0442,0.0448,- -,0.0583,0.0614,0.0601,- -,0.0667,0.1086,0.0281,0.0162,0.0894,- -,0.1049,0.0992,0.0941,0.0996,- -,0.0815,0.0901,0.0466,0.1004,0.0942,- -,0.1359,0.1350,0.1166,0.1255,- -,0.2587
19,Total Other Income Expenses (Gains),6600000,12100000,1700000,-700000,1400000,-500000,-4900000,-2100000,1100000,- -,3400000,-7300000,-33800000,- -,62100000,-39540000,-3175000,-32918000,-56371000,- -,-40370000,-2666000,-16866000,-45570000,- -,-16913000,8399000,-47943000,-64142000,-41142000,- -,-77327000,-8085000,-66201000,-124831000,- -,-72217000
20,Income Before Tax,88600000,72300000,81000000,97400000,99800000,107200000,120300000,121100000,121900000,- -,86100000,80400000,54000000,- -,156000000,144489000,34154000,-8600000,80900000,- -,136700000,150736000,151300000,147400000,- -,130700000,162000000,50600000,153300000,169600000,- -,208807000,296718000,257683000,237142000,- -,906364000
21,Income Before Tax Ratio,0.0767,0.0631,0.0655,0.0693,0.0605,0.0433,0.0447,0.0434,0.0452,- -,0.0607,0.0563,0.0370,- -,0.1108,0.0852,0.0257,-0.0057,0.0527,- -,0.0810,0.0975,0.0847,0.0761,- -,0.0721,0.0951,0.0239,0.0708,0.0758,- -,0.0992,0.1315,0.0928,0.0822,- -,0.2396
22,Income Tax expense (Gain),32900000,27400000,25500000,28700000,29900000,33200000,39100000,33300000,42300000,- -,31800000,25900000,23400000,- -,54000000,58422000,34774000,-4415000,-2871000,- -,-2871000,32412000,17455000,21216000,- -,37933000,26062000,-17854000,-14592000,8437000,- -,31327000,139828000,20208000,9389000,- -,178266000
23,Net Income,55700000,44900000,55500000,68700000,69900000,74000000,81200000,87800000,59100000,- -,68000000,60200000,33700000,- -,102000000,90520000,34505000,-151900000,53000000,- -,96000000,119583000,131700000,126400000,- -,85600000,383900000,69900000,167200000,157800000,- -,212425000,292633000,237927000,227558000,- -,727887000
24,Net Income ratio,0.0482,0.0392,0.0449,0.0489,0.0424,0.0299,0.0302,0.0315,0.0219,- -,0.0479,0.0422,0.0231,- -,0.0724,0.0534,0.0259,-0.1009,0.0345,- -,0.0569,0.0773,0.0737,0.0652,- -,0.0472,0.2253,0.0330,0.0772,0.0705,- -,0.1009,0.1297,0.0856,0.0789,- -,0.1924
25,EPS,0.52,0.41,0.50,0.57,0.60,0.65,0.73,0.78,0.53,- -,0.66,0.64,0.37,- -,1.13,0.92,0.33,-1.21,0.42,- -,0.75,0.96,1.11,1.07,- -,0.73,3.25,0.61,1.46,1.40,- -,1.90,2.65,2.15,2.05,- -,6.50
26,EPS Diluted,0.52,0.41,0.50,0.57,0.60,0.65,0.73,0.78,0.53,- -,0.66,0.64,0.37,- -,1.11,0.89,0.33,-1.21,0.41,- -,0.74,0.95,1.09,1.07,- -,0.73,3.25,0.61,1.45,1.39,- -,1.87,2.64,2.13,2.04,- -,6.49
27,Weighted Average Shares Outstanding,107115385,108192771,111000000,119478261,116500000,113846154,111232877,112564103,112571429,- -,103030303,94803150,90810811,- -,90666667,98391304,104560606,125568595,126092857,- -,128057333,124565625,118636036,117659000,- -,116227000,115715000,115036000,112626000,112481000,- -,112034000,110361000,110597000,111140000,- -,112090000
28,Weighted Average Shares Outstanding Diluted,107115385,108192771,111000000,119478261,116500000,113846154,111232877,112564103,112571429,- -,105977011,94803150,91428571,- -,91891892,102282486,104560606,125568595,129168293,- -,129787838,125876842,120812844,118687000,- -,116590000,117982000,115036000,113503000,113739000,- -,113315000,110859000,111534000,111501000,- -,112090000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179196000004/0000031791-96-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/31791/000095013598001768/0000950135-98-001768-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/31791/000095013502001706/0000950135-02-001706-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000095013503001805/0000950135-03-001805-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000095013504001251/0000950135-04-001251-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000119312505048036/0001193125-05-048036-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312507044201/0001193125-07-044201-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312508041972/0001193125-08-041972-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312509039117/0001193125-09-039117-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000119312510044544/0001193125-10-044544-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/0001193125-11-051468-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000144530513000333/0001445305-13-000333-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000144530514000585/0001445305-14-000585-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179115000003/0000031791-15-000003-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179116000014/0000031791-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179118000004/0000031791-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179119000003/0000031791-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179120000003/0000031791-20-000003-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179121000003/0000031791-21-000003-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76200000,47800000,57900000,- -,95600000,125551000,138250000,130600000,191500000,- -,197500000,191059000,203300000,179100000,- -,179700000,420100000,171400000,173200000,174800000,- -,237932000,202134000,163111000,191877000,- -,402036000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14298000,10874000,- -,10479000,- -,5919000,3459000,- -,2287000,1350000,1149000,1319000,1568000,- -,1586000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76200000,47800000,57900000,- -,95600000,125551000,138250000,144898000,202374000,- -,207979000,191059000,209219000,182559000,- -,181987000,421450000,172549000,174519000,176368000,- -,239518000,202134000,163111000,191877000,- -,402036000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211900000,222900000,244000000,- -,230000000,359068000,297362000,304600000,288600000,- -,287300000,268459000,337700000,327600000,- -,365600000,356800000,457000000,470000000,470600000,- -,415064000,552304000,632669000,725184000,- -,1155109000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,114200000,119600000,112900000,- -,128300000,230766000,242471000,205500000,190900000,- -,193600000,183260000,202400000,198000000,- -,215100000,207300000,247700000,261000000,285500000,- -,259486000,351675000,338347000,356937000,- -,514567000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66400000,64400000,73400000,- -,111500000,177676000,319356000,336302000,84426000,- -,58721000,101988000,93581000,122541000,- -,121113000,99450000,94551000,139281000,136132000,- -,119093000,93842000,100507000,100381000,- -,167208000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,468700000,454700000,488200000,- -,565400000,893061000,997439000,991300000,766300000,- -,747600000,744766000,842900000,830700000,- -,883800000,1085000000,971800000,1044800000,1068600000,- -,1033161000,1199955000,1234634000,1374379000,- -,2238920000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,147500000,192100000,181100000,- -,221800000,274760000,261532000,304000000,268200000,- -,235900000,182196000,200900000,204400000,- -,203400000,161800000,210500000,185400000,176200000,- -,137564000,298066000,318590000,485499000,- -,575540000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,962300000,1034900000,- -,1073900000,1117724000,1355700000,1396300000,- -,1468300000,1504800000,2122800000,2143100000,2284100000,- -,2236863000,3002198000,2952608000,3111227000,- -,3447114000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123400000,110400000,79300000,- -,317700000,951441000,1530608000,477500000,424800000,- -,397400000,404021000,479200000,452500000,- -,459100000,424200000,529900000,460400000,490300000,- -,485637000,1346940000,1199667000,1283286000,- -,1365693000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123400000,110400000,79300000,- -,317700000,951441000,1530608000,1439800000,1459700000,- -,1471300000,1521745000,1834900000,1848800000,- -,1927400000,1929000000,2652700000,2603500000,2774400000,- -,2722500000,4349138000,4152275000,4394513000,- -,4812807000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16700000,- -,16700000,- -,- -,14300000,10900000,- -,10500000,- -,5900000,3500000,- -,2287000,1350000,1149000,1319000,1568000,- -,1586000,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32400000,45300000,30300000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64300000,65700000,66800000,- -,63300000,140917000,129550000,86800000,102600000,- -,110200000,61615000,64700000,44400000,- -,47313000,32250000,33251000,66381000,83032000,- -,271484000,244304000,270023000,284173000,- -,333048000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,335200000,368200000,343900000,- -,619500000,1367118000,1921690000,1844900000,1841400000,- -,1827900000,1765556000,2106400000,2101100000,- -,2180400000,2124400000,2930000000,2901900000,3065500000,- -,3133134000,4891508000,4740888000,5164185000,- -,5721395000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803900000,822900000,832100000,- -,1184900000,2260179000,2919129000,2836200000,2607700000,- -,2575500000,2510322000,2949300000,2931800000,- -,3064200000,3209400000,3901800000,3946700000,4134100000,- -,4166295000,6091463000,5975522000,6538564000,- -,7960315000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72800000,75700000,73400000,- -,81800000,151805000,143357000,146300000,154700000,- -,146600000,152836000,186400000,169400000,- -,158700000,161000000,168900000,167200000,174000000,- -,140980000,222093000,220949000,235855000,- -,327325000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5300000,21500000,46200000,- -,157900000,186206000,125741000,191500000,5200000,- -,9700000,1153000,600000,40000,- -,100000,2300000,1772000,- -,- -,- -,- -,217306000,- -,- -,- -,380948000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159923000,- -,- -,- -,393645000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172400000,162600000,166000000,- -,284400000,379588000,439112000,359900000,292100000,- -,289700000,322544000,360600000,346760000,- -,337300000,351900000,410428000,435600000,423300000,- -,420505000,351580000,550682000,526977000,- -,550271000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,250500000,259800000,285600000,- -,524100000,717599000,708210000,697700000,452000000,- -,446000000,476533000,547600000,516200000,- -,496100000,515200000,581100000,602800000,597300000,- -,561485000,950902000,771631000,762832000,- -,1652189000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115200000,115100000,114900000,- -,129800000,583337000,598125000,614100000,544300000,- -,364900000,151781000,516100000,509000000,- -,558200000,424000000,938800000,932100000,1051900000,- -,1011762000,1788803000,1876624000,2064041000,- -,1609701000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,71300000,82900000,103200000,- -,131400000,230854000,249237000,272100000,262400000,- -,304500000,304278000,310400000,338600000,- -,381000000,344400000,442100000,417300000,442800000,- -,482607000,848570000,742312000,897867000,- -,962933000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186500000,198000000,218100000,- -,261200000,814191000,847362000,886200000,806700000,- -,669400000,456059000,826500000,847600000,- -,939200000,768400000,1380900000,1349400000,1494700000,- -,1494369000,2637373000,2618936000,2961908000,- -,2572634000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1532000,146399000,- -,228732000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,437000000,457800000,503700000,- -,785300000,1531790000,1555572000,1583900000,1258700000,- -,1115400000,932592000,1374100000,1363800000,- -,1435300000,1283600000,1962000000,1952200000,2092000000,- -,2055854000,3588275000,3390567000,3724740000,- -,4224823000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60100000,- -,60100000,61454000,145101000,145100000,145100000,- -,129100000,123255000,117600000,117100000,- -,117000000,115700000,115000000,112600000,112500000,- -,112034000,110361000,110597000,111140000,- -,112090000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,498200000,532000000,540400000,- -,623600000,835917000,842004000,655100000,672600000,- -,732900000,1040190000,1142100000,1235500000,- -,1288600000,1639600000,1548600000,1684400000,1810500000,- -,1991431000,2380517000,2602067000,2811973000,- -,3507262000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-270000000,-288800000,-3900000,- -,7400000,-275280000,-166239000,-75600000,54800000,- -,5000000,7000000,58000000,-31000000,- -,51000000,54000000,67000000,78000000,25000000,- -,-101000000,-47000000,-176000000,-200000000,- -,-31961000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138700000,121900000,- -,- -,- -,106298000,542691000,527744000,476550000,- -,593085000,407285000,257577000,246343000,- -,172357000,116518000,209212000,119487000,94102000,- -,107976000,59310000,48291000,90711000,- -,148101000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,366900000,365100000,328400000,- -,399700000,728389000,1363557000,1252344000,1349050000,- -,1460085000,1577730000,1575277000,1567943000,- -,1628957000,1925818000,1939812000,1994487000,2042102000,- -,2110441000,2503188000,2584955000,2813824000,- -,3735492000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803900000,822900000,832100000,- -,1185000000,2260179000,2919129000,2836244000,2607750000,- -,2575485000,2510322000,2949377000,2931743000,- -,3064257000,3209418000,3901812000,3946687000,4134102000,- -,4166295000,6091463000,5975522000,6538564000,- -,7960315000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,- -,- -,-44000,-50000,- -,15000,- -,-77000,57000,- -,-57000,-18000,-12000,13000,-2000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,803900000,822900000,832100000,- -,1184900000,2260179000,2919129000,2836200000,2607700000,- -,2575500000,2510322000,2949300000,2931800000,- -,3064200000,3209400000,3901800000,3946700000,4134100000,- -,4166295000,6091463000,5975522000,6538564000,- -,7960315000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179196000004/0000031791-96-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/31791/000095013598001768/0000950135-98-001768-index.html,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/31791/000095013502001706/0000950135-02-001706-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000095013503001805/0000950135-03-001805-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000095013504001251/0000950135-04-001251-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000119312505048036/0001193125-05-048036-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312507044201/0001193125-07-044201-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312508041972/0001193125-08-041972-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312509039117/0001193125-09-039117-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000119312510044544/0001193125-10-044544-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000119312511051468/0001193125-11-051468-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000144530513000333/0001445305-13-000333-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000144530514000585/0001445305-14-000585-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179115000003/0000031791-15-000003-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179116000014/0000031791-16-000014-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179118000004/0000031791-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179119000003/0000031791-19-000003-index.htm,https://www.sec.gov/Archives/edgar/data/31791/000003179120000003/0000031791-20-000003-index.htm,undefined,https://www.sec.gov/Archives/edgar/data/31791/000003179121000003/0000031791-21-000003-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,69900000,74000000,81200000,87800000,59100000,- -,68000000,60200000,33700000,- -,102000000,90520000,34505000,-151900000,53000000,- -,96000000,119583000,131700000,126400000,- -,85600000,383900000,69900000,167200000,157800000,- -,212425000,292633000,237927000,227558000,- -,727887000
74,Depreciation and Amortization,- -,- -,- -,- -,25500000,29900000,33700000,36300000,37800000,- -,39400000,40900000,44600000,- -,50400000,87715000,84259000,96111000,89781000,- -,84340000,69476000,80832000,88307000,- -,91843000,89163000,126865000,128471000,116736000,- -,112007000,105000000,180588000,214025000,- -,246507000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11300000,- -,- -,-35369000,-11842000,- -,21932000,-10007000,-21821000,-12074000,- -,27723000,-25476000,-64169000,-64362000,-40956000,- -,-11913000,29036000,-51774000,-61777000,- -,-24603000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14830000,12416000,21031000,14053000,14464000,- -,17719000,25421000,28767000,31514000,- -,29126000
77,Change in Working Capital,- -,- -,- -,- -,-36100000,- -,- -,- -,- -,- -,18500000,-23300000,7700000,- -,-161300000,212862000,113767000,4371000,20700000,- -,-12700000,-236167000,27067000,19200000,- -,73200000,182100000,128600000,51300000,29300000,- -,376000,-337523000,213950000,148544000,- -,-24816000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-28142000,-38103000,-44626000,-14440000,-16989000,- -,6760000,-36633000,-94512000,-100630000,- -,-373895000
79,Inventory,- -,- -,- -,- -,-5100000,3900000,-2100000,11200000,-2000000,- -,12100000,-6700000,700000,- -,1400000,-23380000,-39504000,48231000,28163000,- -,1853000,-11067000,341000,-10390000,- -,-5810000,-22630000,-8213000,-13851000,-24642000,- -,-28700000,-17923000,-30183000,-9607000,- -,-122513000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-14119000,27789000,-7876000,-1800000,8103000,- -,-16082000,34331000,8900000,7351000,- -,62753000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,218200000,194900000,202600000,- -,41300000,175462000,289229000,293600000,314300000,- -,301600000,268233000,295300000,314500000,- -,387700000,569800000,390700000,442000000,471300000,- -,471676000,249053000,463003000,611547000,- -,586731000
82,Other Non-Cash Items,- -,- -,- -,- -,-6900000,25300000,-10500000,3700000,15200000,- -,24300000,2400000,-51200000,- -,67200000,-245549000,-109232000,188291000,15836000,- -,11185000,184555000,-12651000,-3989000,- -,-144474000,-477850000,-130057000,-138071000,4253000,- -,-43516000,173886000,-298420000,-196395000,- -,-61924000
