,https://roic.ai/company/CGNX,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.3270,0.4237,0.4444,0.2937,0.3687,0.3728,0.3598,0.3559,0.3754,0.2241,0.2814,0.3997,-0.1114,-0.0719,0.1549,0.2556,0.2225,0.2110,0.1554,0.1457,-0.0590,0.2618,0.2706,0.2671,0.2483,0.3031,0.2818,0.3241,0.3569,0.2909,0.2246,0.2305,0.3075
22,Income Tax expense (Gain),1500000,3500000,4500000,2300000,4900000,7200000,14600000,13300000,17800000,7100000,12400000,32070000,-4544000,-2177000,7297000,15416000,12544000,10445000,8186000,4869000,-5507000,14722000,17248000,18532000,14313000,25912000,19298000,18968000,89744000,15307000,-40871000,10725000,39019000
23,Net Income,3700000,6500000,9500000,6100000,11100000,16100000,23000000,30400000,40500000,20200000,30400000,68148000,-11127000,-6027000,15951000,37744000,35702000,39855000,26899000,27275000,-4869000,61381000,69869000,68098000,73573000,121485000,187074000,149572000,177178000,219267000,203865000,176186000,279881000
24,Net Income ratio,0.2327,0.2754,0.3016,0.2133,0.2558,0.2576,0.2201,0.2476,0.2608,0.1658,0.1999,0.2718,-0.0791,-0.0528,0.1063,0.1815,0.1646,0.1672,0.1192,0.1124,-0.0277,0.2112,0.2170,0.2100,0.2079,0.2498,0.4152,0.2872,0.2369,0.2719,0.2810,0.2172,0.2699
25,EPS,0.03,0.05,0.07,0.04,0.08,0.11,0.14,0.17,0.24,0.12,0.18,0.40,-0.06,-0.04,0.09,0.21,0.19,0.22,0.15,0.17,-0.03,0.39,0.42,0.40,0.42,0.70,1.08,0.88,1.02,1.27,1.19,1.02,1.59
26,EPS Diluted,0.03,0.05,0.07,0.04,0.08,0.11,0.14,0.17,0.23,0.12,0.17,0.37,-0.06,-0.04,0.09,0.20,0.18,0.21,0.15,0.17,-0.03,0.38,0.41,0.39,0.41,0.68,1.06,0.86,0.99,1.24,1.16,1.00,1.56
27,Weighted Average Shares Outstanding,113846154,136842105,140740741,135555556,134545455,148600000,167808000,175256000,165288000,163912000,163728000,172172000,174556000,174012000,172692000,181920000,186836000,182236000,174900000,165748000,158632000,159696000,167436000,171332000,173892000,173716000,172592000,170676000,173287000,172333000,171194000,173489000,176463000
28,Weighted Average Shares Outstanding Diluted,123333333,136842105,140740741,135555556,143225806,148600000,170432000,175256000,178808000,172812000,175944000,182792000,174556000,174012000,177864000,189432000,191740000,186592000,176252000,166216000,158636000,161188000,171048000,174560000,177802000,178142000,175982000,174144000,179551000,177406000,175269000,176592000,179916000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851205/000095013596001529/0000950135-96-001529-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851205/000095013507001256/b63634cce10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000095013508001020/b68104cce10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000095013509001024/0000950135-09-001024-index.html,https://www.sec.gov/Archives/edgar/data/851205/000095012310011521/0000950123-10-011521-index.html,https://www.sec.gov/Archives/edgar/data/851205/000095012311011782/b83539e10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000119312512049244/0001193125-12-049244-index.html,https://www.sec.gov/Archives/edgar/data/851205/000119312513048665/0001193125-13-048665-index.html,https://www.sec.gov/Archives/edgar/data/851205/000119312514051054/d632893d10k.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120515000003/cgnx-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120516000027/0000851205-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120517000003/0000851205-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120518000004/0000851205-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120519000003/0000851205-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120520000002/0000851205-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120521000005/0000851205-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120522000008/0000851205-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6000000,4100000,13400000,14400000,21800000,56300000,23900000,48400000,38200000,27800000,48700000,42925000,31660000,60864000,76227000,54270000,72856000,87361000,104144000,127138000,119831000,33203000,38103000,45160000,40644000,55694000,51975000,79641000,106582000,108212000,171431000,269073000,186161000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62900000,85429000,78513000,75769000,56406000,180409000,169156000,128319000,113179000,52559000,55563000,147823000,144431000,105105000,184822000,90456000,296468000,341194000,297961000,427348000,240470000,103240000,137455000
33,Cash and Short-Term Investments,6000000,4100000,13400000,14400000,21800000,56300000,23900000,48400000,38200000,27800000,111600000,128354000,110173000,136633000,132633000,234679000,242012000,215680000,217323000,179697000,175394000,181026000,182534000,150265000,225466000,146150000,348443000,420835000,404543000,535560000,411901000,372313000,323616000
34,Net Receivables,1700000,2700000,4200000,3500000,7400000,9200000,24300000,22200000,28800000,25900000,29400000,47031000,17064000,18981000,26697000,33816000,42051000,40055000,38923000,30510000,30964000,45901000,48206000,42387000,53015000,50938000,42846000,57655000,126842000,127484000,108229000,131328000,134338000
35,Inventory,900000,900000,1100000,1600000,3000000,4400000,12600000,7000000,7800000,10800000,10900000,27664000,23078000,18952000,15519000,20091000,18819000,30583000,27459000,25063000,16832000,22717000,28098000,26182000,25694000,35536000,37334000,26984000,67923000,83282000,60261000,60830000,113102000
36,Other Current Assets,8300000,17500000,20700000,25500000,25200000,27800000,75000000,91800000,149200000,142800000,116900000,16691000,22257000,19225000,22749000,24375000,23771000,26763000,23974000,29154000,26164000,29361000,26508000,20763000,27876000,31982000,22975000,20870000,30800000,34000000,26840000,37220000,68742000
37,Total Current Assets,16900000,25200000,39400000,45000000,57400000,97700000,135800000,169400000,224000000,207300000,268800000,219740000,172572000,193791000,197598000,312961000,326653000,313081000,307679000,264424000,249354000,279005000,285346000,239597000,332051000,264606000,451598000,526344000,630108000,780326000,607231000,601691000,639798000
38,PP&E,1100000,1700000,2000000,2600000,3100000,14500000,22100000,28300000,33000000,34300000,31600000,34012000,31213000,27405000,24980000,23995000,24175000,26028000,26680000,27764000,28576000,29596000,31744000,34820000,37136000,47907000,53285000,53992000,78048000,91396000,106965000,101755000,100703000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7222000,- -,- -,83318000,86461000,80765000,82604000,82204000,82029000,81689000,81689000,81689000,81448000,95280000,113208000,113208000,243445000,244078000,241713000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4661000,8582000,14539000,129856000,44988000,39724000,31278000,28337000,23130000,18910000,14770000,14723000,10699000,6315000,8312000,13189000,10113000,39490000,15555000,11888000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4661000,15804000,14539000,129856000,128306000,126185000,112043000,110941000,105334000,100939000,96459000,96412000,92388000,87763000,103592000,126397000,123321000,282935000,259633000,253601000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000000,51000000,51000000,41389000,26633000,102055000,174906000,238255000,229655000,400845000,273088000,324335000,423441000,262039000,433452000,395125000,583748000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12001000,16608000,19428000,21516000,10227000,9002000,19750000,17673000,14643000,15555000,15919000,15647000,12307000,14452000,19413000,28022000,27385000,28660000,449519000,434704000,418570000
44,Other Non-Current Assets,200000,900000,300000,400000,300000,600000,4300000,3600000,4800000,6300000,14400000,182389000,191118000,143038000,174723000,160297000,3651000,1234000,8252000,10754000,9722000,1559000,3027000,2827000,2138000,1536000,2609000,2319000,2491000,3925000,5833000,7794000,7242000
45,Total Non-Current Assets,1300000,2600000,2300000,3000000,3400000,15100000,26400000,31900000,37800000,40600000,46000000,216401000,234332000,191712000,234935000,220347000,237909000,215570000,231867000,209623000,190515000,254099000,326535000,388008000,377648000,557128000,436158000,512260000,657762000,509341000,1278704000,1199011000,1363864000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18200000,27800000,41700000,48000000,60800000,112800000,162200000,201300000,261800000,247900000,314800000,436141000,406904000,385503000,432533000,533308000,564562000,528651000,539546000,474047000,439869000,533104000,611881000,627605000,709699000,821734000,887756000,1038604000,1287870000,1289667000,1885935000,1800702000,2003662000
48,Accounts Payable,200000,300000,300000,300000,400000,1300000,2800000,3700000,3300000,2500000,4200000,10127000,4356000,6910000,5555000,5563000,7118000,6463000,7245000,6780000,4959000,7153000,7098000,6815000,9487000,19114000,7860000,9830000,23463000,16230000,17866000,16270000,44051000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5647000,8110000,7786000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2986000,2000,7771000,1259000,4414000,2635000,3334000,1397000,5193000,11391000,5062000,30333000,9379000,17096000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3075000,3856000,5702000,5714000,5305000,6884000,13288000,19429000,14908000,10162000,13458000,12690000,15941000,20563000,11571000,8211000,9969000,9845000,14432000,21274000,35743000
52,Other Current Liabilities,3600000,3600000,5000000,6600000,5300000,7900000,13600000,12900000,21100000,20400000,33300000,41700000,21429000,20217000,36030000,59224000,45618000,41454000,23340000,24841000,18813000,37117000,33549000,30599000,35594000,40997000,34576000,47732000,79640000,65282000,82532000,86643000,101009000
53,Total Current Liabilities,3800000,3900000,5300000,6900000,5700000,9200000,16400000,16600000,24400000,22900000,37500000,51827000,28860000,30983000,47287000,70501000,58041000,54801000,43873000,51050000,38680000,54432000,54105000,50104000,61022000,80674000,54007000,65773000,113072000,91357000,120477000,132297000,188589000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18120000,17795000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14432000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9922000,- -,5361000,- -,5216000,4765000,4623000,4830000,5361000,6800000,8068000,343907000,329209000,308549000
57,Other Non-Current Liabilities,100000,100000,-100000,- -,- -,- -,1900000,1600000,1300000,2100000,700000,365000,- -,- -,252000,- -,- -,8400000,19308000,- -,6741000,- -,4796000,- -,- -,- -,3252000,4871000,72645000,54979000,51409000,58874000,58636000
58,Total Non-Current Liabilities,100000,100000,-100000,- -,- -,- -,1900000,2000000,1300000,2100000,700000,365000,- -,- -,252000,- -,- -,8400000,19308000,9922000,6741000,5361000,4796000,5216000,4765000,4623000,8082000,10232000,79445000,63047000,409748000,406203000,384980000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17973000,26230000,25581000
61,Total Liabilities,3900000,4000000,5200000,6900000,5700000,9200000,18300000,18600000,25700000,25000000,38200000,52192000,28860000,30983000,47539000,70501000,58041000,54801000,63181000,60972000,45421000,59793000,58901000,55320000,65787000,85297000,62089000,76005000,192517000,154404000,530225000,538500000,573569000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,92000,93000,94000,96000,92000,94000,89000,87000,79000,79000,82000,84000,86000,174000,173000,170000,172000,347000,342000,345000,352000,351000
64,Retained Earnings,1200000,7700000,17200000,23300000,34400000,50500000,73500000,105800000,146400000,166600000,197000000,265164000,254037000,248010000,258724000,283712000,304454000,329251000,337231000,345225000,328459000,379826000,434581000,436466000,462131000,523946000,566613000,643825000,668267000,646214000,753268000,487912000,562882000
65,Other Comprehensive Income/Loss,-1900000,-2400000,-1900000,-2700000,-4000000,-5600000,-5400000,-9700000,-13000000,-19200000,-25300000,-27071000,-32883000,-5868000,-11060000,-13857000,-14058000,-10626000,-1896000,-5509000,-3361000,-9217000,-17353000,-29515000,-29833000,-39399000,-52124000,-56428000,-34599000,-40501000,-37275000,-33801000,-47942000
66,Other Total Stockholders Equity,15000000,18500000,21200000,20500000,24700000,58700000,75800000,86600000,102700000,75500000,104800000,145764000,156797000,112284000,- -,192860000,216031000,155136000,140943000,73280000,69271000,102620000,135668000,165248000,211440000,251717000,311008000,375030000,461338000,529208000,639372000,807739000,914802000
67,Total Stockholders Equity,14300000,23800000,36500000,41100000,55100000,103600000,143900000,182700000,236100000,222900000,276600000,383949000,378044000,354520000,384994000,462807000,506521000,473850000,476365000,413075000,394448000,473311000,552980000,572285000,643912000,736437000,825667000,962599000,1095353000,1135263000,1355710000,1262202000,1430093000
68,Total Liabilities And Stockholders Equity,18200000,27800000,41700000,48000000,60800000,112800000,162200000,201300000,261800000,247900000,314800000,436141000,406904000,385503000,432533000,533308000,564562000,528651000,539546000,474047000,439869000,533104000,611881000,627605000,709699000,821734000,887756000,1038604000,1287870000,1289667000,1885935000,1800702000,2003662000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18200000,27800000,41700000,48000000,60800000,112800000,162200000,201300000,261800000,247900000,314800000,436141000,406904000,385503000,432533000,533308000,564562000,528651000,539546000,474047000,439869000,533104000,611881000,627605000,709699000,821734000,887756000,1038604000,1287870000,1289667000,1885935000,1800702000,2003662000
71,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851205/000095013596001529/0000950135-96-001529-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/851205/000095013507001256/b63634cce10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000095013508001020/b68104cce10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000095013509001024/0000950135-09-001024-index.html,https://www.sec.gov/Archives/edgar/data/851205/000095012310011521/0000950123-10-011521-index.html,https://www.sec.gov/Archives/edgar/data/851205/000095012311011782/b83539e10vk.htm,https://www.sec.gov/Archives/edgar/data/851205/000119312512049244/0001193125-12-049244-index.html,https://www.sec.gov/Archives/edgar/data/851205/000119312513048665/0001193125-13-048665-index.html,https://www.sec.gov/Archives/edgar/data/851205/000119312514051054/d632893d10k.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120515000003/cgnx-20141231x10xk.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120516000027/0000851205-16-000027-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120517000003/0000851205-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120518000004/0000851205-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120519000003/0000851205-19-000003-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120520000002/0000851205-20-000002-index.html,https://www.sec.gov/Archives/edgar/data/851205/000085120521000005/0000851205-21-000005-index.htm,https://www.sec.gov/Archives/edgar/data/851205/000085120522000008/0000851205-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3700000,6500000,9500000,6100000,11100000,16100000,23000000,30400000,40500000,20200000,30400000,68148000,-11127000,-6027000,15951000,37744000,35702000,39855000,26899000,27275000,-4869000,61381000,69869000,68098000,73573000,121485000,187074000,149572000,177178000,219267000,203865000,176186000,279881000
74,Depreciation and Amortization,400000,500000,700000,900000,1300000,1800000,3200000,5100000,5800000,8700000,9300000,11993000,13544000,9524000,10162000,9970000,11425000,11667000,11358000,11375000,9580000,9809000,9756000,10858000,11102000,12467000,14118000,15069000,16991000,21549000,24900000,26503000,20283000
75,Deferred Income Tax,- -,- -,- -,-300000,- -,-400000,-1300000,-400000,-2600000,-1300000,-7000000,-533000,-7843000,-2196000,-432000,-2568000,-2996000,-45000,-9896000,-441000,1985000,- -,- -,-3165000,-5424000,-10235000,-11373000,-1908000,1787000,-413000,-94866000,-3353000,-3118000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10231000,9223000,3027000,8068000,8520000,10620000,15158000,20168000,20558000,31942000,41090000,45589000,42661000,43774000
77,Change in Working Capital,300000,8200000,12800000,4000000,13600000,36800000,30900000,33400000,46800000,-15200000,46900000,-63387000,-24201000,19096000,-12497000,92149000,26152000,-10332000,5526000,-50432000,-2700000,13899000,6668000,-41748000,81536000,-87097000,213659000,62980000,56465000,171933000,-202215000,-17360000,-34012000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8551000,-287000,-14535000,-2031000,5035000,-11311000,-915000,-3950000,-13251000,-55185000,-1867000,16807000,-21285000,-4503000
79,Inventory,300000,100000,-100000,-600000,-1300000,-1500000,-7700000,2500000,-900000,-3600000,-400000,-17902000,-12893000,5010000,5833000,-3642000,1048000,-10178000,124000,-959000,5140000,-7699000,-5743000,1872000,666000,-11750000,-9457000,10409000,-37088000,-16946000,23137000,-10319000,-54920000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10896000,-8872000,2087000,12322000,-7247000,1633000,-1688000,27828000
81,Other Working Capital,13100000,21300000,34100000,38100000,51700000,88500000,119400000,152800000,199600000,184400000,231300000,167913000,143712000,162808000,150311000,242460000,268612000,258280000,263806000,213374000,210674000,224573000,231241000,189493000,271029000,183932000,397591000,460571000,517036000,688969000,486754000,469394000,17828000
82,Other Non-Cash Items,100000,-9700000,-12900000,-3500000,-18800000,-35300000,-34000000,-17400000,-38000000,17300000,-24200000,60203000,50497000,-3951000,17780000,-74119000,-27522000,7334000,14586000,60929000,-936000,-11773000,-8267000,58568000,-75952000,104192000,-305283000,-64190000,-60040000,-229972000,275952000,17763000,7257000
83,Cash Provided by Operating Activities,4500000,5500000,10100000,7200000,7200000,19000000,21800000,51100000,52500000,29700000,55400000,76424000,20870000,16446000,30964000,63176000,42761000,48479000,48473000,58937000,12283000,76343000,86094000,101131000,95455000,155970000,118363000,182081000,224323000,223454000,253225000,242400000,314065000
84,CAPEX,-1000000,-1100000,-1100000,-1500000,-1800000,-13100000,-10500000,-10200000,-10900000,-7200000,-3400000,-7755000,-4455000,-2227000,-2462000,-3120000,-3819000,-4224000,-4635000,-6012000,-5466000,-5852000,-7820000,-9878000,-13380000,-20934000,-28703000,-12816000,-28754000,-37095000,-21745000,-13303000,-15455000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-22240000,-361000,-349000,-11787000,-123000,-111842000,-3188000,-1002000,-1000000,-4941000,- -,- -,- -,- -,- -,-1023000,-14285000,-24118000,-4265000,-166911000,1004000,- -
86,Purchases of Investments,-8100000,-9100000,-2800000,-24200000,-25100000,-19500000,-75800000,-18800000,-94700000,-81600000,-97800000,-134838000,-139863000,-97723000,-165534000,-805621000,-1437264000,-481086000,-277876000,-120622000,-33779000,- -,-323946000,-460486000,-370781000,-422633000,-686650000,-751868000,-636856000,-782032000,-1031642000,-922867000,-668053000
87,Sales/Maturities of Investments,- -,- -,- -,21100000,25500000,17100000,34200000,- -,40500000,89300000,55600000,67119000,106310000,139353000,149429000,716714000,1531830000,541023000,292213000,189375000,43720000,- -,241738000,431510000,296091000,339470000,601441000,657250000,584464000,812565000,1062962000,1104605000,430969000
88,Other Investing Activites,- -,-200000,- -,-100000,100000,-200000,-6700000,-400000,-3100000,-4100000,-1800000,-1700000,- -,- -,- -,- -,- -,- -,- -,2797000,- -,-170634000,- -,- -,-3750000,- -,93913000,-113000,-291000,- -,- -,- -,- -
89,Cash Used for Investing Activites,-9100000,-10400000,-3900000,-4700000,-1300000,-15700000,-58800000,-29400000,-68200000,-3600000,-47400000,-99414000,-38369000,39054000,-30354000,-92150000,-21095000,52525000,8700000,64538000,-466000,-176486000,-90028000,-38854000,-88070000,-104097000,-10547000,-121832000,-105555000,-10827000,-157336000,169439000,-252539000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
