,https://roic.ai/company/ARGO,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
83,Cash Provided by Operating Activities,- -,- -,- -,-3400000,-11300000,4100000,-11100000,35800000,31000000,32400000,28000000,19600000,5000000,17512439,-24332221,25095834,139382000,154257000,45351000,27275000,-434247000,166200000,-25000000,301800000,-3100000,-17700000,30500000,-200000,130500000,282600000,181400000,165000000,301300000,183300000,71900000,- -
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6700000,- -,-23000000,-14600000,-16500000,-34100000,-26100000,-39000000,-18900000,-32100000,-30600000,-32200000,-29900000,-20200000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,- -,- -,-1900000,-500000,- -,- -,- -,- -,- -,-105200000,15600000,- -,66300000,- -
86,Purchases of Investments,- -,- -,- -,-49200000,-59200000,-78800000,-47100000,-228200000,-98900000,-196400000,-88100000,-312000000,-207600000,-196511186,-206518664,-340656186,-461371000,-562563000,-630656000,-862464000,-504666000,-1011100000,- -,-2057200000,-2270800000,-1778400000,-1621500000,-1975800000,-1736800000,-2034100000,-2380500000,-2660800000,-2149100000,-1984000000,-2152500000,- -
87,Sales/Maturities of Investments,- -,- -,- -,51500000,74400000,75100000,35700000,76000000,74400000,174300000,84700000,301900000,265300000,174879346,249661619,332265152,481556000,520110000,424959000,371962000,941159000,825100000,23400000,1864500000,2495400000,1897500000,1672400000,2102800000,1660300000,1857900000,2252300000,2714900000,1886200000,1883900000,2064500000,- -
88,Other Investing Activites,- -,- -,- -,100000,- -,-1700000,- -,- -,- -,-2000000,1200000,-42400000,-27200000,2076557,-2076481,104524,-246661000,-141889000,-18000,- -,- -,-1000000,- -,-25100000,-24200000,-1800000,-20500000,19900000,-5800000,1500000,15200000,-39600000,11200000,-12800000,17600000,-55900000
89,Cash Used for Investing Activites,- -,- -,- -,2400000,15200000,-5400000,-11400000,-152200000,-24500000,-24100000,-2200000,-52500000,30500000,-19555283,41066474,-8286510,-226476000,-184342000,-205715000,-490502000,436493000,-183300000,23400000,-240800000,183900000,100300000,-3700000,120800000,-121300000,-193600000,-145100000,-121300000,-268300000,-142800000,-24300000,-55900000
90,Debt Repayment,- -,- -,- -,-5000000,-2000000,-2000000,-800000,-5300000,-5300000,-2000000,-3200000,-46500000,-22500000,- -,-10000000,-10000000,-25000000,-30000000,- -,- -,- -,- -,- -,-50900000,- -,- -,- -,- -,-100000,- -,- -,- -,- -,-600000,-125000000,- -
91,Common Stock Issued,- -,- -,- -,- -,100000,100000,24500000,52300000,1400000,300000,500000,900000,200000,505795,686943,1104443,2128000,21538000,114701000,483169000,628000,11400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-400000,-1500000,- -,- -,- -,- -,- -,-12500000,-7500000,-39700000,-17215460,-316218,-1172838,-528000,-1848000,-1060000,-603000,-263000,- -,- -,- -,-105200000,-49500000,-161400000,-46500000,-68800000,-29700000,-47100000,-45200000,-31700000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,-200000,-800000,-800000,-1800000,-3400000,-4500000,-6200000,-6500000,-12200000,-13600000,-7629924,-2831121,-2862010,-2879000,-2927000,-3417000,-20503000,-4864000,-57200000,- -,- -,-14200000,-13100000,-12300000,-15800000,-18200000,-22700000,-26600000,-33200000,-37500000,-43100000,-47600000,-54200000
94,Other Financing Activites,- -,- -,- -,10000000,-100000,- -,3500000,70300000,100000,- -,-100000,99500000,50000000,25000000,- -,- -,137115000,62500000,- -,- -,- -,61300000,1800000,2800000,4000000,1000000,139900000,2800000,4700000,2400000,1600000,126400000,1600000,1900000,145800000,1300000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,4400000,-4300000,-2700000,25400000,113900000,-8300000,-7900000,-21800000,34200000,-25600000,660411,-12460396,-12930405,110836000,49263000,110224000,462063000,-4499000,15500000,1800000,-48100000,-115400000,-61600000,-33800000,-59500000,-82400000,-50000000,-72100000,48000000,-67600000,-41800000,-26800000,-52900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3600000,100000,500000,-3200000,1700000,100000,-1100000,-2800000,-100000,-9800000,- -
97,Net Change In Cash,- -,- -,- -,4400000,-4300000,-2700000,25400000,113900000,-8300000,400000,4100000,1400000,9800000,-1382433,4273857,3878919,23742000,19178000,-50140000,-1164000,-2253000,-1600000,200000,12900000,65400000,17400000,-6900000,61600000,-76400000,40700000,-35700000,90600000,-37400000,-1400000,11000000,-52900000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,800000,4900000,6300000,16100000,14735040,19008897,22887816,46630000,65808000,15668000,14504000,12251000,42200000,400000,18100000,83500000,100900000,95800000,157400000,81000000,121700000,86000000,176600000,139200000,137800000,148800000,- -
99,Cash at the Beginning of Period,- -,- -,- -,2700000,6100000,5800000,1800000,4800000,2200000,400000,800000,4900000,6300000,16117473,14735040,19008897,22888000,46630000,65808000,15668000,14504000,43800000,200000,5200000,18100000,83500000,102700000,95800000,157400000,81000000,121700000,86000000,176600000,139200000,137800000,- -
100,Free Cash Flow,- -,- -,- -,-3400000,-11300000,4100000,-11100000,35800000,31000000,32400000,28000000,19600000,5000000,17512439,-24332221,25095834,139382000,154257000,45351000,27275000,-434247000,159500000,-25000000,278800000,-17700000,-34200000,-3600000,-26300000,91500000,263700000,149300000,134400000,269100000,153400000,51700000,- -
101,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1091748/000095011700000741/0000950117-00-000741-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000095011701000614/0000950117-01-000614-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528202000997/0001125282-02-000997-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528203002350/0001125282-03-002350-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528204001011/0001125282-04-001011-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528205001024/0001125282-05-001024-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000112528206001680/b412207_10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000095012307004010/y30986e10vk.htm,https://www.sec.gov/Archives/edgar/data/1091748/000120677408000455/argo_10-k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000119312509042483/0001193125-09-042483-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312510043345/0001193125-10-043345-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312511050073/d10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000119312512089089/0001193125-12-089089-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312513084723/0001193125-13-084723-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000119312514077302/d635086d10k.htm,https://www.sec.gov/Archives/edgar/data/1091748/000156459015001103/agii-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1091748/000156459016013542/0001564590-16-013542-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000156459017002394/0001564590-17-002394-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000156459018003547/0001564590-18-003547-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828019001883/0001628280-19-001883-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828020002567/0001628280-20-002567-index.html,https://www.sec.gov/Archives/edgar/data/1091748/000162828021004668/0001628280-21-004668-index.htm,https://www.sec.gov/Archives/edgar/data/1091748/000162828022006331/0001628280-22-006331-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
