,https://roic.ai/company/NEOG,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,-0.2292,-0.0806,-0.0333,-0.1333,-0.1212,-0.0658,0.0841,0.0598,-0.0160,0.1176,0.1189,0.1036,0.1307,0.0908,0.0960,0.1030,0.0919,0.0943,0.1096,0.1059,0.1181,0.1169,0.1247,0.1323,0.1223,0.1310,0.1138,0.1184,0.1138,0.1211,0.1570,0.1453,0.1422,0.1300
25,EPS,-0.05,-0.02,-0.00,-0.02,-0.02,-0.01,0.02,0.01,-0.01,0.03,0.03,0.03,0.05,0.05,0.06,0.07,0.07,0.08,0.11,0.11,0.14,0.16,0.19,0.25,0.24,0.28,0.29,0.34,0.36,0.43,0.61,0.58,0.56,0.57
26,EPS Diluted,-0.05,-0.02,-0.00,-0.02,-0.02,-0.01,0.02,0.01,-0.01,0.03,0.03,0.03,0.05,0.05,0.06,0.07,0.07,0.08,0.10,0.11,0.14,0.15,0.19,0.24,0.23,0.28,0.28,0.34,0.36,0.43,0.60,0.57,0.56,0.57
27,Weighted Average Shares Outstanding,20614688,24444293,44977500,44977500,42835714,43247596,53262829,52473750,35999991,63281234,68749983,69932415,66504791,64840893,67244301,69043252,71704670,72936968,74446856,82954525,86843978,87143978,89463977,92027976,94479020,96224031,97952810,99008692,100180478,101864953,103471464,104433178,105720000,107468304
28,Weighted Average Shares Outstanding Diluted,20614688,24444293,44977500,44977500,42835714,43247596,53262829,52473750,56221875,63281234,70714268,69932415,66504791,66041650,71582643,71804982,75231129,76062838,77683676,84664927,89993977,90482586,92363976,95163976,96075975,97307975,99378641,99850641,100999974,102330641,104371901,104653913,105720000,107468304
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711377/000088969799000140/0000889697-99-000140-index.html,https://www.sec.gov/Archives/edgar/data/711377/000106731200000335/0001067312-00-000335-index.html,https://www.sec.gov/Archives/edgar/data/711377/000104596901500986/0001045969-01-500986-index.html,https://www.sec.gov/Archives/edgar/data/711377/000095013102003395/0000950131-02-003395-index.html,- -,https://www.sec.gov/Archives/edgar/data/711377/000119312504141736/0001193125-04-141736-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312505168470/0001193125-05-168470-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312506172719/0001193125-06-172719-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312507182686/0001193125-07-182686-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312508177895/0001193125-08-177895-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312509175691/0001193125-09-175691-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312510189979/0001193125-10-189979-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312511202797/0001193125-11-202797-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312512322702/0001193125-12-322702-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312513309676/0001193125-13-309676-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312514286974/0001193125-14-286974-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312515271129/0001193125-15-271129-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312516664134/0001193125-16-664134-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312517240208/0001193125-17-240208-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312518229573/0001193125-18-229573-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312519206929/0001193125-19-206929-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312520204007/0001193125-20-204007-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312521230829/0001193125-21-230829-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1100000,600000,4100000,3900000,400000,600000,500000,2200000,2200000,700000,700000,1100000,2198000,848000,2012000,1061000,1365000,1972000,1809000,13424000,14270000,13842000,22806000,35844000,49045000,50032000,40675000,66061000,55257000,77567000,83074000,41688000,66269000,75602000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9600000,8472000,6334000,4341000,7836000,331000,- -,150000,- -,- -,- -,- -,20239000,19600000,35337000,35821000,48103000,52539000,66068000,127736000,225836000,277404000,305485000
33,Cash and Short-Term Investments,1100000,600000,4100000,3900000,400000,600000,500000,2200000,2200000,700000,700000,10700000,10670000,7182000,6353000,8897000,1696000,1972000,1959000,13424000,14270000,13842000,22806000,56083000,68645000,85369000,76496000,114164000,107796000,143635000,210810000,267524000,343673000,381087000
34,Net Receivables,700000,800000,800000,900000,1000000,2200000,3700000,1700000,1600000,2000000,3100000,3300000,4877000,6026000,6462000,7499000,9924000,10469000,13116000,14914000,19384000,23363000,27433000,28634000,35652000,38737000,51901000,59208000,67652000,68576000,79086000,82582000,84681000,91823000
35,Inventory,1800000,1800000,2200000,2400000,2300000,2500000,2400000,3800000,3400000,3600000,4500000,4400000,5393000,6974000,8683000,9840000,12374000,13796000,17626000,19116000,27799000,31363000,31316000,31994000,34992000,38315000,51178000,51601000,64371000,73144000,76005000,85992000,95053000,100701000
36,Other Current Assets,100000,100000,1100000,100000,2700000,300000,300000,400000,300000,12700000,10300000,900000,662000,1397000,1751000,1735000,2281000,2142000,3568000,3644000,4178000,3198000,4465000,5791000,4652000,6026000,9171000,6222000,10182000,7606000,9888000,13431000,13999000,17840000
37,Total Current Assets,3700000,3300000,8200000,7300000,6400000,5600000,6900000,8100000,7500000,19000000,18600000,19300000,21602000,21579000,23249000,27971000,26275000,28379000,36269000,51098000,65631000,71766000,86020000,122502000,143941000,168447000,188746000,231195000,250001000,292961000,375789000,449529000,537406000,591451000
38,PP&E,1500000,1200000,1100000,1100000,1000000,900000,900000,1300000,1400000,1600000,1900000,2100000,2655000,2721000,3741000,4640000,10952000,12193000,14255000,16402000,16889000,17058000,19180000,22340000,29933000,34345000,41949000,44473000,54683000,61748000,73069000,74847000,80623000,102930000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11214000,13665000,- -,- -,28937000,24448000,30617000,39717000,52899000,51584000,53052000,59491000,68190000,70119000,88506000,104759000,99558000,103619000,110340000,131476000
40,Intangible Assets,100000,- -,- -,- -,- -,400000,800000,1500000,2000000,2000000,4000000,3200000,3892000,7076000,- -,- -,19292000,20675000,2076000,9363000,9574000,9873000,17160000,17172000,24674000,28275000,46416000,46394000,58525000,68941000,69593000,67745000,66581000,92316000
41,Intangible Assets,100000,- -,- -,- -,- -,400000,800000,1500000,2000000,2000000,4000000,3200000,3892000,7076000,11214000,13665000,19292000,20675000,31013000,33811000,40191000,49590000,70059000,68756000,77726000,87766000,114606000,116513000,147031000,173700000,169151000,171364000,176921000,223792000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,-100000,100000,100000,100000,200000,400000,500000,600000,600000,500000,900000,1500000,1379000,1646000,1700000,1760000,3456000,2637000,6753000,3973000,3646000,3762000,4974000,6064000,- -,- -,- -,- -,- -,- -,- -,- -,2232000,2019000
45,Total Non-Current Assets,1500000,1300000,1200000,1200000,1200000,1700000,2200000,3400000,4000000,4100000,6800000,6800000,7926000,11443000,16655000,20065000,33700000,35505000,52021000,54186000,60726000,70410000,94213000,97160000,107659000,122111000,156555000,160986000,201714000,235448000,242220000,246211000,259776000,328741000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,5200000,4600000,9400000,8500000,7600000,7300000,9100000,11500000,11500000,23100000,25400000,26100000,29528000,33022000,39904000,48036000,59975000,63884000,88290000,105284000,126357000,142176000,180233000,219662000,251600000,290558000,345301000,392181000,451715000,528409000,618009000,695740000,797182000,920192000
48,Accounts Payable,- -,- -,- -,- -,500000,500000,700000,700000,500000,800000,600000,800000,1743000,1207000,2329000,3273000,3063000,2348000,2832000,4507000,6505000,3909000,7187000,8516000,10760000,9212000,13396000,13691000,15800000,16244000,20750000,19063000,25650000,23900000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,1100000,100000,- -,- -,499000,49000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1456000,1848000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,2300000,2200000,900000,1000000,600000,600000,800000,1600000,700000,900000,800000,1100000,1095000,2079000,1635000,2490000,2593000,3387000,7185000,5531000,4631000,5337000,9846000,9281000,9219000,8507000,11571000,11765000,12798000,19758000,17938000,19188000,22839000,29699000
53,Total Current Liabilities,2300000,2200000,900000,1000000,1100000,1100000,1500000,2300000,2300000,1800000,1400000,1900000,3337000,3335000,3964000,5763000,5656000,5735000,10017000,10038000,11136000,9246000,17033000,17797000,19979000,17719000,24967000,25456000,28598000,36002000,38688000,38251000,48489000,53599000
54,Long-Term Debt,1100000,700000,600000,400000,100000,100000,- -,400000,300000,200000,200000,100000,77000,28000,- -,- -,3900000,- -,9955000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,405000,874000,- -,1981000,1441000,2329000,2725000,5824000,8347000,9974000,12449000,12155000,13711000,16533000,17048000,14103000,15618000,18125000,21917000
57,Other Non-Current Liabilities,5900000,6200000,- -,- -,- -,- -,-100000,- -,- -,100000,200000,300000,310000,322000,394000,466000,1703000,3314000,1789000,1860000,1644000,1526000,4323000,4540000,2593000,2103000,1879000,2051000,2423000,3602000,5043000,3972000,5391000,4299000
58,Total Non-Current Liabilities,7000000,6900000,600000,400000,100000,100000,-100000,400000,300000,300000,400000,400000,387000,350000,394000,871000,6477000,3314000,13725000,3301000,3973000,4251000,10147000,12887000,12567000,14552000,14034000,15762000,18956000,20650000,19146000,19590000,23516000,26216000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,9300000,9100000,1500000,1400000,1200000,1200000,1400000,2700000,2600000,2100000,1800000,2300000,3724000,3685000,4358000,6634000,12133000,9049000,23742000,13339000,15109000,13497000,27180000,30684000,32546000,32271000,39001000,41218000,47554000,56652000,57834000,57841000,72005000,79815000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,924000,932000,977000,992000,1282000,1304000,1330000,1496000,2323000,2358000,3621000,3727000,3779000,3849000,5877000,5941000,6011000,6112000,8278000,8355000,8471000,17195000
64,Retained Earnings,-4200000,-4700000,-4900000,-5600000,-6500000,-7000000,-6100000,-5500000,-5700000,-3900000,-1700000,600000,3675000,6845000,10790000,15577000,20676000,26592000,34533000,37617000,49715000,63589000,81170000,104064000,126695000,153885000,182043000,215569000,252133000,295926000,359071000,419247000,478722000,539604000
65,Other Comprehensive Income/Loss,-1000000,-1200000,-1500000,-1700000,-1900000,-2100000,-2300000,-2400000,-2600000,-3000000,-3400000,-34200000,-42053000,-4921000,-5332000,-6129000,-5577000,-6636000,-7883000,-9596000,-11105000,-13115000,-2000000,-18626000,-1000000,-1000000,-30656000,-2000000,-4000000,-7000000,-10000000,-12000000,-19709000,-11375000
66,Other Total Stockholders Equity,1100000,1400000,14300000,14400000,14800000,15200000,16100000,16700000,17200000,27900000,28700000,56500000,63258000,26481000,29111000,30962000,31461000,33575000,36568000,62428000,70315000,75847000,69874000,99480000,89365000,101487000,149097000,131464000,150054000,176576000,202826000,222297000,257693000,294953000
67,Total Stockholders Equity,-4100000,-4500000,7900000,7100000,6400000,6100000,7700000,8800000,8900000,21000000,23600000,23800000,25804000,29337000,35546000,41402000,47842000,54835000,64548000,91945000,111248000,128679000,152665000,188645000,218839000,258221000,306361000,350974000,404198000,471614000,560175000,637899000,725177000,840377000
68,Total Liabilities And Stockholders Equity,5200000,4600000,9400000,8500000,7600000,7300000,9100000,11500000,11500000,23100000,25400000,26100000,29528000,33022000,39904000,48036000,59975000,63884000,88290000,105284000,126357000,142176000,179845000,219329000,251385000,290492000,345362000,392192000,451752000,528266000,618009000,695740000,797182000,920192000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,388000,333000,215000,66000,-61000,-11000,-37000,143000,- -,- -,- -,- -
70,Total Liabilities & Equity,5200000,4600000,9400000,8500000,7600000,7300000,9100000,11500000,11500000,23100000,25400000,26100000,29528000,33022000,39904000,48036000,59975000,63884000,88290000,105284000,126357000,142176000,180233000,219662000,251600000,290558000,345301000,392181000,451715000,528409000,618009000,695740000,797182000,920192000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/711377/000088969799000140/0000889697-99-000140-index.html,https://www.sec.gov/Archives/edgar/data/711377/000106731200000335/0001067312-00-000335-index.html,https://www.sec.gov/Archives/edgar/data/711377/000104596901500986/0001045969-01-500986-index.html,https://www.sec.gov/Archives/edgar/data/711377/000095013102003395/0000950131-02-003395-index.html,- -,https://www.sec.gov/Archives/edgar/data/711377/000119312504141736/0001193125-04-141736-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312505168470/0001193125-05-168470-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312506172719/0001193125-06-172719-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312507182686/0001193125-07-182686-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312508177895/0001193125-08-177895-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312509175691/0001193125-09-175691-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312510189979/0001193125-10-189979-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312511202797/0001193125-11-202797-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312512322702/0001193125-12-322702-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312513309676/0001193125-13-309676-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312514286974/0001193125-14-286974-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312515271129/0001193125-15-271129-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312516664134/0001193125-16-664134-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312517240208/0001193125-17-240208-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312518229573/0001193125-18-229573-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312519206929/0001193125-19-206929-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312520204007/0001193125-20-204007-index.htm,https://www.sec.gov/Archives/edgar/data/711377/000119312521230829/0001193125-21-230829-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,-800000,-500000,900000,700000,-200000,1800000,2200000,2300000,3074000,3170000,3945000,4787000,5099000,5916000,7941000,9125000,12098000,13874000,17521000,22839000,22513000,27190000,28158000,33526000,36564000,43793000,63145000,60176000,59475000,60882000
74,Depreciation and Amortization,- -,- -,- -,- -,300000,300000,400000,500000,500000,600000,700000,900000,946000,1302000,1071000,1136000,1402000,1703000,2417000,2840000,3516000,3890000,4435000,5329000,6173000,7411000,9180000,10649000,12540000,14691000,17058000,17624000,18396000,21041000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,420000,512000,309000,485000,813000,450000,1550000,-200000,2253000,1340000,287000,-542000,496000,1906000,-292000,-2996000,1197000,1601000,-640000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1967000,2237000,2237000,2455000,3064000,3686000,4450000,5468000,5261000,4909000,5543000,6468000,6437000
77,Change in Working Capital,- -,- -,- -,- -,-100000,-800000,900000,400000,-600000,12000000,- -,200000,865000,-21000,1041000,2923000,-1589000,2025000,3608000,14808000,13435000,8025000,6467000,35718000,19257000,26766000,13051000,41960000,15664000,35556000,80142000,74177000,77639000,48935000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4075000,-2240000,-903000,-7204000,-2674000,-10602000,-7252000,-6002000,5035000,-10233000,-4025000,-2881000,-2595000
79,Inventory,- -,- -,- -,- -,100000,-100000,100000,-800000,500000,-200000,-400000,300000,143000,-1120000,-1579000,-1055000,-831000,-1331000,-671000,-1490000,-6364000,-3698000,64000,-434000,-3093000,-2082000,-3529000,319000,-9427000,-6970000,-2647000,-10437000,-10011000,2450000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2648000,3008000,1196000,2330000,-1417000,1970000,412000,704000,-1691000,4381000,-1461000,6745000,-3206000
81,Other Working Capital,- -,- -,- -,- -,5300000,4500000,5400000,5800000,5200000,17200000,17200000,17400000,18265000,18244000,19285000,22208000,20619000,22644000,26252000,41060000,54495000,62520000,68987000,104705000,123962000,150728000,163779000,205739000,221403000,256959000,337101000,411278000,488917000,537852000
82,Other Non-Cash Items,- -,- -,- -,- -,-100000,600000,-500000,-2100000,1200000,-12100000,-1400000,300000,-209000,-1955000,-2661000,-2565000,-2443000,-3231000,-2138000,-17428000,-21626000,-18321000,-2472000,-39533000,-29461000,-38157000,-31865000,-47289000,-36811000,-38735000,-93127000,-94875000,-77701000,-55566000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-700000,-400000,1700000,-500000,900000,2300000,1500000,3700000,4676000,2496000,3396000,6701000,2981000,6722000,12313000,10158000,7873000,10985000,27988000,28843000,22277000,26561000,21668000,43792000,35331000,60274000,69131000,63842000,85878000,81089000
84,CAPEX,- -,- -,- -,- -,-200000,-200000,-200000,-600000,-1100000,-700000,-600000,-900000,-920000,-1099000,-1717000,-2461000,-5043000,-2688000,-2692000,-4704000,-2471000,-2836000,-5431000,-7796000,-12413000,-8897000,-11543000,-9619000,-14222000,-14578000,-20946000,-14661000,-24052000,-26712000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,-21000000,- -,-10000000,-11000000,-20000000,- -,-4000000,-13000000,-39000000,-7000000,-42000000,-34000000,- -,-6000000,-13164000,-50771000
86,Purchases of Investments,- -,- -,- -,- -,-15100000,-7800000,-8300000,- -,- -,-22700000,-23100000,-25100000,-30283000,-8262000,-28180000,-44679000,-31514000,-500000,-6683000,- -,- -,- -,- -,-60315000,-71631000,-82776000,-91691000,-105944000,-151625000,-162755000,-361419000,-437324000,-458300000,-792678000
