,https://roic.ai/company/IT,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
24,Net Income ratio,0.0490,0.0888,0.1113,0.0416,0.1430,0.1375,0.1203,0.0298,-0.0695,0.0535,0.0276,0.0189,-0.0025,0.0549,0.0619,0.0812,0.0728,0.0747,0.0932,0.1027,0.1025,0.0909,0.0812,0.0792,0.0010,0.0308,0.0550,0.0651,0.1676
25,EPS,0.01,0.07,0.14,0.17,0.71,0.88,0.86,0.29,-0.77,0.58,0.26,0.14,-0.02,0.51,0.71,1.09,0.88,1.01,1.43,1.78,1.97,2.06,2.09,2.34,0.04,1.35,2.60,2.99,9.33
26,EPS Diluted,0.01,0.06,0.13,0.17,0.71,0.84,0.84,0.29,-0.77,0.47,0.26,0.13,-0.02,0.50,0.68,1.05,0.85,0.96,1.39,1.73,1.93,2.03,2.06,2.31,0.04,1.33,2.56,2.96,9.21
27,Weighted Average Shares Outstanding,64316000,84936000,85552000,98612000,102459000,100194000,102226000,86985000,85862000,83586000,91123000,123603000,112253000,113071000,103613000,95246000,94658000,95747000,96019000,93444000,93015000,89337000,83852000,82571000,88466000,90827000,89817000,89315000,85026000
28,Weighted Average Shares Outstanding Diluted,64316000,84936000,85552000,98854000,102751000,105699000,104948000,89529000,85862000,130882000,92579000,126326000,112253000,116203000,108328000,99028000,97549000,99834000,98846000,95842000,94830000,90719000,85056000,83820000,89790000,92122000,90971000,90017000,86177000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749251/000095012396007400/0000950123-96-007400-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012397010331/0000950123-97-010331-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095014698002141/0000950146-98-002141-index.html,- -,https://www.sec.gov/Archives/edgar/data/749251/000095012300011900/0000950123-00-011900-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012301509621/0000950123-01-509621-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/749251/000095012306003019/y18453e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000095012307003019/y30787e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000095012308002262/y46746e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000095012309003157/0000950123-09-003157-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012310014517/0000950123-10-014517-index.html,https://www.sec.gov/Archives/edgar/data/749251/000095012311014318/y88686e10vk.htm,https://www.sec.gov/Archives/edgar/data/749251/000093041312001031/0000930413-12-001031-index.html,https://www.sec.gov/Archives/edgar/data/749251/000093041313001003/0000930413-13-001003-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925114000007/it-12312013x10k.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/749251/000074925117000005/0000749251-17-000005-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925118000004/0000749251-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925119000005/0000749251-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925120000008/0000749251-20-000008-index.html,https://www.sec.gov/Archives/edgar/data/749251/000074925121000010/0000749251-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/749251/000074925122000006/0000749251-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,96800000,142400000,157700000,88900000,61698000,37128000,- -,229962000,160126000,70282000,67801000,109945000,140929000,116574000,120181000,142739000,299852000,423990000,365302000,372976000,474233000,538908000,156368000,280836000,712583000,756493000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,35404000,3250000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,96800000,142400000,157700000,88900000,97102000,40378000,- -,229962000,160126000,70282000,67801000,109945000,140929000,116574000,120181000,142739000,299852000,423990000,365302000,372976000,474233000,538908000,156368000,280836000,712583000,756493000
34,Net Receivables,- -,- -,- -,143800000,205800000,239200000,282000000,326359000,300306000,- -,266122000,257689000,313195000,328383000,354926000,318511000,317598000,364818000,421033000,463968000,490923000,552107000,580763000,643013000,1176843000,1255118000,1326012000,1241508000,1365180000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,69600000,77400000,114200000,61300000,89407000,108137000,- -,53393000,70030000,78642000,87849000,92919000,95084000,123653000,136103000,142013000,163646000,169969000,179249000,187258000,225950000,872857000,400253000,411893000,368967000,498407000
37,Total Current Assets,- -,- -,- -,310200000,425600000,511100000,432200000,512868000,448821000,- -,549477000,487845000,462119000,484033000,557790000,554524000,557825000,621102000,705785000,927466000,1084882000,1096658000,1140997000,1343196000,2588608000,1811739000,2018741000,2323058000,2620080000
38,PP&E,- -,- -,- -,32800000,44100000,50800000,63600000,91259000,100288000,- -,66541000,63495000,61770000,59715000,66551000,61869000,52466000,47614000,68132000,89089000,91759000,97990000,108733000,121606000,221507000,267665000,1047495000,984048000,821820000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,408545000,416181000,398737000,513612000,510265000,508550000,519506000,519203000,586665000,715359000,738453000,2987294000,2923136000,2937726000,2945547000,2951317000
40,Intangible Assets,- -,- -,- -,93100000,132200000,155800000,223100000,315197000,222233000,- -,231372000,231897000,419827000,5978000,3645000,2015000,24113000,13584000,7060000,11821000,6107000,30689000,96544000,76801000,1292022000,1042565000,925087000,806998000,714418000
41,Intangible Assets,- -,- -,- -,93100000,132200000,155800000,223100000,315197000,222233000,- -,231372000,231897000,419827000,414523000,419826000,400752000,537725000,523849000,515610000,531327000,525310000,617354000,811903000,815254000,4279316000,3965701000,3862813000,3752545000,3665735000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
