,https://roic.ai/company/FLS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,42900000,44900000,56100000,65200000,75100000,83000000,88300000,93200000,99900000,96855000,152145000,169250000,351800000,331300000,341100000,417343000,410563000,493102000,559550000,623035000,671738000,767683000,837806000,984403000,934451000,844990000,894969000,922125000,966829000,936900000,971611000,965322000,903864000,943714000,899813000,878245000,797076000
11,COGS and Expenses,134300000,138200000,166800000,199500000,243900000,256400000,262400000,270300000,283900000,314104000,469451000,530604000,1016100000,959800000,999400000,1391687000,1713518000,2058902000,2241500000,2482418000,2505184000,2821444000,3352778000,3877564000,3751581000,3467333000,3891524000,4092513000,4233353000,4100168000,4045323000,3725230000,3479318000,3588544000,3549293000,3489610000,3288411000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8392000,3247000,1575000,1581000,954000,1431000,1680000,2065000,2804000,3429000,6465000,8409000,4175000,2764000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51293000,40005000,34301000,36181000,43520000,54413000,60322000,65270000,60137000,59730000,58160000,54980000,57386000,57617000
14,Depreciation and Amortization,5900000,5900000,7300000,7700000,-7600000,-8900000,-9900000,-11800000,-11800000,14017000,19093000,20089000,39000000,39300000,39600000,57037000,80591000,70462000,77592000,78205000,73482000,72714000,79463000,81442000,95445000,101294000,104821000,107226000,106392000,110277000,127087000,116752000,118454000,112473000,104481000,100753000,99822000
15,EBITDA,15900000,9600000,18300000,32400000,24700000,24500000,21200000,-12300000,14200000,40955000,69215000,84240000,128800000,113700000,57900000,78154000,88369000,155161000,196849000,141875000,122409000,260984000,439531000,722869000,719797000,665481000,728108000,759851000,851036000,897728000,608948000,397235000,439515000,341528000,493199000,334496000,280794000
16,EBITDA ratio,0.1089,0.0665,0.1005,0.1403,0.0879,0.0825,0.0715,-0.0409,0.0452,0.1186,0.1299,0.1391,0.1118,0.1050,0.0546,0.0508,0.0461,0.0689,0.0819,0.0538,0.0454,0.0853,0.1168,0.1616,0.1649,0.1650,0.1614,0.1599,0.1718,0.1840,0.1335,0.0995,0.1201,0.0891,0.1250,0.0897,0.0793
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,31284000,58233000,69072000,136100000,123300000,61900000,146606000,142154000,188082000,159992000,155781000,190093000,239619000,409916000,612872000,629517000,581352000,618677000,675778000,760283000,789832000,525568000,277455000,335422000,247538000,406040000,250277000,270759000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0906,0.1093,0.1141,0.1181,0.1138,0.0583,0.0953,0.0741,0.0835,0.0665,0.0590,0.0705,0.0783,0.1089,0.1370,0.1442,0.1442,0.1372,0.1422,0.1534,0.1619,0.1152,0.0695,0.0916,0.0646,0.1029,0.0671,0.0765
19,Total Other Income Expenses (Gains),-1700000,-2400000,-4300000,-6700000,-4800000,-7000000,-3000000,-9500000,-3600000,-4346000,-8111000,-4921000,-46300000,-50100000,-43600000,-123422000,-116525000,-96012000,-86157000,-96157000,-273365000,-52343000,-49848000,-22738000,-44726000,-51075000,-30922000,-64213000,-67262000,-56642000,-103372000,-54032000,-72415000,-71264000,-64190000,-63465000,-137171000
20,Income Before Tax,10000000,3700000,11000000,24700000,32300000,33400000,31100000,20600000,26400000,26938000,50122000,64151000,89800000,73200000,18300000,23184000,25629000,92070000,73835000,59624000,-83272000,187276000,360068000,590134000,584791000,530277000,587755000,611565000,693021000,733190000,422196000,223423000,263007000,176274000,341850000,186812000,133588000
21,Income Before Tax Ratio,0.0685,0.0256,0.0604,0.1070,0.1149,0.1125,0.1049,0.0686,0.0841,0.0780,0.0941,0.1060,0.0779,0.0676,0.0172,0.0151,0.0134,0.0409,0.0307,0.0226,-0.0309,0.0612,0.0957,0.1319,0.1340,0.1315,0.1303,0.1287,0.1399,0.1503,0.0926,0.0560,0.0718,0.0460,0.0867,0.0501,0.0377
22,Income Tax expense (Gain),4100000,1700000,4800000,9700000,12600000,12500000,11500000,7400000,9900000,9780000,19450000,20900000,38200000,25500000,6100000,7876000,9275000,31674000,20947000,39470000,37092000,73238000,104294000,147721000,156460000,141596000,158524000,160766000,204701000,208305000,148922000,75286000,258679000,51224000,80070000,60031000,-2594000
23,Net Income,5900000,2000000,6200000,15000000,19700000,20900000,19600000,-7900000,16100000,17158000,30672000,43251000,51600000,48900000,12200000,13241000,-1497000,53025000,98310000,24200000,11835000,115032000,255774000,442413000,427887000,388290000,428582000,448339000,485530000,518824000,267669000,145060000,2652000,119671000,253668000,116326000,125949000
24,Net Income ratio,0.0404,0.0139,0.0340,0.0650,0.0701,0.0704,0.0661,-0.0263,0.0513,0.0497,0.0576,0.0714,0.0448,0.0451,0.0115,0.0086,-0.0008,0.0236,0.0409,0.0092,0.0044,0.0376,0.0680,0.0989,0.0980,0.0963,0.0950,0.0944,0.0980,0.1064,0.0587,0.0363,0.0007,0.0312,0.0643,0.0312,0.0356
25,EPS,0.13,0.04,0.13,0.29,0.35,0.37,0.34,-0.14,0.28,0.30,0.41,0.59,0.42,0.41,0.11,0.12,-0.01,0.34,0.32,0.15,0.07,0.69,1.51,2.61,2.55,2.32,2.57,2.86,3.43,3.79,2.01,1.11,0.02,0.91,1.94,0.89,0.97
26,EPS Diluted,0.13,0.04,0.13,0.29,0.35,0.37,0.34,-0.14,0.28,0.30,0.41,0.59,0.42,0.41,0.11,0.12,-0.01,0.34,0.32,0.14,0.07,0.67,1.49,2.58,2.53,2.29,2.55,2.84,3.41,3.76,2.00,1.11,0.02,0.91,1.93,0.89,0.96
27,Weighted Average Shares Outstanding,46578947,46153846,47692308,51724138,56285714,56486486,57087379,56428571,56823529,57441000,74211000,73344000,122688000,119694000,113568000,113526000,112275000,155955882,165414000,165000000,169071429,167522330,169386755,169803000,167520000,167292000,165819000,156849000,141599000,136912000,133074000,130432000,130573000,130823000,131034000,130395000,130305000
28,Weighted Average Shares Outstanding Diluted,46578947,46153846,47692308,51724138,56285714,56486486,57087379,56428571,56823529,57441000,74211000,74032258,122773109,121456311,113568000,113526000,115404000,155955882,165726000,168837209,169071429,170839604,172045291,171540000,169086000,169245000,168306000,157968000,142429000,137843000,133811000,130975000,131180000,131271000,131689000,131050000,130857000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30625/000095015295000230/0000950152-95-000230-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30625/000104746904013685/a2132200z10-k.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013406002644/d26473e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013406012442/d37184e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013407004599/d42679e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013408003592/d54035e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013409003726/0000950134-09-003726-index.html,https://www.sec.gov/Archives/edgar/data/30625/000095012310016384/0000950123-10-016384-index.html,https://www.sec.gov/Archives/edgar/data/30625/000095012311017117/d78719e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062512000005/0000030625-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062513000019/0000030625-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062514000017/fls12312013financialstatem.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062515000021/fls12312014financialstatem.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062516000121/0000030625-16-000121-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062517000046/0000030625-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/30625/000162828018002486/0001628280-18-002486-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062519000009/0000030625-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062520000007/0000030625-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062521000034/0000030625-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062522000039/0000030625-22-000039-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,16341000,19434000,29474000,58600000,24900000,30500000,42341000,21533000,49293000,53522000,63759000,92864000,67000000,370575000,471792000,654320000,557579000,337356000,304252000,363804000,450350000,366444000,367162000,703445000,619683000,670980000,1095274000,658452000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,16341000,19434000,29474000,58600000,24900000,30500000,42341000,21533000,49293000,53522000,63759000,92864000,67000000,370575000,471792000,654320000,557579000,337356000,304252000,363804000,450350000,366444000,367162000,703445000,619683000,670980000,1095274000,658452000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,67189000,103963000,112710000,234400000,234200000,213600000,487274000,455861000,490811000,499873000,485070000,472946000,551815000,666733000,808522000,791722000,839566000,1060249000,1103724000,1155327000,1082447000,988391000,894749000,856711000,1021013000,1068452000,1031196000,934808000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,62246000,93155000,101070000,184900000,199300000,168400000,305958000,347591000,431243000,435946000,401672000,361770000,547373000,680199000,834612000,795233000,886731000,1008379000,1086663000,1060670000,995564000,995565000,919251000,884273000,633871000,660837000,667228000,678287000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,3994000,8170000,9164000,36700000,28900000,41300000,62479000,73154000,59685000,101693000,99168000,143619000,136693000,179264000,217499000,258047000,239868000,222370000,245577000,267581000,265802000,281392000,150199000,114316000,108578000,105101000,110635000,117130000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,149770000,224722000,252418000,514600000,487300000,453800000,898052000,898139000,1031032000,1091034000,1049669000,1071199000,1302881000,1896771000,2332425000,2499322000,2523744000,2628354000,2740216000,2847382000,2794163000,2631792000,2331361000,2558745000,2383145000,2505370000,2904333000,2388677000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,82221000,103723000,99912000,209500000,209000000,210000000,405412000,362388000,464448000,440324000,450302000,397622000,442892000,488892000,547235000,560472000,581245000,598746000,654179000,716289000,693881000,758427000,723628000,671796000,610096000,758393000,764998000,709790000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515175000,- -,- -,- -,834863000,851123000,853265000,828395000,864927000,1012530000,1045077000,1053852000,1107551000,1067255000,1223986000,1205054000,1218188000,1197640000,1193010000,1224886000,1196479000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79700000,91400000,96400000,645771000,131079000,1009989000,1038748000,1023354000,146251000,143358000,134734000,121919000,124678000,147112000,163482000,150075000,160548000,146337000,228777000,214528000,210049000,190550000,180805000,168496000,152462000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,42113000,66928000,73160000,79700000,91400000,96400000,645771000,646254000,1009989000,1038748000,1023354000,981114000,994481000,987999000,950314000,989605000,1159642000,1208559000,1203927000,1268099000,1213592000,1452763000,1419582000,1428237000,1388190000,1373815000,1393382000,1348941000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7572000,- -,10430000,34261000,25731000,13816000,32561000,31324000,24343000,17843000,26706000,19533000,31419000,26264000,87178000,51974000,44682000,54879000,30538000,44049000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,76200000,82500000,78000000,160908000,145194000,94624000,230547000,100281000,91342000,103250000,132943000,161159000,168171000,170936000,169112000,185930000,185430000,234965000,234604000,181013000,199722000,190164000,227185000,221426000,258310000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,124334000,170651000,173072000,365400000,382900000,384400000,1212091000,1153836000,1576633000,1709619000,1584367000,1504339000,1566354000,1623650000,1691269000,1749572000,1936166000,1994260000,2070742000,2189351000,2173857000,2472058000,2411401000,2351729000,2233132000,2414272000,2410344000,2361090000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4722181000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,274104000,395373000,425490000,880000000,870200000,838200000,2110143000,2051975000,2607665000,2800653000,2634036000,2575538000,2869235000,3520421000,4023694000,4248894000,4459910000,4622614000,4810958000,5036733000,4968020000,5103850000,4742762000,4910474000,4616277000,4919642000,5314677000,4749768000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,19480000,31499000,31256000,68200000,76700000,72100000,172366000,178480000,230603000,262553000,314787000,316713000,412869000,513169000,598498000,493306000,571021000,597342000,616900000,612092000,611715000,491378000,412087000,443113000,418893000,447582000,440199000,410062000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,7202000,10320000,13309000,17900000,17900000,3800000,18098000,44523000,38610000,66492000,44098000,12367000,8050000,7181000,27731000,27355000,51481000,53623000,59478000,72678000,53131000,60434000,85365000,75599000,68218000,47380000,43985000,73686000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56988000,37447000,53725000,56488000,29827000,42692000,24351000,38164000,60445000,67968000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,434582000,380854000,325625000,323595000,262339000,277538000,202458000,216541000,194227000,202965000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,27074000,47903000,53833000,144300000,124500000,119800000,243553000,193768000,222797000,303613000,349525000,365842000,463117000,729830000,981767000,937422000,833873000,819356000,479665000,492475000,481404000,484555000,418350000,446658000,391406000,401385000,463222000,445092000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,53756000,89722000,98398000,230400000,219100000,195700000,434017000,416771000,492010000,632658000,708410000,694922000,884036000,1250180000,1607996000,1458083000,1456375000,1470321000,1590625000,1558099000,1471875000,1359962000,1178141000,1242908000,1080975000,1112888000,1141633000,1131805000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,39032000,51756000,63239000,128900000,186300000,198000000,1111108000,996222000,1055748000,879766000,657746000,652769000,556519000,550795000,545617000,539373000,476230000,451593000,869116000,1127619000,1101791000,1570836000,1485258000,1499658000,1414829000,1365977000,1894157000,1428556000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36608000,43313000,17388000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,42237000,58123000,64074000,125400000,120000000,136200000,260107000,227963000,304217000,467481000,397655000,396013000,371486000,375916000,478495000,449691000,414272000,422470000,456742000,473894000,452511000,489319000,410168000,496954000,459693000,624818000,516087000,352062000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,81269000,109879000,127313000,254300000,306300000,334200000,1371215000,1224185000,1359965000,1347247000,1055401000,1048782000,964613000,970024000,1041500000,989064000,890502000,874063000,1325858000,1601513000,1554302000,2060155000,1895426000,1996612000,1874522000,1990795000,2410244000,1780618000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187631000,211236000,199414000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,135025000,199601000,225711000,484700000,525400000,529900000,1805232000,1640956000,1851975000,1979905000,1763811000,1743704000,1848649000,2220204000,2649496000,2447147000,2346877000,2344384000,2916483000,3159612000,3026177000,3420117000,3073567000,3239520000,2955497000,3103683000,3551877000,2912423000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,23748000,30506000,30710000,- -,- -,51900000,51856000,60518000,72018000,72018000,72018000,72018000,73289000,73394000,73477000,73594000,73664000,73664000,73664000,220991000,220991000,220991000,220991000,220991000,220991000,220991000,220991000,220991000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,111724000,158754000,189390000,326700000,353200000,344300000,357495000,355998000,409023000,442973000,434328000,446163000,582767000,774366000,1159634000,1526774000,1848680000,2205524000,2579308000,2985391000,3415738000,3587120000,3632163000,3503947000,3543007000,3695862000,3656449000,3691023000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-105510000,-144252000,-157768000,-251800000,-279100000,-289200000,-245443000,-295043000,-139177000,-109111000,-60130000,-126001000,-83367000,-14734000,-211320000,-149028000,-150506000,-216097000,-213440000,-211955000,-369848000,-529810000,-618241000,-499119000,-566830000,-575958000,-587888000,-556375000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,109117000,150764000,137447000,320400000,270700000,201300000,141003000,289546000,413826000,414868000,424009000,439654000,447897000,459951000,345976000,344773000,331184000,206722000,-549313000,-1124048000,-1335319000,-1611824000,-1586679000,-1571232000,-1554853000,-1550538000,-1557082000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,139079000,195772000,199779000,395300000,344800000,308300000,304911000,411019000,755690000,820748000,870225000,831834000,1020586000,1292977000,1367767000,1796113000,2103022000,2269813000,1890219000,1870379000,1931562000,1666477000,1648234000,1654587000,1642315000,1790357000,1732470000,1804319000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,274104000,395373000,425490000,880000000,870200000,838200000,2110143000,2051975000,2607665000,2800653000,2634036000,2575538000,2869235000,3513181000,4017263000,4243260000,4449899000,4614197000,4806702000,5029991000,4957739000,5086594000,4721801000,4894107000,4597812000,4894040000,5284347000,4716742000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7240000,6431000,5634000,10011000,8417000,4256000,6742000,10281000,17256000,20961000,16367000,18465000,25602000,30330000,33026000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,274104000,395373000,425490000,880000000,870200000,838200000,2110143000,2051975000,2607665000,2800653000,2634036000,2575538000,2869235000,3520421000,4023694000,4248894000,4459910000,4622614000,4810958000,5036733000,4968020000,5103850000,4742762000,4910474000,4616277000,4919642000,5314677000,4749768000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/30625/000095015295000230/0000950152-95-000230-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/30625/000104746904013685/a2132200z10-k.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013406002644/d26473e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013406012442/d37184e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013407004599/d42679e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013408003592/d54035e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000095013409003726/0000950134-09-003726-index.html,https://www.sec.gov/Archives/edgar/data/30625/000095012310016384/0000950123-10-016384-index.html,https://www.sec.gov/Archives/edgar/data/30625/000095012311017117/d78719e10vk.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062512000005/0000030625-12-000005-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062513000019/0000030625-13-000019-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062514000017/fls12312013financialstatem.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062515000021/fls12312014financialstatem.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062516000121/0000030625-16-000121-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062517000046/0000030625-17-000046-index.html,https://www.sec.gov/Archives/edgar/data/30625/000162828018002486/0001628280-18-002486-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062519000009/0000030625-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062520000007/0000030625-20-000007-index.html,https://www.sec.gov/Archives/edgar/data/30625/000003062521000034/0000030625-21-000034-index.htm,https://www.sec.gov/Archives/edgar/data/30625/000003062522000039/0000030625-22-000039-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,19700000,20900000,19600000,-7900000,16100000,17158000,30672000,43251000,51600000,48900000,12200000,13241000,-1497000,53025000,98310000,24200000,11835000,115032000,255774000,442413000,427887000,388290000,428582000,448339000,485530000,518824000,267669000,145060000,2652000,119671000,253668000,116326000,125949000
74,Depreciation and Amortization,- -,- -,- -,- -,-7600000,-8900000,-9900000,-11800000,-11800000,14017000,19093000,20089000,39000000,39300000,39600000,57037000,80591000,70462000,77592000,78205000,73482000,72714000,79463000,81442000,95445000,101294000,104821000,107226000,106392000,110277000,127087000,116752000,118454000,112473000,104481000,100753000,99822000
75,Deferred Income Tax,- -,- -,- -,- -,1800000,-1800000,- -,- -,- -,- -,- -,- -,-1500000,1000000,-1800000,1922000,-16718000,19949000,-31165000,-3575000,-31058000,4520000,-17683000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32703000,40751000,32428000,32090000,35403000,35757000,42675000,34816000,30213000,22820000,19912000,23882000,27252000,29478000
77,Change in Working Capital,- -,- -,- -,- -,-4800000,- -,- -,- -,- -,96014000,38986000,19020000,130180000,-16000000,-10100000,205935000,17333000,57654000,-80646000,-117117000,35018000,42568000,227746000,77838000,316810000,26130000,90664000,-8442000,139692000,33005000,-50458000,-118610000,162617000,-13667000,90312000,370218000,-91311000
78,Accounts Receivable,- -,- -,- -,- -,-6000000,-4500000,2100000,- -,-4500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-195097000,50730000,-51974000,-243118000,-35074000,-53823000,-79655000,50441000,37695000,60216000,-25448000,2883000,45648000,-8675000
79,Inventory,- -,- -,- -,- -,1000000,-4000000,900000,-1600000,2300000,1577000,-15989000,-8799000,-9900000,-11500000,28400000,-1963000,-54840000,22534000,14827000,25535000,4683000,-98364000,-101783000,-195529000,74674000,-52905000,-139754000,-72706000,28616000,-35519000,-26232000,30877000,48642000,-29314000,-31058000,15306000,-32124000
