,https://roic.ai/company/SKY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
18,Operating Income ratio,- -,0.0398,0.0528,0.0409,0.0477,0.0189,0.0006,0.0094,0.0214,0.0336,0.0310,0.0427,0.0444,0.0438,0.0548,0.0314,0.0219,0.0358,0.0199,0.0205,0.0136,0.0352,-0.0066,-0.0463,-0.1554,-0.1425,-0.1644,-0.1060,-0.0596,-0.0620,-0.0206,0.0104,0.0015,0.0513,-0.0219,0.0631,0.0765
19,Total Other Income Expenses (Gains),- -,7400000,6300000,8200000,9300000,8800000,8300000,6200000,6400000,5500000,5700000,5400000,7500000,6000000,6200000,6572000,8383000,4102000,1995000,1247000,2474000,5401000,5812000,4823000,911000,63000,61000,17000,64000,29000,-331000,-320000,-344000,-11473000,-11561000,-1401000,2641000
20,Income Before Tax,- -,20000000,22800000,21400000,27600000,15700000,8500000,9400000,16900000,25000000,25600000,33000000,34700000,33300000,42600000,25085000,18530000,20229000,10336000,10106000,8662000,23315000,3399000,-9138000,-24994000,-19351000,-26627000,-19365000,-10513000,-11864000,-4188000,1873000,5000,43116000,-41303000,85054000,111400000
21,Income Before Tax Ratio,- -,0.0633,0.0729,0.0663,0.0719,0.0429,0.0260,0.0277,0.0344,0.0431,0.0399,0.0511,0.0566,0.0534,0.0641,0.0426,0.0400,0.0449,0.0246,0.0234,0.0191,0.0458,0.0093,-0.0303,-0.1500,-0.1420,-0.1640,-0.1059,-0.0592,-0.0619,-0.0224,0.0088,0.0000,0.0405,-0.0304,0.0621,0.0784
22,Income Tax expense (Gain),- -,9600000,11100000,8300000,10500000,6000000,3300000,3600000,6600000,10000000,10300000,13300000,13900000,13400000,17000000,10057000,7360000,7975000,4143000,3965000,3210000,9023000,806000,-3582000,-9560000,9642000,- -,- -,- -,- -,- -,- -,- -,27316000,16905000,26894000,26501000
23,Net Income,- -,10400000,11700000,13100000,17100000,9700000,5200000,5800000,9900000,15000000,15300000,19700000,20800000,19900000,25600000,15028000,11170000,12254000,6193000,6141000,5452000,14292000,2593000,-5556000,-15434000,-28993000,-26627000,-19365000,-10513000,-11864000,-10414000,1678000,5000,15800000,-58208000,58160000,84899000
24,Net Income ratio,- -,0.0329,0.0374,0.0406,0.0446,0.0265,0.0159,0.0171,0.0201,0.0259,0.0238,0.0305,0.0339,0.0319,0.0385,0.0255,0.0241,0.0272,0.0148,0.0142,0.0120,0.0281,0.0071,-0.0184,-0.0926,-0.2128,-0.1640,-0.1059,-0.0592,-0.0619,-0.0557,0.0079,0.0000,0.0148,-0.0428,0.0425,0.0598
25,EPS,- -,0.93,1.04,1.17,1.53,0.87,0.47,0.52,0.89,1.34,1.38,1.84,2.07,2.10,2.80,1.70,1.32,1.46,0.74,0.73,0.65,1.70,0.31,-0.66,-1.84,-3.46,-3.17,-2.31,-1.25,-1.41,-1.24,0.20,0.00,1.88,1.04,1.03,1.50
26,EPS Diluted,- -,0.93,1.04,1.17,1.53,0.87,0.47,0.52,0.89,1.34,1.38,1.84,2.07,2.10,2.80,1.70,1.32,1.46,0.74,0.73,0.65,1.70,0.31,-0.66,-1.84,-3.46,-3.17,-2.31,-1.25,-1.41,-1.24,0.20,0.00,1.88,1.04,1.02,1.49
27,Weighted Average Shares Outstanding,- -,11182796,11250000,11196581,11176471,11149425,11063830,11153846,11123596,11216980,11146515,10710511,10070383,9511023,9136116,8858628,8468321,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,53491000,56466019,56648000
28,Weighted Average Shares Outstanding Diluted,- -,11182796,11250000,11196581,11176471,11149425,11063830,11153846,11123596,11216980,11146515,10800000,10281690,9558824,9170984,9074074,8468321,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8391244,8512374,8391244,53491000,57019608,56967000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90896/000009089694000040/0000090896-94-000040-index.html,https://www.sec.gov/Archives/edgar/data/90896/000009089695000014/0000090896-95-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90896/000009089600000010/0000090896-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/90896/000009089601500011/0000090896-01-500011-index.html,- -,https://www.sec.gov/Archives/edgar/data/90896/000095013703004040/c78215e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013704005951/c86899e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013705009303/c96346e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013706008690/c05835e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013707011289/0000950137-07-011289-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095013708010051/0000950137-08-010051-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012309028438/0000950123-09-028438-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012310074402/0000950123-10-074402-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012311070440/0000950123-11-070440-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312512319737/0001193125-12-319737-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312513304925/0001193125-13-304925-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312514318814/0001193125-14-318814-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312515303378/0001193125-15-303378-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312516673582/d212209d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/90896/000119312518115639/0001193125-18-115639-index.htm,https://www.sec.gov/Archives/edgar/data/90896/000156459019020324/0001564590-19-020324-index.html,https://www.sec.gov/Archives/edgar/data/90896/000156459020026572/0001564590-20-026572-index.htm,https://www.sec.gov/Archives/edgar/data/90896/000156459021030013/0001564590-21-030013-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,91400000,3700000,101000000,2500000,1900000,1100000,4400000,8800000,9200000,10800000,10700000,9500000,10700000,4300000,7006000,5450000,8699000,8736000,8838000,12406000,10059000,8376000,10557000,9836000,9268000,9727000,12011000,11838000,6031000,4995000,7659000,11384000,113731000,126634000,209455000,262581000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101932000,135971000,138327000,145721000,141611000,137119000,142712000,115864000,101022000,84950000,67989000,34994000,16998000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,91400000,3700000,101000000,2500000,1900000,1100000,4400000,8800000,9200000,10800000,10700000,9500000,10700000,4300000,108938000,141421000,147026000,154457000,150449000,149525000,152771000,124240000,111579000,94786000,77257000,44721000,29009000,11838000,6031000,4995000,7659000,11384000,113731000,126634000,209455000,262581000
34,Net Receivables,- -,19500000,19600000,23700000,24500000,26100000,22400000,30500000,40700000,44500000,45400000,48700000,43400000,42900000,41800000,35430000,30757000,28028000,22292000,26090000,26466000,31759000,22760000,18244000,6443000,9778000,11477000,11199000,17519000,21079000,15259000,15153000,12751000,41984000,57649000,45733000,57481000
35,Inventory,- -,9700000,7800000,9000000,11500000,11500000,9300000,9700000,10700000,15500000,14800000,10600000,10000000,9200000,10500000,9807000,9026000,9632000,9414000,9895000,9838000,11308000,10561000,10150000,6502000,6756000,8720000,8359000,8732000,11330000,9008000,11381000,12233000,98022000,122638000,126386000,166113000
36,Other Current Assets,- -,400000,99200000,1600000,110300000,110100000,112900000,16300000,7900000,14400000,36300000,53900000,109600000,125700000,136500000,8261000,8302000,8137000,8808000,12493000,6233000,8537000,11381000,14234000,12028000,4540000,3463000,2903000,3548000,3230000,2319000,1625000,934000,9367000,11369000,17239000,13592000
37,Total Current Assets,- -,121000000,130300000,135300000,148800000,149600000,145700000,60900000,68100000,83600000,107300000,123900000,172500000,188500000,193100000,162436000,189506000,192823000,194971000,198927000,192062000,204375000,168942000,154207000,119759000,98331000,68381000,51470000,41637000,41670000,31581000,35818000,37302000,263104000,318290000,398813000,499767000
38,PP&E,- -,24900000,24400000,26000000,26100000,26800000,28100000,26300000,27100000,32300000,45300000,43400000,42000000,41000000,44100000,44188000,42044000,41477000,39131000,36930000,35838000,34069000,35806000,32535000,30598000,26722000,24802000,21196000,18342000,15953000,11569000,11645000,10976000,67960000,108587000,124099000,115140000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3179000,173406000,173521000,191803000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1542000,48936000,43357000,58835000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4721000,222342000,216878000,250638000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11851000,- -,- -,- -,- -,- -,- -,- -,- -,30290000,3422000,3264000,19914000
44,Other Non-Current Assets,- -,1400000,1700000,1800000,2300000,2500000,2600000,93100000,93300000,92600000,62900000,63000000,3400000,3500000,3800000,29042000,4128000,4452000,5039000,5311000,9537000,9959000,10192000,10257000,5911000,5660000,5916000,6190000,7948000,8131000,7289000,7515000,7366000,29323000,47313000,38646000,32443000
45,Total Non-Current Assets,- -,26300000,26100000,27800000,28400000,29300000,30700000,119400000,120400000,124900000,108200000,106400000,45400000,44500000,47900000,73230000,46172000,45929000,44170000,42241000,45375000,44028000,45998000,42792000,48360000,32382000,30718000,27386000,26290000,24084000,18858000,19160000,18342000,132294000,381664000,382887000,418135000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,147300000,156400000,163100000,177200000,178900000,176400000,180300000,188500000,208500000,215500000,230300000,217900000,233000000,241000000,235666000,235678000,238752000,239141000,241168000,237437000,248403000,214940000,196999000,168119000,130713000,99099000,78856000,67927000,65754000,50439000,54978000,55644000,395398000,699954000,781700000,917902000
48,Accounts Payable,- -,- -,- -,- -,9300000,7400000,6600000,9300000,9700000,14500000,10000000,10200000,9700000,12900000,8500000,6350000,7187000,5859000,5990000,7776000,9521000,8784000,5162000,3967000,1853000,3136000,3392000,3296000,3675000,5139000,3025000,3921000,3861000,36773000,43421000,38703000,57214000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30229000,33321000,33914000,25733000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,643000,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1521000,1880000,24557000,- -,- -,58888000
52,Other Current Liabilities,- -,20300000,22800000,21600000,14300000,13300000,11500000,12000000,15000000,21300000,23200000,32900000,28800000,33400000,37200000,32685000,32728000,30604000,30186000,29166000,27878000,31366000,21952000,17646000,13532000,10247000,11324000,11385000,10532000,13108000,12092000,12589000,12644000,75555000,129561000,114030000,121807000
53,Total Current Liabilities,- -,20300000,22800000,21600000,23600000,20700000,18100000,21300000,24700000,35800000,33200000,43100000,38500000,46300000,45700000,39035000,39915000,36463000,36176000,36942000,37399000,40150000,27114000,21613000,15385000,13383000,14716000,14681000,14207000,18247000,15117000,18031000,18385000,167114000,206303000,186647000,263642000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6334000,4312000,4312000,4312000,58927000,54330000,77330000,39330000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3294000,3422000,3264000,4280000
57,Other Non-Current Liabilities,- -,- -,300000,600000,900000,1200000,1400000,1700000,2000000,2300000,2600000,2900000,3200000,3200000,3600000,3682000,3742000,4056000,4580000,5742000,10535000,10499000,10011000,9168000,7992000,7623000,7344000,8011000,8069000,7386000,7637000,7502000,7648000,12766000,23927000,40144000,42039000
58,Total Non-Current Liabilities,- -,- -,300000,600000,900000,1200000,1400000,1700000,2000000,2300000,2600000,2900000,3200000,3200000,3600000,3682000,3742000,4056000,4580000,5742000,10535000,10499000,10011000,9168000,7992000,7623000,7344000,8011000,8069000,13720000,11949000,11814000,11960000,74987000,81679000,120738000,85649000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,20300000,23100000,22200000,24500000,21900000,19500000,23000000,26700000,38100000,35800000,46000000,41700000,49500000,49300000,42717000,43657000,40519000,40756000,42684000,47934000,50649000,37125000,30781000,23377000,21006000,22060000,22692000,22276000,31967000,27066000,29845000,30345000,242101000,287982000,307385000,349291000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,312000,- -,1569000,1570000,1569000
64,Retained Earnings,- -,122300000,128000000,135700000,147400000,151800000,151600000,152000000,156600000,166200000,176200000,190400000,-34100000,219300000,238900000,247479000,252525000,258737000,258889000,258988000,250007000,258258000,238319000,226722000,205246000,170211000,137543000,116668000,106155000,94291000,83877000,85555000,85560000,22514000,-58208000,-48000,82898000
65,Other Comprehensive Income/Loss,- -,-29700000,-30600000,-31300000,-32100000,-33900000,-36000000,-37400000,-37300000,-39900000,-41900000,-40700000,-42100000,-45600000,-47900000,-51552000,-53494000,-57060000,-59249000,-60089000,-62389000,-64687000,-67092000,-66736000,-64387000,-63690000,-52998000,-45856000,-47355000,-53937000,-44039000,-44952000,- -,-9000000,-11000000,-13000000,-7524000
66,Other Total Stockholders Equity,- -,34400000,35900000,36500000,37400000,39100000,41300000,42700000,42500000,44100000,45400000,34600000,252400000,9800000,700000,- -,- -,- -,-1567000,-727000,1573000,3871000,6276000,5920000,3571000,2874000,-7818000,-14960000,-13461000,-6879000,-16777000,-15782000,-60573000,139783000,479611000,485793000,491668000
67,Total Stockholders Equity,- -,127000000,133300000,140900000,152700000,157000000,156900000,157300000,161800000,170400000,179700000,184300000,176200000,183500000,191700000,192949000,192021000,198233000,198385000,198484000,189503000,197754000,177815000,166218000,144742000,109707000,77039000,56164000,45651000,33787000,23373000,25133000,25299000,153297000,411972000,474315000,568611000
68,Total Liabilities And Stockholders Equity,- -,147300000,156400000,163100000,177200000,178900000,176400000,180300000,188500000,208500000,215500000,230300000,217900000,233000000,241000000,235666000,235678000,238752000,239141000,241168000,237437000,248403000,214940000,196999000,168119000,130713000,99099000,78856000,67927000,65754000,50439000,54978000,55644000,395398000,699954000,781700000,917902000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,147300000,156400000,163100000,177200000,178900000,176400000,180300000,188500000,208500000,215500000,230300000,217900000,233000000,241000000,235666000,235678000,238752000,239141000,241168000,237437000,248403000,214940000,196999000,168119000,130713000,99099000,78856000,67927000,65754000,50439000,54978000,55644000,395398000,699954000,781700000,917902000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90896/000009089694000040/0000090896-94-000040-index.html,https://www.sec.gov/Archives/edgar/data/90896/000009089695000014/0000090896-95-000014-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/90896/000009089600000010/0000090896-00-000010-index.html,https://www.sec.gov/Archives/edgar/data/90896/000009089601500011/0000090896-01-500011-index.html,- -,https://www.sec.gov/Archives/edgar/data/90896/000095013703004040/c78215e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013704005951/c86899e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013705009303/c96346e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013706008690/c05835e10vk.htm,https://www.sec.gov/Archives/edgar/data/90896/000095013707011289/0000950137-07-011289-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095013708010051/0000950137-08-010051-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012309028438/0000950123-09-028438-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012310074402/0000950123-10-074402-index.html,https://www.sec.gov/Archives/edgar/data/90896/000095012311070440/0000950123-11-070440-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312512319737/0001193125-12-319737-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312513304925/0001193125-13-304925-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312514318814/0001193125-14-318814-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312515303378/0001193125-15-303378-index.html,https://www.sec.gov/Archives/edgar/data/90896/000119312516673582/d212209d10k.htm,- -,https://www.sec.gov/Archives/edgar/data/90896/000119312518115639/0001193125-18-115639-index.htm,https://www.sec.gov/Archives/edgar/data/90896/000156459019020324/0001564590-19-020324-index.html,https://www.sec.gov/Archives/edgar/data/90896/000156459020026572/0001564590-20-026572-index.htm,https://www.sec.gov/Archives/edgar/data/90896/000156459021030013/0001564590-21-030013-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,17100000,9700000,5200000,5800000,9900000,15000000,15300000,19700000,20800000,19900000,25600000,15028000,11170000,12254000,6193000,6141000,5452000,14292000,2593000,-5556000,-15434000,-28993000,-26627000,-19365000,-10513000,-11864000,-10414000,1678000,5000,15800000,-58208000,58160000,84899000
74,Depreciation and Amortization,- -,- -,- -,- -,2400000,2500000,2600000,2700000,2700000,2900000,3400000,3500000,3700000,3700000,3800000,4083000,3985000,3890000,3785000,3450000,3389000,3154000,3148000,3181000,2704000,2189000,2683000,2359000,2002000,1716000,1320000,1057000,1026000,8260000,16079000,18546000,17704000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9523000,- -,- -,- -,- -,- -,- -,- -,12914000,3047000,11796000,3588000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82000,161000,642000,101999000,8349000,6037000
77,Change in Working Capital,- -,- -,- -,- -,-1500000,11500000,3700000,-1300000,-88000000,3800000,4400000,26300000,6700000,53200000,8200000,5200000,-23999000,26190000,6769000,2435000,3190000,-7322000,9562000,-22397000,-9234000,-28220000,-19426000,-31283000,-16876000,-9359000,-4007000,-6959000,1130000,77073000,15997000,100179000,23959000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11801000,-3335000,-1699000,278000,-2273000,-7557000,5205000,385000,2402000,-13904000,-2223000,11901000,-9305000
79,Inventory,- -,- -,- -,- -,-3100000,600000,2100000,-400000,-1000000,-4800000,700000,4200000,600000,800000,-1300000,664000,781000,-606000,218000,-481000,57000,-1470000,747000,411000,3648000,-254000,-1964000,361000,-373000,-2598000,1301000,-2262000,-852000,-24807000,-6044000,-4491000,-31030000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2114000,1283000,256000,-96000,379000,1464000,-2106000,888000,-60000,7691000,-3105000,-4606000,16371000
