,https://roic.ai/company/OSK,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706994000126/0000897069-94-000126-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/0000897069-98-000067-index.html,https://www.sec.gov/Archives/edgar/data/775158/000089706998000626/0000897069-98-000626-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706901500630/0000897069-01-500630-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706905002784/cmw1836.htm,https://www.sec.gov/Archives/edgar/data/775158/000089706906002423/cmw2405.htm,https://www.sec.gov/Archives/edgar/data/775158/000089706907002074/0000897069-07-002074-index.html,https://www.sec.gov/Archives/edgar/data/775158/000089706908001739/0000897069-08-001739-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465909065733/0001104659-09-065733-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465910059145/0001104659-10-059145-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465911064553/0001104659-11-064553-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515812000072/0000775158-12-000072-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515813000100/0000775158-13-000100-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515814000189/0000775158-14-000189-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515815000172/0000775158-15-000172-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515816000405/0000775158-16-000405-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515817000172/0000775158-17-000172-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515818000147/0000775158-18-000147-index.html,https://www.sec.gov/Archives/edgar/data/775158/000095012319011559/0000950123-19-011559-index.html,https://www.sec.gov/Archives/edgar/data/775158/000156459020054491/0001564590-20-054491-index.htm,https://www.sec.gov/Archives/edgar/data/775158/000156459021057221/0001564590-21-057221-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,29700000,100000,23200000,3600000,5100000,13569000,11312000,40039000,19245000,30081000,127507000,22012000,75200000,88200000,530400000,339000000,428500000,540700000,733500000,313800000,42900000,321900000,447000000,454600000,448400000,582900000,1375800000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,29700000,100000,23200000,3600000,5100000,13569000,11312000,40039000,19245000,30081000,127507000,22012000,75200000,88200000,530400000,339000000,428500000,540700000,733500000,313800000,42900000,321900000,447000000,454600000,448400000,582900000,1375800000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,65900000,57400000,76600000,81200000,81000000,93200000,106805000,211405000,142709000,159752000,253914000,280247000,317920000,1076200000,997800000,563800000,889500000,1089100000,1018600000,794300000,974900000,964600000,1021900000,1306300000,1521600000,1631800000,1341200000,1716500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,54900000,45800000,106300000,76500000,149200000,198400000,194931000,258038000,210866000,242076000,368067000,489997000,589770000,909500000,941600000,789700000,848600000,786800000,937500000,822000000,960900000,1301700000,979800000,1198400000,1227700000,1249200000,1505400000,1267400000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,12300000,17200000,12900000,16000000,19600000,20132000,22395000,33422000,45485000,58645000,56633000,73692000,134000000,124800000,259300000,138800000,150200000,197700000,203600000,134700000,120100000,93900000,88100000,66000000,78900000,106300000,58200000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,152000000,145200000,200200000,193800000,249800000,316300000,335437000,503150000,427036000,466558000,710707000,954384000,1003394000,2194900000,2152400000,2143200000,2215900000,2454600000,2694500000,2553400000,2384300000,2429300000,2417500000,3039800000,3269900000,3408300000,3535800000,4417900000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,50500000,39900000,58000000,55500000,80800000,84000000,118759000,141928000,140361000,146469000,168576000,193026000,231895000,429600000,453300000,410200000,403600000,388700000,369900000,362200000,405500000,475800000,452100000,469900000,481100000,573600000,728100000,812800000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,558724000,2435400000,2274100000,1077300000,1049600000,1041500000,1033800000,1041000000,1025500000,1001100000,1003500000,1013000000,1007900000,995700000,1009500000,1052000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166500000,163300000,326700000,319800000,310731000,415277000,423033000,440276000,525569000,528400000,219239000,1162100000,1059900000,967800000,896300000,838700000,775400000,714700000,657900000,606700000,553500000,507800000,469400000,432300000,418200000,466800000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,166500000,163300000,326700000,319800000,310731000,415277000,423033000,440276000,525569000,528400000,777963000,3597500000,3334000000,2045100000,1945900000,1880200000,1809200000,1755700000,1683400000,1607800000,1557000000,1520800000,1477300000,1428000000,1427700000,1518800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,19000000,35000000,38000000,37300000,30400000,31800000,18800000,39800000,42700000,37600000,35400000,36100000,33800000,31000000,30500000,66600000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14600000,6000000,8400000,4200000,9700000,107900000,78600000,8300000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,14400000,15800000,10500000,7800000,27700000,33200000,31453000,28913000,33899000,29829000,47562000,22493000,78656000,142800000,103800000,132200000,112800000,71600000,55400000,54600000,56200000,56500000,43400000,28100000,22400000,17500000,15200000,67200000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,64900000,55700000,235000000,226600000,435200000,437000000,460943000,586118000,597293000,616574000,741707000,763919000,1107514000,4204900000,3929100000,2624800000,2492700000,2372300000,2253300000,2212300000,2202400000,2183700000,2096300000,2059100000,2024300000,2158000000,2280100000,2473700000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,216900000,200900000,435200000,420400000,685000000,753300000,796380000,1089268000,1024329000,1083132000,1452414000,1718303000,2110908000,6399800000,6081500000,4768000000,4708600000,4826900000,4947800000,4765700000,4586700000,4613000000,4513800000,5098900000,5294200000,5566300000,5815900000,6891600000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000000,28300000,49200000,48200000,65200000,84700000,84215000,107864000,116422000,115739000,200290000,226768000,236455000,628100000,639900000,555800000,717700000,768900000,683300000,531700000,586700000,552800000,466100000,651000000,776900000,795500000,577800000,860400000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,15000000,15100000,31900000,32469000,96302000,42046000,70355000,98580000,42853000,135957000,81500000,93500000,15000000,215900000,40100000,- -,65000000,20000000,83500000,20000000,23000000,- -,- -,5200000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64900000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25457000,35355000,30700000,- -,- -,- -,507000000,623400000,318200000,310100000,440200000,471800000,513400000,444900000,382000000,491400000,654300000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,25100000,68500000,80500000,128400000,156200000,148292000,175035000,234604000,281900000,380811000,480461000,474307000,807700000,729800000,1087800000,878400000,375800000,397800000,465800000,394800000,381600000,409700000,495700000,468300000,564400000,510700000,637000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,70000000,53400000,132700000,143700000,208700000,272800000,264976000,379201000,393072000,467994000,679681000,775539000,882074000,1548000000,1463200000,1658600000,1812000000,1691800000,1704500000,1380700000,1311600000,1458100000,1367600000,1683100000,1690100000,1741900000,1585100000,2151700000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,8700000,- -,142900000,120000000,277300000,255300000,154238000,282249000,131713000,1510000,3209000,2589000,2176000,2975600000,2680500000,2023200000,1086400000,1020000000,955000000,890000000,875000000,855000000,826200000,807900000,818000000,819000000,817900000,818800000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8500000,- -,24000000,22500000,47800000,44300000,46414000,40334000,39303000,47619000,66543000,55443000,100032000,340100000,308900000,239600000,189600000,171300000,129600000,143000000,125000000,91700000,11300000,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8100000,14100000,14000000,13300000,19900000,18000000,29695000,40458000,50481000,47146000,64259000,62917000,60963000,138700000,237000000,330300000,293800000,347200000,305200000,244200000,290100000,297100000,332200000,300500000,272600000,405600000,562200000,673300000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,25300000,14100000,180900000,155800000,345000000,317600000,230347000,363041000,221497000,96275000,134011000,120949000,163171000,3454400000,3226400000,2593100000,1569800000,1538500000,1389800000,1277200000,1290100000,1243800000,1169700000,1108400000,1090600000,1224600000,1380100000,1492100000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,95300000,67500000,313600000,299500000,553700000,590400000,495323000,742242000,614569000,564269000,813692000,896488000,1045245000,5002400000,4689600000,4251700000,3381800000,3230300000,3094300000,2657900000,2601700000,2701900000,2537300000,2791500000,2780700000,2966500000,2965200000,3643800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000,178000,178000,178000,356000,356000,733000,738000,700000,700000,900000,900000,900000,900000,900000,900000,900000,900000,900000,700000,700000,700000,700000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,116900000,121700000,114200000,120100000,131000000,157800000,201791000,246915000,300713000,369407000,472025000,619290000,797773000,1036300000,1082900000,-30800000,759200000,1032700000,1263500000,1581500000,1840100000,2016500000,2177000000,2399800000,2007900000,2505000000,2747700000,3129300000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-63200000,-64300000,-67000000,-72200000,-75900000,-70600000,-87748000,-102238000,-120684000,-138801000,-147962000,13000000,59000000,129000000,56000000,-75000000,-93000000,-123000000,-101000000,-15000000,-69000000,-144000000,-175000000,-125000000,-107000000,-202000000,-198000000,-131000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,67900000,76000000,74400000,73000000,76200000,75600000,186836000,202171000,229553000,287901000,311674000,185647000,204394000,227600000,249000000,619000000,659500000,685900000,690100000,540400000,213000000,37700000,-26400000,31700000,611900000,296100000,300300000,248800000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,121600000,133400000,121600000,120900000,131300000,162900000,301057000,347026000,409760000,518863000,636093000,818670000,1061905000,1393600000,1388600000,514100000,1326600000,1596500000,1853500000,2107800000,1985000000,1911100000,1976500000,2307400000,2513500000,2599800000,2850700000,3247800000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,216900000,200900000,435200000,420400000,685000000,753300000,796380000,1089268000,1024329000,1083132000,1449785000,1715158000,2107150000,6396000000,6078200000,4765800000,4708400000,4826800000,4947800000,4765700000,4586700000,4613000000,4513800000,5098900000,5294200000,5566300000,5815900000,6891600000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2629000,3145000,3758000,3800000,3300000,2200000,200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,216900000,200900000,435200000,420400000,685000000,753300000,796380000,1089268000,1024329000,1083132000,1452414000,1718303000,2110908000,6399800000,6081500000,4768000000,4708600000,4826900000,4947800000,4765700000,4586700000,4613000000,4513800000,5098900000,5294200000,5566300000,5815900000,6891600000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/775158/000089706994000126/0000897069-94-000126-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/0000897069-98-000067-index.html,https://www.sec.gov/Archives/edgar/data/775158/000089706998000626/0000897069-98-000626-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706901500630/0000897069-01-500630-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775158/000089706905002784/cmw1836.htm,https://www.sec.gov/Archives/edgar/data/775158/000089706906002423/cmw2405.htm,https://www.sec.gov/Archives/edgar/data/775158/000089706907002074/0000897069-07-002074-index.html,https://www.sec.gov/Archives/edgar/data/775158/000089706908001739/0000897069-08-001739-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465909065733/0001104659-09-065733-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465910059145/0001104659-10-059145-index.html,https://www.sec.gov/Archives/edgar/data/775158/000110465911064553/0001104659-11-064553-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515812000072/0000775158-12-000072-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515813000100/0000775158-13-000100-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515814000189/0000775158-14-000189-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515815000172/0000775158-15-000172-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515816000405/0000775158-16-000405-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515817000172/0000775158-17-000172-index.html,https://www.sec.gov/Archives/edgar/data/775158/000077515818000147/0000775158-18-000147-index.html,https://www.sec.gov/Archives/edgar/data/775158/000095012319011559/0000950123-19-011559-index.html,https://www.sec.gov/Archives/edgar/data/775158/000156459020054491/0001564590-20-054491-index.htm,https://www.sec.gov/Archives/edgar/data/775158/000156459021057221/0001564590-21-057221-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,12800000,-2800000,800000,8800000,1100000,13100000,9200000,-3100000,10000000,15100000,31100000,49703000,50864000,59598000,75620000,112806000,160205000,205529000,268100000,79300000,-1098800000,790000000,273400000,230800000,318000000,309300000,229500000,216400000,285600000,471900000,579400000,324500000,472700000
74,Depreciation and Amortization,- -,- -,- -,- -,5100000,6600000,7500000,7800000,9400000,10100000,8400000,8800000,14100000,18700000,23200000,24218000,28497000,25392000,26120000,27961000,34699000,37467000,129000000,152900000,152000000,172900000,144400000,130900000,126800000,126800000,124500000,128800000,130300000,120500000,115200000,104200000,104000000
75,Deferred Income Tax,- -,- -,- -,- -,-1300000,-2800000,-1200000,2300000,-7300000,-3700000,2600000,-1400000,-4000000,- -,-3400000,2277000,-2697000,-1898000,1980000,-32000,3974000,-19604000,13600000,-10400000,-51200000,-70700000,10000000,-60200000,-30400000,-19800000,-12200000,-17000000,7800000,-3100000,10400000,22400000,88600000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10900000,14700000,15500000,18500000,24400000,25000000,21400000,18700000,22400000,26700000,29000000,29300000,27200000
77,Change in Working Capital,- -,- -,- -,- -,-9300000,- -,- -,- -,82000000,9800000,-24300000,-17400000,-9000000,2400000,26961000,53488000,-89985000,-35400000,32462000,147819000,-57525000,525580000,42300000,-204600000,-80700000,358900000,227200000,182700000,-100000000,-101500000,78700000,306800000,223100000,86600000,284300000,315500000,532800000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173200000,266700000,-128300000
