,https://roic.ai/company/NAT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
11,COGS and Expenses,- -,2216562,7428599,7427324,7389619,7369560,7442869,7483908,24671971,68222850,103278000,133741000,96662000,121952000,125638000,149800000,186554000,332263000,355824000,317645000,309438000,343372000,318845000,285249000,273392000,279911000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,931000,614000,632000,1187000,357000,146000,181000,114000,215000,347000,334000,298000,96000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3392000,2020000,2219000,2130000,5854000,11518000,12244000,7590000,8811000,18286000,29753000,34018000,27127000,26377000
14,Depreciation and Amortization,- -,1707807,6831039,6831039,6831040,6831040,6831040,6831040,6918164,17529000,29254000,42877000,48284000,55035000,62545000,64626000,69219000,74375000,80531000,82610000,90889000,100669000,60695000,63965000,67834000,- -
15,EBITDA,- -,4904299,15460551,12605715,34500004,26216516,15678308,34931329,47734096,63846742,96647000,87083000,170520000,58067000,63955000,-5542000,1881000,-19438000,80014000,204923000,95346000,-85931000,-4779000,87702000,145058000,-93046000
16,EBITDA ratio,- -,0.9313,0.9659,0.8527,0.9432,0.9244,0.8682,0.9347,0.7077,0.5452,0.5506,0.4657,0.7479,0.4669,0.5059,-0.0585,0.0144,-0.0798,0.2279,0.4597,0.2667,-0.2892,-0.0165,0.2765,0.4091,-0.4753
17,Operating Income,- -,3049318,8577600,7355176,29187643,20990008,10615120,29886848,42779627,48887328,72242000,53245000,121288000,2418000,778000,-71213000,-67902000,-93608000,-4775000,128093000,53341000,-175690000,-38616000,31971000,81227000,-92558000
18,Operating Income ratio,- -,0.5791,0.5359,0.4976,0.7980,0.7401,0.5878,0.7997,0.6342,0.4174,0.4116,0.2848,0.5320,0.0194,0.0062,-0.7513,-0.5196,-0.3842,-0.0136,0.2874,0.1492,-0.5913,-0.1336,0.1008,0.2291,-0.4728
19,Total Other Income Expenses (Gains),- -,- -,51912,-1580500,-1518679,-1604532,-1767852,-1786559,-1963695,-2569586,-4849000,-260000,18000,- -,- -,-1085000,-5290000,-11723000,-9651000,-10908000,-11053000,-20761000,-48944000,-42252000,-31130000,-26865000
20,Income Before Tax,- -,- -,8629512,5774676,27668964,19385476,8847268,28100289,40815932,46317742,67393000,- -,- -,- -,- -,-72298000,-73192000,-105331000,-14426000,117185000,42288000,-196451000,-87560000,-10281000,50097000,-119423000
21,Income Before Tax Ratio,- -,- -,0.5391,0.3906,0.7565,0.6836,0.4899,0.7519,0.6051,0.3955,0.3840,- -,- -,- -,- -,-0.7627,-0.5601,-0.4323,-0.0411,0.2629,0.1183,-0.6611,-0.3030,-0.0324,0.1413,-0.6101
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86000,47000,96000,102000,83000,79000,71000,64000,- -
23,Net Income,- -,3196492,8629512,5774676,27668964,19385476,8847268,28100289,40815932,46317742,67393000,44206000,118844000,1012000,-809000,-72298000,-73192000,-105417000,-12808000,114627000,-4456000,-204969000,-95306000,-10352000,50033000,-119423000
24,Net Income ratio,- -,0.6070,0.5391,0.3906,0.7565,0.6836,0.4899,0.7519,0.6051,0.3955,0.3840,0.2364,0.5212,0.0081,-0.0064,-0.7627,-0.5601,-0.4326,-0.0365,0.2572,-0.0125,-0.6898,-0.3298,-0.0326,0.1411,-0.6101
25,EPS,- -,0.27,0.89,0.59,2.85,2.00,0.91,2.89,4.05,3.03,3.14,1.56,3.63,0.03,-0.02,-1.53,-1.39,-1.64,-0.15,1.29,-0.05,-0.73,-0.67,-0.07,0.34,-0.80
26,EPS Diluted,- -,0.27,0.89,0.59,2.85,2.00,0.91,2.89,4.05,3.03,3.14,1.56,3.63,0.03,-0.02,-1.53,-1.39,-1.64,-0.15,1.29,-0.05,-0.73,-0.67,-0.07,0.34,-0.80
27,Weighted Average Shares Outstanding,- -,11814000,11724138,9787586,9706606,9706606,9706606,9706606,10078391,15263622,21476196,28252472,32739057,40449522,46551564,47159402,52547623,64101923,85401179,89182001,92531001,103832680,141969666,142571361,149292586,149292586
28,Weighted Average Shares Outstanding Diluted,- -,11814000,11724138,10000000,9706606,9706606,9706606,9706606,10078391,15263622,21476196,28294997,32739057,42204904,46551564,47159402,52547623,64101923,85401179,89182001,92531001,103832680,141969666,142571361,149292586,149292586
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1000177/000091957400000366/0000919574-00-000366-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000177/000091957409010135/d979282_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957410003718/d1101767_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957411002780/d1189659_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957412002820/d1279700_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000119312513113445/0001193125-13-113445-index.html,https://www.sec.gov/Archives/edgar/data/1000177/000091957414002516/d1458032_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957415003231/d6447790_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957416012108/0000919574-16-012108-index.html,https://www.sec.gov/Archives/edgar/data/1000177/000091957417003670/d7447569_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957418003811/d7865063_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957419002964/d8125306_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957420002937/d8496729_20-f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,19499,3637758,2507017,1922925,630868,277783,565924,30732516,14240482,11729000,13342000,31378000,30496000,17221000,24006000,55511000,65675000,100736000,29889000,82170000,58359000,49327000,48847000,57847000,34739000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,583000,549000,- -,- -,- -,- -,- -,- -,825000,- -,- -
33,Cash and Short-Term Investments,- -,19499,3637758,2507017,1922925,630868,277783,565924,30732516,14240482,11729000,13342000,31378000,30496000,17221000,24589000,56060000,65675000,100736000,29889000,82170000,58359000,49327000,49672000,57847000,34739000
34,Net Receivables,- -,1500000,- -,100000,10228286,170180,3276523,8142307,4539354,19556725,13417000,14489000,40335000,22685000,11046000,19157000,12916000,18801000,16412000,28597000,18070000,22474000,22594000,24583000,6349000,9374000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5110000,- -,- -,- -,- -,7586000,4048000,24281000,22223000,14843000,20886000,23086000,20291000,22475000,19408000,20873000
36,Other Current Assets,- -,95216,170208,43228,116248,113435,112288,106142,1479710,5593433,14222000,16972000,22406000,57020000,43376000,31768000,5549000,22639000,37128000,44850000,42583000,23068000,20733000,32642000,15918000,42622000
37,Total Current Assets,- -,1614715,3807966,2650245,12267459,914483,3666594,8814373,36751580,39390640,44478000,44803000,94119000,110201000,71643000,83100000,78573000,131396000,176499000,118179000,163709000,126987000,112945000,129372000,99522000,107608000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,873803000,790938000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18979000,18979000,18979000,18979000,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18979000,18979000,18979000,18979000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61000,271000,64128000,55223000,64877000,16550000,12164000,4197000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,169068163,162237124,155406085,148575045,141744005,134912965,128081925,187451831,466453813,755702000,759825000,719759000,836377000,1011440000,1042224000,1006780000,921934000,918323000,1042591000,1150666000,1001912000,953969000,901531000,1022000,4511000
45,Total Non-Current Assets,- -,169068163,162237124,155406085,148575045,141744005,134912965,128081925,187451831,466453813,755702000,759825000,719759000,836377000,1011440000,1042285000,1007051000,1005041000,992525000,1126447000,1186195000,1014076000,958166000,901531000,874825000,795449000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,170682878,166045090,158056330,160842504,142658488,138579559,136896298,224203411,505844453,800180000,804628000,813878000,946578000,1083083000,1125385000,1085624000,1136437000,1169024000,1244626000,1349904000,1141063000,1071111000,1030903000,974347000,903057000
48,Accounts Payable,- -,- -,675384,- -,- -,- -,996,- -,411366,1562188,3006000,7290000,1947000,3364000,2934000,5304000,4631000,6447000,6664000,4247000,4294000,3218000,3575000,8405000,4099000,6552000
49,Short-Term Debt,- -,- -,43781,- -,- -,- -,- -,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18692000,23537000,- -,37547000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1286070,- -,- -,- -,449000,537000,- -,- -,- -,- -,2654000,- -,- -,- -,- -,- -,140000,- -
52,Other Current Liabilities,- -,1181385,1998,79332,43500,38666,215466,1188322,637582,3410094,11728000,17068000,3818000,2909000,4060000,12642000,10343000,12816000,14717000,16612000,17231000,22112000,14023000,27086000,35440000,23546000
53,Total Current Liabilities,- -,1181385,721163,79332,43500,38666,216462,31188322,2335018,4972282,14734000,24358000,6214000,6810000,6994000,17946000,14974000,19263000,24035000,20859000,21525000,25330000,36290000,59028000,39679000,67645000
54,Long-Term Debt,- -,- -,30000000,30000000,30000000,30000000,30000000,- -,- -,130000000,173500000,105500000,15000000,- -,75000000,230000000,250000000,250000000,250000000,330000000,442820000,388855000,417836000,375364000,334615000,283411000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37000,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,-1998,-1999,- -,778000,2016000,- -,- -,- -,- -,2665000,4078000,5684000,8134000,9876000,11267000,12153000,12914000,13046000,14510000,15814000,14954000,1087000,927000,1873000
58,Total Non-Current Liabilities,- -,- -,29998002,29998001,30000000,30778000,32016000,- -,- -,130000000,173500000,108165000,19078000,5684000,83134000,239876000,261267000,262190000,262914000,343046000,457330000,404669000,432790000,376451000,335542000,285284000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,934000,730000,- -
61,Total Liabilities,- -,1181385,30719165,30077333,30043500,30816666,32232462,31188322,2335018,134972282,188234000,132523000,25292000,12494000,90128000,257822000,276241000,281453000,286949000,363905000,478855000,429999000,469080000,435479000,375221000,352929000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,118138,97066,97066,97066,97066,97066,97066,130678,166445,269000,300000,344000,422000,469000,473000,529000,754000,892000,892000,1020000,1420000,1420000,1472000,1514000,- -
64,Retained Earnings,- -,169383355,- -,- -,-13693928,-31873110,-36129835,-37634956,-44014866,-61976611,-117174000,-180316000,-117020000,- -,-809000,854435000,-73192000,-105417000,-12808000,- -,-4456000,-209425000,-308803000,-10352000,- -,- -
65,Other Comprehensive Income/Loss,- -,-1700000,-8500000,-15400000,-170775970,-29031965,-35863005,-42694045,-49612209,-17529000,-96396000,-138759000,-185950000,-238557000,-295526000,-344244000,-425493000,-487485000,-1000000,-1000000,-1000000,-1000000,-1000000,-1000000,-537348000,- -
66,Other Total Stockholders Equity,- -,1700000,143728859,143281931,315171836,172649831,178242871,185939911,315364790,450211337,825247000,990880000,1091212000,1172219000,1288821000,356899000,1307539000,1447132000,894991000,880829000,875485000,920069000,910414000,605304000,1134960000,- -
67,Total Stockholders Equity,- -,169501493,135325925,127978997,130799004,111841822,106347097,105707976,221868393,370872171,611946000,672105000,788586000,934084000,992955000,867563000,809383000,854984000,882075000,880721000,871049000,711064000,602031000,595424000,599126000,550128000
68,Total Liabilities And Stockholders Equity,- -,170682878,166045090,158056330,160842504,142658488,138579559,136896298,224203411,505844453,800180000,804628000,813878000,946578000,1083083000,1125385000,1085624000,1136437000,1169024000,1244626000,1349904000,1141063000,1071111000,1030903000,974347000,903057000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,170682878,166045090,158056330,160842504,142658488,138579559,136896298,224203411,505844453,800180000,804628000,813878000,946578000,1083083000,1125385000,1085624000,1136437000,1169024000,1244626000,1349904000,1141063000,1071111000,1030903000,974347000,903057000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1000177/000091957400000366/0000919574-00-000366-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000177/000091957409010135/d979282_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957410003718/d1101767_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957411002780/d1189659_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957412002820/d1279700_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000119312513113445/0001193125-13-113445-index.html,https://www.sec.gov/Archives/edgar/data/1000177/000091957414002516/d1458032_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957415003231/d6447790_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957416012108/0000919574-16-012108-index.html,https://www.sec.gov/Archives/edgar/data/1000177/000091957417003670/d7447569_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957418003811/d7865063_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957419002964/d8125306_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957420002937/d8496729_20-f.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,3196492,8629512,5774676,27668964,19385476,8847268,28100289,40815932,46317742,67393000,44206000,118844000,1012000,-809000,-72298000,-73192000,-105417000,-12808000,114627000,-4456000,-204969000,-95306000,-10352000,50033000,-119423000
74,Depreciation and Amortization,- -,1707807,6831039,6831039,6831040,6831040,6831040,6831040,6918164,17529000,29254000,42877000,48284000,55035000,62545000,64626000,69219000,74375000,80531000,82610000,90889000,100669000,60695000,63965000,67834000,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4633000,3233000,2898000,1320000,1258000,2093000,997000,388000,430000,522000,413000,156000,285000,- -
77,Change in Working Capital,- -,- -,-2700000,-600000,-10249629,10041605,-2941880,-5052258,5717962,-6126946,1650000,-7661000,-45285000,6862000,-4780000,-12895000,2530000,-7443000,-5572000,-15749000,6879000,13868000,-7660000,6832000,10069000,- -
78,Accounts Receivable,- -,- -,-2700000,-600000,-10249629,- -,- -,- -,3602956,-15017371,6140000,-1072000,-25846000,17650000,7326000,-8111000,6241000,-11435000,3539000,-11755000,10096000,-4403000,-120000,-1989000,18109000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5233000,3538000,3528000,2438000,7380000,-6043000,-2200000,2794000,-2184000,3068000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,1010626,3386273,9763000,-2971000,- -,- -,- -,- -,-6999000,-3796000,2784000,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,-2941880,-5052258,- -,6253167,2411000,-8238000,-10305000,-9132000,-8590000,-6311000,-13282000,- -,- -,- -,- -,- -,- -,- -,- -,- -
82,Other Non-Cash Items,- -,-4847727,17788,-14852,14490,14480,14480,14480,9365203,-6664208,8316000,4227000,1424000,-2947000,-2102000,7084000,-382000,-10873000,-5669000,-7485000,34044000,121651000,25755000,-7743000,-17277000,74965000
83,Cash Provided by Operating Activities,- -,56572,12778339,11990863,24264865,36272601,12750908,29893551,62817261,51055588,106613000,83649000,127900000,63195000,57752000,-12163000,-567000,-47265000,57479000,174391000,127786000,31741000,-16103000,52858000,110944000,-44458000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,-66137277,-294161063,-317800000,-8424000,-10053000,-190330000,-194426000,-91536000,-2745000,-8847000,-74053000,-123476000,-138364000,-37567000,-4870000,-2531000,-18078000,-17727000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-61000,- -,-66372000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-795000,- -,- -,-11403000,-9508000,- -,-10000000,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,600000,3772000,4227000,1685000,1041000,- -,212000,602000,- -
88,Other Investing Activites,- -,-119551210,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18000000,- -,- -,-8384000,10609000,8871000,1364000,-1000,-68666000,-50130000,- -,89924000,- -,- -,14262000
89,Cash Used for Investing Activites,- -,-119551210,- -,- -,- -,- -,- -,- -,-66137277,-294161063,-317800000,-26424000,-10053000,-190330000,-202810000,-81783000,6126000,-73255000,-81685000,-197423000,-186809000,-46526000,85054000,-2319000,-17476000,-3465000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,-220544497,-5000000,-231000000,-123000000,-117816000,-81000000,-150000000,- -,-250000000,-40000000,- -,- -,- -,-55359000,-80603000,-334997000,-75526000,-38738000
91,Common Stock Issued,- -,119430862,- -,- -,- -,- -,- -,- -,112137953,161967534,288357000,119751000,158890000,236684000,136510000,4000,75582000,172611000,113433000,- -,120068000,103748000,- -,17922000,20713000,80051000
92,Common Stock Repurchased,- -,- -,-27055933,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,-4725540,-15712421,-13103918,-24848957,-37564658,-13103993,-29605410,-47195842,-64279487,-122590000,-107349000,-165886000,-95431000,-79728000,-54273000,-63497000,-41756000,-54069000,-123071000,-125650000,-54226000,-9936000,-14255000,-67242000,-9700000
94,Other Financing Activites,- -,4725540,30000000,-17686,- -,- -,- -,- -,189088994,133925394,273909000,54986000,25000000,66000000,225001000,155000000,263861000,40000000,- -,75360000,116870000,-13125000,12505000,293079000,28980000,-1100000
95,Cash Used/Provided by Financing Activities,- -,119430862,-12768354,-13121604,-24848957,-37564658,-13103993,-29605410,33486608,226613441,208676000,-55612000,-99812000,126253000,131783000,100731000,25946000,130855000,59364000,-47711000,111288000,-18962000,-78034000,-38251000,-93075000,30513000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-171000,-97000,-104000,15000,-64000,51000,23000,39000,-13000
97,Net Change In Cash,- -,-63776,-26691,-1130741,-584092,-1292057,-353085,288141,30166592,-16492034,-2511000,1613000,18036000,-882000,-13275000,6785000,31505000,10164000,35061000,-70847000,52281000,-23811000,-9032000,12311000,432000,-17422000
98,Cash at the End of Period,- -,19499,3637758,2507017,1922925,630868,277783,565924,30732516,14240482,11729000,13342000,31378000,30496000,17221000,24006000,55511000,65675000,100736000,29889000,82170000,58359000,49327000,61638000,62070000,44648000
99,Cash at the Beginning of Period,- -,83275,3664449,3637758,2507017,1922925,630868,277783,565924,30732516,14240000,11729000,13342000,31378000,30496000,17221000,24006000,55511000,65675000,100736000,29889000,82170000,58359000,49327000,61638000,62070000
100,Free Cash Flow,- -,56572,12778339,11990863,24264865,36272601,12750908,29893551,-3320016,-243105475,-211187000,75225000,117847000,-127135000,-136674000,-103699000,-3312000,-56112000,-16574000,50915000,-10578000,-5826000,-20973000,50327000,92866000,-62185000
101,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1000177/000091957400000366/0000919574-00-000366-index.html,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000177/000091957409010135/d979282_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957410003718/d1101767_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957411002780/d1189659_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957412002820/d1279700_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000119312513113445/0001193125-13-113445-index.html,https://www.sec.gov/Archives/edgar/data/1000177/000091957414002516/d1458032_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957415003231/d6447790_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957416012108/0000919574-16-012108-index.html,https://www.sec.gov/Archives/edgar/data/1000177/000091957417003670/d7447569_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957418003811/d7865063_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957419002964/d8125306_20-f.htm,https://www.sec.gov/Archives/edgar/data/1000177/000091957420002937/d8496729_20-f.htm,- -,- -
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
