,https://roic.ai/company/CCL,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
14,Depreciation and Amortization,16600000,24500000,27500000,66700000,89900000,-85200000,-88800000,-93300000,110595000,128433000,144987000,167287000,200668000,243658000,287667000,372224000,382343000,585000000,812000000,902000000,988000000,1101000000,1249000000,1309000000,1416000000,1522000000,1527000000,1588000000,1635000000,1626000000,1738000000,1846000000,2017000000,2160000000,2241000000,2233000000
15,EBITDA,114300000,177300000,223900000,266700000,300600000,8800000,196800000,230400000,502413000,588898000,720334000,839570000,1040368000,1273676000,1254219000,1286167000,1341722000,1808000000,2713000000,3232000000,3306000000,3525000000,4040000000,3495000000,3773000000,3799000000,3165000000,2979000000,3168000000,3642000000,4789000000,4710000000,5417000000,5427000000,-7117000000,-5688000000
16,EBITDA ratio,0.2716,0.3143,0.3734,0.2324,0.2161,0.0063,0.1336,0.1480,0.2782,0.2947,0.3256,0.3430,0.3457,0.3642,0.3319,0.2836,0.3072,0.2691,0.2789,0.2915,0.2792,0.2705,0.2758,0.2656,0.2608,0.2405,0.2058,0.1927,0.1994,0.2318,0.2922,0.2690,0.2869,0.2606,-1.2723,-2.9811
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,443674000,490038000,597428000,714070000,896524000,1019699000,982958000,891731000,1042059000,1383000000,2173000000,2639000000,2613000000,2725000000,2729000000,2154000000,2347000000,2255000000,1642000000,1352000000,1792000000,2574000000,3071000000,2809000000,3325000000,3276000000,-8865000000,-7089000000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,0.2457,0.2452,0.2700,0.2918,0.2979,0.2916,0.2601,0.1966,0.2386,0.2059,0.2234,0.2380,0.2207,0.2091,0.1863,0.1637,0.1622,0.1428,0.1067,0.0875,0.1128,0.1638,0.1874,0.1604,0.1761,0.1573,-1.5847,-3.7154
19,Total Other Income Expenses (Gains),3900000,14000000,40200000,-40800000,-58800000,-53100000,-34100000,-24000000,-51856000,-29573000,-22081000,-41787000,-56824000,10319000,-16406000,22212000,-82680000,-160000000,-272000000,-309000000,-295000000,-301000000,-352000000,-348000000,-368000000,-343000000,-340000000,-280000000,-547000000,-775000000,-243000000,-143000000,-118000000,-216000000,-1388000000,-2433000000
20,Income Before Tax,- -,- -,- -,200000000,210700000,262800000,290800000,323700000,391818000,460465000,575347000,672283000,839700000,1030018000,966552000,913943000,959379000,1223000000,1901000000,2330000000,2318000000,2424000000,2377000000,1806000000,1979000000,1912000000,1302000000,1072000000,1245000000,1799000000,2828000000,2666000000,3207000000,3060000000,-10253000000,-9522000000
21,Income Before Tax Ratio,- -,- -,- -,0.1743,0.1514,0.1871,0.1973,0.2079,0.2170,0.2304,0.2600,0.2747,0.2790,0.2945,0.2558,0.2015,0.2196,0.1820,0.1954,0.2102,0.1958,0.1860,0.1623,0.1373,0.1368,0.1211,0.0846,0.0694,0.0784,0.1145,0.1726,0.1523,0.1699,0.1469,-1.8329,-4.9906
22,Income Tax expense (Gain),- -,- -,- -,6400000,4500000,9000000,9000000,5500000,10053000,9374000,9045000,6233000,3815000,2778000,1094000,-12257000,-56562000,29000000,47000000,73000000,39000000,16000000,47000000,16000000,1000000,- -,4000000,-6000000,9000000,42000000,49000000,60000000,54000000,71000000,-17000000,-21000000
23,Net Income,97700000,152800000,196400000,193600000,206200000,85000000,276600000,318200000,381765000,451091000,566302000,666050000,835885000,1027240000,965458000,926200000,1015941000,1194000000,1854000000,2257000000,2279000000,2408000000,2330000000,1790000000,1978000000,1912000000,1298000000,1078000000,1236000000,1757000000,2779000000,2606000000,3152000000,2990000000,-10236000000,-9501000000
24,Net Income ratio,0.2322,0.2709,0.3275,0.1687,0.1482,0.0605,0.1877,0.2044,0.2114,0.2258,0.2559,0.2721,0.2778,0.2937,0.2555,0.2042,0.2326,0.1777,0.1906,0.2036,0.1925,0.1848,0.1591,0.1360,0.1367,0.1211,0.0844,0.0697,0.0778,0.1118,0.1696,0.1488,0.1669,0.1436,-1.8298,-4.9796
25,EPS,0.06,0.08,0.09,0.09,0.10,0.04,0.12,0.14,0.34,0.80,0.97,1.11,1.40,1.68,1.61,1.58,1.73,1.66,2.31,2.80,2.85,3.04,2.96,2.27,2.51,2.43,1.67,1.39,1.59,2.26,3.73,3.61,4.45,4.34,-13.20,-12.26
26,EPS Diluted,0.06,0.08,0.09,0.09,0.10,0.04,0.12,0.14,0.34,0.80,0.97,1.11,1.40,1.66,1.60,1.58,1.73,1.66,2.24,2.70,2.77,2.95,2.90,2.24,2.47,2.42,1.67,1.39,1.59,2.26,3.72,3.59,4.44,4.32,-13.20,-12.26
27,Weighted Average Shares Outstanding,434296000,538892000,538444000,544988000,545028000,562376000,564276000,564668000,565064000,567410063,580822564,597354260,597060714,611452381,599663354,586202532,587249133,719277108,802597403,806071429,799649123,792105263,786000000,787000000,788000000,787000000,778000000,775000000,776000000,777000000,745000000,723000000,709000000,690000000,775000000,775000000
28,Weighted Average Shares Outstanding Diluted,434296000,538892000,538444000,544988000,545028000,562376000,564276000,564668000,565064000,1128923077,1143037975,1201647059,597060714,618819277,603411250,586202532,587249133,719277108,827678571,835925926,822743682,816271186,816000000,804000000,805000000,789000000,779000000,777000000,778000000,779000000,747000000,725000000,710000000,692000000,775000000,775000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815097/000081509796000001/0000815097-96-000001-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815097/000116923208000308/0001169232-08-000308-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312509013746/0001193125-09-013746-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312510016470/0001193125-10-016470-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312511018320/0001193125-11-018320-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312512028375/0001193125-12-028375-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312513027239/0001193125-13-027239-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312514025514/0001193125-14-025514-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509715000007/0000815097-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509716000030/0000815097-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509717000001/0000815097-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509718000005/0000815097-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509719000004/0000815097-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509720000003/0000815097-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509721000027/0000815097-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/0000815097-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,59700000,349200000,356700000,112700000,130400000,221700000,115000000,60200000,54105000,53365000,111629000,139989000,137273000,521771000,189282000,1421300000,666700000,1070000000,643000000,1178000000,1163000000,943000000,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,982000000,518000000,9513000000,8939000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,70115000,50395000,12486000,9738000,5956000,22800000,- -,36784000,39005000,1000000,17000000,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000
33,Cash and Short-Term Investments,59700000,349200000,356700000,112700000,130400000,221700000,115000000,60200000,124220000,103760000,124115000,149727000,143229000,544571000,189282000,1458084000,705705000,1071000000,660000000,1187000000,1163000000,943000000,650000000,538000000,429000000,450000000,465000000,462000000,331000000,1395000000,603000000,395000000,982000000,518000000,9513000000,9139000000
34,Net Receivables,6400000,8300000,8900000,35800000,19400000,12500000,21600000,19300000,20789000,33080000,38109000,57090000,60837000,62887000,95361000,90763000,108327000,403000000,409000000,408000000,280000000,436000000,418000000,362000000,248000000,263000000,730000000,786000000,486000000,412000000,298000000,312000000,358000000,444000000,273000000,246000000
35,Inventory,8800000,10600000,10900000,26800000,36100000,34100000,31600000,37200000,45122000,48820000,53281000,54970000,75449000,84019000,100451000,91996000,91310000,171000000,240000000,250000000,263000000,331000000,315000000,320000000,320000000,374000000,390000000,374000000,364000000,330000000,322000000,387000000,450000000,427000000,335000000,356000000
36,Other Current Assets,7600000,7300000,18500000,36000000,35400000,95500000,143200000,137100000,50318000,70718000,75428000,74238000,90764000,100159000,164388000,318145000,226810000,487000000,419000000,370000000,289000000,266000000,267000000,298000000,247000000,225000000,236000000,315000000,322000000,314000000,466000000,502000000,435000000,670000000,442000000,392000000
37,Total Current Assets,82500000,375400000,395000000,211300000,221300000,363800000,311400000,253800000,240449000,256378000,290933000,336025000,370279000,791636000,549482000,1958988000,1132152000,2132000000,1728000000,2215000000,1995000000,1976000000,1650000000,1518000000,1244000000,1312000000,1821000000,1937000000,1503000000,2451000000,1689000000,1596000000,2225000000,2059000000,10563000000,10133000000
38,PP&E,440800000,474200000,568700000,1703200000,2153400000,1920100000,1961400000,2588000000,3071431000,3414823000,4099038000,4327413000,5768114000,6410527000,8001318000,8390230000,10115404000,17522000000,20823000000,21312000000,23458000000,26639000000,26457000000,29870000000,30967000000,32054000000,32137000000,32905000000,32773000000,31888000000,32429000000,34430000000,35336000000,38131000000,39444000000,39440000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,233553000,226571000,219589000,212607000,437464000,462340000,701385000,651814000,681056000,3031000000,3321000000,3206000000,3313000000,3610000000,3266000000,3451000000,3320000000,3322000000,3174000000,3210000000,3127000000,3010000000,2910000000,2967000000,2925000000,2912000000,807000000,579000000
40,Intangible Assets,- -,- -,- -,271600000,263500000,254100000,244800000,237300000,- -,- -,- -,- -,- -,- -,- -,- -,- -,1324000000,1306000000,1282000000,1321000000,1393000000,1294000000,1346000000,1320000000,1330000000,1314000000,1292000000,1270000000,1238000000,1275000000,1200000000,1176000000,1174000000,1186000000,1181000000
41,Intangible Assets,- -,- -,- -,271600000,263500000,254100000,244800000,237300000,233553000,226571000,219589000,212607000,437464000,462340000,701385000,651814000,681056000,4355000000,4627000000,4488000000,4634000000,5003000000,4560000000,4797000000,4640000000,4652000000,4488000000,4502000000,4397000000,4248000000,4185000000,4167000000,4101000000,4086000000,1993000000,1760000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,4800000,91400000,85800000,34100000,45300000,112300000,128000000,139800000,124390000,207715000,492328000,550730000,603466000,621852000,579135000,562520000,406236000,482000000,458000000,417000000,465000000,563000000,733000000,650000000,639000000,619000000,715000000,760000000,859000000,650000000,633000000,585000000,738000000,782000000,1594000000,2011000000
45,Total Non-Current Assets,445600000,565600000,654500000,2008900000,2462200000,2286500000,2334200000,2965100000,3429374000,3849109000,4810955000,5090750000,6809044000,7494719000,9281838000,9604564000,11202696000,22359000000,25908000000,26217000000,28557000000,32205000000,31750000000,35317000000,36246000000,37325000000,37340000000,38167000000,38029000000,36786000000,37247000000,39182000000,40175000000,42999000000,43031000000,43211000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,528100000,941000000,1049500000,2220200000,2683500000,2650300000,2645600000,3218900000,3669823000,4105487000,5101888000,5426775000,7179323000,8286355000,9831320000,11563552000,12334848000,24491000000,27636000000,28432000000,30552000000,34181000000,33400000000,36835000000,37490000000,38637000000,39161000000,40104000000,39532000000,39237000000,38936000000,40778000000,42400000000,45058000000,53594000000,53344000000
48,Accounts Payable,- -,- -,- -,- -,- -,76900000,71500000,81400000,86750000,90237000,84748000,106783000,168546000,195879000,332694000,269467000,268687000,645000000,631000000,690000000,438000000,561000000,512000000,568000000,503000000,576000000,549000000,639000000,626000000,627000000,713000000,762000000,730000000,756000000,624000000,797000000
49,Short-Term Debt,33700000,13800000,13700000,183200000,218500000,178100000,97900000,91600000,84644000,72752000,66369000,59620000,706009000,882083000,248219000,649462000,148642000,486000000,1662000000,3670000000,1492000000,1143000000,1608000000,950000000,1353000000,1300000000,1734000000,1468000000,1725000000,1374000000,1097000000,2202000000,2426000000,1827000000,4977000000,4859000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2805000000,3106000000,3076000000,3031000000,3032000000,3272000000,3522000000,3958000000,4395000000,4735000000,1940000000,3112000000
52,Other Current Liabilities,101400000,201500000,207100000,320800000,355800000,296300000,305400000,377000000,393563000,431721000,511625000,619739000,260558000,326951000,1134381000,561311000,1202477000,2184000000,2741000000,832000000,3485000000,5556000000,3661000000,3449000000,1094000000,1123000000,1981000000,1582000000,1538000000,1683000000,1740000000,1878000000,1653000000,1809000000,1145000000,1640000000
53,Total Current Liabilities,135100000,215300000,220800000,504000000,574300000,551300000,474800000,550000000,564957000,594710000,662742000,786142000,1135113000,1404913000,1715294000,1480240000,1619806000,3315000000,5034000000,5192000000,5415000000,7260000000,5781000000,4967000000,5755000000,6105000000,7340000000,6720000000,6921000000,6956000000,7072000000,8800000000,9204000000,9127000000,8686000000,10408000000
54,Long-Term Debt,185200000,90200000,76400000,819800000,1069000000,921700000,776600000,1031200000,1161904000,1150031000,1316632000,1015294000,1563014000,867515000,2099077000,2954854000,3011969000,6918000000,6291000000,5727000000,6355000000,6313000000,7735000000,9097000000,8011000000,8053000000,7168000000,8092000000,7363000000,7413000000,8357000000,6993000000,7897000000,9675000000,23403000000,29748000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,91630000,20241000,63036000,82680000,146332000,157998000,170814000,299000000,- -,- -,- -,- -,786000000,736000000,693000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,157998000,170814000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,3200000,4100000,6200000,9400000,10500000,14028000,15873000,- -,- -,- -,- -,- -,221685000,-56458000,166000000,551000000,541000000,572000000,645000000,- -,- -,- -,647000000,724000000,736000000,960000000,1097000000,910000000,769000000,857000000,891000000,949000000,1043000000
58,Total Non-Current Liabilities,185200000,90200000,76400000,823000000,1073100000,927900000,786000000,1041700000,1175932000,1165904000,1408262000,1035535000,1626050000,950195000,2245409000,3492535000,3297139000,7383000000,6842000000,6268000000,6927000000,6958000000,8521000000,9833000000,8704000000,8700000000,7892000000,8828000000,8323000000,8510000000,9267000000,7762000000,8754000000,10566000000,24352000000,30791000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1424000000,1381000000
61,Total Liabilities,320300000,305500000,297200000,1327000000,1647400000,1479200000,1260800000,1591700000,1740889000,1760614000,2071004000,1821677000,2761163000,2355108000,3960703000,4972775000,4916945000,10698000000,11876000000,11460000000,12342000000,14218000000,14302000000,14800000000,14459000000,14805000000,15232000000,15548000000,15244000000,15466000000,16339000000,16562000000,17958000000,19693000000,33038000000,41199000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,2826000,2848000,2947000,2972000,5955000,6170000,6176000,6200000,5868000,355000000,359000000,359000000,360000000,360000000,360000000,360000000,361000000,363000000,363000000,365000000,365000000,365000000,365000000,365000000,365000000,365000000,372000000,372000000
64,Retained Earnings,191800000,236800000,353700000,493500000,635000000,652500000,850200000,1089300000,1390589000,1752140000,2207781000,2731213000,3379628000,4176498000,4884023000,5556296000,6325850000,7191000000,8623000000,10233000000,11600000000,12921000000,13980000000,15770000000,17224000000,18349000000,18479000000,18782000000,19242000000,20060000000,21843000000,23292000000,25066000000,26653000000,16075000000,6448000000
65,Other Comprehensive Income/Loss,-60600000,-84500000,-108700000,-163100000,-241000000,-289100000,-357400000,-435400000,-530700000,-649700000,-708800000,-854400000,-1025300000,-1269900000,-1484345000,-1708445000,8241000,160000000,541000000,156000000,661000000,1296000000,-623000000,462000000,-254000000,-209000000,-207000000,161000000,-616000000,-1741000000,-2454000000,-1782000000,-1949000000,-2066000000,-1436000000,-1501000000
66,Other Total Stockholders Equity,76600000,483200000,507300000,562800000,642100000,807700000,892000000,973300000,1066219000,1239585000,1528956000,1725313000,2057877000,3018479000,2464763000,2736726000,1077944000,6087000000,6237000000,6224000000,5589000000,5386000000,5381000000,5443000000,5700000000,5329000000,5294000000,5248000000,5297000000,5087000000,2843000000,2341000000,961000000,413000000,5544000000,- -
67,Total Stockholders Equity,207800000,635500000,752300000,893200000,1036100000,1171100000,1384800000,1627200000,1928934000,2344873000,3030884000,3605098000,4418160000,5931247000,5870617000,6590777000,7417903000,13793000000,15760000000,16972000000,18210000000,19963000000,19098000000,22035000000,23031000000,23832000000,23929000000,24556000000,24288000000,23771000000,22597000000,24216000000,24443000000,25365000000,20555000000,12145000000
68,Total Liabilities And Stockholders Equity,528100000,941000000,1049500000,2220200000,2683500000,2650300000,2645600000,3218900000,3669823000,4105487000,5101888000,5426775000,7179323000,8286355000,9831320000,11563552000,12334848000,24491000000,27636000000,28432000000,30552000000,34181000000,33400000000,36835000000,37490000000,38637000000,39161000000,40104000000,39532000000,39237000000,38936000000,40778000000,42401000000,45058000000,53593000000,53344000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,1000000,- -
70,Total Liabilities & Equity,528100000,941000000,1049500000,2220200000,2683500000,2650300000,2645600000,3218900000,3669823000,4105487000,5101888000,5426775000,7179323000,8286355000,9831320000,11563552000,12334848000,24491000000,27636000000,28432000000,30552000000,34181000000,33400000000,36835000000,37490000000,38637000000,39161000000,40104000000,39532000000,39237000000,38936000000,40778000000,42400000000,45058000000,53594000000,53344000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815097/000081509796000001/0000815097-96-000001-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/815097/000116923208000308/0001169232-08-000308-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312509013746/0001193125-09-013746-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312510016470/0001193125-10-016470-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312511018320/0001193125-11-018320-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312512028375/0001193125-12-028375-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312513027239/0001193125-13-027239-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000119312514025514/0001193125-14-025514-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509715000007/0000815097-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509716000030/0000815097-16-000030-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509717000001/0000815097-17-000001-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509718000005/0000815097-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509719000004/0000815097-19-000004-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509720000003/0000815097-20-000003-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509721000027/0000815097-21-000027-index.htm,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/0000815097-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,85000000,276600000,318200000,381765000,451091000,566302000,666050000,835885000,1027240000,965458000,926200000,1015941000,1194000000,1854000000,2257000000,2279000000,2408000000,2330000000,1790000000,1978000000,1912000000,1298000000,1078000000,1236000000,1757000000,2779000000,2606000000,3152000000,2990000000,-10236000000,-9501000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,-85200000,-88800000,-93300000,110595000,128433000,144987000,167287000,200668000,243658000,287667000,372224000,382343000,585000000,812000000,902000000,988000000,1101000000,1249000000,1309000000,1416000000,1522000000,1527000000,1588000000,1635000000,1626000000,1738000000,1846000000,2017000000,2160000000,2241000000,2233000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50000000,50000000,43000000,46000000,39000000,42000000,52000000,55000000,55000000,63000000,65000000,46000000,105000000,121000000
77,Change in Working Capital,- -,- -,- -,- -,- -,-3500000,24100000,-132800000,-28308000,-13824000,-33477000,-78308000,-314717000,151557000,-552535000,1644560000,-966402000,-695346000,-2123000000,329000000,-443000000,-1864000000,1153000000,682000000,-1062000000,-282000000,-726000000,736000000,-635000000,913000000,-878000000,-1821000000,225000000,-89000000,8945000000,-2152000000
78,Accounts Receivable,- -,- -,- -,- -,- -,-1200000,-3900000,-1500000,-2900000,-12700000,-4400000,-21200000,100000,-3300000,-15132000,-7134000,-5452000,-72000000,9000000,-56000000,93000000,-94000000,- -,- -,106000000,- -,-15000000,-128000000,75000000,4000000,-22000000,6000000,-58000000,- -,- -,- -
