,https://roic.ai/company/CCZ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,2209523809,3567605633,3079761904,2927586206,2823000000,2808000000,2746000000,2678000000,2625000000,2583000000,2486000000,2410000000,4708000000,4584000000,4548000000,4562000000,4562000000
28,Weighted Average Shares Outstanding Diluted,2209523809,3567605633,3079761904,2927586206,2830000000,2820000000,2778000000,2717000000,2665000000,2620000000,2518000000,2438000000,4786000000,4640000000,4610000000,4617000000,4617000000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1166691/000119312506036698/0001193125-06-036698-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312507039301/0001193125-07-039301-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312508034239/0001193125-08-034239-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312509033975/0001193125-09-033975-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312510037551/0001193125-10-037551-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312511047243/0001193125-11-047243-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312512073905/0001193125-12-073905-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312513067658/0001193125-13-067658-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312514047522/0001193125-14-047522-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312515068526/0001193125-15-068526-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312516452423/0001193125-16-452423-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312517030512/0001193125-17-030512-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/0001166691-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669119000005/0001166691-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/0001166691-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/0001166691-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,693000000,77000000,963000000,1195000000,671000000,5984000000,1620000000,10951000000,1718000000,3910000000,2295000000,3301000000,3428000000,3814000000,5500000000,11740000000,8711000000
32,Short-Term Investments,148000000,62622000000,67903000000,70076000000,73943000000,81000000,9854000000,1464000000,3573000000,602000000,106000000,1772000000,9000000,7883000000,6989000000,7820000000,- -
33,Cash and Short-Term Investments,841000000,62699000000,68866000000,71271000000,74614000000,6065000000,11474000000,12415000000,5291000000,4512000000,2401000000,5073000000,3437000000,11697000000,12489000000,19560000000,8711000000
34,Net Receivables,1060000000,1450000000,1645000000,1626000000,1711000000,1855000000,4351000000,5521000000,6376000000,6321000000,6896000000,7955000000,8546000000,11104000000,11292000000,11466000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,-1885000000,-64057000000,-70411000000,-72726000000,-76156000000,966000000,-7252000000,2055000000,2408000000,2698000000,3006000000,3333000000,4077000000,-953000000,1611000000,-4285000000,16096000000
37,Total Current Assets,16000000,92000000,100000000,171000000,169000000,8886000000,8573000000,19991000000,14075000000,13531000000,12303000000,16361000000,16060000000,21848000000,25392000000,26741000000,24807000000
38,PP&E,11000000,17000000,208000000,306000000,299000000,23515000000,27559000000,27232000000,29840000000,30953000000,33665000000,36253000000,38470000000,44437000000,48322000000,51995000000,54047000000
39,Goodwill,14218000000,13768000000,14705000000,14889000000,14933000000,14958000000,26874000000,26985000000,27098000000,27316000000,32945000000,35980000000,36780000000,66154000000,68725000000,70669000000,70189000000
40,Intangible Assets,3160000000,4881000000,4739000000,1000000,11000000,3602000000,18165000000,17840000000,14857000000,14187000000,13806000000,13777000000,13306000000,13666000000,12940000000,35389000000,33580000000
41,Intangible Assets,17378000000,18649000000,19444000000,14890000000,14944000000,18560000000,45039000000,44825000000,41955000000,41503000000,46751000000,49757000000,50086000000,79820000000,81665000000,106058000000,103769000000
42,Investments,- -,- -,- -,- -,- -,6670000000,- -,6325000000,3770000000,3135000000,3224000000,5247000000,6931000000,7883000000,6989000000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,174000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30041000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,60729000000,76647000000,66598000000,69173000000,70217000000,70631000000,72882000000,75402000000,97696000000,101046000000,- -,63241000000
45,Total Non-Current Assets,17389000000,18666000000,19652000000,15196000000,15243000000,109648000000,149245000000,144980000000,144738000000,145808000000,154271000000,164139000000,170889000000,229836000000,238022000000,158053000000,251098000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,17405000000,18758000000,19752000000,15367000000,15412000000,118534000000,157818000000,164971000000,158813000000,159339000000,166574000000,180500000000,186949000000,251684000000,263414000000,184794000000,275905000000
48,Accounts Payable,2033000000,11000000,10000000,196000000,14000000,3291000000,5705000000,6206000000,5528000000,5638000000,6215000000,6915000000,6926000000,8494000000,10826000000,11364000000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,1800000000,1367000000,2376000000,3280000000,4217000000,3627000000,5480000000,5134000000,4398000000,4452000000,100614000000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,3470000000,4638000000,6256000000,7160000000,8068000000,174000000,790000000,851000000,898000000,915000000,1302000000,1132000000,1552000000,2182000000,2768000000,2963000000,3040000000
52,Other Current Liabilities,-5056000000,-4022000000,-5562000000,-5108000000,-5959000000,2969000000,5379000000,7281000000,9206000000,6640000000,7034000000,8008000000,7949000000,12529000000,12246000000,-86145000000,26308000000
53,Total Current Liabilities,447000000,627000000,704000000,2248000000,2123000000,8234000000,13241000000,16714000000,18912000000,17410000000,18178000000,21535000000,21561000000,27603000000,30292000000,28796000000,29348000000
54,Long-Term Debt,447000000,616000000,694000000,810000000,1009000000,29615000000,37942000000,38082000000,44567000000,44017000000,48994000000,55566000000,59422000000,107345000000,97765000000,3146000000,92718000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30041000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,28246000000,29932000000,30110000000,31935000000,32959000000,33566000000,34854000000,24256000000,27589000000,28180000000,- -,30041000000
57,Other Non-Current Liabilities,873000000,1117000000,1059000000,1460000000,1840000000,7862000000,13034000000,13271000000,11384000000,10819000000,10637000000,10925000000,10904000000,15329000000,16765000000,18222000000,-3733000000
58,Total Non-Current Liabilities,1320000000,1733000000,1753000000,2270000000,2849000000,65723000000,80908000000,81463000000,87886000000,87795000000,93197000000,101345000000,94582000000,150263000000,142710000000,21368000000,149067000000
59,Other Liabilities,54125000000,64013000000,69541000000,71179000000,75567000000,131669000000,178211000000,180364000000,177093000000,177013000000,189324000000,206367000000,191364000000,302731000000,293106000000,176118000000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,53252000000,62907000000,68492000000,71157000000,74841000000,74180000000,110544000000,115615000000,108119000000,106628000000,114305000000,126557000000,118343000000,180071000000,180688000000,183546000000,178415000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,25000000,35000000,34000000,33000000,32000000,32000000,32000000,31000000,30000000,30000000,29000000,28000000,55000000,54000000,54000000,54000000,54000000
64,Retained Earnings,4825000000,6214000000,7191000000,7427000000,10005000000,12158000000,13971000000,16280000000,19235000000,21539000000,21413000000,23076000000,38192000000,41983000000,50695000000,56438000000,61902000000
65,Other Comprehensive Income/Loss,-114000000,34000000,-56000000,-113000000,-46000000,-99000000,-152000000,15000000,56000000,-146000000,-174000000,98000000,379000000,-368000000,1047000000,1884000000,1480000000
66,Other Total Stockholders Equity,35483000000,34884000000,34171000000,33103000000,32730000000,32263000000,33423000000,33030000000,31373000000,31288000000,31001000000,30741000000,29980000000,29944000000,30930000000,31947000000,34054000000
67,Total Stockholders Equity,40219000000,41167000000,41340000000,40450000000,42721000000,44354000000,47274000000,49356000000,50694000000,52711000000,52269000000,53943000000,68606000000,71613000000,82726000000,90323000000,97490000000
68,Total Liabilities And Stockholders Equity,93471000000,104074000000,109832000000,111607000000,117562000000,118534000000,157818000000,164971000000,158813000000,159339000000,166574000000,180500000000,186949000000,251684000000,263414000000,273869000000,275905000000
69,Minority Interest,-76066000000,-85316000000,-90080000000,-96240000000,-102150000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-89075000000,- -
70,Total Liabilities & Equity,17405000000,18758000000,19752000000,15367000000,15412000000,118534000000,157818000000,164971000000,158813000000,159339000000,166574000000,180500000000,186949000000,251684000000,263414000000,184794000000,275905000000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1166691/000119312506036698/0001193125-06-036698-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312507039301/0001193125-07-039301-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312508034239/0001193125-08-034239-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312509033975/0001193125-09-033975-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312510037551/0001193125-10-037551-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312511047243/0001193125-11-047243-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312512073905/0001193125-12-073905-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312513067658/0001193125-13-067658-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312514047522/0001193125-14-047522-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312515068526/0001193125-15-068526-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312516452423/0001193125-16-452423-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312517030512/0001193125-17-030512-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/0001166691-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669119000005/0001166691-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/0001166691-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/0001166691-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,928000000,2533000000,2587000000,2547000000,6584000000,3635000000,4160000000,6203000000,6816000000,8380000000,8163000000,8695000000,22714000000,11731000000,13057000000,10701000000,13833000000
74,Depreciation and Amortization,- -,3828000000,5107000000,5457000000,14396000000,6616000000,14423000000,17252000000,16120000000,8019000000,8680000000,9558000000,9825000000,10676000000,12953000000,13100000000,13804000000
75,Deferred Income Tax,- -,674000000,247000000,495000000,- -,-549000000,-1058000000,-139000000,-16000000,-1165000000,-958000000,-1444000000,10655000000,-290000000,-563000000,-550000000,1892000000
76,Stock Based Compensation,- -,190000000,212000000,258000000,- -,300000000,344000000,371000000,419000000,513000000,567000000,640000000,751000000,826000000,1021000000,1193000000,1315000000
77,Change in Working Capital,225000000,-104000000,-69000000,-1473000000,123000000,2606000000,-5320000000,7945000000,-8114000000,958000000,-1996000000,701000000,-327000000,-254000000,855000000,2845000000,-2486000000
78,Accounts Receivable,- -,-357000000,-100000000,39000000,- -,-131000000,-18000000,-823000000,-721000000,-33000000,-708000000,-782000000,-888000000,-802000000,-57000000,-20000000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,560000000,175000000,-38000000,- -,37000000,-45000000,366000000,-667000000,153000000,384000000,374000000,181000000,-394000000,-347000000,-266000000,765000000
81,Other Working Capital,-431000000,-535000000,-604000000,-2077000000,-1954000000,652000000,-4668000000,3277000000,-4837000000,-3879000000,-5875000000,-5174000000,-5501000000,-5755000000,-4900000000,-2055000000,-4541000000
82,Other Non-Cash Items,-1153000000,-503000000,708000000,2947000000,-21103000000,-1429000000,1796000000,-16778000000,-1065000000,240000000,4322000000,1090000000,-22215000000,1608000000,-1626000000,-2552000000,788000000
83,Cash Provided by Operating Activities,- -,6618000000,8792000000,10231000000,- -,11179000000,14345000000,14854000000,14160000000,16945000000,18778000000,19240000000,21403000000,24297000000,25697000000,24737000000,29146000000
84,CAPEX,- -,- -,- -,- -,- -,-4961000000,-5307000000,-5714000000,-6596000000,-7420000000,-8499000000,-9135000000,-9550000000,-9774000000,-9953000000,-9179000000,-9174000000
85,Acquisitions Net,- -,-5110000000,-1319000000,-738000000,- -,-183000000,-6407000000,-90000000,-99000000,-477000000,-1786000000,-3929000000,-532000000,-38219000000,-370000000,-233000000,-1374000000
86,Purchases of Investments,- -,-2812000000,-2089000000,-1167000000,- -,-1460000000,-2141000000,-3297000000,-3223000000,-4442000000,-7534000000,-6697000000,-7727000000,-6577000000,-2403000000,-812000000,-174000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684000000
88,Other Investing Activites,-3748000000,-1950000000,-5344000000,-5572000000,- -,893000000,1347000000,7615000000,404000000,3606000000,5855000000,1376000000,4105000000,3716000000,-2115000000,-11002000000,-12582000000
89,Cash Used for Investing Activites,-3748000000,-9872000000,-8752000000,-7477000000,- -,-5711000000,-12508000000,-1486000000,-9514000000,-8733000000,-11964000000,-18385000000,-13704000000,-50854000000,-14841000000,-12047000000,-13446000000
90,Debt Repayment,- -,-2039000000,-1401000000,-2610000000,- -,-1153000000,-3760000000,-2337000000,-3789000000,-2671000000,-4513000000,-4842000000,-4459000000,-9177000000,-13066000000,-18777000000,-11498000000
91,Common Stock Issued,- -,- -,- -,- -,- -,34000000,283000000,233000000,40000000,35000000,36000000,23000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-2347000000,-3102000000,-2800000000,- -,-1200000000,-2141000000,-3000000000,-2000000000,-4251000000,-6750000000,-5000000000,-5435000000,-5320000000,-504000000,-534000000,-4672000000
93,Dividends Paid,- -,- -,- -,-547000000,- -,-1064000000,-1187000000,-1608000000,-1964000000,-2254000000,-2437000000,-2601000000,-2883000000,-3352000000,-3735000000,-4140000000,-4532000000
94,Other Financing Activites,-933000000,7932000000,4187000000,3435000000,- -,3228000000,604000000,2675000000,-6166000000,3121000000,5235000000,12571000000,5205000000,44989000000,8124000000,16938000000,2084000000
95,Cash Used/Provided by Financing Activities,-933000000,3546000000,-316000000,-2522000000,- -,-155000000,-6201000000,-4037000000,-13879000000,-6020000000,-8429000000,151000000,-7572000000,27140000000,-9181000000,-6513000000,-18618000000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-245000000,5000000,- -,- -
97,Net Change In Cash,- -,292000000,-276000000,232000000,- -,5313000000,-4364000000,9331000000,-9233000000,2192000000,-1615000000,1006000000,127000000,338000000,1680000000,6179000000,-2990000000
98,Cash at the End of Period,- -,1239000000,963000000,1195000000,- -,5984000000,1620000000,10951000000,1718000000,3910000000,2295000000,3301000000,3428000000,3909000000,5589000000,11768000000,8778000000
99,Cash at the Beginning of Period,- -,947000000,1239000000,963000000,- -,671000000,5984000000,1620000000,10951000000,1718000000,3910000000,2295000000,3301000000,3571000000,3909000000,5589000000,11768000000
100,Free Cash Flow,- -,6618000000,8792000000,10231000000,- -,5682000000,8084000000,8217000000,6555000000,8403000000,8909000000,8419000000,10106000000,12588000000,13269000000,24737000000,19972000000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1166691/000119312506036698/0001193125-06-036698-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312507039301/0001193125-07-039301-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312508034239/0001193125-08-034239-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312509033975/0001193125-09-033975-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312510037551/0001193125-10-037551-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312511047243/0001193125-11-047243-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312512073905/0001193125-12-073905-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312513067658/0001193125-13-067658-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312514047522/0001193125-14-047522-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312515068526/0001193125-15-068526-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312516452423/0001193125-16-452423-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000119312517030512/0001193125-17-030512-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669118000004/0001166691-18-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669119000005/0001166691-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669120000008/0001166691-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669121000008/0001166691-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1166691/000116669122000009/0001166691-22-000009-index.htm
102,false,,,,,,,,,,,,,,,,,
