,https://roic.ai/company/SSNC,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),-3789000,-458000,7146000,9804000,12034000,22918000,24665000,27292000,46527000,17980000,32620000,-46234000,21900000,93200000,150600000,236400000
23,Net Income,1075000,6575000,18801000,19018000,32413000,51021000,45820000,117895000,131127000,42862000,130996000,328864000,103200000,438500000,625200000,800000000
24,Net Income ratio,0.0052,0.0265,0.0671,0.0702,0.0985,0.1376,0.0830,0.1654,0.1708,0.0428,0.0884,0.1963,0.0302,0.0946,0.1339,0.1584
25,EPS,0.01,0.05,0.15,0.15,0.23,0.34,0.29,0.72,0.79,0.23,0.65,1.60,0.44,1.73,2.44,3.13
26,EPS Diluted,0.01,0.05,0.15,0.15,0.22,0.32,0.28,0.69,0.75,0.23,0.64,1.55,0.42,1.66,2.35,2.99
27,Weighted Average Shares Outstanding,121570000,121570000,121570000,120762000,138054000,152964000,156642000,162390000,166628000,182196000,200252000,204923000,232500000,252900000,256400000,255600000
28,Weighted Average Shares Outstanding Diluted,129084000,129084000,129084000,127306000,146158000,161418000,165776000,171232000,174662000,190896000,205793000,211632000,243700000,264200000,266600000,267300000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1011661/000095013509002372/0000950135-09-002372-index.html,https://www.sec.gov/Archives/edgar/data/1011661/000095012310017287/0000950123-10-017287-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000095012311024863/b85538e10vk.htm,https://www.sec.gov/Archives/edgar/data/1402436/000119312512107371/0001193125-12-107371-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000119312513085529/0001193125-13-085529-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000119312514073044/d661477d10k.htm,https://www.sec.gov/Archives/edgar/data/1402436/000119312515065621/d858109d10k.htm,https://www.sec.gov/Archives/edgar/data/1402436/000156459016013602/0001564590-16-013602-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459017002806/0001564590-17-002806-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459018003827/0001564590-18-003827-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459019005753/0001564590-19-005753-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459020007695/0001564590-20-007695-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459021008862/0001564590-21-008862-index.htm,https://www.sec.gov/Archives/edgar/data/1402436/000095017022002107/0000950170-22-002107-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,11718000,19175000,29299000,19055000,84843000,40318000,86160000,84470000,109577000,434159000,117558000,64057000,166700000,152800000,209300000,564000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,183000000,- -
33,Cash and Short-Term Investments,11718000,19175000,29299000,19055000,84843000,40318000,86160000,84470000,109577000,434159000,117558000,64057000,166700000,152800000,392300000,564000000
34,Net Receivables,31695000,39546000,38318000,42269000,45531000,47201000,91690000,91221000,94359000,169951000,241307000,243900000,1714900000,2419600000,1895800000,3496500000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,7823000,10754000,8104000,7944000,9316000,8040000,29067000,45485000,31236000,70956000,56247000,51500000,166500000,213500000,10400000,191700000
37,Total Current Assets,51236000,69475000,75721000,69268000,139690000,95559000,206917000,221176000,235172000,675066000,415112000,359457000,2048100000,2785900000,2298500000,4252200000
38,PP&E,10019000,13040000,14030000,14036000,13570000,14304000,55039000,51697000,54277000,67143000,80395000,100956000,553200000,841700000,763600000,673200000
39,Goodwill,820470000,860690000,822409000,885517000,926668000,931639000,1559607000,1541386000,1573227000,3549212000,3652733000,3707823000,7858000000,7959900000,8078700000,8045500000
40,Intangible Assets,270796000,247290000,215193000,216321000,195112000,164995000,504429000,424191000,388434000,1490041000,1532695000,1341777000,5003900000,4495500000,4291700000,3805300000
41,Intangible Assets,1091266000,1107980000,1037602000,1101838000,1121780000,1096634000,2064036000,1965577000,1961661000,5039253000,5185428000,5049600000,12861900000,12455400000,12370400000,11850800000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,429800000,394900000,409100000,478900000
43,Tax Assets,- -,- -,- -,499000,686000,1111000,1459000,1077000,1135000,2199000,2410000,2324000,4800000,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,35454000,35797000,33077000,18581000,23626000,27179000,209700000,263200000,82000000,77900000
45,Total Non-Current Assets,1101285000,1121020000,1051632000,1116373000,1136036000,1112049000,2155988000,2054148000,2050150000,5127176000,5291859000,5180059000,14059400000,13955200000,13625100000,13080800000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1152521000,1190495000,1127353000,1185641000,1275726000,1207608000,2362905000,2275324000,2285322000,5802242000,5706971000,5539516000,16107500000,16741100000,15923600000,17333000000
48,Accounts Payable,2305000,2558000,1821000,4804000,3790000,4170000,10528000,8368000,12004000,11957000,16490000,27087000,41400000,36900000,28100000,28700000
49,Short-Term Debt,- -,2429000,2101000,4270000,1702000,- -,22248000,23212000,20470000,32281000,126144000,37863000,87500000,76300000,53900000,47400000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,25500000
51,Deferred Revenue,25679000,29480000,30844000,40400000,41671000,46395000,63700000,62561000,73254000,222024000,235222000,204601000,245700000,333200000,332500000,334000000
52,Other Current Liabilities,24564000,26992000,32106000,34404000,29211000,33923000,63776000,72861000,85867000,150456000,182769000,174109000,1547200000,2329800000,1868800000,3441000000
53,Total Current Liabilities,52548000,61459000,66872000,83878000,76374000,84488000,160252000,167002000,191595000,416718000,560625000,443660000,1921800000,2776200000,2283300000,3851100000
54,Long-Term Debt,466235000,440580000,406625000,392989000,289092000,100000000,989890000,751295000,618435000,2719070000,2374986000,2007332000,8168500000,7077800000,6388500000,6169700000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,69518000,65647000,56612000,52023000,40734000,28936000,120158000,110406000,102176000,509574000,453555000,283457000,1201700000,1088700000,923800000,835000000
57,Other Non-Current Liabilities,1088000,10216000,9991000,10764000,12343000,14081000,17102000,14913000,26446000,51434000,59227000,118679000,235500000,682300000,611500000,254000000
58,Total Non-Current Liabilities,536841000,516443000,473228000,455776000,342169000,143017000,1127150000,876614000,747057000,3280078000,2887768000,2409468000,9605700000,8848800000,7923800000,7258700000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,348600000,323600000,268200000
61,Total Liabilities,589389000,577902000,540100000,539654000,418543000,227505000,1287402000,1043616000,938652000,3696796000,3448393000,2853128000,11527500000,11625000000,10207100000,11109800000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,71000,532000,71000,608000,733000,781000,795000,831000,849000,993000,2046000,2081000,2500000,2600000,2000000,- -
64,Retained Earnings,1906000,8481000,27282000,46300000,78713000,129734000,175554000,293449000,414082000,411493000,492349000,766856000,847100000,1177900000,1667000000,- -
65,Other Comprehensive Income/Loss,-4999000,-9014000,-11800000,16000000,33000000,25000000,52000000,30000000,-15000000,-83000000,-139000000,-83000000,-343000000,-253000000,-201000000,-242000000
66,Other Total Stockholders Equity,566154000,612594000,571700000,583079000,744737000,824588000,847154000,907428000,946739000,1775960000,1903183000,2000451000,4073400000,4188600000,4248500000,- -
67,Total Stockholders Equity,563132000,612593000,587253000,645987000,857183000,980103000,1075503000,1231708000,1346670000,2105446000,2258578000,2686388000,4580000000,5116100000,5716500000,6165400000
68,Total Liabilities And Stockholders Equity,1152521000,1190495000,1127353000,1185641000,1275726000,1207608000,2362905000,2275324000,2285322000,5802242000,5706971000,5539516000,16107500000,16741100000,15923600000,17275200000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57800000
70,Total Liabilities & Equity,1152521000,1190495000,1127353000,1185641000,1275726000,1207608000,2362905000,2275324000,2285322000,5802242000,5706971000,5539516000,16107500000,16741100000,15923600000,17333000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1011661/000095013509002372/0000950135-09-002372-index.html,https://www.sec.gov/Archives/edgar/data/1011661/000095012310017287/0000950123-10-017287-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000095012311024863/b85538e10vk.htm,https://www.sec.gov/Archives/edgar/data/1402436/000119312512107371/0001193125-12-107371-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000119312513085529/0001193125-13-085529-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000119312514073044/d661477d10k.htm,https://www.sec.gov/Archives/edgar/data/1402436/000119312515065621/d858109d10k.htm,https://www.sec.gov/Archives/edgar/data/1402436/000156459016013602/0001564590-16-013602-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459017002806/0001564590-17-002806-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459018003827/0001564590-18-003827-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459019005753/0001564590-19-005753-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459020007695/0001564590-20-007695-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459021008862/0001564590-21-008862-index.htm,https://www.sec.gov/Archives/edgar/data/1402436/000095017022002107/0000950170-22-002107-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , 
73,Net Income,1075000,6575000,18801000,19018000,32413000,51021000,45820000,117895000,131127000,42862000,130996000,328864000,103200000,438500000,625200000,800000000
74,Depreciation and Amortization,27128000,35047000,35038000,36028000,40728000,42224000,75814000,99780000,99831000,150834000,228683000,237189000,518500000,775200000,725300000,667400000
75,Deferred Income Tax,-10112000,-6115000,-7368000,-8861000,-13700000,-12423000,-9881000,-35263000,-29037000,-72766000,-94043000,-152012000,-105800000,-87100000,-155400000,-88000000
76,Stock Based Compensation,3871000,10979000,7323000,5607000,13254000,13493000,5590000,8386000,11483000,44079000,50564000,41487000,96900000,72400000,87800000,114000000
77,Change in Working Capital,6036000,9328000,833000,-23459000,77926000,-52245000,35594000,7509000,-10597000,214771000,-403861000,61310000,210503000,-116600000,5500000,-61300000
78,Accounts Receivable,2509000,-6635000,-1301000,3360000,1066000,-1818000,-14051000,814000,3902000,-12160000,-10850000,-1848000,50400000,9900000,24300000,-72200000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-114000,101000,-494000,1549000,-1041000,278000,1835000,-4032000,1525000,-5586000,-1300000,13841000,-91000000,-700000,-13100000,600000
81,Other Working Capital,-1312000,8016000,8849000,-14610000,63316000,11071000,46665000,54174000,43577000,258348000,-145513000,-84203000,126300000,9700000,15200000,-37600000
82,Other Non-Cash Items,2711000,1243000,7028000,31519000,-75054000,68337000,-18515000,9962000,49725000,-149156000,506068000,-46476000,-183203000,245900000,-103700000,-3100000
83,Cash Provided by Operating Activities,30709000,57057000,61655000,59852000,75567000,110407000,134422000,208269000,252532000,230624000,418407000,470362000,640100000,1328300000,1184700000,1429000000
84,CAPEX,-4223000,-7717000,-6746000,-2559000,-5343000,-7628000,-18292000,-14320000,-18557000,-17873000,-37547000,-45974000,-89100000,-130400000,-106400000,-136600000
85,Acquisitions Net,-13979000,-5130000,-17864000,-51477000,-45815000,-20577000,-967149000,-3657000,-86911000,-2730956000,-457511000,-17413000,-7066700000,-94100000,-116000000,-58700000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1000000,- -,-16400000,-300000,-60900000,-20100000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,52900000,65100000,60300000,50900000
88,Other Investing Activites,-424000,8000,2000,-98000,-450000,-2555000,-644000,-2332000,-2492000,-3756000,-8850000,-10400000,-38800000,-48200000,-59100000,-69000000
89,Cash Used for Investing Activites,-18626000,-12839000,-24608000,-54134000,-51099000,-29354000,-984980000,-17910000,-104443000,-2748312000,-495287000,-63383000,-7102600000,-140500000,-210500000,-148200000
90,Debt Repayment,-34518000,-42688000,-25573000,-19679000,-108120000,-291050000,-425600000,-239000000,-212000000,-903448000,-383436000,-512450000,-3141000000,-3364800000,-1024200000,-889900000
91,Common Stock Issued,663000,- -,- -,- -,134558000,51971000,- -,- -,- -,717802000,- -,- -,1399100000,- -,- -,- -
92,Common Stock Repurchased,-68000,-10000,-2357000,-2215000,-1169000,- -,- -,-943000,-11223000,- -,-15000,- -,- -,-60300000,-227700000,-487900000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,-10494000,-45451000,-50140000,-54357000,-70900000,-107700000,-136100000,-174000000
94,Other Financing Activites,17496000,5290000,2398000,3998000,15877000,113721000,1320122000,50094000,113552000,3078163000,197497000,100394000,9329800000,3019400000,-40100000,2108500000
95,Cash Used/Provided by Financing Activities,-16427000,-37408000,-25532000,-17896000,41146000,-125358000,894522000,-189849000,-120165000,2847066000,-236094000,-466413000,7517000000,-513400000,-1428100000,556700000
96,Effect of Forex Changes on Cash,478000,647000,-1391000,1934000,174000,-220000,1878000,-2200000,-2817000,-4796000,-3627000,4409000,-5900000,1700000,2400000,-4000000
97,Net Change In Cash,-3866000,7457000,10124000,-10244000,65788000,-44525000,45842000,-1690000,25107000,324582000,-316601000,-55025000,1048600000,676100000,-451500000,1833500000
98,Cash at the End of Period,11718000,19175000,29299000,19055000,84843000,40318000,86160000,84470000,109577000,434159000,117558000,64649000,1113300000,1789400000,1337900000,3171400000
99,Cash at the Beginning of Period,15584000,11718000,19175000,29299000,19055000,84843000,40318000,86160000,84470000,109577000,434159000,119674000,64700000,1113300000,1789400000,1337900000
100,Free Cash Flow,26486000,49340000,54909000,57293000,70224000,102779000,116130000,193949000,233975000,212751000,380860000,424388000,551000000,1197900000,1078300000,1292400000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1011661/000095013509002372/0000950135-09-002372-index.html,https://www.sec.gov/Archives/edgar/data/1011661/000095012310017287/0000950123-10-017287-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000095012311024863/b85538e10vk.htm,https://www.sec.gov/Archives/edgar/data/1402436/000119312512107371/0001193125-12-107371-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000119312513085529/0001193125-13-085529-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000119312514073044/d661477d10k.htm,https://www.sec.gov/Archives/edgar/data/1402436/000119312515065621/d858109d10k.htm,https://www.sec.gov/Archives/edgar/data/1402436/000156459016013602/0001564590-16-013602-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459017002806/0001564590-17-002806-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459018003827/0001564590-18-003827-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459019005753/0001564590-19-005753-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459020007695/0001564590-20-007695-index.html,https://www.sec.gov/Archives/edgar/data/1402436/000156459021008862/0001564590-21-008862-index.htm,https://www.sec.gov/Archives/edgar/data/1402436/000095017022002107/0000950170-22-002107-index.htm
102,false,,,,,,,,,,,,,,,,
