,https://roic.ai/company/BHP,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65000000,78000000,107000000,226000000,260000000,293000000,309000000,215000000,141000000,122000000,77000000,97000000,88000000,137000000,143000000,322000000,446000000,351000000,73000000
13,Interest Expense (Gain),- -,434500000,549000000,722700000,549300000,423000000,382000000,340700000,292100000,380900000,462000000,448000000,- -,- -,282000000,465000000,302000000,274000000,302000000,731000000,650000000,955000000,852000000,674000000,246000000,922000000,1231000000,1092000000,751000000,1161000000,1480000000,1443000000,1565000000,881000000,938000000
14,Depreciation and Amortization,492200000,663100000,658200000,812700000,880100000,906000000,938900000,1123100000,1185100000,1435700000,1506000000,1381000000,1448000000,1368000000,1225000000,1727000000,1820000000,1860000000,2082000000,2264000000,2421000000,3612000000,3871000000,4759000000,5039000000,6408000000,6945000000,8701000000,9158000000,8661000000,7719000000,6288000000,5829000000,6112000000,6824000000
15,EBITDA,1517900000,2376200000,2441100000,2827200000,2949200000,2278000000,2550100000,2966700000,3077800000,3252300000,2949000000,1230000000,46000000,2409000000,3075000000,4319000000,4477000000,5355000000,10608000000,17077000000,21002000000,27478000000,15879000000,24718000000,36242000000,30237000000,25849000000,30637000000,15485000000,2385000000,19189000000,18443000000,21229000000,19723000000,30216000000
16,EBITDA ratio,0.2432,0.3005,0.3096,0.2744,0.2483,0.2084,0.2331,0.2431,0.2319,0.2130,0.1845,0.0927,0.0037,0.1876,0.2682,0.2938,0.2868,0.2340,0.3585,0.5311,0.5317,0.4570,0.3162,0.4682,0.5052,0.4186,0.3918,0.4559,0.3469,0.0772,0.5012,0.4226,0.4793,0.4594,0.4968
17,Operating Income,926700000,544200000,1278000000,1511700000,1089800000,1039000000,1166600000,1585100000,2104900000,1437300000,554000000,-2362000000,-2679000000,153000000,1580000000,2674000000,2698000000,3489000000,7430000000,14671000000,18401000000,24145000000,12160000000,20031000000,31816000000,23752000000,19225000000,23412000000,8670000000,-6235000000,11753000000,15996000000,16113000000,14421000000,25906000000
18,Operating Income ratio,0.1485,0.0688,0.1621,0.1467,0.0918,0.0950,0.1067,0.1299,0.1586,0.0941,0.0347,-0.1781,-0.2134,0.0119,0.1378,0.1819,0.1729,0.1524,0.2511,0.4563,0.4659,0.4016,0.2422,0.3794,0.4435,0.3289,0.2914,0.3484,0.1942,-0.2017,0.3070,0.3666,0.3638,0.3359,0.4260
19,Total Other Income Expenses (Gains),99000000,734400000,-44100000,-219900000,430000000,-90000000,62600000,-82200000,-504300000,-1600000,427000000,1763000000,1277000000,888000000,-12000000,-465000000,-476000000,-349000000,510000000,-505000000,-390000000,-662000000,-543000000,-459000000,-561000000,-730000000,-1353000000,-1176000000,-614000000,-1024000000,-1431000000,-1245000000,-1064000000,-911000000,-1305000000
20,Income Before Tax,1025700000,1278600000,1233900000,1291800000,1519800000,949000000,1229200000,1502900000,1600600000,1435700000,981000000,-599000000,-1402000000,1041000000,1568000000,2209000000,2222000000,3140000000,7940000000,14166000000,18011000000,23483000000,11617000000,19572000000,31255000000,23022000000,17872000000,22236000000,8056000000,-7259000000,10322000000,14751000000,15049000000,13510000000,24601000000
21,Income Before Tax Ratio,0.1643,0.1617,0.1565,0.1254,0.1280,0.0868,0.1124,0.1232,0.1206,0.0940,0.0614,-0.0452,-0.1117,0.0811,0.1367,0.1503,0.1424,0.1372,0.2684,0.4406,0.4560,0.3906,0.2314,0.3707,0.4357,0.3187,0.2709,0.3309,0.1805,-0.2348,0.2696,0.3380,0.3398,0.3147,0.4045
22,Income Tax expense (Gain),441600000,524600000,403400000,445300000,436800000,559000000,409200000,556100000,727800000,600500000,668000000,324000000,107000000,70000000,544000000,1000000000,774000000,505000000,1836000000,3632000000,4515000000,7521000000,5279000000,6563000000,7309000000,7490000000,6797000000,7012000000,3666000000,-1052000000,4100000000,7007000000,5529000000,4774000000,11150000000
23,Net Income,584100000,754000000,830500000,846500000,1083000000,390000000,820000000,946800000,872800000,835200000,313000000,-923000000,-1509000000,971000000,1024000000,1127000000,1581000000,2716000000,6388000000,10450000000,13416000000,15390000000,5877000000,12722000000,23648000000,15417000000,10876000000,13832000000,1910000000,-6385000000,5890000000,3705000000,8306000000,7956000000,11304000000
24,Net Income ratio,0.0936,0.0953,0.1053,0.0822,0.0912,0.0357,0.0750,0.0776,0.0658,0.0547,0.0196,-0.0696,-0.1202,0.0756,0.0893,0.0767,0.1013,0.1187,0.2159,0.3250,0.3397,0.2560,0.1170,0.2410,0.3296,0.2135,0.1649,0.2058,0.0428,-0.2066,0.1538,0.0849,0.1875,0.1853,0.1859
25,EPS,0.32,0.47,0.56,0.56,0.70,0.31,0.62,0.69,0.55,0.50,0.17,-0.53,-0.84,0.53,0.27,0.37,0.50,0.88,2.08,3.46,4.59,5.51,2.11,4.57,8.58,5.79,4.09,5.20,0.72,-2.40,2.21,1.39,3.21,3.15,4.47
26,EPS Diluted,0.32,0.47,0.56,0.56,0.70,0.31,0.62,0.69,0.55,0.50,0.17,-0.53,-0.84,0.52,0.27,0.37,0.50,0.86,2.08,3.45,4.58,5.50,2.11,4.56,8.54,5.77,4.07,5.18,0.72,-2.40,2.21,1.39,3.20,3.14,4.46
27,Weighted Average Shares Outstanding,1828512397,1606032206,1479231975,1507730123,1543174694,1259039256,1323605372,1377604470,1595845828,1659249841,1796372819,1749564031,1802178379,1827479477,1852128442,3013368984,3162000000,3109000000,3062000000,3017500000,2923000000,2795000000,2782500000,2782589676,2755500000,2661500000,2661000000,2660500000,2659000000,2661000000,2661500000,2661500000,2590000000,2528500000,2528500000
28,Weighted Average Shares Outstanding Diluted,1828512397,1606032206,1479231975,1507730123,1543174694,1259039256,1323605372,1377604470,1595845828,1659249841,1796372819,1749564031,1802178379,1877066258,1852128442,3013368984,3162000000,3123000000,3079000000,3033000000,2933000000,2802500000,2799000000,2792361721,2770000000,2673000000,2670000000,2669000000,2666500000,2661000000,2668000000,2668500000,2596500000,2534500000,2534529148
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/811809/000095016802003905/0000950168-02-003905-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312503065962/0001193125-03-065962-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312504174067/0001193125-04-174067-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312505195492/0001193125-05-195492-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312506196087/0001193125-06-196087-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312507207539/0001193125-07-207539-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312508195937/0001193125-08-195937-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312509191302/0001193125-09-191302-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312510213954/0001193125-10-213954-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312511252637/0001193125-11-252637-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312512394240/0001193125-12-394240-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312513376646/0001193125-13-376646-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312514351924/0001193125-14-351924-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312515325671/0001193125-15-325671-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312516715037/0001193125-16-715037-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312517297000/0001193125-17-297000-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312518275568/0001193125-18-275568-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312519245975/0001193125-19-245975-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1499000000,1552000000,1818000000,1418000000,776000000,1937000000,4237000000,10833000000,12456000000,10084000000,4781000000,6060000000,8803000000,6753000000,10319000000,14153000000,15871000000,15613000000,13426000000,15246000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000000,213000000,167000000,266000000,808000000,952000000,2054000000,763000000,292000000,264000000,282000000,37000000,87000000,83000000,36000000,31000000,18000000,15000000,36000000,230000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1616000000,1765000000,1985000000,1684000000,1584000000,2889000000,6291000000,11596000000,12748000000,10348000000,5063000000,6097000000,8890000000,6836000000,10355000000,14184000000,15889000000,15628000000,13462000000,15476000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3751000000,2087000000,2747000000,3448000000,3831000000,4689000000,9801000000,5577000000,6732000000,8470000000,7841000000,7055000000,7059000000,4979000000,3722000000,3031000000,3202000000,3586000000,3730000000,6338000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1457000000,1328000000,1715000000,2465000000,2732000000,3296000000,4971000000,4821000000,5334000000,6154000000,6233000000,5822000000,6013000000,4292000000,3411000000,3673000000,3764000000,3840000000,4101000000,4426000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,404000000,414000000,245000000,629000000,213000000,498000000,492000000,320000000,308000000,1314000000,812000000,334000000,262000000,226000000,168000000,12275000000,319000000,178000000,453000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6824000000,5584000000,6861000000,7842000000,8776000000,11087000000,21561000000,22486000000,25134000000,25280000000,20451000000,19786000000,22296000000,16369000000,17714000000,21056000000,35130000000,23373000000,21471000000,26693000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20179000000,22232000000,23297000000,32431000000,30985000000,36705000000,47332000000,49032000000,55576000000,68468000000,95247000000,102927000000,108787000000,94072000000,83975000000,80497000000,67182000000,68041000000,72362000000,73813000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,3186000000,2648000000,2610000000,- -,- -,442000000,398000000,370000000,370000000,4105000000,4105000000,4034000000,3274000000,3273000000,3269000000,247000000,247000000,247000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,56000000,54000000,49000000,683000000,615000000,183000000,263000000,317000000,534000000,1007000000,1121000000,1405000000,1018000000,846000000,699000000,531000000,428000000,377000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,3242000000,2702000000,2659000000,683000000,615000000,625000000,661000000,687000000,904000000,5112000000,5226000000,5439000000,4292000000,4119000000,3968000000,778000000,675000000,624000000,1437000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1553000000,2668000000,2467000000,2639000000,5249000000,5940000000,1448000000,1543000000,1510000000,1602000000,748000000,636000000,4321000000,3735000000,2816000000,2792000000,2881000000,2953000000,2939000000,3352000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466000000,613000000,1142000000,1829000000,2810000000,3486000000,3910000000,4053000000,3993000000,4525000000,6136000000,6396000000,2861000000,6147000000,5788000000,4041000000,3764000000,3688000000,1912000000
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,987000000,809000000,735000000,934000000,994000000,1011000000,1437000000,1138000000,1892000000,2644000000,3190000000,3398000000,4174000000,3251000000,4182000000,2905000000,1981000000,2055000000,3699000000,1720000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22728000000,29417000000,29814000000,39805000000,39740000000,47081000000,54328000000,56284000000,63718000000,77611000000,108822000000,118323000000,129117000000,108211000000,101239000000,95950000000,76863000000,77488000000,83312000000,82234000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29552000000,35001000000,36675000000,47647000000,48516000000,58168000000,75889000000,78770000000,88852000000,102891000000,129273000000,138109000000,151413000000,124580000000,118953000000,117006000000,111993000000,100861000000,104783000000,108927000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2267000000,2833000000,4051000000,4053000000,4724000000,6774000000,5619000000,6467000000,9718000000,8727000000,7605000000,6973000000,4857000000,5389000000,5551000000,5977000000,6717000000,5767000000,7027000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,898000000,1134000000,1500000000,1368000000,1352000000,3461000000,1094000000,2191000000,3519000000,3531000000,5303000000,4262000000,3201000000,4653000000,1241000000,2736000000,1661000000,5012000000,2628000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,344000000,285000000,860000000,1358000000,2102000000,2022000000,1931000000,1685000000,3693000000,2811000000,1148000000,919000000,207000000,451000000,2119000000,1773000000,1546000000,913000000,2800000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,279000000,300000000,418000000,251000000,289000000,259000000,251000000,208000000,218000000,129000000,77000000,102000000,118000000,113000000,97000000,105000000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6229000000,1486000000,1689000000,2966000000,3161000000,3873000000,5706000000,4886000000,4095000000,6237000000,9525000000,7256000000,6611000000,4666000000,2221000000,4472000000,5158000000,3848000000,3948000000,6643000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6229000000,4651000000,5656000000,8517000000,8861000000,10249000000,16359000000,11850000000,13042000000,19733000000,22034000000,20372000000,18064000000,12853000000,12340000000,11366000000,13989000000,12339000000,14824000000,16403000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6414000000,5452000000,9622000000,7648000000,9291000000,9234000000,15325000000,13573000000,12388000000,24644000000,29754000000,29036000000,27625000000,31462000000,28418000000,23344000000,22517000000,19446000000,18355000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649000000,547000000,488000000,485000000,420000000,429000000,328000000,259000000,267000000,305000000,278000000,360000000,337000000,281000000,210000000,185000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1592000000,1822000000,3116000000,3038000000,4320000000,2683000000,5287000000,6469000000,7066000000,4542000000,4324000000,3765000000,3472000000,3234000000,2758000000,3314000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10641000000,6775000000,6412000000,7504000000,5311000000,6341000000,7649000000,7361000000,8168000000,9903000000,9895000000,9220000000,11598000000,8710000000,10478000000,10371000000,10181000000,10666000000,15299000000,15065000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10641000000,13189000000,11864000000,17126000000,15200000000,18001000000,20487000000,26209000000,26481000000,25403000000,40154000000,45702000000,47967000000,41182000000,46542000000,42914000000,37334000000,36698000000,37713000000,36919000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237000000,172000000,1384000000,438000000,346000000,897000000,802000000,715000000,3443000000,3896000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16870000000,17840000000,17520000000,25643000000,24061000000,28250000000,36846000000,38059000000,39523000000,45136000000,62188000000,66074000000,66031000000,54035000000,58882000000,54280000000,51323000000,49037000000,52537000000,53322000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4303000000,8727000000,8767000000,8537000000,2724000000,2404000000,2343000000,2343000000,2343000000,2253000000,2255000000,2255000000,2255000000,2243000000,2243000000,2243000000,2243000000,2168000000,2168000000,2168000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7461000000,7982000000,9652000000,13077000000,21088000000,27729000000,35756000000,36831000000,44801000000,53131000000,62236000000,66979000000,74548000000,60044000000,49542000000,52618000000,51064000000,42819000000,43467000000,46779000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20608000000,750000000,-28763000000,-29569000000,2001000000,1912000000,1970000000,2927000000,2557000000,2538000000,2400000000,2290000000,2285000000,2306000000,2350000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,918000000,123000000,383000000,44000000,406000000,20142000000,-514000000,29543000000,30950000000,-623000000,-533000000,-540000000,-587000000,-76000000,-33000000,-3000000,-5000000,-32000000,-5000000,-33000000
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12682000000,16832000000,18802000000,21658000000,24218000000,29667000000,38335000000,39954000000,48525000000,56762000000,65870000000,70664000000,79143000000,64768000000,54290000000,57258000000,55592000000,47240000000,47936000000,51264000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29552000000,34672000000,36322000000,47301000000,48279000000,57917000000,75181000000,78013000000,88048000000,101898000000,128058000000,136738000000,145174000000,118803000000,113172000000,111538000000,106915000000,96277000000,100473000000,104586000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,329000000,353000000,346000000,237000000,251000000,708000000,757000000,804000000,993000000,1215000000,1371000000,6239000000,5777000000,5781000000,5468000000,5078000000,4584000000,4310000000,4341000000
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29552000000,35001000000,36675000000,47647000000,48516000000,58168000000,75889000000,78770000000,88852000000,102891000000,129273000000,138109000000,151413000000,124580000000,118953000000,117006000000,111993000000,100861000000,104783000000,108927000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/811809/000095016802003905/0000950168-02-003905-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312503065962/0001193125-03-065962-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312504174067/0001193125-04-174067-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312505195492/0001193125-05-195492-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312506196087/0001193125-06-196087-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312507207539/0001193125-07-207539-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312508195937/0001193125-08-195937-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312509191302/0001193125-09-191302-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312510213954/0001193125-10-213954-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312511252637/0001193125-11-252637-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312512394240/0001193125-12-394240-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312513376646/0001193125-13-376646-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312514351924/0001193125-14-351924-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312515325671/0001193125-15-325671-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312516715037/0001193125-16-715037-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312517297000/0001193125-17-297000-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312518275568/0001193125-18-275568-index.htm,https://www.sec.gov/Archives/edgar/data/811809/000119312519245975/0001193125-19-245975-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,754000000,830500000,846500000,1083000000,390000000,820000000,946800000,872800000,835200000,313000000,-923000000,-1509000000,971000000,1024000000,1127000000,1581000000,2716000000,6388000000,10450000000,13416000000,15390000000,5877000000,12722000000,23648000000,15417000000,10876000000,13832000000,1910000000,-6385000000,5890000000,3705000000,8306000000,7956000000,11304000000
74,Depreciation and Amortization,- -,663100000,658200000,812700000,880100000,906000000,938900000,1123100000,1185100000,1435700000,1506000000,1381000000,1448000000,1368000000,1225000000,1727000000,1820000000,1860000000,2082000000,2264000000,2421000000,3612000000,3871000000,4759000000,5039000000,6408000000,6945000000,8701000000,9158000000,8661000000,7719000000,6288000000,5829000000,6112000000,6824000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-90100000,-8700000,-68200000,-147700000,45000000,-148000000,-153000000,- -,39000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,270000000,210000000,247000000,247000000,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,- -,- -,1040000000,-42100000,188600000,330800000,-165300000,114000000,155000000,1159000000,- -,-96000000,-79000000,- -,- -,- -,-1259000000,-873000000,-2739000000,2665000000,-2115000000,461000000,-76000000,-519000000,151000000,-187000000,207000000,-352000000,-118000000,368000000,9000000,-1468000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1464000000,780000000,-252000000,1431000000,1714000000,315000000,-662000000,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,35600000,25900000,-204600000,129400000,-6000000,-68000000,248000000,- -,72000000,-11000000,- -,- -,- -,-407000000,-583000000,-1313000000,-116000000,-571000000,-792000000,-208000000,-47000000,-54000000,151000000,527000000,-679000000,-182000000,298000000,-715000000,-447000000
