,https://roic.ai/company/ANF,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
22,Income Tax expense (Gain),16400000,32220000,68000000,99700000,103300000,107900000,121500000,130240000,136500000,215400000,249800000,283600000,178513000,40600000,78300000,59600000,129900000,18600000,47333000,16031000,-11196000,24736000,41159000,17371000,60211000,38908000
23,Net Income,24700000,48322000,102100000,149600000,158100000,168700000,194900000,205102000,216400000,334000000,422200000,475700000,272255000,300000,150300000,127700000,237000000,54600000,51821000,35576000,3956000,7094000,74541000,39358000,-114021000,263010000
24,Net Income ratio,0.0736,0.0926,0.1252,0.1436,0.1277,0.1236,0.1221,0.1201,0.1071,0.1199,0.1272,0.1269,0.0769,0.0001,0.0433,0.0307,0.0525,0.0133,0.0138,0.0101,0.0012,0.0020,0.0208,0.0109,-0.0365,0.0708
25,EPS,0.27,0.47,0.99,1.45,1.58,1.70,1.99,2.12,2.33,3.83,4.79,5.45,3.14,0.00,1.71,1.47,3.21,0.71,0.72,0.52,0.06,0.10,1.11,0.61,-1.82,4.20
26,EPS Diluted,0.27,0.47,0.96,1.39,1.55,1.65,1.94,2.06,2.33,3.66,4.59,5.20,3.05,0.00,1.67,1.43,3.16,0.69,0.71,0.51,0.06,0.10,1.08,0.60,-1.82,4.20
27,Weighted Average Shares Outstanding,99469856,101730526,102814000,102030000,103300000,99102000,98171000,96746226,92777000,87161000,88052000,87248000,86816000,87874000,88061000,86848000,81940000,77157000,71785000,68880000,67878000,68391000,67350000,64428000,62551000,62551000
28,Weighted Average Shares Outstanding Diluted,99469856,102812766,102814000,102030000,103300000,102524000,100631000,99564078,95110000,91221000,92010000,91523000,89291000,88609000,89851000,89537000,83175000,78666000,72937000,69417000,68284000,69403000,69137000,65778000,62551000,62551000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1018840/000095010997003385/0000950109-97-003385-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095010998002824/0000950109-98-002824-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018840/000095015200003189/0000950152-00-003189-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018840/000102140802005406/0001021408-02-005406-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095015203004327/0000950152-03-004327-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095015204002881/0000950152-04-002881-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018840/000095015206003026/l19378ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095015207002885/l25376ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095015208002415/l30737ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095015209003195/0000950152-09-003195-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095012310029409/0000950123-10-029409-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095012311030172/l41654e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000119312512134456/0001193125-12-134456-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884013000012/0001018840-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884014000033/anf-20140201x10k.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884015000020/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884016000080/0001018840-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884017000013/0001018840-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884018000018/0001018840-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884019000018/0001018840-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884020000021/0001018840-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884021000023/0001018840-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884022000011/0001018840-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1900000,42667000,163600000,147900000,137600000,167700000,391000000,511073000,350400000,50700000,82000000,74800000,522122000,196500000,826300000,583500000,643500000,600100000,520708000,588578000,547189000,675558000,723135000,671267000,1104862000,823139000
32,Short-Term Investments,- -,- -,- -,45600000,- -,71200000,10000000,10000000,- -,411200000,447800000,573800000,- -,516000000,- -,84700000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1900000,42667000,163600000,193500000,137600000,238900000,401000000,521073000,350400000,461900000,529800000,648600000,522122000,712500000,826300000,668200000,643500000,600100000,520708000,588578000,547189000,675558000,723135000,671267000,1104862000,823139000
34,Net Receivables,2100000,25480000,4100000,11400000,15800000,20500000,10500000,7197000,26100000,41900000,43200000,53800000,53110000,90900000,81300000,89400000,99600000,68000000,52910000,56868000,93384000,79724000,73112000,80251000,83857000,69102000
35,Inventory,40800000,33927000,50600000,95300000,150200000,145900000,189700000,170703000,275800000,362500000,427400000,333200000,372422000,321700000,385900000,569800000,427000000,530200000,460794000,436701000,399795000,424393000,437879000,434326000,404053000,525864000
36,Other Current Assets,100000,6888000,-100000,- -,- -,-100000,- -,53682000,- -,80800000,91700000,104700000,137171000,110700000,139800000,161400000,137700000,122300000,130560000,96833000,98932000,84863000,101824000,78905000,68857000,89654000
37,Total Current Assets,44900000,108962000,218200000,300200000,303600000,405200000,601200000,752655000,652300000,947100000,1092100000,1140300000,1084825000,1235800000,1433300000,1488800000,1307800000,1320600000,1164972000,1178980000,1139300000,1264538000,1335950000,1264749000,1661629000,1507759000
38,PP&E,59000000,70517000,89600000,146400000,278800000,365100000,392900000,445956000,687000000,813600000,1092300000,1318300000,1398655000,1244000000,1149600000,1197300000,1308200000,1131300000,967001000,894178000,824738000,738182000,694855000,1896244000,1444576000,1206567000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,30800000,31000000,27943000,28057000,27092000,26147000,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31800000,30800000,31000000,27943000,28057000,27092000,26147000,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,141794000,100534000,14858000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,3759000,- -,- -,- -,1200000,20800000,- -,55300000,38500000,30400000,22500000,- -,47100000,33500000,4100000,- -,- -,96999000,- -,- -,- -,58760000,74903000,- -,- -
44,Other Non-Current Assets,1900000,- -,11400000,11600000,5100000,-1000000,-20100000,552000,-46900000,-9500000,33300000,86500000,364701000,153206000,230966000,311342000,340600000,368100000,248252000,331824000,304627000,296825000,296028000,313769000,208697000,225165000
45,Total Non-Current Assets,60900000,74276000,101000000,158000000,283900000,365300000,393600000,446508000,695400000,842600000,1156000000,1427300000,1763356000,1586100000,1514600000,1559400000,1679600000,1530400000,1340195000,1254059000,1156457000,1061154000,1049643000,2284916000,1653273000,1431732000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,105800000,183238000,319200000,458200000,587500000,770500000,994800000,1199163000,1347700000,1789700000,2248100000,2567600000,2848181000,2821900000,2947900000,3048200000,2987400000,2851000000,2505167000,2433039000,2295757000,2325692000,2385593000,3549665000,3314902000,2939491000
48,Accounts Payable,11800000,15968000,24800000,18700000,33900000,31900000,50200000,91364000,83800000,86600000,100900000,108400000,92814000,110200000,137200000,211400000,140400000,130700000,141685000,184175000,187017000,168868000,226878000,219919000,289396000,374829000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,2102000,- -,- -,- -,- -,282829000,248846000,445646000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42136000,114053000,146056000,171836000,107608000,67433000,43191000,39940000,47449000,57392000,49024000,80927000,21773000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,29654000,33170000,36128000,- -,44570000,60405000,77120000,32558000,21835000,36936000,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,31800000,50994000,97400000,119200000,120700000,131700000,161300000,188638000,330100000,375346000,376530000,398572000,356983000,294630000,361295000,416880000,517842000,400665000,305233000,350528000,298983000,338678000,332039000,312606000,421157000,194765000
53,Total Current Liabilities,43600000,66962000,122200000,137900000,154600000,163600000,211500000,280002000,413900000,491600000,510600000,543100000,449797000,449400000,558900000,705400000,690800000,568200000,485956000,534703000,486000000,507546000,558917000,815354000,959399000,1015240000
54,Long-Term Debt,50000000,50000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,100000000,71200000,68600000,57900000,- -,120000000,291310000,286235000,262992000,249686000,296776000,231963000,1301498000,1698102000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,19516000,- -,- -,- -,- -,34085000,- -,33515000,4123000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,900000,7501000,10900000,9200000,10200000,11500000,33800000,28388000,264500000,303000000,332200000,406200000,418721000,473300000,396085000,418277000,478300000,433300000,338200000,321038000,303330000,326081000,321000000,1443538000,104693000,-1626415000
58,Total Non-Current Liabilities,50900000,57501000,10900000,9200000,10200000,11500000,33800000,47904000,264500000,303000000,332200000,406200000,552806000,544500000,498200000,480300000,478300000,553300000,629510000,607273000,566322000,575767000,617776000,1675501000,1406191000,71687000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,63942000,60726000,50521000,47440000,46397000,50653000,46337000,1535463000,1206434000,- -
61,Total Liabilities,94500000,124463000,133100000,147100000,164800000,175100000,245300000,327906000,678400000,794600000,842800000,949300000,1002603000,993900000,1057100000,1185700000,1169100000,1121500000,1115466000,1141976000,1052322000,1083313000,1176693000,2490855000,2365590000,1086927000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,500000,511000,500000,1000000,1000000,1000000,1000000,1033000,1000000,1000000,1000000,1000000,1033000,1000000,1000000,1000000,1000000,1000000,1033000,1033000,1033000,1033000,1033000,1033000,1033000,1033000
64,Retained Earnings,-107300000,-58931000,43100000,192700000,350900000,519500000,714500000,919577000,1076000000,1357800000,1646300000,2051500000,2244936000,2183700000,2272300000,2320600000,2567300000,2556300000,2550673000,2530196000,2474703000,2420552000,2418544000,2313745000,2149470000,2386156000
65,Other Comprehensive Income/Loss,-42900000,-53483000,-63100000,-79400000,-105400000,-136200000,-192700000,-230216000,-386400000,25410000,-994000,7118000,-22681000,-8973000,-6516000,6455000,-13288000,-20917000,-83580000,-114619000,-121302000,-95054000,-102452000,-108886000,-102307000,-114706000
66,Other Total Stockholders Equity,160900000,170678000,205600000,196800000,176200000,211100000,226727000,180863000,-21274000,-389093000,-241009000,-441305000,-377710000,-347810000,-376000000,-465599000,-736744000,-806890000,-1078425000,-1125547000,-1110999000,-1084152000,-1108225000,-1147082000,-1111568000,837324000
67,Total Stockholders Equity,11200000,58775000,186100000,311100000,422700000,595400000,749527000,871257000,669326000,995117000,1405297000,1618313000,1845578000,1827917000,1890784000,1862456000,1818268000,1729493000,1389701000,1291063000,1243435000,1242379000,1208900000,1058810000,936628000,837324000
68,Total Liabilities And Stockholders Equity,105700000,183238000,319200000,458200000,587500000,770500000,994827000,1199163000,1347726000,1789717000,2248097000,2567613000,2848181000,2821817000,2947884000,3048156000,2987368000,2850993000,2505167000,2433039000,2295757000,2325692000,2385593000,3549665000,3302218000,1924251000
69,Minority Interest,100000,- -,- -,- -,- -,- -,-27000,- -,-26000,-17000,3000,-13000,- -,83000,16000,44000,32000,7000,- -,- -,- -,- -,- -,- -,12684000,1015240000
70,Total Liabilities & Equity,105800000,183238000,319200000,458200000,587500000,770500000,994800000,1199163000,1347700000,1789700000,2248100000,2567600000,2848181000,2821900000,2947900000,3048200000,2987400000,2851000000,2505167000,2433039000,2295757000,2325692000,2385593000,3549665000,3314902000,2939491000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1018840/000095010997003385/0000950109-97-003385-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095010998002824/0000950109-98-002824-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018840/000095015200003189/0000950152-00-003189-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018840/000102140802005406/0001021408-02-005406-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095015203004327/0000950152-03-004327-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095015204002881/0000950152-04-002881-index.html,- -,https://www.sec.gov/Archives/edgar/data/1018840/000095015206003026/l19378ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095015207002885/l25376ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095015208002415/l30737ae10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000095015209003195/0000950152-09-003195-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095012310029409/0000950123-10-029409-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000095012311030172/l41654e10vk.htm,https://www.sec.gov/Archives/edgar/data/1018840/000119312512134456/0001193125-12-134456-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884013000012/0001018840-13-000012-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884014000033/anf-20140201x10k.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884015000020/a201410-k.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884016000080/0001018840-16-000080-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884017000013/0001018840-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884018000018/0001018840-18-000018-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884019000018/0001018840-19-000018-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884020000021/0001018840-20-000021-index.html,https://www.sec.gov/Archives/edgar/data/1018840/000101884021000023/0001018840-21-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1018840/000101884022000011/0001018840-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,24700000,48322000,102100000,149600000,158100000,168700000,194900000,205102000,216400000,334000000,422200000,475700000,272255000,300000,150300000,127700000,237000000,54600000,51821000,35576000,3956000,7094000,74541000,39358000,-114021000,263010000
74,Depreciation and Amortization,11759000,16342000,20946000,27721000,30731000,41155000,56925000,66604000,73020000,91679000,111671000,146298000,225334000,238752000,229153000,232956000,224245000,235240000,226421000,213680000,195414000,194549000,178030000,173625000,166281000,144035000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,7308000,3942000,-2099000,-11638000,1342000,14005000,2151000,-28876000,-46330000,-22009000,-41263000,1676000,7469000,-7866000,37485000,5946000,9150000,23986000,-31922000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,36109000,40599000,51093000,52922000,53516000,23027000,28359000,22120000,22108000,21755000,14007000,18682000,29304000
77,Change in Working Capital,10403000,40700000,54000000,66300000,-13300000,92600000,148100000,82953000,-234253000,217100000,126000000,15700000,37828000,151372000,88000000,-91000000,-166400000,135400000,-73384000,-34739000,9023000,103692000,20041000,-327638000,252835000,-209711000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,-4555000,1016000,-10065000,-31270000,-45735000,12121000,-35342000,-27397000,-34445000,-146314000,-61940000,87657000,-40521000,62720000,-74689000,-184784000,253650000,-103304000,62854000,21253000,24452000,-18298000,-23820000,2270000,33312000,-123221000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39394000,29365000,- -,-34692000,-73749000,-37394000,51050000,-32647000,13622000,63155000,10821000,186747000,77910000
81,Other Working Capital,1300000,42000000,96000000,162300000,149000000,241600000,389700000,472653000,238400000,455500000,581500000,597200000,635028000,786400000,874400000,783400000,617000000,752400000,679016000,644277000,653300000,756992000,777033000,449395000,702230000,492519000
82,Other Non-Cash Items,-26000,-5169000,-3963000,-89812000,-24342000,-69253000,-106779000,-80071000,367016000,-187090000,-66062000,178785000,-58586000,-26484000,-87387000,90800000,358413000,-262000000,82919000,59596000,-38056000,-79224000,52620000,392183000,57155000,79281000
83,Cash Provided by Operating Activities,46836000,100195000,173083000,153809000,151189000,233202000,293146000,281896000,426125000,453590000,582171000,817825000,490836000,402200000,391789000,365219000,684171000,175493000,312480000,309941000,184591000,285704000,352933000,300685000,404918000,273997000
84,CAPEX,-24323000,-29486000,-41876000,-83824000,-153481000,-126515000,-92976000,-99128000,-185065000,-256422000,-403476000,-403345000,-367602000,-175472000,-160935000,-318598000,-339862000,-163924000,-174624000,-143199000,-140844000,-107001000,-152393000,-202784000,-101910000,-96979000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,-56933000,- -,-71220000,- -,-10000000,-4314070000,-1016986000,-1459835000,-1444736000,-49411000,-13539000,-16583000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,11332000,45601000,- -,61220000,10000000,4778770000,605101000,1404805000,1362911000,308673000,77450000,84542000,2650000,101963000,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,-1500000,-3000000,-454000,4954000,- -,- -,- -,-15258000,-15000000,-4877000,-175472000,-160935000,-343339000,-349201000,-173861000,-175074000,20632000,4098000,203000,- -,- -,50000000,- -
89,Cash Used for Investing Activites,-24323000,-29486000,-41876000,-130925000,-110880000,-198189000,-26802000,-99128000,279635000,-668307000,-473764000,-500170000,-113217000,-111561000,-92976000,-340689000,-247238000,-173861000,-175074000,-122567000,-136746000,-106798000,-152393000,-202784000,-51910000,-96979000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000000,-12093000,-45002000,-139646000,-15795000,-195750000,-6000000,-25000000,-15000000,- -,-20000000,-443250000,-46969000
91,Common Stock Issued,118178000,- -,25875000,- -,- -,- -,- -,19767000,48927000,77019000,12876000,38750000,55194000,2048000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,-929000,-11240000,-50856000,- -,-11069000,-42691000,-115670000,-434658000,-103296000,- -,-287916000,-50000000,- -,-76158000,-196605000,-321665000,-115806000,-285038000,-50033000,- -,- -,-68670000,-63542000,-15172000,-377290000
93,Dividends Paid,-27000000,- -,- -,- -,- -,- -,- -,- -,-46438000,-52218000,-61623000,-61330000,-60769000,-61500000,-61656000,-60956000,-57634000,-61923000,-57362000,-55145000,-54066000,-54392000,-53714000,-51510000,-12556000,- -
94,Other Financing Activites,-112620000,-29058000,-24945000,12316000,-50636000,6139000,-282000,4145000,20404000,5164000,-28388000,27741000,86044000,23402000,4574000,37234000,138874000,152693000,356697000,4303000,-4727000,-5421000,-9307000,-12821000,540695000,-22639000
95,Cash Used/Provided by Financing Activities,-21442000,-29987000,-10310000,-38540000,-50636000,-4930000,-42973000,-91758000,-411765000,-73331000,-77135000,-282755000,30469000,-136050000,-145333000,-265329000,-380071000,-40831000,-181453000,-106875000,-83793000,-74813000,-131691000,-147873000,69717000,-446898000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1185000,-4010000,3402000,2923000,-2059000,3148000,-4190000,-35361000,-12629000,-5441000,24276000,-20975000,-3593000,9168000,-19909000
97,Net Change In Cash,1071000,40722000,120897000,-15656000,-10327000,30083000,223371000,91010000,293995000,-288048000,31272000,36085000,404078000,157991000,156403000,-242858000,60010000,-43389000,-79408000,67870000,-41389000,128369000,47874000,-53565000,431893000,-289789000
98,Cash at the End of Period,1945000,42667000,163564000,147908000,137581000,167664000,391035000,511073000,350368000,50687000,81959000,118044000,522122000,680113000,826353000,583495000,643505000,600116000,520708000,588578000,547189000,675558000,745829000,692264000,1124157000,834368000
99,Cash at the Beginning of Period,874000,1945000,42667000,163564000,147908000,137581000,167664000,420063000,56373000,338735000,50687000,81959000,118044000,522122000,669950000,826353000,583495000,643505000,600116000,520708000,588578000,547189000,697955000,745829000,692264000,1124157000
100,Free Cash Flow,22513000,70709000,131207000,69985000,-2292000,106687000,200170000,182768000,241060000,197168000,178695000,414480000,123234000,226728000,230854000,46621000,344309000,11569000,137856000,166742000,43747000,178703000,200540000,97901000,303008000,177018000
