,https://roic.ai/company/CXW,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,3500000,4300000,6200000,6800000,9000000,11500000,14400000,13000000,15600000,20800000,24700000,48800000,20200000,68200000,298355000,842224000,88785000,93404000,102697000,116935000,131266000,154487000,171117000,187336000,188199000,200158000,202868000,216282000,220354000,255450000,273773000,254951000,263366000,271650000,275199000,270508000
11,COGS and Expenses,15900000,18600000,24100000,33700000,53800000,66100000,83400000,92200000,108200000,179600000,237900000,379300000,20200000,68200000,298355000,842224000,832859000,868715000,973269000,1015728000,1105159000,1212537000,1295119000,1356008000,1351970000,1403558000,1455052000,1436633000,1376489000,1511578000,1549359000,1504488000,1578616000,1694419000,1681575000,1607573000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3396000,2720000,2300000,2460000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,62800000,75500000,73427000,75400000,58363000,45126000,39535000,49696000,67755000,68535000,80753000,84401000,83299000,85542000
14,Depreciation and Amortization,900000,1400000,2300000,-2200000,-3000000,-4000000,-6800000,-5200000,-5500000,-6500000,-11300000,-14100000,- -,- -,- -,- -,66204000,61516000,61324000,65409000,72106000,82613000,91461000,100803000,106273000,108931000,113933000,113491000,113925000,151514000,166746000,147129000,156501000,144572000,150861000,134738000
15,EBITDA,-1600000,-500000,2200000,-600000,-2800000,-5900000,-4300000,-1100000,3600000,17100000,39100000,73000000,29500000,-53400000,-778784000,26830000,-4996000,150947000,165993000,142439000,238494000,296298000,397329000,413002000,431190000,443142000,416643000,324457000,355425000,431425000,462673000,407615000,404814000,425698000,293884000,306383000
16,EBITDA ratio,-0.1151,-0.0294,0.0887,-0.0163,-0.0505,-0.0869,-0.0477,-0.0110,0.0298,0.0825,0.1337,0.1579,0.4173,-0.1869,-2.4950,0.0274,-0.0052,0.1456,0.1446,0.1194,0.1792,0.2004,0.2485,0.2473,0.2574,0.2553,0.2367,0.1915,0.2158,0.2406,0.2501,0.2309,0.2205,0.2149,0.1542,0.1645
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,50500000,217500000,13785000,138567000,129979000,168022000,174989000,176912000,225929000,266300000,303787000,313955000,323061000,332055000,304833000,251151000,240296000,280554000,296416000,260396000,249485000,281564000,162662000,189370000
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7143,0.7613,0.0442,0.1413,0.1350,0.1621,0.1524,0.1483,0.1697,0.1801,0.1900,0.1880,0.1929,0.1913,0.1732,0.1482,0.1459,0.1565,0.1602,0.1475,0.1359,0.1422,0.0854,0.1017
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,-4100000,-3400000,-4000000,-4200000,4200000,-11100000,-219000000,-792569000,-111737000,-84914000,-77819000,-70221000,-99460000,-59541000,-53473000,-59696000,-76467000,-71167000,-73244000,-60124000,-81554000,-38331000,-50339000,-68244000,-68445000,-81925000,-84839000,-102938000,-103267000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,4100000,9100000,23600000,50400000,87100000,- -,- -,-778784000,26830000,45065000,90203000,104768000,77452000,166388000,212827000,244091000,237488000,251894000,258811000,244709000,169597000,201965000,230215000,228172000,191951000,167560000,196725000,59724000,86103000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.0408,0.0754,0.1139,0.1723,0.1884,- -,- -,-2.4950,0.0274,0.0468,0.0870,0.0912,0.0649,0.1250,0.1439,0.1527,0.1422,0.1504,0.1491,0.1390,0.1001,0.1226,0.1284,0.1234,0.1087,0.0913,0.0993,0.0313,0.0462
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,100000,1900000,9300000,19500000,33100000,- -,- -,-48002000,1136000,-63284000,-52352000,42126000,26888000,61149000,80312000,92127000,81745000,94297000,96301000,87586000,-134995000,6943000,8361000,8253000,13911000,8353000,7839000,4386000,137999000
23,Net Income,-2500000,-1900000,-100000,1600000,200000,-1900000,2500000,4000000,7200000,14300000,30900000,54000000,29500000,-53400000,-730782000,25694000,-7916000,141783000,62543000,50142000,105239000,133373000,150941000,154954000,157193000,162510000,156761000,300835000,195022000,221854000,219919000,178040000,159207000,188886000,55338000,-51896000
24,Net Income ratio,-0.1799,-0.1118,-0.0040,0.0435,0.0036,-0.0280,0.0277,0.0398,0.0597,0.0690,0.1056,0.1168,0.4173,-0.1869,-2.3412,0.0262,-0.0082,0.1368,0.0545,0.0420,0.0791,0.0902,0.0944,0.0928,0.0938,0.0936,0.0891,0.1776,0.1184,0.1237,0.1189,0.1008,0.0867,0.0954,0.0290,-0.0279
25,EPS,-0.09,-0.06,-0.01,0.05,0.01,-0.05,0.07,0.10,0.14,0.23,0.43,0.70,0.48,-1.71,-18.90,0.08,-0.35,1.31,0.58,0.43,0.88,1.09,1.21,1.33,1.40,1.55,1.58,2.74,1.68,1.90,1.87,1.51,1.34,1.59,0.45,-0.43
26,EPS Diluted,-0.09,-0.06,-0.01,0.05,0.01,-0.05,0.06,0.10,0.12,0.18,0.36,0.61,0.44,-1.71,-18.90,0.07,-0.35,1.15,0.52,0.42,0.85,1.06,1.20,1.32,1.39,1.54,1.56,2.70,1.66,1.88,1.87,1.50,1.34,1.59,0.45,-0.43
27,Weighted Average Shares Outstanding,27777778,31666667,10000000,32000000,20000000,38000000,34285714,36000000,50000000,62173913,71860465,77142857,22484700,36255555,39397200,73140000,83007000,96735000,105312069,115712308,119589773,122360550,124744628,116088000,112015000,104736000,99545000,109617000,116109000,116949000,117384000,118084000,118544000,119028000,119559000,120285000
28,Weighted Average Shares Outstanding Diluted,27777778,31666667,10000000,32000000,20000000,38000000,40000000,36000000,58333333,79444444,85833333,88524590,24865785,36255555,39397200,85176000,106722000,114147000,118221290,120340800,123086550,125823585,125784167,117290000,112977000,105535000,100623000,111250000,117312000,117785000,117791000,118465000,118716000,119164000,120929000,122049000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070985/000095014400004324/0000950144-00-004324-index.html,- -,https://www.sec.gov/Archives/edgar/data/1070985/000095014402002578/0000950144-02-002578-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014403003981/0000950144-03-003981-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014404002429/0000950144-04-002429-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014405002154/0000950144-05-002154-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014406001892/g99938e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014407001642/g05698e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014408001419/g11880e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014409001609/0000950144-09-001609-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095012310016309/0000950123-10-016309-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095012311018499/c10722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312512081122/0001193125-12-081122-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312513080296/0001193125-13-080296-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312514072723/d664216d10k.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312515061839/d853180d10k.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312516477634/0001193125-16-477634-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312517053982/0001193125-17-053982-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459018002898/0001564590-18-002898-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459019004033/0001564590-19-004033-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459020005570/0001564590-20-005570-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459021007050/0001564590-21-007050-index.htm,https://www.sec.gov/Archives/edgar/data/1070985/000156459022005663/0001564590-22-005663-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5700000,300000,800000,1500000,4700000,3400000,4000000,5900000,3800000,2100000,4800000,136100000,- -,84500000,20900000,46300000,65406000,84231000,50938000,64901000,29121000,57968000,34077000,45908000,25505000,55832000,62897000,77909000,74393000,65291000,37711000,52183000,52802000,92120000,113219000,299645000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8686000,19014000,82830000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5700000,300000,800000,1500000,4700000,3400000,4000000,5900000,3800000,2100000,4800000,136100000,- -,84500000,20900000,46300000,65406000,84231000,59624000,83915000,111951000,57968000,34077000,45908000,25505000,55832000,62897000,77909000,74393000,65291000,37711000,52183000,52802000,92120000,113219000,299645000
34,Net Receivables,2200000,2200000,4200000,9000000,9800000,9800000,15500000,15000000,22900000,39700000,100600000,89800000,- -,- -,- -,- -,155328000,136465000,155926000,176560000,238256000,241722000,263073000,241185000,305305000,271217000,252764000,244957000,248588000,234456000,229885000,254188000,270597000,280785000,267705000,282809000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,500000,800000,1100000,2000000,3600000,3600000,4800000,3800000,5300000,4800000,9000000,7500000,- -,- -,- -,- -,33613000,72482000,86738000,59656000,41035000,40973000,41149000,38162000,47483000,32380000,35081000,29868000,43004000,42311000,31228000,21119000,50126000,62480000,336198000,44930000
37,Total Current Assets,8400000,3300000,6100000,12500000,18100000,16800000,24300000,24700000,32000000,46600000,114400000,233400000,- -,- -,- -,- -,254347000,293178000,302288000,320131000,391242000,340663000,338299000,325255000,378293000,359429000,350742000,352734000,365985000,342058000,298824000,327490000,373525000,435385000,717122000,627384000
38,PP&E,22000000,22100000,26800000,32000000,45600000,51100000,59100000,58200000,78400000,137000000,288700000,266500000,- -,- -,- -,- -,1552265000,1586979000,1660010000,1710794000,1805098000,2086980000,2478824000,2520503000,2549295000,2608918000,2568791000,2546613000,2658628000,2883060000,2837657000,2802449000,2830589000,2808225000,2544352000,2453224000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20902000,15563000,15563000,15246000,15246000,13672000,13672000,13672000,11988000,11988000,11988000,16110000,16110000,35557000,38386000,40927000,48169000,50537000,5902000,4844000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109006000,104019000,- -,- -,- -,- -,- -,14000,- -,- -,- -,- -,- -,25567000,24289000,41621000,41032000,43253000,93905000,14517000,10720000,8998000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109006000,104019000,20902000,15563000,15563000,15246000,15246000,13686000,13672000,13672000,11988000,11988000,11988000,41677000,40399000,77178000,79418000,84180000,142074000,65054000,16622000,13842000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,15000000,15000000,13414000,12185000,10798000,9233000,7467000,5473000,3223000,684000,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6739000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3078000,2301000,9824000,13735000,12814000,14947000,16058000,11113000,- -
44,Other Non-Current Assets,7900000,9200000,11300000,23100000,30400000,28800000,19000000,16900000,19600000,29900000,65800000,198000000,893700000,2735900000,2067986000,1867261000,46557000,56569000,45217000,24142000,24274000,29411000,27165000,34128000,32854000,30063000,35754000,57850000,56655000,43214000,41970000,45465000,294525000,466909000,420106000,404488000
45,Total Non-Current Assets,29900000,31300000,38100000,55100000,76000000,79900000,78100000,75100000,98000000,166900000,354500000,464500000,893700000,2735900000,2176992000,1971280000,1619724000,1665850000,1720790000,1766182000,1859618000,2145077000,2533075000,2580488000,2604935000,2660202000,2624000000,2654691000,2761206000,3013960000,2972780000,2944908000,3282135000,3356246000,2992193000,2871554000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,38300000,34600000,44200000,67600000,94100000,96700000,102400000,99800000,130000000,213500000,468900000,697900000,893700000,2735900000,2176992000,1971280000,1874071000,1959028000,2023078000,2086313000,2250860000,2485740000,2871374000,2905743000,2983228000,3019631000,2974742000,3007425000,3127191000,3356018000,3271604000,3272398000,3655660000,3791631000,3709315000,3498938000
48,Accounts Payable,- -,- -,- -,1000000,2300000,2700000,2100000,2000000,6200000,10800000,39200000,32100000,- -,- -,- -,- -,11483000,156656000,146751000,158267000,160785000,89256000,189940000,50049000,203796000,45800000,46662000,58200000,49825000,72689000,49866000,53230000,96642000,75152000,85359000,90809000
49,Short-Term Debt,2300000,1300000,1900000,1700000,1500000,1600000,4500000,4600000,3900000,11000000,8300000,19000000,- -,- -,14594000,792009000,23054000,1146000,3182000,11836000,290000,290000,290000,- -,- -,- -,- -,- -,- -,24775000,21785000,21612000,26892000,66866000,65133000,66431000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,450000,481000,476000,24021000,24536000,25964000,25890000,26716000,29793000,31507000,29476000,27900000,27780000,29629000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5725000,31844000,14332000,13633000,15173000,15387000,8693000,10896000
52,Other Current Liabilities,1500000,2000000,1800000,2300000,3500000,4500000,6800000,5900000,7800000,13700000,16400000,45600000,- -,- -,- -,- -,151429000,1824000,22332000,3209000,3307000,125185000,1593000,144534000,2059000,152562000,119796000,196206000,263438000,195287000,186210000,202363000,227689000,211406000,154220000,172832000
53,Total Current Liabilities,3800000,3300000,3700000,5000000,7300000,8800000,13400000,12500000,17900000,35500000,63900000,96700000,- -,- -,14594000,792009000,185966000,159626000,172265000,173312000,164382000,214731000,191823000,194583000,205855000,198362000,166458000,254406000,318988000,324595000,272193000,290838000,366396000,368811000,313405000,340968000
54,Long-Term Debt,9700000,8400000,17300000,36200000,60700000,57800000,55400000,48700000,46500000,74900000,117500000,127100000,279600000,1101200000,1137976000,171591000,932905000,1002282000,999113000,963800000,975968000,975677000,1192632000,1149099000,1156568000,1245014000,1111545000,1205000000,1200000000,1447077000,1435169000,1437187000,1787555000,1928023000,1747664000,1620752000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,87227000,63289000,53437000,39735000,26102000,12469000,18336000,27551000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,1600000,3600000,4200000,4700000,- -,- -,- -,- -,- -,- -,- -,14132000,12087000,23755000,34271000,68349000,88260000,118245000,136503000,139526000,- -,- -,- -,- -,- -,- -,- -,14795000,88157000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31400000,214400000,351001000,1052528000,21202000,21655000,21574000,20483000,37074000,39086000,38211000,31255000,31689000,31730000,35593000,45512000,39476000,58309000,51842000,53030000,60548000,105579000,201673000,49042000
58,Total Non-Current Liabilities,9700000,8400000,17300000,36200000,60700000,57800000,55400000,50300000,50100000,79100000,122200000,127100000,311000000,1315600000,1488977000,1224119000,954107000,1023937000,1034819000,996370000,1036797000,1049034000,1299192000,1268614000,1306502000,1413247000,1286664000,1250512000,1326703000,1568675000,1540448000,1529952000,1874205000,2046071000,1982468000,1785502000
59,Other Liabilities,19500000,8400000,35900000,73200000,122500000,57700000,110900000,50300000,103900000,160400000,245400000,380200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7352000,47787000,37195000,33333000,37392000,94398000,178323000,159761000
61,Total Liabilities,13600000,11700000,22300000,42000000,69100000,66500000,68900000,62800000,71700000,116800000,187100000,349800000,311000000,1315600000,1488977000,1224119000,1140073000,1183563000,1207084000,1169682000,1201179000,1263765000,1491015000,1463197000,1512357000,1611609000,1453122000,1504918000,1645691000,1893270000,1812641000,1820790000,2240601000,2414882000,2295873000,2126470000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,215331000,31028000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1200000,2354000,279000,280000,350000,354000,397000,610000,1245000,1247000,1160000,1098000,995000,1001000,1159000,1168000,1172000,1176000,1182000,1187000,1191000,1196000,1203000
64,Retained Earnings,-7400000,-9400000,-9500000,-7900000,-7700000,-9900000,-7800000,-4400000,1700000,15600000,42100000,92500000,-64600000,-65100000,-798906000,-793236000,-822111000,-695590000,-634509000,-584387000,-479148000,-348006000,-197065000,-42111000,115082000,277592000,374131000,-224015000,-267971000,-300818000,-322563000,-344287000,-393330000,-446252000,-446519000,-498690000
65,Other Comprehensive Income/Loss,-1200000,-2200000,-3400000,-4600000,-5900000,-8200000,-10500000,-13200000,-15400000,-20600000,-25800000,-17300000,- -,- -,- -,- -,-2568000,-2065000,-1736000,-5563000,-428827000,-508696000,-599390000,-697787000,-798562000,-902384000,-999176000,-1080233000,-1151424000,-1193723000,-1352323000,-1475951000,-1516664000,-1510117000,-1559388000,- -
66,Other Total Stockholders Equity,33300000,34500000,34800000,38100000,38600000,48300000,51800000,54600000,72000000,101700000,265500000,272900000,647300000,1484200000,1484567000,1540118000,1343066000,1441742000,1451885000,1506184000,1957046000,2077432000,2175567000,2181284000,2153253000,2031819000,2145664000,2805596000,2899727000,2956117000,3132673000,3270664000,3323866000,3331927000,3394882000,1869955000
67,Total Stockholders Equity,24700000,22900000,21900000,25600000,25000000,30200000,33500000,37000000,58300000,96700000,281800000,348100000,582700000,1420300000,688015000,747161000,733998000,775465000,815994000,916631000,1049681000,1221975000,1380359000,1442546000,1470871000,1408022000,1521620000,1502507000,1481500000,1462748000,1458963000,1451608000,1415059000,1376749000,1390171000,1372468000
68,Total Liabilities And Stockholders Equity,38300000,34600000,44200000,67600000,94100000,96700000,102400000,99800000,130000000,213500000,468900000,697900000,893700000,2735900000,2176992000,1971280000,1874071000,1959028000,2023078000,2086313000,2250860000,2485740000,2871374000,2905743000,2983228000,3019631000,2974742000,3007425000,3127191000,3356018000,3271604000,3272398000,3655660000,3791631000,3686044000,3498938000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23271000,- -
70,Total Liabilities & Equity,38300000,34600000,44200000,67600000,94100000,96700000,102400000,99800000,130000000,213500000,468900000,697900000,893700000,2735900000,2176992000,1971280000,1874071000,1959028000,2023078000,2086313000,2250860000,2485740000,2871374000,2905743000,2983228000,3019631000,2974742000,3007425000,3127191000,3356018000,3271604000,3272398000,3655660000,3791631000,3709315000,3498938000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1070985/000095014400004324/0000950144-00-004324-index.html,- -,https://www.sec.gov/Archives/edgar/data/1070985/000095014402002578/0000950144-02-002578-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014403003981/0000950144-03-003981-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014404002429/0000950144-04-002429-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014405002154/0000950144-05-002154-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095014406001892/g99938e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014407001642/g05698e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014408001419/g11880e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000095014409001609/0000950144-09-001609-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095012310016309/0000950123-10-016309-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000095012311018499/c10722e10vk.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312512081122/0001193125-12-081122-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312513080296/0001193125-13-080296-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312514072723/d664216d10k.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312515061839/d853180d10k.htm,https://www.sec.gov/Archives/edgar/data/1070985/000119312516477634/0001193125-16-477634-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000119312517053982/0001193125-17-053982-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459018002898/0001564590-18-002898-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459019004033/0001564590-19-004033-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459020005570/0001564590-20-005570-index.html,https://www.sec.gov/Archives/edgar/data/1070985/000156459021007050/0001564590-21-007050-index.htm,https://www.sec.gov/Archives/edgar/data/1070985/000156459022005663/0001564590-22-005663-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,1600000,200000,-1900000,2500000,4000000,7200000,14300000,30900000,54000000,29500000,-53400000,-730782000,25694000,-7916000,141783000,62543000,50142000,105239000,133373000,150941000,154954000,157193000,162510000,156761000,300835000,195022000,221854000,219919000,178040000,159207000,188886000,55338000,-51896000
74,Depreciation and Amortization,- -,- -,- -,-2200000,-3000000,-4000000,-6800000,-5200000,-5500000,-6500000,-11300000,-14100000,- -,- -,- -,- -,66204000,61516000,61324000,65409000,72106000,82613000,91461000,100803000,106273000,108931000,113933000,113491000,113925000,151514000,166746000,147129000,156501000,144572000,150861000,134738000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,1100000,- -,13100000,-6300000,- -,- -,-13767000,-3531000,- -,-50082000,14934000,21255000,31141000,9576000,29813000,22622000,26203000,17359000,5761000,-151037000,-3211000,5706000,-3911000,921000,-4436000,-1162000,4945000,99270000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9679000,9828000,9646000,10384000,12325000,12965000,13975000,15394000,17903000,13286000,13132000,17267000,17264000,18733000
77,Change in Working Capital,- -,- -,- -,-4300000,3300000,-2800000,2900000,1300000,1900000,-3000000,39400000,86200000,-136700000,- -,- -,- -,68381000,65171000,-3529000,16796000,80041000,-100928000,20544000,-15804000,41766000,-11371000,23217000,-85956000,-51331000,-29534000,9168000,10021000,-29523000,59445000,337143000,21038000
78,Accounts Receivable,- -,- -,- -,-4900000,-600000,- -,-5900000,500000,-7100000,-12800000,-56000000,16000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25150000,20767000,-70964000,46941000,12189000,16683000,-12549000,1266000,14059000,-13913000,-19470000,-16938000,16769000,-10628000
79,Inventory,- -,- -,- -,-800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
