,https://roic.ai/company/INTT,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,6300000,6900000,8600000,13500000,27634000,27400000,20045000,22683000,26497000,11918000,22851000,25634000,21001000,12196000,14795000,15315000,15750000,15053000,15546000,16136000,16232000,24103000,27320000,26676000,25321000,32479000
11,COGS and Expenses,13000000,14500000,16500000,28200000,73655000,66316000,48933000,51862000,68918000,45551000,58803000,55558000,46006000,27882000,38854000,39688000,40067000,35464000,36880000,36327000,36081000,56214000,66482000,58111000,55040000,76133000
12,Interest Income ,- -,- -,- -,- -,493000,213000,110000,67000,89000,189000,355000,420000,297000,44000,12000,13000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,31000,31000,40000,19000,13000,15000,5000,2000,21000,72000,64000,4000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,100000,200000,500000,900000,2074000,2182000,1917000,2027000,2106000,1873000,1798000,1691000,1073000,501000,395000,394000,933000,847000,879000,754000,599000,1779000,1871000,3193000,3174000,3145
15,EBITDA,5600000,6600000,3500000,7600000,13684000,-11925000,294000,-1564000,3787000,-1496000,5793000,-4768000,-7986000,-4322000,7859000,8057000,3986000,4855000,5788000,3337000,4806000,5617000,6914000,5797000,1943000,8405145
16,EBITDA ratio,0.3011,0.3188,0.1832,0.2203,0.1561,-0.2310,0.0062,-0.0326,0.0532,-0.0280,0.0929,-0.0979,-0.2059,-0.1839,0.1701,0.1705,0.0919,0.1231,0.1385,0.0858,0.1195,0.0841,0.0880,0.0956,0.0361,0.0990
17,Operating Income,5600000,6200000,2600000,6300000,13996000,-14689000,-1806000,-3834000,1666000,-3562000,3520000,-6853000,-9440000,-5046000,7350000,7578000,2996000,3962000,4916000,2562000,4146000,3611000,5180000,2549000,-1217000,8459000
18,Operating Income ratio,0.3011,0.2995,0.1361,0.1826,0.1597,-0.2845,-0.0383,-0.0798,0.0234,-0.0668,0.0565,-0.1407,-0.2434,-0.2147,0.1591,0.1603,0.0691,0.1005,0.1176,0.0659,0.1031,0.0541,0.0659,0.0420,-0.0226,0.0997
19,Total Other Income Expenses (Gains),-100000,200000,400000,400000,-2417000,551000,143000,224000,2000,178000,470000,392000,360000,151000,50000,81000,57000,46000,-7000,21000,61000,227000,-137000,55000,-14000,-57000
20,Income Before Tax,5500000,6400000,3000000,6700000,11579000,-14138000,-1663000,-3610000,1668000,-3384000,3990000,-6461000,-9080000,-4895000,7400000,7659000,3053000,4008000,4909000,2583000,4207000,3838000,5043000,2604000,-1231000,8402000
21,Income Before Tax Ratio,0.2957,0.3092,0.1571,0.1942,0.1321,-0.2738,-0.0353,-0.0752,0.0234,-0.0634,0.0640,-0.1327,-0.2341,-0.2083,0.1602,0.1620,0.0704,0.1017,0.1175,0.0664,0.1046,0.0575,0.0642,0.0429,-0.0229,0.0990
22,Income Tax expense (Gain),900000,2100000,1100000,2600000,5200000,-2809000,-1380000,1841000,398000,236000,1119000,278000,53000,-52000,148000,-2204000,897000,931000,1470000,722000,1549000,2863000,2006000,282000,-336000,1119000
23,Net Income,4600000,4300000,1900000,4100000,6379000,-11329000,-283000,-5451000,1270000,-3620000,2871000,-6739000,-9133000,-4843000,7252000,9863000,2156000,3077000,3439000,1861000,2658000,975000,3037000,2322000,-895000,7283000
24,Net Income ratio,0.2473,0.2077,0.0995,0.1188,0.0728,-0.2194,-0.0060,-0.1135,0.0178,-0.0678,0.0460,-0.1384,-0.2354,-0.2061,0.1570,0.2087,0.0497,0.0780,0.0823,0.0479,0.0661,0.0146,0.0387,0.0383,-0.0166,0.0858
25,EPS,0.83,0.74,0.31,0.63,0.78,-1.37,-0.03,-0.65,0.15,-0.41,0.32,-0.73,-0.97,-0.49,0.72,0.97,0.21,0.30,0.33,0.18,0.26,0.09,0.29,0.22,-0.09,0.70
26,EPS Diluted,0.83,0.73,0.31,0.62,0.75,-1.37,-0.03,-0.65,0.14,-0.41,0.31,-0.73,-0.97,-0.49,0.72,0.96,0.21,0.30,0.33,0.18,0.26,0.09,0.29,0.22,-0.09,0.68
27,Weighted Average Shares Outstanding,5542169,5068349,6169596,6536034,8201029,8279356,8317350,8332320,8479914,8806528,9046680,9214607,9465006,9975000,10019000,10147708,10273000,10364000,10432000,10473000,10314000,10285000,10348000,10373000,10257000,10462246
28,Weighted Average Shares Outstanding Diluted,5542169,5092490,6186460,6626118,8505333,8279356,8317350,8332320,8804479,8806528,9187979,9214607,9465006,9975000,10141552,10285621,10347000,10419000,10466000,10494000,10333000,10339000,10382000,10392000,10257000,10729862
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1036262/000095011698000687/0000950116-98-000687-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626299000002/0001036262-99-000002-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626200000003/0001036262-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626201500007/0001036262-01-500007-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626202000010/0001036262-02-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626203000007/0001036262-03-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626204000004/0001036262-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626205000014/0001036262-05-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626206000008/0001036262-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626207000015/0001036262-07-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626208000009/0001036262-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626209000035/0001036262-09-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626210000017/0001036262-10-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626211000021/0001036262-11-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626212000010/0001036262-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626213000014/0001036262-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626214000004/0001036262-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626215000004/0001036262-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626216000039/0001036262-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626217000016/0001036262-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774918005659/0001437749-18-005659-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774919005715/0001437749-19-005715-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774920005921/0001437749-20-005921-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774921006901/0001437749-21-006901-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774922006956/0001437749-22-006956-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12000000,8500000,12000000,5680000,7281000,8145000,5116000,7686000,7295000,13174000,12215000,7137000,2647000,6895000,13957000,15576000,19018000,23126000,25710000,28611000,13290000,17861000,7612000,10277000,21195000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12000000,8500000,12000000,5680000,7281000,8145000,5116000,7686000,7295000,13174000,12215000,7137000,2647000,6895000,13957000,15576000,19018000,23126000,25710000,28611000,13290000,17861000,7612000,10277000,21195000
34,Net Receivables,- -,4100000,3300000,6500000,14752000,5191000,6584000,9183000,6771000,9443000,8693000,6034000,3758000,5413000,6244000,6189000,5501000,5748000,5034000,4395000,5377000,12166000,10563000,9296000,8435000,16536000
35,Inventory,- -,1600000,2500000,3800000,12559000,7554000,7002000,7332000,9401000,6235000,6193000,5097000,4193000,3064000,3489000,3896000,3135000,3243000,3769000,3520000,3676000,4966000,6520000,7182000,7476000,12863000
36,Other Current Assets,- -,300000,1000000,900000,1908000,4388000,3460000,1306000,1572000,633000,743000,1118000,816000,377000,430000,755000,1367000,1072000,1002000,1198000,342000,577000,677000,805000,776000,1483000
37,Total Current Assets,- -,18000000,15300000,23200000,34899000,24414000,25191000,22937000,25430000,23606000,28803000,24464000,15904000,11501000,17058000,24797000,25579000,29081000,32931000,34823000,38006000,30999000,35621000,24895000,26964000,52077000
38,PP&E,- -,500000,800000,1800000,5087000,5743000,4891000,4539000,4554000,3951000,3328000,2198000,617000,297000,718000,1134000,1250000,1254000,1268000,1112000,944000,1541000,2717000,7262000,7992000,8607000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2629000,- -,1656000,1656000,1656000,1656000,1706000,1706000,1706000,1706000,1706000,13738000,13738000,13738000,13738000,- -
40,Intangible Assets,- -,1300000,6900000,6400000,5926000,933000,1643000,1819000,2732000,2718000,299000,273000,1346000,1212000,1077000,942000,2194000,1748000,1393000,1104000,875000,16014000,14911000,13654000,12421000,- -
41,Intangible Assets,- -,1300000,6900000,6400000,5926000,933000,1643000,1819000,2732000,2718000,2928000,273000,3002000,2868000,2733000,2598000,3900000,3454000,3099000,2810000,2581000,29752000,28649000,27392000,26159000,42152000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,700000,- -,- -,450000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,30000,166000,- -,- -,- -,- -,- -,- -,- -,- -,2028000,1034000,1030000,884000,686000,1110000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,100000,200000,200000,617000,648000,691000,682000,451000,594000,700000,788000,969000,478000,199000,680000,636000,212000,556000,553000,203000,201000,200000,166000,- -,139000
45,Total Non-Current Assets,- -,1900000,7900000,8400000,11630000,7354000,7391000,7040000,7737000,7263000,6956000,3259000,4588000,3643000,4350000,6440000,6820000,6400000,5807000,5161000,4838000,31494000,31566000,34820000,34151000,50898000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,19900000,23200000,31600000,46529000,31768000,32582000,29977000,33167000,30869000,35759000,27723000,20492000,15144000,21408000,31237000,32399000,35481000,38738000,39984000,42844000,62493000,67187000,59715000,61115000,102975000
48,Accounts Payable,- -,1100000,1000000,2500000,4563000,1869000,2388000,3507000,2102000,2527000,3145000,1923000,1830000,2576000,1672000,1031000,1041000,1064000,1234000,909000,1368000,2032000,1787000,1984000,2424000,4281000
49,Short-Term Debt,- -,- -,- -,- -,- -,81000,86000,93000,106000,24000,7000,7000,8000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1302000,1215000,5471000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,173000,18000,30000,8000,83000,83000,22000,26000,575000,1199000,700000,868000,825000,2024000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,118000,- -,- -,- -,255000,74000,70000,173000,74000,886000,1258000,456000,396000,- -
52,Other Current Liabilities,- -,2300000,1000000,3700000,3568000,2318000,2541000,3669000,4794000,4860000,5258000,3885000,3268000,2673000,3593000,4007000,3283000,3194000,3066000,2977000,3614000,11501000,18373000,4619000,4821000,15320000
53,Total Current Liabilities,- -,3400000,2000000,6200000,8131000,4268000,5015000,7269000,7002000,7411000,8410000,5815000,5224000,5249000,5265000,5038000,4579000,4332000,4370000,4059000,5056000,14419000,21418000,8361000,8856000,25072000
54,Long-Term Debt,- -,- -,- -,- -,- -,296000,- -,- -,- -,- -,- -,- -,1525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,21248000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2606000,2689000,2263000,- -,1379000
57,Other Non-Current Liabilities,- -,-100000,- -,140000,- -,- -,210000,117000,47000,652000,527000,401000,276000,1301000,39000,- -,- -,- -,- -,- -,- -,6180000,200000,4257000,- -,453000
58,Total Non-Current Liabilities,- -,-100000,- -,140000,- -,296000,210000,117000,47000,652000,527000,401000,1801000,1301000,39000,- -,- -,- -,- -,- -,- -,8786000,2889000,6520000,- -,23080000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8422000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,210000,117000,47000,23000,16000,8000,9000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5096000,7265000,6619000
61,Total Liabilities,- -,3300000,2000000,6200000,8131000,4564000,5225000,7386000,7049000,8063000,8937000,6216000,7025000,6550000,5304000,5038000,4579000,4332000,4370000,4059000,5056000,23205000,24307000,14881000,17278000,48152000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,87000,87000,87000,87000,93000,95000,95000,97000,102000,102000,105000,105000,105000,106000,106000,105000,104000,104000,105000,104000,106000,- -
64,Retained Earnings,- -,2600000,4600000,8700000,19456000,8127000,7844000,2393000,3663000,43000,2914000,-3825000,-12958000,-17801000,-10549000,-686000,636000,3713000,7152000,9013000,11671000,12646000,15683000,18005000,17110000,- -
65,Other Comprehensive Income/Loss,- -,-800000,-1100000,-1500000,-7519000,-6031000,-68000,478000,-32000,-672000,609000,1339000,1519000,1356000,1311000,1217000,1253000,1347000,993000,725000,639000,882000,783000,673000,889000,594
66,Other Total Stockholders Equity,- -,14800000,17700000,18100000,26374000,25021000,19494000,19633000,22394000,23340000,23204000,23896000,24804000,24937000,25237000,25563000,25826000,25983000,26117000,26082000,25374000,25656000,26309000,26052000,26647000,- -
67,Total Stockholders Equity,- -,16600000,21200000,25400000,38398000,27204000,27357000,22591000,26118000,22806000,26822000,21507000,13467000,8594000,16104000,26199000,27820000,31149000,34368000,35925000,37788000,39288000,42880000,44834000,44752000,54823000
68,Total Liabilities And Stockholders Equity,- -,19900000,23200000,31600000,46529000,31768000,32582000,29977000,33167000,30869000,35759000,27723000,20492000,15144000,21408000,31237000,32399000,35481000,38738000,39984000,42844000,62493000,67187000,59715000,62030000,102975000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-915000,- -
70,Total Liabilities & Equity,- -,19900000,23200000,31600000,46529000,31768000,32582000,29977000,33167000,30869000,35759000,27723000,20492000,15144000,21408000,31237000,32399000,35481000,38738000,39984000,42844000,62493000,67187000,59715000,61115000,102975000
71,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1036262/000095011698000687/0000950116-98-000687-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626299000002/0001036262-99-000002-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626200000003/0001036262-00-000003-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626201500007/0001036262-01-500007-index.html,https://www.sec.gov/Archives/edgar/data/1036262/000103626202000010/0001036262-02-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626203000007/0001036262-03-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626204000004/0001036262-04-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626205000014/0001036262-05-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626206000008/0001036262-06-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626207000015/0001036262-07-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626208000009/0001036262-08-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626209000035/0001036262-09-000035-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626210000017/0001036262-10-000017-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626211000021/0001036262-11-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626212000010/0001036262-12-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626213000014/0001036262-13-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626214000004/0001036262-14-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626215000004/0001036262-15-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626216000039/0001036262-16-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000103626217000016/0001036262-17-000016-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774918005659/0001437749-18-005659-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774919005715/0001437749-19-005715-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774920005921/0001437749-20-005921-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774921006901/0001437749-21-006901-index.htm,https://www.sec.gov/Archives/edgar/data/1036262/000143774922006956/0001437749-22-006956-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,4600000,4300000,1900000,4100000,6379000,-11329000,-283000,-5451000,1270000,-3620000,2871000,-6739000,-9133000,-4843000,7252000,9863000,2156000,3077000,3439000,1861000,2658000,975000,3037000,2322000,-895000,7283000
74,Depreciation and Amortization,100000,200000,500000,900000,2074000,2182000,1917000,2027000,2106000,1873000,1798000,1691000,1073000,501000,395000,394000,933000,847000,879000,754000,599000,1779000,1871000,3193000,3174000,3145
75,Deferred Income Tax,- -,-200000,-100000,-100000,124000,-72000,540000,1440000,- -,- -,- -,- -,- -,- -,- -,-2481000,443000,307000,318000,168000,135000,-1630000,83000,-426000,-341000,-489
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,113000,128000,134000,119000,269000,344000,653000,884000,671000,1450
77,Change in Working Capital,400000,1300000,-1300000,3700000,9768000,-6622000,30000,-4508000,2760000,-2233000,4198000,-1744000,-7969000,-4428000,5541000,7966000,1241000,3749000,3812000,2203000,2186000,-16370000,-2377000,2331000,1574000,8897000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1544000,-866000,24000,1868000,-233000,610000,570000,-1009000,-2983000,1414000,1244000,887000,-4775
79,Inventory,-100000,-400000,- -,-1300000,-4604000,4973000,640000,-229000,-1979000,3056000,113000,1188000,1170000,1130000,-437000,-406000,948000,-416000,-893000,-113000,-384000,388000,-1847000,-1058000,-717000,203
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-822000,748000,-905000,-640000,-67000,23000,172000,-324000,459000,-756000,-245000,197000,430000,1177
81,Other Working Capital,13300000,14600000,13300000,17000000,26768000,20146000,20176000,15668000,18428000,16195000,20393000,18649000,10680000,6252000,11793000,19759000,21000000,24749000,28561000,30764000,32950000,16580000,14203000,16534000,18108000,27005000
82,Other Non-Cash Items,400000,-3000000,600000,-3700000,-20286000,19780000,311000,5110000,-2171000,4378000,-2511000,6192000,13095000,4578000,-6739000,-7919000,1759000,-4338000,-3453000,-1607000,-1559000,22144000,7693000,-16709000,-935000,-16173272
83,Cash Provided by Operating Activities,5500000,2600000,1600000,4900000,-1941000,3939000,2515000,-1382000,3965000,398000,6356000,-600000,-2934000,-4192000,6449000,7823000,6645000,3770000,5129000,3498000,4288000,7242000,10960000,-8405000,3248000,10834
84,CAPEX,-600000,-100000,-4900000,-1400000,-4050000,-2378000,-1016000,-1657000,-2326000,-1448000,-809000,-682000,-400000,-86000,-659000,-780000,-431000,-424000,-831000,-599000,-339000,-745000,-2212000,-620000,-658000,-994
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,-580000,- -,- -,- -,- -,- -,-1764000,- -,- -,- -,-3802000,- -,- -,- -,- -,-21962000,-4123000,- -,- -,-20378
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,921000,-277000,-15000,- -,- -,- -,41000,66000,- -,- -,- -,54000,19000,10000,8000,- -,- -,36000,- -,- -,10000,- -
89,Cash Used for Investing Activites,-600000,-100000,-4900000,-1400000,-3129000,-2655000,-1611000,-1657000,-2326000,-1448000,-768000,-616000,-2164000,-86000,-659000,-726000,-4214000,-414000,-823000,-599000,-339000,-22671000,-6335000,-620000,-648000,-21372
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6000,-9000,-1525000,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5629000,- -
91,Common Stock Issued,- -,11700000,- -,- -,227000,100000,38000,139000,- -,94000,169000,17000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,-41000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-155000,-978000,-62000,- -,-1142000,-74000,- -
93,Dividends Paid,-3300000,-5500000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-834000,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,100000,-300000,-200000,- -,-1344000,298000,-293000,-86000,814000,748000,-24000,-8000,- -,- -,- -,30000,- -,30000,- -,- -,- -,- -,- -,- -,5629000,21733
95,Cash Used/Provided by Financing Activities,-3200000,5900000,-200000,- -,-1117000,357000,-255000,53000,814000,842000,145000,9000,-6000,-9000,-1525000,30000,-834000,30000,- -,-155000,-978000,-62000,- -,-1142000,-74000,21733
96,Effect of Forex Changes on Cash,- -,-100000,- -,- -,-180000,-40000,215000,-43000,117000,-183000,146000,248000,26000,-203000,-17000,-65000,22000,56000,-198000,-160000,-70000,170000,-54000,-82000,139000,-277
97,Net Change In Cash,-3200000,5900000,-200000,3500000,-6367000,1601000,864000,-3029000,2570000,-391000,5879000,-959000,-5078000,-4490000,4248000,7062000,1619000,3442000,4108000,2584000,2901000,-15321000,4571000,-10249000,2665000,-10255805
98,Cash at the End of Period,- -,- -,- -,12000000,5680000,7281000,8145000,5116000,7686000,7295000,13174000,12215000,7137000,2647000,6895000,13957000,15576000,19018000,23126000,25710000,28611000,13290000,17861000,7612000,10277000,21195
99,Cash at the Beginning of Period,1900000,3700000,12000000,8500000,12047000,5680000,7281000,8145000,5116000,7686000,7295000,13174000,12215000,7137000,2647000,6895000,13957000,15576000,19018000,23126000,25710000,28611000,13290000,17861000,7612000,10277000
100,Free Cash Flow,4900000,2500000,-3300000,3500000,-5991000,1561000,1499000,-3039000,1639000,-1050000,5547000,-1282000,-3334000,-4278000,5790000,7043000,6214000,3346000,4298000,2899000,3949000,6497000,8748000,-9025000,2590000,9840
